"","Table 5#7#9A# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","3","Nonfarm","A373RD3",20.342,20.648,20.969,21.676,22.156,22.385,22.945,22.986,22.606,21.953,21.711,21.843,21.817,22.048,23.124,24.258,25.357,25.319,24.917,24.92,24.829,24.616,24.685,24.557,24.593,24.737,24.985,24.906,24.925,24.933,25.02,25.042,25.142,25.258,25.586,25.868,26.162,26.473,26.607,26.893,27.103,27.128,27.284,27.31,27.363,27.297,27.368,27.512,27.571,27.59,27.634,27.646,27.651,27.631,27.651,27.647,27.635,27.535,27.522,27.513,27.446,27.412,27.47,27.414,27.361,27.327,27.316,27.375,27.388,27.393,27.464,27.557,27.601,27.699,27.776,27.915,28.008,28.097,28.227,28.34,28.36,28.398,28.495,28.698,28.896,28.917,28.998,29.174,29.491,29.645,29.943,30.267,30.616,30.854,31.086,31.308,31.628,31.879,31.989,32.071,32.364,32.611,32.856,33.165,34.142,35.204,35.887,37.034,38.819,41.087,43.47,44.657,44.942,45.213,45.862,46.174,46.676,47.376,48.104,48.623,49.616,50.095,50.451,51.221,52.275,53.554,54.553,55.823,57.769,59.788,61.867,63.954,67.044,68.235,70.257,71.917,73.911,74.944,75.616,75.728,76.469,76.695,76.897,77.115,76.965,77.399,78.436,78.807,79.755,80.347,80.454,80.496,80.394,80.211,79.849,80.262,79.003,78.65,78.641,78.833,79.221,80.09,80.773,81.565,82.271,83.416,84.292,85.074,86.317,86.635,86.542,86.918,87.057,86.952,88.553,88.981,88.034,87.482,87.428,87.554,87.423,87.942,88.18,88.103,88.321,88.583,88.534,88.816,89.005,89.598,90.305,91.111,92.456,93.164,93.101,93.241,93.216,93.189,93.201,93.276,92.8,91.97,91.563,91.26
"12","4","    Durable goods","A374RD3",19.536,19.885,20.29,20.724,21.234,21.608,22.741,23.286,23.338,22.741,22.481,22.869,22.678,22.95,23.733,24.914,25.765,25.82,25.694,25.803,25.883,25.797,25.936,25.992,26.177,26.505,26.807,26.758,26.711,26.765,26.974,27.134,27.314,27.553,28.292,28.903,29.287,29.583,29.844,30.324,30.478,30.442,30.675,30.811,30.887,30.808,30.92,31.201,31.265,31.362,31.391,31.442,31.449,31.447,31.439,31.427,31.407,31.399,31.346,31.285,31.188,31.141,31.137,31.081,31.016,30.98,30.971,31.036,31.11,31.205,31.266,31.35,31.351,31.398,31.454,31.532,31.623,31.718,31.824,32.023,32.134,32.113,32.362,32.705,32.975,32.957,33.147,33.4,33.805,33.804,34.129,34.558,34.874,35.222,35.481,35.843,36.177,36.497,36.785,36.895,37.244,37.486,37.649,37.695,38.459,39.169,39.456,40.36,41.984,44.923,47.159,48.499,49.309,49.601,50.09,50.759,51.448,52.149,53.123,53.802,54.581,55.264,56.093,56.784,57.993,59.434,60.783,62.219,64.321,66.119,67.8,70.011,72.824,73.8,75.607,77.483,78.973,80.17,81.418,82.198,83.446,83.639,84.085,84.531,84.911,85.449,86.46,87.108,88.301,89.192,89.707,90.124,90.383,90.239,90.032,90.34,90.367,90.636,91.129,91.036,90.692,91.274,92.145,93.207,94.198,95.151,96.119,97.061,97.979,97.981,98.151,98.05,97.939,98.046,98.553,98.832,98.84,98.266,97.949,98.187,98.119,98.257,98.388,98.366,98.753,99.137,99.397,99.736,100.064,100.676,101.35,102.094,103.076,103.324,102.982,102.66,101.957,101.864,101.831,101.546,100.949,99.984,99.16,98.506
"13","5","    Nondurable goods","A375RD3",20.848,21.112,21.353,22.298,22.744,22.841,22.894,22.499,21.752,21.06,20.839,20.755,20.866,21.064,22.372,23.458,24.764,24.647,24.002,23.909,23.659,23.327,23.329,23.031,22.923,22.891,23.084,22.977,23.056,23.02,22.99,22.884,22.911,22.912,22.854,22.828,23.033,23.356,23.371,23.474,23.736,23.817,23.901,23.824,23.855,23.801,23.833,23.853,23.887,23.834,23.892,23.869,23.872,23.836,23.881,23.884,23.88,23.702,23.723,23.76,23.719,23.698,23.809,23.755,23.713,23.68,23.667,23.72,23.68,23.605,23.683,23.782,23.865,24.008,24.103,24.3,24.394,24.477,24.63,24.658,24.586,24.684,24.628,24.691,24.815,24.875,24.849,24.947,25.177,25.486,25.757,25.976,26.359,26.488,26.69,26.773,27.079,27.262,27.197,27.253,27.491,27.743,28.064,28.627,29.812,31.23,32.33,33.745,35.714,37.286,39.841,40.873,40.587,40.837,41.67,41.603,41.908,42.61,43.082,43.434,44.661,44.926,44.782,45.639,46.536,47.651,48.279,49.379,51.172,53.469,56.033,58.006,61.462,62.916,65.205,66.647,69.233,70.095,70.126,69.5,69.699,69.963,69.904,69.881,69.171,69.501,70.569,70.655,71.351,71.633,71.308,70.949,70.458,70.233,69.705,70.233,67.63,66.639,66.128,66.62,67.748,68.913,69.407,69.927,70.344,71.689,72.476,73.096,74.691,75.348,74.973,75.857,76.264,75.934,78.71,79.301,77.35,76.825,77.044,77.064,76.868,77.762,78.104,77.973,78.027,78.171,77.826,78.051,78.103,78.676,79.414,80.283,81.993,83.166,83.387,84.001,84.675,84.715,84.775,85.229,84.869,84.188,84.194,84.238
"14","6","  Manufacturing","A376RD3",20.899,21.316,21.559,22.345,22.941,23.178,23.669,23.85,23.485,22.669,22.375,22.318,22.557,22.886,24.101,25.499,26.808,26.687,26.067,26.122,25.994,25.706,25.825,25.7,25.781,25.975,26.268,26.197,26.17,26.223,26.348,26.383,26.529,26.693,27.178,27.553,27.942,28.282,28.414,28.69,28.924,28.9,29.069,29.044,28.994,28.866,29.001,29.131,29.192,29.252,29.319,29.344,29.398,29.474,29.552,29.599,29.634,29.584,29.554,29.509,29.435,29.45,29.463,29.426,29.368,29.332,29.271,29.32,29.351,29.413,29.48,29.571,29.617,29.687,29.773,29.898,29.957,30.071,30.225,30.349,30.464,30.463,30.559,30.794,30.989,31.022,31.158,31.353,31.724,31.889,32.308,32.59,32.939,33.205,33.461,33.619,33.961,34.224,34.409,34.43,34.769,35.022,35.291,35.417,36.366,37.384,38.122,39.23,41.507,44.581,47.412,48.841,49.116,49.169,49.807,49.974,50.564,51.301,52.131,52.551,53.504,54.075,54.542,55.272,56.488,57.65,58.711,60.107,62.288,64.571,66.85,68.949,72.023,73.404,75.377,77.199,79.182,80.271,81.068,81.299,82.541,82.543,82.547,82.791,82.275,82.602,83.847,84.07,85.184,85.938,86.246,86.258,86.055,85.555,85.028,84.942,83.322,82.62,82.667,82.575,82.621,83.332,84.206,85.409,86.367,87.759,88.718,89.482,90.83,90.778,90.41,90.422,90.256,89.891,91.61,91.598,90.341,89.313,88.694,88.472,88.194,88.416,88.363,88.022,88.049,88.132,87.824,87.786,87.97,88.624,89.366,90.602,92.243,92.687,92.462,91.943,91.081,90.935,90.741,90.705,89.874,89.276,88.753,88.474
"15","7","    Durable goods","A377RD3",19.96,20.394,20.827,21.251,21.906,22.376,23.629,24.312,24.359,23.5,23.195,23.197,23.501,23.843,24.791,26.174,27.161,27.16,26.986,27.114,27.161,27.031,27.29,27.336,27.593,27.982,28.368,28.285,28.192,28.285,28.58,28.709,28.93,29.272,30.314,30.996,31.475,31.816,32.12,32.554,32.684,32.59,32.895,32.942,32.895,32.683,32.978,33.278,33.416,33.535,33.629,33.704,33.803,33.924,33.993,34.034,34.027,33.98,33.971,33.88,33.773,33.723,33.734,33.706,33.645,33.591,33.544,33.621,33.697,33.839,33.965,34.051,34.093,34.138,34.206,34.334,34.383,34.519,34.703,34.877,35.068,35.022,35.24,35.617,35.886,35.872,36.047,36.307,36.721,36.805,37.256,37.688,38.081,38.498,38.777,39.051,39.36,39.708,40.074,40.119,40.56,40.794,40.968,40.941,41.848,42.731,43.109,44.192,46.2,50.005,52.591,53.886,54.546,54.779,55.203,55.86,56.624,57.46,58.486,59.094,59.955,60.733,61.599,62.213,63.68,65.055,66.483,68.137,70.812,73.106,75.154,77.498,80.782,81.793,83.62,85.614,87.338,88.739,90.201,90.717,92.847,92.765,93.006,93.519,93.452,93.819,95.028,95.434,96.78,97.789,98.449,98.821,98.887,98.193,97.803,97.498,96.937,96.531,96.624,96.168,95.417,95.734,96.812,98.29,99.36,100.515,101.568,102.47,103.528,103.252,103.229,102.588,102.099,102.06,102.256,102.227,101.901,100.668,99.811,99.681,99.447,99.119,98.818,98.479,98.338,98.389,98.185,98.11,98.513,98.681,99.118,99.775,100.778,100.542,99.873,99.009,97.689,97.46,96.993,96.704,96.115,95.165,94.39,93.932
"16","8","    Nondurable goods","A378RD3",21.472,21.857,21.857,23.067,23.564,23.511,23.127,22.74,21.938,21.192,20.92,20.808,20.973,21.279,22.741,24.117,25.744,25.499,24.395,24.369,24.037,23.565,23.513,23.179,23.041,22.987,23.154,23.1,23.154,23.153,23.067,22.987,23.04,22.988,22.795,22.795,23.067,23.399,23.319,23.399,23.757,23.818,23.818,23.705,23.652,23.625,23.564,23.49,23.457,23.446,23.481,23.446,23.447,23.467,23.554,23.607,23.689,23.638,23.586,23.594,23.557,23.643,23.659,23.612,23.56,23.545,23.472,23.487,23.467,23.437,23.434,23.527,23.576,23.675,23.78,23.898,23.97,24.055,24.169,24.227,24.241,24.3,24.232,24.275,24.369,24.467,24.548,24.656,24.971,25.244,25.619,25.698,25.989,26.053,26.277,26.275,26.662,26.811,26.758,26.747,26.955,27.226,27.612,27.932,28.932,30.124,31.359,32.516,35.2,37.265,40.463,42.096,41.829,41.625,42.577,42.074,42.429,43.033,43.6,43.769,44.843,45.138,45.082,45.96,46.841,47.717,48.282,49.331,50.833,53.125,55.767,57.536,60.359,62.306,64.528,66.132,68.532,69.179,69.013,68.83,68.811,68.936,68.601,68.467,67.324,67.599,68.899,68.875,69.675,70.08,69.9,69.399,68.806,68.582,67.85,68.079,64.963,63.854,63.851,64.27,65.392,66.637,67.237,68.072,68.88,70.596,71.433,72.012,73.771,74.033,73.178,74.103,74.389,73.565,77.425,77.436,74.895,74.15,73.856,73.52,73.183,74.112,74.373,74.032,74.268,74.388,73.955,73.965,73.869,75.133,76.258,78.227,80.683,82.004,82.362,82.303,82.049,82.013,82.187,82.494,81.334,81.223,81.055,81.031
"17","9","  Wholesale trade","A379RD3",19.598,19.781,20.188,20.908,21.308,21.45,22.132,21.762,21.28,20.877,20.696,21.532,20.676,20.898,21.961,22.859,24.03,24.045,23.703,23.687,23.577,23.458,23.488,23.192,23.05,23.094,23.353,23.218,23.378,23.356,23.328,23.252,23.315,23.387,23.457,23.525,23.72,24.11,24.287,24.541,24.776,24.89,25.149,25.194,25.486,25.555,25.445,25.487,25.606,25.626,25.556,25.538,25.541,25.51,25.358,25.33,25.286,25.25,25.237,25.272,25.207,25.158,25.207,25.128,25.065,25.096,25.131,25.128,25.172,25.164,25.238,25.267,25.31,25.494,25.535,25.603,25.731,25.773,25.844,25.924,25.834,25.827,25.85,26.069,26.291,26.202,26.185,26.32,26.589,26.702,26.86,27.187,27.543,27.748,27.973,28.286,28.629,28.947,28.928,29.048,29.423,29.684,29.887,30.472,31.549,32.873,34.223,35.579,37.323,38.812,41.218,42.067,42.231,42.563,43.377,43.707,44.264,44.843,45.261,45.662,46.612,46.822,46.864,47.924,48.93,50.112,51.061,52.263,54.026,56.019,58.139,60.156,62.912,64.204,66.376,68.34,70.546,71.501,71.825,70.924,71.242,71.233,71.397,71.391,71.687,72.483,73.754,74.34,75.266,75.906,75.783,75.901,75.93,76.104,75.831,76.773,76.032,76.31,76.145,76.546,77.214,78.332,78.999,79.783,80.621,82.06,83.152,83.906,85.148,85.517,85.564,86.181,86.609,86.672,88.156,88.592,87.967,87.502,87.783,88.1,88.154,88.672,88.753,88.601,89.147,89.108,89.442,90.252,90.588,91.217,92.035,92.995,94.522,95.466,95.636,96.057,96.334,96.205,96.47,95.692,95.258,94.27,93.824,93.206
"18","10","    Durable goods","A380RD3",16.575,16.84,17.163,17.55,17.846,18.039,19.077,19.272,19.343,19.043,18.886,20.603,18.981,19.175,19.79,20.734,21.42,21.482,21.447,21.516,21.615,21.578,21.545,21.615,21.677,21.939,22.195,22.196,22.234,22.195,22.295,22.489,22.622,22.75,23.137,23.66,23.922,24.214,24.47,24.989,25.193,25.252,25.447,25.641,25.933,26.064,25.772,26.005,26.248,26.361,26.305,26.433,26.371,26.181,26.057,26.015,25.93,26.021,25.908,25.891,25.809,25.76,25.809,25.724,25.672,25.691,25.761,25.778,25.924,26.041,26.097,26.168,26.145,26.277,26.385,26.414,26.631,26.696,26.78,27.007,27.017,26.951,27.217,27.534,27.91,27.823,28.039,28.338,28.77,28.747,29.051,29.539,29.926,30.205,30.384,30.719,31.04,31.394,31.723,31.864,32.262,32.481,32.657,32.82,33.64,34.094,34.423,35.306,36.728,39.05,41.098,42.496,43.379,43.631,44.153,44.804,45.532,46.027,46.908,47.541,48.317,48.912,49.749,50.493,51.514,52.629,53.995,55.278,56.823,58.062,59.653,61.509,63.764,64.623,66.29,68.366,69.94,70.881,72.053,73.119,73.662,73.911,74.606,74.865,75.741,76.53,77.48,78.479,79.664,80.738,81.261,81.936,82.342,82.855,83.087,84.023,84.947,86.235,87.484,87.392,87.532,88.173,89.039,89.868,90.894,91.686,92.674,93.624,94.545,94.792,95.227,95.589,96.108,96.307,97.068,97.43,97.671,97.386,97.253,97.67,97.668,97.997,98.213,98.261,99.022,99.309,99.746,100.318,100.849,101.611,102.429,103.288,104.418,104.959,104.676,104.463,104.242,104.104,104.515,104.147,103.481,102.636,101.882,101.066
"19","11","    Nondurable goods","A381RD3",23.668,23.763,24.276,25.409,25.952,26.043,26.285,25.201,24.009,23.466,23.252,23.012,23.075,23.344,24.966,25.833,27.632,27.595,26.852,26.731,26.34,26.11,26.217,25.477,25.087,24.872,25.141,24.843,25.145,25.141,24.964,24.577,24.566,24.576,24.279,23.824,23.944,24.452,24.541,24.51,24.784,24.96,25.297,25.176,25.474,25.476,25.564,25.396,25.381,25.297,25.211,25.034,25.11,25.262,25.072,25.06,25.06,24.885,24.982,25.075,25.029,24.978,25.029,24.955,24.878,24.925,24.917,24.89,24.816,24.661,24.757,24.734,24.858,25.111,25.07,25.189,25.208,25.221,25.279,25.169,24.946,25.014,24.725,24.824,24.853,24.759,24.445,24.373,24.44,24.733,24.703,24.83,25.154,25.268,25.558,25.851,26.23,26.509,26.045,26.14,26.494,26.819,27.065,28.238,29.686,32.278,35.18,37.279,39.557,39.889,42.905,42.944,41.994,42.468,43.768,43.612,43.92,44.651,44.361,44.415,45.666,45.287,44.119,45.694,46.715,48.053,48.369,49.494,51.683,54.992,58.065,60.427,64.121,66.178,69.26,71.142,74.5,75.539,74.449,70.173,70.134,69.692,68.953,68.521,67.898,68.733,70.553,70.516,71.064,71.045,69.898,69.136,68.575,68.232,67.179,68.165,64.94,63.746,61.516,62.656,64.099,65.939,66.327,67.06,67.652,70.035,71.299,71.795,73.523,74.076,73.565,74.555,74.865,74.74,77.251,77.798,75.996,75.292,76.126,76.324,76.451,77.214,77.121,76.712,76.989,76.544,76.749,77.859,77.948,78.407,79.228,80.325,82.388,83.88,84.658,85.944,86.918,86.803,86.874,85.505,85.771,84.81,84.678,84.414
"20","12","      Merchant wholesalers","A802RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.321,24.439,24.486,24.399,24.37,24.377,24.3,24.158,24.151,24.134,24.135,24.201,24.224,24.17,24.159,24.188,24.151,24.135,24.191,24.213,24.243,24.269,24.232,24.33,24.381,24.471,24.628,24.675,24.808,24.98,25.024,25.073,25.135,25.067,25.077,25.136,25.399,25.71,25.732,25.817,26.018,26.331,26.504,26.692,27.035,27.416,27.67,27.96,28.284,28.638,28.977,28.91,29.05,29.42,29.688,29.903,30.544,31.614,33.05,34.655,36.041,37.619,38.955,41.37,42.173,42.233,42.479,43.346,43.655,44.266,44.885,45.265,45.579,46.525,46.61,46.546,47.69,48.686,49.832,50.762,51.962,53.546,55.316,56.979,58.709,61.035,62.12,64.285,66.015,67.614,68.463,68.806,69.324,69.703,69.801,69.908,69.926,70.415,71.212,72.539,73.164,74.068,74.774,74.663,74.761,74.84,75.005,74.709,75.68,75.593,76.144,75.93,76.281,76.84,78.008,78.657,79.502,80.474,82.01,83.261,83.948,85.109,85.418,85.55,86.105,86.584,86.816,87.752,88.117,88.001,87.612,87.876,88.234,88.361,88.806,88.872,88.763,89.3,89.319,89.788,90.798,91.157,91.711,92.488,93.559,95.167,96.151,96.417,96.885,97.167,96.948,97.144,96.131,95.884,95.038,94.572,94.015
"21","13","        Durable goods","A803RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.434,24.743,24.881,24.827,24.878,24.787,24.596,24.436,24.4,24.333,24.402,24.365,24.326,24.279,24.222,24.213,24.188,24.18,24.189,24.205,24.225,24.368,24.528,24.603,24.7,24.726,24.827,24.948,24.988,25.177,25.245,25.289,25.472,25.477,25.43,25.731,26.029,26.446,26.435,26.723,27.041,27.493,27.487,27.776,28.235,28.614,28.904,29.085,29.397,29.708,30.061,30.368,30.505,30.884,31.099,31.285,31.459,32.289,32.748,33.107,33.964,35.359,37.589,39.592,40.961,41.853,42.117,42.64,43.246,43.946,44.435,45.309,45.956,46.727,47.317,48.104,48.811,49.808,50.913,52.261,53.505,55.02,56.263,57.832,59.644,61.868,62.698,64.345,66.332,67.835,68.753,69.875,71.089,71.599,71.844,72.554,72.795,73.539,74.207,75.095,76.049,77.254,78.319,78.824,79.508,79.927,80.44,80.654,81.661,82.676,84.002,85.25,85.06,85.295,85.996,86.928,87.718,88.778,89.579,90.625,91.565,92.511,92.797,93.259,93.693,94.236,94.459,95.234,95.622,95.916,95.684,95.586,96.041,96.028,96.422,96.669,96.723,97.491,97.807,98.279,98.873,99.437,100.248,101.099,102.017,103.195,103.757,103.493,103.313,103.181,103.003,103.461,103.076,102.482,101.71,101.023,100.271
"22","14","        Nondurable goods","A804RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.716,24.578,24.501,24.372,24.239,24.379,24.459,24.336,24.367,24.419,24.332,24.536,24.646,24.58,24.635,24.719,24.663,24.635,24.759,24.793,24.837,24.702,24.395,24.522,24.505,24.692,24.932,24.873,25.145,25.296,25.305,25.366,25.246,25.064,25.159,24.863,25.081,25.246,25.313,25.107,25.142,25.257,25.7,25.742,25.919,26.315,26.521,26.977,27.326,27.75,28.078,27.458,27.605,27.972,28.33,28.595,29.991,31.458,34.545,38.351,40.688,42.621,42.46,45.651,45.434,43.943,44.165,45.696,45.467,45.925,46.807,46.267,45.976,47.264,46.435,44.842,46.796,47.817,49.062,49.251,50.402,52.157,54.931,56.811,58.443,61.014,62.604,65.766,67.072,68.906,69.66,68.518,67.742,67.891,67.718,66.691,66.31,66.367,67.404,69.509,69.59,69.993,70.092,68.913,67.998,67.494,67.084,65.947,66.873,65.048,64.389,61.89,63.091,64.148,66.046,66.26,67.183,68.03,70.67,72.229,72.541,74.029,74.373,74.003,74.741,75.126,75.37,76.538,76.869,76.173,75.573,76.336,76.562,76.878,77.383,77.204,76.881,77.106,76.734,77.191,78.732,78.813,79.014,79.679,80.943,83.123,84.682,85.682,87.061,87.945,87.675,87.494,85.562,85.827,84.871,84.738,84.474
"23","15","      Nonmerchant wholesalers","A805RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.036,29.163,29.122,29.088,29.096,29.089,29.166,28.983,28.907,28.797,28.675,28.478,28.54,28.45,28.311,28.407,28.233,28.064,28.043,28.105,28.026,28.116,28.177,28.197,28.174,28.102,28.362,28.389,28.293,28.31,28.344,28.476,28.605,28.453,28.397,28.324,28.426,28.406,28.01,27.71,27.666,27.819,27.769,27.842,28.134,28.421,28.487,28.523,28.812,29.128,29.387,29.515,29.572,29.972,30.216,30.385,30.788,31.905,32.859,33.355,34.631,36.98,39.039,41.454,42.474,42.996,43.623,44.274,44.679,45.069,45.525,46.077,46.777,47.764,48.408,48.835,49.611,50.667,52.019,53.056,54.285,56.822,59.79,63.908,67.175,71.836,74.042,76.303,79.387,84.385,85.816,86.043,78.612,78.654,78.15,78.579,78.462,77.864,78.657,79.679,80.088,81.119,81.452,81.273,81.48,81.274,81.486,81.333,82.123,78.004,76.85,76.934,77.594,78.852,79.691,80.454,80.906,80.99,81.869,82.048,83.19,84.878,85.576,85.158,86.107,86.255,85.392,89.903,90.742,87.244,86.344,86.711,86.789,86.418,87.363,87.532,87.121,87.726,87.343,86.859,86.439,86.635,87.716,88.782,89.05,90.076,90.774,90.367,90.497,90.749,91.159,91.835,92.447,90.901,89.063,88.738,87.76
"24","16","        Durable goods","A806RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.06,35.111,35.156,35.08,35.493,35.53,35.318,35.298,35.229,35.071,35.251,34.858,34.912,34.705,34.678,34.922,34.625,34.423,34.481,34.736,34.746,34.923,34.922,34.916,34.905,34.714,34.971,35.044,35.04,35.389,35.446,35.692,36.116,36.142,35.996,36.162,36.59,36.86,36.468,36.437,36.695,37.101,37.013,37.407,38.066,38.531,38.794,38.98,39.449,39.84,40.237,40.691,40.859,41.39,41.641,41.777,41.896,42.72,43.178,43.38,44.448,46.112,49.051,51.456,53.09,53.986,54.198,54.749,55.667,56.585,57.15,58.123,58.734,59.591,60.245,61.397,62.373,63.582,64.808,66.334,67.903,69.679,70.94,72.724,74.909,77.431,78.495,80.334,83.016,85.088,86.19,87.704,87.873,88.635,88.912,89.538,89.914,91.632,93.19,94.544,95.855,96.951,98.108,98.767,99.4,99.734,100.264,100.613,101.102,101.44,102.491,103.744,104.329,103.815,104.035,104.443,105.55,106.344,107.075,107.651,108.684,109.431,109.397,109.652,109.511,109.867,109.899,110.573,110.76,110.619,109.963,109.573,109.727,109.809,109.658,109.657,109.66,110.369,110.429,110.591,110.997,111.275,111.665,112.228,112.638,113.408,113.79,113.362,112.908,112.047,112.204,112.273,112.021,110.839,109.45,108.203,106.928
"25","17","        Nondurable goods","A807RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.25,22.4,22.321,22.312,22.102,22.075,22.305,22.05,21.979,21.909,21.636,21.569,21.627,21.616,21.427,21.427,21.343,21.214,21.149,21.085,20.962,20.989,21.082,21.115,21.086,21.097,21.332,21.327,21.185,20.988,21.004,21.048,20.969,20.713,20.724,20.495,20.368,20.152,19.79,19.337,19.093,19.064,19.045,18.894,18.912,19.054,18.98,18.914,19.056,19.29,19.435,19.343,19.323,19.598,19.81,19.983,20.528,21.725,22.922,23.577,24.886,27.506,28.788,30.983,31.498,31.716,32.578,33.246,33.255,33.239,33.578,33.786,34.488,35.493,36.073,35.953,36.521,37.382,38.747,39.331,40.219,43.163,47.424,53.278,57.152,63.295,66.29,68.806,72.109,79.257,80.929,80.134,66.578,66.005,64.833,65.074,64.538,61.969,62.064,62.749,62.379,63.285,62.914,62.039,61.863,61.204,61.133,60.538,61.564,53.81,50.878,50.005,50.725,53.39,54.711,55.742,55.607,55.088,56.035,55.87,57.047,59.472,60.765,59.801,61.645,61.608,60.019,67.616,68.974,62.834,61.783,62.762,62.776,62.051,63.825,64.118,63.4,63.875,63.18,62.225,61.179,61.297,62.875,64.296,64.43,65.62,66.554,66.185,66.828,68.06,68.677,69.877,71.256,69.428,67.242,67.775,67.099
"26","18","  Retail trade","A382RD3",25.659,25.704,26.045,26.73,27.201,27.352,27.964,27.929,27.386,26.844,26.652,26.616,26.627,26.672,27.725,28.744,29.658,29.731,29.618,29.486,29.461,29.291,29.253,29.121,29.157,29.26,29.445,29.39,29.427,29.41,29.468,29.507,29.527,29.566,29.72,29.935,30.126,30.37,30.509,30.867,31.073,31.147,31.262,31.434,31.584,31.606,31.666,31.7,31.698,31.696,31.682,31.585,31.588,31.56,31.522,31.482,31.43,31.282,31.243,31.28,31.242,31.139,31.193,31.062,30.943,31.016,30.99,31.095,31.082,31.056,31.03,31.053,31.104,31.197,31.202,31.385,31.493,31.466,31.586,31.664,31.492,31.704,31.873,32.013,32.191,32.4,32.503,32.64,32.889,33.035,33.085,33.427,33.7,33.844,33.944,34.328,34.724,34.935,34.954,35.087,35.307,35.622,35.844,36.25,37.386,38.556,38.542,39.366,39.978,41.055,42.65,43.738,44.453,45.208,45.932,46.413,46.714,47.502,48.068,48.827,49.727,50.228,50.504,51.166,52.092,53.726,54.7,55.803,57.495,58.841,60.015,62.117,64.787,65.978,67.9,68.202,69.177,70.002,70.65,71.294,71.478,72.168,72.606,72.945,73.587,74.105,74.723,75.348,76.103,76.313,76.393,76.58,76.804,77.011,76.864,77.635,77.294,77.715,78.185,78.551,78.887,79.856,80.303,80.894,81.482,82.389,83.228,83.971,84.86,85.417,85.55,86.064,86.419,86.765,87.881,88.557,88.532,88.701,89.114,89.716,89.966,90.645,91.229,91.522,92.02,92.63,92.768,93.143,93.111,93.877,94.52,94.898,95.669,96.371,96.545,96.983,97.177,97.39,97.606,97.701,97.405,96.683,96.257,95.841
