"","Table 1#2#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"20","11","    Final sales","A334RY2",-1.76,-0.5,-2.82,-0.3,2.88,1.45,4.18,0.88,1.12,1.44,1.27,1.71,-0.13,-0.28,0.53,2.15,3.94,-0.22,-0.53,0.55,0.47,0.97,0.82,0.5,0.65,1.35,1.11,0.6,0.01,1,0.71,0.47,0.62,0.63,1.25,0.99,1.24,0.44,0.82,0.56,0.61,0.3,0.83,0.83,-0.36,0.36,0.53,0.13,0.86,0.71,1.04,0.49,0.36,0.29,0.4,0.45,0.35,0.26,0.54,0.52,0.19,0.07,0.25,0.2,0.51,0.42,0.32,0.27,0.27,0.53,0.27,0.16,0.22,0.35,0.26,0.39,0.49,0.47,0.3
"21","12","    Change in private inventories \1\","A357RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,-1.97,1.2,0.23,-0.19,-0.4,0.02,0.22,0,-0.29,0.51,-0.26,0.11,0.27,-0.06,0.06,-0.32,0.3,0.07,0.18,-0.05,-0.14,-0.1,0.29,-0.23,0,0.02,-0.12,0.33,0.35,-0.25,-0.12,-0.32,0.87,-0.62,-0.27,0.89,-0.12,-0.17,-0.12,-0.12,0.23,0.01,0.1,0.1,-0.24,0.36,-0.43,0.2,0.24,-0.07,-0.01,-0.04,-0.12,-0.11,0.09,0.21,-0.1,0.15,-0.17,-0.39
"22","13","Services \2\","A341RY2",-0.31,-0.55,-2.26,-1.05,3.17,1.41,2.94,1.36,0.41,2.33,1.93,5.84,15.12,13.77,6.99,-0.39,-17.17,-2.61,0.68,1.44,0.98,5.21,3.69,1.91,-0.37,0.95,1.31,1.8,0.95,2.16,1.25,1.65,2.54,1.92,2.21,2.32,2.84,2.57,2.53,1.57,1,1.21,1.86,1.49,1.07,1.78,1.42,1.75,1.94,1.21,0.95,1.03,0.92,2.25,1.53,2.73,2.31,1.81,2.08,1.75,1.72,1.03,1.76,1.37,1.41,1.24,1.44,1.6,2.02,2.22,2.26,1.51,1.54,1.19,1.65,1.54,1.45,1.61,0.94
"23","14","Structures","A755RY2",-1.74,-2.05,-2.77,-1.59,1.09,0.91,2.69,0.23,-0.21,1.56,0.55,2.69,0.83,-4.42,-1.59,0.13,3.29,1.1,1.65,0.11,2.6,-0.4,0.25,0.65,0.75,1.12,-0.05,-0.14,0.21,1.35,-0.11,0.33,0.67,0.78,0.79,0.59,0.01,-0.16,0.67,0.14,-0.48,0.99,0.86,0.26,-1.25,-1.01,0.95,1,1.09,0.35,-0.89,-0.16,-0.97,0.75,1.39,0.56,0.16,0.05,-0.02,-0.07,-0.19,-0.7,0.32,0.26,0.43,0.09,0.56,0.38,0.47,0.38,0.34,0.07,-0.24,0.31,0.49,0.3,-0.18,-0.49,-0.61
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","  Motor vehicle output","A953RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0,-0.85,1.02,0.48,0.65,-0.66,-0.36,0.98,0.61,0.16,-0.34,-0.98,0.23,-0.21,0.85,0.76,0.41,-0.01,-0.04,0.2,0.07,-0.35,-0.34,0.35,0.29,0.43,0,0.07,0.31,0.31,0.37,-0.06,-0.16,0.39,0.04,0.14,0.13,-0.04,-0.04,-0.52
"26","16","  Gross domestic product excluding motor vehicle output","A962RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94,3.1,1.05,2.34,4.83,5.15,0.11,0.15,4.39,3.99,5.42,3.47,0.71,2.31,-1.73,3.67,6.42,3.73,3.47,3.24,3.91,3.5,2.22,0.11,3.04,2.56,3.64,2.52,3.67,4.15,4.04,4.46,4.2,1.24,1.43,2.45,3.44,2.92,2.71,2.18,0.96
"27","17","  Final sales of computers \3\","BB01RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.33,0.28,0.16,0.36,0.48,0.26,0.17,0.22,0.2,0.13,0.06,0.1,0.21,0.19,0.18,0.42,0.5,0.49,0.42,0.41,0.3,0.13,0.03,0.12,0.03,0.11,0.14,0.13,0.12
"28","18","  Gross domestic product excluding final sales of computers","BB00RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86,-0.61,2.25,-2.1,4.16,6.71,3.87,3.29,2.98,3.91,3.45,1.82,-0.34,3.18,2.66,3.89,2.09,3.24,3.96,3.93,4.41,3.84,0.95,1.79,2.37,3.54,2.94,2.53,2.02,0.32
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
