"","Table 1#7#1# Percent Change from Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253"
"11","3","Less: Income payments to the rest of the world","A655RL1",NA,-10.3,-12.9,91.3,-22.1,2.1,94,-40.2,80.7,-11.2,12.9,4,18.5,10.7,11.2,5.5,30.6,2.7,-6.9,-2.5,-14.3,33.2,4.1,16,-6.5,-2.6,14,22.1,-13.1,-2.1,-5.5,1,12.5,38.3,8.1,-1.7,4.3,-10.7,20.4,1.7,1.2,-2.8,10,2.4,9.5,-24.6,21,20.3,18.7,19.8,25.4,26.6,51.2,-11.2,-5.4,-13.1,6.6,1.9,15.6,11.9,-17.6,7.3,3,4.5,6,22.1,18.6,13.9,6.6,9.3,0.4,24.3,2.8,8.1,11.1,12,5.4,8,29.6,10.5,0.2,-0.4,-3.1,21,25.9,28.5,10.2,4.6,49,54.1,57.4,16.3,5.1,-8.8,-8.2,-17.6,-24.7,9.9,38.5,16.9,-4.9,35.1,4.3,33.7,59.8,47.8,13.1,9.6,15.4,37.4,25.9,-1.1,-8.8,-19.6,-1.6,-17.1,27.8,-4.6,-9.4,-7.4,-13.8,25.3,19.5,42.6,20.5,68.5,18.4,59.6,33.9,27.5,23.1,43.1,30.7,-22.2,-33.5,106.1,27.1,37.1,14.6,-29.7,17.2,22.3,-4.1,-22.6,-20.2,12.3,34.6,13.5,46.2,42.3,17.6,-7.7,-15.9,-4,-0.3,-1.3,28.1,10.5,-22.8,17.9,8.7,17.3,16.2,18.1,21.8,6,27.8,18.9,20.9,21.1,-10.5,-12.7,6.5,-5.2,7.6,-18.2,-11.9,-21.2,-11.4,-32.9,-9.2,5.5,-16.9,-10.9,-13.5,32.3,-11,62.8,-2.7,46.4,48.8,37.4,10.5,14.4,25,-10.6,-6.5,14,18,15.2,33.4,7.3,17.1,0.6,-0.1,8.5,1.9,-4,-0.8,14.5,33.6,8.6,21.8,22.4,-5,-5.3,-29.1,-35.9,-7.3,-74.7,129.8,58.8,0.5,-36.7,46.4,-4.1,16,3.3,16.8,58.4,10,69.5,11.1,23.2,13.3,65.7,24,45.4,23,8.9,13.4,27.6,-10.5,-20,-23,11.3,-27,-27.4,-60.8,-0.9
"12","4","Equals: Gross national product","A001RL1",NA,-0.5,-0.3,6.3,6.7,7.7,2.2,0.6,-5.5,-1.5,4.5,-3.9,17.2,12.8,17,7.2,5,7.2,8.3,0.8,3.9,0.5,2.6,13.8,7.6,3.2,-2.7,-6.1,-1.7,0.5,4.6,8.5,12,6.7,5.5,2.3,-1.5,3.1,-0.4,6.3,2.9,-0.7,3.8,-4.7,-10.3,2.5,9.6,9.6,8.3,10.4,-0.3,1.6,9.1,-1.8,0.8,-4.9,2.5,7.5,6.6,8.4,7.3,4.7,3.7,1.4,5.1,4.9,7.7,3.1,9.5,4.5,5.6,0.9,10.5,5.6,8.1,9.6,10.2,1.3,2.6,3.4,3.5,0,3.5,3,8.5,7,2.8,1.7,6.4,1.1,2.4,-1.9,-0.6,0.8,3.5,-4.4,11.9,2.4,2.9,1.3,7.4,9.7,4.1,6.7,11,4.9,-1.5,3.9,-2.7,0.8,-4.3,-2.1,-5.3,3.1,7.1,5.9,9.2,3.2,2,3,5.2,8,7.2,-0.5,1.9,15.7,4.3,5.9,0.8,0.9,3.8,1,1.4,-8.2,-1,6.5,8.8,-3.4,5.2,-4.3,-6.6,2.7,-2.3,0.2,5,9.5,8.1,8.6,7.5,7,3.9,2.8,3.1,3.6,5.8,3.3,3.6,1,4.1,1.4,2.4,4.7,3.5,7.2,2.5,5,1.9,5.6,3.8,2.9,3.3,1.3,4.1,1.7,-0.3,-1.9,-2.7,1.9,1.5,2.1,4.4,4.3,4,4.3,1.2,2.1,2.5,4.4,4.4,5.3,2.5,4.5,1.5,1,2.6,3.4,3.1,6.6,3.3,4.7,2.7,6.4,4.7,2.8,4.3,3.5,4.7,7.2,4.1,3.4,5,7.8,0.9,8.2,0.2,3.4,-1.9,3,-2,3.9,1.9,1.4,2.6,0.7,1.1,3.7,6.8,4.6,3.5,2,3.3,2.6,5.2,1.3,3.4,1.1,5.4,1.3,-0.3,3.2,0.9,3.6,5.4,3.4,-1.1,0.2,-1.8,-6.7,-6.6,-1
"13","5","Less: Consumption of fixed capital","A262RL1",NA,-3.2,-1.9,-1.3,-0.1,-0.4,0,-0.1,1,0.8,0.8,0.8,1.3,2.2,2.5,3.1,3.7,4.2,4.3,4.6,4.8,5.2,5,5.5,5.7,5.5,4.7,4.8,4.9,4.1,4.2,3.8,3.8,3.7,3.7,3.5,3.7,3.6,3.6,3,2.9,3.4,3.6,4.1,4.4,3.7,3.1,2.1,1.9,1.8,1.6,1.9,1.7,2.1,2.3,2.8,2.8,3.2,2.9,3.3,3.5,3.3,3.8,3.9,4.1,4,4,4.2,3.9,4.2,4.4,4.8,4.9,5.3,5.5,5.5,6,5.8,5.7,5.5,5.5,5.2,5.2,5,4.8,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.7,3.7,2.6,1.5,4.3,3.9,3.7,3.1,3.2,3.8,4.7,5.3,5.9,5.6,5.2,4.9,4.5,4.2,4,3.6,3.3,3.2,3.1,3.1,3,3.2,3.5,3.7,4,4.2,4.3,4.4,4.4,4.8,4.9,5.1,5.4,5.2,5,4.8,4.7,4.5,4.2,4,3.8,3.9,4.1,4.3,4.5,4.1,3.7,3.3,2.9,3.2,3.4,3.8,4,4.5,5.1,5.5,6.1,5.7,5.3,5,4.5,4.6,4.7,4.8,4.8,4.6,4.4,4.2,4.1,4.1,4.2,4.2,4.3,4.2,4.2,4.2,4.2,3.8,3.5,3.2,2.9,2.9,3,3,3,2.6,2.3,1.9,4.2,4.1,3.9,3.8,3.7,3.9,4.1,4.3,4.5,4.6,4.8,4.9,5,5.2,5.3,5.5,5.6,5.9,6.2,6.4,6.6,6.8,6.9,7,7.1,7.1,7.2,7.2,7.3,6.8,6.3,5.8,5.4,4.9,4.4,3.9,3.4,3.3,3.1,2.9,2.8,2.9,3,3.2,3.4,3.4,3.4,3.3,3.3,3.7,4,4.4,3.2,3.5,3.7,3.8,3.9,3.9,3.9,3.9,3.9,3,2,1.1,1.5,0.5
"14","6","        Private","A024RL1",NA,8.2,8.1,8,7.9,7.3,6.8,6.2,5.7,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.3,4.7,4.1,3.5,2.9,3.3,3.6,4,4.3,4.2,4.1,3.9,3.8,3.9,4,4.2,4.2,4.3,4.3,4.4,4.4,4.2,3.9,3.6,3.4,3.9,4.4,4.9,5.5,4.4,3.3,2.2,1.1,1.1,1.1,1.1,1.1,1.5,2,2.5,3,3,3,3,2.9,3.2,3.6,3.9,4.2,4.2,4.2,4.2,4.2,4.6,5.1,5.5,6,6.2,6.5,6.7,6.9,6.7,6.4,6.1,5.9,5.7,5.6,5.4,5.3,5.4,5.6,5.7,5.8,5.8,5.9,5.9,5.9,4.5,3.3,2,5.8,5.4,5.1,4.7,4.4,5.3,6.2,7.1,7.9,7.3,6.7,6.2,5.7,5.2,4.7,4.3,3.8,3.7,3.5,3.4,3.3,3.6,4,4.3,4.6,4.8,4.9,5,5.1,5.4,5.6,5.9,6.1,5.8,5.6,5.3,5.1,4.8,4.5,4.2,3.9,4.2,4.4,4.6,4.8,4.3,3.8,3.3,2.8,3,3.3,3.6,3.8,4.4,5,5.5,6.1,5.6,5.1,4.6,4.2,4.3,4.4,4.5,4.6,4.4,4.2,4,3.9,4,4,4.1,4.2,4.2,4.1,4,4,3.6,3.3,3,2.6,2.7,2.8,2.9,3,2.6,2.1,1.7,4.6,4.5,4.4,4.3,4.2,4.5,4.8,5,5.3,5.4,5.5,5.7,5.8,6,6.2,6.3,6.5,6.8,7.1,7.4,7.6,7.7,7.8,7.9,7.9,8,8,8.1,8.1,7.6,7,6.5,6,5.4,4.8,4.2,3.6,3.4,3.2,3,2.8,3,3.1,3.2,3.4,3.4,3.4,3.5,3.5,3.9,4.3,4.7,3.4,3.6,3.8,4,4.2,4.1,4.1,4,3.9,2.9,1.9,0.9,1.1,-0.2
"15","7","        Government","A264RL1",NA,-17.2,-15.3,-14.8,-12.8,-13.3,-12.1,-12,-8.4,-9.3,-9.3,-9.6,-8.3,-5.8,-4.7,-2.8,-0.5,2.8,4.8,7.7,10.6,10.8,8.8,9.8,9.6,9,6.5,7.1,8,4.7,4.7,2.9,2.7,2.1,2.1,1.2,1.8,2.1,2.9,1.4,1.8,2.2,1.6,1.8,1.5,1.6,2.6,1.8,4.3,3.6,2.9,4.4,3.7,3.5,3.2,3.6,2.2,3.7,2.5,4.1,5,3.5,4.6,3.7,3.8,3.4,3.7,4.3,3,3.1,2.7,2.9,2.2,2.8,3,2.3,3.4,3.4,3.9,3.8,4.4,3.8,4.2,3.9,3.5,3.3,3.1,2.6,2,1.7,1.8,1.7,1.2,1.2,0.7,-0.2,-0.1,-1,-0.6,-2,-0.5,-0.9,-0.2,-0.4,-0.8,0.1,0,0.7,0.5,0.8,1.3,1.2,1.6,1.6,1.6,2.1,2,1.8,1.8,1.6,1.7,1.9,1.8,1.9,1.4,2.1,2,2,2.1,2.5,2.8,2.6,2.9,3,2.9,2.9,2.9,2.8,3,3,3.1,3.2,3.2,3.5,3.6,4,4,4.6,4.8,5,5.4,5.5,6,6.1,6.2,6.4,6,6,6,6,5.9,5.4,5.3,5.1,4.8,4.8,4.7,4.6,4.5,4.6,4.8,4.6,4.9,4.6,4.4,4.2,4.1,3.9,3.6,3.4,3.3,3,2.9,2.6,2.6,2.3,2,1.8,1.6,1.6,1.5,1.4,1.3,1.5,1.6,1.6,1.8,1.7,1.8,1.8,1.6,2,2.1,2.1,2.2,2.5,2.7,2.9,3.1,3.1,3,3,3,2.8,2.7,2.5,2.2,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.5,2.7,3.5,3.2,3,2.7,2.5,2.6,2.8,2.9,2.3,3,3,2.9,2.9,3.1,3.4,3.6,3.8,3.2,2.6,2,3.6,4.1
"16","8","          General government","A265RL1",NA,-17.8,-16.2,-15.4,-13.4,-14,-12.9,-12.8,-9,-9.9,-10.1,-10.3,-9.1,-6.7,-5.6,-3.3,-0.8,2.7,4.7,8,10.9,10.9,9,10.2,10,9.5,6.7,7.1,8.1,4.8,4.8,2.9,2.6,1.9,1.8,1.1,1.6,1.8,2.8,1.2,1.5,2,1.4,1.6,1.3,1.4,2.3,1.7,4.1,3.4,2.8,4.1,3.6,3.1,3.1,3.3,2,3.5,2.2,4.1,4.9,3.3,4.5,3.7,3.7,3.2,3.6,4.1,2.9,3,2.3,2.7,1.9,2.5,2.9,2,3.2,3.2,3.7,3.7,4.2,3.8,4.1,3.7,3.3,3,2.9,2.2,1.7,1.4,1.5,1.4,0.9,0.8,0.3,-0.6,-0.6,-1.5,-1.3,-2.6,-1.2,-1.5,-1,-1,-1.5,-0.6,-0.6,0.1,-0.1,0.3,0.8,0.7,1.1,1.3,1.1,1.8,1.8,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.2,1.9,1.7,1.8,1.8,2.3,2.5,2.2,2.7,2.8,2.7,2.7,2.7,2.6,2.8,2.7,2.9,3.1,3.1,3.5,3.6,4,4.1,4.7,5,5.2,5.6,5.7,6.2,6.3,6.5,6.7,6.3,6.4,6.3,6.3,6.2,5.7,5.5,5.3,5,4.9,4.9,4.8,4.6,4.8,4.9,4.8,5,4.7,4.4,4.2,4.1,3.8,3.5,3.3,3.2,2.8,2.7,2.4,2.4,2,1.8,1.5,1.3,1.4,1.2,1.2,1.1,1.3,1.4,1.4,1.6,1.5,1.7,1.7,1.7,1.9,2,2,2.1,2.4,2.5,2.7,2.9,2.9,2.8,2.8,2.9,2.7,2.6,2.4,2.1,2.4,2.3,2.3,2.4,2.3,2.3,2.2,2.2,2.4,2.3,2.5,3.3,3.1,2.9,2.6,2.4,2.6,2.8,2.9,3,3.1,3.1,3,2.9,3.3,3.6,3.9,4.2,3.4,2.7,2.1,4,4.5
"17","9","          Government enterprises","A266RL1",NA,1.9,11.7,0.1,2.5,2.5,6,3.3,3.7,3.1,5.5,2.4,5.1,7.4,10.1,3,3.5,3.9,5.9,3.5,6.6,9.4,6.6,3.6,3.7,3.2,3.1,7.1,6.2,3.2,3.8,3.3,4.5,4.9,5.7,3.4,4.6,5.8,3.8,4.2,5.7,5.5,3.8,4,4.9,4.4,5.7,4.1,6.5,6,3.7,8.5,4.2,8.6,3.6,7.3,4.6,7.5,6,4.4,6,5.8,6.1,4.2,4.5,5.7,4.6,6.9,4.7,4.7,6.7,5.7,5.5,5.6,4.2,5.3,5.3,6.9,5.8,4.6,6.4,4,6,6,5.6,6.5,5.4,6.7,5.6,5.3,5.3,5.4,4.5,5.2,5.7,4,4.3,4.5,5.6,3.6,6.1,4.2,6.3,4.5,5.7,5.8,5.2,5.3,5.7,4.2,5.5,4.8,5,3.9,4.7,4.2,3.7,4.4,3.7,3,3.1,3.3,3.3,3.4,2.9,3.3,3.7,3.5,4.4,3.7,4.2,4.6,4.3,4.2,4.2,4.1,4.4,4.2,4.1,4.5,4,3.9,4,3.7,3.7,4,3.7,4,4,3.9,4.3,4.4,4.6,4.5,4.3,4.6,4.2,4,4.2,4.1,3.9,3.6,4,3.9,3.6,3.8,3.6,3.6,3.9,3.8,3.9,3.6,4.2,3.8,3.9,4,3.8,4.1,4,4,4,4.2,4.1,4.1,4.2,3.9,3.5,3.4,3.3,2.9,3.1,2.7,2.6,2.7,2.9,2.9,3.2,2.7,2.5,2.4,1.3,2.5,3,2.8,3,3.3,3.7,3.8,4.2,4.2,3.8,3.9,3.9,3.5,3.3,3.1,2.8,2.8,2.8,3,2.8,3.1,3.4,3.7,4,4,3.9,4,4.3,4.1,3.6,3.2,2.9,2.7,2.7,2.7,-1.3,2.6,2.6,2.6,2.6,2.4,2.3,2.1,2.1,1.9,1.8,1.5,1.7,1.9
"18","10","Equals: Net national product","A027RL1",NA,-0.2,-0.2,7.3,7.5,8.6,2.4,0.7,-6.3,-1.8,4.9,-4.5,19.3,14.1,18.7,7.6,5.2,7.5,8.7,0.4,3.8,-0.1,2.4,14.7,7.8,2.9,-3.4,-7.3,-2.5,0.1,4.6,9.1,13,7.1,5.6,2.2,-2.1,3.1,-0.9,6.7,2.9,-1.2,3.8,-5.7,-12,2.4,10.4,10.6,9.1,11.5,-0.5,1.5,10,-2.2,0.6,-5.7,2.5,8,7.1,9,7.7,4.9,3.7,1.1,5.2,5.1,8.2,3,10.2,4.5,5.7,0.5,11.2,5.6,8.3,10.1,10.7,0.9,2.2,3.1,3.3,-0.5,3.3,2.8,8.9,7.2,2.6,1.4,6.6,0.7,2.1,-2.6,-1.1,0.5,3.7,-5,12.8,2.3,2.8,1.1,7.9,10.4,4,6.8,11.6,4.8,-2.3,3.7,-3.5,0.4,-5.2,-2.8,-6.4,3.1,7.7,6.3,10,3.2,1.8,2.9,5.4,8.5,7.6,-1.2,1.6,17.2,4.2,6,0.2,0.3,3.7,0.6,0.9,-9.9,-1.8,6.9,9.5,-4.3,5.3,-5.5,-8.1,2.5,-3.1,-0.3,5.3,10.5,8.8,9.3,8,7.4,3.7,2.5,2.7,3.3,5.9,3.1,3.4,0.5,4,0.9,2.1,4.7,3.3,7.6,2.3,5.1,1.6,5.8,3.7,2.8,3.2,0.9,4.1,1.4,-0.8,-2.6,-3.5,1.8,1.3,2,4.6,4.5,4.2,4.6,0.8,1.9,2.3,4.5,4.4,5.5,2.2,4.5,1.1,0.5,2.3,3.2,2.8,6.8,3.1,4.6,2.3,6.5,4.5,2.3,3.9,3.1,4.5,7.2,3.7,2.9,4.8,7.9,0,8.3,-0.6,3,-2.8,2.7,-2.8,3.9,1.7,1.2,2.5,0.4,0.9,3.8,7.4,4.8,3.5,1.8,3.3,2.5,5.4,1,3.3,0.7,5.7,1,-0.9,3.2,0.5,3.5,5.6,3.3,-1.8,-0.1,-2.4,-7.8,-7.7,-1.2
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RL1",NA,-3.5,0,4.9,11,10.9,0.7,1.6,-7.7,-2.4,2.9,-5.1,16.6,16.9,17.8,8.3,1.8,5,7,3.3,3.4,2,2.8,12.7,7.5,3,-2.2,-8.6,1,0.7,3.6,9,11.1,9.3,4.8,3.2,0.4,3.9,-0.4,7.2,0.7,-0.2,1.9,-3.9,-8.5,0.6,7.5,10.1,10,12.3,-3.4,2.8,9.5,-0.9,-0.4,-2.3,0.7,7.1,6.1,9.4,5.8,4.2,3.7,3.9,4.2,6.2,5.2,3.9,7,5.6,5.9,3.6,9.3,5.3,5.8,9,8.9,2.5,2.5,3.3,2,2.1,4.3,4,6.2,6.1,5.1,2.4,4,2.6,3,-0.6,-2.9,-0.2,3.5,-3.9,8.4,2.9,3.5,5.1,5.7,5.5,6.9,11.3,7.5,2.2,1,4.6,-3.4,-1.6,-1.7,-5.2,-4.7,3.7,8.5,4.1,8.5,2.5,2.9,1.4,3.9,10.5,8.1,2.4,2.1,12.8,2.7,3.4,3.5,-2.3,0.6,2.8,0,-7.4,2.2,10.6,3.5,-0.2,6.4,-4.9,-2.9,1.9,-1.9,-1.9,4.8,6.8,5.7,8.6,11.2,7.7,4.7,4.6,3.3,2.5,4.7,2.4,4.3,1,2.4,2.9,3.4,6.3,6.1,5.8,4.7,4.6,3.3,5.5,2.2,-1,1.8,0.5,3.4,2.8,-0.4,-2,-0.9,1.1,0.8,1.3,6.3,3.1,1.2,4.1,0.1,4.5,1.1,6.7,4.6,5,4.3,4.9,2.1,1.9,4.7,2.5,3.8,6.4,3.9,5.2,4.3,4.7,6.7,4.9,4.3,5.8,6,3.9,5.5,2.7,3.7,7.1,8.4,2.2,3,-0.8,4.1,-1.4,-1.8,-1.9,5.1,2.2,-0.5,1.6,1.1,4.1,3.4,4.4,3.3,3.9,4.3,2.9,4.3,3,3,4.8,6.4,1.3,1.9,2.6,-2.4,2.5,-1.1,1.3,0,-0.1,-1.1,-7.3,-7.7,-2.6
"21","12","  Gross national income \2\","A023RL1",NA,-3.4,-0.1,5,11.1,11,0.7,1.6,-7.7,-2.4,2.8,-5.3,16.6,16.9,18.1,8.2,1.7,5.4,7,3.4,3.2,2,2.7,12.6,7.4,3.1,-2.5,-8.5,1.2,0.7,3.6,9.3,11.1,9.2,4.7,3.3,0.7,3.9,-0.4,6.8,1.1,0,1.7,-4.5,-8.4,0.6,7.3,10.1,9.9,12.3,-3.2,2.9,9.4,-0.8,-0.3,-2.1,0.9,6.9,6.1,9.3,5.8,4.4,3.7,4.3,4,6,5.3,3.9,7.2,5.4,5.9,3.3,9.6,5.3,5.5,8.6,8.9,2.5,2.4,3.4,2,2.1,4.5,3.9,6.2,6.2,5.2,2.4,4,2.5,2.8,-0.6,-2.8,-0.1,3.4,-4.1,8.9,3.1,3.1,5.3,5.7,5.4,7.1,11.2,8,2.4,1.6,4.6,-2.7,-1.9,-2.1,-5.7,-5.3,3.7,8.7,4.7,8.3,2.7,2.9,1.4,4.4,10.3,7.9,2,2.6,11.9,3,4,3.5,-1.7,1.5,2.7,0.1,-7.7,1.8,9.5,3.7,-0.4,6.6,-4.3,-3.2,2.4,-2.6,-2,4.7,7,5.8,8.7,10.7,7.7,4.6,4.1,2.5,2.6,4.1,2.7,3.9,0.3,2.6,2.3,3.5,6.7,6,5.9,5.1,4.4,3.1,5.7,2.2,-1.1,1.9,1,3.2,2.8,-0.8,-0.5,-1.7,0.3,0.5,1.8,6.3,3.1,1,4.2,0.5,4.1,1.5,5.7,5.1,4.7,4.2,4.8,2.6,2.1,3.9,3.1,4.1,5.9,3.8,5.5,3.9,5.1,6.3,4.5,4.7,5.6,5.3,4,6,2.9,3.5,7.5,8.2,2.4,2.8,0.2,3.5,-1.1,-2.7,0.5,3.5,1.5,0.1,2.3,0.6,4.6,3.4,5.3,3.9,3,4.6,2.1,5.4,2.6,3.3,3.8,6.5,1.2,1.5,2.9,-2.7,2.8,0.7,2.6,-0.4,-1.3,-0.2,-8.5,-7.8,-2.8
"22","13","  Net domestic product","A362RL1",NA,-0.3,-0.1,7.1,7.3,8.6,2.4,0.7,-6.2,-1.7,5,-4.2,19.2,14.1,18.3,7.7,5.3,7.1,8.7,0.3,4,-0.1,2.5,14.9,7.9,2.8,-3.2,-7.4,-2.7,0.1,4.6,8.8,13,7.1,5.6,2.1,-2.4,3.1,-1,7.2,2.4,-1.5,3.9,-5.1,-12.1,2.3,10.6,10.7,9.2,11.6,-0.7,1.3,10.2,-2.3,0.5,-5.9,2.3,8.3,7.1,9,7.8,4.6,3.7,0.7,5.5,5.2,8.2,3,9.9,4.7,5.7,0.7,10.8,5.6,8.7,10.5,10.6,0.9,2.3,3.1,3.4,-0.5,3,2.9,8.9,7.2,2.5,1.4,6.6,0.8,2.3,-2.6,-1.2,0.4,3.7,-4.8,12.4,2.1,3.2,0.9,7.8,10.5,3.8,6.9,11.2,4.6,-2.9,3.7,-4.3,0.7,-4.8,-2.2,-5.8,3.1,7.4,5.6,10.3,3,1.8,2.8,4.8,8.7,7.8,-0.7,1,18.3,3.9,5.4,0.1,-0.2,2.6,0.6,0.8,-9.5,-1.4,8.1,9.3,-4.1,5.1,-6.2,-7.9,1.9,-2.3,-0.1,5.4,10.2,8.8,9.2,8.5,7.4,3.8,3,3.5,3.1,6.5,2.8,3.8,1.2,3.8,1.6,1.9,4.3,3.4,7.4,1.8,5.4,1.8,5.6,3.7,2.9,3.1,0.4,4.3,1.3,-0.5,-4.3,-2.6,2.7,1.5,1.4,4.7,4.5,4.4,4.6,0.3,2.4,1.9,5.6,4,5.8,2.4,4.5,0.5,0.4,3.2,2.5,2.5,7.4,3.3,4.3,2.8,6.1,5,2.7,3.5,3.2,5.2,7.1,3.2,2.7,4.9,7.4,0.2,8.2,-0.4,1.9,-2.2,2.3,-1.8,1.1,3.5,2,1.9,-0.3,1.5,3.3,7.4,3.7,2.8,2.8,2.9,3.5,4.2,1.4,2.9,1.8,5.7,1.2,-0.4,2.8,0.8,3.1,3.5,1.9,-1.4,1.2,-3.3,-6.3,-7.6,-0.9
"23","14","  Net domestic income \3\","W256RL1",NA,-3.5,0.2,5.7,12.4,12.4,0.8,1.9,-8.7,-2.7,3.1,-5.8,18.6,18.7,19.6,8.9,1.6,5.1,7.3,3.1,3.2,1.7,2.5,13.6,7.7,2.7,-2.9,-10,0.5,0.3,3.5,9.6,12,10,4.9,3.3,0,4,-0.9,7.8,0.4,-0.7,1.7,-4.9,-10,0.2,8.1,11.2,11,13.7,-4,2.9,10.5,-1.2,-0.8,-2.9,0.4,7.5,6.5,10.1,6.1,4.3,3.7,3.9,4.2,6.5,5.4,3.9,7.4,5.8,6,3.5,9.7,5.3,5.8,9.4,9.2,2.1,2.2,3.1,1.6,1.8,4.1,3.9,6.4,6.3,5.2,2.2,3.9,2.4,2.8,-1.2,-3.7,-0.6,3.6,-4.5,8.9,2.8,3.4,5.4,5.9,5.6,7.2,12,7.7,1.8,0.6,4.6,-4.3,-2.3,-2.4,-6.3,-5.7,3.7,9.3,4.2,9.2,2.5,2.8,1.1,3.8,11.4,8.6,2.2,1.7,13.9,2.4,3.2,3.2,-3.2,0,2.5,-0.6,-9,1.9,11.6,3.5,-0.7,6.8,-6.2,-4,1.5,-2.7,-2.7,5.1,7.3,6.1,9.3,12.2,8.2,4.6,4.4,2.9,2,4.6,2.1,4.3,0.5,2.1,2.6,3.2,6.6,6.3,6,4.8,4.7,3.2,5.7,1.9,-1.7,1.4,0.1,3.3,2.6,-1,-2.7,-1.4,0.8,0.5,1.1,6.8,3.2,1.1,4.4,-0.5,4.6,0.8,7.1,4.8,5.1,4.3,4.9,1.8,1.6,4.7,2.2,3.6,6.6,3.8,5.2,4.2,4.6,6.8,4.7,4,5.6,5.8,3.6,5.2,2.1,3.2,7,8.5,1.7,2.6,-1.6,3.9,-2.2,-2.7,-2.7,5.3,2.1,-1,1.4,0.9,4.2,3.5,4.6,3.3,4,4.4,2.9,4.4,2.9,2.9,4.9,6.9,1,1.7,2.5,-3.3,2.2,-1.8,0.9,-0.6,-0.6,-1.5,-8.5,-9,-3
