"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"17","10","  Nondurable goods","A356RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.318,22.409,23.749,22.715,23.964,24.948,25.5,25.592,26.245,27.805,29.008,29.348,29.941,30.779,31.778,32.709,33.428,34.374,35.73,37.712,39.834,40.897,42.285,43.079,44.075,45.258,46.516,48.354,47.582,48.133,50.137,51.359,53.005,54.661,56.804,60.937,60.12,60.207,64.562,65.766,66.466,67.04,68.81,72.016,72.878,73.648,75.224,75.01,79.246,79.182,81.929,84.681,85.835,88.951,90.393,90.637,91.372,94.458,97.857,100,105.155,107.684,106.918
"18","11","    Final sales","A334RA3",14.899,14.094,13.878,12.699,12.589,13.586,14.125,15.807,16.21,16.761,17.456,18.122,19.088,19.004,18.806,19.221,20.98,24.236,24.072,23.685,24.111,24.481,25.312,26.063,26.543,27.207,28.605,29.854,30.549,30.565,31.747,32.649,33.262,34.096,34.997,36.879,38.457,40.544,41.33,42.864,43.963,45.208,45.839,47.645,49.54,48.692,49.547,50.819,51.161,53.543,55.602,58.781,60.302,61.492,62.454,63.841,65.531,66.9,67.969,70.265,72.512,73.353,73.683,74.808,75.749,78.258,80.41,82.113,83.593,85.149,88.384,90.095,91.138,92.65,95.116,97.036,100,103.969,107.957,110.586
"19","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RA3",7.446,7.386,7.292,6.942,6.801,7.237,7.456,7.953,8.212,8.295,8.735,9.131,10.45,14.575,19.171,21.892,21.73,14.912,13.981,14.226,14.766,15.123,17.203,18.797,19.643,19.474,19.898,20.515,21.385,21.848,22.889,23.529,24.386,25.726,26.792,28.062,29.467,31.286,33.028,34.769,35.898,36.634,37.513,38.896,40.059,40.945,42.413,43.58,45.078,46.802,47.937,48.848,49.825,50.715,52.808,54.269,57.02,59.41,61.334,63.59,65.556,67.537,68.738,70.771,72.39,74.097,75.652,77.482,79.572,82.308,85.408,88.678,90.942,93.252,95.051,97.577,100,102.345,105.006,106.571
"21","14","Structures","A755RA3",17.79,15.105,12.202,8.428,6.567,7.735,8.801,12.221,12.545,12.252,14.362,15.156,19.353,20.845,11.886,8.132,8.455,16.76,19.108,22.396,22.61,27.879,27.004,27.58,29.119,31.012,33.846,33.708,33.335,33.918,37.755,37.401,38.442,40.646,43.397,46.319,48.638,48.697,47.986,50.94,51.588,49.362,53.946,57.958,59.2,53.061,48.234,52.75,57.735,63.281,65.088,60.364,59.552,54.466,58.405,66.295,69.749,70.788,71.098,70.973,70.483,69.083,63.743,66.19,68.25,71.765,72.533,77.243,80.521,84.723,88.178,91.338,91.982,89.714,92.677,97.225,100,98.365,93.989,88.41
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.826,30.236,30.26,24.463,31.484,35.021,40.258,34.409,31.161,39.836,45.476,47.038,43.505,33.008,35.496,33.079,42.544,51.484,56.624,56.535,55.939,58.845,59.873,54.408,48.818,54.537,59.403,66.69,66.62,67.798,73.468,79.518,87.144,85.858,82.053,91.489,92.456,96.193,100,98.815,97.492,79.505
"24","16","  Gross domestic product excluding motor vehicle output","A962RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.504,32.798,33.866,34.237,35.066,36.836,38.817,38.86,38.921,40.691,42.387,44.796,46.424,46.766,47.879,47.025,48.804,52.057,54.082,56.043,57.94,60.296,62.495,63.939,64.011,66.018,67.766,70.323,72.165,74.921,78.147,81.432,85.206,88.93,90.076,91.407,93.732,97.066,100,102.803,105.116,106.149
"25","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101,0.16,0.261,0.374,0.453,0.662,1.032,1.307,1.534,1.894,2.28,2.568,2.729,3.064,3.867,4.819,5.916,9.205,14.543,22.239,31.802,45.545,59.476,67.176,69.255,80.543,84.489,100,125.236,152.892,185.528
"26","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.584,48.949,48.65,49.754,48.7,50.739,54.173,56.292,58.163,59.911,62.279,64.447,65.629,65.406,67.503,69.312,72.033,73.552,75.958,78.997,82.132,85.792,89.117,89.973,91.594,93.783,97.125,100,102.544,104.622,104.959
"27","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.915,46.946,45.937,47.061,46.355,48.917,52.972,55.237,57.17,58.742,60.548,62.274,63.155,62.519,64.501,66.537,69.361,70.692,73.058,76.136,79.906,84.069,87.932,88.933,90.939,93.391,97.059,100,102.382,103.679,102.808
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
