"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"21","13","    Durable goods","B690RA3",6.022,5.561,5.51,5.715,5.75,6.544,6.794,6.141,6.647,7.716,7.718,7.392,7.12,5.993,7.196,8.232,6.325,6.647,7.468,6.933,8.867,8.322,8.785,9.121,9.692,10.649,10.966,11.567,13.982,15.487,13.744,12.632,11.56,11.354,12.527,13.134,13.629,13.404,14.668,15.12,14.451,14.488,15.559,14.624,16.955,19.758,17.548,18.68,17.677,18.069,17.497,20.406,28.397,20.673,19.155,19.961,19.527,20.146,19.228,18.056,16.252,17.104,17.257,14.211,13.815,14.069,13.338,14.15,14.013,13.987,13.579,13.978,13.362,13.767,12.729,13.572,13.362,14.819,15.173,17.333,16.318,18.791,18.472,20.488,22.056,25.214,25.308,27.943,33.077,36.454,34.536,37.467,39.619,41.909,43.204,40.864,41.543,40.676,41.809,42.685,43.576,44.254,45.522,45.298,45.791,47.446,48.989,48.221,48.004,50.565,52.047,53.446,53.931,54.221,54.302,54.521,55.364,56.751,58.206,60.621,61.575,65.464,65.867,65.415,65.162,66.825,67.87,67.281,64.877,67.521,69.367,73.801,76.529,75.261,78.042,75.937,80.482,79.461,73.099,70.228,71.178,72.372,73.417,71.076,71.069,73.067,76.329,80.352,81.523,86.79,89.698,92.867,96.087,98.113,101.952,103.848,108.28,112.507,113.334,119.7,123.83,127.313,131.903,139.548,142.423,146.163,145.522,127.775,111.696,109.595
"22","14","    Nondurable goods","B691RA3",6.765,6.316,6.487,6.573,6.723,7.064,7.168,7.069,6.388,7.686,7.18,6.778,7.947,7.974,7.787,8.204,8.228,8.083,9.788,7.012,9.134,8.15,9.474,9.082,10.355,11.226,11.081,10.943,12.786,13.094,12.976,12.892,11.986,11.527,13.124,13.814,13.158,14.143,13.19,14.473,14.313,14.779,16.792,15.754,14.887,16.764,17.245,17.825,17.448,17.723,18.497,19.612,22.604,22.986,21.778,22.677,24.471,24.907,23.658,22.845,22.213,23.869,22.8,23.2,22.781,21.674,22.203,22.779,21.46,22.057,22.278,22.572,22.144,21.14,21.08,22.018,22.694,23.105,23.783,23.936,24.483,26.197,27.665,28.258,29.433,31.565,33.172,34.603,34.683,37.908,38.07,38.548,41.067,45.067,43.663,45.836,48.775,46.31,46.063,46.889,48.559,50.312,52.064,52.638,51.867,51.651,53.092,53.967,54.471,56.955,61.27,62.152,60.013,60.905,63.709,63.516,65.732,65.883,65.636,67.938,71.25,72.107,71.546,73.391,72.744,74.536,74.681,73.89,75.715,73.884,74.741,75.712,78.253,81.85,83.906,82.939,83.899,83.338,78.077,78.97,76.361,78.582,79.207,80.764,84.202,83.477,85.641,85.684,91.246,94.387,92.886,96.873,97.804,100.087,99.19,102.92,105.63,105.009,106.98,111.121,114.486,112.19,114.53,110.815,116.853,120.512,127.032,128.508,128.891,129.54
"23","15","  Other","B643RA3",22.127,22.18,21.742,22.224,22.596,22.536,22.772,25.706,26.712,25.933,25.018,28.575,31.388,28.981,31.876,29.88,31.582,32.361,31.549,30.685,34.014,34.388,36.025,36.319,36.815,37.117,34.73,35.78,35.677,36.924,32.484,36.376,37.003,33.929,32.09,36.991,34.267,29.591,35.336,32.829,35.989,36.629,42.69,38.997,31.158,32.906,26.767,33.378,35.095,29.283,27.721,31.233,39.455,31.359,32.397,32.597,36.962,42.862,40.328,41.605,32.95,31.506,36.057,36.828,38.178,37.296,38.626,44.221,47.118,49.278,50.654,52.373,58.943,59.97,56.767,57.661,54.421,56.904,57.223,60.629,70.768,68.461,69.838,74.516,75.038,76.965,75.532,79.103,75.304,78.421,73.403,84.853,67.93,66.927,67.681,74.352,74.692,72.547,69.44,72.149,70.55,70.757,69.481,71.228,62.877,70.837,69.106,72.023,66.284,71.617,70.36,73.785,73.717,70.619,70.92,73.377,72.035,75.332,76.429,82.784,81.107,83.725,86.122,86.854,86.883,88.885,95.294,99.667,99.305,98.646,96.375,100.936,98.722,94.25,104.192,106.322,101.789,98.45,93.88,91.065,101.587,102.637,104.938,99.468,92.199,89.547,88.607,89.515,89.254,93.079,90.198,86.454,95.54,99.009,102.904,102.547,105.018,98.579,102.981,104.683,100.261,98.473,97.276,105.351,89.647,101.248,78.385,86.758,77.878,72.385
"24","16","Exports of services \1\","B646RA3",13.364,12.972,12.316,13.076,13.291,13.76,14.175,14.473,13.303,14.853,14.546,15.068,14.743,16.278,15.949,15.945,17.041,16.997,16.365,17.364,16.989,16.232,17.262,16.859,17.204,17.971,18.282,18.644,18.511,19.974,18.972,20.269,21.281,22.04,18.941,20.243,20.481,20.457,21.843,22.162,22.103,22.788,22.775,22.759,24.031,23.895,24.569,25.49,25.513,25.142,25.039,25.308,25.652,26.242,27.892,27.518,29.124,30.034,30.333,29.24,29.589,29.246,28.502,28.102,28.663,28.447,28.706,27.704,30.547,31.394,31.067,30.638,31.508,31.329,30.667,31.611,35.09,34.783,36.175,37.233,38.28,39.559,39.693,40.029,41.647,42.789,43.938,43.383,46.197,46.491,47.998,48.814,50.74,52.091,52.792,53.864,51.652,55.266,56.432,58.671,58.908,58.471,58.674,57.932,59.798,60.467,60.822,60.659,62.607,64.264,64.763,65.464,65.855,66.257,70.015,71.136,70.545,72.82,71.53,77.509,76.082,77.753,78.356,77.551,78.335,79.871,78.249,80.757,82.5,83.493,84.445,84.989,85.405,87.216,85.437,86.35,85.265,85.229,81.497,78.146,82.584,83.326,84.373,86.177,82.783,82,85.725,89.921,93.587,94.828,94.433,98.1,99.508,99.094,99.795,101.603,104.897,106.339,106.729,113.773,115.087,115.871,123.05,128.568,125.587,127.965,125.429,124.054,119.619,119.649
"25","17","  Transfers under U.S. military agency sales contracts","B267RA3",65.092,59.564,47.709,58.821,61.272,67.217,70.579,74.796,60.012,69.539,65.78,73.475,58.724,80.974,72.973,73.278,90.053,87.467,75.131,89.286,77.308,64.465,74.459,62.823,51.935,66.066,60.254,67.568,48.855,66.523,49.835,61.013,73.799,87.178,41.508,53.935,50.011,47.592,59.716,64.278,66.407,68.119,67.176,69.096,74.663,67.259,65.495,70.018,63.286,56.123,52.483,50.162,56.115,61.002,78.376,68.583,63.248,77.593,84.408,63.591,77.816,81.868,76.304,78.448,91.366,77.525,74.598,61.538,64.131,59.641,61.311,51.561,61.792,54.994,47.336,46.241,47.897,49.46,54.306,68.156,82.122,86.966,71.374,60.247,67.32,70.173,70.714,49.05,59.175,58.574,65.42,50.537,57.732,62.434,77.512,64.29,68.446,65.13,63.094,77.464,85.479,74.658,77.526,61.631,80.6,79.146,86.245,63.986,66.337,72.707,81.378,66.161,74.801,76.887,87.506,79.275,75.254,86.191,94.596,102.521,86.572,105.415,98.611,85.557,104.265,103.103,91.259,99.963,87.822,99.75,85.74,74.334,70.468,81.501,68.553,75.174,58.538,78.003,73.934,66.198,62.405,60.229,76.483,66.311,63.288,64.888,85.698,77.341,89.068,88.017,84.595,76.26,100.375,98.85,108.99,91.784,113.611,124.644,120.447,129.193,140.718,102.482,107.961,154.654,122.191,114.08,95.41,100.033,98.881,107.998
"26","18","  Travel","B493RA3",11.11,10.523,11.015,11.287,11.319,11.073,11.44,11.57,12.469,12.559,12.357,12.187,13.423,13.331,13.138,13.571,13.916,13.453,13.683,14.759,14.544,14.912,15.082,15.405,17.317,16.636,17.218,17.703,18.77,18.241,18.749,19.178,20.899,19.612,19.623,20.893,21.775,23.41,24.233,22.893,22.228,23.051,23.184,24.048,23.96,25.067,25.134,25.218,26.893,26.599,25.72,27.325,29.722,28.839,30.398,30.04,32.814,31.962,32.314,34.271,31.772,30.198,28.337,26.795,24.341,24.218,26.957,23.37,33.733,39.208,36.831,37.699,36.632,38.068,35.812,35.499,40.59,38.783,41.793,41.739,41.301,44.201,46.193,48.08,49.844,52.559,56.789,57.685,62.007,62.372,65.707,69.133,72.806,72.796,70.552,76.243,67.629,77.572,80.157,84.446,85.819,86.339,84.924,86.605,88.758,90.132,90.332,91.29,89.324,91.089,90,91.873,92.107,92.066,99.917,104.338,101.466,106.303,96.557,113.42,108.445,107.155,108.599,105.492,104.349,105.534,99.973,102.81,103.977,103.817,105.37,108.307,111.715,113.514,108.949,109.254,110.24,104.18,93.234,77.16,87.902,87.196,87.909,96.412,83.926,76.652,85.373,94.427,92.765,95.889,95.267,96.954,99.301,103.666,98.917,98.116,98.556,99.249,100.035,104.121,101.188,104.814,113.858,119.229,118.079,120.44,121.322,116.216,108.768,104.622
"27","19","  Passenger fares","B533RA3",7.523,7.407,8.393,8.309,8.6,8.885,8.631,8.801,9.13,9.41,9.937,9.25,10.946,11.591,11.174,11.674,12.092,11.348,11.188,12.256,11.757,12.421,12.283,14.134,16.525,16.986,18.537,17.785,18.509,17.432,16.94,16.625,14.837,13.573,15.579,14.768,14.944,16.56,17.328,16.601,16.391,18.45,17.915,18.333,18.621,19.116,21.281,24.405,26.5,28.403,28.83,30.937,30.759,30.726,31.504,29.592,32.334,34.894,34.35,32.35,33.428,32.682,31.819,32.562,36.96,37.001,36.138,38.317,41.128,44.482,42.358,43.486,43.338,46.824,49.594,53.375,57.6,52.07,63.727,62.122,63.237,69.973,71.049,73.179,79.89,83.004,88.612,83.306,93.902,91.099,99.38,103.938,125.839,130.689,126.442,138.221,103.982,123.015,130.703,132.854,126.787,125.373,121.803,125.917,123.876,121.332,122.687,120.234,121.715,124.999,123.209,120.029,125.606,120.199,132.957,137.588,137.668,141.039,133.413,145.33,151.913,146.526,146.721,153.048,145.139,152.016,150.748,138.281,133.043,132.994,138.181,130.967,132.32,139.675,136.271,136.558,131.936,127.895,118.03,90.378,111.283,109.925,104.796,106.38,92.261,83.08,91.187,93.953,95.016,97.885,100.657,94.153,91.929,98.98,104.033,105.057,105.183,104.051,105.912,103.317,106.769,106.304,116.103,121.883,123.814,128.666,125.685,124.97,118.985,121.298
"28","20","  Other transportation","B683RA3",22.864,22.783,22.142,22.174,22.262,22.963,23.536,23.404,20.116,26.736,26.271,26.157,27.502,28.294,28.938,27.854,27.346,28.631,29.265,25.503,30.234,30.129,31.211,33.01,37.921,36.525,36.744,35.956,36.085,38.72,38.227,40.911,38.804,37.366,37.208,38.573,41.472,39.054,40.668,42.907,41.003,43.64,42.413,38.827,42.112,43.518,44.73,45.773,48.953,48.143,50.512,50.931,48.463,48.76,49.381,50.671,50.627,49.198,49.386,49.098,49.555,48.463,46.84,45.538,42.883,44.848,46.837,49.015,54.587,55.544,55.886,55.841,57.111,55.524,55.566,57.942,53.994,54.492,56.318,56.99,58.642,60.425,63.031,65.507,68.946,71.288,70.612,71.094,71.98,72.53,69.472,71.508,71.821,73.282,73.552,67.621,68.295,72.474,73.159,74.138,69.756,68.515,67.107,67.398,68.767,68.379,67.377,69.605,69.669,74.435,74.841,78.97,77.888,80.001,80.372,83.068,76.092,78.122,77.15,81.259,79.316,80.91,80.679,82.023,78.876,77.604,78.208,82.409,82.7,82.461,81.053,84.609,83.961,85.082,82.165,80.899,83.016,81.419,79.095,76.824,81.478,81.901,83.602,86.221,83.004,85.994,86.363,91.451,97.405,99.261,96.998,99.669,101.162,101.031,97.54,100.267,103.251,105.894,106.279,109.586,111.225,113.308,116.297,118.451,119.352,120.167,114.932,109.311,96.707,96.248
"29","21","  Royalties and license fees","B684RA3",14.859,14.993,14.557,14.395,14.377,14.787,15.398,15.393,15.14,15.856,15.185,15.672,16.346,16.971,17.296,17.243,17.207,17.271,17.142,18.419,17.762,18.017,18.506,18.852,19.925,18.804,21.135,20.226,21.659,21.864,22.385,22.893,22.993,23.074,22.671,22.711,22.091,21.829,21.762,21.268,21.767,22.38,23.597,23.419,25.159,24.376,25.001,26.381,23.953,24.122,24.279,24.71,24.598,25.563,24.977,25.237,24.176,23.694,23.444,23.237,18.023,17.26,17.458,14.603,16.646,16.991,16.633,16.277,16.798,16.948,16.998,17.447,16.737,17.036,16.88,20.461,19.573,20.872,21.26,22.255,24.14,24.5,26.13,26.831,28.014,28.775,28.849,31.127,31.642,31.245,31.75,32.629,34.12,36.098,37.816,38.355,37.232,37.179,37.51,39.188,42.907,43.003,43.517,42.407,42.608,44.357,43.174,44.385,51.943,52.559,52.271,53.416,55.9,57.184,59.929,59.608,59.906,59.561,61.459,63.074,61.036,61.8,61.847,60.655,63.006,64.596,63.813,69.477,70.878,70.264,72.69,72.323,75.725,76.631,76.623,75.177,70.163,70.607,68,71.759,71.297,76.799,78.566,75.682,75.574,77.06,78.353,80.992,88.502,88.411,90.112,98.19,99.926,99.143,100.149,100.783,101.275,102.908,105.856,114.911,114.572,116.579,126.257,132.61,129.646,131.573,129.322,128.565,124.581,124.406
"30","22","  Other private services","B720RA3",1.655,1.766,1.94,1.997,1.946,1.907,1.884,1.887,1.951,2.044,2.16,2.214,2.217,2.192,2.261,2.302,2.428,2.537,2.659,2.772,2.856,2.893,2.895,2.952,2.996,3.084,3.202,3.372,5.094,5.096,5.145,5.314,5.587,5.949,6.1,6.329,6.548,6.784,7.14,7.25,7.188,7.126,7.039,7.215,7.831,7.933,8.921,9.145,9.297,9.441,9.357,9.604,9.342,9.996,10.293,10.66,14.014,14.481,14.282,14.83,17.036,17.188,17.3,17.945,16.862,17.255,17.035,17.499,17.818,17.303,17.443,17.043,17.21,16.987,17.305,17.974,24.618,24.654,24.451,24.675,24.372,24.516,24.658,25.079,25.437,25.468,25.863,26.476,28.439,29.495,30.397,30.985,30.336,30.715,31.393,32.979,34.146,35.66,36.18,36.76,35.965,35.988,36.885,36.42,36.985,37.25,37.919,39.27,41.137,42.168,42.398,44.131,43.177,43.829,45.025,45.836,47.199,48.535,49.175,51.665,52.815,55.166,56.721,57.552,58.392,60.827,61.422,62.667,67.895,69.072,71.059,72.385,70.642,71.734,72.518,74.915,75.539,76.734,76.154,78.788,81.512,82.084,82.153,84.155,84.958,86.223,87.04,91.018,94.898,95.535,94.806,100.897,99.817,96.309,99.049,104.825,109.247,109.973,109.44,119.45,122.354,125.365,131.87,133.595,130.641,134.526,132.594,132.089,130.733,131.266
"31","23","  Other","B980RA3",44.081,44.258,44.781,45.003,46.854,46.689,46.95,47.324,47.028,47.16,48.16,48.181,49.507,49.402,51.284,50.983,50.904,51.467,50.781,51.73,52.352,53.636,56.168,58.097,60.186,62.496,68.788,65.887,67.24,68.477,70.64,71.616,72.785,75.996,75.014,75.429,76.704,76.64,78.005,79.233,81.947,81.255,83.305,84.034,84.458,87.533,89.041,90.8,92.42,95.767,96.813,91.522,89.126,88.083,90.546,93.377,97.967,99.54,96.128,91.61,77.145,72.248,75.803,75.039,89.617,99.948,97.022,99.402,94.133,97.855,97.666,102.892,113.057,116.214,117.863,112.749,108.329,103.618,102.024,102.602,102.705,99.582,99.345,97.297,95.681,94.668,92.829,90.634,90.227,86.884,87.028,91.313,91.409,102.149,100.432,100.153,110.877,107.93,111.046,110.19,111.455,116.852,122.578,118.665,124.268,132.429,128.45,124.369,130.445,124.289,133.038,130.339,122.725,117.233,121.772,118.848,126.66,122.112,123.714,124.316,127.623,123.749,123.147,119.518,118.336,114.395,112.243,118.43,112.314,113.778,114.51,113.789,116.683,112.518,109.218,105.487,106.408,108.779,110.415,111.715,111.564,107.244,103.318,98.932,97.768,97.923,98.095,99.445,100.251,102.693,102.386,102.258,100.671,98.825,100.223,100.28,101.72,102.577,103.387,107.45,105.488,106.181,108.899,112.47,116.023,117.507,116.469,130.986,129.735,135.741
"32","24","    Imports of goods and services","B021RA3",9.088,9.015,9.133,9.615,10.182,10.337,10.958,10.866,9.841,11.783,11.63,11.502,11.465,11.691,11.664,11.845,11.706,12.589,12.867,11.995,13.748,13.259,13.535,14.145,14.799,14.372,13.975,14.079,13.602,14.322,14.072,13.932,12.534,11.531,12.49,13.157,13.981,14.586,15.182,15.684,16.427,16.578,16.347,16.579,17.691,17.747,17.979,18.225,18.176,18.274,17.995,18.388,18.402,17.066,15.839,16.689,17.402,17.428,17.229,17.724,17.218,16.937,17.723,17.027,17.417,18.756,20.217,21.209,22.914,23.874,24.491,25.209,24.653,25.864,25.614,26.618,26.594,27.727,28.495,28.714,28.543,29.254,29.823,30.509,30.366,30.017,30.726,31.662,31.809,31.96,31.916,32.494,33.524,33.468,33.333,32.439,32.07,32.64,33.558,34.3,34.549,35.117,35.671,36.525,37.316,38.087,38.588,40.139,41.074,42.604,43.803,45.035,46.023,46.46,46.62,47.216,48.751,49.842,51.458,52.473,54.714,56.551,58.635,59.9,62.147,63.571,64.428,66.512,68.206,70.38,72.933,74.682,77.711,80.08,82.877,82.815,81.607,79.177,77.26,76.339,78.252,80.894,82.229,83.707,82.696,83.881,84.856,87.996,90.235,93.849,95.213,97.626,98.187,99.266,99.874,102.673,104.613,105.774,107.04,106.917,108.041,107.907,108.904,107.901,107.225,105.853,105.259,100.547,89.804,86.292
"33","25","Imports of goods \1\","B255RA3",7.436,7.22,7.278,7.955,8.593,8.804,9.412,9.257,8.066,10.215,10.006,9.752,9.77,9.848,9.818,10.093,10.043,11.012,11.401,10.388,12.21,11.634,12.13,12.699,13.358,13.019,12.818,12.912,12.301,13.012,12.788,12.559,11.095,10.147,11.202,11.832,12.678,13.312,13.9,14.396,15.179,15.291,15.108,15.324,16.39,16.458,16.651,16.865,16.833,16.939,16.653,17.078,17.1,15.73,14.422,15.238,15.885,15.894,15.744,16.256,15.647,15.21,16.085,15.234,15.69,16.996,18.452,19.484,20.913,21.769,22.225,22.801,22.088,23.388,23.306,24.413,24.224,25.758,26.297,26.469,26.048,26.569,27.207,27.687,27.601,27.327,28.005,28.933,29.021,29.141,28.961,29.561,30.439,30.326,30.108,29.207,29.027,29.509,30.676,31.411,31.861,32.648,33.312,34.174,35.099,35.895,36.351,37.858,38.79,40.507,41.91,43.387,44.223,44.833,44.929,45.435,47.052,48.235,49.87,51.082,53.281,55.307,57.321,58.611,60.778,62.203,62.913,65.227,67.005,69.357,72.072,73.999,76.863,79.286,82.087,82.109,80.873,77.635,76.148,75.466,76.952,80.222,81.704,82.758,81.848,83.985,84.326,87.293,89.369,93.263,94.778,97.23,98.071,99.234,99.901,102.794,104.376,105.665,107.1,106.476,107.792,107.527,108.277,107.239,106.29,105.035,104.045,98.517,86.326,82.52
"34","26","  Foods, feeds, and beverages","B647RA3",27.856,25.721,27.168,28.051,28.758,29.847,34.956,29.89,23.104,31.492,31.418,30.977,31.186,30.637,31.446,31.687,29.884,32.711,40.538,25.86,35.822,31.658,35.186,34.654,35.386,34.772,34.449,36.212,37.102,33.212,30.331,29.639,24.81,24.641,32.522,33.262,31.537,31.615,34.177,33.824,33.383,33.318,30.715,32.427,36.656,35.973,34.963,38.189,37.767,39.322,35.081,37.467,33.989,32.317,30.591,33.343,34.843,32.99,32.472,35.207,30.512,34.831,37.069,35.723,36.008,37.317,38.279,38.32,41.867,40.669,42.858,44.434,44.924,44.449,44.526,43.284,44.707,45.94,44.996,45.727,47.121,47.426,46.461,44.89,46.524,42.741,44.994,44.264,44.123,43.506,47.368,47.544,49.82,47.332,46.66,45.717,44.524,46.056,45.287,45.08,44.365,49.566,49.121,47.976,48.007,48.02,48.49,48.768,49.406,49.891,49.938,48.474,50.811,49.918,50.722,51.231,53.712,54.613,56.996,57.611,58.48,60.426,63.459,63.139,65.274,65.494,66.143,66.574,69.261,72.051,72.811,73.807,74.404,76.382,78.413,78.429,77.32,78.883,83.638,81.865,82.306,84.267,86.092,86.008,88.425,90.12,92.068,94.315,95.182,97.32,96.093,97.407,96.954,98.842,101.553,102.651,105.679,104.846,106.009,107.699,108.722,106.71,107.746,106.434,106.023,105.587,105.184,107.134,101.026,100.623
"35","27","  Industrial supplies and materials, except petroleum and products","B649RA3",19.813,18.836,18.266,20.978,23.478,23.425,22.873,22.939,18.741,24.386,22.612,21.998,21.583,21.856,21.809,23.402,23.147,25.896,25.425,22.16,25.854,25.769,26.176,28.231,28.562,26.876,25.545,25.727,24.32,25.392,26.87,27.382,24.283,20.348,20.205,22.729,24.796,26.489,27.291,28.067,26.349,28.868,29.727,29.801,30.792,31.824,31.592,31.441,29.822,31,29.961,29.927,29.466,26.781,23.857,25.236,27.2,28.964,29.002,29.192,26.41,25.449,26.082,25.725,27.872,29.536,31.586,34.127,37.285,38.385,37.886,39.13,37.617,39.179,37.953,38.802,40.048,40.319,39.495,41.847,40.326,38.958,39.193,41.639,41.665,39.7,39.788,40.709,40.149,39.395,38.933,39.716,40.214,39.44,40.62,40.404,37.716,38.764,39.678,41.544,42.364,42.961,43.473,44.548,45.161,45.806,47.526,49.593,51.021,52.994,54.891,57.153,57.26,57.793,55.515,55.665,57.364,58.673,60.685,62.382,62.385,64.205,65.316,66.929,69.87,72.233,72.492,72.856,71.978,74.084,76.086,79.252,80.272,80.309,81.174,80.009,80.675,76.727,76.898,76.351,77.191,79.025,80.67,82.622,78.966,80.312,82.639,82.677,85.953,93.111,97.575,98.43,99.254,98.879,98.32,103.547,104.334,104.456,106.308,101.99,100.018,101.463,102.069,97.148,95.07,92.951,94.81,88.054,73.451,64.785
"36","28","    Durable goods","B820RA3",23.673,22.901,22.098,26.097,30.755,30.243,29.068,28.689,22.965,30.695,27.645,26.957,26.046,26.927,27.028,28.963,28.341,32.137,31.333,27.477,31.322,31.938,32.793,35.988,36.195,33.762,32.476,32.523,30.191,31.853,33.732,35.106,30.504,24.415,23.415,25.743,27.887,30.236,31.804,31.737,30.257,34.433,35.369,36.318,37.151,37.086,38.203,38.23,36.105,36.192,35.322,34.97,34.374,29.008,25.614,28.18,28.903,32.102,31.697,31.143,27.333,25.051,24.713,24.052,27.362,29.924,33.593,35.18,39.003,40.475,39.493,40.015,38.407,39.877,38.857,38.767,41.203,42.2,39.72,42.769,39.533,38.316,37.762,40.394,40.51,37.242,36.923,38.664,37.356,36.601,36.279,36.723,36.987,35.696,37.401,36.974,34.179,34.295,35.387,36.376,38.291,38.159,38.106,39.452,40.082,39.92,42.847,46.32,46.958,49.797,51.72,54.314,54.73,53.887,50.458,51.081,53.563,55.376,57.234,58.897,58.456,59.919,60.63,63.351,66.961,70.008,70.777,71.994,70.614,71.542,72.096,76.801,78.563,77.749,77.005,76.932,76.296,72.203,71.995,71.697,75.438,75.599,77.074,79.306,77.344,75.849,76.594,80.787,83.628,91.28,97.342,101.398,100.292,100.069,96.197,103.442,111.491,109.361,111.114,105.417,102.412,100.891,97.768,93.798,93.936,90.577,90.501,86.07,69.724,58.864
"37","29","    Nondurable goods","B696RA3",15.832,14.665,14.328,15.755,16.128,16.521,16.582,17.082,14.417,17.966,17.459,16.923,16.996,16.673,16.483,17.724,17.831,19.527,19.387,16.734,20.245,19.474,19.437,20.349,20.798,19.863,18.492,18.809,18.334,18.811,19.882,19.532,17.955,16.193,16.909,19.618,21.599,22.629,22.665,24.274,22.327,23.183,23.962,23.161,24.306,26.431,24.849,24.519,23.413,25.683,24.477,24.763,24.438,24.474,22.027,22.205,25.418,25.727,26.215,27.157,25.423,25.801,27.413,27.364,28.329,29.085,29.497,32.994,35.474,36.195,36.187,38.158,36.746,38.4,36.965,38.785,38.775,38.264,39.245,40.828,41.197,39.66,40.778,43.012,42.936,42.506,43.082,42.993,43.357,42.609,41.982,43.17,43.946,43.772,44.338,44.376,41.812,43.916,44.631,47.494,47.066,48.498,49.664,50.429,51.025,52.613,52.921,53.338,55.687,56.624,58.487,60.36,60.117,62.257,61.313,60.912,61.706,62.426,64.611,66.344,66.866,69.108,70.707,70.974,73.1,74.623,74.256,73.582,73.304,76.844,80.628,81.887,81.984,83.057,85.791,83.477,85.466,81.665,82.291,81.492,78.948,82.771,84.642,86.306,80.925,85.101,89.087,84.722,88.519,95.173,97.843,95.099,98.243,97.674,100.528,103.554,96.829,99.075,100.841,98.112,97.443,102.44,107.618,101.503,96.858,96.044,100.015,90.694,77.838,71.485
"38","30","  Petroleum and products","B648RA3",17.237,17.555,14.42,16.986,18.175,18.097,20.213,19.748,19.722,21.538,21.086,22.703,23.577,22.717,21.663,23.916,21.148,25.372,28.1,30.448,30.251,29.943,33.142,34.978,39.989,45.732,46.511,50.05,37.24,45.798,45.269,47.174,42.726,39.615,44.138,46.105,46.814,50.561,53.578,57.146,67.981,62.551,61.21,58.623,60.156,56.124,60.517,59.904,62.772,59.252,58.529,58.874,57.734,49.167,42.166,44.294,46.579,42.39,40.372,40.084,38.373,31.842,39.021,36.486,29.019,36.009,41.92,37.265,37.961,38.604,37.268,38.497,30.311,37.223,35.348,40.161,35.623,43.563,50.914,46.75,41.686,42.765,51.417,48.844,48.866,50.36,51.082,54.004,57.823,53.141,54.463,55.505,65.742,57.46,53.89,46.192,52.37,54.34,58.323,57.444,56.585,55.032,57.932,62.977,62.894,62.405,61.576,67.842,67.095,66.123,71.232,67.513,66.992,64.056,67.767,68.211,70.315,71.731,72.927,74.575,74.812,73.84,74.878,78.003,79.394,79.696,81.169,82.058,82.887,81.427,81.679,78.921,84.861,84.028,85.746,88.278,92.795,88.194,84.178,87.851,83.551,85.478,85.292,90.411,86.709,94.218,95.229,91.598,98.358,95.773,96.59,101.388,99.492,98.896,98.872,102.741,96.928,98.112,103.136,94.3,94.499,97.802,96.953,94.326,93.981,91.716,92.326,94.622,90.616,85.175
"39","31","  Capital goods, except automotive","B650RA3",0.647,0.626,0.644,0.644,0.69,0.697,0.755,0.791,0.7,0.908,0.916,0.906,0.94,0.934,0.836,0.862,0.822,0.911,0.915,0.889,1.155,1.089,1.1,1.177,1.293,1.315,1.443,1.526,1.432,1.468,1.555,1.488,1.526,1.296,1.348,1.479,1.607,1.644,1.712,1.878,1.727,1.821,1.77,1.984,2.281,2.274,2.309,2.56,2.658,2.839,2.935,3.104,3.387,3.407,3.282,3.512,3.613,3.871,4.087,4.441,4.431,4.543,4.379,4.074,4.618,4.776,5.442,6.242,6.866,7.687,8.359,8.589,8.612,8.812,8.75,9.329,9.413,10.162,10.31,10.417,10.366,11.201,12.026,12.425,12.43,13.011,13.606,13.992,13.985,14.961,15.161,15.891,15.79,16.184,16.26,16.58,16.681,17.219,17.808,17.974,18.637,19.943,20.768,21.383,21.963,23.355,23.721,25.146,26.647,28.058,29.436,31.365,32.51,34.597,36.636,38.433,39.491,40.385,42.258,44.943,48.053,51.385,54.294,55.942,58.572,59.87,60.432,62.267,63.713,67.88,71.066,73.773,76.112,82.51,86.683,86.714,82.409,73.711,69.542,68.547,70.458,72.727,72.907,73.361,73.703,75.49,76.042,80.923,84.239,88.994,91.866,94.637,95.297,99.926,100.763,104.014,107.968,110.271,112.639,113.577,116.36,116.423,117.816,119.421,120.954,121.539,119.169,110.948,95.962,90.789
