"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"39","31","    Furniture and home furnishings wholesalers","S42120",4641,4833,4939,4988,4967,5195,5250,5312,5431,5542,5564,5689,5774,6065,6115,6342,6394,6104,6047,5896,5822,5981,6147,6151,6221,6341,6254,6424,6512,6565,6691,6818,6941,6893,7090,7294,7216,7479,7623,7712,7841,7781,7768,7743,7837,7664,7696,7826,7221,6787,6556,6431
"40","32","    Lumber and other construction materials wholesalers","S42130",5446,5662,5693,5822,5737,5621,5446,5545,5713,5995,6011,6202,6327,6374,6198,6463,6354,6148,6365,6428,6493,6526,6760,6894,7269,7488,7804,8560,9274,10279,11097,11199,12418,11933,11555,12344,12455,12759,12884,12466,12091,11574,11319,11635,11209,11747,12034,11257,10574,9524,9194,9048
"41","33","    Professional and commercial equipment wholesalers","S42140",24172,25682,26158,26077,26591,25469,24816,24301,24840,24699,24392,25348,24665,24420,25050,24654,23106,22343,21148,20712,20341,20876,21052,20970,20915,20322,20561,20757,21193,21663,21852,22232,22056,22372,22085,22432,22880,23237,24116,24711,24935,25170,25408,25801,25878,25927,26465,26375,24762,23441,22897,23854
"42","34","      Computers and software wholesalers","S42430",14543,15742,16123,15859,16078,15206,14413,14564,14574,14632,14198,14818,13840,13399,13887,13069,11994,11080,10304,9966,9788,9990,9895,9601,9710,9684,9522,9918,10037,10436,10172,10332,10350,10186,10128,9941,10095,9891,10228,10371,10194,10232,10452,10171,9959,9843,10105,10006,9287,8933,8936,10001
"43","35","      Other professional and commercial equipment wholesalers","S424X0",9629,9940,10035,10218,10513,10263,10403,9737,10266,10067,10194,10530,10825,11021,11163,11585,11112,11263,10844,10746,10553,10886,11157,11369,11205,10638,11039,10839,11156,11227,11680,11900,11706,12186,11957,12491,12785,13346,13888,14340,14741,14938,14956,15630,15919,16084,16360,16369,15475,14508,13961,13853
"44","36","    Metal and mineral (except petroleum) wholesalers","S42150",13676,13964,13979,14028,14184,14096,14095,13926,13489,13926,13952,14432,15244,15372,15195,14568,14122,13759,13333,12888,12919,13278,13861,13582,13522,13262,13277,14214,17135,18052,20200,22318,22851,21719,21735,22565,23945,27198,29214,29079,30037,29761,28347,29285,33498,38441,37481,30129,27377,23579,23622,23135
"45","37","    Electrical goods wholesalers","S42160",21338,21218,21036,21033,21449,22060,22422,22763,23059,23348,24191,25539,25948,27093,27985,28818,28872,27694,25823,23988,23347,22986,23386,22647,22641,22649,22291,21782,22364,23110,23300,23760,24490,24696,24764,24889,25478,26224,27411,27869,27688,28151,28154,29010,29267,29823,31005,30114,27969,25930,25334,25784
"46","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9125,9415,9498,9490,9801,10045,10044,10343,10410,10474,10468,10619,10755,11296,11370,11621,11438,11260,11325,11020,10956,10994,11113,11027,11482,11157,10959,11145,11321,11729,12202,12444,12866,12953,12919,13310,13564,13806,14129,14499,14732,14907,15044,15009,14693,14711,15077,14671,14414,14102,13593,13429
"47","39","    Machinery, equipment, and supplies wholesalers","S42180",40109,42215,41567,43531,44747,46149,48045,49406,50327,50523,50778,51527,51522,52493,52990,52960,53524,53216,52121,51037,50682,49637,49310,48749,48576,47901,47556,47481,48626,50485,51793,53606,55508,56738,57988,59341,59541,61733,62954,63528,64637,65072,65771,67509,69981,70411,74956,76003,75703,73385,70207,67178
"48","40","    Miscellaneous durable goods wholesalers","S42190",15704,15224,15797,16472,16506,16704,17460,17205,17664,17422,17836,18337,18813,19530,19149,19577,19450,18404,17938,17643,17483,17626,17500,17514,17930,18292,18517,19171,19280,19887,21372,21516,22096,21864,22382,23430,23687,24208,23420,23582,24206,23548,23648,23618,25256,25713,25133,22868,22721,23525,22949,22401
"49","41","  Nondurable goods merchant wholesale industries","S42WN0",90899,91482,93270,95668,96262,96426,96169,97580,98628,98151,101742,103996,107502,107770,108827,112995,113224,116611,116524,115843,116739,117697,121193,121835,121935,119883,122502,126997,128904,128737,128447,131551,136704,137307,141762,143526,145628,150228,151856,158019,160608,164708,174110,189407,192966,199597,194508,170890,170720,170272,165497,176652
"50","42","    Paper and paper products wholesalers","S42210",6748,6735,7285,7622,7752,7584,7327,7265,7221,7252,7510,7618,8006,8143,8215,8482,8205,7910,7491,7344,6943,7015,6911,7008,6893,7026,6805,6944,7033,7567,7901,8024,7907,8161,8135,8461,8600,8863,8967,8847,8585,8783,8876,9116,9261,9277,9754,9676,8881,8547,8434,8334
"51","43","    Drugs and druggists' sundries wholesalers","S42220",12690,13025,13836,14120,15061,15153,15358,16238,16662,17996,18774,19933,21217,22194,23162,24643,25278,27932,30126,31794,32596,32998,32827,33816,34077,33806,34322,34879,35373,34886,35115,35702,35900,35550,35063,35207,35889,36868,37124,36942,36810,38169,38464,39032,39332,38981,39718,40502,40849,40351,40728,42313
"52","44","    Apparel, piece goods, and notions wholesalers","S42230",11890,12238,12249,12986,13015,13184,13150,13219,13153,12370,12108,12519,12441,12264,12510,12566,13252,13401,12840,12509,12300,12221,12906,12644,12609,12628,11965,11745,11559,11158,11795,11820,12135,12365,12367,12453,12814,13052,13510,13873,13745,13824,13987,14121,14847,14439,14748,14988,14510,13658,12893,11821
"53","45","    Grocery and related products wholesalers","S42240",16705,16784,16708,17481,17223,17599,17466,17380,17727,17341,18112,18613,18380,18147,18511,18730,18541,18266,17756,17535,17990,18819,18446,18512,18742,18026,18733,18616,18522,18834,18716,19166,19649,19453,20126,21206,20917,21539,22732,23374,25102,25515,25123,26059,26075,26885,27672,27333,25985,25581,24995,25450
"54","46","    Farm product raw material wholesalers","S42250",13760,13564,13184,13480,13345,12954,12522,12481,12204,11985,12707,12226,13584,13076,12450,13839,13222,13305,13689,13460,12901,12674,15368,14486,13609,14102,15456,18324,19817,17979,14461,13578,15975,16289,16124,16048,16468,18032,18755,25221,23006,24015,32426,39970,41083,41836,33792,23617,24524,25822,22537,29454
"55","47","    Chemical and allied products wholesalers","S42260",4672,4736,4636,4733,4735,4819,4939,5084,5209,5270,5268,5464,5571,5562,5326,5419,5488,5565,5453,5418,5619,5765,5928,6133,6256,6059,5854,6145,6060,6460,6856,6950,7222,7175,7482,7809,7823,8099,7894,7601,8118,8369,8338,9006,9208,9653,10189,8486,7687,7556,7571,7589
"56","48","    Petroleum and petroleum products wholesalers","S42270",5141,4702,4712,4572,3967,4049,4218,3823,3909,4082,4597,5070,5623,5715,5758,5928,5764,6017,5609,5092,5736,5623,6170,6714,7159,6373,6687,7209,7507,7976,9624,10655,11801,11159,14993,14523,14972,15891,14803,13714,14793,16105,16247,20153,18526,22947,22434,11234,13139,14930,16111,19529
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4608,4941,5081,5232,5494,5269,5335,5482,6083,5816,5756,5789,5860,5893,5992,6165,6085,6232,6183,6058,6305,6248,6333,6553,6564,6518,6577,6840,6866,6982,6812,7230,7448,7491,7759,7900,8141,8225,8282,8595,8816,8980,9275,9410,9822,10010,10188,10608,10762,10563,9911,10050
"58","50","    Miscellaneous nondurable goods wholesalers","S42290",14685,14757,15579,15442,15670,15815,15854,16608,16460,16039,16910,16764,16820,16776,16903,17223,17389,17983,17377,16633,16349,16334,16304,15969,16026,15345,16103,16295,16167,16895,17167,18426,18667,19664,19713,19919,20004,19659,19789,19852,21633,20948,21374,22540,24812,25569,26013,24446,24383,23264,22317,22112
"59","51","Retail trade industries","S440",329014,332025,334476,335864,342497,342827,343996,349151,357619,362356,366692,377742,380801,390615,395710,400836,395155,396201,397999,386024,390025,395375,400004,407981,416161,416444,420256,425512,435592,445494,451779,460862,467232,464513,466903,473662,477972,482991,487767,491624,494098,497993,506134,513571,514260,516387,520716,506383,489748,478545,477134,486763
"60","52","  Motor vehicle and parts dealers","S4410",101561,102364,103023,104269,106964,105520,104623,106979,112503,113013,114383,120180,120370,127000,131030,133516,126818,128710,130842,122881,127040,131191,131595,137880,142847,144658,144505,146707,150766,154469,156568,158144,159166,154799,153487,155899,156698,156939,156885,155732,153220,154473,160996,160401,161465,159930,161516,159234,148125,140933,143691,151096
"61","53","  Furniture, furnishings, electronics, and appliance stores","S44230",24253,23492,22843,22484,22268,21618,21020,20992,20930,21252,21509,21911,22321,22898,22452,23018,22605,21793,21239,21251,21715,21755,22395,22418,22486,23127,23332,23736,24642,25327,25868,26893,26953,27828,27317,27606,28221,28256,28209,28365,28892,28852,29183,29686,28494,28682,29657,27951,26943,26731,26455,26624
"62","54","  Building material and garden equipment and supplies dealers","S4440",32421,32956,33369,33489,34053,34225,34998,35396,36041,36583,36827,37703,38017,38443,38909,38926,38932,39149,39032,38966,39608,39869,40363,40961,41330,41326,42483,42829,44154,45933,46655,48150,49083,48929,49856,52182,52744,53027,54148,53906,54119,55246,54320,55399,55941,56754,58296,56389,56365,53584,53238,53280
"63","55","  Food and beverage stores","S4450",27676,27627,28067,27832,28120,28600,28712,29227,29611,30106,30865,30924,31015,30762,30880,30999,31717,31908,32103,32103,32328,31660,32143,32103,32270,31814,32907,33007,33167,33836,34102,34376,34729,34613,34250,35200,34981,35426,36532,36851,37895,37911,39053,40716,41480,42607,43152,42443,42308,42171,42264,42840
"64","56","  Clothing and clothing accessories stores","S4480",26106,26904,27267,27458,27988,28298,28860,28757,29088,29543,29041,30160,30685,31201,32027,32830,32703,32409,32369,31715,31265,32230,33017,33650,34246,34018,34199,34652,35050,35915,36701,37536,38448,38725,39246,39661,41149,42878,43610,45254,45626,45265,45562,45911,46065,45599,45256,44506,43295,42695,41192,41061
"65","57","  General merchandise stores","S4520",57874,58684,58429,58252,58528,58686,59451,59404,60106,60726,61443,62433,62659,63352,63146,63730,65353,65635,65615,64166,63454,63259,64257,65488,65724,66118,66869,67323,69095,70288,70525,72692,74491,74521,75290,75752,75343,75242,77233,78728,79651,80080,79971,80885,80326,81072,81576,80406,79212,78635,77428,77686
"66","58","    Department stores","S45210",41851,42385,42115,42098,41952,41760,42033,41535,41814,41903,41846,42311,42071,42160,41498,41687,42340,42051,41718,39948,38913,38215,38079,38376,37927,37697,37338,36960,37432,37593,37457,38049,39157,38219,38359,38438,37672,37304,38158,38824,38717,39025,39066,39123,38323,37749,37657,36555,36263,35716,35112,34358
"67","59","    Other general merchandise stores","S45290",16023,16299,16314,16154,16576,16926,17418,17869,18292,18823,19597,20122,20588,21192,21648,22043,23013,23584,23897,24218,24541,25044,26178,27112,27797,28421,29531,30363,31663,32695,33068,34643,35334,36302,36931,37314,37671,37938,39075,39904,40934,41055,40905,41762,42003,43323,43919,43851,42949,42919,42316,43328
"68","60","  Other retail stores","S44X0",59123,59998,61478,62080,64576,65880,66332,68396,69340,71133,72624,74431,75734,76959,77266,77817,77027,76597,76799,74942,74615,75411,76234,75481,77258,75383,75961,77258,78718,79726,81360,83071,84362,85098,87457,87362,88836,91223,91150,92788,94695,96166,97049,100573,100489,101743,101263,95454,93500,93796,92866,94176
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
