"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200"
"22","13","    Furniture and related product manufacturing","KS337M0",3926,3906,3935,3933,4086,4081,4030,4010,4082,4090,4133,4127,4166,4188,4091,4169,4148,4146,4087,4090,4127,4127,4091,4106,4144,4097,4140,4139,4155,4162,4243,4202,4131,4108,4209,4252,4158,4199,4183,4209,4253,4321,4316,4368,4394,4428,4447,4384,4447,4370,4512,4404,4418,4351,4281,4211,4223,4192,4245,4124,4069,4155,4173,4110,4136,4160,4157,4110,4165,4179,4157,4266,4258,4150,4198,4192,4269,4231,4220,4176,4073,4076,4126,4103,4144,4055,3960,4046,4094,4160,4257,4197,4226,4200,4190,4177,4153,4095,4139,4094,4089,4222,4277,4224,4255,4247,4354,4350,4394,4380,4397,4434,4396,4370,4373,4398,4405,4438,4433,4435,4511,4454,4397,4497,4459,4493,4514,4478,4469,4502,4496,4471,4458,4401,4402,4318,4432,4351,4370,4343,4240,4157,4190,4154,4128,4034,4005,4001,4027,3948,3869,3868,3835,3827,3830,3842,3832,3824,3770,3841,3803,3782,3806,3811,3826,3838,3819,3773,3814,3769,3744,3765,3770,3796,3830,3796,3762,3722,3708,3755,3753,3694,3692,3728,3732,3771,3775,3740,3726,3742,3725,3694,3698,3664,3639,3613,3598
"23","14","    Miscellaneous durable goods manufacturing","KS339M0",6329,6336,6374,6295,6330,6419,6386,6540,6497,6496,6477,6612,6560,6609,6691,6759,6820,6817,6880,6895,7007,7171,7112,7110,7137,7198,7247,7269,7167,7141,7106,7072,7247,7222,7259,7265,7363,7329,7273,7338,7308,7239,7254,7374,7361,7398,7420,7406,7376,7370,7477,7359,7462,7518,7308,7306,7287,7252,7260,7342,7121,7079,7271,7218,7334,7257,7314,7282,7330,7216,7013,7165,7151,7190,7108,7109,7094,7154,7088,7103,7215,7206,7192,7177,7214,7136,7023,7053,7060,7157,7122,7065,7066,7074,7093,7044,7057,7061,7073,7075,7058,7159,7279,7333,7367,7411,7509,7460,7481,7503,7493,7515,7634,7479,7463,7524,7576,7513,7520,7609,7626,7649,7675,7613,7657,7686,7710,7768,7754,7774,7813,7836,7641,7467,7297,7206,7194,7231,7397,7494,7713,7822,7971,7972,7973,7998,7995,8053,8085,8152,8105,8070,8030,7981,7985,7929,7971,7951,7967,7895,7900,7954,8012,8057,8068,7990,8114,8236,8187,8226,8220,8248,8275,8233,8215,8239,8306,8310,8323,8361,8417,8429,8405,8368,8381,8366,8383,8385,8340,8327,8293,8219,8159,8203,8181,8062,8074
"24","15","  Nondurable goods industries","KS30NM0",87499,88175,88454,88540,88671,88482,88059,88362,89234,89931,89010,89940,90358,90576,90704,89943,89213,89694,90056,90022,89659,89506,89697,89059,89645,89983,90024,90440,90911,90981,91056,91506,91528,91506,92178,93110,93024,92431,92413,92095,92148,92001,92056,91932,91802,90617,91430,90260,91100,89739,89789,89789,89747,89294,89832,89246,89156,89555,89916,88742,88729,87860,87676,88234,88381,88263,89336,89558,89540,89659,90537,89602,90150,90654,89598,90181,89852,89094,88289,88474,88277,87920,88508,87645,87363,88200,87852,87634,87078,87141,88015,87921,87455,87919,88087,87810,88604,88693,89251,89156,88937,88767,89031,88648,88278,88531,87746,89129,88989,89194,89736,89849,90851,90423,90365,90983,91271,90088,90477,90244,89752,89807,89372,89847,90647,91190,89697,90270,91526,90688,90125,89788,91887,91151,91360,91427,91225,92370,90969,90994,90916,89761,88453,85741,85407,84566,84508,83661,84207,84591,84867,84771,83933,83893,84589,85446,84644,85219,84965,83709,82248,82695,83395,82848,83632,83750,84050,85110,84699,85223,84538,84433,84554,83875,83563,84266,83289,85257,85034,84790,84991,84786,84661,85364,84821,85027,85807,85777,85770,84834,84014,84165,84322,83090,83052,82514,82891
"25","16","    Food manufacturing","KS311M0",14716,14924,14879,14698,14751,14881,14859,14913,15207,15360,15030,15204,15173,15534,15383,15371,15068,15223,15325,15209,15177,15068,14949,15198,15497,15462,15525,15811,15912,15849,15769,15884,15642,15415,15830,16142,16045,15926,16050,15797,15720,15781,15655,15825,15759,15555,15539,15445,15768,15098,15182,15262,15273,15097,15389,15005,15216,15144,15414,15174,15287,15057,14929,14951,15119,15303,15544,15837,15374,15106,15065,15294,15316,15338,15555,15446,15681,15531,15272,15290,15007,15089,15696,15149,15160,15186,15035,14531,14453,14411,14505,14529,14693,14781,14708,14665,14551,14619,14764,14894,15055,15222,15456,15490,15647,15891,15553,15635,15688,15710,15702,15822,15709,15786,15768,15935,15775,15534,15649,15726,15580,15405,14956,15050,15870,16331,15232,15482,15863,15301,15316,15156,14918,14694,15392,15229,15041,15483,15118,14800,14652,14891,14980,14930,15045,14865,15084,15286,15488,15523,15331,15370,15167,15450,15294,15625,15443,15292,15179,15059,14926,15156,15363,15274,15311,15032,14683,15250,14439,14428,14373,14377,14469,14345,14523,14788,14439,14709,14923,15134,15211,15281,15296,15237,15318,15373,15394,15267,15326,15311,15195,15004,14642,14280,14089,14141,14033
"26","17","    Beverage and tobacco product manufacturing","KS312M0",8450,8531,8500,8657,8578,8622,8603,8507,8511,8605,8427,8365,8724,8563,8543,8482,8369,8455,8483,8422,8556,8777,8529,8444,8331,8427,8305,8352,8298,8215,8150,8151,8076,8239,7941,8152,8218,7880,7817,7843,7849,7762,7751,7773,7750,7693,7684,7437,7504,7463,7434,7593,7694,7646,7738,7662,7570,7524,7495,7634,7706,7659,7660,7616,7626,7670,7747,7675,7631,7709,7766,7723,7556,7494,7420,7492,7467,7459,7396,7481,7522,7415,7440,7314,7267,7402,7263,7296,7230,7240,7090,7268,7316,7198,7214,7179,7177,7146,7135,7314,7256,7237,7300,7408,7380,7393,7405,7283,7345,7287,7225,7215,7198,7292,7313,7274,7227,7223,7257,7271,7236,7177,7120,7093,7116,7058,7040,6989,6833,6784,6743,6747,6734,6811,6710,6668,6651,6651,6618,6596,6677,6656,6618,6554,6486,6584,6595,6607,6608,6622,6657,6630,6644,6744,6780,6754,6694,6691,6737,6696,6721,6627,6607,6541,6612,6619,6599,6583,6610,6603,6562,6554,6534,6587,6583,6633,6660,6622,6607,6689,6706,6664,6787,6827,6787,6785,6772,6748,6752,6745,6796,6787,6792,6837,6795,6869,6915
"27","18","    Textile mills","KS313M0",2440,2493,2546,2518,2464,2492,2479,2509,2508,2527,2527,2542,2524,2524,2553,2506,2555,2506,2468,2444,2433,2430,2407,2407,2438,2442,2402,2352,2437,2469,2451,2470,2493,2460,2463,2486,2431,2411,2413,2397,2366,2369,2469,2457,2375,2391,2398,2343,2336,2300,2239,2251,2245,2222,2259,2246,2254,2266,2230,2130,2108,2104,2097,2049,2044,2073,2067,2085,2118,2094,2107,2057,2023,2060,2092,2150,2101,2075,2050,2057,2047,2041,2055,2036,2029,2051,2053,2082,2054,2047,2062,2056,2045,1999,2046,2067,2098,2063,2067,2079,2097,2053,2045,2029,2045,2033,2020,2039,2047,2074,2036,2005,1998,2014,2015,2028,2039,2004,2002,1998,1986,2019,2016,2012,2026,2033,1951,1978,1960,1957,1963,1975,1971,1963,1948,1948,1946,1935,1951,1917,1897,1919,1917,1894,1862,1818,1790,1794,1755,1749,1737,1715,1696,1701,1675,1658,1658,1674,1684,1679,1662,1665,1680,1702,1691,1687,1689,1704,1711,1687,1686,1687,1716,1704,1680,1667,1685,1668,1666,1666,1658,1653,1634,1623,1611,1613,1613,1610,1607,1618,1625,1621,1636,1636,1633,1643,1650
"28","19","    Textile product mills","KS314M0",1373,1415,1423,1435,1420,1410,1417,1413,1420,1387,1368,1395,1377,1387,1370,1387,1391,1370,1359,1350,1339,1306,1315,1324,1306,1353,1367,1362,1354,1390,1371,1394,1384,1428,1444,1411,1427,1398,1441,1473,1520,1550,1579,1613,1618,1615,1642,1649,1676,1656,1653,1630,1639,1684,1655,1628,1664,1691,1664,1655,1591,1552,1515,1483,1448,1441,1437,1419,1397,1365,1313,1269,1298,1302,1287,1359,1325,1273,1253,1255,1246,1235,1280,1266,1257,1277,1279,1272,1275,1285,1303,1307,1306,1312,1299,1308,1325,1330,1338,1338,1358,1373,1352,1338,1337,1332,1317,1363,1375,1365,1368,1366,1358,1370,1377,1381,1378,1384,1365,1353,1346,1346,1340,1304,1314,1324,1327,1329,1329,1318,1335,1363,1375,1374,1387,1404,1401,1376,1410,1404,1407,1423,1409,1374,1270,1267,1242,1214,1193,1180,1170,1162,1162,1174,1166,1166,1153,1149,1158,1171,1184,1197,1222,1244,1253,1271,1270,1266,1269,1241,1192,1175,1157,1146,1136,1120,1104,1086,1078,1065,1068,1077,1080,1088,1090,1085,1068,1073,1072,1082,1087,1104,1118,1102,1096,1082,1088
"29","20","    Apparel manufacturing","KS315M0",3261,3287,3253,3271,3294,3277,3255,3281,3268,3264,3200,3168,3185,3197,3246,3161,3122,3165,3114,3098,3067,3041,3035,3065,3047,3054,3067,3069,3086,3095,3106,3030,3103,3127,3125,3113,3091,3089,3072,3001,3064,2964,2971,2943,2959,2978,2911,2892,2878,2813,2810,2771,2691,2612,2563,2527,2480,2459,2473,2342,2324,2318,2318,2304,2281,2280,2285,2269,2279,2318,2334,2301,2319,2300,2307,2340,2345,2293,2299,2302,2228,2227,2218,2200,2195,2192,2197,2198,2196,2216,2200,2229,2245,2221,2218,2210,2199,2210,2188,2183,2175,2171,2177,2159,2153,2155,2151,2139,2144,2138,2126,2126,2153,2094,2128,2125,2112,2111,2117,2117,2119,2123,2103,2109,2090,2106,2122,2084,2075,2092,2059,2093,2059,2064,2070,2065,2073,2062,2058,2043,2042,2014,2017,2015,2004,2000,1992,1986,1984,1987,1972,1955,1943,1943,1934,1928,1921,1909,1902,1890,1878,1890,1891,1891,1895,1893,1890,1893,1893,1894,1901,1904,1904,1902,1905,1908,1917,1924,1929,1931,1944,1953,1954,1960,1969,1981,1987,1997,2004,2015,2030,2034,2035,2039,2049,2050,2050
"30","21","    Leather and allied product manufacturing","KS316M0",605,608,591,623,635,634,647,633,645,641,624,648,644,631,624,656,659,635,624,649,664,662,663,617,603,596,612,592,601,614,597,607,588,595,576,591,568,574,589,579,560,584,589,565,549,565,552,552,582,596,574,606,605,591,590,574,569,536,534,510,488,526,511,496,487,484,491,469,465,478,481,468,465,468,466,466,468,473,467,473,469,463,464,469,463,467,470,472,475,477,475,477,473,483,482,480,486,475,477,479,478,464,469,465,469,489,501,492,473,456,459,474,477,489,497,502,517,521,518,532,531,524,523,514,505,505,521,527,526,522,510,513,510,509,511,527,516,496,500,494,498,503,504,500,524,527,519,499,499,495,489,489,483,470,465,463,459,464,456,456,454,456,455,457,463,460,481,460,462,457,464,470,473,477,480,478,472,477,475,480,481,490,488,491,493,492,481,518,515,501,514,520,520,504,511,505,496
"31","22","    Paper manufacturing","KS322M0",9726,9823,9935,9830,9815,9526,9548,9561,9630,9735,9755,9916,9931,9840,9829,9850,9759,9873,9859,9888,9767,9674,9649,9439,9613,9605,9692,9748,9751,9834,9864,10225,10340,10279,10342,10340,10317,10357,10326,10310,10371,10184,10198,10106,10022,9962,9959,9862,9935,9863,9813,9768,9685,9679,9636,9642,9670,9661,9700,9590,9623,9765,9712,9696,9801,9899,9947,9956,10161,10269,10281,10397,10393,10486,10174,10182,10121,10125,10036,10034,10013,9998,9953,9900,9797,9788,9767,9848,9915,9992,10143,10021,10032,10075,10062,9969,10096,10022,10012,9992,10010,9981,10029,9975,9944,9936,9856,9959,9895,9933,10023,10025,10028,9948,9929,9927,9926,9904,9990,9946,10032,10068,9987,9954,10023,10015,10060,10046,10040,10072,10067,10108,10221,10104,10109,10108,10076,10082,10012,9976,9938,10083,10079,9804,9897,9731,9603,9545,9425,9440,9465,9546,9549,9326,9259,9180,9095,9064,9145,9194,9237,9270,9130,9122,9158,9217,9313,9152,9158,9168,9174,9110,9094,9043,9054,9127,9123,9138,9092,9108,9113,9103,9075,9051,9024,9049,9036,8951,8916,8854,8850,8810,8823,8773,8750,8747,8742
"32","23","    Printing and related support activities","KS323M0",2635,2699,2697,2713,2738,2646,2471,2488,2471,2533,2389,2726,2622,2599,2639,2519,2548,2487,2587,2497,2482,2388,2289,2268,2345,2409,2402,2308,2321,2398,2292,2553,2593,2491,2622,2677,2607,2651,2765,2584,2503,2506,2492,2564,2532,2548,2500,2460,2514,2484,2549,2601,2555,2432,2439,2476,2296,2490,2477,2396,2539,2489,2392,2470,2473,2608,2651,2612,2608,2728,2773,2641,2716,2667,2595,2600,2649,2583,2595,2564,2575,2527,2501,2529,2496,2568,2552,2485,2469,2558,2570,2573,2586,2589,2571,2574,2480,2486,2586,2574,2597,2648,2624,2442,2489,2472,2512,2516,2505,2426,2537,2562,2538,2615,2618,2614,2577,2566,2579,2548,2520,2548,2484,2495,2509,2578,2564,2621,2704,2758,2787,2843,2793,2762,2815,2770,2744,2656,2580,2540,2504,2427,2463,2495,2411,2382,2319,2258,2257,2240,2292,2299,2329,2310,2392,2294,2264,2269,2264,2344,2352,2332,2349,2383,2341,2381,2361,2378,2384,2369,2374,2414,2373,2346,2352,2334,2330,2314,2302,2261,2296,2298,2297,2208,2207,2225,2213,2202,2170,2167,2201,2142,2163,2160,2139,2178,2124
"33","24","    Petroleum and coal product manufacturing","KS324M0",9369,9064,9315,9094,9479,9138,8849,9090,9039,9263,9125,9391,9227,9275,9421,9061,9016,8595,9309,9219,8840,8610,10454,9019,8915,9004,9369,8914,8821,8921,8938,8860,9202,9407,9760,9332,9597,9193,8952,9296,9314,9292,8887,8840,8812,8599,9060,8308,8351,8550,8692,8631,8611,9283,9339,9228,9345,9602,9371,9690,9214,9307,9257,9456,9289,9319,9377,9309,9327,9436,9605,9098,10123,10017,9457,10206,9910,9814,9567,9792,10227,9699,9410,9908,10094,10492,10486,10577,10187,10104,10786,10267,10153,10266,10641,10389,10788,10727,10923,10543,10416,10121,10604,10808,10395,10724,10539,10862,10396,10654,10798,10949,12014,11221,11002,11308,11784,10673,11003,10736,10637,10798,10701,11357,11191,11192,11050,11184,12002,11737,11278,11136,12443,12019,12212,12718,12905,13808,13236,13475,13142,12872,12230,9680,9709,9333,9794,9177,9870,9941,10234,10470,9902,9945,10519,11213,10828,11389,11150,10119,8877,9182,9819,9384,10025,10372,10600,10892,11048,11279,11080,11115,11335,11003,10573,10631,10112,11214,11056,10629,10871,10783,10629,11001,10524,11029,11360,11604,11815,11064,10478,10625,10709,10212,10646,10277,10548
"34","25","    Chemical manufacturing","KS325M0",24634,24925,24945,25160,25116,25385,25418,25582,26065,26067,26123,26015,26311,26462,26570,26326,26038,26434,26395,26699,26669,26711,26607,26856,26964,27007,26858,27276,27462,27393,27755,27297,27064,27173,27193,27746,27717,27881,27970,27843,28023,28174,28484,28363,28642,27909,28498,28623,28885,28280,28373,28218,28389,28135,28294,28221,28182,28461,28741,28163,27898,28120,28053,28581,28308,27873,28410,28591,28674,28513,29227,28564,28512,28815,28546,28301,28004,27958,27526,27445,27450,27648,27846,27331,27061,27253,27208,27304,27291,27264,27352,27452,26832,27171,27021,27108,27218,27544,27533,27664,27506,27543,27092,26665,26525,26202,25866,26844,27019,26993,27262,27025,26812,27099,27269,27376,27379,27634,27480,27650,27313,27349,27668,27392,27333,27426,27241,27358,27340,27412,27355,27203,27824,28055,27322,26927,26798,26241,26218,26464,27232,26413,26097,26466,26291,26197,26066,25774,25762,26000,26173,25893,25799,25525,25711,25754,25687,25686,25673,25762,25806,25675,25548,25578,25556,25505,25676,25834,25919,26168,25853,25611,25547,25648,25644,25904,25866,26069,25900,25970,25584,25510,25613,25695,25691,25495,25995,25822,25575,25574,25413,25658,26098,25903,25533,25503,25656
"35","26","    Plastics and rubber product manufacturing","KS326M0",9236,9145,9148,9217,9241,9278,9269,9260,9357,9476,9434,9502,9503,9512,9527,9501,9533,9589,9569,9618,9543,9639,9786,9643,9693,9722,9734,9783,9923,9855,9910,9979,10086,10016,10133,10202,10192,10210,10075,10171,10079,10107,10129,10010,9976,9873,9948,9854,9825,9848,9754,9667,9602,9472,9512,9599,9594,9494,9504,9350,9551,8670,8966,8992,9277,9021,9100,9067,9252,9367,9387,9450,9332,9603,9498,9563,9615,9372,9609,9610,9489,9458,9404,9478,9523,9557,9608,9710,9603,9572,9684,9777,9736,9826,9846,9869,10225,10138,10288,10148,10042,10008,9928,9904,9954,9952,10045,10032,10190,10234,10258,10322,10435,10499,10495,10534,10513,10557,10535,10420,10477,10443,10466,10479,10575,10506,10482,10530,10527,10466,10580,10568,10508,10547,10564,10541,10517,10545,10643,10560,10416,10405,10271,10049,9959,9857,9632,9582,9518,9588,9511,9397,9471,9520,9534,9431,9521,9576,9627,9584,9602,9637,9648,9640,9606,9541,9682,9811,9900,9947,9951,10084,9908,9739,9840,9877,9967,10047,10043,10054,10161,10096,10004,10229,10296,9940,9851,9891,9843,9918,10010,10028,9980,10017,10029,9839,9848
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","inventories for 2009 equals the current-dollar change in inventories for 2009 and that the average of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008 and 2009 end-of-year chain-weighted and fixed-weighted inventories are equal.  Chained (2009) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","final sales series are calculated as the product of the chain-type quantity index and the 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","current-dollar value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
