"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"43","36","    Metal and mineral (except petroleum) wholesalers","S42150",14028,13926,14432,14568,12888,13826,14548,22759,23966,30757,31266,30674,24652,29805,32798,33712
"44","37","    Electrical goods wholesalers","S42160",21033,22763,25539,28818,23988,22676,22652,25456,27631,31431,33924,35626,30214,32894,35056,36995
"45","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9490,10343,10619,11621,11020,11353,11997,13878,15656,17678,18620,18050,15705,16330,17692,18946
"46","39","    Machinery, equipment, and supplies wholesalers","S42180",43531,49406,51527,52960,51037,48843,47300,53135,59493,64775,68246,73450,62852,66707,75489,87866
"47","40","    Miscellaneous durable goods wholesalers","S42190",16472,17205,18337,19577,17643,17253,18735,21105,23335,24812,24853,22955,21966,23888,25009,25521
"48","41","  Nondurable goods merchant wholesale industries","S42WN0",95668,97580,103996,112995,115843,124060,129845,134329,146635,157384,186218,176155,182970,213592,222119,229670
"49","42","    Paper and paper products wholesalers","S42210",7622,7265,7618,8482,7344,7442,7468,8691,9306,9737,10108,10711,9397,10201,10478,10700
"50","43","    Drugs and druggists' sundries wholesalers","S42220",14120,16238,19933,24643,31794,33303,34110,34654,34236,35662,37668,38966,40010,42755,44986,46131
"51","44","    Apparel, piece goods, and notions wholesalers","S42230",12986,13219,12519,12566,12509,13527,13370,14204,15647,15805,16332,16969,13781,16990,18721,18205
"52","45","    Grocery and related products wholesalers","S42240",17481,17380,18613,18730,17535,18676,18725,19256,21312,22773,25716,27388,26410,28802,31804,33681
"53","46","    Farm product raw material wholesalers","S42250",13480,12481,12226,13839,13460,14848,18318,12847,14718,20537,30980,22551,26772,41568,34629,38871
"54","47","    Chemical and allied products wholesalers","S42260",4733,5084,5464,5419,5418,5941,6222,6930,7769,7865,8921,9354,8337,9731,11026,11723
"55","48","    Petroleum and petroleum products wholesalers","S42270",4572,3823,5070,5928,5092,6432,7079,10568,14695,15252,22628,12235,23660,26076,29212,28424
"56","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",5232,5482,5789,6165,6058,6578,6941,7434,8221,8977,10176,11482,10853,11439,12346,13620
"57","50","    Miscellaneous nondurable goods wholesalers","S42290",15442,16608,16764,17223,16633,17313,17612,19745,20731,20776,23689,26499,23750,26030,28917,28315
"58","51","Retail trade industries","S440",336519,349918,378611,401620,386748,410737,428779,464892,477222,492212,513406,486796,445849,475806,494130,528963
"59","52","  Motor vehicle and parts dealers","S4410",104186,106772,119945,133204,122348,137293,146457,158263,155341,154420,158447,145197,115425,129901,132479,155638
"60","53","  Furniture, furnishings, electronics, and appliance stores","S44230",22818,21495,22440,23414,21794,22948,24154,27261,27628,28192,29156,25858,23901,25613,25119,25524
"61","54","  Building material and garden equipment and supplies dealers","S4440",33519,35431,37734,38965,39016,41297,42975,48041,51621,53202,55340,53150,49875,50802,52403,54231
"62","55","  Food and beverage stores","S4450",27832,29228,30925,30999,32104,32797,33772,35095,35828,37449,41569,42384,42653,44711,47002,48955
"63","56","  Clothing and clothing accessories stores","S4480",27500,28786,30137,32769,31639,33645,34652,37448,39322,44324,44497,42720,38517,40588,43380,44672
"64","57","  General merchandise stores","S4520",58252,59404,62433,63730,64166,66115,68562,74201,78037,80222,82431,80879,78282,82197,87455,89771
"65","58","    Department stores","S45210",42098,41535,42311,41687,39948,38517,37465,38639,39697,39163,38974,36270,34133,36497,36946,35796
"66","59","    Other general merchandise stores","S45290",16154,17869,20122,22043,24218,27598,31097,35562,38340,41059,43457,44609,44149,45700,50509,53975
"67","60","  Other retail stores","S44X0",62412,68802,74997,78539,75681,76642,78207,84583,89445,94403,101966,96608,97196,101994,106292,110172
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
