"","Table 7#3# Quantity and Price Indexes for Gross National Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230"
"11","2","  Chain-type quantity index","B001RA",19.01,19.11,19.16,19.46,19.75,20.06,20.15,20.18,19.9,19.84,20.06,19.84,20.67,21.29,22.13,22.52,22.77,23.18,23.64,23.7,23.96,23.98,24.13,24.92,25.38,25.59,25.41,25.01,24.9,24.93,25.2,25.72,26.45,26.87,27.23,27.38,27.28,27.49,27.46,27.89,28.08,28.03,28.29,27.96,27.21,27.37,27.98,28.6,29.19,29.95,29.95,30.06,30.72,30.57,30.63,30.25,30.44,30.99,31.5,32.15,32.7,33.08,33.4,33.52,33.9,34.33,34.99,35.25,36.05,36.47,36.96,37.04,37.98,38.49,39.25,40.15,41.15,41.31,41.56,41.93,42.31,42.28,42.61,42.92,43.79,44.54,44.86,45.05,45.74,45.85,46.1,45.88,45.83,45.94,46.33,45.81,47.14,47.41,47.74,47.88,48.82,49.93,50.45,51.32,52.67,53.23,53.1,53.54,53.22,53.33,52.69,52.33,51.59,52.04,52.97,53.72,54.96,55.43,55.7,56.17,56.92,57.92,58.95,58.95,59.2,61.35,61.99,62.9,63.08,63.2,63.79,63.99,64.22,62.86,62.71,63.67,64.95,64.46,65.26,64.57,63.46,63.81,63.38,63.4,64.12,65.66,66.83,68.21,69.63,70.8,71.4,71.86,72.33,72.93,73.92,74.57,75.18,75.36,76.09,76.38,76.97,77.84,78.48,79.86,80.47,81.38,81.75,82.84,83.84,84.27,84.7,85.09,86.11,86.33,86.1,85.72,85.14,85.45,85.62,86.19,86.97,87.77,88.41,89.58,89.65,90.1,90.57,91.71,92.58,93.81,94.3,95.46,95.9,96.14,96.69,97.62,98.36,99.86,100.28,101.49,102.48,104.01,105.03,105.69,107.33,107.88,108.76,110.61,111.8,112.39,113.73,115.83,116.45,117.9,117.97,118.42,118.01,117.79,117.48,118.54,119.62,119.73,121.03,121.46,121.88,122.94,NA
"12","3","  Chain-type price index","B001RG",15.91,16.15,16.44,16.78,16.97,17.16,17.46,17.45,17.41,17.3,17.16,17.17,17.1,17.18,17.53,17.81,18.43,18.52,18.58,18.82,18.82,18.9,19.05,19.13,19.15,19.19,19.26,19.33,19.41,19.44,19.44,19.47,19.54,19.66,19.79,19.93,20.12,20.31,20.54,20.66,20.9,21.05,21.21,21.32,21.51,21.61,21.68,21.73,21.78,21.83,21.89,21.99,22.03,22.13,22.23,22.33,22.36,22.4,22.45,22.5,22.64,22.7,22.76,22.84,22.92,22.94,22.97,23.11,23.19,23.27,23.38,23.49,23.6,23.7,23.81,23.97,24.11,24.33,24.57,24.78,24.9,25.06,25.29,25.57,25.86,26.15,26.39,26.76,27.02,27.38,27.78,28.14,28.53,28.94,29.17,29.55,29.99,30.4,30.71,30.96,31.42,31.61,31.92,32.3,32.73,33.27,33.91,34.49,35.18,35.96,37.06,38.19,39.07,39.62,40.35,41.05,41.49,41.94,42.52,43.25,43.98,44.7,45.33,46.09,46.86,47.8,48.65,49.63,50.6,51.75,52.81,53.87,55.09,56.35,57.63,59.17,60.68,61.77,62.96,64.11,65.01,65.85,66.76,67.44,67.99,68.61,69.18,69.77,70.6,71.19,71.75,72.25,73.01,73.5,73.89,74.41,74.69,75.05,75.52,76.06,76.74,77.27,77.84,78.46,78.99,79.8,80.73,81.36,82.21,83.03,83.63,84.26,85.21,86.18,87.01,87.78,88.79,89.42,89.99,90.47,91.16,91.68,91.98,92.56,93.33,93.84,94.27,94.8,95.3,95.73,96.3,96.75,97.46,97.87,98.31,98.8,99.4,99.75,100.23,100.63,101.34,101.8,102.1,102.46,102.73,102.98,103.34,103.62,104.08,104.48,104.8,105.24,106.05,106.65,107.09,107.64,108.63,109.29,109.89,109.75,110.11,110.45,110.73,111.22,111.88,112.16,NA
"13","4","  Implicit price deflator","A001RD",16.02,16.16,16.4,16.79,16.95,17.14,17.48,17.53,17.44,17.25,17.15,17.17,17.12,17.18,17.55,17.89,18.56,18.67,18.68,18.88,18.84,18.88,19.1,19.15,19.17,19.19,19.27,19.32,19.39,19.4,19.44,19.49,19.58,19.67,19.81,20.01,20.21,20.33,20.59,20.66,20.96,21.1,21.22,21.23,21.46,21.54,21.69,21.81,21.82,21.83,21.88,21.98,22.07,22.15,22.23,22.29,22.34,22.39,22.45,22.53,22.67,22.7,22.75,22.83,22.9,22.93,22.97,23.15,23.22,23.27,23.37,23.48,23.6,23.71,23.8,23.97,24.12,24.32,24.58,24.79,24.89,25.04,25.31,25.59,25.87,26.14,26.39,26.76,27.03,27.38,27.79,28.15,28.54,28.94,29.17,29.56,30,30.4,30.71,30.96,31.41,31.61,31.92,32.32,32.71,33.25,33.86,34.58,35.2,36.02,37.08,38.19,39.08,39.63,40.33,41.05,41.5,41.92,42.51,43.28,43.97,44.71,45.25,46.17,46.87,47.78,48.61,49.6,50.56,51.72,52.82,53.9,55.12,56.35,57.61,59.14,60.67,61.77,62.97,64.11,65,65.84,66.76,67.46,67.96,68.57,69.18,69.79,70.6,71.17,71.74,72.25,73.01,73.5,73.86,74.4,74.69,75.05,75.51,76.02,76.71,77.27,77.84,78.46,78.99,79.79,80.72,81.34,82.2,83.02,83.63,84.25,85.2,86.17,87,87.76,88.78,89.41,90,90.48,91.15,91.67,91.97,92.55,93.32,93.83,94.26,94.81,95.29,95.73,96.29,96.74,97.45,97.87,98.31,98.79,99.39,99.74,100.22,100.63,101.33,101.8,102.1,102.46,102.73,102.98,103.34,103.62,104.08,104.48,104.8,105.24,106.04,106.64,107.08,107.64,108.62,109.29,109.89,109.74,110.11,110.45,110.73,111.22,111.88,112.16,NA
"14",NA,"Less: Exports of goods and services and income receipts from the rest of the world:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","  Chain-type quantity index","BB20RA",8.66,8.59,8.19,7.4,7.13,6.56,6.73,6.49,7.18,7.1,6.57,5.74,5.7,5.8,6.05,6.46,6.73,7.42,7.61,7.59,7.86,7.13,6.64,6.68,6.56,6.64,6.79,6.62,6.42,7.18,6.98,7.36,7.62,7.48,7.91,7.96,8.39,8.84,9.14,9.35,10.05,9.88,9.6,9.11,8.36,8.38,8.4,8.4,8.13,8.29,8.96,8.78,9.8,10.15,10.39,10.44,10.58,10.1,10.49,10.69,10.59,11.31,11.3,11.2,11.16,11.95,12.09,12.61,13.33,13.19,13.57,13.73,12.58,14.24,13.92,14.58,14.48,14.42,14.51,14.82,14.97,14.79,14.83,15.11,15.5,15.82,16.7,16.4,15.13,17.74,17.67,17.99,18.4,18.92,18.82,18.79,18.86,19,19.76,18.19,19.95,19.82,20.73,21.93,24.16,25.42,26.13,27.06,28.41,29.38,28.07,28.23,27.7,26.62,27.16,28.7,28.73,29.04,29.68,30,29.95,30.67,30.96,30,31.19,33.65,34.37,36.4,36.85,37.63,39.68,41.89,43.31,43.23,42.35,42.36,43.59,44.06,43.77,43.85,42.41,43.41,41.17,39.21,39.25,39.77,40.8,41.79,42.94,44.49,45.51,45.49,44.29,44.23,43.21,44.41,45.52,45.38,45.75,46.76,47.26,49.56,51.53,53.62,56.96,58.09,59.4,61.54,63.89,66.37,66.14,67.56,69.47,70.44,69.8,72.44,70.68,71.47,71.09,72.52,72.66,73.07,72.58,73.37,73.61,74.92,73.91,76.94,77.7,81.17,84.05,87.58,90.24,91.79,94.41,96.69,97.05,98.1,99.34,105.52,107.63,112.33,115.1,114.43,115.01,114.35,112.41,116.07,115.01,117.23,121.24,125.78,128.9,134.31,136.22,136.02,131.56,125.39,118.25,112.94,113.25,117.17,119.16,117.39,116.59,116.46,NA
"16",NA,"Plus: Command-basis exports of goods and services and income receipts from the rest of the world:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","6","  Chain-type quantity index","AB21RA",11.76,11.68,11.08,9.91,9.41,8.59,8.8,8.49,9.42,9.26,8.48,7.33,7.05,7.07,7.22,7.5,7.6,8.21,8.39,8.46,8.95,8.24,7.78,7.93,7.91,8.07,8.26,8.03,7.66,8.52,8.26,8.71,9.12,9.01,9.56,9.67,10.19,10.78,11.19,11.5,12.44,12.32,12.07,11.55,10.74,10.84,10.91,10.95,10.48,10.69,11.57,11.33,12.71,13.14,13.43,13.48,13.7,13.25,13.77,14.12,14.15,14.96,15,14.82,14.68,15.65,15.7,16.32,17.14,16.88,17.5,17.83,16.55,18.78,18.26,18.89,18.95,18.83,19.22,19.82,20.32,20.12,20.16,20.66,21.21,21.89,22.84,22.42,20.86,24.41,24.46,24.83,25.26,26.16,25.41,25.24,25.41,25.58,26.22,23.95,26.24,25.66,26.55,28.1,30.88,31.5,32.56,33.02,32.19,31.14,29.84,30.46,30.21,28.88,30.03,31.91,31.92,32.17,32.55,33.14,32.39,32.79,32.63,31.49,32.79,35.4,36.14,38.75,38.87,39.24,39.64,40.21,39.73,38.92,38.12,38.65,39.78,40.21,40.96,41.13,40.09,41.63,39.71,37.94,38.82,39.49,40.65,42.2,43.32,44.93,46.35,46.5,45.89,45.64,44.38,44.86,45.7,46.61,46.61,47.5,47.23,49.1,50.8,52.89,56.06,57.25,59.63,61.28,63.29,65.3,65.72,66.74,67.97,70.08,68.43,68.82,69.05,71.08,71.01,71.94,72.35,72.46,71.06,72.03,73.26,74.28,73.8,76.96,78.37,81.27,83.4,87.03,90.1,90.93,93.86,96.46,97.02,98.18,99.77,105.04,107.91,114.35,117.51,117.02,119.32,119.18,117.61,121.19,120.83,122.07,124.98,128.73,130.8,136.49,137.45,137.07,133.14,128.09,125.05,117.44,118,120.18,121.96,120.16,117.56,118.6,NA
"18",NA,"Equals: Command-basis gross national product:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","7","  Chain-type quantity index","AB22RA",19.46,19.56,19.57,19.82,20.07,20.35,20.44,20.47,20.22,20.15,20.33,20.07,20.86,21.47,22.3,22.67,22.89,23.29,23.76,23.82,24.12,24.14,24.3,25.1,25.57,25.8,25.63,25.21,25.07,25.13,25.39,25.91,26.67,27.09,27.47,27.62,27.54,27.77,27.76,28.2,28.42,28.38,28.64,28.3,27.55,27.72,28.34,28.97,29.53,30.29,30.32,30.43,31.13,31,31.07,30.69,30.89,31.44,31.97,32.64,33.21,33.6,33.93,34.04,34.4,34.85,35.5,35.78,36.6,36.99,37.53,37.62,38.54,39.14,39.87,40.77,41.79,41.94,42.23,42.65,43.08,43.04,43.37,43.71,44.6,45.41,45.74,45.91,46.56,46.8,47.07,46.86,46.81,46.97,47.27,46.73,48.07,48.35,48.66,48.7,49.72,50.76,51.28,52.2,53.63,54.1,54.01,54.39,53.77,53.58,52.95,52.65,51.95,52.37,53.38,54.18,55.42,55.88,56.11,56.61,57.27,58.22,59.19,59.16,59.43,61.6,62.24,63.24,63.36,63.43,63.79,63.75,63.7,62.24,62.11,63.14,64.41,63.91,64.86,64.18,63.12,63.55,63.17,63.22,64.06,65.62,66.81,68.27,69.68,70.86,71.52,72,72.56,73.13,74.08,74.63,75.2,75.54,76.22,76.49,76.96,77.77,78.37,79.76,80.34,81.26,81.78,82.8,83.75,84.12,84.64,84.97,85.9,86.28,85.9,85.21,84.91,85.4,85.6,86.1,86.93,87.69,88.19,89.39,89.6,90.01,90.55,91.71,92.67,93.82,94.21,95.38,95.88,96.01,96.62,97.59,98.36,99.87,100.35,101.42,102.52,104.3,105.37,106.06,107.95,108.58,109.51,111.34,112.63,113.08,114.27,116.25,116.73,118.21,118.14,118.57,118.24,118.17,118.45,119.19,120.3,120.16,121.43,121.86,122.02,123.25,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","  Note.  Percent changes from preceding period for selected items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22"," in this table are shown in table 8.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
