"","Table 8#8B# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"14","7","      Autos","A136RC",20,24.5,25.1,21.9,28.2,31.6,33.9,27,29.3,38.2,44.4,48.5,49.3,46.4,50.7,53.3,66,77.1,86.3,99,91.3,96.7,92.9,89.7,72.3,78,82.1,86.5,82.2,81.9,82.5,87.9,98.4,105.5,105.9,103.2
"15","8","      Light trucks","B704RC",1.1,1.5,1.7,1.5,2.3,3.6,4.8,4.7,5.2,8.5,11.5,14.2,12.1,7.9,8.5,10.9,16.8,22.5,31.6,35.1,37.5,41.5,46.4,45,40.6,48.7,55.3,63.2,64.5,68.3,73.1,86.8,97.8,102.6,121.8,137.8
"16","9","    Net purchases of used autos","A137RC",4.3,4.6,5,4.8,5.3,5.9,6.4,6.6,7.4,9.7,10.4,11.1,11.3,10.8,12.8,13.6,15.6,21.4,24.4,23.8,28.4,28.9,31,29.3,28.9,31.2,38.8,43,50,51.4,53.1,54.9,57.7,59.4,60.6,58.6
"17","10","  Private fixed investment","AB62RC",9.5,11.9,13.5,11.5,14.7,17.3,20.1,20,17.9,23.1,30.6,36.8,38,31.7,35.3,34.8,43.6,55,60.3,60.7,58.9,63.3,59.7,60.3,62.6,69.4,80.8,103.9,108,120.8,129.6,140.2,157.4,150,127.7,122.5
"18","11","    New motor vehicles","AB68RC",11.5,14.1,15.9,13.8,17,19.7,22.9,23.1,21.9,27.8,35.5,42.2,44.4,38.2,42.8,43,52.2,69.2,77,75.6,75.9,82.3,79.3,79.2,82.6,91.5,108.2,133.5,141.9,155.2,164,175.3,193.2,186.6,164.2,158
"19","12","      Autos","B139RC",6.6,8.2,8.7,7.6,9.7,10.2,11.6,11.4,12.6,15.5,19.1,22,22.2,20.8,24.3,24.8,30.6,39.8,43.1,44.7,43.5,48.6,45.7,48.1,52.6,54.1,59.7,72.2,71.2,75.7,76.9,75.5,78.8,77.1,70.6,67.4
"20","13","      Trucks","B705RC",4.9,6,7.2,6.2,7.3,9.5,11.3,11.7,9.3,12.3,16.3,20.2,22.1,17.4,18.6,18.2,21.6,29.4,33.9,30.9,32.5,33.8,33.6,31.1,30.1,37.4,48.5,61.3,70.7,79.5,87.1,99.7,114.3,109.5,93.6,90.5
"21","14","        Light trucks","B196RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,16.6,15.8,17.1,17.9,21.3,26.1,35.3,40.5,52.3,61.5,67.2,76.5,76.5,70.2,67.1
"22","15","        Other","B197RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,17.1,17.8,14,12.2,16.1,22.3,25.9,30.1,27.2,25.7,32.5,37.9,33,23.4,23.5
"23","16","    Net purchases of used autos","B140RC",-2,-2.2,-2.4,-2.3,-2.3,-2.3,-2.8,-3.1,-3.9,-4.6,-4.9,-5.4,-6.3,-6.5,-7.6,-8.2,-8.6,-14.2,-16.7,-14.9,-17.1,-19.1,-19.6,-18.9,-20.1,-22.1,-27.4,-29.5,-33.9,-34.4,-34.4,-35.1,-35.8,-36.6,-36.5,-35.5
"24","17","  Gross government investment","AB64RC",1.3,1.2,1.2,1.3,1.4,1.5,1.9,2.3,2.5,2.9,3.3,3.8,4.4,4.6,5,4.9,5.8,8,8.4,8.2,7.6,8.1,10.3,10.8,10.2,11.1,10.6,10.3,10.7,10.8,11.4,12.2,12.8,13.4,13.7,13.3
"25","18","    Autos","B144RC",0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1,1.2,1.3,1.4,1.5,1.6,1.6,1.9,1.9,1.9,2,2.4,2.8,3.2,3,3.6,3.5,3.7,3.9,3.8,3.6,3.8,3.9,3.8,3.8,3.9
"26","19","    New trucks","B708RC",0.9,0.8,0.7,0.8,0.8,0.9,1.3,1.6,1.7,2,2.3,2.6,3,3.3,3.5,3.4,4.2,6.1,6.5,6.3,5.6,5.7,7.5,7.6,7.2,7.5,7.1,6.6,6.8,7,7.9,8.4,8.9,9.6,9.9,9.4
"27","20","  Net exports","AB63RC",-0.8,-1.9,-2.5,-3,-4.1,-4.8,-5.1,-5,-3.4,-5.7,-7.6,-10.7,-10.1,-13.4,-14.7,-19.4,-23,-30.8,-35.8,-45,-46.8,-43.1,-40.7,-41.5,-38.4,-37.9,-43.2,-49.8,-52.2,-53.6,-60.3,-68.1,-91,-101.7,-100.5,-104.6
"28","21","    Exports","AB69RC",1.2,1.4,1.6,1.4,1.8,2,2.7,3.7,5.1,5.3,5.7,6.7,8.6,7.7,8.1,6.1,7,8.1,9.7,10.6,11.9,14.3,14.2,14.8,17.1,19.8,20.3,23.2,24.5,26,27.7,25.9,25.3,26.1,25.4,28.9
"29","22","      Autos","B142RC",0.8,1,1,0.8,1.2,1.3,1.8,2.3,2.9,3.3,3.6,4,5.3,4.7,4.7,3.5,4.8,5.5,6.7,7.2,7.9,10,10.8,10.5,11.7,14.3,14.5,16.4,16.7,17,16.8,16.2,16.5,16.7,17.8,20.5
"30","23","      Trucks","B706RC",0.4,0.4,0.6,0.6,0.6,0.7,0.9,1.4,2.2,2.1,2,2.8,3.4,3.1,3.4,2.6,2.2,2.6,3,3.4,3.9,4.3,3.4,4.2,5.4,5.6,5.8,6.7,7.7,9,10.9,9.7,8.8,9.4,7.6,8.4
"31","24","    Imports","AB70RC",2,3.3,4.1,4.4,5.9,6.9,7.8,8.8,8.4,11,13.3,17.4,18.7,21.1,22.8,25.6,29.9,38.9,45.5,55.6,58.7,57.4,54.9,56.3,55.5,57.7,63.5,72.9,76.7,79.5,88,94,116.3,127.8,125.9,133.5
"32","25","      Autos","B143RC",1.7,2.8,3.4,3.7,5.1,5.7,6.5,7.3,7.1,8.9,10.7,13.7,14.9,17,17.8,20.3,23.9,30.6,36,45.2,47.9,47.1,44.5,46.6,46.3,47,52.2,61.1,63.8,65.9,72.2,79.4,96.3,109.2,106.7,114.1
"33","26","      Trucks","B707RC",0.3,0.5,0.7,0.7,0.8,1.1,1.3,1.5,1.3,2.1,2.6,3.8,3.8,4.1,4.9,5.3,6,8.3,9.5,10.4,10.7,10.3,10.4,9.7,9.2,10.7,11.2,11.8,12.8,13.7,15.8,14.6,20,18.6,19.2,19.4
"34","27","Change in private inventories","AB65RC",-0.8,1.8,0.4,-1,1.8,-0.3,1.3,3,-1.8,2,3.3,2.1,0.4,-2,1.8,-2.9,2.5,5.6,4.7,2.7,8.8,1.5,4,-3.4,-1.4,0.4,2.5,5.2,7,-4,4.3,0.7,10.2,6.1,-17.3,13.4
"35","28","  Autos","A145RC",-0.8,1.5,0.3,-0.9,1.6,-0.4,1.2,2.1,-1.2,1.7,2.2,1.9,0.1,0,2.1,-2.6,2.3,2.9,4.5,2.3,7.1,1.2,2.7,-2.2,0.3,-0.3,2.9,2.2,4.1,-3.4,0.6,3.2,1.4,2.1,-6.1,7.4
"36","29","    New","B146RC",-0.5,1.3,0.3,-0.8,1.4,-0.1,1.1,2.4,-1.4,1.6,1.9,2,0,0.8,2,-2.7,1.8,2.4,3.7,1.1,6.4,-0.3,1.7,-2.1,-0.2,0.1,2,1.6,3.1,-5.5,-0.6,2.5,1.2,1.2,-6.7,7
"37","30","      Domestic","AB71RC",-0.4,1.1,0.2,-0.9,0.8,-0.2,1.5,1.2,-0.9,0.7,2.1,0.2,1.1,0.2,2.2,-2.8,2.9,1.7,2.9,-0.6,4.1,-0.6,2.2,-2.7,-0.7,0.5,1.5,2.8,3.6,-3.9,-0.9,1.5,0,0.7,-7.4,5.7
"38","31","      Foreign","AB72RC",-0.2,0.2,0.1,0.1,0.6,0.1,-0.4,1.2,-0.5,0.9,-0.3,1.7,-1,0.6,-0.2,0,-1.1,0.7,0.8,1.6,2.3,0.3,-0.6,0.6,0.4,-0.5,0.5,-1.2,-0.5,-1.6,0.2,1,1.3,0.6,0.7,1.2
"39","32","    Used","B147RC",-0.2,0.2,0,-0.1,0.2,-0.3,0.1,-0.3,0.2,0.1,0.3,-0.1,0.1,-0.8,0.1,0.1,0.4,0.5,0.8,1.2,0.7,1.4,1,-0.2,0.5,-0.4,0.9,0.6,1.1,2.1,1.2,0.7,0.2,0.9,0.6,0.5
"40","33","  New trucks","B709RC",-0.1,0.3,0.1,-0.1,0.2,0.2,0.1,0.8,-0.6,0.2,1.2,0.2,0.2,-2,-0.3,-0.3,0.2,2.7,0.2,0.4,1.6,0.4,1.3,-1.2,-1.7,0.7,-0.5,3.1,2.8,-0.7,3.8,-2.5,8.7,4.1,-11.3,6
"41","34","    Domestic","AB73RC",NA,NA,NA,NA,NA,NA,0.1,0.9,-0.6,0.2,1.2,0.1,0.3,-2.1,-0.2,-0.2,0.4,2.5,0.2,-0.2,1.8,0.4,1.4,-0.8,-1.5,0.7,0,2.8,3.1,-0.8,3.1,-2.4,8.3,3.2,-10.7,4.3
"42","35","    Foreign","AB74RC",NA,NA,NA,NA,NA,NA,0.1,0,0,0.1,0,0.1,-0.1,0.1,0,-0.1,-0.2,0.2,0,0.6,-0.1,-0.1,-0.1,-0.4,-0.3,0,-0.5,0.3,-0.3,0.1,0.6,-0.1,0.5,0.9,-0.5,1.7
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Final sales of motor vehicles to domestic purchasers","AB75RC",36.2,43.8,46.6,41,51.9,59.9,67.1,60.6,62.4,82.3,100.1,114.5,115.1,101.5,112.2,117.5,147.8,184.1,211,226.8,223.6,238.5,240.3,235,214.5,238.4,267.6,306.9,315.5,333.2,349.7,382,424.1,430.9,429.8,435.5
"45","37","  Private fixed investment in new autos and new light trucks","AB76RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,65.2,61.5,65.2,70.5,75.4,85.8,107.6,111.8,128,138.3,142.8,155.3,153.6,140.8,134.5
"46","38","  Domestic output of new autos \2\","B148RC",24.5,31,30.2,24,33.2,35.3,40,33.3,34,46.6,54.8,59,59.2,50.9,57.7,51.5,71.8,86.8,95.2,97.4,94.4,98.4,98.9,92.7,88.1,96,103.4,121.7,118.2,116.7,116.1,114,116.5,117.4,107.3,113.2
"47","39","  Sales of imported new autos \3\","B149RC",2.8,3.9,5.1,5.8,7,8,9,8.9,10.4,11.4,14.9,16.4,19.3,21.8,24.7,28.4,33.1,38.4,44.8,54.1,53.2,57.7,53.6,54.4,48.3,51.3,54.7,56.8,55.9,55.3,60,67.8,78.8,84.2,82.9,84.4
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49"," 1. Except for exports and imports, consists of new trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50"," 2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51"," 3. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
