"","Table 7#2# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230"
"26","14","  Chain-type quantity index","B713RA",18.66,18.8,18.95,19.16,19.39,19.68,19.73,19.94,19.85,20.11,20.17,20.39,20.76,21.34,22.28,21.97,22.54,22.52,23.14,23.48,23.76,24.28,24.19,25.07,25.6,25.86,25.75,25.58,25.41,25.46,25.68,26.06,26.57,26.99,27.34,27.43,27.36,27.57,27.55,27.92,28.15,28.1,28.34,28.38,27.81,27.99,28.35,28.94,29.64,30.2,30.5,30.4,30.6,30.83,30.72,30.8,30.81,31.23,31.5,32.23,32.67,33.14,33.44,33.76,33.91,34.38,35.03,35.31,35.98,36.48,36.91,37.01,37.77,38.37,39.14,40.16,40.93,41.18,41.6,41.71,42.13,42.59,42.85,43.29,44.24,44.68,45.33,45.64,46.11,46.32,46.54,46.46,46.53,46.42,46.84,46.74,47.33,47.84,48.17,48.83,49.71,50.43,50.82,51.96,52.98,52.98,52.93,52.87,52.52,52.61,52.55,51.57,51.5,51.94,52.64,53.25,54.34,54.68,55.07,55.98,56.81,57.63,58.11,58.81,59.12,60.94,61.52,62.16,62.41,62.4,63,63.13,63.13,61.27,61.6,62.48,62.9,63,63.16,62.9,62.8,62.6,62.64,63.56,64.21,65.59,67.08,68.15,69.12,70.51,71.15,72.21,73.19,74.03,75.17,75.63,76.18,76.99,78.14,78.47,78.31,79.32,80.13,80.42,81.28,81.89,82.36,83.43,83.62,84.12,85,85.08,85.99,85.88,85.98,85.27,84.68,85.1,85.24,85.09,86.27,86.98,87.67,88.88,88.87,89.67,90.57,91.74,92.31,93.19,94.14,94.95,95.53,96.13,96.75,97.28,98.37,99.89,100.46,101.28,102.39,103.45,105.22,105.98,107.49,109.39,110.34,112,113.35,114.86,116.25,117.68,119.23,120.39,121.09,121.53,122.19,122.19,122.21,123.5,124.42,124.82,125.84,126.65,127.09,128.69,130.78
"27","15","  Chain-type price index","B713RG",15.4,15.59,15.82,16.17,16.37,16.57,16.88,16.89,16.86,16.77,16.64,16.65,16.62,16.71,17.07,17.35,17.97,18.07,18.13,18.36,18.34,18.42,18.56,18.63,18.64,18.68,18.75,18.82,18.92,18.95,18.95,18.98,19.04,19.15,19.28,19.41,19.59,19.77,19.99,20.11,20.34,20.47,20.62,20.73,20.91,21,21.06,21.11,21.17,21.22,21.28,21.37,21.41,21.51,21.61,21.71,21.73,21.75,21.81,21.85,21.97,22.05,22.1,22.18,22.27,22.3,22.34,22.48,22.57,22.64,22.75,22.84,22.93,23.04,23.15,23.32,23.44,23.66,23.88,24.07,24.17,24.32,24.55,24.82,25.1,25.37,25.63,25.99,26.23,26.59,26.97,27.32,27.71,28.09,28.36,28.74,29.17,29.56,29.9,30.16,30.61,30.83,31.15,31.52,31.94,32.54,33.14,33.76,34.65,35.62,36.69,37.76,38.57,39.15,39.81,40.5,40.94,41.39,42,42.71,43.51,44.28,44.98,45.77,46.52,47.45,48.29,49.2,50.21,51.41,52.71,54.01,55.53,56.93,58.23,59.7,61.21,62.32,63.36,64.52,65.38,66.12,66.99,67.66,68.03,68.62,69.18,69.66,70.49,71.06,71.54,72,72.65,73.17,73.59,74.24,74.57,74.73,75.26,75.82,76.63,77.27,77.87,78.52,79.1,79.9,80.67,81.37,82.27,83.17,83.66,84.34,85.4,86.19,87.19,88.35,89.03,89.45,89.97,90.53,91.19,91.76,92.21,92.76,93.37,93.92,94.27,94.78,95.17,95.7,96.39,96.82,97.47,98,98.39,98.84,99.42,99.74,100.15,100.69,101.29,101.52,101.78,102.11,102.16,102.33,102.61,102.91,103.27,103.81,104.3,104.87,105.83,106.42,106.99,107.56,108.42,108.88,108.84,108.97,109.28,109.9,110.25,110.73,111.7,111.79,112.33
"28","16","  Implicit price deflator","A713RD",15.4,15.59,15.82,16.17,16.37,16.57,16.89,16.89,16.87,16.77,16.64,16.66,16.62,16.71,17.06,17.35,17.97,18.07,18.13,18.36,18.34,18.42,18.56,18.63,18.65,18.68,18.75,18.82,18.92,18.95,18.95,18.98,19.05,19.15,19.28,19.41,19.59,19.78,19.99,20.11,20.34,20.48,20.63,20.74,20.91,21,21.06,21.11,21.17,21.22,21.28,21.37,21.41,21.51,21.61,21.71,21.73,21.76,21.81,21.85,21.98,22.05,22.11,22.19,22.27,22.3,22.34,22.48,22.57,22.65,22.75,22.85,22.93,23.04,23.15,23.32,23.44,23.66,23.88,24.08,24.17,24.32,24.56,24.82,25.1,25.37,25.63,25.99,26.23,26.59,26.98,27.33,27.71,28.1,28.37,28.75,29.17,29.56,29.9,30.16,30.61,30.83,31.15,31.52,31.94,32.54,33.15,33.77,34.66,35.63,36.71,37.77,38.58,39.15,39.81,40.49,40.94,41.39,42.01,42.71,43.51,44.28,44.98,45.76,46.51,47.43,48.28,49.19,50.2,51.41,52.71,54.01,55.54,56.94,58.24,59.71,61.21,62.32,63.35,64.51,65.38,66.11,66.98,67.65,68.02,68.61,69.16,69.64,70.47,71.05,71.53,72,72.64,73.16,73.58,74.23,74.57,74.72,75.25,75.81,76.63,77.26,77.87,78.51,79.09,79.9,80.66,81.36,82.27,83.16,83.65,84.34,85.4,86.19,87.19,88.36,89.03,89.45,89.97,90.53,91.18,91.75,92.2,92.75,93.37,93.92,94.26,94.78,95.16,95.69,96.39,96.82,97.46,98,98.39,98.83,99.41,99.73,100.15,100.69,101.29,101.52,101.77,102.1,102.15,102.32,102.6,102.9,103.27,103.81,104.29,104.86,105.83,106.41,106.99,107.56,108.41,108.88,108.84,108.97,109.28,109.9,110.25,110.73,111.7,111.79,112.33
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"  Final sales of computers: \1\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","17","    Current dollars","BB01RT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.53,14.42,15.88,17.27,18.52,19.11,20.5,22.29,22.83,24.64,27.4,28.27,30.59,31.02,33.12,36.79,37.83,35.38,35.37,35.74,39.31,42.2,45.36,45.89,48.48,52.04,56.89,60.85,58.38,60.54,56,57.62,57.15,58.84,57.46,59.82,60.42,60.88,62.85,64.02,66.73,67.97,69.48,71.85,70.14,74.54,74.45,71.11,69.06,66,65.3,67.18,65.74,66.22,66.05,70.79,68.93,70.86,70.46,70.02,70.74,67.81,71.17,70.42,72.52,72.15,73.94,75.96,83.37,89.15,90.67,96.58,100.66,98.79,100.95,99.59,104.18,109.43,114.39,111.76,112.05,110.54,106.5,109.31,107.28,114.75,116.74,109.33,115.93,121.76,119.42,118.81,113.36,102.38,95.34,96.08,87.91,86.34,94.26,94.94,96.44,98.45,111.64
"32","18","    Chain-type quantity index","BB01RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.7,0.82,0.95,1.03,1.09,1.24,1.45,1.56,1.8,2.15,2.34,2.56,2.6,2.83,3.23,3.51,3.3,3.36,3.44,4.09,4.69,5.39,5.7,6.38,7.2,8.25,9.16,9.2,10,9.63,10.4,11.05,11.74,11.32,11.9,13.04,13.83,14.84,15.07,15.91,16.78,17.42,18.2,17.76,19.69,20,19.99,20.73,20.18,19.96,20.94,20.87,21.71,23.26,25.8,25.49,28.03,29.81,31.01,32.82,33.04,36.31,37.49,39.51,39.99,42.06,46.1,53.88,60.35,66.67,76.73,88.04,95.19,104.52,112.25,127.73,144.85,163,167.84,183.52,198.38,216.89,241.95,261.46,294.9,317.96,314.83,352.34,386.78,395.76,405.51,432.99,410.7,405.16,431.75,423.11,436.31,504.33,535.03,569.35,605.39,714.57
"33","19","    Chain-type price index","BB01RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2221.47,2037.34,1894.45,1787.23,1781.76,1730.27,1636.57,1531.06,1450.95,1349.49,1259.33,1200.06,1190.71,1187.43,1170.44,1139.08,1080.52,1073.92,1054.8,1040.24,954.43,891.99,833.87,797.46,753.01,718.2,685.76,662.38,632.86,604.6,581.27,553.91,517.32,501.65,507.7,502.22,462.25,439.12,422.91,424.14,419.03,404.65,398.36,394.14,394.13,377.71,371.6,355.28,333.26,327.09,327.1,320.64,314.33,303.99,282.33,272.46,268.63,251.44,235.39,225.23,214.83,204.66,195.5,187.39,183.48,180.16,175.27,163.89,153.18,146.17,134.56,124.64,113.41,102.93,95.74,87.93,80.99,74.98,69.58,65.97,60.33,55.05,48.53,44.68,40.73,38.73,36.61,34.65,32.84,31.41,30.1,29.24,26.16,24.93,23.55,22.28,20.8,19.81,18.71,17.76,16.96,16.28,15.64
"34","20","    Implicit price deflator","BB01RD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2263.97,2073.35,1928.88,1820.49,1795.04,1748.19,1655.11,1540.55,1467.3,1369.11,1273.04,1206.49,1196.75,1191.41,1170.76,1140,1078.46,1073.36,1053.88,1040.64,961,900.65,841.37,805.11,760,723.2,689.79,664.45,634.33,605.65,581.81,554.04,517.27,501.38,507.63,502.8,463.4,440.31,423.63,424.93,419.38,405.06,398.86,394.75,395,378.48,372.25,355.69,333.09,327.04,327.08,320.8,314.95,305.08,283.95,274.33,270.43,252.85,236.37,225.84,215.57,205.27,196,187.83,183.57,180.42,175.78,164.77,154.72,147.73,135.98,125.87,114.33,103.79,96.59,88.72,81.57,75.55,70.18,66.59,61.06,55.72,49.11,45.18,41.03,38.91,36.72,34.73,32.9,31.48,30.17,29.3,26.18,24.93,23.53,22.25,20.78,19.79,18.69,17.74,16.94,16.26,15.62
"35",NA,"  Gross domestic product less final sales of computers:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","21","    Current dollars","BB00RT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.67,29.29,30.07,31.09,31.76,32.51,33.43,34.21,35.1,35.13,35.84,37.45,39.16,39.59,40.82,41.04,40.91,41.64,42.03,42.5,43.28,44.69,45.86,47.23,48.81,50.02,50.81,51.53,52.54,53.3,54.42,55.26,55.99,56.49,57.38,58.06,59.02,60.09,61.04,62.59,63.41,64.81,65.9,67.25,68.83,69.86,70.71,71.52,73.26,74.32,74.91,74.92,75.44,76.41,77.11,77.9,79.25,80.43,81.33,82.94,83.6,84.6,85.32,87.14,88.31,89.97,90.99,92.54,93.5,94.03,95.18,96.36,97.62,99.62,100.58,102.18,103.98,105.94,107.32,108.48,110.41,111.32,112.91,115.05,116.47,117.41,119.27,121.93,123.58,125.73,126.46,127.48,128.5,128.89,129.58,130.29,132.44,133.28,134.87,135.94,137.21,138.67,141.58
"37","22","    Chain-type quantity index","BB00RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.14,63.44,63.99,64.8,64.94,64.96,65.37,65.52,65.71,64.29,64.1,65.21,66.44,65.97,66.71,65.85,64.7,65.02,64.69,64.73,65.38,66.85,67.95,69.32,70.77,71.89,72.41,72.88,73.49,74.01,75.16,75.72,76.36,76.64,77.38,77.76,78.26,79.05,79.66,81.05,81.55,82.47,82.86,83.91,84.97,85.34,85.73,86.04,87.09,87.32,87.16,86.4,85.97,86.43,86.59,86.98,87.8,88.56,89.2,90.35,90.28,90.83,91.16,92.53,93.28,94.58,95.06,96.17,96.39,96.47,97.13,97.78,98.36,99.92,100.32,101.4,102.36,103.72,104.67,105.36,106.85,107.36,108.36,110.03,110.78,111.2,112.54,114.51,115.12,116.4,116.54,116.83,116.59,116.17,116.1,116.84,118.31,118.66,119.73,120.09,120.47,121.4,123.38
"38","23","    Chain-type price index","BB00RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.26,46.18,47.03,48,48.94,50.07,51.12,52.18,53.39,54.65,55.93,57.46,58.94,60,61.19,62.32,63.24,64.07,64.97,65.65,66.24,66.88,67.5,68.1,68.97,69.59,70.19,70.71,71.5,72.02,72.43,72.99,73.32,73.7,74.16,74.71,75.44,76.02,76.61,77.23,77.77,78.59,79.54,80.17,81.02,81.86,82.48,83.14,84.13,85.13,85.95,86.72,87.76,88.41,89.05,89.56,90.26,90.83,91.18,91.8,92.61,93.15,93.61,94.18,94.69,95.14,95.73,96.24,97.01,97.47,97.99,98.56,99.26,99.71,100.27,100.77,101.59,102.15,102.53,102.97,103.34,103.7,104.2,104.57,105.14,105.6,105.98,106.49,107.36,108.03,108.52,109.12,110.23,110.95,111.61,111.51,111.94,112.32,112.65,113.19,113.9,114.22,114.75
"39","24","    Implicit price deflator","BB00RD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.26,46.17,46.99,47.97,48.9,50.04,51.13,52.22,53.42,54.65,55.91,57.43,58.93,60.01,61.19,62.33,63.23,64.05,64.97,65.67,66.2,66.85,67.49,68.13,68.97,69.57,70.17,70.71,71.49,72.02,72.4,72.98,73.31,73.71,74.15,74.66,75.41,76.02,76.62,77.23,77.76,78.59,79.52,80.15,81.01,81.86,82.47,83.13,84.12,85.11,85.94,86.71,87.74,88.41,89.05,89.56,90.26,90.82,91.18,91.79,92.59,93.14,93.6,94.18,94.68,95.13,95.72,96.23,97,97.46,97.99,98.55,99.25,99.7,100.26,100.76,101.58,102.14,102.53,102.96,103.33,103.69,104.19,104.56,105.13,105.59,105.98,106.48,107.35,108.02,108.51,109.11,110.22,110.95,111.61,111.51,111.94,112.32,112.65,113.19,113.9,114.22,114.76
"40",NA,"  Gross domestic purchases less final sales of computers:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","25","    Current dollars","BB05RT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.96,29.36,30.16,31.07,31.77,32.56,33.49,34.34,35.33,35.11,35.56,37.31,39.11,39.52,40.67,40.96,40.84,41.42,42.12,42.58,43.28,44.93,46.35,47.78,49.64,50.96,51.75,52.52,53.33,54.37,55.5,56.53,57.16,57.68,58.69,59.29,60.31,61.45,62.36,63.9,64.45,65.61,66.6,68.06,69.33,70.31,71.12,71.89,73.58,74.45,75.28,75.19,75.21,75.9,76.69,77.38,78.62,80.02,80.99,82.63,83.34,84.45,85.35,87.08,88.29,90.07,91.26,92.71,93.68,94.36,95.04,96,97.49,99.64,100.85,102.02,103.93,105.67,107.21,108.55,110.63,111.95,113.65,115.73,117.49,118.99,121.26,124.03,126.26,128.67,129.77,130.93,131.75,132.06,132.1,133.17,135.38,137.03,138.72,140.34,141.75,143.38,146.09
