"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"11","3","  Structures","B009RG3",11.701,11.894,12.058,12.288,12.411,12.799,12.835,13.048,13.317,13.62,13.922,14.166,14.444,14.624,14.815,15.103,15.327,15.655,16.089,16.482,16.926,17.663,18.486,19.263,19.826,20.184,20.363,20.603,20.728,21.1,21.409,21.707,22.395,22.799,23.314,23.805,24.316,24.995,25.609,26.307,27.041,27.87,28.733,29.344,29.85,30.456,31.106,32.079,33.455,34.618,35.598,36.802,37.6,37.973,38.077,37.908,37.258,36.884,36.806,36.75,36.794,37.164,37.404,37.626,37.913,38,38.198,38.419,38.578,38.776,38.949,39.151,39.162,39.328,39.54,39.924,40.549,40.952,41.354,41.796,42.153,42.65,42.983,43.315,43.678,43.984,44.347,44.617,45.014,45.091,45.079,44.642,44.642,44.819,45.035,45.373,45.702,46.095,46.469,46.878,47.241,47.532,48.115,48.793,49.378,49.701,50.242,50.661,50.709,50.899,51.55,51.905,52.408,52.886,53.479,54.119,54.879,55.465,55.918,56.374,56.775,57.145,57.546,58.046,58.741,59.279,59.905,60.614,61.47,62.4,63.395,63.783,64.385,65.091,65.681,66.459,67.262,67.305,67.803,68.723,70.144,71.736,73.702,75.931,78.184,80.271,83.199,86.57,88.871,91.144,92.849,95.327,96.536,97.007,97.868,99.067,100.183,101.062,102.859,104.931,103.757,100.651,97.895,97.696,98.05,98.554,99.077,99.693,100.089,101.342,102.398,103.575,104.47,105.479,105.77,106.138,106.864,108.194,108.778,109.829,110.452,110.843,111.489,111.804
"12","4","    Commercial and health care","W001RG3",12.563,12.788,12.965,13.216,13.298,13.762,13.674,13.941,14.334,14.693,15.048,15.347,15.681,15.845,16.093,16.521,16.75,17.099,17.572,17.87,18.209,18.815,19.596,20.368,20.875,21.133,21.193,21.333,21.379,21.811,22.088,22.301,22.658,23.087,23.636,24.136,24.713,25.326,25.865,26.525,27.085,28.028,28.906,29.627,30.441,31.141,31.938,32.837,33.508,34.125,34.691,35.257,35.836,36.344,36.747,37.019,37.259,37.466,37.712,38.07,38.502,38.86,39.321,39.643,39.945,40.167,40.443,40.79,41.107,41.524,41.937,42.399,42.75,43.128,43.446,43.846,44.383,44.703,45.042,45.459,45.852,46.397,46.705,47.037,47.517,47.832,48.186,48.362,48.519,48.65,48.818,48.639,48.582,48.8,49.064,49.49,49.998,50.361,50.858,51.367,51.789,52.162,52.842,53.616,54.277,54.574,54.858,55.132,55.397,55.65,56.224,56.535,56.961,57.333,57.984,58.604,59.384,60.005,60.761,61.508,62.156,62.79,63.336,63.879,64.795,65.366,65.901,66.46,67.023,67.53,68.379,68.961,69.155,69.585,69.839,70.642,71.626,71.47,71.601,72.418,73.778,75.319,77.111,78.964,80.568,82.328,84.553,86.422,88.094,89.532,91.16,93.46,94.631,94.941,95.894,97.447,97.742,98.226,99.437,102.347,103.015,101.388,98.063,97.535,96.945,96.38,96.447,96.782,97.12,97.876,98.87,99.74,100.124,100.787,101.364,101.353,101.963,102.597,103.503,104.457,105.156,105.717,106.448,106.696
"13","5","    Manufacturing","C307RG3",13.038,13.265,13.444,13.714,13.805,14.301,14.216,14.498,14.915,15.28,15.641,15.948,16.309,16.483,16.74,17.179,17.399,17.749,18.238,18.549,18.908,19.547,20.367,21.17,21.701,21.974,22.037,22.188,22.241,22.693,22.971,23.184,23.544,23.976,24.529,25.028,25.584,26.205,26.766,27.455,28.101,29.103,30.055,30.844,31.717,32.483,33.322,34.244,34.9,35.524,36.107,36.741,37.413,37.987,38.441,38.728,38.964,39.164,39.399,39.755,40.2,40.558,41.046,41.393,41.703,41.951,42.255,42.624,42.963,43.398,43.815,44.284,44.64,45.009,45.332,45.751,46.325,46.659,47.012,47.447,47.844,48.415,48.721,49.063,49.578,49.919,50.301,50.49,50.654,50.787,50.961,50.769,50.706,50.915,51.164,51.625,52.161,52.523,53.017,53.514,53.943,54.299,54.994,55.814,56.521,56.87,57.177,57.438,57.669,57.962,58.584,58.927,59.402,59.791,60.436,61.018,61.577,62.243,63.018,63.746,64.397,64.961,65.444,65.929,66.744,67.289,67.83,68.42,69.003,69.549,70.466,71.125,71.441,71.937,72.169,72.87,73.56,73.094,72.97,73.574,74.806,76.17,77.753,79.359,80.742,82.192,83.949,85.355,86.775,87.921,88.765,90.248,91.365,92.254,93.596,95.214,95.486,95.761,98.134,102.451,103.299,100.955,97.367,97.63,97.321,97.29,97.537,97.815,97.823,98.829,100.272,100.971,101.658,102.205,102.234,102.193,102.98,103.757,104.689,106.339,107.055,107.411,108.29,108.453
"14","6","    Power and communication","W003RG3",15.637,15.808,16.022,16.357,16.661,17.05,17.395,17.623,17.845,18.2,18.543,18.756,19.024,19.299,19.42,19.523,19.855,20.361,21.001,21.889,22.747,23.709,24.678,25.696,26.538,27.161,27.568,27.916,28.366,28.796,29.209,29.662,31.015,31.085,31.293,31.701,32.159,32.804,33.545,34.323,35.275,36.168,37.287,38.273,38.974,39.948,40.804,41.69,42.215,42.909,43.524,44.063,44.728,45.011,45.425,45.596,45.812,45.713,45.727,45.786,45.753,46.065,46.098,46.202,46.519,46.596,46.665,46.658,46.568,46.568,46.552,46.582,46.645,46.767,47.143,47.556,48.018,48.667,49.479,50.298,50.831,51.578,52.314,52.994,53.217,53.398,53.598,53.74,53.783,53.859,54.116,54.093,54.373,54.53,54.729,54.933,55.277,56.037,56.3,56.78,57.366,57.855,58.256,58.975,59.592,60.144,60.897,61.383,61.616,61.857,62.202,62.692,62.846,63.405,63.677,63.82,64.061,64.072,64.168,64.248,64.008,64.042,64.488,64.935,65.544,66.27,66.67,67.295,67.681,68.104,68.741,68.932,69.299,69.616,70.249,70.522,70.845,71.246,71.797,72.471,73.544,75.935,77.897,79.735,80.536,81.867,83.122,85.225,87.658,89.696,91.459,93.248,93.515,94.292,95.471,96.678,98.076,99.802,102.868,104.036,102.567,100.381,98.088,98.963,101.056,103.642,105.527,106.97,108.281,109.881,111.183,112.42,113.372,114.183,114.446,114.657,114.791,115.259,115.69,116.113,116.312,117.059,117.683,118.42
"15","7","    Mining exploration, shafts, and wells \1\","E318RG3",5.2,5.286,5.37,5.406,5.487,5.661,5.709,5.67,5.613,5.756,5.899,5.988,6.082,6.216,6.33,6.376,6.46,6.556,6.681,6.873,7.164,8.037,8.725,9.212,9.688,9.999,10.219,10.565,10.562,10.76,11.104,11.449,11.986,12.634,13.278,13.792,14.185,14.971,15.574,16.243,17.037,17.507,18.042,18.083,17.685,17.804,17.995,18.861,21.311,23.291,24.902,27.002,27.955,28.086,27.547,26.464,23.937,22.463,21.756,20.937,20.308,20.59,20.417,20.415,20.613,20.378,20.447,20.441,20.317,20.005,19.424,18.734,17.284,16.626,16.323,16.604,17.648,18.201,18.601,18.917,19.039,19.159,19.323,19.404,19.375,19.699,20.151,20.799,22.1,21.926,21.146,19.54,19.459,19.503,19.604,19.782,19.55,19.623,19.749,19.856,19.843,19.742,20.114,20.395,20.638,20.738,22.125,23.107,22.04,21.914,23.117,23.535,24.539,25.309,25.937,26.999,28.774,29.823,29.423,29.028,28.813,28.268,27.995,28.42,28.353,28.583,29.854,31.207,33.53,36.353,38.086,37.835,40.38,42.889,44.894,46.162,46.943,47.348,49.078,50.616,52.594,54.061,56.945,61.134,66.856,70.844,77.348,86.285,90.531,95.352,97.948,102.165,103.788,104.237,104.519,105.208,108.837,110.334,112.749,113.901,107.719,99.344,96.965,95.972,97.111,98.203,98.511,98.968,98.825,100.751,101.721,103.544,105.251,107.049,107.088,108.061,109.123,112.012,112.112,113.203,113.659,113.636,113.766,113.491
"16","8","    Other structures \2\","W004RG3",13.871,14.149,14.339,14.624,14.732,15.185,15.198,15.539,15.909,16.237,16.581,16.918,17.279,17.469,17.7,18.122,18.396,18.758,19.251,19.628,20.166,21.036,22.1,23.062,23.579,23.948,24.09,24.256,24.398,24.789,24.987,25.22,26.156,26.423,26.915,27.33,27.827,28.422,28.995,29.63,30.326,31.263,32.266,33.077,34.1,34.864,35.681,36.689,37.536,38.407,39.079,39.771,40.454,41.081,41.575,41.918,42.296,42.536,42.766,42.986,43.309,43.772,44.212,44.557,44.827,45.063,45.282,45.605,45.903,46.229,46.595,47.043,47.443,47.891,48.271,48.75,49.258,49.578,49.904,50.306,50.687,51.269,51.619,52.027,52.561,52.9,53.295,53.497,53.714,53.976,54.179,54.051,54.046,54.289,54.532,54.912,55.392,55.916,56.346,56.791,57.259,57.629,58.292,59.058,59.726,60.152,60.549,60.899,61.277,61.552,62.113,62.479,62.91,63.361,63.974,64.618,64.928,65.419,66.055,66.714,67.371,68.006,68.586,69.193,70.095,70.77,71.416,72.207,73.033,73.71,74.634,75.232,75.227,75.51,75.69,76.475,77.491,77.445,77.643,78.476,79.805,81.192,82.768,84.281,85.497,86.92,88.793,90.474,92.016,93.575,94.77,96.616,98.346,98.804,99.618,100.438,100.834,101.266,101.938,102.969,102.887,100.709,98.481,97.923,97.551,96.993,97.043,97.397,97.77,98.319,99.071,99.761,99.924,100.552,101.154,101.528,102.535,103.379,104.365,105.969,107.373,107.814,109.264,110.508
"17","9","  Equipment","Y033RG3",54.456,54.738,55.226,55.707,56.31,56.845,57.272,57.942,58.578,58.95,59.034,59.031,59.442,59.719,59.831,59.693,59.942,60.546,61.036,61.197,61.954,63.507,66.107,69.356,72.557,74.871,76.028,77.211,78.396,79.151,80.166,81.41,82.733,83.952,85.303,86.744,87.767,88.826,89.935,91.02,92.71,94.4,95.943,97.62,100.149,102.692,104.91,106.436,108.477,110.56,111.962,113.494,113.987,115.555,116.391,116.915,116.744,116.241,115.674,115.521,115.323,115.243,114.999,114.823,114.708,114.826,115.136,115.717,115.915,116.984,118.073,118.663,118.631,118.051,117.491,118.521,119.13,119.437,119.64,121.025,121.491,121.634,122.312,122.957,123.638,123.898,124.79,126.05,127.065,126.772,126.409,126.575,127.112,126.672,126.499,125.769,125.608,125.206,124.796,124.527,124.977,125.208,124.936,124.125,123.615,123.834,123.478,122.854,121.856,120.734,120.272,119.72,118.665,117.749,116.973,115.883,114.111,112.62,111.364,110.121,109.347,108.185,107.004,106.376,106.064,105.641,105.292,104.547,103.261,102.627,101.887,101.344,100.902,100.427,99.915,99.738,98.859,98.421,98.354,98.446,98.241,98.579,98.3,98.322,98.806,98.938,98.444,98.368,98.24,98.024,98.327,98.675,98.975,99.111,98.515,97.805,97.645,97.645,98.793,100.682,100.739,100.433,99.897,98.931,97.875,97.817,98.049,98.293,98.486,98.833,98.941,99.173,99.579,99.586,99.878,100.267,100.196,100.231,100.339,100.287,100.477,100.754,101.025,101.303
"18","10","    Information processing equipment","Y034RG3",427.463,427.431,428.408,430.049,433.175,434.095,431.204,429.315,427.571,423.638,419.702,417.212,414.781,412.485,411.17,411.314,415.852,417.933,414.961,410.093,409.044,416.871,424.771,433.774,443.801,449.65,449.642,450.793,453.111,454.126,453.841,450.68,451.99,449.627,444.071,436.495,432.321,429.61,426.495,423.242,424.362,424.748,421.595,419.06,421.663,423.34,425.086,426.566,430.351,433.152,434.117,435.775,430.751,438.072,440.826,442.615,435.307,427.39,421.163,416.987,411.345,406.787,402.414,399.436,395.097,390.477,386.162,382.569,376.617,375.433,379.538,378.327,371.902,365.334,359.822,363.019,363.923,359.513,357.343,358.746,359.074,355.827,354.036,351.246,348.38,346.61,347.128,346.715,345.719,342.139,336.569,332.858,332.276,327.244,323.864,319.341,315.868,311.004,306.737,302.574,300.976,298.477,294.461,289.006,284.864,281.018,274.794,267.644,259.86,250.979,245.601,240.32,234.024,228.024,221.944,215.655,206.787,199.069,192.148,185.817,180.413,175.353,171.183,168.254,166.286,163.775,161.901,159.597,154.108,150.913,147.545,144.355,142.65,140.772,138.272,135.696,132.813,130.842,128.811,126.502,125.357,124.313,123.219,122.057,120.62,119.017,117.488,115.895,114.157,112.713,111.814,111.378,110.925,110.171,107.49,104.819,104.486,103.836,103.476,102.775,101.277,99.937,99.783,99.003,98.498,98.364,98.084,98.341,98.309,97.42,96.634,96.143,95.906,95.244,94.909,94.675,94.416,94.334,94.209,94.036,94.038,94.2,94.157,94.053
"19","11","      Computers and peripheral equipment","B935RG3",64287.951,62906.557,61191.213,60167.041,59902.951,58263.141,54318.181,50776.091,47824.756,43775.566,40408.851,37983.349,35801.055,34690.54,33542.553,33081.638,34151.13,33943.891,32054.375,29850.251,28153.131,26792.939,25865.818,25328.105,25393.896,25227.343,24350.382,23212.969,21979.397,20839.426,19904.24,19279.832,19439.98,18842.513,17449.023,15629.835,13837.739,12408.051,11368.096,10655.686,10665.48,10392.506,9811.651,9126.727,8689.538,8033.809,7444.32,7048.476,6980.133,6958.597,6851.841,6643.176,6201.631,6203.221,6152.972,6134.981,5624.113,5265.887,4945.792,4751.126,4452.865,4226.004,4046.681,3929.681,3754.896,3601.546,3476.527,3326.179,3097.991,3016.088,3052.608,3030.464,2781.199,2609.709,2494.514,2503.793,2479.778,2417.635,2385.135,2367.669,2345.773,2263.28,2234.709,2167.532,2074.322,2047.938,2043.446,2010.511,1956.671,1893.625,1781.361,1713.511,1676.661,1599.052,1521.689,1471.065,1423.644,1354.847,1300.042,1248.139,1221.624,1198.219,1159.377,1105.266,1055.339,1012.667,954.998,897.383,830.449,762.085,719.429,677.649,632.177,594.196,555.961,522.347,478.487,442.684,410.252,380.836,357.984,338.555,323.537,313.181,304.461,294.863,287.65,279.775,257.058,247.613,236.242,225.078,218.092,213.678,206.833,200.42,193.51,189.213,185.482,181.949,179.408,176.576,172.21,167.836,161.745,156.159,150.544,145.287,140.978,136.086,131.72,128.6,125.691,122.263,118.526,115.883,111.691,109.69,107.859,105.712,103.246,100.526,98.796,97.432,96.733,96.288,95.804,95.194,93.708,92.592,91.332,90.579,90.644,90.129,90.074,89.831,89.715,89.684,89.407,89.303,89.298,89.576,89.535,89.578
"20","12","      Other \3\","B937RG3",68.405,68.747,69.386,69.968,70.646,71.349,71.946,72.642,73.277,73.925,74.513,75.102,75.716,75.829,76.185,76.458,76.92,77.508,77.829,77.926,78.686,81.246,83.707,86.262,88.57,90.044,90.589,91.636,93.154,94.383,95.156,94.904,94.987,94.992,95.156,95.505,97.046,98.747,99.917,100.525,100.825,101.577,102.105,103.242,105.336,108.028,110.991,113.401,115.246,116.454,117.377,119.121,119.838,122.409,123.662,124.401,125.483,125.553,126.274,126.659,127.676,128.579,129.125,129.538,130.229,130.513,130.505,131.329,132.57,133.542,134.922,134.729,136.509,137.004,136.853,138.42,139.562,138.704,138.341,139.605,140.395,140.949,140.764,141.2,142.364,142.07,142.47,143.19,144.263,144.105,144.373,144.493,145.521,145.402,146.514,145.747,145.589,145.611,145.43,145.224,145.529,145.071,144.417,143.698,143.842,143.899,143.465,142.547,142.157,141.159,140.838,140.752,140.499,139.855,139.366,138.1,135.935,133.933,132.377,131.075,129.771,128.293,126.88,125.821,125.486,124.734,124.219,123.334,122.209,120.664,119.356,118.277,118.077,116.987,115.796,114.395,112.708,111.409,109.879,107.965,107.255,106.749,106.624,106.449,106.423,106.011,105.726,105.304,104.427,104.14,104.452,104.97,105.382,105.551,103.234,100.556,101.63,101.498,101.703,101.551,100.446,99.683,100.199,99.673,99.243,99.249,99.066,99.692,100.246,99.46,98.884,98.506,98.135,97.407,96.953,96.722,96.407,96.308,96.243,96.043,96.049,96.168,96.124,95.964
"21","13","    Industrial equipment","B680RG3",19.036,19.111,19.255,19.483,19.759,20.051,20.322,20.573,20.755,20.996,21.21,21.348,21.396,21.467,21.525,21.642,21.762,21.968,22.225,22.492,22.868,23.455,24.499,25.947,27.556,28.887,29.789,30.391,30.818,31.287,31.835,32.453,33.316,34.119,34.862,35.562,36.38,37.098,37.841,38.62,39.611,40.601,41.723,42.724,44.365,45.875,47.28,48.566,49.695,50.61,51.422,52.131,52.33,53.394,53.802,54.038,54.315,54.548,54.522,54.565,54.775,55.132,55.189,55.289,55.318,55.673,56.202,56.849,57.729,58.375,58.964,59.178,60.322,60.916,61.033,62.082,62.859,63.736,63.807,64.934,65.425,65.68,66.375,67.133,68.156,68.788,69.648,70.702,71.65,71.462,71.702,72.364,72.825,73.128,73.919,73.673,73.873,74.248,74.53,74.909,75.13,75.613,76.138,76.742,77.257,78.395,78.964,79.369,79.799,79.953,80.237,80.511,80.611,80.601,80.684,80.79,80.904,81.031,81.218,81.352,81.551,81.465,81.578,81.796,81.891,81.988,82.146,82.187,82.47,82.637,82.581,82.66,82.478,82.442,82.72,82.836,82.967,83.128,83.351,83.519,84.183,84.94,85.604,86.403,87.406,88.328,88.715,89.37,89.976,90.68,91.784,92.413,93.469,94.285,94.836,95.58,96.48,98.214,100.015,100.062,99.907,99.795,100.022,100.276,100.476,100.886,101.169,101.69,102.752,103.787,104.537,104.687,105.357,105.782,105.916,106.261,106.303,106.093,105.995,106.067,106.543,106.852,107.06,106.957
"22","14","    Transportation equipment","B681RG3",23.92,24.109,24.517,24.756,25.054,25.28,25.544,26.087,26.638,26.898,26.796,26.691,27.124,27.368,27.603,27.223,27.111,27.437,27.843,28.113,28.783,29.618,30.646,31.742,32.579,33.499,33.754,34.449,35.273,35.518,36.157,36.963,37.348,37.992,39.123,40.624,41.46,41.899,42.554,43.153,44.41,45.501,46.185,47.474,48.946,50.141,51.545,52.211,52.815,54.362,54.969,55.811,56.385,56.735,57.297,57.401,57.706,57.719,57.799,58.012,58.264,58.338,58.449,58.591,59.03,59.716,60.378,61.575,62.349,63.835,64.176,65.404,65.357,64.763,64.755,64.922,64.674,65.18,65.898,66.894,66.85,67.404,68.083,69.244,69.962,70.299,70.839,72.455,73.804,74.241,74.616,75.421,76.284,76.424,75.913,75.754,76.313,76.282,76.357,76.815,78.222,78.829,78.9,78.316,77.776,78.278,79.145,79.693,79.648,80.565,81.314,81.829,81.911,82.498,83.687,83.833,83.377,83.319,83.345,83.194,84.114,84.039,83.263,83.276,83.623,83.935,83.99,83.111,82.852,83.168,83.505,84.044,84.123,84.328,84.245,85.896,85.103,84.992,86.687,89.723,90.093,90.777,89.968,89.929,90.998,91.224,89.989,90.688,91.067,91.157,91.464,91.832,92.55,92.995,93.057,92.434,91.625,92.038,93.745,95.305,99.668,102.684,101.484,96.165,92.59,92.81,93.228,93.82,94.182,95.105,95.129,95.602,96.5,96.492,97.232,98.484,98.492,98.464,99.022,98.909,99.023,99.291,99.986,100.857
"23","15","    Other equipment \4\","B862RG3",19.316,19.463,19.586,19.74,19.905,20.103,20.299,20.618,20.961,21.177,21.32,21.361,21.661,21.889,21.838,21.83,21.969,22.251,22.467,22.392,22.574,23.155,24.666,26.58,28.372,29.315,29.849,30.358,30.912,31.313,31.774,32.584,33.327,34.008,34.78,35.604,36.032,36.916,37.694,38.463,39.033,39.862,41.061,42.078,43.3,45.137,46.35,47.034,48.678,49.984,51.136,52.405,53.535,53.994,54.322,54.746,55.143,55.344,55.325,55.634,55.964,56.36,56.647,56.677,56.971,57.276,57.817,58.158,58.403,59.171,59.787,60.121,60.558,60.859,60.893,61.202,61.828,62.406,62.806,63.665,64.226,64.794,65.661,66.311,67.146,67.364,68.037,68.808,69.519,69.831,70.27,70.633,71.053,71.361,71.835,72.097,72.325,72.812,73.053,73.171,73.461,74.08,74.386,74.324,74.712,75.372,75.784,76.488,77.053,77.297,77.813,78.303,78.469,78.576,78.533,78.779,79.17,79.459,79.958,80.421,80.688,80.826,80.828,80.804,80.922,81.214,81.436,81.658,82.099,82.323,82.5,82.926,83.021,82.878,83.224,83.48,83.649,83.933,84.044,84.003,83.475,84.557,84.782,85.417,86.912,88.109,88.708,88.893,89.398,89.454,90.383,91.363,91.469,91.781,92.116,92.549,92.213,91.138,93.339,100.674,101.119,100.805,99.243,98.833,97.112,96.682,97.609,97.347,96.972,97.98,98.833,99.923,100.51,101.146,102.002,102.407,102.399,102.868,103.007,103.071,103.332,103.743,104.024,104.534
"24","16","  Intellectual property products","Y001RG3",34.929,35.293,35.756,36.148,36.672,37.008,37.403,37.816,38.237,38.487,38.725,38.901,39.259,39.579,39.903,40.214,40.706,41.277,41.986,42.852,43.938,45.049,46.164,47.24,48.166,49.065,49.638,50.162,50.413,51.137,51.765,52.425,52.83,53.372,53.978,54.59,55.339,56.015,56.838,57.758,58.65,59.712,60.758,61.849,63.077,64.283,65.514,66.707,67.962,69.144,70.219,71.629,72.448,73.31,74.098,74.939,75.631,76.067,76.801,77.306,77.951,78.4,78.989,79.036,79.58,79.796,80.117,80.112,80.303,80.423,80.583,80.784,81.127,81.58,82.141,83.013,83.941,84.472,84.759,84.909,85.269,85.513,85.757,85.803,85.993,86.356,86.747,86.727,88.028,88.608,88.931,88.455,87.359,87.294,87.365,87.826,87.81,88.02,87.837,88.606,88.263,88.156,88.37,88.898,90.402,90.748,91.456,90.997,91.337,91.419,91.238,90.853,91.413,91.928,92.053,91.507,91.264,91.114,91.138,91.762,92.203,92.904,93.046,94.142,94.901,95.77,96.738,97.101,96.875,96.814,95.973,95.968,95.741,95.25,95.464,95.178,94.873,95.313,95.449,95.138,95.15,95.11,95.109,95.07,95.439,95.902,96.066,96.54,97.09,97.409,97.619,97.916,98.646,99.11,99.365,99.601,100.225,100.838,101.317,100.927,100.315,99.74,99.564,100.382,100.295,100.636,100.381,100.851,101.584,101.945,102.087,101.914,102.649,102.896,103.143,102.741,103.045,103.487,103.901,104.339,104.77,105.076,105.09,104.654
"25","17","    Software \5\","B985RG3",126.114,125.991,126.705,127.383,128.727,128.719,128.727,128.397,126.843,125.858,125.247,124.373,123.59,123.282,123.237,123.298,124.636,125.595,126.134,126.557,127.175,129.363,131.912,134.085,135.941,135.909,136.046,136.594,136.221,136.114,136.481,136.894,138.017,138.161,137.822,137.022,135.059,134.584,134.388,134.803,136.999,138.03,139.246,140.471,140.874,141.999,142.517,143.062,145.23,146.487,147.952,149.246,150.476,150.992,151.492,151.612,150.852,150.098,149.193,148.374,147.749,147.74,146.807,146.049,146.042,144.942,144.19,142.852,140.757,139.399,138.548,138.271,138.518,138.343,138.275,137.945,137.983,137.55,136.422,134.954,132.602,130.881,129.109,127.314,126.223,125.429,125.044,125.139,126.888,126,124.546,122.284,117.424,114.864,113.348,112.445,114.021,114.116,113.841,113.157,111.38,110.289,109.486,108.969,109.467,109.709,109.441,108.863,108.118,107.194,106.271,105.442,104.683,104.352,103.324,102.345,100.995,100.606,100.509,100.212,101.065,101.649,102.17,102.457,103.239,104.36,105.904,106.058,105.689,106.099,104.709,104.89,104.488,103.167,103.279,103.005,101.98,101.928,101.008,99.45,99.104,98.782,98.817,97.837,98.213,98.278,98.111,98.129,98.617,99.4,99.766,99.73,99.86,99.978,100.003,100.159,100.339,101.028,101.324,100.926,100.593,100.136,99.482,99.789,99.375,99.176,98.967,98.908,99.209,99.278,99.338,99.264,99.196,99.183,98.872,98.711,99.207,99.66,99.677,99.628,99.605,99.745,99.656,98.726
"26","18","    Research and development \6\","Y006RG3",22.122,22.349,22.577,22.806,23.036,23.268,23.504,23.742,23.983,24.208,24.418,24.612,24.791,25.001,25.244,25.519,25.826,26.287,26.902,27.671,28.594,29.453,30.248,30.979,31.647,32.21,32.668,33.023,33.273,33.866,34.34,34.875,35.18,35.625,36.153,36.736,37.25,37.786,38.47,39.264,40.063,40.941,41.901,42.79,44.082,45.166,46.19,47.261,48.177,49.382,50.243,51.491,52.293,53.076,53.741,54.606,55.208,55.61,56.403,57.002,57.858,58.093,58.611,58.673,59.064,59.362,59.684,59.811,60.017,60.288,60.44,60.598,60.879,61.257,61.679,62.576,63.636,64.404,64.808,65.224,65.785,66.294,66.678,67.14,67.538,67.952,68.344,68.231,69.054,69.822,70.589,70.591,70.683,71.388,71.927,72.864,72.225,72.458,72.192,73.549,73.457,73.663,74.278,75.224,77.438,77.711,78.747,78.015,78.859,79.136,79.232,78.998,80.207,81.434,82.235,81.871,81.736,82.351,82.684,83.992,83.774,84.518,84.33,86.065,86.829,87.611,88.212,88.664,88.342,87.791,87.258,87.013,87.1,86.929,87.187,86.772,86.89,87.895,89.064,89.928,90.169,90.283,90.342,91.373,91.73,92.666,93.192,94.402,95.16,94.907,94.91,95.425,96.662,97.723,98.67,98.945,100.187,100.934,101.579,101.05,99.959,99.458,99.433,101.15,101.67,102.614,102.101,103.458,104.853,105.664,106.101,105.921,107.621,108.157,108.973,108.189,108.464,109.142,109.94,111.054,111.956,112.417,112.497,112.665
"27","19","    Entertainment, literary, and artistic originals","Y020RG3",24.744,25.115,25.708,26.107,26.839,27.149,27.643,28.238,28.999,29.187,29.349,29.408,30.091,30.491,30.771,30.89,31.317,31.539,31.772,32.048,32.551,33.089,33.791,34.654,35.26,36.619,37.084,37.639,37.775,38.374,38.929,39.403,39.586,39.993,40.451,40.865,42.175,42.905,43.625,44.216,44.294,44.991,45.366,46.093,46.271,46.824,47.869,48.615,49.611,49.733,50.464,51.271,51.359,51.906,52.559,52.909,53.872,54.541,55.192,55.581,55.652,56.636,57.71,58.053,58.992,59.465,60.127,60.392,61.627,61.968,62.598,63.073,63.453,64.244,65.316,66.362,66.896,66.996,67.772,68.171,69.822,70.712,72.197,72.541,73.204,74.409,75.419,75.597,77.559,78.85,79.453,79.545,79.15,79.529,80.029,80.569,80.58,80.838,81.111,81.772,82.677,82.981,83.334,83.947,84.407,85.068,86.058,86.706,87.058,88.077,88.246,88.202,88.962,88.752,89.025,88.89,90.761,88.726,88.058,88.659,90.16,91,91.18,92.442,93.097,93.477,93.905,94.583,95.112,95.243,95.08,95.333,94.606,95.562,95.925,95.994,96.44,96.568,96.746,96.811,97.285,97.697,97.41,97.272,97.649,97.986,98.143,97.936,98.069,98.565,98.901,99.625,100.8,100.571,99.409,99.801,99.925,99.775,100.363,100.486,100.469,99.163,100.342,100.026,99.096,99.406,99.824,99.296,99.462,99.45,98.946,98.416,99.071,99.357,99.906,99.807,99.479,99.131,99.803,99.925,100.548,100.982,101.171,100.593
