"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","Gross private domestic investment","A006RC1",173.6,170.1,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581,637.5,820.1,829.6,849.1,892.2,937,999.7,993.5,944.3,1013,1106.8,1256.5,1317.5,1432.1,1595.6,1735.3,1884.2,2033.8,1928.6,1925,2027.9,2276.7,2527.1,2680.6,2643.7,2424.8,1878.1,2100.8,2239.9,2479.2,2648
"12","5","Less: Consumption of fixed capital","A024RC1",89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689,722.4,744.2,780,824.3,882.6,931,990.1,1054.9,1135.9,1236.6,1317.7,1368,1422.4,1509.3,1635.3,1765,1865,1936.9,1925.7,1923.5,1971.1,2034.2,2120.8
"13","6","Equals: Net private domestic investment","A557RC1",84.1,71.8,89.2,110.7,135.4,121.4,78.5,126.7,175.5,226.3,248.9,195.1,249.3,160.6,198.7,356.6,333.2,317.6,325.9,328.7,349.6,304.5,222,268.9,326.9,432.2,434.9,501,605.5,680.4,748.3,797.2,610.9,557,605.6,767.4,891.8,915.6,778.8,487.9,-47.5,177.3,268.8,444.9,527.2
"14","7","  Fixed investment","A007RC1",164.4,168,188.6,219,251.1,260.5,263.5,306.1,374.3,452.6,521.7,536.4,601.4,595.9,643.3,754.7,807.8,842.6,865,918.5,972,978.9,944.7,996.7,1086,1192.7,1286.3,1401.3,1524.7,1671.6,1823.4,1979.2,1966.9,1906.5,2008.7,2212.8,2467.5,2613.7,2609.3,2456.8,2025.7,2039.3,2198.1,2414.3,2573.9
"15","8","  Less: Consumption of fixed capital","A024RC1",89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689,722.4,744.2,780,824.3,882.6,931,990.1,1054.9,1135.9,1236.6,1317.7,1368,1422.4,1509.3,1635.3,1765,1865,1936.9,1925.7,1923.5,1971.1,2034.2,2120.8
"16","9","  Equals: Net fixed investment","A560RC1",75,69.8,80.9,101.5,119.6,107.4,84.7,109.6,153.2,200.5,230.9,201.5,219.5,175.6,204.5,291.2,311.4,311,298.7,310.2,321.9,289.9,222.4,252.5,306,368.4,403.7,470.2,534.6,616.7,687.5,742.6,649.2,538.5,586.3,703.5,832.2,848.7,744.3,519.9,100,115.8,227.1,380.1,453.1
"17","10","    Nonresidential","A008RC1",120,124.6,130.4,146.6,172.7,191.1,196.8,219.3,259.1,314.6,373.8,406.9,472.9,485.1,482.2,564.3,607.7,607.8,615.2,662.3,716,739.2,723.6,741.9,799.2,868.9,962.2,1043.2,1149.1,1252.8,1361.6,1493.8,1453.9,1348.9,1371.7,1463.1,1611.5,1776.3,1920.6,1941,1633.4,1658.2,1812.1,1972,2054
"18","11","    Less: Consumption of fixed capital","A753RC1",72.4,79.9,87.3,94.7,105.2,122.8,144.5,158.7,177.5,200.8,230.9,266.8,307.2,341.2,356.7,376.4,403.7,430.6,456.3,490.2,524.2,557.5,586.8,604.4,631.3,666.3,715.2,755.4,805.3,858.5,924.5,1007.4,1069.2,1104.4,1135.4,1189.8,1276.4,1372,1458.3,1536.1,1542.8,1546.6,1596.3,1657,1721.9
"19","12","    Equals: Net nonresidential","A593RC1",47.6,44.7,43.2,52,67.5,68.3,52.3,60.7,81.5,113.7,142.9,140.2,165.8,143.9,125.5,187.9,204.1,177.1,159,172.1,191.7,181.8,136.8,137.6,167.9,202.6,247,287.8,343.8,394.3,437.2,486.4,384.7,244.5,236.3,273.4,335.1,404.3,462.3,404.9,90.7,111.7,215.8,315,332.1
"20","13","      Structures","B009RC1",37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.9,281.8,301.8,345.6,415.6,496.9,552.4,438.2,362,381.6,446.9,457.2
"21","14","      Less: Consumption of fixed capital","B188RC1",16,17.6,19.4,21.4,24.6,29.2,33.8,36.3,40.6,45.9,53,60,71.8,81.2,81.2,84,88.7,92,93.4,100,105.9,111.6,115.9,116.5,121.1,126.4,133.5,138.9,147.5,157.8,164.4,173.9,188.5,201.1,210.8,229.3,263,299.7,322.1,343.9,337.8,333.7,343.8,353.8,368.3
"22","15","      Equals: Net structures","A594RC1",21.7,22.7,23.2,25.7,30.4,32,27.6,29.7,34,47.7,64.7,76.1,95.5,96.3,73.2,93.4,105.8,84.5,80.8,82.8,87.8,91.4,67.7,56.1,56.1,60.4,73.8,85.6,102.8,117.3,119.5,144.2,141.2,81.8,71,72.5,82.7,115.9,174.8,208.5,100.4,28.3,37.9,93.1,88.9
"23","16","      Equipment","Y033RC1",65.2,66.4,69.1,78.9,95.1,104.3,107.6,121.2,148.7,180.6,208.1,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660,713.6,766.1,711.5,659.6,669,719.2,790.7,856.1,885.8,825.1,644.3,731.8,838.2,904.1,949.7
"24","17","      Less: Consumption of fixed capital","Y080RC1",43.4,47.6,51.7,55.8,61.4,71.6,86,95.5,107.5,122.3,140.7,163.8,185.9,203.9,213.1,222.7,237.1,253.1,268.5,285.4,302.8,318.3,329.5,337.2,347.7,366.5,392.8,413.8,435,455.4,482.5,516.8,538,547,554.4,574.3,605.5,639.1,676.9,706.1,707.2,702.8,724.7,750.7,775.9
"25","18","      Equals: Net equipment","Y081RC1",21.8,18.8,17.3,23.1,33.6,32.7,21.6,25.7,41.1,58.4,67.3,52.6,55,31,33.4,69.2,70.8,64.6,52.4,61.4,69.4,53.6,31.4,44.5,77.4,109.8,135.3,151.5,175.9,204.6,231.2,249.3,173.5,112.7,114.6,144.9,185.2,217,208.9,119.1,-62.9,29,113.6,153.4,173.8
"26","19","      Intellectual property products","Y001RC1",17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.1,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288,317.7,364,409.5,412.6,406.4,420.9,442.1,475.1,504.6,537.9,563.4,550.9,564.3,592.2,621,647.1
"27","20","      Less: Consumption of fixed capital","Y083RC1",13,14.7,16.1,17.4,19.2,22,24.7,26.9,29.4,32.7,37.2,43,49.5,56.1,62.4,69.8,77.8,85.6,94.4,104.8,115.5,127.6,141.4,150.7,162.5,173.3,188.9,202.7,222.8,245.3,277.6,316.7,342.7,356.3,370.2,386.2,408,433.2,459.3,486.2,497.8,510,527.8,552.5,577.7
"28","21","      Equals: Net intellectual property products","Y084RC1",4.2,3.3,2.6,3.2,3.5,3.5,3.1,5.3,6.4,7.7,10.9,11.4,15.2,16.6,18.9,25.3,27.5,28,25.7,27.9,34.6,36.8,37.7,37,34.4,32.4,37.9,50.6,65.1,72.4,86.5,92.9,69.9,50,50.7,56,67.2,71.4,78.6,77.3,53.1,54.4,64.4,68.5,69.4
"29","22","    Residential","A011RC1",44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513,557.6,636.9,749.7,856.1,837.4,688.7,515.9,392.2,381.1,386,442.3,519.9
"30","23","    Less: Consumption of fixed capital","A754RC1",17.1,18.4,20.4,22.8,26.3,30.3,34.3,37.8,43.6,51.3,59.8,68.2,74.8,79.2,82.1,87.1,92.7,100.9,110,118.1,125.8,131.5,135.6,139.8,148.7,158.1,167.4,175.6,184.8,196.5,211.5,229.2,248.5,263.6,286.9,319.5,358.9,393.1,406.7,400.8,382.9,377,374.8,377.2,399
"31","24","    Equals: Net residential","A748RC1",27.3,25,37.8,49.6,52.1,39.1,32.5,48.9,71.6,86.7,88.1,61.3,53.7,31.7,79,103.3,107.3,133.9,139.8,138.1,130.2,108.1,85.6,114.9,138.1,165.8,156.7,182.4,190.8,222.3,250.3,256.2,264.5,294,350,430.1,497.2,444.3,282,115.1,9.3,4.1,11.3,65.1,121
"32","25","  Change in private inventories","A014RC1",9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,18.5,19.3,63.9,59.6,67,34.5,-32,-147.6,61.5,41.8,64.9,74.1
"33","26","Gross government investment \1\","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,619.4,596.3
"34","27","Less: Consumption of fixed capital","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,479.6,496,506.4
"35","28","Equals: Net government investment","A889RC1",24.1,21.3,17.3,17.3,19,23.2,25.7,26.9,25.9,32.6,39.7,44.9,44.2,43,49.4,62.4,79.6,87.5,93,84.3,84.4,92.5,85.3,80.6,68.3,62.9,67.5,75,79.6,86.1,103.5,112.6,127.4,149.5,160.4,166.1,167,181.3,192.8,208.1,204.3,193.8,158.3,123.5,89.9
"36","29","    Federal","A890RC1",4.9,2.9,-1.2,-0.7,-0.1,1,2.1,4.1,5.5,7.3,10,12.4,15.2,17.3,23.4,29.2,39.2,41.6,44.9,31.7,27.1,27.1,18.9,15,5.4,-3,-4.2,-2.6,-9.3,-5.9,-1.9,-4.1,0.5,15.2,26,32.4,33.5,37.3,38.6,49.4,49.4,54.6,40,23.7,0.5
"37","30","      National defense","B891RC1",-0.9,-2.4,-6.3,-6,-5.3,-4.3,-3.7,-2.5,-2,-2.2,0.3,2,5.5,10.4,17.3,22.8,31.7,34,35.5,23.5,17.7,15.1,4.9,-0.9,-10.5,-15,-16.8,-15.6,-20.5,-18.9,-16.9,-16,-11.3,-0.2,9,16.2,17.9,20.2,22.8,32.3,30.3,28.4,16.4,5.4,-9.7
"38","31","      Nondefense","B892RC1",5.8,5.3,5.1,5.3,5.2,5.3,5.8,6.6,7.5,9.5,9.7,10.3,9.7,6.9,6.1,6.4,7.5,7.6,9.4,8.1,9.4,12,14,15.9,15.9,12.1,12.6,13,11.2,13,14.9,11.9,11.9,15.5,17,16.2,15.6,17.1,15.8,17.2,19.1,26.2,23.6,18.3,10.2
"39","32","    State and local","A893RC1",19.2,18.4,18.5,18,19.1,22.2,23.6,22.8,20.5,25.3,29.7,32.6,29.1,25.7,26,33.2,40.5,45.9,48.1,52.6,57.3,65.5,66.4,65.6,62.9,65.9,71.7,77.6,89,92,105.5,116.7,126.8,134.3,134.4,133.7,133.5,144,154.2,158.7,154.9,139.1,118.3,99.8,89.4
"40","33","  Structures","A760RC1",29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6,160.2,175.8,189.7,205.8,221.9,228.6,235.7,246.8,268.5,292.5,310.3,318.9,313.2,301.1,284,273.3
"41","34","  Less: Consumption of fixed capital","A894RC1",10.2,11.4,12.7,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.5,40.4,41.2,42.7,44.9,47.6,49.8,52.1,54.8,56.8,58.4,61.1,64.2,68.1,71.5,74.8,78.4,82.9,88.5,93.6,98.2,102.9,111.1,124.4,137.5,152.7,163.8,169.1,172,181.2,189.9,196
"42","35","  Equals: Net structures","A895RC1",18.8,17.7,18.5,17.8,18.8,21.2,23.1,22.6,20.8,26.3,29.5,32.9,29.7,25.4,25.4,31.3,38.4,44,47.9,49.2,49.9,57.8,60.2,61.4,59.9,60.5,66.6,72.9,80.8,81.7,92.9,101.3,112.2,123.7,125.7,124.6,122.4,131,139.9,146.5,149.8,141.2,119.9,94,77.3
"43","36","      Federal","A896RC1",0.6,0.3,1,0.9,1.1,0.8,1.1,1.2,1.5,2.5,1.8,2.6,2.6,2,2.6,2.8,4,4.9,6.3,3.5,2.1,2.5,1.9,3.3,3.8,2.8,3.7,3.2,1.3,1.5,0.4,-2.6,-3.4,-1.1,-0.2,-2,-4.9,-4.5,-1.8,1,5.2,8.8,5,-3.4,-8.7
"44","37","        National defense","B897RC1",-0.4,-0.7,-0.4,-0.6,-0.7,-1.1,-1.2,-1.5,-1.5,-1.5,-2,-1.7,-2,-1.3,-0.5,-0.6,0.5,0.9,1.5,1,-0.3,-0.8,-2.4,-2,-2.3,-2,-1.4,-2,-2.4,-2.8,-3.5,-3.8,-4.2,-3.5,-2.8,-3.4,-4.1,-4.4,-2.9,0.3,3.9,3.5,-0.2,-5.8,-7.7
"45","38","        Nondefense","B898RC1",1,1,1.4,1.5,1.8,1.9,2.3,2.7,3,3.9,3.8,4.3,4.6,3.3,3.1,3.3,3.5,4,4.9,2.5,2.4,3.3,4.3,5.3,6.1,4.8,5.1,5.2,3.7,4.3,4,1.3,0.8,2.4,2.6,1.4,-0.9,-0.2,1.1,0.7,1.3,5.3,5.2,2.3,-1
"46","39","      State and local","B899RC1",18.2,17.4,17.5,16.8,17.7,20.4,22,21.4,19.3,23.9,27.7,30.3,27.1,23.5,22.8,28.5,34.4,39.2,41.6,45.6,47.8,55.3,58.4,58.1,56.1,57.7,62.9,69.7,79.4,80.3,92.4,103.8,115.6,124.8,125.9,126.6,127.3,135.5,141.6,145.6,144.6,132.4,115,97.5,86
"47","40","  Equipment","Y054RC1",12.9,13,9.2,9.8,10.9,14.4,16.6,19.2,21,23.1,27.3,31.1,36,42.3,50.2,58.4,67.8,73.9,77.4,74.3,80.7,86.6,85.7,84.8,79.4,77.5,78.9,80.1,75.6,78.9,86.1,87.4,88.2,95.6,100.2,107.2,113,123.3,130.7,147.1,148.3,151.2,145.1,142.6,134.6
"48","41","  Less: Consumption of fixed capital","Y085RC1",13.4,13.9,14.1,14.2,14.2,15.1,16.5,18.2,19.8,21.7,23.2,25.8,29.3,32.8,35.9,39.5,42.7,46.3,49.8,53.6,58,62.7,67.2,70.2,73.3,76.2,78.1,78.9,78.6,78.7,80.6,83.3,84.4,85.2,87.3,90.7,94.8,99.1,104.2,111.2,117.7,122.8,127.7,130.6,131.1
"49","42","  Equals: Net equipment","Y086RC1",-0.6,-0.9,-4.9,-4.4,-3.3,-0.7,0.1,1,1.2,1.3,4,5.3,6.7,9.5,14.3,19,25.1,27.6,27.6,20.6,22.7,23.9,18.5,14.6,6.2,1.2,0.8,1.2,-3,0.2,5.6,4.1,3.8,10.4,12.9,16.5,18.2,24.2,26.5,35.9,30.6,28.4,17.4,12,3.5
"50","43","      Federal","Y087RC1",-1.3,-1.7,-5.6,-5.4,-4.5,-2.2,-1.3,-0.1,0.4,0.3,2.6,3.6,5.4,8,11.9,15.3,20.2,22.2,22.5,15.4,15.6,16.4,13,9.6,1.5,-5.4,-6.9,-5.4,-10.4,-9,-5,-5.9,-4.5,3.5,7.2,12.4,15.1,19.6,18.3,27.7,25,26.2,17.9,13.3,3.6
"51","44","        National defense","Y088RC1",-1.4,-1.9,-5.9,-5.9,-5,-3,-1.9,-0.8,-0.7,-1,1.5,2.3,4.3,6.7,10.4,13.7,18.4,21.1,21.2,13.6,13.1,13.6,9.9,5.8,-1.8,-6.1,-8.4,-7.8,-12.7,-11.3,-8.4,-7.6,-5.5,0.5,4.1,8.6,10,13.1,13.7,22.1,20,20.3,13.6,9.3,2.3
"52","45","        Nondefense","Y089RC1",0.1,0.2,0.3,0.5,0.5,0.7,0.7,0.7,1.1,1.3,1.1,1.3,1.1,1.3,1.5,1.6,1.8,1.1,1.3,1.9,2.5,2.8,3.1,3.8,3.3,0.7,1.5,2.4,2.3,2.3,3.4,1.7,0.9,3,3.2,3.8,5.2,6.5,4.6,5.6,5,5.9,4.4,4,1.4
"53","46","      State and local","Y090RC1",0.8,0.8,0.7,1,1.2,1.5,1.3,1.1,0.9,1,1.4,1.7,1.3,1.5,2.4,3.7,4.8,5.4,5,5.2,7.1,7.5,5.5,5,4.7,6.6,7.7,6.6,7.4,9.2,10.5,10,8.3,6.9,5.6,4.1,3.1,4.6,8.2,8.3,5.6,2.3,-0.5,-1.3,-0.2
"54","47","  Intellectual property products","Y055RC1",17.7,17.6,18.1,19.3,20.3,21.5,23.3,25.5,27.9,31,35,39.6,45,49.7,55.2,62.2,71,75.2,81.7,85.1,87.8,91.1,91.4,91.6,91.4,92,94,95.5,98.3,102.3,106.5,113.2,119.7,126,136.5,145.5,153.9,160.6,169,177.2,179.8,187.4,191.6,192.8,188.4
"55","48","  Less: Consumption of fixed capital","Y091RC1",11.8,13.1,14.4,15.4,16.8,18.9,20.8,22.2,23.9,26,28.9,32.8,37.2,41.6,45.5,50.1,54.8,59.3,64.2,70.6,75.9,80.4,84.8,87,89.2,90.8,94,94.6,96.5,98.2,101.4,105.9,108.3,110.6,114.7,120.6,127.5,134.5,142.5,151.5,155.9,163.3,170.7,175.4,179.3
"56","49","  Equals: Net intellectual property products","Y092RC1",5.9,4.4,3.7,3.9,3.6,2.6,2.5,3.3,4,5,6.1,6.8,7.9,8.1,9.7,12.1,16.2,15.9,17.5,14.5,11.9,10.8,6.6,4.6,2.2,1.2,0.1,0.9,1.9,4.1,5.1,7.2,11.3,15.5,21.8,25,26.4,26.2,26.5,25.7,23.9,24.1,21,17.4,9.1
"57","50","      Federal","Y093RC1",5.7,4.2,3.5,3.7,3.3,2.4,2.2,3,3.6,4.6,5.6,6.2,7.2,7.4,8.9,11.1,15,14.4,16,12.7,9.4,8.1,4.1,2.1,0.1,-0.3,-1,-0.4,-0.3,1.6,2.6,4.4,8.4,12.8,19,22,23.3,22.3,22.1,20.8,19.2,19.6,17.1,13.8,5.5
"58","51","        National defense","Y094RC1",0.9,0.2,0,0.5,0.4,-0.3,-0.5,-0.2,0.2,0.3,0.8,1.5,3.2,5.1,7.5,9.7,12.8,12,12.8,9,4.9,2.2,-2.5,-4.7,-6.4,-6.9,-7,-5.8,-5.4,-4.8,-5,-4.5,-1.7,2.8,7.8,11,12.1,11.5,12,9.9,6.4,4.6,3,1.8,-4.3
"59","52","        Nondefense","Y095RC1",4.8,4,3.4,3.2,2.9,2.6,2.8,3.2,3.5,4.2,4.8,4.7,4.1,2.3,1.5,1.4,2.2,2.4,3.2,3.8,4.5,5.9,6.6,6.7,6.6,6.6,6,5.4,5.1,6.4,7.6,8.9,10.1,10.1,11.3,11,11.3,10.8,10.1,10.9,12.8,15,14.1,12,9.8
"60","53","      State and local","Y096RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.8,1,1.2,1.4,1.5,1.8,2.5,2.6,2.6,2.5,2,1.5,1.1,1.3,2.1,2.5,2.5,2.9,2.9,2.6,2.8,3,3,3.8,4.4,4.9,4.7,4.5,3.9,3.6,3.6
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Gross domestic fixed investment","W172RC1",223.9,227.8,247.1,279.7,316.7,336.7,347.9,395.7,467.4,558.2,641.8,672.4,748.8,752.9,814.4,947.9,1027.7,1080.7,1119.7,1176.9,1242.4,1269.3,1238.8,1292.8,1377.9,1486.9,1594,1721.2,1854.2,2013,2191.8,2369.5,2380.6,2350.1,2473.9,2701.3,2981.2,3166,3201.5,3091.4,2672.7,2691.1,2836,3033.7,3170.2
"63","55","  Less: Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2450.6,2530.2,2627.2
"64","56","  Equals: Net domestic fixed investment","W173RC1",99.1,91.1,98.2,118.8,138.6,130.5,110.4,136.5,179.1,233.1,270.6,246.4,263.7,218.6,253.9,353.5,391,398.5,391.7,394.5,406.3,382.4,307.7,333.1,374.3,431.3,471.2,545.2,614.2,702.7,791,855.2,776.6,688,746.7,869.6,999.2,1030,937.1,728.1,304.3,309.5,385.4,503.5,543
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
