"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"11","3","  Nonfarm \2\","B358RA3",29.598,29.632,29.792,29.577,29.538,29.593,29.895,29.413,30.41,30.611,30.884,30.967,31.785,32.666,33.028,33.648,34.92,35.318,35.212,35.158,34.937,34.936,34.445,34.176,33.366,33.61,34.302,34.924,36.025,36.384,36.595,36.91,37.529,38.409,39.206,39.081,39.291,41.229,41.575,42.344,42.266,42.321,42.631,42.677,42.777,41.575,41.523,42.505,43.462,42.934,43.282,42.605,41.618,41.866,41.649,41.648,42.45,43.913,45.099,46.165,47.129,48.05,48.476,48.826,49.308,49.795,50.569,51.029,51.557,51.832,52.346,52.614,52.984,53.67,54.058,55.086,55.325,56.269,56.59,57.441,57.92,58.371,58.808,58.849,59.495,59.701,59.569,58.786,58.349,58.94,59.289,59.537,60.345,61.086,61.743,62.532,62.581,62.955,63.438,64.357,64.981,66.074,66.474,67.53,67.843,68.089,68.866,69.471,69.953,71.355,72.227,73.142,73.721,75.037,76.105,76.78,77.707,78.587,79.796,81.438,82.207,82.931,84.189,85.88,85.913,87.802,87.808,88.32,87.913,88.46,87.975,88.054,89.241,89.551,89.957,89.904,90.322,91.303,93.414,94.798,95.177,96.164,97.108,97.945,99.186,99.712,100.673,101.377,102.934,103.13,103.263,104.398,104.523,105.582,106.462,106.674,105.298,105.827,104.957,101.701,99.797,99.494,99.728,100.981,101.544,102.722,103.77,104.739,104.088,105.229,105.525,107.024,107.904,108.519,109.498,109.529,110.18,110.714,112.236,113.542,112.851,114.366,116.127,116.886
"12","4","  Farm","B359RA3",24.61,24.756,25.104,25.013,25.063,25.35,25.746,26.089,26.576,26.915,27.122,27.019,24.984,27.374,26.949,28.339,25.184,27.176,23.882,30.228,25.327,26.485,25.992,26.258,29.895,31.234,31.676,31.201,29.967,29.422,29.255,29.705,29.074,30.694,31.181,33.849,29.332,29.95,32.434,28.695,32.087,31.988,33.31,33.748,33.164,32.691,30.078,31.075,36.15,38.749,47.676,45.192,45.079,44.912,42.943,43.22,36.175,27.906,23.901,26.783,33.829,38.547,41.052,42.129,45.296,45.836,52.3,48.157,47.041,43.544,47.304,45.981,46.129,45.691,47.705,46.403,46.016,42.006,40.186,37.507,46.047,46.794,47.557,48.104,50.026,49.283,50.607,52.234,50.445,50.361,49.837,51.914,56.819,60.069,60.354,57.521,52.462,54.444,44.564,55.368,63.613,64.135,64.563,59.201,51.356,50.295,47.672,50.754,56.572,59.533,57.104,58.523,61.664,64.319,67.572,65.656,61.864,60.518,62.094,62.13,61.843,65.789,63.675,66.376,74.847,76.237,78.579,75.971,73.517,66.429,64.257,78.826,58.346,73.239,80.279,82.95,84.026,88.748,80.983,73.495,91.43,79.637,85.541,93.406,90.569,93.62,93.931,92.176,89.502,103.294,93.875,86.42,83.204,78.883,73.799,78.042,87.541,82.783,80.97,93.742,93.756,94.938,108.088,103.218,98.564,105.198,104.869,97.397,101.749,92.579,92.566,98.214,95.386,95.408,87.809,84.524,98.258,101.557,108.09,107.206,90.189,95.21,97.596,99.957
"13","5","Households and institutions","B193RA3",31.328,31.705,31.963,32.148,32.126,32.152,32.441,32.877,33.362,33.671,34.031,34.355,34.778,35.098,35.382,35.653,35.904,36.246,36.651,37.095,37.531,37.851,38.153,38.484,38.888,39.266,39.559,39.717,39.719,39.879,40.021,40.089,39.785,40.075,40.528,40.757,41.435,41.831,42.155,42.738,43.107,43.358,43.679,43.917,44.464,44.861,45.247,45.441,45.627,45.822,45.997,46.455,46.771,47.071,47.529,47.729,48.145,48.501,48.882,49.591,49.796,49.743,50.316,51.033,51.187,51.404,51.597,52.17,52.729,53.112,53.483,53.759,54.317,54.779,56.109,56.701,57.407,57.975,58.682,59.624,59.995,60.583,60.962,61.393,61.953,62.481,62.975,63.353,63.607,63.797,64.21,64.652,64.768,65.4,66.227,66.992,68.173,68.858,69.522,69.959,70.41,70.982,71.753,72.257,72.832,73.355,73.658,74.13,74.336,74.755,75.161,75.655,76.206,76.838,77.575,78.396,79.005,79.631,80.197,80.648,81.074,81.77,82.403,83.301,84.122,84.917,85.729,86.682,86.777,87.186,87.573,87.681,88.032,88.657,88.888,89.3,89.957,90.23,90.409,91.437,91.788,92.435,93.078,93.782,94.67,95.341,95.995,96.352,96.882,97.104,97.016,96.777,96.621,96.697,97.058,97.823,98.796,99.794,100.265,100.341,99.8,99.678,100.027,100.495,100.859,100.906,100.781,100.977,101.219,101.592,101.84,102.021,102.077,102.018,102.239,102.586,103.201,103.542,103.957,104.355,104.512,105.028,105.371,105.617
"14","6","  Households","B701RA3",31.248,31.682,31.992,32.273,32.268,32.334,32.617,33.114,33.564,33.886,34.387,34.928,35.282,35.557,35.755,36.057,36.304,36.654,37.11,37.587,38.147,38.46,38.766,39.123,39.365,39.712,39.95,40.094,40.157,40.379,40.516,40.498,39.774,40.163,40.804,41.09,42.11,42.522,42.914,43.645,43.92,43.986,44.254,44.553,45.158,45.694,45.945,46.107,46.213,46.353,46.381,46.643,46.701,46.738,47.03,47.055,47.45,47.69,47.976,48.853,48.927,48.629,49.549,50.574,51.006,51.247,51.352,51.844,52.242,52.358,52.685,52.751,53.287,53.449,54.801,55.248,55.692,56.011,56.515,57.461,57.593,58.052,58.276,58.426,58.747,59.112,59.395,59.688,59.862,59.953,60.481,60.874,60.825,61.565,62.331,62.898,64.001,64.346,64.976,65.615,66.538,67.338,68.386,69.02,69.56,70.083,70.319,70.822,71.065,71.404,71.833,72.302,72.767,73.281,73.886,74.569,74.733,75.302,75.851,76.437,77.268,78.248,79.095,80.025,80.889,81.715,82.646,83.67,84.256,84.912,85.478,85.329,85.317,85.669,85.643,86.149,87.122,87.644,87.915,89.33,89.933,90.9,91.95,93.117,94.588,95.671,96.6,97.397,98.318,98.67,98.576,98.139,97.537,97.28,97.609,98.437,99.48,100.579,100.935,101.013,100.067,99.651,99.882,100.399,100.727,100.644,100.275,100.286,100.812,101.131,101.014,101.072,100.769,100.518,100.719,100.907,101.622,101.909,102.723,103.219,103.514,103.988,104.36,104.522
"15","7","  Nonprofit institutions serving households \3\","B702RA3",31.426,31.687,31.845,31.85,31.798,31.752,32.051,32.374,32.921,33.205,33.313,33.261,33.805,34.203,34.635,34.851,35.107,35.431,35.75,36.138,36.371,36.702,36.997,37.284,37.942,38.369,38.748,38.928,38.832,38.895,39.044,39.246,39.611,39.743,39.893,40.037,40.162,40.534,40.755,41.112,41.618,42.155,42.555,42.696,43.152,43.333,43.924,44.167,44.478,44.754,45.158,45.925,46.648,47.37,48.092,48.577,49.023,49.567,50.099,50.531,50.944,51.283,51.3,51.53,51.257,51.438,51.766,52.462,53.27,54.073,54.509,55.113,55.705,56.636,57.925,58.74,59.851,60.809,61.829,62.762,63.502,64.29,64.911,65.781,66.715,67.497,68.32,68.829,69.209,69.55,69.784,70.299,70.667,71.136,72.055,73.12,74.416,75.623,76.339,76.462,76.186,76.411,76.755,77.061,77.688,78.208,78.615,79.036,79.185,79.726,80.095,80.626,81.308,82.121,83.06,84.094,85.4,86.111,86.702,86.939,86.732,86.987,87.289,88.136,88.889,89.637,90.265,91.108,90.451,90.485,90.596,91.099,92.001,93.039,93.659,93.929,94.106,94.005,94.046,94.506,94.487,94.667,94.724,94.767,94.819,94.9,95.163,94.899,94.879,94.921,94.842,94.879,95.347,95.891,96.298,96.974,97.848,98.705,99.338,99.411,99.429,99.715,100.228,100.627,101.042,101.268,101.477,101.926,101.78,102.227,102.972,103.32,103.863,104.066,104.315,104.877,105.357,105.772,105.642,105.908,105.876,106.449,106.754,107.113
"16","8","General government \4\","B765RA3",59.184,59.677,60.168,60.41,60.082,60.114,60.193,60.243,60.328,60.229,60.281,60.352,60.045,60.042,60.318,60.676,60.508,60.482,60.537,60.877,61.482,61.708,61.925,62.239,62.643,62.752,62.89,62.964,63.125,63.228,63.479,63.74,63.808,63.9,64.231,64.451,64.856,65.064,65.564,65.984,66.091,65.991,66.017,66.527,66.898,67.305,67.346,67.21,67.305,67.463,67.896,68.138,68.326,68.551,68.583,68.72,68.989,69.132,69.298,69.273,69.517,69.965,70.532,70.914,71.465,72.036,72.889,73.276,73.688,74.137,74.6,75.281,75.614,76.01,76.364,77.192,77.892,78.165,78.605,79.212,79.651,80.131,80.737,81.183,81.94,82.292,82.736,82.893,83.404,83.369,83.255,83.28,83.568,83.661,83.837,83.737,83.942,83.93,83.974,83.82,83.948,84.057,84.13,83.917,84.199,84.306,84.312,83.791,83.736,84.555,84.529,84.53,84.706,84.86,85.119,85.212,85.523,85.822,86.101,86.231,86.409,86.462,86.76,87.145,87.614,88.321,88.183,88.339,88.926,89.511,90.025,90.346,90.819,91.281,91.662,91.819,92.292,92.557,92.61,92.675,92.884,93.047,93.246,93.607,93.841,93.918,94.16,94.28,94.296,94.51,95.073,95.452,95.607,95.894,96.318,96.883,97.396,97.803,98.537,98.99,99.405,100.08,100.146,100.37,100.502,100.954,100.563,100.467,100.423,100.284,100.078,100.059,99.872,99.804,99.876,99.822,99.851,99.888,99.681,99.374,100.016,100.132,100.185,100.215
"17","9","  Federal","B766RA3",81.712,82.238,82.731,82.441,80.749,79.977,79.297,78.591,78.048,77.131,76.389,75.637,74.614,73.692,73.663,73.814,72.807,72.034,71.389,71.437,72.108,72.04,71.929,72.031,71.958,71.816,71.802,71.845,72.023,72.093,72.175,72.297,72.275,72.415,72.705,72.778,73.237,73.605,73.861,73.776,73.761,73.822,73.99,73.991,74.463,75.405,75.606,75.414,76.027,76.391,76.851,77.14,77.422,77.875,78.391,78.872,79.527,80.031,80.595,80.803,81.44,82.15,82.845,83.339,84.125,84.965,85.81,86.138,86.745,87.157,87.708,88.247,89.148,89.776,90.785,91.576,91.825,91.737,92.183,92.832,93.019,93.375,93.895,94.257,95.018,95.234,95.587,95.57,96.758,96.23,95.611,95.205,95.007,94.631,94.261,93.81,93.818,93.278,92.706,91.751,91.473,90.702,90.102,89.057,88.543,88.256,87.756,85.358,85.406,86.014,85.586,84.746,84.519,84.23,83.993,83.22,83.21,83.108,83.116,83.049,83.033,82.474,82.279,82.249,82.676,84.007,82.766,82.448,83.077,83.399,83.527,83.322,84.038,84.538,85.059,85.398,86.371,87.045,87.243,87.413,87.893,88.006,88.478,89.108,89.394,89.401,89.542,90.02,89.713,89.938,90.737,90.955,91.011,91.113,91.971,92.44,93.328,94.305,95.709,97.13,98.171,100,100.645,101.185,102.296,103.94,103.609,103.824,104.287,104.474,104.509,104.788,104.793,104.593,104.405,104.172,103.768,103.298,102.099,100.75,102.601,102.478,102.402,102.172
"18","10","  State and local","B767RA3",46.288,46.767,47.261,47.829,48.332,48.863,49.413,49.933,50.414,50.828,51.381,51.975,52.119,52.71,53.188,53.689,54.061,54.517,55.027,55.564,56.141,56.562,56.993,57.449,58.168,58.437,58.674,58.77,58.925,59.051,59.415,59.769,59.896,59.959,60.323,60.639,61.021,61.133,61.796,62.541,62.725,62.522,62.461,63.292,63.61,63.697,63.642,63.538,63.316,63.351,63.777,63.995,64.128,64.217,63.952,63.881,63.921,63.851,63.784,63.622,63.637,63.938,64.439,64.762,65.186,65.609,66.479,66.905,67.212,67.687,68.106,68.871,68.894,69.166,69.172,70.024,70.971,71.441,71.881,72.469,73.043,73.592,74.246,74.736,75.493,75.916,76.407,76.651,76.822,77.036,77.176,77.417,77.947,78.272,78.716,78.789,79.091,79.336,79.679,79.916,80.24,80.777,81.177,81.366,82.038,82.338,82.59,82.99,82.883,83.806,83.976,84.386,84.76,85.13,85.629,86.143,86.607,87.1,87.509,87.732,88.003,88.348,88.88,89.46,89.95,90.363,90.742,91.121,91.688,92.395,93.087,93.652,94.014,94.459,94.775,94.848,95.082,95.149,95.132,95.147,95.226,95.413,95.482,95.715,95.923,96.034,96.323,96.271,96.443,96.652,97.101,97.557,97.758,98.135,98.351,98.961,99.297,99.433,99.852,99.854,99.978,100.115,99.914,99.993,99.672,99.57,99.151,98.911,98.632,98.341,98.023,97.866,97.591,97.584,97.776,97.805,98.032,98.301,98.548,98.722,98.806,99.031,99.143,99.291
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",31.368,31.805,32.178,32.514,32.649,32.849,33.182,33.594,33.968,34.385,34.87,35.425,35.859,36.198,36.494,36.839,37.076,37.385,37.737,38.126,38.726,39.247,39.741,40.191,40.42,40.663,40.922,41.109,41.166,41.273,41.299,41.248,41.43,41.736,42.044,42.42,43.332,43.67,43.757,44.173,44.594,44.788,45.088,45.475,45.994,46.623,47.14,47.464,47.621,47.775,47.765,48.259,48.549,48.512,49.026,49.306,49.547,49.861,50.355,50.889,50.898,50.751,51.533,52.995,53.519,53.739,54.571,55.171,55.498,55.892,56.064,56.117,56.874,56.894,57.925,58.205,58.7,59.053,59.478,60.2,60.178,60.483,60.655,60.827,61.205,61.594,61.958,62.3,62.583,62.805,63.369,63.793,63.908,64.571,65.24,65.754,66.477,66.755,67.251,67.788,68.602,69.303,70.288,70.939,71.606,72.169,72.467,72.923,73.093,73.36,73.707,74.079,74.506,74.985,75.532,76.128,76.292,76.782,77.272,77.802,78.559,79.416,80.125,80.857,81.486,82.156,82.921,83.787,84.433,85.043,85.553,85.469,85.414,85.562,85.358,85.522,86.01,86.233,86.357,87.492,88.051,88.93,89.881,90.905,92.21,93.201,94.042,94.745,95.577,96.001,96.15,96.107,95.956,96.028,96.473,97.248,98.159,99.164,99.67,100.017,99.62,99.602,100.07,100.708,101.167,101.352,101.376,101.772,102.586,103.224,103.448,103.76,103.757,103.74,104.015,104.221,104.792,105.029,105.69,106.116,106.395,106.811,107.142,107.301
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
