"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"70","62","      Energy goods and services","BB11RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.887,76.557,74.717,79.078,81.365,85.291,90.255,91.414,94.688,96.989,95.986,96.304,99.099,99.095,96.324,95.556,108.087,98.883,104.066,106.439,106.511,110.529,110.131,83.341,100,95.112,98.265,98.957,98.479,98.552
"71","63","      Gross domestic product excluding food and energy","BB03RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,58.367,59.859,61.91,64.262,66.618,68.801,70.477,72.174,73.738,75.323,76.61,77.957,78.857,80.068,81.944,83.585,85.055,86.684,89.035,92.062,94.953,97.43,99.473,100,101.439,103.374,105.172,106.821,108.496
"72","64","  Final sales of domestic product","B190RG3",21.566,22.707,23.862,24.899,26.258,28.604,31.265,32.994,35.049,37.522,40.617,44.287,48.436,51.419,53.447,55.345,57.15,58.33,59.752,61.878,64.291,66.693,68.911,70.491,72.174,73.716,75.263,76.659,78.002,78.885,80.032,81.876,83.743,85.027,86.734,89.117,91.992,94.82,97.351,99.226,100,101.227,103.319,105.188,106.762,108.376
"73","65","  Final sales to domestic purchasers","B713RG3",21.022,22.157,23.314,24.361,25.749,28.354,30.95,32.658,34.817,37.301,40.557,44.77,48.866,51.671,53.488,55.265,56.959,58.17,59.801,61.933,64.357,66.89,68.964,70.577,72.181,73.698,75.289,76.618,77.762,78.303,79.539,81.623,83.19,84.34,86.187,88.721,91.851,94.785,97.377,100.245,100,101.527,103.974,105.752,107.126,108.653
"74","66","  Implicit price deflator for gross domestic purchases","A712RD3",21.122,22.259,23.419,24.467,25.856,28.483,31.078,32.78,34.939,37.418,40.686,44.903,48.998,51.833,53.657,55.439,57.107,58.294,59.993,62.097,64.521,67.036,69.117,70.724,72.327,73.841,75.425,76.735,77.852,78.359,79.579,81.641,83.208,84.359,86.195,88.731,91.853,94.785,97.369,100.271,100,101.522,103.966,105.73,107.099,108.568
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
