"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231"
"11","3","  Information processing equipment","Y034RG3",513.769,515.887,519.389,521.301,515.698,518.065,514.524,512.116,509.603,512.484,504.714,505.484,501.459,500.56,494.671,488.569,482.746,480.489,477.086,474.033,473.787,472.804,467.804,467.606,465.384,457.577,460.802,448.859,442.714,437.041,430.488,427.59,427.766,427.853,429.514,428.276,425.182,424.33,423.601,426.279,427.463,427.431,428.408,430.049,433.175,434.095,431.204,429.315,427.571,423.638,419.702,417.212,414.781,412.485,411.17,411.314,415.852,417.933,414.961,410.093,409.044,416.871,424.771,433.774,443.801,449.65,449.642,450.793,453.111,454.126,453.841,450.68,451.99,449.627,444.071,436.495,432.321,429.61,426.495,423.242,424.362,424.748,421.595,419.06,421.663,423.34,425.086,426.566,430.351,433.152,434.117,435.775,430.751,438.072,440.826,442.615,435.307,427.39,421.163,416.987,411.345,406.787,402.414,399.436,395.097,390.477,386.162,382.569,376.617,375.433,379.538,378.327,371.902,365.334,359.822,363.019,363.923,359.513,357.343,358.746,359.074,355.827,354.036,351.246,348.38,346.61,347.128,346.715,345.719,342.139,336.569,332.858,332.276,327.244,323.864,319.341,315.868,311.004,306.737,302.574,300.976,298.477,294.461,289.006,284.864,281.018,274.794,267.644,259.86,250.979,245.601,240.32,234.024,228.024,221.944,215.655,206.787,199.069,192.148,185.817,180.413,175.353,171.183,168.254,166.286,163.775,161.901,159.597,154.108,150.913,147.545,144.355,142.65,140.772,138.272,135.696,132.813,130.842,128.811,126.502,125.357,124.313,123.219,122.057,120.62,119.017,117.488,115.895,114.157,112.713,111.814,111.378,110.925,110.171,107.49,104.819,104.486,103.836,103.476,102.775,101.277,99.937,99.783,99.003,98.498,98.364,98.084,98.341,98.309,97.42,96.634,96.143,95.908,95.286,94.995,94.753,94.474,94.372,94.257,94.279,94.251,94.44,94.403,94.329,94.675,94.441,94.152,93.958
"12","4","    Computers and peripheral equipement","B935RG3",954527.701,789858.33,663915.595,615655.488,493975.843,682354.798,632322.362,565627.35,478664.631,517032.359,373545.839,384793.963,343007.054,354063.658,297608.508,249546.224,219008.323,209039.346,198716.231,190436.129,186458.623,180548.762,162695.024,153897.363,155346.088,138480.882,146624.8,124410.87,114319.594,102959.748,92213.923,86435.448,82835.134,80817.003,80623.013,77416.537,73128.759,69818.849,66285.116,65282.368,64287.951,62906.557,61191.213,60167.041,59902.951,58263.141,54318.181,50776.091,47824.756,43775.566,40408.851,37983.349,35801.055,34690.54,33542.553,33081.638,34151.13,33943.891,32054.375,29850.251,28153.131,26792.939,25865.818,25328.105,25393.896,25227.343,24350.382,23212.969,21979.397,20839.426,19904.24,19279.832,19439.98,18842.513,17449.023,15629.835,13837.739,12408.051,11368.096,10655.686,10665.48,10392.506,9811.651,9126.727,8689.538,8033.809,7444.32,7048.476,6980.133,6958.597,6851.841,6643.176,6201.631,6203.221,6152.972,6134.981,5624.113,5265.887,4945.792,4751.126,4452.865,4226.004,4046.681,3929.681,3754.896,3601.546,3476.527,3326.179,3097.991,3016.088,3052.608,3030.464,2781.199,2609.709,2494.514,2503.793,2479.778,2417.635,2385.135,2367.669,2345.773,2263.28,2234.709,2167.532,2074.322,2047.938,2043.446,2010.511,1956.671,1893.625,1781.361,1713.511,1676.661,1599.052,1521.689,1471.065,1423.644,1354.847,1300.042,1248.139,1221.624,1198.219,1159.377,1105.266,1055.339,1012.667,954.998,897.383,830.449,762.085,719.429,677.649,632.177,594.196,555.961,522.347,478.487,442.684,410.252,380.836,357.984,338.555,323.537,313.181,304.461,294.863,287.65,279.775,257.058,247.613,236.242,225.078,218.092,213.678,206.833,200.42,193.51,189.213,185.482,181.949,179.408,176.576,172.21,167.836,161.745,156.159,150.544,145.287,140.978,136.086,131.72,128.6,125.691,122.263,118.526,115.883,111.691,109.69,107.859,105.712,103.246,100.526,98.796,97.432,96.733,96.288,95.804,95.194,93.708,92.592,91.332,90.579,90.554,90.049,90.065,89.755,89.529,89.41,89.21,88.972,88.839,89.185,89.185,89.145,88.975,88.295,87.851,87.525
"13","5","    Communication equipment","B275RG3",86.673,86.88,87.355,87.734,87.589,86.729,85.935,85.938,85.97,86.103,86.163,85.844,85.698,85.424,85.111,84.874,85.484,85.844,85.995,86.127,86.507,87.081,87.314,87.495,87.016,86.752,86.534,86.57,86.732,87.296,87.931,88.563,89.339,90.098,90.89,91.656,92.812,93.868,95.642,97.559,98.689,99.625,100.698,101.624,102.692,104.093,105.453,106.961,108.214,109.374,110.612,112.047,113.536,115,115.969,116.477,117.497,118.435,118.429,117.824,119.539,125.44,130.885,135.842,138.763,140.648,141.309,141.945,146.341,149.519,149.509,147.359,145.102,143.715,143.227,144.021,145.962,149.735,152.188,152.558,152.638,153.475,152.682,153.365,155.684,160.765,166.082,171.267,174.348,175.134,176.885,180.236,183.557,186.403,187.621,188.941,190.457,190.495,192.936,193.146,194.942,197.506,199.103,199.54,201.083,201.541,201.671,201.934,201.655,201.638,203.643,202.367,204.786,202.86,202.949,204.66,206.595,203.014,202.142,203.503,203.699,204.366,203.77,203.836,205.195,203.642,203.419,203.077,204.322,205.106,205.075,203.611,203.607,202.774,203.543,201.899,201.321,200.843,200.686,200.221,200.159,198.712,196.7,194.507,193.754,192.484,190.733,189.033,188.713,187.605,187.685,187.968,187.911,187.036,186.664,184.643,181.014,177.084,173.956,171.302,168.289,165.502,162.937,160.564,160.366,159.128,158.006,156.156,153.831,150.659,148.225,146.309,145.841,143.056,140.054,136.798,132.298,129.001,125.336,120.992,119.359,118.39,117.884,117.464,117.032,116.463,115.63,114.568,112.983,112.004,112.241,113.206,114.284,114.385,109.254,103.345,105.521,104.319,104.199,103.755,101.283,99.31,100.305,99.102,98.294,98.423,97.851,99.055,99.603,97.553,95.862,94.898,93.888,92.201,91.069,90.514,90.34,90.025,89.79,90.061,89.992,90.227,89.981,89.68,90.45,90.124,89.596,89.207
"14","6","    Medical equipment and instruments","W176RG3",28,28.238,28.498,28.683,28.572,28.652,28.789,28.768,28.826,28.732,28.721,28.811,28.827,28.802,28.838,28.976,28.926,28.855,28.734,28.68,28.645,28.599,28.571,28.735,28.74,28.734,28.758,28.85,29.034,29.519,29.84,29.935,30.13,30.24,30.244,30.348,30.581,30.879,31.193,31.427,31.564,31.718,32.002,32.457,32.964,33.336,33.573,33.814,33.987,34.337,34.611,34.664,34.645,34.618,34.723,34.784,34.956,35.289,35.801,36.306,36.604,37.334,38.692,40.731,42.881,44.022,44.753,45.567,46.255,46.866,47.489,48.04,48.434,49.365,50.346,51.195,52.323,53.333,54.264,55.19,56.425,57.834,59.171,60.405,61.864,63.511,65.312,66.957,68.264,69.548,71.163,72.825,73.192,74.151,75.084,75.156,76.024,76.539,76.887,77.525,78.454,78.417,78.549,79.193,79.106,79.248,78.511,79.273,80.993,82.271,82.998,83.348,84.921,86.348,85.647,86.903,87.5,87.776,87.215,88.406,89.279,89.447,89.547,90.15,91.206,91.568,92.126,93.47,94.436,93.54,93.843,94.704,95.556,95.857,97.396,97.363,97.8,98.533,98.247,98.418,98.675,98.928,99.272,99.338,99.554,100.078,100.704,100.684,101.059,100.711,100.514,100.386,99.705,99.342,99.348,98.946,98.677,98.396,98.4,98.479,98.41,97.894,97.232,97.687,97.265,96.992,97.134,97.208,97.221,97.555,97.687,97.838,97.895,98.205,98.391,98.428,99.156,99.451,99.738,99.739,99.665,99.401,99.487,99.335,99.535,99.38,99.532,99.503,98.973,99.362,99.634,99.507,99.17,99.259,99.225,99.235,99.113,99.885,100.182,100.113,99.851,99.979,100.049,100.122,99.969,99.873,100.051,100.154,100.814,100.905,101.109,101.139,101.07,101.043,101.213,101.214,100.505,100.555,100.611,100.538,100.494,100.386,100.328,100.346,100.819,100.998,101.016,101.047
"15","7","      Electro-medical equipment","W878RG3",32.561,32.449,32.53,32.748,32.894,33.014,33.031,32.786,32.896,32.606,32.422,32.365,32.213,32.033,31.924,31.928,31.74,31.552,31.349,31.266,31.276,31.288,31.347,31.637,31.756,31.853,31.975,32.154,32.513,32.981,33.094,32.778,32.132,31.779,31.528,31.58,32.109,32.536,32.991,33.371,33.598,33.933,34.452,35.202,36.121,36.824,37.35,37.81,37.974,38.343,38.528,38.361,37.983,37.601,37.425,37.288,37.451,37.695,38.113,38.511,38.61,39.283,40.713,42.971,45.579,47.058,48.107,49.212,50.162,50.892,51.527,51.958,51.854,52.656,53.661,54.739,56.438,58.052,59.665,61.334,63.739,66.025,68.143,70.056,71.691,74.043,76.654,79.183,82.01,84.04,86.186,88.008,86.386,89.568,91.694,91.958,92.693,92.748,92.673,93.211,94.307,94.317,94.571,95.414,95.72,96.03,95.453,96.552,98.585,100.247,101.088,101.139,102.915,104.523,103.257,105.023,106.047,106.333,105.115,106.632,107.146,106.573,106.191,106.673,107.574,107.586,108.252,110.175,111.55,109.627,109.903,111.141,111.944,112.098,114.261,113.737,113.965,114.711,113.986,113.857,113.715,113.67,113.88,113.795,114.01,114.579,115.123,114.659,114.498,113.648,113.062,112.636,111.93,110.969,110.585,110.134,110.304,109.854,109.494,109.268,109.34,108.102,106.735,107.405,106.528,105.707,105.886,105.446,104.837,105.311,105.2,105.335,105.034,105.302,105.388,105.106,105.184,105.267,105.489,104.873,104.427,103.487,102.994,103.062,102.974,102.55,102.579,102.163,101.737,102.117,102.421,102.18,101.156,101.137,100.902,100.579,100.027,100.813,101.013,100.771,100.059,99.993,100.034,99.914,99.742,99.598,99.426,99.356,99.98,99.963,100.352,100.41,100.239,100.289,100.319,100.122,99.331,99.258,99.319,99.222,99.159,99.014,98.76,98.773,99.057,99.353,99.4,99.33
"16","8","      Medical instruments","W879RG3",25.432,25.709,25.971,26.128,25.978,26.055,26.218,26.253,26.292,26.248,26.278,26.4,26.46,26.48,26.555,26.724,26.717,26.686,26.596,26.553,26.505,26.443,26.39,26.51,26.483,26.45,26.448,26.513,26.643,27.104,27.462,27.664,28.1,28.332,28.393,28.497,28.651,28.902,29.167,29.359,29.472,29.58,29.797,30.163,30.555,30.836,30.997,31.175,31.342,31.67,31.95,32.05,32.121,32.199,32.386,32.51,32.682,33.025,33.542,34.061,34.42,35.142,36.42,38.295,40.184,41.143,41.708,42.367,42.923,43.468,44.067,44.653,45.243,46.197,47.147,47.864,48.66,49.334,49.908,50.459,51.107,52.064,53.009,53.912,55.243,56.547,57.97,59.225,59.958,60.903,62.212,63.708,64.984,64.907,65.307,65.303,66.197,66.887,67.405,68.074,68.917,68.869,68.941,69.466,69.167,69.219,68.409,68.984,70.524,71.58,72.231,72.712,74.147,75.456,75.027,76.021,76.411,76.67,76.407,77.418,78.398,78.914,79.235,79.872,80.958,81.465,81.961,83.002,83.754,83.341,83.644,84.313,85.152,85.503,86.726,86.897,87.402,88.099,88,88.286,88.694,89.056,89.441,89.565,89.772,90.259,90.9,91.075,91.674,91.564,91.551,91.564,90.911,90.876,91.102,90.739,90.221,90.043,90.261,90.518,90.375,90.264,90.006,90.337,90.185,90.224,90.337,90.716,91.103,91.34,91.609,91.77,92.052,92.39,92.645,92.914,94.096,94.538,94.867,95.31,95.521,95.815,96.398,96.058,96.514,96.601,96.862,97.184,96.555,96.945,97.19,97.164,97.452,97.642,97.799,98.121,98.393,99.143,99.523,99.597,99.687,99.966,100.062,100.285,100.143,100.082,100.53,100.77,101.458,101.635,101.696,101.703,101.715,101.615,101.909,102.085,101.453,101.613,101.663,101.613,101.584,101.51,101.64,101.662,102.315,102.383,102.373,102.501
"17","9","    Nonmedical instruments","W177RG3",20.563,20.768,21.009,21.222,21.255,21.433,21.652,21.735,21.804,21.792,21.837,21.955,22.02,22.059,22.155,22.339,22.396,22.407,22.35,22.311,22.256,22.19,22.142,22.248,22.204,22.2,22.241,22.361,22.607,23.09,23.477,23.717,24.125,24.383,24.503,24.665,24.85,25.131,25.418,25.637,25.825,25.95,26.145,26.445,26.677,26.92,27.117,27.389,27.755,28.185,28.536,28.673,28.762,28.812,28.953,29.019,28.995,29.173,29.485,29.798,29.994,30.49,31.484,33.022,34.622,35.449,35.984,36.643,37.295,37.89,38.513,39.102,39.648,40.523,41.345,41.9,42.441,42.921,43.365,43.838,44.495,45.358,46.096,46.71,47.473,48.476,49.755,51.063,52.308,53.153,53.935,54.506,54.16,56.396,58.315,58.999,59.706,60.079,60.167,60.2,60.532,60.104,60.228,61.137,62.073,62.533,61.908,62.531,63.709,64.428,64.811,65.235,65.851,66.725,66.579,67.371,68.286,68.827,69.157,69.953,70.672,71.141,71.385,71.978,73.112,73.732,74.24,75.122,75.931,75.786,76.157,76.78,77.483,77.842,78.849,79.013,79.439,80.041,79.958,80.243,80.719,81.096,81.487,81.664,81.945,82.418,83.038,83.234,83.654,83.743,84.038,84.521,85.15,85.323,85.585,85.626,85.754,85.857,86.188,86.332,86.468,86.496,86.542,86.99,87.276,87.437,87.624,87.828,88.03,88.207,88.391,88.627,89.021,89.279,89.629,89.826,90.183,90.517,90.775,91.009,91.202,91.319,91.531,91.783,92.215,92.658,92.838,93.247,93.556,93.817,94.443,95.016,95.419,95.852,96.318,96.791,97.16,97.73,98.504,99.04,99.555,99.907,100.253,100.285,100.132,100.114,100.191,100.378,100.919,101.73,102.351,102.672,103.381,103.855,104.054,104.299,104.537,104.788,104.922,105.112,105.459,105.795,106.305,106.638,106.738,106.819,106.905,107.157
"18","10","    Photocopy and related equipment","B285RG3",81.332,82.003,82.184,82.795,82.178,82.392,82.871,83.261,84.051,84.015,83.955,86.054,86.022,85.785,86.09,86.865,86.405,86.706,86.219,84.305,85.184,85.291,85.567,86.331,86.159,86.882,86.973,86.699,86.295,86.401,86.37,86.999,88.714,88.459,88.612,88.839,86.594,86.61,85.215,84.762,84.299,83.708,84.318,84.345,84.76,84.801,84.406,84.091,84.188,84.677,84.629,84.559,84.672,83.258,83.016,82.954,83.22,83.715,84.111,84.3,84.507,85.942,86.211,86.361,87.884,89.197,88.826,90.954,91.165,91.76,94.049,94.117,95.482,93.635,93.208,93.507,94.805,96.506,98.314,100.649,100.028,100.097,102.141,105.282,111.191,113.725,117.352,117.422,119.03,121.542,118.907,118.464,117.479,121.219,121.066,122.134,124.213,122.834,121.719,122.551,122.912,124.361,125.071,125.185,126.276,125.807,127.419,129.03,131.604,132.94,135.32,135.765,137.862,140.05,138.779,140.639,143.015,144.147,144.178,145.614,147.735,149.132,149.233,149.923,151.098,151.139,152.583,153.958,155.156,154.457,155.05,156.153,160.855,160.364,161.139,159.264,157.182,155.207,154.494,152.917,153.536,152.521,151.631,151.954,154.478,156.364,155.819,153.366,149.709,145.243,141.682,139.086,137.387,135.001,131.214,127.222,121.081,118.838,116.528,115.179,115.972,114.9,114.037,112.735,110.718,109.764,109.4,109.177,109.308,108.39,105.913,102.061,100.624,99.112,98.293,97.622,97.915,97.842,97.548,97.416,96.991,96.669,96.572,96.428,96.575,96.424,95.936,95.183,94.476,94.432,94.954,96.598,96.835,96.362,95.912,95.986,97.424,98.163,98.971,99.41,99.554,99.9,100.175,100.371,100.616,100.527,100.511,100.62,100.385,100.591,101.026,101.592,102.094,102.435,102.533,102.688,102.902,103.011,102.949,102.986,102.96,103.039,103.127,102.83,102.479,102.248,101.94,101.418
"19","11","    Office and accounting equipment","B936RG3",66.454,66.697,67.402,67.74,67.091,67.071,67.069,67.078,67.279,67.272,67.364,67.067,66.588,66.244,66.793,67.757,67.403,67.247,67.22,67.682,67.075,66.731,67.605,69.494,67.898,67.895,68.025,68.152,68.028,68.233,68.412,68.911,69.402,69.902,70.097,70.178,69.879,69.84,70.042,70.111,70.466,70.441,70.85,71.29,71.7,72.083,72.532,73.023,73.111,72.897,73.184,73.805,74.251,72.578,72.601,73.413,73.899,74.524,74.972,75.525,75.823,76.643,77.811,79.065,80.583,81.797,82.526,82.699,81.391,80.665,80.861,81.685,84.149,86.222,85.504,82.67,85.096,83.846,82.266,81.012,80.509,80.132,80.427,81.058,81.407,81.529,81.482,81.351,81.384,82.282,83.465,84.632,82.721,84.725,85.916,85.868,85.594,85.58,85.379,85.602,86.115,86.147,85.57,84.976,84.014,84.225,84.65,85.942,87.843,89.659,90.556,90.513,91.437,93.509,95.005,96.958,94.992,96.136,96.482,97.647,98.063,97.664,96.759,97.08,96.698,96.221,96.314,97.076,97.107,96.464,96.527,97.047,97.449,97.866,98.175,98.115,98.685,99.198,99.925,100.284,100.878,101.168,101.282,101.382,101.508,102.693,102.571,102.142,101.358,101.004,100.808,100.517,100.184,100.328,99.599,100.492,100.626,99.95,99.758,99.327,99.421,99.68,100.074,99.725,99.631,99.21,99.347,98.986,98.112,97.839,97.74,97.598,97.566,97.698,97.47,97.221,97.247,97.781,97.409,97.609,97.871,97.723,98.428,98.922,99.722,96.613,96.886,97.179,97.113,97.057,97.114,97.034,96.005,97.466,97.708,97.791,97.737,98.501,99.455,99.463,100.023,100.192,100.353,99.432,99.354,98.736,99.197,99.578,99.799,99.455,101.134,101.815,103.19,102.9,102.639,102.818,102.583,103.163,103.28,103.332,104.287,104.591,104.723,104.747,104.98,104.964,104.632,104.456
"20","12","  Industrial equipment","A680RG3",15.811,15.96,16.123,16.238,16.332,16.362,16.38,16.34,16.3,16.221,16.186,16.163,16.142,16.188,16.252,16.285,16.274,16.256,16.257,16.287,16.333,16.376,16.438,16.507,16.565,16.625,16.688,16.755,16.844,16.977,17.175,17.403,17.606,17.767,17.919,18.081,18.232,18.481,18.711,18.946,19.036,19.111,19.255,19.483,19.759,20.051,20.322,20.573,20.755,20.996,21.21,21.348,21.396,21.467,21.525,21.642,21.762,21.968,22.225,22.492,22.868,23.455,24.499,25.947,27.556,28.887,29.789,30.391,30.818,31.287,31.835,32.453,33.316,34.119,34.862,35.562,36.38,37.098,37.841,38.62,39.611,40.601,41.723,42.724,44.365,45.875,47.28,48.566,49.695,50.61,51.422,52.131,52.33,53.394,53.802,54.038,54.315,54.548,54.522,54.565,54.775,55.132,55.189,55.289,55.318,55.673,56.202,56.849,57.729,58.375,58.964,59.178,60.322,60.916,61.033,62.082,62.859,63.736,63.807,64.934,65.425,65.68,66.375,67.133,68.156,68.788,69.648,70.702,71.65,71.462,71.702,72.364,72.825,73.128,73.919,73.673,73.873,74.248,74.53,74.909,75.13,75.613,76.138,76.742,77.257,78.395,78.964,79.369,79.799,79.953,80.237,80.511,80.611,80.601,80.684,80.79,80.904,81.031,81.218,81.352,81.551,81.465,81.578,81.796,81.891,81.988,82.146,82.187,82.47,82.637,82.581,82.66,82.478,82.442,82.72,82.836,82.967,83.128,83.351,83.519,84.183,84.94,85.604,86.403,87.406,88.328,88.715,89.37,89.976,90.68,91.784,92.413,93.469,94.285,94.836,95.58,96.48,98.214,100.015,100.062,99.907,99.795,100.022,100.276,100.476,100.886,101.169,101.69,102.752,103.787,104.537,104.687,105.331,105.75,105.917,106.298,106.403,106.235,106.161,106.244,106.751,107.121,107.35,107.274,107.12,106.957,106.932,106.692
"21","13","    Fabricated metal products","B263RG3",16.107,16.31,16.493,16.689,16.843,16.946,16.961,16.799,16.616,16.482,16.45,16.423,16.432,16.45,16.522,16.535,16.604,16.616,16.589,16.507,16.522,16.495,16.498,16.567,16.559,16.55,16.534,16.504,16.535,16.647,16.753,16.942,16.941,16.985,17.195,17.437,17.031,17.493,17.658,18.114,18.059,17.974,18.004,18.257,18.436,18.729,19.074,19.413,19.465,19.74,20.13,20.403,20.526,20.685,20.642,20.755,20.901,21.145,21.428,21.795,22.243,22.848,24.062,25.661,27.441,28.844,29.574,29.933,30.054,30.344,30.682,31.101,31.801,32.759,33.873,35.197,35.96,36.814,37.69,38.548,39.723,41.039,42.676,42.806,45.475,46.661,47.706,48.824,49.953,50.815,51.359,52.347,53.536,54.599,55.452,56.003,56.252,56.275,55.938,55.72,55.803,55.843,55.927,55.868,56.158,56.463,56.409,56.446,56.391,56.051,55.592,55.399,55.378,55.373,55.518,56.038,57.326,59.232,59.969,60.744,61.748,62.191,62.509,62.842,63.462,64.015,64.091,64.388,64.733,65.11,65.411,65.562,66.08,66.23,66.086,65.919,65.663,65.6,65.592,65.355,65.062,65.404,65.721,66.644,67.375,68.361,69.155,69.821,70.733,70.883,71.215,71.334,71.443,71.344,71.185,70.988,70.98,70.866,70.803,70.683,70.427,70.329,70.05,69.938,69.737,69.842,70.03,70.412,70.278,71.031,70.8,70.936,71.225,71.407,71.942,72.177,72.457,72.582,72.733,72.701,73.892,76.096,77.947,79.253,80.673,81.476,82.545,83.337,84.182,85.827,88.541,89.955,90.943,92.618,93.215,93.548,95.486,98.546,101.095,101.091,100.609,99.674,99.547,100.17,100.182,101.37,101.281,101.808,102.628,103.513,104.734,105.416,106.108,106.541,106.85,107.436,106.908,106.813,106.417,106.724,107.541,108.301,108.574,108.77,108.808,108.678,108.482,108.399
"22","14","    Engines and turbines","B668RG3",15.137,15.228,15.282,15.365,15.377,15.343,15.27,15.157,15.107,14.981,14.818,14.628,14.235,14.068,14.065,14.034,14.05,14.029,14.004,14.023,14.038,14.085,14.173,14.404,14.289,14.302,14.322,14.33,14.371,14.41,14.446,14.493,14.627,14.858,15.158,15.48,15.634,15.803,15.939,16.093,16.286,16.441,16.746,17.086,17.384,17.843,18.261,18.686,19.13,19.461,19.635,19.795,19.902,20.041,20.236,20.454,20.635,20.756,20.878,21.041,21.229,21.552,22.076,22.83,23.908,25.206,26.845,28.316,29.281,29.901,30.687,31.612,32.663,33.515,33.922,33.832,36.531,37.088,37.31,37.562,37.89,38.156,39.023,40.993,43.918,46.705,49.564,50.502,50.487,51.342,52.305,53.855,51.089,52.077,52.827,53.343,53.445,53.569,53.546,53.71,53.731,53.723,53.744,53.825,53.746,53.821,53.9,54.138,54.249,54.672,55.121,55.334,56.157,56.19,56.185,56.212,56.679,57.136,58.262,59.029,59.038,60.149,63.919,67.184,68.6,68.769,68.859,70.413,71.437,71.543,72.413,72.697,73.157,73.544,73.211,73.061,73.102,73.376,73.479,73.25,74.516,75.216,75.733,76.767,76.932,77.93,78.138,78.13,78.428,78.838,79.639,79.773,79.986,80.16,80.571,80.666,80.591,80.541,80.751,80.805,81.718,81.801,81.871,82.013,82.148,82.232,82.339,82.326,82.378,82.351,82.349,82.574,82.518,82.974,83.278,83.533,83.641,83.845,83.546,83.764,84.032,84.105,84.249,84.533,84.929,84.954,83.375,84.329,85.379,86.066,86.818,87.855,90.16,89.477,88.964,89.86,91.166,93.32,98.077,97.797,99.794,99.537,101.239,99.429,98.273,98.237,98.509,99.035,99.862,101.156,101.245,101.321,101.577,101.946,102.464,102.576,102.598,102.593,102.52,102.398,102.367,102.971,103.212,103.094,103.105,103.172,103.07,102.755
"23","15","      Steam engines","BA13RG3",15.221,15.34,15.378,15.436,15.502,15.459,15.358,15.19,15.113,14.969,14.749,14.45,14.056,13.765,13.749,13.599,13.743,13.711,13.685,13.689,13.736,13.742,13.797,14.082,13.924,13.907,13.891,13.932,13.914,13.952,13.988,14.084,14.223,14.524,14.896,15.293,15.453,15.608,15.738,15.913,16.103,16.264,16.554,16.935,17.25,17.741,18.186,18.64,19.11,19.448,19.647,19.785,19.886,20.027,20.233,20.472,20.712,20.814,20.92,21.108,21.308,21.556,21.945,22.506,23.483,24.791,26.552,28.229,29.316,29.916,30.714,31.766,32.738,33.568,34.328,34.652,37.492,37.958,37.644,37.452,37.52,37.574,38.265,40.709,44.335,47.662,51.49,52.252,51.396,51.938,52.677,54.695,50.325,51.064,51.446,51.523,51.645,51.764,51.934,51.945,51.905,51.876,51.885,51.901,51.854,51.967,52.015,52.025,51.832,52.345,52.58,52.719,53.957,53.759,53.636,52.924,54.217,54.268,55.555,56.315,56.387,57.695,62.61,66.892,68.807,68.951,68.946,70.871,71.863,71.906,72.745,72.94,73.382,73.84,72.903,72.864,72.854,72.923,72.76,72.294,73.914,74.779,75.281,76.388,76.413,77.423,77.446,77.532,77.546,77.769,78.813,78.838,78.863,79.085,79.797,79.792,79.767,79.767,79.865,79.894,80.858,80.846,80.867,80.927,81.026,81.069,81.115,81.045,81.016,80.968,80.984,81.098,80.889,81.412,81.752,81.969,82.076,82.262,81.816,82.021,82.147,82.002,82.182,82.372,82.623,82.536,79.097,80.571,81.659,82.525,83.359,84.861,88.104,86.882,86.127,87.189,89.058,92.023,98.431,97.872,99.93,99.506,101.452,99.111,97.742,97.768,98.249,98.903,99.477,101.434,102.144,102.123,102.22,102.474,103.092,103.179,103.157,103.118,103.16,103.004,103.08,103.786,104.129,103.956,104.002,103.887,103.734,103.453
"24","16","      Internal combustion engines","BA14RG3",15.469,15.458,15.559,15.709,15.54,15.537,15.585,15.676,15.728,15.671,15.695,15.959,15.56,15.841,15.867,16.197,15.828,15.825,15.792,15.839,15.769,15.932,16.112,16.265,16.218,16.286,16.386,16.312,16.47,16.516,16.574,16.55,16.723,16.725,16.807,16.92,17.036,17.247,17.405,17.476,17.701,17.841,18.222,18.419,18.658,18.988,19.27,19.541,19.853,20.167,20.221,20.505,20.655,20.78,20.904,21.01,20.937,21.12,21.328,21.386,21.541,22.223,23.362,25.037,26.634,27.888,28.982,29.703,30.272,31.002,31.741,32.232,33.471,34.373,34.008,32.951,35.596,36.448,37.621,38.661,39.417,40.073,41.3,42.445,44.271,46.256,47.752,48.858,50.106,51.558,52.952,53.884,54.031,55.503,57.017,58.502,58.555,58.723,58.359,58.914,58.991,58.964,59.028,59.298,59.117,59.104,59.268,59.944,60.633,60.952,61.628,61.846,61.862,62.363,62.594,64.766,63.185,64.316,65.153,66.009,66.013,66.798,67.824,68.504,68.865,69.138,69.488,70.153,71.233,71.506,72.465,72.98,73.509,73.724,74.836,74.459,74.622,75.321,76.012,76.345,76.84,77.18,77.719,78.6,79.043,80.046,80.564,80.479,81.162,81.888,82.292,82.631,83.169,83.167,83.171,83.394,83.289,83.111,83.548,83.632,84.455,84.673,84.858,85.198,85.394,85.55,85.818,85.973,86.307,86.385,86.335,87.005,87.645,87.751,87.904,88.338,88.451,88.736,89.098,89.354,89.893,90.206,90.314,90.744,91.395,91.621,92.221,92.521,93.638,94.231,94.95,95.158,95.754,96.004,95.957,96.281,96.412,96.898,97.564,98.121,99.632,99.765,100.307,100.297,99.636,99.388,99.118,99.323,100.469,100.835,99.901,100.122,100.58,101.112,101.341,101.484,101.689,101.806,101.429,101.317,101.14,101.609,101.692,101.647,101.576,102.184,102.245,101.829
