"","Table 4#2#6U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"30","23","  Transport","Y800RX0",60438,60280,55117,55073,51274,54410,56612,60341,65758,68735,62190,65868,67704,69095,72196,73364,74726
"31","24","    Sea Transport","Y977RX0",14273,13976,13451,13962,12855,13060,13165,15299,16661,17070,13603,15113,15168,15335,15370,15767,16074
"32","25","      Freight","Y978RX0",4366,4626,4011,3865,3932,3685,3269,3194,4002,4135,3249,3774,3556,3615,3532,3593,3612
"33","26","      Port","Y979RX0",9732,9091,9276,10003,8726,9250,9855,12166,12658,12930,10354,11332,11626,11733,11853,12191,12484
"34","27","    Air Transport","Y980RX0",42855,43132,38257,37517,34831,37303,39471,41009,45073,47629,44574,46743,48521,49446,52718,53730,54802
"35","28","      Passenger","Y981RX0",29205,29564,24943,22967,19026,20501,21852,22839,24351,27106,26103,26707,28555,29464,31788,33401,35218
"36","29","      Freight","Y982RX0",6055,7063,6720,7225,8790,9472,10426,10687,11576,11934,10941,12001,11519,11507,11851,11146,10284
"37","30","      Port","Y983RX0",8348,7079,6961,7555,7114,7437,7325,7616,9334,8634,7530,8077,8396,8361,8922,8955,9080
"38","31","    Other modes of transport","Y984RX0",3570,3473,3534,3644,3613,4091,4037,4097,4097,4094,4013,4022,3985,4290,3970,3718,3706
"39","32","  Travel","Y801RX0",133643,138580,118682,111830,106715,117821,112624,111460,121528,130331,119902,132879,139223,145208,153379,154144,161582
"40","33","    Business","Y985RX0",54478,56786,47372,43483,39744,42906,41326,40777,42909,44050,36518,38357,37209,35609,35268,35548,35051
"41","34","      Expenditure of seasonal, border, and other short-term workers","Y986RX0",8246,7945,8383,8927,8841,9298,9125,9011,7997,8295,6843,6152,5874,6167,6405,6384,6760
"42","35","      Other business travel","Y987RX0",46232,48842,38989,34556,30902,33607,32200,31765,34912,35755,29675,32206,31335,29442,28863,29164,28290
"43","36","    Personal","Y988RX0",78799,81396,71043,68147,66831,74777,71159,70549,78522,86227,83384,94520,102009,109586,118079,118566,126454
"44","37","      Education related","Y989RX0",16645,17256,18328,19155,18979,18090,17506,17302,17833,18900,19689,20320,21076,22171,23457,25414,27541
"45","38","      Health-related","Y990RX0",2562,2686,2484,2255,2259,2295,2598,2694,2692,2692,2691,2688,2684,2683,2681,2683,2681
"46","39","      Other personal travel","Y991RX0",58954,60819,50317,47026,45901,54515,51246,50753,58019,64565,61004,71520,78267,84764,92006,90429,96188
"47","40","  Charges for the use of intellectual property n.e.c.","B684RX0",60780,64344,60221,64554,66574,76293,81645,88625,100748,101921,98406,105877,118479,117511,119259,119824,119382
"48","41","  Other business services","Y802RX0",74063,79914,88147,98173,107305,124802,133814,153775,185927,199524,210900,224349,241256,251648,257295,266381,284414
"49","42","    Maintenance and repair services","Y992RX0",5434,6603,7825,8134,7552,6828,8467,8338,9499,9565,12077,12920,12252,14696,15874,18869,22339
"50","43","    Insurance services","Y993RX0",4760,5903,5659,7891,10341,12443,12321,13135,13148,14095,14586,14409,15010,16490,16595,16749,17451
"51","44","    Financial services","Y994RX0",16967,20483,23020,27759,31189,39459,40866,47185,57409,59149,64437,67834,69733,66712,68194,66680,67070
"52","45","    Telecommunications, computer, and information services","Y995RX0",2568,3084,3705,3959,5788,7802,10234,13420,20913,24360,23816,30156,38272,43655,47448,50545,52987
"53","46","    Other other business services","Y996RX0",52170,50276,53707,57520,57139,61859,63906,72760,84854,92509,95984,99477,108125,113687,113618,119043,130856
"54","47","  Government goods and services n.e.c.","Y803RX0",11400,12579,11208,10134,10894,13722,16525,20148,21287,18242,19833,18395,22055,20823,20866,18075,17258
"55","48","  Other","B980RX0",9864,9846,9140,9141,9200,9256,9304,9213,9045,9517,11393,10646,12302,14748,12703,11415,11672
"56","49","    Imports of goods and services","A021RX0",1536232,1736215,1686966,1748795,1826881,2035340,2164216,2301041,2359012,2298645,1983177,2235350,2357670,2410241,2435585,2528858,2653495
"57","50","Imports of goods \1\","A255RX0",1286920,1455404,1408410,1461091,1533000,1704139,1817888,1925350,1960869,1887861,1590294,1826747,1932145,1972175,1991279,2076523,2176057
"58","51","  Foods, feeds, and beverages","B647RX0",59647,63541,66395,69937,75321,79886,82667,87777,88860,87852,82860,84751,86352,89670,93179,97900,102080
"59","52","  Industrial supplies and materials","LB0000040",464620,489964,485160,489319,507093,564893,589377,596073,577640,547843,464350,492965,499571,478147,461470,464155,470146
"60","53","    Durable goods","A820RX0",110142,117474,110547,116418,117477,140992,150731,165030,149258,136618,95502,109737,118671,125117,128309,144420,148851
"61","54","    Nondurable goods","LB0000070",359893,377353,381799,377952,395934,428452,442919,435379,432195,414155,368848,383583,382360,357056,338921,329157,332038
"62","55","      Petroleum and products","B648RX0",260461,269963,277917,271432,289551,308693,314905,308981,301652,291293,267710,269008,263940,242165,225312,214883,218432
"63","56","      Nondurable goods, excluding petroleum and products","B696RX0",101859,108337,107029,107885,110050,122057,129384,127703,132119,123933,101138,115542,120832,119347,120154,122263,121959
"64","57","  Capital goods, except automotive","A650RX0",255927,307464,272530,268331,284043,334651,372686,414920,442861,450110,374055,453825,516189,553136,564620,604352,621242
"65","58","    Civilian aircraft, engines, and parts","B932RX0",35127,37659,43051,34247,31632,30905,31581,33504,38620,37513,30683,30484,33321,35174,40426,45102,46249
"66","59","    Computers, peripherals, and parts","B852RX0",40182,47019,42751,47147,51418,63734,72861,85495,93924,95542,94177,119552,128410,133411,133086,134505,136086
"67","60","    Other","B853RX0",190412,234382,198700,193139,205651,242699,270021,296511,310851,317445,249196,303934,354341,384110,389721,422224,436168
"68","61","  Automotive vehicles, engines, and parts","B651RX0",195929,211938,204998,219556,225265,241082,250133,267137,267128,235453,159188,224245,245811,282209,293838,313664,339908
"69","62","  Consumer goods, except food and automotive","A652RX0",249520,293803,298566,327303,356564,396397,428742,463218,489912,483979,429852,485407,507390,502940,518592,541377,582805
"70","63","    Durable goods","B697RX0",125242,150364,149063,166651,179719,208151,230723,249738,266977,263745,225038,262526,272606,275901,292205,307396,328155
"71","64","    Nondurable goods","B698RX0",124726,143686,150090,161040,177386,188431,198037,213486,222862,220160,204814,222993,234842,227375,227275,235128,255514
"72","65","  Other","A653RX0",81785,91495,93478,96362,91309,91112,94661,95046,95082,84481,79989,90538,90952,95179,97894,102376,111311
"73","66","Imports of services \1\","B656RX0",245440,276403,274625,283594,289595,326400,341107,370477,393495,408244,392884,407772,424220,437086,443484,450750,475793
"74","67","  Transport","Y804RX0",66547,72071,65984,63700,65487,73393,77083,79536,80778,77635,64133,68286,70507,72545,76373,76558,80385
"75","68","    Sea Transport","Y997RX0",20363,23637,22953,23820,25880,28990,31314,33110,33617,30427,23219,27279,27626,29740,32511,30994,32101
"76","69","      Freight","Y998RX0",18136,21638,21220,21971,24178,27399,29689,31207,31647,28453,21656,25697,26048,28086,30667,29012,30055
"77","70","      Port","Y999RX0",2445,2120,1814,1942,1741,1547,1552,1870,1942,1970,1563,1575,1569,1643,1833,1974,2038
"78","71","    Air Transport","Y810RX0",44706,46326,40744,37320,36629,41187,41811,42143,42967,43331,37410,37360,39011,38831,40126,41732,44539
"79","72","      Passenger","Y811RX0",27719,29497,25044,20695,21269,25357,25809,25840,25057,25266,21532,20652,21970,22759,23926,24995,26519
"80","73","      Freight","Y812RX0",5711,6564,5675,6754,6192,6957,6600,6634,6624,5684,4688,5504,5143,4907,5048,5741,6416
"81","74","      Port","Y813RX0",11100,10074,9829,9871,9104,8836,9366,9621,11190,12349,11190,11192,11943,11079,10968,10696,11322
"82","75","    Other modes of transport","Y814RX0",3050,3322,3049,3006,3178,3463,3895,4009,3933,3790,3503,3676,3891,4083,3921,3848,3678
"83","76","  Travel","Y805RX0",85624,96610,89800,85463,81353,91898,93770,93910,91932,89486,81421,84796,85458,94673,98193,104914,117345
"84","77","    Business","Y815RX0",30115,32814,29322,26416,24098,26906,26568,25579,24595,22264,19273,20882,19782,19121,20045,17416,18126
"85","78","      Expenditure of seasonal, border, and other short-term workers","Y816RX0",485,531,569,457,655,720,731,910,932,943,1013,1046,1068,1128,1148,1203,1265
"86","79","      Other business travel","Y817RX0",29629,32282,28753,25958,23443,26186,25837,24669,23663,21321,18260,19837,18714,17993,18896,16213,16861
"87","80","    Personal","Y818RX0",55403,63697,60404,58997,57218,64954,67170,68307,67317,67217,62148,63915,65671,75529,78125,87439,99141
"88","81","      Education related","Y819RX0",3197,3777,3981,4345,4645,4798,5128,5281,5189,5500,5144,5172,5245,5380,5744,6068,6674
"89","82","      Health-related","Y820RX0",265,277,263,235,242,572,658,709,751,805,879,952,1008,1083,1168,1257,1362
"90","83","      Other personal travel","Y821RX0",51707,59389,55994,54314,52284,59509,61328,62269,61334,60902,56125,57791,59420,69118,71247,80189,91220
"91","84","  Charges for the use of intellectual property n.e.c.","B908RX0",16935,20615,20269,23365,22561,26930,28037,26555,27280,29551,31297,32056,34663,36509,36357,38721,40242
"92","85","  Other business services","Y806RX0",52238,60362,67936,74274,80983,94050,102736,131529,156293,176924,178491,184233,197902,199958,201735,201443,207439
"93","86","    Maintenance and repair services","Y822RX0",1821,3618,2804,3124,3106,3055,3534,4984,5457,5484,5938,6437,7063,6849,6366,6291,7500
"94","87","    Insurance services","Y823RX0",13525,17290,25225,29213,31853,37481,38176,46021,52547,61927,63801,59571,54470,54639,52080,48277,46703
"95","88","    Financial services","Y824RX0",7231,10126,10659,10151,10023,12095,12426,14511,17974,16147,14415,14535,15474,14525,15009,14894,15546
"96","89","    Telecommunications, computer, and information services","Y825RX0",2770,3130,3590,3731,5383,7421,10552,15457,23205,25966,25784,34949,43005,44038,45820,46943,48187
"97","90","    Other other business services","Y826RX0",30410,30308,31171,35078,35265,37592,39405,51043,56611,67327,68553,69560,79987,82301,85183,88006,92266
"98","91","  Government goods and services n.e.c.","Y807RX0",24457,26710,27807,33421,34174,34076,33130,31587,29184,27804,31460,32536,30244,27671,24613,23062,24365
"99","92","  Other","B910RX0",6067,6472,6743,6786,6790,7009,6625,6631,6877,6347,6082,5780,5551,5535,5517,5305,5286
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","2. The quantity index for computers can be used to accurately measure the real growth of this component.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","However, because computers exhibit rapid changes in prices relative to other prices in the economy,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","the chained-dollar estimates should not be used to measure the component's relative importance or its",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","contribution to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","are shown in table 4.2.2 and real growth rates are shown in table 4.2.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","are usually not additive. For exports and for imports, the residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","aggregate line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
