"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","    Less: Consumption of fixed capital","A753RC1",60.4,66.6,72.9,79.3,88.5,103.7,123.3,135.9,152.6,173,199.6,231,266.4,295.6,306.3,320.7,342.6,364.1,384.2,411.5,438.7,465,486.8,498.1,518.9,547.3,583.8,616.6,655.9,700.3,756.3,825,878.4,911.7,939.8,983.6,1051.1,1129.3,1203,1267.3,1273,1270.7
"19","12","    Equals: Net nonresidential","A593RC1",44.2,42.4,41.2,49.5,64.8,65.7,50.4,56.5,76.2,107.6,134.3,131.4,153.6,130.9,110.9,168.9,183.6,155.8,139.9,152.3,169,157.4,111.4,114,147.6,184.1,226.3,258.8,312.7,360.8,398.6,443.7,349.5,213.7,195.8,239.5,296.2,376,434.5,389,80,119.4
"20","13","      Structures","B009RC1",37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,524.9,586.3,449.9,374.4
"21","14","      Less: Consumption of fixed capital","B188RC1",16,17.5,19.4,21.4,24.6,29.1,33.7,36.2,40.4,45.8,52.9,59.9,71.7,81.2,81.1,83.8,88.6,91.8,93.2,99.8,105.7,111.3,115.6,116.1,120.1,124.9,131.5,136.5,144.6,154.7,161.4,170.9,184.8,196.8,205.5,220.4,248.9,282.8,310.9,333.7,330.9,327.1
"22","15","      Equals: Net structures","A594RC1",21.7,22.8,23.3,25.8,30.4,32.1,27.7,29.8,34.1,47.8,64.8,76.3,95.6,96.4,73.3,93.6,106,84.7,81.1,83,88,91.6,68,56.5,57.1,61.9,75.8,88.1,105.6,120.4,122.5,147.3,144.9,86,76.3,86.2,102.9,150.9,214,252.6,119,47.4
"23","16","      Equipment and software","B010RC1",67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1112.6,1070,903,1015.7
"24","17","      Less: Consumption of fixed capital","B189RC1",44.5,49.1,53.5,57.9,63.9,74.6,89.6,99.7,112.1,127.2,146.7,171.1,194.7,214.4,225.2,236.9,254,272.2,291,311.7,333.1,353.8,371.2,382.1,398.9,422.4,452.3,480.1,511.3,545.6,594.9,654.2,693.6,715,734.3,763.1,802.2,846.5,892.1,933.5,942,943.7
"25","18","      Equals: Net equipment and software","A747RC1",22.5,19.6,17.9,23.8,34.4,33.6,22.8,26.7,42,59.7,69.5,55.2,58,34.5,37.6,75.3,77.6,71.1,58.9,69.3,81,65.8,43.4,57.5,90.6,122.2,150.5,170.7,207.1,240.4,276,296.4,204.5,127.7,119.5,153.2,193.3,225.1,220.5,136.5,-39,72
"26","19","    Residential","A011RC1",42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,302.1,302.9,334.1,349.1,385.9,425.8,449,472.4,509.5,577.6,680.6,775,761.9,628.7,472.4,354.7,338.1
"27","20","    Less: Consumption of fixed capital","A754RC1",14.1,15.1,16.6,18.4,21,24.1,27.1,29.6,33.6,39,44.9,51.3,56.9,60.8,63.2,66.7,70.2,75,80.3,85.7,90.9,95.4,98.7,101.8,107.5,113.6,120.9,126.8,133.8,141.3,150.9,161.8,173.2,182.3,196.1,217.3,239.7,262.1,273.2,275.6,269.5,270.2
"28","21","    Equals: Net residential","A748RC1",28.6,26.3,39.2,51.2,54.4,41.9,35.6,52.8,76.7,92.6,96.1,71.9,65.7,44.8,89.6,113.9,118,145.1,153.4,153.6,148.6,128.6,106.5,134.6,158.5,188.5,182,207.3,215.2,244.7,274.9,287.2,299.2,327.2,381.5,463.3,535.3,499.7,355.4,196.8,85.2,67.9
"29","22","  Change in private inventories","A014RC1",9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,29.1,-41.1,-160.8,66.9
"30","23","Gross government investment \1\","A782RC1",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,497.2,505.4,505.3
"31","24","Less: Consumption of fixed capital","A264RC1",24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,291.3,311.2,323.7,334
"32","25","Equals: Net government investment","A889RC1",18.6,17,13.5,13.2,15.5,20.4,23.2,23.8,21.9,27.6,34,38.5,36.8,35.2,41.3,52.5,66.1,73.8,77.7,72.2,75.8,85,81.4,78.7,67.8,62.7,67.8,75.1,78.3,83.9,100.2,106.8,117.4,132.5,137.7,140.5,141.5,155.8,165.1,186,181.6,171.3
"33","26","          Federal","A890RC1",-0.4,-1.2,-4.8,-4.6,-3.4,-1.6,-0.2,1.2,1.7,2.6,4.7,6.3,8.1,9.9,15.7,19.8,26.4,28.9,30.7,20.8,19.7,20.8,16.2,14.2,5.9,-2.2,-3.1,-1.5,-9.1,-6.4,-3.4,-7.7,-7.1,1,5.4,8.4,10,14.1,14.8,28.4,31.4,38.8
"34","27","            National defense","B891RC1",-1.8,-2.5,-6.3,-6.3,-5.2,-3.6,-2.7,-1.8,-1.7,-2.1,0.1,0.8,2.7,5.6,10.2,13.9,20.1,22.8,23.4,15.4,13.7,13.7,8.1,4.4,-3.9,-8,-9.9,-9.6,-15,-13.9,-11.8,-11.5,-9.5,-3.5,1.1,4.8,5.5,7.8,9.5,21.5,24.3,26.4
"35","28","            Nondefense","B892RC1",1.4,1.3,1.5,1.7,1.8,2.1,2.5,2.9,3.3,4.7,4.6,5.5,5.5,4.3,5.5,5.9,6.3,6.1,7.2,5.3,5.9,7.1,8.1,9.8,9.8,5.8,6.9,8.1,5.9,7.5,8.4,3.8,2.5,4.4,4.3,3.6,4.5,6.3,5.3,7,7.1,12.4
"36","29","          State and local","A893RC1",19,18.2,18.3,17.8,18.9,22,23.4,22.6,20.2,25,29.3,32.2,28.7,25.3,25.5,32.6,39.7,45,47,51.5,56.2,64.2,65.2,64.5,61.9,64.9,70.8,76.5,87.4,90.3,103.6,114.5,124.5,131.5,132.3,132,131.4,141.6,150.4,157.6,150.3,132.5
"37","30","  Structures","A760RC1",29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6,160.2,175.8,189.6,205.8,221.6,229.4,236.4,246.5,267.5,289.5,310,314.2,304.3
"38","31","  Less: Consumption of fixed capital","A894RC1",10.2,11.4,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.5,40.3,41.2,42.7,45,47.6,49.9,52.1,54.8,56.8,58.4,61.2,64.2,68.2,71.5,75.8,79.5,83.9,89.5,94.6,99.4,104,112.4,125.5,137.7,152.7,164,169.6,172.4
"39","32","  Equals: Net structures","A895RC1",18.8,17.7,18.5,17.7,18.8,21.2,23.1,22.6,20.8,26.3,29.6,32.8,29.7,25.5,25.4,31.3,38.4,44,47.9,49.1,49.8,57.8,60.2,61.3,59.9,60.5,66.6,72.9,79.7,80.7,91.9,100.1,111.2,122.3,125.4,124.1,121,129.8,136.8,146.1,144.7,132
"40","33","            Federal","A896RC1",0.6,0.3,1,0.9,1.1,0.8,1.1,1.2,1.5,2.5,1.8,2.6,2.6,2,2.6,2.8,4,4.9,6.3,3.5,2,2.5,1.8,3.3,3.8,2.8,3.7,3.2,0.6,0.7,-0.3,-3.4,-4.1,-2.1,-0.8,-3.2,-5.3,-4.6,-2.3,0.7,5.3,9.4
"41","34","              National defense","B897RC1",-0.4,-0.7,-0.4,-0.6,-0.7,-1.1,-1.2,-1.5,-1.5,-1.5,-2,-1.7,-2,-1.3,-0.5,-0.6,0.5,0.9,1.5,1,-0.3,-0.8,-2.4,-2,-2.2,-2,-1.4,-2,-2.3,-2.8,-3.5,-3.8,-4.1,-3.8,-2.5,-3.2,-3.8,-4,-2.7,0.5,4.2,4.3
"42","35","              Nondefense","B898RC1",1,1,1.3,1.5,1.8,1.9,2.3,2.7,3,3.9,3.8,4.3,4.5,3.3,3.1,3.3,3.5,4,4.9,2.5,2.4,3.3,4.3,5.3,6,4.8,5.1,5.2,3,3.6,3.2,0.4,0,1.7,1.8,0,-1.6,-0.6,0.3,0.2,1.2,5.1
"43","36","            State and local","B899RC1",18.2,17.4,17.5,16.8,17.6,20.4,22,21.4,19.3,23.8,27.7,30.3,27.1,23.5,22.8,28.5,34.4,39.1,41.6,45.6,47.8,55.3,58.3,58.1,56.1,57.7,62.9,69.6,79.1,80,92.2,103.5,115.3,124.4,126.2,127.2,126.3,134.4,139.2,145.3,139.3,122.6
"44","37","  Equipment and software","A871RC1",14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.4,96.2,97.9,99.8,96.8,102.7,111.6,114.7,116.2,121.8,126.4,135.9,145.5,157.6,167,187.2,191.2,201
"45","38","  Less: Consumption of fixed capital","A900RC1",14.5,15.2,15.5,15.6,15.7,16.8,18.5,20.4,22.1,24.3,26.2,29.3,33.4,37.6,41.2,45.7,49.9,54.5,59,64,69.7,76,82.1,86,90.5,94,96.7,97.7,98.3,99.5,103.3,108,110,111.6,114.2,119.5,125,131.6,138.6,147.2,154.2,161.7
"46","39","  Equals: Net equipment and software","A901RC1",-0.2,-0.8,-5,-4.5,-3.2,-0.8,0.1,1.2,1.1,1.3,4.5,5.6,7.1,9.8,15.9,21.2,27.8,29.8,29.8,23.1,26,27.2,21.2,17.3,7.9,2.2,1.2,2.2,-1.4,3.2,8.3,6.7,6.2,10.2,12.3,16.4,20.5,26,28.3,40,37,39.3
"47","40","            Federal","A902RC1",-1,-1.6,-5.7,-5.5,-4.5,-2.4,-1.3,0,0.2,0.1,2.8,3.7,5.6,7.9,13.1,17.1,22.4,24,24.3,17.2,17.6,18.3,14.4,10.9,2.1,-5,-6.8,-4.7,-9.7,-7.1,-3.1,-4.3,-2.9,3.1,6.1,11.6,15.4,18.7,17.1,27.7,26.1,29.4
"48","41","              National defense","B905RC1",-1.4,-1.8,-5.9,-5.7,-4.5,-2.6,-1.5,-0.3,-0.2,-0.7,2.1,2.5,4.6,6.9,10.7,14.5,19.6,21.9,22,14.4,14,14.4,10.5,6.4,-1.7,-6,-8.5,-7.6,-12.7,-11.1,-8.3,-7.7,-5.4,0.3,3.6,8,9.3,11.8,12.2,21,20.1,22.1
"49","42","              Nondefense","B906RC1",0.4,0.3,0.2,0.2,0,0.2,0.2,0.2,0.4,0.8,0.8,1.2,0.9,1,2.4,2.6,2.8,2.1,2.3,2.8,3.6,3.8,3.9,4.5,3.8,1,1.8,2.9,3,3.9,5.2,3.4,2.4,2.8,2.5,3.6,6.1,6.9,4.9,6.7,5.9,7.3
"50","43","            State and local","B907RC1",0.8,0.8,0.8,1,1.3,1.6,1.4,1.2,0.9,1.2,1.6,1.9,1.6,1.8,2.8,4.1,5.4,5.8,5.5,5.9,8.4,8.9,6.8,6.4,5.8,7.2,7.9,6.9,8.3,10.3,11.4,11,9.2,7.1,6.1,4.8,5.1,7.3,11.2,12.3,10.9,9.9
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RC1",190.5,194,211.7,241.1,275.5,291.7,299.6,341.2,406.5,489.2,563.4,585.8,649.5,644.5,692.9,809.6,873.2,913.2,942.1,989.2,1044.9,1062.2,1023.6,1071.6,1152,1254.4,1345.5,1453.7,1570,1709.9,1868.1,2022,2022.2,1978.4,2069.1,2276,2514.3,2692.2,2722.6,2625.9,2213,2233.5
"53","45","  Less: Consumption of fixed capital","A262RC1",99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1767.5,1854.1,1866.2,1874.9
"54","46","  Equals: Net domestic fixed investment","W173RC1",91.3,85.6,93.9,114,134.7,128,109.2,133.1,174.7,227.8,264.5,241.8,256.1,210.9,241.8,335.2,367.7,374.7,371,378.2,393.5,371,299.2,327.2,373.9,435.3,476,541.1,606.2,689.4,773.7,837.7,766,673.4,715,843.3,973,1031.6,955.1,771.8,346.8,358.6
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
