"","Table 5#7#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"13","5","  Durable goods industries","N377RD3",NA,NA,NA,97.011,96.424,95.461,94.665,94.197,92.942,92.384,91.62,90.672,90.552,90.789,91.469,92.31,93.54,93.126,93.692,92.949,93.399,92.647,92.211,91.788,91.798,91.859,91.511,91.754,91.743,91.759,91.473,92.274,94.309,96.216,98.599,99.122,99.896,99.116,100.422,101.252,103.394,105.919,106.933,107.235,107.928,109.099,108.201,108.846,113.165,118.413,118.519,110.551,108.936,108.981,110.458,111.252,112.941,113.572,113.51,115.297,118.617,119.3,118.955,117.932,118.748,117.591,116.79
"14","6","  Nondurable goods industries","N378RD3",NA,NA,NA,81.225,80.079,79.952,79.77,79.736,78.708,78.413,78.03,77.467,76.99,77.511,79.041,80.503,82.294,83.218,83.95,85.045,85.685,85.136,83.112,80.862,81.35,81.773,83.548,84.435,86.852,86.106,86.459,89.171,90.408,92.551,95.113,96.081,98.127,98.615,102.361,104.029,104.299,106.233,106.959,107.625,109.126,109.999,113.819,124.59,130.262,139.751,134.903,115.216,112.817,115.24,116.691,120.345,123.185,121.244,124.393,130.939,140.484,141.395,141.612,142.025,144.46,138.771,141.811
"15","7","Wholesale trade","N379RD3",NA,NA,NA,95.673,95.212,94.184,93.738,93.104,91.982,90.971,89.684,89.483,89.089,89.29,89.902,90.55,91.432,91.44,91.322,91.624,91.043,90.708,90.228,89.131,89.362,89.778,91.176,91.111,92.116,91.45,92.126,93.682,95.279,96.152,97.046,98.005,99.262,99.145,101.035,101.896,102.589,104.644,104.96,106.549,108.312,108.944,110.272,114.883,118.854,122.503,121.385,112.502,111.188,112.591,113.384,115.926,116.949,116.779,119.485,124.42,128.776,130.391,131.381,130.954,132.105,130.187,133.251
"16","8","  Durable goods industries","N380RD3",NA,NA,NA,104.721,104.01,103.128,102.354,101.504,100.274,99.128,97.923,97.181,96.619,96.36,96.33,96.631,96.606,96.441,96.096,95.619,94.802,94.611,94.183,93.608,93.527,93.687,93.783,93.713,93.826,93.782,94.071,94.844,96.361,97.324,98.608,99.511,100.038,99.534,99.981,100.911,101.968,103.585,104.14,104.684,105.649,106.171,106.253,107.18,109.388,112.42,112.533,108.666,107.621,107.739,108.935,110.028,111.064,111.539,111.771,113.173,115.05,116.264,116.976,116.831,117.341,116.663,116.668
"17","9","  Nondurable goods industries","N381RD3",NA,NA,NA,82.99,82.865,81.647,81.646,81.305,80.333,79.508,78.104,78.664,78.501,79.36,80.898,82.045,84.251,84.511,84.729,86.19,85.945,85.392,84.831,83.023,83.665,84.417,87.55,87.493,89.7,88.187,89.386,91.994,93.702,94.451,94.791,95.836,98.148,98.594,102.601,103.361,103.515,106.215,106.172,109.326,112.316,113.129,116.315,126.341,132.97,137.576,134.645,118.172,116.483,119.72,119.978,124.498,125.52,124.493,130.5,140.134,147.847,150.035,151.439,150.636,152.707,148.967,156.619
"18","10","Retail trade","N382RD3",NA,NA,NA,98.045,97.744,96.98,96.537,96.098,95.935,95.917,95.676,95.748,95.437,95.811,96.46,96.735,97.027,97.223,97.174,97.494,97.497,97.283,97.007,96.388,96.206,96.021,96.157,96.175,96.666,96.275,96.199,96.373,96.915,97.515,98.226,99.068,99.649,99.662,100.471,100.819,101.107,101.726,101.985,102.299,103.109,103.451,104.109,105.574,106.79,108.072,108.667,106.671,105.977,106.586,107.146,108.617,109.23,109.369,109.949,111.122,113.053,114.418,115.672,115.84,116.56,116.782,117.599
"19","11","  Motor vehicle and parts dealers","N864RD3",NA,NA,NA,103.11,102.7,101.711,100.964,100.318,100.376,100.561,100.808,101.039,100.247,100.758,101.556,101.662,101.494,101.956,101.944,102.745,102.765,102.179,101.949,101.53,100.889,100.514,100.363,99.767,100.279,99.49,98.097,97.078,97.366,97.604,98.626,99.618,99.751,99.988,100.354,99.96,100.276,100.393,100.185,100.088,99.667,100.079,100.603,101.129,101.653,101.763,101.914,100.833,99.778,100.284,101.271,102.814,103.513,104.45,105.071,104.406,105.576,107.98,108.504,107.608,108.109,109.558,109.087
"20","12","  Food and beverage stores","N239RD3",NA,NA,NA,85.292,85.523,85.027,85.331,85.186,85.321,85.427,85.861,86.537,86.319,86.648,87.35,87.022,87.332,87.949,88.015,88.827,90.269,90.393,90.936,90.812,91.552,89.648,89.895,90.37,91.432,92.217,94.387,96.385,96.564,97.837,98.345,99.206,99.986,99.508,99.843,101.89,100.006,100.422,103.07,103.932,107.644,106.657,108.252,112.04,114.259,116.451,117.674,115.662,113.933,114.087,113.752,117.355,119.704,117.468,118.231,122.273,126.499,125.674,127.892,128.509,128.174,128.813,131.459
"21","13","  General merchandise stores","N240RD3",NA,NA,NA,94.137,94.121,94.149,94.218,94.347,94.867,95.189,95.424,95.623,95.538,95.669,96.011,96.147,96.348,96.42,96.428,96.542,97.044,97.194,97.22,96.964,96.564,96.396,96.473,96.817,96.958,97.181,97.61,98.064,98.444,99.031,98.878,99.337,99.831,99.89,100.161,100.484,100.69,101.001,101.498,102.21,103.291,103.751,104.515,105.441,106.876,108.224,109.45,109.143,108.943,109.244,109.117,109.797,110.164,110.549,111.174,112.456,114.402,115.952,117.727,118.18,118.734,119.059,120.051
"22","14","  Other retail stores","N865RD3",NA,NA,NA,98.249,97.787,96.788,96.182,95.591,94.943,94.628,93.745,93.54,93.444,93.824,94.474,95.04,95.678,95.654,95.538,95.494,95.026,94.868,94.289,93.303,93.335,93.618,93.959,94.218,94.702,94.162,94.51,95.188,96.061,96.839,97.65,98.507,99.445,99.354,100.783,101.42,102.085,103.227,103.344,103.728,104.852,105.325,105.888,107.851,109.324,111.284,111.86,108.585,108.141,109.008,109.719,111.039,111.357,111.346,111.841,113.619,115.616,116.689,118.028,118.654,119.783,119.101,120.361
"23","15","Other industries","N385RD3",NA,NA,NA,93.78,93.378,93.047,93.197,93.389,92.896,92.516,92.464,92.008,91.596,92.059,92.827,93.646,94.68,95.04,95.452,96.045,96.368,96.478,95.742,94.909,94.245,94.169,94.156,94.736,95.882,95.41,95.514,95.54,95.66,96.256,96.861,97.84,98.8,99.35,100.592,101.219,101.414,102.406,103.247,103.595,104.759,105.553,105.903,108.513,111.024,113.061,115.005,111.377,108.753,108.605,109.172,110.436,111.528,111.741,112.202,114.242,116.992,118.476,118.996,119.349,120.62,120.261,120.227
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,92.864,92.712,91.825,91.339,90.866,89.764,89.001,87.969,87.55,87.444,87.763,88.608,89.491,90.687,90.736,90.863,91.742,92.125,91.52,90.473,89.373,89.535,89.746,90.485,91.238,92.194,91.846,92.744,93.708,95.153,96.49,97.182,98.002,99.146,98.956,100.819,102.199,102.13,103.41,104.383,105.036,106.724,107.394,108.576,112.121,116.056,120.905,119.954,111.433,109.639,109.985,110.638,112.638,114.573,114.368,116.378,120.379,125.601,126.856,127.77,127.845,128.884,127.373,128.94
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,101.652,101.057,100.074,99.225,98.552,97.503,96.852,96.038,95.34,94.944,95.054,95.467,95.935,96.444,96.261,96.326,95.961,95.812,95.321,94.904,94.45,94.304,94.336,94.204,94.152,94.246,94.107,93.848,94.261,95.68,96.961,98.587,99.364,99.948,99.462,100.13,100.913,102.262,103.777,104.387,104.671,105.229,105.955,105.712,106.436,109.051,112.406,112.783,108.134,106.778,106.8,107.979,108.974,110.144,110.759,110.839,111.949,114.228,115.362,115.604,115.052,115.709,115.234,114.853
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,85.849,86.029,85.219,85.012,84.692,83.552,82.705,81.504,81.304,81.427,81.912,83.098,84.312,86.062,86.299,86.475,88.38,89.195,88.493,86.939,85.33,85.729,86.078,87.498,88.886,90.53,90.014,91.839,93.248,94.713,96.097,96.023,96.88,98.489,98.545,101.406,103.29,102.022,103.104,104.384,105.349,107.996,108.624,111.003,116.915,121.952,128.041,125.985,114.229,112.083,112.693,112.952,115.719,118.22,117.386,120.867,127.094,134.618,135.972,137.427,138.011,139.358,136.994,140.206
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,93.276,92.8,91.97,91.563,91.26,90.337,89.899,89.241,88.877,88.549,88.959,89.824,90.563,91.468,91.702,92.031,92.423,92.656,92.037,91.196,90.214,90.268,90.516,91.098,91.435,92.515,92.06,92.174,93.149,94.443,95.675,97.023,97.992,99.011,99.037,100.869,102.12,102.516,103.846,104.343,105.002,106.206,107.008,107.781,111.305,114.91,119.34,118.8,110.797,109.104,109.773,110.715,112.799,114.295,114.067,115.448,118.501,122.574,123.899,124.544,124.306,125.218,123.653,124.961
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,95.673,95.212,94.184,93.738,93.104,91.982,90.971,89.684,89.483,89.089,89.29,89.902,90.55,91.432,91.44,91.322,91.624,91.043,90.708,90.228,89.131,89.362,89.778,91.176,91.111,92.116,91.45,92.126,93.682,95.279,96.152,97.046,98.005,99.262,99.145,101.035,101.896,102.589,104.644,104.96,106.549,108.312,108.944,110.272,114.883,118.854,122.503,121.385,112.502,111.188,112.591,113.384,115.926,116.949,116.779,119.485,124.42,128.776,130.391,131.381,130.954,132.105,130.187,133.251
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,96.145,95.882,95.001,94.534,93.961,93.042,92.064,90.767,90.626,90.2,90.244,90.716,91.205,91.976,91.945,91.759,92.085,91.652,91.349,91.032,90.21,90.311,90.695,92.142,91.929,92.677,92.302,92.958,94.467,96.053,96.817,97.462,98.303,99.441,99.312,100.721,101.663,102.361,104.279,104.87,106.674,108.328,108.941,110.295,114.522,118.479,121.887,120.873,112.831,111.59,112.904,113.479,115.835,116.757,116.763,119.643,124.439,128.508,130.254,131.33,130.613,131.648,130.238,133.273
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,103.634,102.994,102.188,101.484,100.699,99.545,98.451,97.301,96.596,96.067,95.838,95.849,96.182,96.179,96.037,95.71,95.264,94.52,94.34,93.952,93.402,93.333,93.511,93.627,93.572,93.704,93.665,93.961,94.752,96.29,97.26,98.571,99.491,100.03,99.528,99.993,100.951,102.031,103.694,104.268,104.825,105.822,106.36,106.451,107.402,109.655,112.706,112.786,108.84,107.767,107.885,109.167,110.312,111.406,111.894,112.134,113.601,115.552,116.796,117.516,117.338,117.847,117.117,117.115
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,85.168,85.438,84.451,84.326,84.059,83.477,82.668,81.153,81.849,81.573,82.029,83.204,83.931,85.896,86.035,86.067,87.604,87.646,87.149,86.926,85.713,86.046,86.713,90.005,89.572,91.177,90.324,91.484,93.99,95.65,96.122,95.786,96.516,98.56,98.998,101.854,102.771,102.873,105.183,105.796,109.557,112.268,113.017,116.339,125.582,132.247,136.275,133.565,118.983,117.496,120.59,120.167,124.208,124.912,124.27,130.725,140.045,147.066,149.544,151.157,149.672,151.482,149.055,156.72
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,92.447,90.901,89.063,88.738,87.76,85.505,84.315,83.078,82.532,82.326,83.434,84.853,86.409,87.928,88.151,88.418,88.587,87.184,86.675,85.258,82.538,83.549,84.154,85.251,86.076,88.641,86.206,87.003,88.847,90.513,92.058,94.469,96.16,98.136,98.092,102.93,103.299,103.968,106.883,105.484,105.715,108.184,108.932,110.087,117.238,121.221,126.262,124.447,110.328,108.539,110.489,112.701,116.488,118.208,116.865,118.433,124.238,130.37,131.186,131.66,132.985,134.845,129.757,133.004
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
