"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"13","5","  Personal consumption expenditures","A794RC0",635,569,489,390,366,407,439,485,518,494,513,540,608,660,731,785,857,1021,1124,1194,1196,1267,1352,1399,1461,1478,1566,1615,1675,1701,1794,1836,1862,1947,2022,2144,2284,2446,2555,2780,2985
"14","6","    Goods","AGDSRC0",359,310,255,193,189,225,248,281,298,277,289,308,356,378,412,437,483,610,690,733,724,770,809,821,845,836,892,904,932,928,974,979,973,1013,1047,1106,1182,1270,1303,1418,1503
"15","7","      Durable goods","A795RC0",81,62,48,32,30,36,43,53,57,47,55,63,77,57,55,56,65,121,151,167,178,214,206,199,217,208,247,239,245,227,253,252,241,265,286,310,342,365,372,423,446
"16","8","      Nondurable goods","A796RC0",278,248,208,161,159,189,205,228,240,230,235,245,279,322,357,381,418,489,538,566,546,556,603,621,628,628,645,666,686,701,721,727,733,748,760,796,840,905,931,995,1057
"17","9","    Services","A797RC0",276,260,233,197,177,182,191,204,221,217,223,232,252,282,319,348,374,411,434,461,472,497,543,578,616,642,674,710,743,773,819,856,889,934,975,1038,1102,1176,1252,1362,1482
"18",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Gross domestic product","A939RX0",8009,7241,6719,5804,5695,6275,6786,7622,7964,7631,8181,8824,10232,11989,13760,14693,14369,12665,12313,12635,12354,13213,13995,14284,14698,14350,15115,15144,15174,14789,15582,15648,15753,16452,16925,17660,18560,19543,19819,20573,21003
"20","11","  Gross national product","A791RX0",8078,7306,6772,5846,5731,6306,6823,7654,8006,7674,8226,8862,10281,12038,13807,14741,14411,12718,12383,12718,12429,13294,14093,14383,14791,14448,15222,15259,15292,14890,15684,15757,15871,16583,17063,17806,18711,19684,19963,20726,21150
"21","12","  Disposable personal income","A229RX0",6495,6014,5755,4959,4784,5218,5682,6356,6532,6115,6571,6950,7915,8803,9083,9296,9074,8903,8405,8705,8611,9236,9348,9487,9784,9744,10221,10531,10594,10521,10798,10860,11047,11408,11666,12336,12933,13460,13898,14386,14699
"22","13","  Personal consumption expenditures","A794RX0",6041,5656,5436,4917,4780,5089,5363,5871,6051,5908,6187,6454,6845,6611,6703,6811,7153,7960,7958,7999,8080,8456,8444,8563,8825,8853,9341,9446,9507,9433,9800,9867,9907,10238,10507,10980,11530,12044,12271,12850,13200
"23","14","    Goods","AGDSRX0",2202,2007,1918,1683,1661,1801,1936,2179,2230,2164,2295,2417,2584,2359,2304,2293,2423,2842,2869,2876,2912,3086,2998,3013,3117,3096,3322,3313,3309,3222,3366,3357,3323,3441,3527,3686,3898,4098,4133,4345,4434
"24","15","      Durable goods","A795RX0",283,231,198,150,145,165,198,241,252,207,243,276,316,198,176,160,176,314,361,378,402,480,432,416,457,447,533,504,499,454,499,499,474,520,560,604,670,717,720,792,814
"25","16","      Nondurable goods","A796RX0",2278,2136,2096,1899,1880,2021,2124,2351,2394,2410,2499,2584,2714,2692,2672,2696,2832,3055,2979,2950,2942,2990,2984,3044,3087,3081,3184,3238,3244,3233,3322,3309,3321,3371,3395,3505,3636,3794,3834,3956,4026
"26","17","    Services","A797RX0",3545,3434,3321,3100,2967,3093,3179,3353,3489,3434,3539,3645,3825,3992,4251,4435,4622,4782,4711,4753,4784,4912,5115,5254,5386,5477,5652,5819,5913,6005,6196,6309,6435,6637,6820,7127,7427,7706,7935,8276,8560
"27","18","Population (midperiod, thousands)","B230RC0",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736
