"","Table 5#2#3U# Real Gross and Net Domestic Investment by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"11","3","      Equals: Net domestic investment","W171RA3",95.82,105.816,100.976,99.336,87.868,87.732,80.699,70.925,75.925,77.12,77.018,76.116,75.157,75.626,82.207,87.851,87.403,95.172,96.332,98.463,101.168,96.544,97.789,104.5,106.637,105.768,100.664,92.914,89.153,92.976,90.038,83.72,76.397,73.518,64.118,44.112,17.878,9.455,10.463,20.499,30.064,40.299,43.658,39.133,37.366,38.318,38.119,45.489,45.839
"12","4","Gross private domestic investment","A006RA3",86.586,92.581,91.135,91.181,86.364,86.084,84.259,79.386,82.028,83.018,83.23,83.242,83.343,83.865,86.932,90.222,90.693,94.634,95.849,97.82,99.893,98.113,99.207,102.787,104.33,104.183,102.714,99.741,98.75,100.953,100.184,97.759,94.633,93.176,89.061,80.314,68.61,64.317,64.782,70.067,75.037,79.562,81.333,79.848,80.6,81.869,82.135,86.346,87.716
"13","5","Less: Consumption of fixed capital","B024RA3",80.047,81.645,83.141,84.472,85.734,86.807,87.71,88.52,89.428,90.175,90.951,91.663,92.336,92.924,93.599,94.393,95.217,95.952,96.767,97.673,98.601,99.501,100.464,101.435,102.289,103.356,104.418,105.494,106.631,107.673,108.631,109.525,110.236,111.011,111.751,112.337,112.702,112.755,112.75,112.753,112.816,113.092,113.568,114.178,114.714,115.29,115.962,116.711,117.474
"14","6","Equals: Net private domestic investment","A557RA3",96.162,108.596,102.842,101.004,87.285,85.026,79.206,66.01,71.19,72.538,71.924,70.91,70.174,70.599,77.169,84.114,84.068,92.703,94.505,98.036,101.785,96.081,97.366,104.768,107.318,105.393,100.219,91.318,87.211,91.113,87.814,80.528,71.784,67.059,55.835,33.419,4.044,-6.614,-5.461,7.557,19.713,30.461,34.129,29.576,30.644,32.928,32.599,41.88,44.139
"15","7","  Fixed investment","A007RA3",87.955,90.167,90.487,90.764,90.227,88.816,87.875,85.649,84.863,84.535,84.429,83.82,83.937,86.121,88.919,90.584,90.405,93.193,95.158,96.765,97.949,99.692,100.977,101.381,103.749,103.277,101.952,100.52,100.223,101.096,100.749,99.491,97.363,96.078,92.989,86.48,78.473,74.91,75.041,74.327,74.541,77.935,78.38,79.812,80.052,81.829,84.362,85.656,86.906
"16","8","  Less: Consumption of fixed capital","B024RA3",80.047,81.645,83.141,84.472,85.734,86.807,87.71,88.52,89.428,90.175,90.951,91.663,92.336,92.924,93.599,94.393,95.217,95.952,96.767,97.673,98.601,99.501,100.464,101.435,102.289,103.356,104.418,105.494,106.631,107.673,108.631,109.525,110.236,111.011,111.751,112.337,112.702,112.755,112.75,112.753,112.816,113.092,113.568,114.178,114.714,115.29,115.962,116.711,117.474
"17","9","  Equals: Net fixed investment","A560RA3",100.232,103.396,101.89,100.531,97.202,91.933,88.13,81.193,77.777,75.78,74.305,71.644,70.899,75.561,81.654,84.672,82.936,88.909,92.661,95.357,96.937,99.99,101.774,101.299,106.016,103.155,98.125,92.799,90.277,90.886,88.514,83.915,77.379,72.898,63.865,46.341,25.339,16.16,16.503,14.676,15.125,23.36,23.756,26.463,26.245,29.885,35.307,37.448,39.454
"18","10","    Nonresidential","A008RA3",94.085,97.556,98.638,99.027,98.096,95.517,93.924,90.921,88.755,87.33,86.944,85.419,85.193,87.543,89.572,90.851,90.128,92.565,95.089,97.178,98.055,99.498,100.921,101.526,105.886,107.797,108.938,109.488,111.223,114.118,116.631,118.185,117.944,117.269,114.238,107.05,97.447,93.341,92.556,91.678,93.023,97.081,99.725,101.822,102.342,104.889,108.782,110.16,111.002
"19","11","    Less: Consumption of fixed capital","A753RA3",79.088,80.742,82.33,83.781,85.212,86.405,87.383,88.236,89.191,89.951,90.747,91.469,92.145,92.716,93.388,94.194,95.036,95.772,96.605,97.552,98.53,99.47,100.487,101.513,102.398,103.546,104.695,105.867,107.118,108.263,109.317,110.311,111.098,111.97,112.805,113.461,113.858,113.887,113.847,113.818,113.865,114.169,114.718,115.434,116.056,116.728,117.515,118.393,119.283
"20","12","    Equals: Net nonresidential","A593RA3",147.304,157.227,156.512,153.131,143.819,127.85,117.138,100.446,87.211,78.031,73.451,63.948,60.524,69.184,76.033,78.988,72.711,81.181,89.71,95.852,96.369,99.594,102.463,101.573,118.263,122.88,123.992,122.338,125.794,134.893,142.584,146.13,142.237,136.071,119.323,84.299,39.211,20.427,16.999,13.107,19.06,36.439,46.517,53.52,53.675,62.876,77.792,80.944,81.612
"21","13","      Structures","B009RA3",118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,115.08,122.401,129.246,131.584,131.86,134.869,133.594,130.057,118.078,106.721,100.894,92.013,85.704,87.261,88.169,90.399,86.974,91.511,94.631,94.419,94.857
"22","14","      Less: Consumption of fixed capital","B188RA3",92.952,93.433,93.935,94.431,94.895,95.374,95.859,96.29,96.627,96.88,97.094,97.292,97.481,97.691,97.93,98.169,98.407,98.659,98.929,99.201,99.49,99.826,100.171,100.513,100.91,101.413,102.001,102.629,103.311,103.989,104.691,105.393,106.127,106.865,107.617,108.337,108.864,109.191,109.451,109.666,109.858,110.065,110.305,110.564,110.769,110.996,111.281,111.567,111.83
"23","15","      Equals: Net structures","A594RA3",181.821,197.522,212.259,212.874,199.581,199.955,201.213,159.043,136.938,116.258,100.17,94.763,91.017,100.284,98.979,96.84,94.311,97.556,100.282,99.93,105.321,103.198,95.128,96.353,110.437,127.594,135.414,135.312,143.561,166.955,188.666,194.965,194.135,202.638,196.455,182.617,140.374,100.744,80.185,49.295,27.253,32.077,34.601,41.602,29.391,44.357,54.338,52.922,53.783
"24","16","      Equipment and software","B010RA3",86.812,89.896,90.113,90.46,90.18,86.853,84.67,84.048,82.967,82.74,83.495,81.954,81.943,84.144,86.818,88.603,87.837,90.666,93.663,96.385,96.951,99.015,101.699,102.334,106.721,107.314,107.855,108.471,109.728,110.781,111.475,112.69,112.22,109.945,106.148,97.33,88.76,87.812,89.194,91.7,96.309,101.463,104.873,106.925,109.174,110.839,115.077,117.175,118.199
"25","17","      Less: Consumption of fixed capital","B189RA3",75.649,77.546,79.365,81.023,82.668,84.025,85.117,86.07,87.172,88.055,88.994,89.849,90.65,91.315,92.099,93.055,94.059,94.927,95.917,97.057,98.236,99.358,100.581,101.825,102.871,104.236,105.578,106.939,108.392,109.708,110.891,111.991,112.798,113.721,114.586,115.216,115.562,115.479,115.329,115.211,115.205,115.544,116.205,117.087,117.864,118.699,119.673,120.775,121.902
"26","18","      Equals: Net equipment and software","A747RA3",133.127,141.136,134.707,129.618,121.35,98.585,82.814,75.661,65.52,60.69,60.678,49.196,45.816,54.39,64.908,70.132,62.023,72.986,84.307,93.599,91.62,97.595,106.339,104.446,122.698,120.084,117.302,114.828,115.272,115.232,113.898,115.589,109.822,94.28,71.14,23.115,-22.449,-26.982,-19.244,-5.851,17.902,43.038,57.855,64.761,73.12,78.225,96.005,102.238,102.834
"27","19","    Residential","A011RA3",75.867,75.349,74.027,74.091,74.43,75.477,75.885,75.24,77.249,79.143,79.604,80.82,81.601,83.454,87.708,90.085,90.898,94.318,95.274,96.03,97.776,100.05,101.075,101.099,100.024,95.488,89.974,85.182,81.458,78.89,73.635,67.531,62.104,59.721,56.484,51.072,45.79,43.133,44.932,44.495,42.68,44.933,41.427,41.684,41.428,41.855,41.991,43.159,45.176
"28","20","    Less: Consumption of fixed capital","A754RA3",85.701,86.325,86.937,87.54,88.144,88.748,89.355,89.962,90.574,91.209,91.86,92.521,93.192,93.868,94.57,95.298,96.031,96.762,97.49,98.208,98.915,99.634,100.361,101.09,101.811,102.528,103.219,103.886,104.542,105.144,105.688,106.159,106.541,106.891,107.214,107.491,107.711,107.874,108.023,108.171,108.303,108.453,108.607,108.748,108.897,109.048,109.203,109.369,109.56
"29","21","    Equals: Net residential","A748RA3",71.464,70.435,68.247,68.069,68.289,69.535,69.854,68.648,71.283,73.741,74.117,75.582,76.411,78.792,84.636,87.75,88.599,93.224,94.281,95.055,97.266,100.236,101.394,101.103,99.224,92.336,84.044,76.808,71.123,67.135,59.284,50.237,42.208,38.602,33.77,25.812,18.066,14.146,16.683,15.985,13.297,16.493,11.348,11.657,11.219,11.77,11.898,13.514,16.349
"30","22","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","23","Gross government investment \1\","A782RA3",89.356,87.873,88.559,88.765,90.005,95.079,90.155,94.67,96.422,96.863,98.335,98.624,98.144,98.801,101.576,101.094,100.551,101.901,101.338,99.379,98.397,99.563,100.358,101.682,101.893,104.434,103.237,103.507,103.436,105.156,105.441,105.907,106.725,110.419,111.693,110.445,108.581,111.109,111.68,109.125,107.274,110.345,111.38,110.322,103.821,101.728,102.564,101.59,98.145
"32","24","Less: Consumption of fixed capital","A264RA3",86.913,87.522,88.115,88.668,89.157,89.706,90.24,90.783,91.335,91.891,92.451,93.016,93.591,94.199,94.788,95.423,96.242,97.014,97.736,98.393,99.006,99.641,100.321,101.032,101.609,102.364,103.125,103.871,104.665,105.477,106.311,107.201,107.619,108.528,109.41,110.277,111.117,111.964,112.799,113.628,114.45,115.275,116.087,116.887,117.689,118.56,119.527,120.565,121.693
"33","25","Equals: Net government investment","A889RA3",93.684,88.495,89.346,88.937,91.505,104.596,90.005,101.555,105.432,105.669,108.759,108.559,106.21,106.954,113.6,111.141,108.184,110.558,107.718,101.126,97.319,99.426,100.423,102.833,102.397,108.102,103.434,102.861,101.26,104.589,103.9,103.615,105.14,113.769,115.738,110.744,104.09,109.594,109.699,101.147,94.563,101.611,103.041,98.693,79.254,71.911,72.515,67.977,56.433
"34","26","          Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","            National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","            Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","          State and local","B893RA3",110.374,105.217,105.64,106.804,109.85,121.725,104.651,116.512,119.19,115.466,115.811,116.846,114.863,112.413,118.591,115.475,112.937,113.767,107.84,102.76,100.259,100.482,98.314,100.944,98.874,103.516,101.729,98.415,99.331,98.898,97.987,98.684,98.844,100.714,99.661,93.46,91.737,94.239,92.565,85.807,78,81.683,82.533,76.905,66.868,61.584,61.042,60.632,54.162
"38","30","  Structures","A760RA3",99.18,95.988,96.613,96.806,98.685,106.313,97.525,105.03,106.979,105.58,106.388,107.829,107.115,106.445,109.979,107.994,107.06,107.84,104.597,100.888,100.142,99.824,99.234,100.8,99.109,101.871,100.851,100.201,99.83,100.419,99.624,99.53,99.188,101.527,102.239,100.833,99.958,101.282,101.324,97.853,94.374,97.842,98.712,95.93,90.194,86.756,86.623,85.697,82.675
"39","31","  Less: Consumption of fixed capital","B894RA3",89.515,89.966,90.427,90.88,91.34,91.809,92.289,92.791,93.298,93.816,94.337,94.854,95.393,95.924,96.438,96.967,97.491,97.997,98.48,98.94,99.378,99.8,100.213,100.609,100.634,101.042,101.469,101.903,102.326,102.763,103.182,103.611,103.905,104.144,104.468,104.864,105.335,105.793,106.22,106.619,106.993,107.367,107.728,108.078,108.412,108.771,109.14,109.546,109.968
"40","32","  Equals: Net structures","A895RA3",109.209,102.237,103.032,102.954,106.307,121.363,102.959,117.73,121.176,117.787,118.893,121.294,119.278,117.363,124.031,119.436,116.989,118.053,110.945,102.909,100.934,99.849,98.219,100.998,97.527,102.731,100.209,98.436,97.24,97.987,95.932,95.295,94.293,98.812,99.926,96.651,94.378,96.601,96.244,88.756,81.28,87.958,89.356,83.323,71.288,63.911,63.257,60.949,54.353
"41","33","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","            State and local","B899RA3",107.216,101.149,101.906,103.112,106.463,120.314,102.566,116.037,118.613,115.077,115.63,117.673,115.289,112.916,118.972,115.459,113.779,115.152,108.792,103.172,100.869,100.664,98.122,100.345,97.481,101.817,99.678,96.324,95.626,94.477,92.923,93.309,92.468,94.782,94.317,89.941,87.889,90.031,88.327,80.789,73.806,78.02,79.14,73.678,64.08,58.171,57.302,57.136,51.54
"45","37","  Equipment and software","A871RA3",74.464,75.2,75.959,76.19,76.57,78.132,78.516,78.844,80.282,83.303,85.701,84.334,84.203,86.791,88.42,90.15,90.171,92.362,95.959,96.809,95.465,99.098,102.258,103.179,106.755,108.912,107.401,109.387,109.84,113.727,116.129,117.712,120.905,127.353,129.782,128.89,124.945,130.005,131.694,131.117,132.739,134.928,136.303,138.954,130.943,131.798,134.722,133.669,129.395
"46","38","  Less: Consumption of fixed capital","B900RA3",84.607,85.338,86.033,86.665,87.177,87.79,88.367,88.942,89.531,90.119,90.711,91.317,91.921,92.594,93.25,93.978,95.06,96.071,97.013,97.856,98.636,99.478,100.426,101.459,102.609,103.728,104.847,105.932,107.139,108.378,109.693,111.123,111.688,113.4,114.951,116.391,117.686,119.015,120.349,121.707,123.079,124.459,125.829,127.185,128.568,130.078,131.797,133.636,135.665
"47","39","  Equals: Net equipment and software","A901RA3",12.567,13.335,14.48,12.269,11.838,19.192,18.399,17.217,23.839,41.708,55.128,41.721,37.107,51.376,58.947,66.785,60.333,69.73,89.524,90.42,76.113,96.779,113.435,113.673,132.059,140.548,122.989,130.471,126.325,146.366,155.412,157.922,177.149,212.505,220.288,205.163,169.242,197.076,200.926,188.547,191.685,198.812,200.22,210.776,145.431,142.296,152.572,133.868,91.13
"48","40","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            State and local","B907RA3",181.59,186.817,180.788,181.554,181.01,164.507,146.539,135.139,140.758,130.119,125.818,106.399,111.08,105.189,116.416,119.506,96.573,85.306,86.766,92.875,85.377,95.939,102.982,115.702,134.501,146.208,154.867,154.773,200.608,221.244,240.435,250.636,281.893,269.255,251.777,195.658,206.584,217.871,219.571,245.633,221.732,205.126,197.093,193.966,183.678,206.761,218.521,211.368,186.683
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","44","  Gross domestic fixed investment","W172RA3",88.186,89.837,90.212,90.477,90.21,89.79,88.241,87.046,86.65,86.44,86.577,86.106,86.132,88.081,90.875,92.21,91.975,94.543,96.119,97.173,98.02,99.673,100.88,101.427,103.459,103.456,102.152,100.991,100.731,101.74,101.492,100.511,98.861,98.394,96.028,90.399,83.43,80.898,81.105,80.082,79.946,83.277,83.823,84.825,83.907,85.013,87.245,88.142,88.573
"54","45","  Less: Consumption of fixed capital","A262RA3",81.137,82.579,83.933,85.141,86.281,87.271,88.115,88.883,89.734,90.45,91.192,91.881,92.538,93.129,93.791,94.559,95.382,96.124,96.924,97.789,98.667,99.523,100.441,101.369,102.179,103.194,104.207,105.228,106.308,107.312,108.249,109.143,109.804,110.602,111.365,112,112.446,112.637,112.778,112.925,113.121,113.493,114.028,114.672,115.255,115.883,116.606,117.407,118.235
"55","46","  Equals: Net domestic fixed investment","W173RA3",99.28,101.23,100.067,98.845,96.374,93.774,88.403,84.153,81.798,80.125,79.314,77.01,76.033,80.125,86.298,88.52,86.607,92.057,94.85,96.196,96.993,99.908,101.578,101.522,105.49,103.875,98.897,94.262,91.873,92.879,90.751,86.779,81.415,78.84,71.407,55.703,36.788,29.744,30.052,27.247,26.674,34.736,35.283,36.963,33.951,35.994,40.716,41.886,41.922
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note. Chain-type quantity indexes for net investment are computed from chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","(2005). Chained (2005) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
