"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","  Compensation of employees","A442RC1",34.2,30.8,25.4,19,18,21,23.1,26.3,30.5,27.3,29.8,32.9,41.6,52.8,64.1,67.1,64.1,69.9,82.1,91.1,88.8,98.7,114.6,123,134,132.2,144.6,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.9,288.5,308.4,341.3,378.6,400.2,425.3,472.5,533.9,587.4,614.9,695.2,784.8,901.8,1022,1120.1,1240,1293.8,1367.1,1513.9,1622.4,1720.4,1840,1980.4,2088.3,2200.6,2249.4,2375.5,2488.2,2634.8,2776,2914.9,3123.9,3396.8,3628.6,3950.7,3986.2,3980.7,4105.5,4265.9,4498.5,4743.4,4948,5005.9,4721.3
"12","5","    Wage and salary accruals","A443RC1",33.8,30.4,25,18.7,17.7,20.7,22.7,25.6,29.3,25.8,28.3,31.2,39.6,50.5,61.3,63.9,60.9,66.5,78,86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.2,855.6,935.6,1033.4,1073.1,1132.6,1256.8,1351.4,1432.3,1536.6,1656.7,1746,1838.2,1865.3,1958.4,2043.7,2163.6,2300.2,2438.6,2635.3,2868.6,3077.6,3344.4,3350.3,3294.4,3356.9,3507.8,3701.4,3930.9,4121.9,4162.9,3887.3
"13","6","    Supplements to wages and salaries","A444RC1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.3,1.4,1.5,1.6,2,2.3,2.8,3.2,3.2,3.4,4.1,4.2,4.4,5.7,7,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,35.9,40.6,44.2,49.1,57.8,69.3,78.5,86.4,104,122.1,145.6,166.3,184.5,206.6,220.7,234.4,257.1,271,288.1,303.5,323.7,342.3,362.4,384.1,417.1,444.5,471.2,475.8,476.3,488.5,528.3,551,606.3,635.9,686.3,748.5,758,797.1,812.5,826.1,843,834
"14","7","  Taxes on production and imports less subsidies","W321RC1",3,3,2.8,2.9,3.5,4.1,4.2,4.4,4.6,4.6,4.8,5.1,6.1,6.4,6.8,7.5,8.3,9.8,11.5,12.7,13.4,14.8,15.9,17.3,18.5,17.9,19.8,21.5,22.8,23.1,25.6,27.8,28.9,31.2,33.2,35.6,37.8,38.9,41.4,47.8,52.9,57,62.8,67.3,74.1,78.6,84.5,91.4,100,108.7,115,128.6,154.4,161.3,177.4,195.6,209,219.6,233.4,252,267.5,284.5,307.9,325.9,342,372.4,379.1,390.7,406.9,418.4,441.5,466.6,462.6,492.2,517.3,553.7,596.7,633.7,655.8,665.4,645.2
"15","8","  Net operating surplus","W322RC1",12.2,9.1,4.8,1.6,1.3,4.1,5.6,7.7,8.2,6.1,7.7,10.8,16.3,21.5,25.8,25.7,21.2,17.9,23.4,30.2,28.1,35,39.9,37.8,38.3,37.3,48,46.7,46.4,42,52.4,51.3,53,61.3,67,74.7,86.3,93.3,92.7,99.4,100,90.6,103.2,117.2,127.6,125,150.7,171.7,202.3,231.3,236.9,234.5,286.4,280.8,331.7,408.9,423.3,410.8,452.7,504.3,522.8,518.9,518,538.8,572.9,658.5,725.6,813.4,907.3,905.7,928.6,914.1,855.7,893.9,962.4,1145.4,1339.8,1520.3,1441.2,1404,1465
"16","9","    Net interest and miscellaneous payments","A453RC1",1.4,1.5,1.5,1.4,1.2,1.4,1.5,1.4,1.3,1.3,1.3,1.1,1,1,0.9,0.7,0.6,0.1,0.3,0,0,-0.1,-0.2,-0.2,0,0.2,0.2,0,0.2,0.6,-0.2,-0.2,0.4,0.7,0.4,0.8,1.2,2.3,4,3.9,7.8,11.3,11.5,11.3,13,20.7,23.4,18.8,23.3,27.5,34.9,55.9,77.7,90,86.6,98.8,96.9,106.3,107.6,107.8,130,125.8,102.6,80.6,73.5,75,64.7,69.3,94.8,142.2,139,166.6,154.2,116.2,99.4,48.6,61.6,120.4,174.8,334,367.9
"17","10","    Business current transfer payments (net)","W323RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,1.1,1.1,1,0.8,1.2,1.5,1.7,1.5,1.5,1.6,1.8,2,2.4,2.9,3.3,3,3.3,3.8,4.4,3.9,3.5,4,5,6.6,8.6,7.9,6.3,8.2,11.3,12.6,15.1,17.7,20.3,28,31.9,29.9,25.3,26.9,34.4,34.8,34.6,35.1,32.7,33.2,37.7,44.6,35.2,53.8,54.9,73.8,87,63.5,50.9,54.9,61.6,48.4,72.4,86.8,100
"18","11","    Corporate profits with IVA and CCAdj","A445RC1",10.4,7.2,2.8,-0.2,-0.3,2.3,3.7,5.9,6.6,4.5,6.1,9.4,14.9,20.1,24.4,24.4,19.9,17.2,22.5,29.6,27.6,34.4,39.1,37,37.3,36.4,46.6,45.2,44.5,39.9,51.1,50,50.9,58.6,64.3,71.1,81.8,88,85.4,91.6,87.9,75.4,88.2,101.9,109.6,97.7,118.7,145.1,172.7,195.6,190.7,166,193.6,173.1,224.8,282,294.4,274.7,319.8,369.6,358.4,358.4,380.8,423.1,466.8,550.3,623.2,699.5,777.3,709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1193.9,983.2,997.1
"19","12","      Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,451.5,292.2,314.8
"20","13","      Profits after tax with IVA and CCAdj","W273RC1",9.1,6.4,2.3,-0.6,-0.8,1.6,2.7,4.5,5.1,3.5,4.6,6.5,7.3,8.6,10.3,11.4,9.2,8.1,11.2,17.2,17.4,16.4,16.5,17.6,17,18.7,24.6,23.2,23.1,21,27.4,27.2,28,34.5,37.9,42.9,50.8,54.1,52.5,52,47.9,40.6,50.1,59.6,59.6,44.9,67,79.8,98.3,110.7,100.7,78.8,109.3,106.6,144.1,184.5,195,165,189.4,228,212.4,212.9,242.2,274.4,295.7,357.1,405.4,468.1,531.9,461.3,476,408.5,411.2,522,568.3,735.8,804.3,878.2,742.4,691,682.3
"21","14","        Net dividends","A449RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.4,160,182.3,197.6,221.6,257.3,284,309.2,295.7,348.5,330.1,351.2,392.8,488,296.5,626.9,641.6,543.3,458.9
"22","15","        Undistributed profits with IVA and CCAdj","W274RC1",3.5,1,-1.7,-3.2,-2.8,-0.9,0.1,0.1,0.5,0.6,1.1,2.8,3.1,4.6,6.1,7.1,4.8,3,5.6,11,11,8.6,9.1,10.1,9.3,10.9,15.7,13.7,13.3,11.1,16.7,15.8,16.5,22.1,24.3,27.9,33.9,36.3,34.2,31.8,27.5,20.3,29.7,37.6,36.5,21.4,40.6,49.7,64.6,71.1,59.2,31.4,50.9,45.3,72.8,106,109.3,76.7,93.8,130,86,68.8,85.9,114.5,113.4,159.6,183.8,210.7,247.9,152.1,180.3,60.1,81.1,170.8,175.5,247.8,507.8,251.3,100.8,147.7,223.4
"23","16","    Gross value added of financial corporate business \1\","A454RC1",4,2.9,2.4,2.1,1.9,2,2.2,2.5,2.6,2.8,2.9,3,3.3,3.4,3.8,4,4.2,5.1,5.3,6.1,6.8,7.3,8.2,9.2,10.2,10.8,11.8,12.9,13.8,14.7,15.9,17.5,18.4,19.3,19.7,21.6,23.2,25.1,28.1,31.3,36.2,39.4,43.1,47.3,51.8,60,67.8,73.2,85.7,103.4,114.6,128.5,146.8,164.7,187.6,209.9,232.6,257.4,281.7,300.1,330.3,341.8,363.3,401.1,424.8,433,469.5,505.6,566.4,630.9,669,737,782.2,815,856.9,896.7,995.1,1083,1055.9,1140.6,1205.5
"24","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",50.4,44.9,35.1,25.4,24.7,31.1,34.5,39.7,45.2,39.7,43.9,50.4,65.8,83.1,98.8,102.3,95.5,99.4,120.6,138.4,134.7,153.1,175.7,183.4,195.9,192.9,217.7,232.7,243.1,237.1,266,276.4,283.7,309.8,329.9,356.1,391.2,429,451.2,497.8,540.5,558.3,603,669.4,750.8,809.8,876.7,989.7,1119.4,1272.7,1414.4,1534.5,1742.2,1802.6,1929.1,2161.4,2293.9,2383.2,2551,2765.4,2899.2,3035.2,3104.1,3241.1,3398.4,3677.6,3888,4119.4,4412.5,4668.3,4955.5,5279.4,5252.5,5307.7,5503.7,5877.5,6302.8,6740.3,6970.1,6971.5,6667.7
"25","18","Consumption of fixed capital","B456RC1",4.8,4.6,4.3,3.8,3.6,3.7,3.8,3.8,4.2,4.3,4.3,4.4,4.9,5.5,5.6,5.7,5.9,6.7,8.5,10,10.8,11.5,13.1,13.9,14.8,15.6,16.5,18.5,20.5,21.8,22.7,23.1,23.7,24.5,25.6,27,29.1,31.9,35.2,38.7,42.9,47.5,52,56.5,63.1,74.2,88.6,97.8,110.1,125.1,144.3,166.7,192.4,212.8,219.3,228.8,244,258,270,287.3,303.9,321,336.1,344.1,359,380.1,408.3,435.1,466.9,499.9,539.3,590.1,632,654.5,669,695.6,743,800.9,849.4,898.4,902
"26","19","Net value added","A457RC1",45.6,40.2,30.8,21.6,21,27.4,30.8,35.9,41,35.4,39.6,46,60.9,77.6,93.2,96.6,89.6,92.7,112.1,128.4,123.9,141.6,162.6,169.4,181.1,177.3,201.3,214.2,222.6,215.3,243.3,253.3,260.1,285.2,304.3,329,362.1,397.1,416,459.1,497.5,510.8,551.1,613,687.6,735.7,788,892,1009.2,1147.5,1270.2,1367.8,1549.8,1589.8,1709.8,1932.6,2049.9,2125.2,2280.9,2478.1,2595.3,2714.2,2768,2897,3039.3,3297.5,3479.7,3684.4,3945.6,4168.5,4416.3,4689.4,4620.5,4653.1,4834.7,5181.9,5559.8,5939.4,6120.6,6073,5765.8
"27","20","  Compensation of employees","A460RC1",32.1,28.8,23.5,17.4,16.6,19.6,21.5,24.6,28.8,25.5,28,31,39.6,50.8,62,64.8,61.7,66.9,78.8,87.5,84.9,94.4,109.8,117.8,128.2,125.9,137.9,150.8,158.4,155.2,170.8,180.4,184.5,199.3,210.1,225.7,245.4,272.9,291.1,321.9,357.1,376.5,399.4,443.9,502.2,552.2,575.5,651.4,735.3,845.1,958.4,1047.2,1157.6,1200.4,1263.1,1400,1496.1,1575.4,1678.4,1804.7,1905.7,2005.5,2044.8,2152.9,2244,2382.1,2511.5,2631.3,2814.6,3049.7,3256.5,3541.8,3559.4,3544.2,3651.3,3786.7,3976.3,4182.3,4364.2,4427.9,4178.4
"28","21","    Wage and salary accruals","B461RC1",31.8,28.4,23.2,17.1,16.3,19.3,21.2,24.1,27.6,24.2,26.6,29.5,37.8,48.6,59.3,61.8,58.6,63.6,74.8,83.4,80.7,88.9,103.1,110.5,120.4,117.7,128.5,140.1,146.5,143.3,156.9,165.1,168.6,181.2,190.6,204.5,222.2,245.2,261.6,288.1,318.8,334.9,353.5,389.9,437.3,478.5,495.1,554.6,621.6,709,802.5,874.7,964.3,995,1044.7,1160.1,1243,1307.3,1397,1506,1590.1,1672.3,1692.3,1771.3,1838,1951.3,2077.5,2196.6,2369.3,2568.3,2755.6,2991.1,2989.9,2936.7,2979,3105.5,3267.5,3462.3,3627.3,3677.2,3435.7
"29","22","    Supplements to wages and salaries","B462RC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.6,1.2,1.3,1.4,1.5,1.9,2.2,2.7,3.1,3,3.2,4,4,4.2,5.4,6.8,7.2,7.8,8.2,9.4,10.7,11.9,11.9,13.9,15.4,15.9,18.1,19.5,21.1,23.2,27.6,29.4,33.7,38.3,41.5,46,54,64.8,73.7,80.4,96.8,113.7,136.2,155.9,172.5,193.4,205.4,218.3,239.9,253.1,268.1,281.4,298.7,315.6,333.2,352.4,381.6,406,430.9,433.9,434.7,445.3,481.4,501,550.7,569.5,607.5,672.3,681.2,708.8,720,736.9,750.7,742.7
"30","23","  Taxes on production and imports less subsidies","W325RC1",3,3,2.8,2.9,3.4,4,4.1,4.3,4.5,4.5,4.7,5,5.9,6.3,6.6,7.3,8.1,9.5,11.2,12.4,13,14.4,15.4,16.8,17.9,17.3,19.2,20.8,22,22.3,24.4,26.6,27.6,29.9,31.7,33.9,36,37,39.3,45.5,50.2,54.2,59.5,63.7,70.1,74.4,80.2,86.7,94.6,102.7,108.8,121.5,146.7,152.9,168,185,196.6,204.6,216.8,233.8,248.2,263.5,285.7,302.5,318,347.8,354.2,365.6,381,393.1,414.6,439.4,434.5,461.9,484.2,517.7,558.4,593.3,612.8,621,601.9
"31","24","  Net operating surplus","W326RC1",10.5,8.5,4.4,1.2,1,3.8,5.1,7,7.7,5.4,6.9,10,15.3,20.5,24.6,24.4,19.8,16.3,22.1,28.6,26.1,32.8,37.4,34.9,35,34,44.2,42.6,42.2,37.8,48.1,46.3,47.9,56.1,62.5,69.5,80.7,87.2,85.6,91.7,90.3,80.1,92.1,105.4,115.4,109.1,132.4,153.9,179.3,199.7,203,199.1,245.5,236.5,278.7,347.5,357.2,345.2,385.6,439.6,441.5,445.2,437.5,441.6,477.3,567.5,614,687.5,750,725.7,745.1,708.2,626.7,647.1,699.2,877.5,1025.1,1163.7,1143.7,1024.1,985.5
"32","25","    Net interest and miscellaneous payments","B471RC1",1.4,1.6,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.3,1.2,1.2,1.1,1,0.9,0.7,0.8,0.8,1,0.9,1,1.2,1.3,1.6,1.6,1.8,2.2,2.8,2.9,3.2,3.7,4.3,4.7,5.2,5.8,7,8.4,9.7,12.7,16.6,17.6,18.6,21.8,27.5,28.4,26,28.5,33.4,41.8,54.2,67.2,77.4,77,86,91.5,98.5,95.9,107.9,133.9,143.1,139.6,114.2,99.8,98.8,112.7,112.1,124.7,146.8,164.5,192.8,197.7,163.7,147.9,134.4,148.2,164,228.1,242.1,227.4
"33","26","    Business current transfer payments (net)","W327RC1",0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.5,0.6,0.6,0.6,0.6,0.8,0.9,1,0.9,1,1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.7,2,2.2,2.7,2.8,3.1,3.2,3.3,3.7,4,4.7,4.1,5,7,9,9.5,9.5,10.2,11.4,8.8,10.5,11.7,16.1,27.3,29.9,27.4,24,25.4,26.6,31.3,30.1,35.3,30.7,38,39.2,35.2,47.1,47.9,58.9,56.3,65.2,65.5,79.3,75.8,68.6,70.4,77.8
"34","27","    Corporate profits with IVA and CCAdj","A463RC1",8.9,6.6,2.3,-0.9,-1,1.8,3.2,5.1,5.8,3.6,5.2,8.3,13.7,18.9,23,22.8,18.2,15.2,20.8,27.1,24.5,31.3,35.6,32.8,32.8,31.6,41.6,39.8,38.8,33.8,43.8,41.7,42.7,50.1,56.1,62.4,72.7,77.5,74.4,78.9,74.4,60.2,70.8,82.8,88.9,77.5,98.9,121,141.9,156.8,151.8,134.7,166.8,150.2,191.2,249.8,249.6,219.5,259.9,304.3,283.5,276.7,271.3,296.1,347.5,433.5,470.6,537.4,586.2,543.7,533.5,467.5,370.1,427.2,486.1,677.5,797.6,923.9,846.9,711.6,680.3
"35","28","      Taxes on corporate income","B465RC1",1.1,0.7,0.5,0.3,0.5,0.7,0.9,1.3,1.4,0.9,1.3,2.7,7.4,11.1,13.7,12.6,10.2,8.6,10.8,11.7,9.3,16.8,21.1,17.7,18.4,15.5,20.1,19.9,19,16.1,20.7,19.1,19.4,20.6,22.8,23.9,27.1,29.5,27.8,33.5,33.3,27.3,30,33.8,40.4,42.8,41.9,53.5,60.6,67.6,70.6,68.2,66,48.8,61.7,75.9,71.1,76.2,94.2,104,101.2,98.5,88.6,94.4,108,132.4,140.3,152.9,161.4,158.7,171.4,170.2,111.2,97.1,132.9,187,271.9,307.6,299.3,237.8,222.1
"36","29","      Profits after tax with IVA and CCAdj","W328RC1",7.7,5.8,1.9,-1.2,-1.5,1.1,2.3,3.8,4.4,2.7,3.8,5.6,6.4,7.7,9.3,10.2,8,6.6,10,15.4,15.2,14.5,14.5,15.2,14.4,16,21.4,19.8,19.9,17.7,23.1,22.6,23.3,29.5,33.4,38.5,45.5,48,46.5,45.4,41,32.9,40.8,49,48.5,34.6,57,67.5,81.3,89.2,81.2,66.5,100.8,101.5,129.5,173.9,178.6,143.2,165.7,200.3,182.3,178.3,182.7,201.7,239.5,301.1,330.3,384.5,424.8,385.1,362.1,297.3,258.8,330.1,353.2,490.6,525.8,616.2,547.6,473.8,458.2
"37","30","        Net dividends","B467RC1",5.1,5,3.8,2.4,2,2.7,3.2,4.3,4.4,2.7,3.4,3.7,4.1,3.8,3.9,4.1,4.1,4.9,5.4,5.9,6,7.4,7,7.1,7.2,7.4,8.4,9,9.2,9.1,9.8,10.5,10.6,11.6,12.4,14,16.2,16.8,17.3,19,19,18.3,18.1,19.7,20.8,21.5,24.6,27.8,30.9,35.9,37.6,44.7,52.5,54.1,63.2,67.2,72,72.9,76.3,82.2,105.4,118.3,125.5,134.3,149.2,158,178,197.6,215.9,241,224.7,251.3,245.4,254.8,293.4,364.5,170.9,471.1,465.2,409.3,361
"38","31","        Undistributed profits with IVA and CCAdj","W332RC1",2.6,0.9,-1.9,-3.6,-3.5,-1.6,-0.9,-0.5,0,-0.1,0.4,1.9,2.2,4,5.4,6.2,4,1.7,4.7,9.6,9.2,7.2,7.5,8.1,7.2,8.7,13,10.8,10.6,8.6,13.3,12.1,12.7,17.9,20.9,24.5,29.3,31.2,29.3,26.4,22,14.6,22.7,29.3,27.8,13.1,32.5,39.7,50.4,53.3,43.5,21.9,48.3,47.4,66.2,106.7,106.6,70.4,89.4,118.2,77,60,57.2,67.4,90.3,143.1,152.2,186.9,208.9,144,137.4,46,13.4,75.3,59.8,126.1,354.9,145.1,82.4,64.5,97.3
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","32","    Profits before tax (without IVA and CCAdj)","A446RC1",10.4,4.2,0.4,-1.4,1.7,3,4.1,6.8,7.2,4.1,7.3,10.2,18,21.7,25.2,24,19.7,24.2,31,34.6,28.5,42,43,38.3,39.9,37.4,47.5,47.6,46,40.4,51,48.5,48.3,53.2,58,64.6,75.4,82.2,78.8,86.8,84.8,73.9,85,98.7,120.1,130.3,130.9,163.2,191.4,223.3,237.5,218.1,214.1,166,198.9,232,219.4,206.5,275.1,332.9,323.3,335.6,348.9,401.3,442.1,521.1,591.3,638.8,694.2,620.1,659,626.8,543,607.5,737.7,1024.4,1400.7,1565.9,1426.6,1085.5,1115.8
