"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","        Structures","A760RA3",19.118,23.207,24.138,21.154,16.361,18.676,19.541,29.24,25.467,27.948,30.606,29.207,44.942,74.758,40.057,19.35,14.73,8.735,13.185,18.274,25.277,29.112,34.573,38.975,41.052,43.911,43.534,44.34,47.058,52.746,53.735,53.554,58.016,58.84,62.034,64.709,68.442,72.153,73.71,75.902,71.754,66.447,65.791,62.775,62.656,62.077,61.767,60.84,57.649,63.286,64.545,64.838,59.259,54.432,54.397,59.398,65.216,69.4,71.697,72.103,72.174,77.162,78.96,80.27,79.023,78.822,81.672,85.018,88.954,88.903,94.145,97.147,101.888,106.694,107.883,105.096,100,100.508,103.762,103.617,105.595
"12","5","        Equipment and software","A871RA3",0.603,0.566,0.659,0.586,0.604,1.045,1.182,1.056,1.154,1.397,1.519,1.599,10.014,40.898,81.688,91.412,64.443,4.888,3.875,5.485,7.554,6.057,16.408,22.465,25.417,21.024,17.444,17.094,16.323,16.999,20.848,19.492,21.953,23.878,22.112,21.733,20.544,23.531,25.887,23.018,20.985,19.74,13.724,11.977,13.431,16.348,17.641,19.118,19.463,20.209,23.196,24.958,26.831,29.558,34.953,40.539,47.828,53.573,57.993,56.95,61.739,65.463,64.423,64.429,60.485,58.362,58.845,60.802,60.785,66.473,73.008,75.454,78.015,83.405,87.391,93.825,100,108.114,111.538,122.76,125.012
"13","6","Federal","B823RA3",2.851,3.158,3.266,3.34,4.13,5.541,5.639,8.514,7.666,8.465,9.077,10.163,26.817,82.37,130.288,148.703,127.726,34.335,25.367,27.378,30.046,28.399,47.155,61.369,66.331,57.637,52.422,51.508,53.343,53.32,54.992,53.496,55.739,60.488,60.526,59.725,59.697,66.303,72.903,73.491,70.969,65.738,60.677,58.197,55.748,56.243,56.426,56.453,57.647,59.092,60.519,63.39,66.42,68.989,73.561,75.829,81.771,86.407,89.477,88.01,89.379,91.185,91,89.351,85.842,82.555,80.353,79.423,78.641,77.758,79.27,79.661,82.901,88.953,94.839,98.71,100,102.127,103.434,111.362,117.154
"14","7","    Consumption expenditures","B957RA3",3.621,3.86,3.76,3.616,4.238,5.691,5.213,9.223,8.15,9.267,10.306,10.831,20.357,60.553,106.273,132.108,124.986,42.155,30.901,31.914,33.573,32.023,48.292,61.695,66.397,58.717,55.321,54.366,57.309,56.201,55.967,55.15,56.176,61.508,63.11,62.714,63.529,70.498,78.516,81.222,79.449,73.68,70.001,68.034,64.183,63.628,63.105,62.326,63.554,64.835,65.744,68.574,71.623,74.066,77.682,78.67,83.345,86.96,88.94,88.612,89.901,91.248,91.447,89.43,86.582,84.14,81.679,80.247,80.341,78.662,79.699,80.493,83.953,89.545,95.492,99.176,100,101.397,102.189,109.048,114.385
"15","8","    Gross investment","B787RA3",0.968,1.4,1.98,2.611,3.842,5.144,6.632,6.695,6.417,6.412,5.943,8.365,40.6,129.01,181.624,183.028,128.343,9.575,7.829,12.607,17.911,16.105,40.145,55.314,60.563,49.794,39.837,39.113,37.73,40.739,47.576,44.324,49.78,52.484,48.057,46.144,43.584,48.592,50.288,44.069,39.269,36.092,26.75,22.697,24.734,28.456,30.892,33.511,34.518,36.414,39.476,42.338,45.179,48.094,55.948,62.929,73.668,82.338,90.013,83.503,85.202,89.073,87.098,87.239,80.57,73.2,72.319,73.921,68.592,71.995,76.09,74.209,76.144,84.947,90.432,95.539,100,107.248,112.264,128.02,137.151
"16","9","      Structures","B801RA3",22.978,32.56,46.399,67.045,94.587,101.583,134.581,143.654,136.411,125.14,109.954,165.082,552.548,1221.552,658.551,291.946,194.709,27.18,37.091,74.812,102.514,120.044,204.703,276.053,275.628,234.392,175.531,180.286,192.798,223.988,223.131,217.222,235.743,224.883,214.474,203.515,203.463,205.791,165.642,153.312,143.283,132.625,154.604,150.977,156.601,148.781,150.78,150.939,154.824,171.905,156.192,164.945,161.063,148.72,156.537,157.293,173.84,186.933,203.968,167.916,148.344,152.614,145.695,161.642,167.237,155.873,163.96,159.988,142.985,143.779,134.56,109.67,104.103,119.261,129.528,112.698,100,103.659,120.288,132.686,161.391
"17","10","      Equipment and software","B872RA3",0.104,0.168,0.229,0.164,0.335,1.097,1.321,1.135,1.124,1.464,1.544,1.864,16.131,68.048,136.613,152.931,107.681,7.413,5.288,7.693,11.136,8.555,26.169,36.378,41.304,33.534,27.462,26.55,24.636,25.782,32.08,29.413,33.447,36.443,32.941,31.752,29.414,33.907,37.64,32.536,28.612,26.242,16.114,12.492,14.026,17.965,20.18,22.694,23.418,24.155,28.178,30.402,33.53,37.354,44.653,51.609,61.195,68.977,75.435,71.916,75.555,79.228,77.819,76.385,68.739,62.05,60.268,62.414,58.526,62.165,67.817,68.868,71.782,79.647,84.419,92.803,100,107.862,110.764,127.155,132.518
"18","11","  National defense","B824RA3",2.207,2.368,2.376,2.385,2.311,2.045,2.497,2.973,2.994,3.127,3.444,6.023,32.57,118.968,193.814,221.237,190.581,45.571,30.703,30.979,32.534,32.108,62.009,82.391,87.671,75.095,67.893,67.389,70.237,69.881,68.485,67.385,70.368,74.623,72.838,69.951,68.481,78.306,88.567,90.001,85.556,77.8,68.981,63.588,60.061,59.595,59.03,58.828,59.511,60.019,61.845,64.541,68.628,73.814,79.11,82.971,90.002,95.766,100.301,99.826,99.335,99.305,98.214,93.351,88.401,84.072,80.936,79.856,77.618,75.978,77.386,76.986,79.908,85.782,93.243,98.535,100,101.588,103.806,111.939,117.992
"19","12","    Consumption expenditures","B997RA3",2.905,3.031,2.936,2.981,2.802,2.397,3.056,3.2,3.111,3.313,3.718,5.772,23.447,85.456,157.281,194.337,186.016,56.207,38.382,36.679,36.707,37.523,63.848,82.528,86.241,75.141,70.247,70.419,75.205,73.546,67.967,68.785,70.49,75.345,76.168,74.181,74.436,84.941,96.109,100.214,96.286,87.549,80.747,75.82,70.33,68.066,66.376,65.239,65.905,66.619,67.458,70.094,74.08,79.047,83.255,85.797,90.955,95.114,98.637,99.764,99.046,98.38,98.279,93.189,89.519,85.53,82.457,81.294,80.072,77.935,79.166,78.445,81.296,86.597,94.027,98.936,100,100.823,102.432,109.088,114.456
"20","13","    Gross investment","B788RA3",0.304,0.551,0.85,0.751,0.999,1.139,1.008,2.498,2.837,2.787,2.878,6.961,56.586,207.112,295.384,300.858,208.072,12.448,6.713,13.043,19.073,15.007,53.312,77.13,86.433,70.427,56.927,54.483,51.642,55.043,65.606,59.129,65.581,67.845,58.568,53.156,46.435,53.651,60.558,53.098,47.039,42.803,27.267,20.371,22.968,28.028,31.107,33.921,34.613,34.413,39.345,42.1,46.384,52.164,61.212,69.915,84.168,96.419,105.285,97.43,98.022,101.011,95.168,91.56,80.355,74.465,71.109,70.472,63.019,64.053,66.396,67.779,71.074,80.367,88.002,95.813,100,106.959,113.578,132.547,143.626
"21","14","      Structures","B808RA3",9.038,15.204,22.992,23.053,23.678,32.302,27.118,76.414,90.982,80.301,69.901,230.812,1262.665,3078.095,1616.027,711.524,468.379,71.894,30.963,69.186,68.323,88.126,335.515,530.004,538.887,454.961,349.874,326.24,333.654,372.075,359.518,317.726,338.179,279.663,228.883,175.463,155.978,164.069,150.8,147.185,158.119,129.935,163.588,147.538,145.048,132.693,129.016,114.081,115.271,116.733,99.148,115.575,110.19,129.913,154.269,149.54,182.748,198.594,214.019,197.899,159.087,147.867,109.177,120.532,116.529,121.288,135.07,123.517,116.532,108.127,95.973,92.147,87.537,93.561,113.52,104.745,100,99.971,122.695,147.71,191.05
"22","15","      Equipment and software","B873RA3",0.085,0.176,0.281,0.201,0.384,0.34,0.328,0.645,0.655,0.805,1.06,1.449,22.926,116.547,238.049,268.396,186.329,9.707,5.516,10.402,16.343,11.727,40.918,57.644,66.563,53.679,43.995,42.394,39.376,41.425,52.159,47.216,52.83,56.907,49.53,46.006,40.1,46.876,54.095,46.899,40.506,37.4,20.615,14.363,16.907,22.372,25.599,29.02,29.66,29.399,35.115,37.122,41.717,46.638,54.646,63.656,76.496,88.179,96.439,89.253,92.334,96.207,92.642,88.09,76.571,70.024,65.499,65.665,58.259,60.034,63.553,65.372,69.366,78.949,85.366,94.854,100,107.763,112.414,130.625,137.654
"23","16","  Nondefense","B825RA3",4.065,4.661,4.974,5.183,7.785,12.621,11.986,19.712,17.132,19.265,20.48,18.747,16.69,13.315,10.481,11.891,9.15,13.158,15.392,21.082,26.152,21.973,18.679,20.945,25.293,24.081,22.706,20.938,20.768,21.42,29.138,26.83,27.642,33.377,36.946,40.157,42.878,43.32,42.913,41.897,43.019,42.567,44.575,47.722,47.429,49.891,51.594,52.085,54.324,57.7,58.309,61.573,62.396,59.402,62.471,61.279,64.9,67.13,67.081,63.499,68.795,74.465,76.17,81.218,80.687,79.525,79.207,78.577,80.737,81.374,83.095,85.066,88.945,95.357,98.071,99.067,100,103.237,102.653,110.153,115.394
"24","17","    Consumption expenditures","B542RA3",4.762,5.22,5.122,4.579,6.883,12.157,9.289,21.018,18.02,20.926,23.206,20.818,14.891,12.802,9.371,13.904,8.754,15.415,16.621,23.354,28.473,22.089,18.441,21.663,28.24,27.156,26.667,23.415,22.684,22.661,32.777,28.741,28.447,34.662,37.746,40.393,42.261,42.467,44.434,44.473,46.77,46.631,48.822,52.549,51.941,54.832,56.663,56.604,58.962,61.396,62.453,65.701,66.78,63.853,66.223,63.815,67.476,69.933,68.552,65.055,70.701,76.394,77.236,81.762,80.635,81.377,80.157,78.179,80.937,80.174,80.825,84.638,89.317,95.495,98.458,99.664,100,102.578,101.675,108.959,114.214
"25","18","    Gross investment","B798RA3",2.153,2.934,4.037,5.927,8.889,12.21,16.461,14.318,13.019,13.087,11.644,11.618,18.098,12.63,11.489,6.401,8.733,5.35,10.64,12.965,17.404,19.773,17.73,17.218,15.099,13.626,9.752,12.446,13.891,16.481,16.504,19.461,23.548,27.479,32.323,37.079,42.341,43.528,35.365,30.937,28.082,26.605,27.888,28.906,29.706,30.587,31.768,34.094,35.826,42.403,41.389,44.599,44.465,41.322,46.91,50.392,53.81,55.101,60.473,56.566,60.373,65.909,71.33,78.714,80.954,70.633,74.762,80.934,79.962,88.219,95.922,87.287,86.443,94.26,95.384,94.979,100,107.841,109.55,118.607,123.687
"26","19","      Structures","B830RA3",26.069,35.765,50.327,77.618,113.729,118.918,164.999,153.627,137.185,127.347,112.199,108.048,112.461,85.545,74.417,36.327,28.192,-0.594,41.871,80.174,126.398,142.944,123.829,115.517,109.069,94.847,65.197,88.285,104.121,131.006,137.815,155.332,172.897,192.621,208,224.198,236.509,235.219,177.425,159.348,135.334,136.329,150.693,155.591,167.286,162.945,169.322,180.711,186.689,215.872,201.615,204.133,201.397,164.846,160.575,165.501,169.266,180.397,198.915,146.56,142.239,159.344,178.458,198.483,212.303,186.876,190.049,192.665,166.801,175.713,169.053,125.456,119.026,142.36,143.942,119.861,100,106.992,118.085,119.169,135.029
"27","20","      Equipment and software","B880RA3",0.164,0.211,0.23,0.165,0.37,2.43,3.038,2.128,2.084,2.796,2.563,2.807,7.583,4.93,4.659,2.859,5.032,4.24,4.999,3.673,3.328,3.834,3.786,4.067,2.908,2.943,2.35,2.524,2.267,1.964,1.399,2.183,3.72,4.996,7.172,9.185,11.817,12.727,11.344,9.622,9.426,8.322,8.137,8.481,8.106,9.146,9.492,10.284,11.121,13.676,14.343,16.972,17.178,18.804,24.844,27.628,30.525,30.268,33.086,36.694,41.258,44.429,47.162,51.8,51.966,45.071,49.027,55.403,59.185,66.949,77.421,76.709,77.165,81.131,82.127,87.935,100,108.101,106.727,118.576,119.733
"28","21","State and local","B829RA3",10.62,11.69,12.197,11.629,10.421,10.956,11.306,11.371,11.369,12.035,13.229,12.794,11.982,10.867,9.876,9.525,9.855,10.837,12.329,13.112,15.108,16.349,16.475,16.749,17.578,19.115,20.494,21.156,22.408,24.312,25.232,26.338,27.961,28.818,30.552,32.626,34.813,36.998,38.868,41.168,42.557,43.738,45.077,46.068,47.381,49.164,50.97,51.346,51.532,53.216,53.998,53.958,52.873,52.898,53.514,55.444,58.879,62.669,63.575,65.933,68.34,71.112,72.585,74.156,75.244,77.197,79.247,81.09,83.98,87.291,91.179,93.744,97.236,100.473,100.408,100.234,100,100.91,102.886,103.355,103.172
"29","22","  Consumption expenditures","B991RA3",9.961,10.608,11.221,11.389,11.208,11.486,12.182,9.912,10.747,10.807,11.482,12.153,12.589,12.894,12.779,12.529,12.824,13.222,14.113,14.262,15.525,16.489,16.437,16.66,17.224,17.954,19.137,19.831,20.886,22.518,23.459,24.803,26.163,26.91,28.228,30.09,32.063,34.024,35.589,37.896,40.299,42.714,44.816,46.515,48.127,50.32,52.81,53.54,54.56,55.659,56.025,55.905,55.684,56.506,57.146,58.217,61.25,65.137,65.913,68.142,70.358,72.605,74.067,75.803,77.334,79.292,81.105,82.592,84.794,88.344,91.538,93.537,96.75,99.938,99.628,99.616,100,100.717,102.523,103.255,103.085
"30","23","  Gross investment","B799RA3",12.683,14.837,15.082,12.363,8.125,9.325,8.772,14.688,12.707,14.801,17.219,14.113,10.338,6.074,3.219,2.647,3.068,5.498,8.446,10.703,14.459,16.406,16.973,17.374,18.883,22.555,24.486,25.074,26.875,29.544,30.41,30.818,33.232,34.418,37.446,40.157,42.992,45.858,48.691,50.888,48.766,45.697,44.399,42.95,43.2,43.579,43.18,42.421,39.855,43.451,45.602,45.833,41.935,39.354,39.871,44.753,49.603,52.994,54.371,57.191,60.295,65.051,66.561,67.473,66.779,68.707,71.712,74.989,80.669,83.008,89.751,94.681,99.356,102.802,103.796,102.913,100,101.738,104.431,103.8,103.477
"31","24","    Structures","B842RA3",17.899,21.481,21.671,17.533,11.211,13.128,12.284,21.378,18.028,21.113,24.602,20.159,14.734,8.461,4.321,3.463,4.112,7.472,11.514,14.603,20.254,23.211,24.002,24.457,26.637,32.015,35.079,35.641,37.741,41.836,42.923,43.092,46.656,48.18,52.162,55.635,59.557,63.311,67.354,70.399,66.653,61.727,59.692,56.742,56.26,56.138,55.69,54.702,51.067,55.932,58.315,58.047,52.385,48.067,47.529,52.79,57.885,61.47,62.796,65.582,66.958,71.988,74.376,74.684,72.964,73.537,76.026,79.879,85.256,85.147,91.38,96.289,101.736,105.835,106.404,104.577,100,100.294,102.651,101.683,101.942
"32","25","    Equipment and software","B881RA3",2.004,1.721,1.93,1.806,1.485,1.411,1.405,1.364,1.753,1.909,2.175,1.788,1.347,1.032,0.766,0.757,0.745,1.2,1.799,2.265,2.385,2.426,2.523,2.723,2.889,3.209,3.118,3.505,4.3,4.302,4.602,5.177,5.345,5.716,6.55,7.419,7.95,8.773,9.133,9.539,10.294,10.729,10.859,12.115,13.549,14.773,14.516,14.275,13.979,14.798,16.198,17.287,17.173,18.219,20.725,24.343,28.196,30.86,32.214,34.86,41.341,45.137,44.644,46.788,48.393,53.251,57.279,58.957,65.175,74.293,82.379,87.257,89.212,90.252,92.836,95.718,100,108.59,113.012,114.255,110.501
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
