"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"38","31","    Mining and oilfield machinery","B270RG3",4.204,4.145,4.03,3.737,3.855,3.911,3.913,3.854,4.204,4.438,4.321,4.496,4.847,5.137,5.256,5.43,5.606,6.071,7.007,7.65,8.234,8.817,9.809,9.809,10.276,10.744,11.154,11.911,12.788,13.079,13.188,13.542,13.497,13.679,13.703,13.895,14.012,14.219,14.768,15.389,16.157,16.919,17.535,18.076,18.717,20.984,26.868,30.08,33.824,37.074,40.853,48.298,56.434,60.733,58.882,58.54,59.148,59.25,59.026,61.763,63.993,66.799,69.583,70.564,71.508,73.084,75.536,77.58,80.302,81.575,82.377,83.47,86.164,87.391,89.075,93.044,100,106.299,111.307,120.038
"39","32","    Service industry machinery","B570RG3",15.89,15.66,15.118,12.581,11.669,11.909,11.748,11.214,12.282,12.665,12.443,12.743,14.047,15.657,16.126,16.511,16.736,18.427,22.651,23.495,23.344,22.727,24.418,24.34,24.264,24.262,24.109,24.416,24.954,25.03,25.183,25.236,24.869,24.83,24.824,24.961,24.923,25.266,25.813,26.61,27.322,28.298,29.294,29.616,30.109,32.524,37.479,39.958,42.66,45.413,48.33,53.585,58.306,61.385,63.159,64.76,66.496,68.068,69.378,71.67,74.597,77.397,79.643,81.363,82.965,84.55,86.946,88.709,90.079,90.783,91.773,92.411,93.34,94.348,95.198,96.768,100,102.623,106.881,110.03
"40","33","    Electrical equipment, n.e.c.","B670RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.617,30.974,33.322,32.313,33.422,35.237,34.001,36.173,35.697,35.352,35.148,35.308,35.856,36.153,35.678,35.24,34.769,34.086,33.932,33.607,33.99,33.752,34.349,35.174,36.582,37.742,37.908,38.927,42.584,48.732,51.615,54.919,58.395,62.414,67.306,72.614,75.655,76.178,78.684,80.366,82.173,85.598,87.871,89.92,91.621,92.522,93.818,94.038,94.682,96.725,97.331,97.158,97.04,96.893,97.077,97.319,96.867,97.305,98.477,100,101.888,105.874,109.898
"41","34","    Other","B286RG3",13.026,12.602,11.621,11.475,11.335,11.763,11.482,11.341,13.16,13.032,12.816,13.441,14.42,15.41,16.03,16.514,17.016,18.478,20.096,21.219,21.286,22.267,24.364,23.8,24.01,24.713,24.927,25.484,26.395,25.975,25.743,25.807,25.757,25.766,25.891,26.018,26.107,26.527,26.951,27.596,28.47,29.456,30.196,30.708,31.512,34.99,39.17,41.362,42.08,44.942,48.932,54.864,61.176,65.671,67.097,68.077,68.867,70.809,72.449,75.008,78.028,80.791,83.055,84.369,85.989,87.527,89.386,90.997,91.648,92.245,92.803,93.67,94.734,95.389,96.406,97.738,100,102.747,104.905,107.665
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.339,12.308,15.423,11.017,13.413,15.692,15.107,13.764,12.183,15.459,18.231,15.469,12.615,13.759,11.93,12.414,10.599,10.458,12.409,13.348,13.424,12.127,11.592,13.963,16.309,13.476,14.069,21.295,36.141,24.621,27.024,25.23,27.297,31.319,33.89,36.247,35.935,36.935,37.933,37.75,37.263,44.484,63.012,61.373,60.012,53.261,50.993,54.088,63.332,71.992,64.935,66.243,56.351,51.698,57.55,51.579,53.321,64.681,105.429,100,122.614,143.647,177.224
"43","36","Residential equipment","B013RG3",42.947,42.374,37.84,32.119,32.843,33.856,32.464,33.364,34.683,34.852,33.997,33.239,35.494,39.769,39.953,41.601,47.34,52.932,58.82,62.151,60.059,59.798,63.954,63.789,63.611,62.562,60.716,58.169,57.631,56.758,59.11,58.461,57.405,56.15,55.193,54.628,53.48,52.661,52.766,53.896,55.115,56.185,57.097,57.285,57.634,61.197,67.078,70.494,72.763,76.288,80.659,85.905,92.104,97.782,100.215,101.017,100.409,100.932,102.363,103.378,104.32,105.091,104.64,104.551,105.107,107.102,107.438,108.008,107.875,107.238,105.489,105.121,104.993,104.112,100.875,97.792,100,101.633,102.243,101.608
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
