"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237"
"11","2","  Gross national product","A791RC0",1664,1680,1701,1761,1796,1837,1873,1874,1830,1797,1799,1773,1833,1888,1997,2063,2156,2199,2234,2253,2264,2261,2292,2362,2397,2412,2394,2351,2338,2333,2352,2395,2466,2506,2547,2574,2579,2603,2622,2659,2704,2706,2736,2691,2637,2651,2718,2781,2829,2892,2885,2896,2949,2934,2938,2897,2910,2958,3003,3062,3124,3154,3178,3186,3223,3258,3314,3352,3428,3465,3514,3526,3624,3679,3753,3852,3963,3999,4055,4114,4158,4170,4235,4301,4429,4541,4605,4677,4790,4853,4938,4964,5016,5080,5147,5137,5348,5435,5512,5557,5732,5887,5988,6150,6374,6536,6622,6801,6869,7030,7142,7297,7351,7499,7749,7980,8229,8364,8498,8693,8933,9215,9465,9631,9796,10322,10573,10920,11109,11378,11697,11927,12186,12160,12369,12879,13459,13567,13945,14006,13927,14160,14242,14367,14631,15045,15461,15862,16327,16715,16968,17154,17443,17664,17947,18167,18383,18481,18727,18872,19124,19416,19686,20131,20383,20785,21063,21457,21873,22174,22437,22612,23086,23344,23450,23457,23493,23677,23860,24045,24365,24649,24897,25218,25402,25567,25744,26085,26464,26828,27058,27420,27642,27725,27935,28230,28553,29006,29228,29654,29968,30424,30784,30995,31333,31499,31829,32340,32712,33027,33399,34065,34347,34961,34983,35292,35390,35702,35529,35954,36077,36285,36583,36779,37113,37541,38274,38770,39403,39902,40322,40776,41384,41883
"12","3","  Personal income","A792RC0",1310,1291,1341,1358,1388,1423,1458,1452,1405,1390,1379,1378,1469,1469,1521,1576,1628,1669,1682,1708,1715,1733,1768,1799,1822,1840,1833,1819,1812,1802,1806,1831,1858,1899,1935,1955,1979,2006,2025,2060,2076,2094,2109,2096,2091,2096,2135,2151,2180,2221,2224,2246,2263,2280,2283,2280,2293,2317,2346,2383,2411,2442,2458,2479,2497,2514,2542,2581,2623,2662,2702,2737,2784,2824,2886,2943,2998,3039,3096,3154,3199,3227,3287,3334,3424,3513,3592,3658,3720,3800,3889,3949,3992,4084,4129,4153,4237,4333,4381,4448,4572,4638,4751,4953,5042,5171,5290,5458,5526,5636,5799,5902,5968,6094,6250,6410,6560,6674,6831,6982,7114,7304,7492,7743,7896,8151,8373,8595,8829,8997,9265,9549,9827,9881,10185,10642,10875,11081,11489,11616,11719,11894,12029,12162,12295,12491,12702,13047,13438,13789,14107,14323,14575,14718,14810,15041,15255,15385,15547,15675,15897,16084,16342,16694,16951,17196,17496,17785,18284,18454,18606,18833,19197,19466,19651,19684,19685,19859,19970,20173,20494,20750,20912,21320,20922,21331,21401,21766,21616,22104,22325,22656,22881,22992,23126,23311,23730,24106,24307,24557,24928,25128,25446,25830,26358,26753,27067,27336,27538,27715,27967,28507,29385,29687,30106,30205,30565,30600,30564,30558,30697,30895,30825,30849,31084,31373,31620,31924,32386,32753,33057,33973,34064,34486
"13","4","  Disposable personal income","A229RC0",1176,1156,1204,1214,1242,1294,1334,1327,1285,1276,1270,1273,1359,1353,1397,1428,1469,1498,1502,1518,1517,1529,1563,1590,1611,1630,1625,1614,1625,1617,1622,1644,1667,1702,1733,1750,1767,1790,1806,1837,1849,1866,1881,1871,1871,1879,1911,1927,1949,1983,1983,2000,2011,2025,2026,2024,2039,2061,2088,2123,2145,2169,2178,2193,2210,2227,2254,2291,2341,2403,2433,2461,2490,2523,2593,2645,2683,2705,2752,2796,2840,2870,2916,2954,3031,3106,3135,3182,3212,3278,3376,3431,3479,3568,3639,3661,3762,3848,3889,3942,3999,4049,4160,4350,4443,4561,4659,4800,4856,4939,5075,5168,5234,5533,5544,5679,5814,5898,6026,6149,6255,6416,6593,6802,6941,7149,7314,7491,7699,7832,8047,8289,8573,8598,8862,9251,9434,9591,9942,10091,10198,10345,10526,10635,10795,10957,11232,11537,11907,12222,12486,12656,12758,13089,13047,13251,13480,13601,13725,13789,14037,13976,14333,14616,14899,15166,15434,15686,16047,16166,16305,16506,16865,17092,17262,17303,17392,17552,17655,17833,18199,18391,18527,18854,18536,18863,18888,19196,19061,19459,19697,19998,20163,20201,20326,20456,20763,21009,21203,21385,21631,21787,22023,22317,22753,23060,23315,23511,23684,23806,23979,24399,25094,25322,25694,25774,26004,25995,26678,26264,26994,27246,27187,27241,27552,27839,28392,28475,28939,29231,29461,30265,30103,30395
"14","5","  Personal consumption expenditures","A794RC0",1092,1114,1133,1156,1170,1191,1206,1206,1193,1200,1190,1201,1214,1235,1320,1297,1366,1332,1344,1363,1366,1387,1397,1442,1459,1465,1463,1453,1459,1470,1479,1501,1533,1558,1576,1593,1595,1605,1616,1640,1659,1666,1685,1687,1678,1689,1710,1724,1761,1788,1810,1814,1819,1845,1837,1839,1835,1855,1863,1894,1916,1940,1953,1979,1991,2006,2036,2052,2096,2132,2170,2176,2225,2255,2294,2359,2406,2426,2465,2487,2502,2542,2572,2602,2687,2750,2823,2859,2914,2964,3006,3056,3103,3142,3190,3211,3294,3352,3402,3469,3544,3624,3703,3811,3919,3984,4061,4123,4199,4324,4448,4482,4595,4718,4860,4981,5126,5206,5327,5467,5617,5730,5856,6012,6134,6377,6498,6655,6797,6961,7180,7351,7537,7526,7761,8038,8264,8384,8533,8575,8721,8816,9000,9243,9395,9649,9926,10127,10304,10532,10669,10851,11132,11294,11553,11641,11800,11907,12174,12309,12429,12681,12922,13031,13336,13552,13792,14056,14247,14468,14659,14808,15115,15281,15482,15515,15517,15689,15812,15869,16208,16351,16568,16808,16906,17114,17301,17492,17708,17880,18110,18316,18385,18587,18768,18917,19155,19432,19570,19802,20054,20128,20446,20662,20852,21161,21421,21724,21941,22367,22653,23000,23512,23715,23988,24231,24469,24626,24703,25090,25179,25444,25631,25760,26054,26269,26703,26921,27426,27750,28076,28522,28864,29276
"15","6","    Durable goods","A795RC0",136,139,141,152,151,154,161,158,154,167,172,178,184,186,234,207,221,188,183,183,186,186,175,201,210,208,204,198,193,196,193,203,222,235,244,237,225,225,223,233,238,235,232,228,216,211,214,220,236,245,248,235,240,245,241,233,218,223,229,239,243,249,251,261,266,271,274,279,289,295,304,292,320,318,327,337,352,338,350,350,342,358,357,361,386,394,415,415,424,424,424,423,416,420,423,398,448,461,470,487,502,516,530,555,592,588,583,569,559,575,599,555,574,594,638,665,708,718,733,755,792,813,830,855,843,921,920,940,944,936,971,959,970,879,934,978,1019,994,1039,972,1011,1020,1029,1078,1093,1177,1227,1295,1342,1379,1379,1423,1480,1497,1589,1530,1559,1618,1771,1749,1648,1728,1809,1759,1840,1846,1829,1888,1883,1907,1950,1888,1978,1905,1878,1822,1779,1786,1814,1782,1846,1859,1894,1929,1942,2013,2040,2099,2151,2182,2215,2291,2248,2265,2316,2347,2369,2423,2427,2459,2513,2473,2561,2604,2589,2683,2730,2863,2823,2935,2977,2973,3117,3029,3046,3036,3068,3035,3028,3256,3187,3193,3258,3185,3172,3242,3344,3297,3326,3320,3377,3418,3440,3494
"16","7","    Nondurable goods","A796RC0",613,627,637,645,652,663,660,659,649,640,626,627,628,636,664,660,703,697,708,721,714,726,737,746,745,742,735,731,736,733,736,742,745,752,755,766,772,774,779,783,790,795,811,805,806,810,818,821,830,835,841,846,839,852,845,846,850,851,850,858,866,870,874,880,883,884,893,893,911,926,941,945,956,973,989,1024,1044,1059,1072,1072,1080,1087,1095,1106,1140,1164,1191,1201,1220,1240,1257,1277,1304,1318,1332,1350,1355,1370,1378,1394,1415,1452,1482,1521,1564,1592,1638,1680,1732,1781,1829,1848,1880,1927,1978,2007,2050,2079,2119,2159,2205,2238,2261,2323,2365,2442,2505,2573,2649,2717,2820,2909,2997,3019,3067,3142,3254,3292,3314,3336,3354,3357,3411,3444,3452,3521,3590,3623,3677,3744,3760,3788,3831,3880,3906,3958,3991,3955,3971,4012,4100,4170,4207,4246,4295,4377,4468,4544,4606,4705,4746,4807,4918,4950,5038,5076,5047,5086,5083,5054,5135,5135,5182,5262,5258,5289,5310,5341,5369,5418,5494,5538,5534,5568,5584,5597,5662,5765,5780,5861,5908,5884,5957,5976,6008,6062,6115,6199,6287,6416,6479,6661,6734,6873,6951,7019,7036,7077,7084,7077,7121,7223,7225,7292,7435,7408,7595,7643,7863,8023,8081,8259,8375,8549
"17","8","    Services","A797RC0",343,348,355,359,367,375,384,389,390,393,392,395,402,413,422,430,442,447,453,459,466,475,485,495,505,515,524,524,531,541,549,556,566,571,577,590,598,605,615,624,631,636,643,653,656,668,679,684,696,708,720,733,739,749,751,760,767,781,784,798,807,821,828,837,842,851,868,881,896,910,925,939,949,964,979,997,1010,1029,1043,1064,1081,1098,1119,1135,1161,1191,1217,1244,1271,1299,1325,1356,1383,1404,1435,1463,1490,1521,1553,1588,1628,1657,1691,1735,1763,1804,1840,1874,1909,1969,2020,2079,2141,2197,2245,2310,2369,2409,2476,2553,2619,2680,2765,2834,2926,3014,3073,3141,3204,3308,3389,3484,3570,3628,3760,3917,3991,4097,4180,4267,4356,4438,4560,4721,4849,4951,5108,5208,5284,5409,5531,5640,5821,5917,6058,6153,6250,6334,6432,6548,6681,6783,6906,7026,7201,7329,7495,7624,7759,7856,7963,8112,8218,8427,8565,8617,8690,8817,8914,9034,9227,9357,9492,9617,9706,9812,9951,10052,10188,10280,10400,10487,10602,10754,10868,10973,11123,11244,11364,11481,11633,11772,11929,12083,12255,12416,12576,12661,12830,13016,13197,13367,13661,13813,13991,14176,14366,14515,14591,14757,14871,15028,15148,15283,15448,15620,15764,15980,16237,16406,16618,16845,17049,17234
"18",NA,"Chained (2000) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","  Gross domestic product","A939RX0",10971,10908,10854,10962,11087,11238,11254,11228,11013,10937,11013,10851,11248,11542,11943,12106,12204,12362,12551,12513,12591,12551,12578,12932,13125,13176,13037,12771,12655,12616,12696,12885,13201,13364,13480,13487,13367,13418,13339,13490,13514,13425,13496,13292,12883,12909,13150,13391,13592,13896,13827,13814,14009,13890,13853,13612,13640,13843,14009,14234,14439,14545,14623,14599,14742,14878,15100,15160,15451,15581,15737,15723,16066,16238,16512,16857,17227,17241,17302,17387,17498,17456,17546,17629,17954,18217,18291,18319,18569,18580,18643,18500,18424,18401,18501,18240,18688,18739,18830,18826,19115,19520,19655,19924,20386,20576,20415,20560,20340,20355,20107,19976,19697,19794,20070,20281,20692,20803,20849,20942,21146,21509,21833,21769,21788,22589,22745,22978,22964,22926,23021,23018,23026,22499,22394,22748,23161,22929,23143,22795,22373,22444,22302,22267,22496,22956,23352,23774,24192,24559,24737,24880,25064,25224,25553,25685,25879,25927,26111,26180,26301,26534,26709,27108,27186,27475,27549,27844,28070,28190,28313,28308,28570,28554,28455,28141,27911,28003,28038,28074,28281,28459,28632,28848,28798,28856,28905,29201,29419,29715,29785,30043,30046,30014,30161,30289,30427,30838,30995,31258,31416,31803,32092,32228,32501,32627,32900,33299,33497,33682,33967,34467,34467,34920,34782,34867,34741,34763,34546,34590,34745,34855,34967,34894,34963,35197,35722,35941,36236,36466,36726,36930,37195,37415
"20","10","  Gross national product","A791RX0",11031,10971,10916,11027,11158,11313,11329,11303,11084,11006,11079,10911,11311,11609,12022,12185,12279,12449,12641,12608,12680,12640,12665,13018,13209,13265,13116,12850,12740,12699,12781,12979,13297,13457,13575,13583,13472,13522,13445,13583,13623,13541,13606,13382,12974,13001,13239,13479,13679,13982,13919,13911,14102,13984,13951,13715,13748,13945,14113,14340,14544,14660,14738,14730,14867,14998,15222,15284,15586,15711,15870,15847,16205,16382,16646,16979,17352,17367,17424,17515,17624,17578,17680,17758,18087,18352,18430,18456,18707,18712,18770,18626,18553,18534,18632,18360,18829,18887,18964,18966,19260,19663,19809,20077,20562,20762,20631,20777,20594,20595,20324,20164,19855,19952,20240,20483,20888,21006,21053,21151,21384,21742,22063,21973,22023,22785,22958,23221,23212,23204,23351,23345,23358,22804,22681,22981,23410,23162,23390,23072,22635,22737,22550,22505,22731,23206,23606,24037,24436,24803,24978,25094,25234,25405,25702,25850,26026,26032,26229,26260,26391,26644,26816,27225,27333,27608,27670,27975,28200,28314,28447,28471,28722,28713,28587,28380,28094,28132,28151,28221,28427,28601,28761,28980,28962,28992,29065,29293,29541,29822,29889,30147,30199,30179,30266,30438,30591,30966,31107,31394,31526,31954,32220,32336,32608,32724,32948,33364,33609,33813,34076,34607,34585,35052,34892,35057,34874,34917,34604,34845,34839,34914,35068,35060,35113,35417,35941,36240,36499,36614,36879,37047,37320,37527
"21","11","  Disposable personal income","A229RX0",7656,7460,7634,7508,7597,7826,7950,7937,7739,7733,7745,7760,8305,8226,8319,8364,8328,8428,8444,8421,8384,8452,8579,8706,8793,8883,8806,8710,8721,8685,8739,8868,8960,9137,9267,9327,9381,9436,9431,9533,9511,9534,9538,9441,9319,9343,9492,9565,9592,9738,9689,9722,9756,9770,9734,9682,9733,9843,9936,10089,10150,10226,10243,10286,10334,10398,10475,10609,10791,11051,11155,11244,11337,11430,11705,11903,11983,11981,12096,12197,12351,12418,12502,12557,12749,12932,12921,12969,12961,13060,13285,13341,13374,13567,13702,13605,13850,14008,14021,14124,14177,14270,14528,15066,15202,15309,15356,15503,15232,15074,15088,14985,14901,15555,15299,15412,15604,15693,15792,15864,15858,15991,16188,16465,16523,16674,16766,16854,17005,16843,16890,16989,17064,16711,16833,17145,17044,17046,17382,17379,17344,17429,17460,17446,17557,17659,17867,18228,18614,18922,19183,19322,19270,19622,19433,19584,19779,19944,19976,19928,20059,19802,20102,20327,20543,20682,20800,20934,21165,21048,21094,21177,21322,21379,21324,21101,21052,21129,21104,21149,21417,21505,21514,21757,21279,21515,21469,21706,21468,21797,21870,22106,22180,22100,22143,22191,22385,22506,22624,22667,22823,22944,23129,23361,23798,24079,24265,24380,24498,24464,24507,24789,25274,25380,25633,25599,25620,25450,26081,25640,26292,26355,26182,26127,26228,26459,26853,26846,27026,27045,27159,27685,27384,27426
"22","12","  Personal consumption expenditures","A794RX0",7106,7191,7182,7150,7153,7204,7186,7211,7189,7271,7256,7324,7417,7509,7862,7596,7744,7499,7552,7561,7550,7665,7666,7898,7964,7984,7928,7838,7834,7900,7968,8094,8239,8362,8427,8489,8466,8460,8440,8512,8535,8514,8545,8511,8360,8395,8492,8560,8667,8780,8841,8815,8824,8901,8827,8797,8762,8859,8865,9005,9069,9147,9185,9279,9310,9370,9461,9504,9663,9803,9948,9941,10132,10217,10357,10614,10744,10745,10835,10846,10884,11002,11027,11062,11302,11450,11633,11653,11760,11807,11828,11886,11928,11947,12010,11935,12127,12203,12263,12429,12564,12771,12934,13200,13409,13373,13387,13315,13173,13198,13223,12998,13083,13265,13413,13518,13758,13851,13959,14106,14240,14282,14378,14553,14601,14875,14896,14973,15014,14969,15071,15068,15002,14626,14741,14897,14930,14900,14918,14767,14832,14852,14929,15162,15280,15551,15789,16000,16107,16305,16391,16567,16814,16931,17208,17204,17313,17460,17719,17789,17762,17967,18124,18123,18388,18482,18587,18759,18791,18837,18964,18999,19110,19114,19125,18921,18783,18886,18901,18820,19074,19120,19239,19395,19408,19520,19666,19778,19944,20029,20107,20246,20224,20334,20445,20522,20651,20817,20881,20988,21159,21197,21474,21628,21811,22096,22294,22526,22694,22985,23152,23368,23680,23769,23931,24066,24108,24110,24150,24494,24524,24612,24684,24706,24803,24967,25256,25380,25613,25675,25882,26091,26258,26417
"23","13","    Durable goods","A795RX0",369,374,378,402,397,398,404,396,385,419,438,453,469,470,586,509,523,443,432,426,429,434,404,476,492,487,482,466,449,470,470,498,542,570,587,567,538,536,523,538,547,531,524,515,479,469,476,491,517,535,544,514,527,537,531,514,482,490,500,523,533,545,547,570,581,592,597,605,625,640,659,635,694,694,716,744,778,743,767,764,748,779,770,769,817,830,866,858,872,867,862,855,838,844,844,780,865,882,903,940,960,982,1005,1056,1121,1104,1090,1060,1031,1034,1038,933,951,966,1026,1053,1105,1108,1117,1133,1178,1202,1215,1235,1200,1290,1268,1274,1257,1225,1257,1220,1200,1063,1111,1143,1175,1125,1158,1069,1104,1105,1111,1161,1169,1255,1301,1364,1414,1444,1440,1483,1534,1548,1646,1581,1611,1663,1807,1775,1658,1725,1793,1737,1821,1818,1790,1835,1820,1842,1879,1813,1892,1823,1798,1739,1683,1687,1707,1673,1734,1742,1773,1803,1816,1871,1887,1931,1972,1990,2005,2070,2024,2042,2096,2128,2146,2210,2221,2259,2318,2304,2402,2455,2459,2566,2629,2777,2759,2882,2934,2945,3103,3019,3054,3052,3094,3084,3099,3346,3303,3325,3408,3354,3376,3489,3640,3628,3659,3654,3739,3779,3795,3860
"24","14","    Nondurable goods","A796RX0",3313,3357,3354,3294,3280,3300,3259,3290,3293,3287,3247,3278,3304,3327,3372,3286,3356,3305,3364,3385,3349,3415,3455,3485,3499,3501,3461,3442,3453,3427,3456,3497,3508,3554,3566,3621,3642,3618,3604,3613,3609,3612,3648,3614,3557,3569,3614,3641,3664,3682,3686,3695,3664,3693,3652,3639,3648,3673,3659,3695,3715,3719,3732,3740,3743,3747,3762,3750,3809,3867,3923,3922,3956,3990,4034,4161,4188,4214,4230,4201,4222,4232,4223,4235,4319,4364,4419,4407,4440,4452,4446,4460,4495,4490,4505,4525,4526,4530,4516,4539,4557,4658,4712,4780,4822,4770,4786,4757,4685,4659,4656,4579,4589,4677,4701,4703,4786,4840,4869,4898,4915,4894,4889,4964,4983,5025,5064,5110,5122,5089,5128,5154,5126,5045,5021,5035,5071,5075,5061,5056,5051,5048,5063,5100,5115,5155,5218,5258,5277,5360,5364,5382,5402,5434,5453,5482,5542,5590,5588,5628,5639,5678,5674,5690,5730,5777,5824,5876,5881,5874,5916,5956,5958,5952,5950,5866,5843,5871,5853,5792,5871,5844,5861,5934,5908,5944,5982,5991,6032,6072,6104,6143,6134,6148,6151,6154,6174,6229,6243,6276,6297,6281,6350,6355,6421,6482,6507,6581,6649,6698,6698,6827,6815,6893,6913,6956,6949,6930,6952,7017,7058,7065,7052,7096,7137,7153,7278,7314,7416,7447,7498,7579,7661,7713
"25","15","    Services","A797RX0",3389,3418,3398,3371,3418,3454,3483,3494,3497,3506,3482,3478,3514,3603,3639,3664,3711,3722,3739,3735,3770,3804,3839,3883,3900,3939,3944,3901,3930,3996,4044,4067,4114,4124,4144,4202,4227,4259,4291,4332,4340,4357,4364,4396,4390,4448,4489,4493,4525,4595,4644,4684,4702,4730,4712,4739,4771,4839,4838,4904,4930,4991,5016,5062,5069,5109,5192,5243,5307,5365,5421,5478,5515,5577,5635,5710,5749,5803,5835,5897,5954,6012,6080,6110,6176,6265,6331,6394,6447,6502,6548,6618,6663,6679,6739,6768,6804,6854,6898,6986,7079,7150,7225,7343,7400,7464,7490,7509,7497,7557,7584,7643,7697,7763,7785,7855,7923,7957,8030,8137,8183,8215,8315,8382,8487,8579,8596,8614,8679,8737,8744,8776,8774,8697,8780,8888,8816,8870,8848,8840,8861,8887,8946,9082,9185,9298,9412,9498,9512,9586,9685,9792,9963,10034,10165,10230,10234,10256,10318,10401,10541,10618,10690,10759,10875,10928,11033,11094,11144,11171,11208,11296,11302,11411,11462,11417,11371,11447,11454,11481,11584,11651,11718,11765,11789,11798,11890,11942,12019,12044,12073,12094,12138,12216,12261,12297,12389,12425,12463,12494,12579,12650,12749,12841,12955,13065,13169,13171,13291,13406,13520,13596,13761,13858,13965,14058,14064,14093,14096,14140,14172,14230,14239,14266,14299,14346,14377,14473,14576,14610,14692,14783,14852,14905
"26","16","Population (midperiod, thousands)","B230RC0",143156,143803,144462,145135,145761,146341,146973,147659,148298,148891,149529,150211,150852,151385,152039,152724,153336,153947,154655,155389,156033,156644,157324,158043,158648,159234,159963,160713,161389,162044,162792,163585,164266,164926,165674,166481,167190,167869,168654,169497,170218,170915,171684,172463,173116,173781,174535,175340,176045,176727,177481,178268,179694,180335,181094,181915,182634,183337,184103,184894,185553,186203,186926,187680,188299,188906,189631,190362,190954,191560,192256,192938,193467,193994,194647,195279,195763,196277,196877,197481,197967,198455,199012,199572,199995,200452,200997,201538,201955,202419,202986,203584,204086,204721,205419,206130,206763,207362,208000,208642,209142,209637,210181,210737,211192,211663,212191,212708,213144,213602,214147,214700,215135,215652,216289,216848,217314,217776,218338,218917,219427,219956,220573,221201,221719,222281,222933,223583,224152,224737,225418,226117,226754,227389,228070,228689,229155,229674,230301,230903,231395,231906,232498,233074,233546,234028,234603,235153,235605,236082,236657,237232,237673,238176,238789,239387,239861,240368,240962,241539,242009,242520,243120,243721,244208,244716,245354,245966,246460,247017,247698,248374,248936,249711,250595,251482,252258,253063,253965,254835,255585,256439,257386,258277,259039,259826,260714,261547,262250,263020,263870,264678,265388,266142,267000,267820,268487,269251,270128,270991,271709,272487,273391,274246,274950,275703,276564,277400,278103,278864,279751,280592,281304,282015,282810,283588,284265,284959,285736,286502,287154,287812,288575,289328,289977,290656,291442,292217,292872,293540,294315,295077,295720,296383
