"","Table 5#5#3# Real Private Fixed Investment in Equipment and Soft","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"17","10","    Photocopy and related equipment","B285RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.164,1.572,1.622,1.572,1.673,1.813,2.023,2.545,2.698,2.806,2.984,3.099,2.571,3.396,4.04,4.126,5.132,8.17,12.511,14.815,18.873,15.605,17.151,19.574,22.805,26.944,33.498,40.824,46.134,50.29,53.616,51.916,60.513,60.908,62.425,68.425,69.03,66.807,82.4,78.028,77.986,78.222,83.84,88.394,84.676,87.25,88.435,105.508,113.256,103.282,106.524,107.428,120.053,104.268,100,71.411,52.444,57.304,52.93
"18","11","    Office and accounting equipment","B936RA3",8.946,6.338,4.625,3.334,3.49,4.266,5.726,6.856,8.215,6.891,7.117,8.219,10.012,7.415,5.369,8.131,10.848,19.898,24.661,26.593,23.01,25.146,27.193,28.092,30.683,29.73,33.555,38.589,47.372,45.827,44.523,44.207,37.553,33.438,35.172,34.978,35.618,45.671,43.423,40.86,47.767,41.526,37.412,44.329,62.723,81.153,68.141,80.736,80.972,123.522,156,169.616,179.234,135.404,214.376,242.856,238.733,261.196,161.244,141.154,151.72,124.362,116.055,127.014,137.066,136.086,137.338,140.609,139.434,126.12,98.36,100,117.501,122.634,147.331,160.42
"19","12","  Industrial equipment","B680RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.931,26.79,24.781,19.095,22.057,24.765,25.737,28.345,29.22,28.998,32.019,32.419,27.018,27.426,29.572,27.993,29.431,31.793,35.932,42.362,48.718,48.912,47.942,51.127,51.852,47.623,51.349,60.709,65.371,55.428,55.701,59.034,65.682,70.376,67.35,66.28,60.547,55.741,63.794,66.74,66.429,64.776,68.026,72.771,68.563,64.17,65.342,70.889,77.212,84.745,87.89,89.786,93.039,92.872,100,91.494,84.493,84.716,87.556
"20","13","    Fabricated metal products","B263RA3",10.67,9.206,7.485,4.804,4.084,4.967,5.525,6.68,7.602,5.657,6.68,8.222,9.942,9.167,11.43,13.53,16.459,23.913,31.073,27.896,22.565,24.285,29.082,33.196,35.033,37.241,33.607,34.8,39.651,36.823,33.025,31.26,29.862,27.453,30.189,35.202,41.654,48.163,46.783,55.336,66.879,77.761,79.244,81.962,98.466,107.621,105.04,113.915,106.355,108.109,120.522,111.084,110.336,99.258,93.12,88.715,87.332,81.475,73.237,76.567,82.056,81.803,82.039,82.903,81.392,87.173,90.057,97.481,84.502,88.543,94.891,100,99.174,88.87,90.923,89.96
"21","14","    Engines and turbines","B668RA3",12.113,10.687,6.909,3.19,2.661,3.94,5.542,9.644,13.598,9.35,11.466,12.643,10.761,4.645,8.703,16.244,34.458,8.012,20.463,29.725,28.776,38.479,27.641,38.877,35.976,52.029,45.601,41.165,51.811,51.519,44.35,42.13,37.124,34.913,34.932,34.893,36.423,43.829,58.568,68.623,76.852,81.209,86.288,96.823,94.047,95.958,77.449,67.509,60.091,57.694,55.727,46.895,52.017,43.67,38.246,41.698,46.887,39.457,51.726,54.504,60.365,52.169,61.584,57.93,55.586,59.571,49.008,58.219,53.977,63.738,77.717,100,151.575,161.719,140.387,97.877
"22","15","    Metalworking machinery","B271RA3",9.824,6.805,4.368,1.875,2.015,3.375,6.163,9.119,11.235,6.277,8.714,17.925,23.733,21.85,20.577,16.806,20.674,24.861,31.248,23.759,15.13,21.672,28.254,30.105,38.037,41.564,32.896,41.051,38.67,24.259,26.164,29.684,26.647,29.381,35.445,37.278,46.945,56.962,70.524,62.497,61.334,58.403,45.126,52.192,66.901,74.69,62.234,61.683,62.904,73.632,81.094,81.211,78.976,64.377,48.735,58.294,62.848,62.237,56.511,60.356,70.624,64.756,61,64.054,69.512,80.658,92.28,93.921,100.958,101.422,98.163,100,84.859,76.855,75.01,88.527
"23","16","    Special industry machinery, n.e.c.","B272RA3",17.882,13.463,10.491,7.246,8.127,8.704,10.628,14.474,15.605,11.57,12.337,13.158,13.119,10.747,8.488,13.053,19.003,25.463,38.017,36.568,28.54,32.448,34.03,30.131,31.581,27.632,32.397,35.317,33.047,29.139,30.927,35.027,33.547,36.631,36.212,41.049,52.334,56.666,51.578,51.389,53.193,53.089,48.977,53.049,58.687,57.051,45.701,44.982,45.244,55.541,57.049,56.917,55.531,55.626,56.157,63.76,68.49,69.514,71.742,75.957,83.64,75.752,68.42,67.988,74.557,79.097,90.061,92.537,91.818,92.705,90.485,100,83.804,70.842,74.889,73.004
"24","17","    General industrial, including materials handling, equipment","B273RA3",14.913,11.355,8.558,5.468,5.362,6.553,8.799,12.114,13.243,9.503,11.093,12.313,13.01,8.951,9.669,15.923,22.67,22.016,26.121,24.616,17.587,17.96,19.829,18.986,21.32,21.176,24.475,26.299,25.933,22.594,23.536,25.495,23.954,25.755,29.287,34.717,38.759,43.569,39.139,38.325,42.618,42.112,39.64,40.925,49.999,56.422,47.808,48.54,57.397,65.749,70.217,65.436,62.989,58.302,53.441,63.97,67.852,71.061,65.89,69.109,69.623,67.316,61.425,63.591,73.32,78.773,86.288,89.143,93.269,98.787,94.746,100,90.449,88.069,93.011,100.275
"25","18","    Electrical transmission, distribution, and industrial apparatus","B276RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.935,14.72,13.696,12.339,14.822,17.741,20.854,22.071,22.993,22.694,25.488,27.045,22.578,23.23,25.359,25.327,26.111,26.344,29.894,33.458,40.098,38.947,37.1,38.93,40.46,37.059,40.338,48.113,51.865,42.206,41.725,48.397,48.636,52.252,50.507,51.652,49.958,51.031,61.564,60.783,57.64,61.573,63.001,64.712,62.832,58.411,59.281,61.282,67.022,72.155,74.748,79.288,82.706,89.61,100,91.793,82.305,75.142,78.308
"26","19","  Transportation equipment","B681RA3",11.39,8.836,5.407,2.964,3.644,5.492,7.229,10.029,11.105,6.758,8.493,11.556,13.271,4.484,4.02,4.187,6.753,11.463,16.136,16.794,16.697,18.483,17.754,14.658,17.442,15.273,19.44,17.467,18.666,13.616,18.043,18.586,17.569,21.662,20.97,23.724,29.72,32.684,31.604,38.002,39.519,32.426,35.021,40.685,48.927,44.287,38.153,42.419,51.554,56.977,59.481,48.557,47.217,41.836,47.109,56.116,58.316,56.087,53.332,56.228,50.632,50.361,49.01,49.877,59.13,69.268,74.963,77.973,84.471,90.391,104.25,100,88.808,78.347,76.507,86.219
"27","20","    Trucks, buses, and truck trailers","B279RA3",5.963,4.635,3.393,1.939,2.516,4.058,5.362,6.995,6.809,4.229,5.87,6.704,7.927,1.473,1.755,3.931,9.442,10.883,14.446,16.015,13.023,15.464,16.145,12.093,12.009,11.368,14.996,14.638,12.999,10.96,13.466,13.54,14.028,18.048,19.239,20.059,24.636,28.51,25.076,29.763,34.998,29.002,31.673,39.866,46.807,44.11,30.96,37.576,45.574,51.458,51.946,36.94,34.58,31.95,36.435,47.623,53.142,45.159,45.885,45.472,42.663,34.786,30.881,35.309,48.305,63.866,72.865,79.508,89.601,98.617,108.69,100,81.663,76.724,79.361,101.398
"28","21","      Light trucks (including utility vehicles)","W178RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.312,29.701,25.581,22.599,21.388,20.95,30.463,49.619,58.406,75.635,94.8,96.974,105.297,100,86.6,77.503,85.17,105.775
"29","22","      Other trucks, buses, and truck trailers","W179RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.499,73.282,72.689,56.273,47.615,60.822,79.922,88.572,97.87,86.258,80.535,101.32,114.333,100,73.719,75.277,69.963,94.415
"30","23","    Autos","B280RA3",15.032,10.016,7.247,4.276,5.74,7.179,10.741,13.632,13.877,8.268,11.439,14.854,16.24,2.491,2.386,1.309,1.377,9.602,13.442,13.91,16.558,20.962,15.897,12.523,20.188,19.221,24.973,17.531,19.397,14.193,19.91,20.722,19.441,23.985,22.847,24.205,30.197,28.768,27.68,35.174,36.304,29.108,39.469,42.235,48.355,42.425,41.898,50.976,63.872,67.755,60.144,49.101,58.165,58.501,77.866,92.67,91.372,93.773,80.059,88.982,77.321,82.806,84.236,81.468,90.666,110.29,103.836,103.091,99.963,89.89,100.984,100,95.615,90.377,80.351,79.9
"31","24","    Aircraft","B281RA3",1.969,0.89,0.5,0.05,0.453,0.884,0.467,0.417,1.029,0.774,1.188,1.996,1.628,0.261,0,0.288,1.847,6.324,4.004,1.704,3.151,2.009,1.969,4.61,4.339,4.858,3.458,7.549,9.766,6.983,15.492,13.956,14.46,13.418,8.018,14.126,21.08,29.456,38.868,55.645,40.326,33.393,17.523,24.769,37.293,27.477,24.177,21.967,29.544,34.552,50.59,51.67,45.447,37.816,37.616,33.628,35.453,43.033,45.675,48.118,37.372,50.309,52.666,51.625,49.202,32.491,45.384,42.694,50.538,67.578,97.311,100,102.785,73.354,69.358,62.301
"32","25","    Ships and boats","B282RA3",43.061,54.416,44.873,12.197,7.635,10.806,4.562,28.632,30.088,56.455,26.691,62.246,78.552,81.139,94.598,50.987,79.522,80.783,164.188,70.722,42.188,38.726,75.736,81.269,70.916,36.914,54.902,79.23,96.895,90.974,82.742,74.575,64.838,67.715,58.332,67.293,76.647,80.97,82.672,108.182,116.76,114.492,105.951,129.544,185.301,151.731,197.068,186.154,190.926,182.425,207.322,203.705,239.099,150.133,90.025,76.41,56.123,61.79,74.889,64.181,57.05,57.487,57.605,41.58,73.736,61.37,58.957,73.961,84.848,87.661,86.669,100,85.65,99.335,109.256,111.695
"33","26","    Railroad equipment","B283RA3",80.833,81.471,18.608,10.475,5.199,23.899,20.645,42.035,72.927,28.246,32.625,58.438,73.672,64.763,41.792,54.273,52.069,50.625,82.732,128.69,132.932,95.959,125.831,111.511,100.215,57.451,65.097,82.793,104.654,44.376,49.908,66.604,44.924,68.825,72.071,103.053,126.068,146.746,128.678,91.688,121.424,92.949,97.772,88.014,98.573,114.986,104.456,80.275,89.24,111.105,150.281,130.897,75.865,45.296,30.225,44.825,39.384,34.802,27.226,42.486,59.898,60.179,54.87,51.624,58.548,76.515,82.185,81.336,89.84,100.4,109.735,100,69.878,50.432,44.433,54.796
"34","27","  Other equipment","B682RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.462,22.363,26.872,22.729,24.143,24.285,24.438,24.018,22.404,26.549,27.419,25.857,26.079,28.169,26.039,25.994,27.716,32.329,35.921,40.044,44.964,42.259,42.814,45.895,47.8,47.44,53.544,63.209,63.211,58.213,59.15,66.136,73.712,77.198,69.192,70.876,59.593,56.99,64.525,65.029,63.931,65.968,68.541,76.111,73.408,62.696,62.348,69.625,74.653,78.678,81.704,89.111,96.391,96.826,100,96.335,93.454,98.948,113.412
"35","28","    Furniture and fixtures","B667RA3",8.406,6.765,4.671,2.94,2.627,3.687,4.113,4.975,6.027,5.142,5.626,6.669,8.206,5.59,4.567,4.803,6.636,10.655,12.299,11.313,10.562,11.102,13.358,12.937,12.512,13.938,16.089,17.132,15.922,16.003,16.507,16.975,16.475,17.406,19.562,21.189,23.223,25.99,25.947,25.356,27.936,27.088,25.266,31.692,33.909,30.351,25.69,27.912,34.265,38.296,41.318,43.692,45.038,47.572,50.887,58.959,61.532,63.336,67.658,65.366,72.632,67.988,59.843,65.632,66.097,67.526,71.112,72.644,83.407,91.204,95.983,100,89.701,81.961,85.282,90.765
"36","29","    Agricultural machinery","B268RA3",33.666,31.345,16.445,8.801,5.623,10.014,20.048,28.362,36.131,31.623,28.132,33.287,47.961,34.545,20.002,47.822,54.452,42.572,73.812,96.692,96.425,96.982,96.31,89.844,83.266,72.494,82.581,68.628,66.581,83.722,86.81,68.931,70.519,75.018,92.809,100.022,108.659,125.617,126.691,118.38,118.966,133.807,125.046,146.356,189.239,177.611,189.996,181.634,180.028,188.853,203.741,161.983,156.747,108.08,92.078,96.845,77.243,69.5,71.731,94.718,111.66,122.278,98.693,84.594,96.247,106.131,107.801,106.473,121.625,125.432,91.336,100,105.413,121.672,126.804,158.446
"37","30","    Construction machinery","B269RA3",12.526,10.46,6.636,2.201,1.358,3.147,5.995,9.957,11.937,9.497,8.976,11.488,13.154,8.64,6.108,7.948,23.872,28.065,31.095,36.769,26.485,29.807,31.98,36.199,32.119,26.689,35.304,42.119,32.665,33.726,38.84,30.925,29.28,31.413,41.688,49.818,56.579,62.427,55.661,57.944,63.017,60.412,59.6,71.599,85.38,90.938,72.66,68.853,88.482,106.623,98.548,75.833,70.742,44.8,49.404,67.51,72.876,69.851,63.796,61.048,75.69,74.962,48.873,47.719,60.402,67.538,74.295,83.022,88.239,99.299,99.397,100,87.189,77.651,81.737,113.807
"38","31","    Mining and oilfield machinery","B270RA3",53.398,32.947,15.971,12.601,13.438,20.472,30.896,47.663,44.439,27.945,32.696,41.55,69.641,35.752,33.449,47.412,82.054,53.524,54.444,68.134,51.096,59.112,71.86,72.342,66.606,59.762,78.537,81.322,77.219,51.012,60.114,54.37,49.549,48.316,61.636,68.805,76.972,80.599,59.955,61.615,64.906,86.479,97.051,78.511,95.617,127.184,155.186,156.625,165.143,154.468,149.254,146.202,212.527,143.513,85.322,75.486,65.451,34.882,32.748,38.943,45.454,41.2,32.673,28.855,54.993,53.089,52.676,54.548,70.121,68.86,102.389,100,112.681,67.483,79.761,100.275
"39","32","    Service industry machinery","B570RA3",6.168,4.946,4.078,2.722,2.755,3.274,4.126,6.297,7.208,5.284,6.056,6.699,6.715,5.048,5.686,7.851,10.863,14.469,22.449,30.906,21.377,22.583,19.314,20.675,24.453,23.435,26.731,30.129,31.168,27.347,27.767,27.876,27.631,29.244,28.869,31.856,37.825,43.025,42.625,44.659,49.684,49.621,50.625,51.138,54.936,52.687,43.803,48.217,51.792,58.54,64.559,63.498,62.992,63.051,63.79,74.274,78.742,78.869,85.143,86.276,90.809,79.625,74.352,71.631,75.544,81.952,85.882,88.034,86.464,95.514,100.55,100,99.344,94.224,89.738,94.424
"40","33","    Electrical equipment, n.e.c.","B670RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.319,12.534,12.222,12.145,15.657,13.748,12.886,12.717,11.234,13.307,14.821,14.804,11.848,12.597,13.681,14.324,15.774,21.48,23.344,27.266,27.908,20.793,23.772,26.543,29.293,29.365,34.707,41.124,41.53,36.901,42.675,41.083,59.061,69.731,77.289,81.552,65.799,68.319,73.901,77.281,79.871,79.983,86.512,84.544,75.927,63.063,64.237,64.006,67.409,72.426,69.822,78.831,95.147,93.864,100,108.939,122.715,128.682,138.691
"41","34","    Other","B286RA3",3.413,2.936,2.305,1.781,1.803,1.995,2.261,2.703,2.371,2.055,2.327,2.876,3.524,2.652,2.343,2.542,3.018,5.022,6.417,7.067,6.227,6.598,5.928,6.231,6.556,6.414,7.478,7.639,7.742,8.807,10.664,11.556,12.557,13.937,15.194,16.95,18.178,20.701,18.297,20.215,21.812,23.051,24.893,27.493,33.027,35.193,30.377,32.805,38.19,43.237,48.754,44.512,43.642,45.957,44.62,47.758,50.072,52.893,56.23,59.062,62,60.4,59.062,59.659,68.822,74.872,79.076,83.092,88.382,93.128,95.792,100,100.161,105.011,117.939,127.411
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,11.926,4.485,6.585,10.189,10.967,8.711,12.626,5.678,13.533,14.622,12.652,8.426,14.592,19.657,27.861,28.971,38.558,47.45,57.765,62.591,50.64,52.543,64.038,64.033,55.587,53.365,84.932,103.075,87.644,103.761,102.11,145.307,224.153,194.152,192.42,96.53,74.855,84.306,80.401,82.667,94.784,79.597,77.373,80.05,67.288,66.371,124.49,114.031,120.362,125.854,121.588,119.208,106.809,100,80.065,83.399,73.481,79.529
"43","36","Residential equipment","B013RA3",2.601,2.264,2.157,1.56,1.744,2.157,2.646,3.09,3.427,2.876,3.243,3.748,4.559,2.952,1.254,0.826,1.331,4.788,7.327,7.603,7.128,8.979,8.306,8.26,8.689,8.949,10.188,11.274,11.305,12.008,13.807,12.956,12.995,13.77,15.358,16.46,18.393,18.815,19.294,23.007,26.239,28.568,32.049,38.392,43.203,44.01,40.963,43.101,47.168,51.314,56.219,56.27,56.198,54.018,60.294,66.831,72.099,78.01,81.199,83.948,84.395,81.858,78.657,81.088,82.708,83.249,84.324,83.921,83.213,87.633,95.271,100,100.399,104.111,109.868,121.085
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
