"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"11","2","Q1TDG1 A Durable goods","Q1TDG10",492251,461111,459350,462087,451934,451848,453332,446529,451537,441298,439373,431568,407956,419542,446417,425775,424463,430368,434305,429643,436895,423461,425775,430169,442998,447410,439027,436731,446970,456233,451856,455948,461292,465514,456769,475080,479120,467059,464927,481770,490110,486700,494807,487512,493935,500824,505054,509483,510148,521423,520258,532733,514128,523115,523288,531325,532543,546831,550629,546382,538931,530471,542419,529297,541970,559280,548816,561948,568310,557329,569035,583703,563225,579516,585706,596524,598967,589988,594124,602420,603689,608930,614593,613255,628596,625946,635244,627439,622199,634078,648349,666729,654988,659253,677176,683236,671590,677944,679101,692577,717044,712788,709283,726981,745223,763016,762351,785575,754288,770967,777011,789020,804456,817397,815929,821601,824658,816689,820030,842537,860891,883899,873617,851248,854563,848140,848986,859812,882621,869801,862644,863689,861781,872374,873142,879263,889450,899966,893396,905707,874247,974108,943719,922041,928490,960459,961987,968557,937598,948053,970283,975826,943201,939748,954096,997565,964594,956125,974341,990485,1006396,1018362,1050063,1085658,1071560,1054872,1064671,1092979,1052066,1058628,1071379,1065457,1083310
"12","3","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",297951,258882,258488,264173,253931,256694,256814,250866,256134,244654,240128,234203,207433,218031,247221,222020,218997,226673,232208,226673,237059,221687,227265,233805,238872,245288,236379,232170,244148,251167,243700,245060,248593,252597,243278,257978,255465,245091,243448,258828,262260,258627,263424,255724,259462,267969,268924,271745,276198,282862,275069,287794,264645,269770,270338,274122,271877,280256,284613,277373,267339,262608,273087,258774,264773,281200,265924,278328,279854,268483,276364,290418,274068,285254,284960,291380,288064,278080,282054,288312,287384,288323,291701,284732,304352,295829,302110,291222,287569,293541,303486,320941,303768,307382,320280,325367,308198,310405,312260,323403,344569,333747,325580,338941,355403,369349,364131,381578,350023,356961,358298,372719,380148,387867,383012,383078,381335,367753,369944,378100,396077,414892,398848,375788,379043,373519,372128,380399,396973,387739,380782,382027,377717,387828,388037,393475,400181,410099,398017,406586,389073,471996,434609,406899,410177,432869,436417,436367,406949,416875,437202,438563,407541,399667,410401,446834,414641,411553,417173,425808,430106,432537,454696,480825,465155,444090,451774,474385,435961,432092,439193,434833,451994
"13","4","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122012,122375,122115,120491,120551,119596,118842,118833,119277,118298,118113,117825,117281,118532,120494,121599,122237,121790,122669,122929,122231,121467,120663,121176,125031,124643,124146,124396,125138,127137,127622,128824,130132,130833,130983,134246,137169,136133,135279,138102,140217,141062,142182,142104,144037,144231,145780,146747,144945,148875,152320,153159,153606,155918,156065,159342,161034,163966,164893,167077,167474,165109,165922,165703,169743,172975,174211,176079,177938,178445,182957,183232,178754,183723,187128,190589,193608,193796,194259,194731,197917,199560,201853,204522,202717,207163,209282,211459,211988,214601,217993,219989,222530,223560,226025,227953,231683,234543,234155,234777,238479,242409,245601,249797,251699,253965,258067,260780,260736,267091,270589,269838,276090,279291,280762,285218,290969,292634,294414,301148,303129,306630,310254,313004,310376,310460,313486,315589,318621,319081,318011,316243,322635,321233,323627,322645,327063,330295,333687,336735,328142,337139,344145,349836,352693,358191,357756,362105,362543,363876,364515,366520,367465,371346,373467,375604,375470,370551,378007,380598,393002,401419,406175,413147,417856,419533,421373,426489,428949,432744,437726,439271,440676
"14","5","Q1TOD1 B   Other","Q1TOD10",95359,94835,93658,94115,91821,90773,93389,91172,91413,91662,93724,90839,89310,90818,91740,89669,89939,90298,88493,87925,87717,87699,86532,84866,88669,88397,87836,88672,88205,89182,90287,91760,92553,92588,91229,93325,95777,93520,93874,94356,97269,95741,98541,97765,98644,98095,99642,100494,99578,100293,101474,102102,102677,104508,103992,104777,105895,109538,108357,107749,108658,107129,109011,108740,111438,110264,111949,111872,114829,113285,112608,114464,113811,114242,116860,117879,119939,119812,119800,121946,120336,122947,122888,125078,124242,124537,125669,125588,123065,126602,127864,127700,129329,129080,132273,131431,131929,133134,132965,135272,135764,137521,138395,138883,139332,141325,141324,144843,144013,147308,148366,147129,148832,150892,152620,153623,152487,156268,155608,163236,161741,162541,164543,162375,165089,164111,163334,163786,166987,162978,163891,165435,161741,163447,161716,163231,162319,159654,162159,162755,157565,163450,164783,166245,166628,169816,168126,170546,169647,168610,169128,171268,170034,171126,172291,175705,176315,175640,180840,185297,185338,186982,190859,192587,190858,194434,194513,194500,191887,198512,199258,196760,195424
"15","6","Q1TND1 A Nondurable goods","Q1TND10",1477139,1483058,1489445,1483993,1483311,1491840,1492619,1493164,1487225,1475055,1482260,1468454,1464618,1471978,1485531,1481890,1490243,1484830,1492307,1488725,1478521,1476087,1477216,1474412,1505587,1502744,1493495,1498655,1503815,1493729,1501148,1510358,1514291,1529460,1531076,1537191,1535010,1531038,1525430,1536879,1548971,1547453,1554833,1554794,1569281,1562563,1568190,1569748,1564569,1586416,1595081,1594478,1593056,1603435,1603980,1613794,1613969,1624348,1620921,1632819,1637687,1618078,1628165,1628359,1637492,1642671,1641133,1637122,1648494,1635934,1648961,1659262,1648026,1657314,1667187,1673613,1673885,1683582,1684167,1687730,1687730,1698595,1699900,1703541,1700718,1711389,1720424,1708020,1705508,1720696,1733529,1736741,1738202,1737267,1746361,1745231,1756681,1762250,1777321,1782228,1782267,1796988,1796093,1801525,1801584,1813442,1829507,1833421,1836673,1851958,1859027,1862434,1875033,1866134,1862337,1876571,1882082,1893064,1904903,1949222,1900580,1909304,1941666,1944431,1946632,1940946,1949864,1952454,1962599,1969005,1967136,1981974,1984992,1972919,1965520,1968188,1980260,1958841,1983434,1994397,1972277,1996052,1998564,2023956,2033926,2039826,2034023,2039514,2029914,2043954,2043253,2038774,2034354,2050321,2065529,2069579,2095360,2084261,2091875,2081321,2097561,2111678,2128385,2143768,2130741,2143807,2170912,2172587,2196070,2195914,2203684,2199926,2201912
"16","7","Q1TFD1 B   Food","Q1TFD10",771985,776490,784215,786870,785399,790062,788082,789008,792532,781976,786371,779488,776481,776879,785733,781671,789951,787971,788406,788064,782800,781153,783808,777017,794744,789202,784521,782828,784502,774566,781153,784937,783198,795595,800193,799628,795363,797084,793226,798324,799666,800942,802247,803708,812535,806826,807909,808047,797778,814755,819917,820093,819779,825737,823202,824608,827883,829669,829224,829484,833369,821259,825283,824395,828188,826828,826329,828272,827272,825811,825589,832518,829021,830113,832999,835146,835904,834886,835664,833082,833730,836644,839818,839503,843565,843722,846775,843389,839836,842427,848866,848681,848718,846285,845378,845341,848838,851826,857960,858682,861439,867980,866351,869996,872365,873540,877685,879970,872319,880451,882514,886455,892200,888398,889601,894606,899213,901258,906568,929327,906753,913766,927893,925358,921991,929401,928217,925081,929966,935035,930974,927532,941447,936210,931890,934258,938736,934083,933574,940133,935091,936007,933407,949274,952096,953169,953576,956814,956601,959599,960607,958461,956018,959830,967240,964650,982330,975817,980674,979360,985531,991230,1000593,1005986,1001768,1007032,1014627,1011149,1027339,1032714,1036554,1035860,1030984
"17","8","Q1TCS1 B   Clothing and shoes","Q1TCS10",193614,189500,189982,186121,188014,190024,189619,187136,186493,186016,186514,184817,184293,188523,190723,193227,190613,188577,191709,191649,186707,186683,186939,185385,191875,197380,193304,196091,196978,198925,198389,202245,203623,203635,202968,205287,209110,200905,199184,204525,207892,208229,209470,206850,209536,211218,210899,210762,211429,215713,219217,216696,213370,214966,216115,220843,218925,224070,224397,226240,226339,221376,224499,223513,225416,228074,230242,226008,233067,225856,231471,232739,228360,234800,233237,237006,237012,239480,238366,243067,243493,244413,241888,243216,241623,243391,243740,239414,239411,243665,246577,250132,248697,250462,252254,252245,253853,259647,261284,263737,262412,263466,263960,260638,261799,267351,268786,270218,275744,279352,281609,279855,283327,283603,283181,285065,285774,284383,284622,285610,287048,290210,296557,294324,298784,296042,298772,299924,304613,300677,302898,302699,305298,300505,294672,298784,302062,300615,304711,308653,299376,305875,306977,314372,318266,319606,314813,319618,313080,320916,319814,318061,314860,324092,321639,324411,327781,323592,325858,325795,333994,336010,340586,339829,338091,337165,340371,344152,350827,355007,352351,346340,348317
"18","9","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",154197,163604,160900,158943,158145,159123,161320,164406,155725,155347,155912,153745,154434,154541,154168,154980,156919,158204,160092,157335,158421,157733,154700,159177,160046,156027,162354,163545,164948,161140,163102,162764,165626,163514,164286,166229,160560,165542,166245,163966,169157,165126,166691,170254,170302,166417,169889,168443,174413,171095,165982,167629,170147,170710,171719,170398,168424,169027,164835,171650,171055,174404,172765,172947,174180,175493,172941,172280,171711,170695,174116,173088,174802,172238,178777,175823,175620,178551,177640,177768,174364,177008,176663,174888,173598,177986,179907,178823,178335,182115,182245,179382,179805,178450,183534,181730,183606,182664,188455,188797,185123,182678,184493,188079,183009,186496,190362,191815,191758,193234,194548,195882,193833,190904,193002,189738,183936,193573,191088,200516,192332,191172,191149,194126,191999,184365,188841,191626,186720,190324,192715,202414,198398,197259,198705,197263,189479,180554,195168,190017,189079,194115,204164,203072,200581,205885,203773,198772,198123,195716,195656,197910,191647,193703,202676,206636,204530,203212,201437,193613,193946,191153,192679,199538,191792,197282,208237,208867,206915,201686,200152,200763,203812
"19","10","Q1GAO1 B     Gasoline and oil","Q1GAO10",140569,147646,143817,141329,141073,141312,143095,144301,138649,141421,140500,138403,138125,139348,138438,139209,140857,141589,142243,139745,141480,141087,138062,143216,144340,140339,145605,144864,146160,143850,146806,146488,149320,146520,147730,149480,144054,148784,148979,147470,152754,148154,149100,152473,152684,148939,151774,150824,153074,152397,148327,151661,152731,152738,153685,152266,149922,151310,147535,154245,154584,155956,154971,154568,154911,156552,154061,153690,153739,153539,154300,152692,155568,152362,159508,157228,157660,160834,159598,159940,155594,159255,159503,157681,156555,162587,163887,162027,161077,164953,165090,161939,162724,161503,166051,164881,168814,167564,171553,171916,169004,165775,167801,172102,167472,170587,174279,176522,176162,178310,176673,178972,176411,174193,176137,173192,167565,177615,175477,184560,175974,176627,177557,179420,176104,167744,172824,175252,170852,174542,176770,184203,182124,181883,182768,181646,175403,166554,180838,174630,173775,178739,189081,188321,185821,191555,188783,183362,182096,180176,179664,181937,175749,176986,185660,188294,186995,186536,186780,179257,179155,175180,176306,183561,175733,180076,191880,190729,189550,185038,185340,184609,188781
"20","11","Q1FUL1 B     Fuel oil and coal","Q1FUL10",14048,16099,17128,17774,17201,17957,18365,20344,17187,14000,15460,15393,16404,15297,15831,15871,16170,16758,18062,17803,17107,16808,16805,16094,15799,15794,16881,18938,19046,17463,16382,16364,16381,17134,16657,16852,16640,16871,17418,16609,16486,17099,17739,17927,17756,17631,18287,17752,21680,18894,17821,16046,17557,18137,18201,18324,18765,17874,17458,17482,16423,18632,17911,18565,19553,19164,19117,18801,18131,17251,20124,20756,19484,20171,19483,18780,18086,17791,18162,17920,18941,17851,17239,17279,17116,15416,16049,16848,17319,17214,17208,17525,17132,16997,17551,16904,14765,15106,16927,16894,16141,16918,16712,16011,15571,15945,16115,15314,15592,14915,17898,16910,17508,16766,16907,16585,16453,15935,15570,15860,16290,14534,13585,14672,15876,16685,16027,16396,15893,15828,15985,18141,16297,15453,15962,15654,14091,14049,14390,15369,15279,15336,15133,14821,14800,14437,15025,15413,16029,15529,15990,15966,15891,16711,17012,18339,17499,16673,14800,14474,14876,15954,16367,16008,16106,17231,16420,18113,17400,16691,14842,16244,15016
"21","12","Q1TON1 B   Other","Q1TON10",362999,361352,362024,360766,359642,360153,361358,361427,361176,360047,361981,358891,357761,359317,361944,358075,360052,357889,359381,358539,358827,358597,359509,361374,366606,365551,360441,362711,363953,364294,364326,365365,366793,371951,369239,371317,373480,373741,373379,375271,377439,377684,380977,379805,382352,382390,384457,387329,386338,389141,392834,393766,394667,396787,397549,401461,402484,404445,404727,408302,409826,405020,408937,411047,413194,415512,414095,413679,418310,416439,420334,423164,418976,421992,425162,427800,427475,432851,434780,435563,437450,442155,443460,447691,443642,448293,452279,449023,450547,455231,458279,460235,462963,463752,467444,467945,472597,469464,471984,473268,474776,483622,482434,485093,485258,487213,494551,493496,498574,500530,502059,502224,506801,503785,497540,507313,512380,514458,522798,534723,514735,514235,526117,530679,533817,531190,533998,535789,541373,542892,540419,549052,539620,538618,539822,537345,549664,543712,550144,555414,548226,559858,555520,558211,563508,562901,562938,564654,562021,567659,567046,564435,571053,572705,574154,574650,580858,581519,584103,582888,585099,594078,595549,599130,600099,602721,608140,609440,612073,608257,616112,617641,619437
"22","13","Q1TSS1 A Services","Q1TSS10",2802321,2813086,2825108,2838938,2851078,2858542,2865300,2876576,2875240,2875633,2866007,2872215,2860585,2867697,2876654,2894138,2899127,2897202,2906396,2908282,2911857,2913114,2931580,2932758,2951381,2951263,2979079,2980494,2986112,2997113,3010628,3007878,3029761,3025243,3043394,3047362,3036597,3065553,3059542,3060524,3054788,3081072,3088065,3102366,3109399,3117689,3120792,3131950,3151005,3156309,3148530,3154895,3169353,3179371,3174539,3189036,3193908,3198348,3199408,3204948,3207423,3226832,3229778,3236222,3250483,3266788,3265177,3281128,3274528,3279124,3296490,3304623,3313816,3327135,3337782,3340100,3343557,3352476,3359744,3366855,3373063,3374006,3382296,3401311,3408697,3424727,3419973,3438910,3451875,3449911,3479731,3483974,3492932,3516583,3513362,3534931,3537603,3567697,3580741,3579680,3600228,3626001,3632484,3641560,3652128,3644545,3652403,3664307,3687527,3689648,3711886,3729094,3737187,3749170,3772783,3783862,3790070,3799106,3815371,3830537,3845191,3874579,3893437,3892966,3907502,3924043,3936379,3949580,3961995,3972092,3983447,4004780,3994330,3984586,3989929,4011067,4015310,4013620,4023796,4040808,4023364,4048312,4058959,4065009,4082886,4095537,4107362,4123549,4140561,4146847,4165313,4157573,4155333,4168299,4177178,4180714,4188886,4190496,4192618,4194111,4211123,4219845,4230531,4236346,4244793,4251393,4266873,4280860,4299993,4307537,4314019,4320973,4336178
