"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"26","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",5600,5694,5806,5890,5813,5693,5667,5639,5758,5872,5910,5868,5767,5769,5854,5926,6145,6151,6187,6046,6197,6331,6426,6520,6666,6676,6790,6897,6902,7060,7096,7241,7407,7593,7830,7855,7954,7943,7978,8112,8231,8265,8239,8263,8279,8410,8734,8796,8853
"27","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",31314,31532,32115,32444,32498,32893,33449,33356,33696,33761,34220,35106,34380,34648,34871,35325,35868,36320,36199,36374,36462,36463,37516,38061,38820,39357,39444,40277,41233,42399,42505,42799,43300,44018,44829,44937,44630,43848,43584,44004,45402,45230,44488,45830,46054,46213,47558,48333,50154
"28","20","S2 EN4481ZZMA     Clothing stores","T050200",22024,22572,23128,23302,23347,23427,23522,23588,23702,23860,23978,24544,24162,23972,24213,24401,24731,24999,24975,25262,25396,25554,26443,26711,27185,27666,27758,28258,28998,29930,29876,29839,30399,31073,31676,31954,31775,31376,31205,31533,32546,32452,32083,33081,33150,33358,34182,34536,36144
"29","21","S2 EN4482ZZMA     Shoe stores","T050210",4942,4746,4707,4794,4797,4855,4923,4997,5063,5009,5137,5245,5018,5306,5248,5308,5367,5532,5454,5419,5457,5430,5480,5575,5688,5617,5645,5787,5815,5869,5797,5736,5871,5769,5845,5857,5771,5788,5785,5728,5882,5767,5526,5663,5713,5574,5810,5946,6025
"30","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",4348,4214,4281,4349,4354,4612,5004,4771,4930,4892,5105,5317,5200,5370,5409,5615,5770,5789,5770,5693,5610,5479,5593,5775,5947,6074,6041,6231,6421,6601,6831,7224,7029,7176,7308,7125,7085,6684,6595,6743,6973,7011,6878,7086,7191,7280,7566,7850,7984
"31","23","S1 EN452ZZZMA   General merchandise stores","T050230",65169,65460,66057,68431,68753,70236,71856,73331,74287,75267,76652,78524,78576,79730,81547,81342,81691,83896,85059,86319,86943,87576,89313,89811,91795,93319,94131,96201,99443,100647,102441,104231,104903,106587,109129,110467,111302,112062,114970,117358,119048,120674,120597,122052,123027,124211,128053,128812,132589
"32","24","S1 EN4521ZZMA     Department stores","T050240",46694,47103,47404,48619,48835,49756,50791,51568,52358,52749,53526,54400,54302,54702,56098,55492,55366,56640,57277,58017,58122,58476,59328,59514,59553,59724,59615,60385,61635,61633,61983,61793,61738,61917,62140,62533,61587,60514,61400,61082,60933,60623,59540,58912,57711,57532,58648,57623,58404
"33","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",18476,18358,18654,19812,19918,20480,21064,21763,21929,22518,23126,24125,24274,25028,25449,25850,26325,27256,27782,28303,28822,29100,29984,30297,32242,33595,34516,35816,37808,39014,40458,42437,43165,44671,46989,47934,49715,51549,53571,56276,58116,60051,61057,63140,65316,66679,69405,71189,74185
"34","26","S1 EN44EZZZMA   Other retail stores","T050260",109384,110745,112608,115501,116706,117894,118505,121503,123810,125688,130322,131950,132682,135443,137480,139282,142069,147879,148192,153301,155131,154282,156274,157390,157585,159815,162577,164990,168678,173702,178231,185990,192988,195208,198858,202526,200222,200988,197988,194375,196562,202888,204754,207554,213927,210036,216001,219922,227520
"35","27","S1 EN446ZZZMA     Health and personal care stores","T050270",23262,23272,23113,23437,23688,23853,24049,24363,24264,24716,25234,25517,25744,26109,26316,26887,27220,27997,28518,29244,29775,30113,30839,31268,32076,32819,33867,34692,35526,36335,36825,38445,38784,39742,40604,41511,41971,42361,42923,44014,45125,45983,46392,46657,47520,48140,49660,50469,51139
"36","28","S1 EN447ZZZMA     Gasoline stations","T050280",39339,39729,40490,41363,41650,41718,41496,42179,42785,42870,44748,45719,46004,46836,46911,46552,48357,50630,49793,51187,52299,50626,51190,51137,49441,49039,48951,49510,50393,52501,55452,58719,61894,62028,63552,65390,64162,65943,63070,58029,57731,61761,62597,64477,69174,64962,67200,68081,72736
"37","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",12848,12928,13039,13458,13509,13933,13759,14271,14765,15068,15499,15622,15827,15911,16349,16467,16701,16666,17038,17462,17119,17140,17273,17857,17967,18440,18476,18628,19265,19569,19663,19885,20063,20843,20765,20086,20612,20652,20952,21374,21662,21413,21559,21709,21239,21317,21734,21541,22082
"38","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",8983,9014,8974,9235,9146,9557,9559,9873,10257,10321,10546,10634,10673,10781,10984,11208,11332,11149,11519,11894,11436,11598,11665,11914,12049,12494,12389,12481,12994,13172,13336,13372,13716,14141,14279,13744,14062,14127,14349,14859,15128,15010,15170,15398,14959,15035,15364,15353,15810
"39","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",3865,3914,4065,4223,4363,4376,4200,4398,4508,4746,4952,4988,5154,5130,5366,5259,5369,5517,5520,5568,5683,5541,5608,5943,5918,5946,6087,6148,6271,6397,6327,6513,6346,6702,6486,6342,6551,6526,6604,6515,6534,6403,6390,6311,6280,6282,6370,6189,6271
"40","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",14093,14142,14468,16022,16143,16167,16399,17043,17420,18087,19230,19385,19411,20193,20631,20806,20454,22438,22475,22926,23907,23423,24143,24655,25505,25517,26553,27098,27423,27378,27197,28998,29474,28519,28275,28075,27780,27945,27545,27157,27293,27568,27772,27324,27210,27521,27625,28145,28487
"41","33","S3 EN4531ZZMA       Florists","T050330",1550,1552,1622,2068,1825,1653,1644,1696,1717,1759,1756,1754,1727,1808,1767,1739,1837,1904,1871,1943,1927,1934,1935,1956,1977,1970,2073,2074,2111,2106,2075,2078,2137,2171,2266,2260,2205,2200,2130,2051,2124,2117,2055,2089,2160,2209,2261,2356,2111
"42","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",5494,5483,5743,6100,6157,6388,6362,6491,6938,7098,7394,7432,7216,7662,8029,8280,7521,8071,8545,8703,9051,8796,8873,9017,9497,9637,10046,10295,10584,10552,10519,11034,11334,11368,11244,11191,10845,10823,10675,10499,10751,10676,10923,10858,10647,10910,10864,10735,11009
"43","35","S4 EN4533ZZMA       Used merchandise stores","T050350",1432,1511,1526,1534,1523,1741,1684,1654,1698,1537,1626,1738,1703,1829,1832,1784,1776,2225,1913,1932,2219,1950,2163,2357,2360,2327,2498,2582,2492,2537,2483,2711,2704,2739,2747,2621,2655,2628,2645,2606,2767,2677,2703,2614,2934,2813,2859,2907,2782
"44","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",5616,5597,5577,6320,6638,6386,6708,7202,7067,7692,8454,8462,8765,8895,9004,9003,9320,10237,10146,10349,10710,10743,11172,11325,11670,11583,11936,12146,12235,12183,12120,13175,13300,12242,12018,12004,12076,12294,12094,12001,11651,12098,12090,11764,11469,11589,11641,12146,12585
"45","37","S1 EN454ZZZMA     Nonstore retailers","T050370",19843,20673,21499,21220,21715,22223,22803,23648,24577,24947,25612,25707,25696,26394,27273,28570,29336,30148,30367,32482,32031,32979,32829,32473,32597,34000,34730,35062,36071,37919,39094,39943,42773,44076,45661,47463,45697,44086,43498,43801,44752,46163,46433,47386,48783,48096,49783,51686,53075
"46","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",7895,8881,9726,9513,9992,9918,10311,11370,11617,12037,12079,12363,12478,13032,13869,14494,14877,15281,15804,16523,16957,17955,18201,18493,19353,20015,20654,21138,22092,23166,24187,25075,26765,27771,28473,29398,27991,27981,27482,28140,29270,29698,29917,30092,30643,30990,31721,32608,33909
"47","39","S4 EN4542ZZMA       Vending machine operators","T050390",1885,1721,1790,1855,1756,1794,1781,1735,1818,1825,1790,1745,1730,1778,1674,1789,1708,1877,2039,2082,2130,1992,1892,2002,2004,2117,2104,2213,2254,2307,2322,2288,2475,2565,2494,2413,2298,2305,2404,2540,2552,2457,2399,2344,2342,2290,2296,2339,2287
"48","40","S4 EN4543ZZMA       Direct selling establishments","T050400",10063,10070,9983,9852,9966,10511,10710,10543,11142,11085,11743,11598,11489,11584,11730,12287,12751,12991,12524,13877,12944,13032,12735,11978,11240,11869,11971,11711,11725,12446,12585,12580,13534,13740,14694,15653,15407,13799,13613,13121,12929,14008,14118,14950,15798,14816,15766,16739,16880
"49","41","S1 EN722ZZZMA Food services and drinking places","T050410",54211,52648,53067,55178,55609,56828,57900,57939,58039,59454,60229,60710,60619,61646,62305,62404,62806,63700,64387,65865,67159,67538,68987,68782,70313,71504,72211,73870,74050,75042,75420,77757,80112,80709,81303,81445,83586,83349,84022,84888,87543,87989,88298,89277,91251,93378,95549,98452,102125
"50","42","S4 EN7221ZZMA   Full-service restaurants","T050420",23515,22419,22409,23456,23421,24077,24705,24789,25214,25746,25946,26077,25899,26379,26729,26467,26682,27306,27975,28891,29915,29914,30852,30717,31176,31528,31645,32426,32577,33167,33258,33966,34992,35161,35324,35518,36275,36234,36826,37047,38454,38503,38577,39327,40364,41627,42748,43852,45688
"51","43","S4 EN7222ZZMA   Limited-service eating places","T050430",22645,22718,23212,24036,24537,24982,25341,25390,25066,25855,26405,26861,26992,27141,27382,27679,27873,28139,28050,28350,28473,28958,29106,29030,29935,30675,31177,31752,31696,31881,32133,33300,34113,34611,34864,35130,36278,36031,36206,36766,37556,37810,38217,38244,39274,40138,40862,42508,44183
"52","44","S4 EN7223ZZMA   Special food Services","T050440",4624,4335,4294,4465,4464,4525,4583,4644,4618,4724,4814,4691,4599,4901,4830,4833,4861,4873,4943,5147,5346,5177,5425,5449,5542,5640,5665,5933,5966,6116,6219,6502,6809,6721,6976,6780,6998,7082,6748,6615,6995,7049,6916,7171,7026,6923,7174,7266,7209
"53","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",3427,3178,3152,3221,3187,3245,3271,3115,3141,3130,3064,3081,3129,3225,3364,3425,3390,3382,3419,3477,3425,3490,3604,3586,3659,3660,3724,3759,3811,3878,3811,3989,4198,4217,4138,4017,4034,4003,4242,4460,4538,4627,4588,4534,4587,4690,4766,4827,5046
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",422623,422954,427595,435514,440254,446398,452030,458711,464988,474138,483906,491261,492280,496616,503164,508655,513752,526541,531183,540075,546320,548107,556840,560149,566868,574720,582400,593148,604516,615824,626499,643639,657557,663576,672212,678568,681748,685070,686131,689562,700247,710915,711825,720322,732178,736918,758643,770493,794644
"56","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",368412,370305,374528,380335,384645,389570,394130,400772,406949,414684,423677,430551,431661,434970,440859,446251,450946,462841,466797,474210,479161,480569,487853,491367,496555,503216,510189,519279,530466,540782,551079,565882,577446,582866,590910,597122,598162,601721,602109,604675,612704,622926,623527,631046,640927,643540,663094,672040,692519
"57","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores\1\","T050480",140159,141300,142938,146611,148001,151307,154159,156514,159449,162431,166134,170318,169686,171898,175446,177023,177303,181504,183653,185745,186464,187699,191495,193911,198066,200928,203217,207259,212896,216681,220021,223489,226710,230218,233343,233029,233861,233470,236819,241278,245761,247022,246317,249973,250164,253718,261333,263400,270809
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
