"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40171,40228,40679,41159,41797,42606,41295,41375,42082,42760,43407,44402,44318,44933,45163,45353,46091,46386,47009,47415,48198,48893,49089,50068,50393,50657,51037,51489,51055,51218,51553,51453,51450,51402,51678,51167,50892,51110,51377,51862,52163,52486,52010,52620,52645,52183,52468,51914,52482,52560,52615,52205,52921,52318,51669,51051,50801,50546,49596,48984,48930,48400,47933,47304,46531,46337,46551,46227,45759,45248,45343,45592,45242,45469,45271,45159,44968,44633,44368,44192,43982,43816,43915,43471,43556,43780,43263,43133
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",14814,14869,15238,14718,14336,14956,15065,15350,15444,15147,15499,16125,16071,16347,16220,16354,16626,16774,16889,17516,18152,18550,18539,18623,18730,18702,19155,18904,18961,18885,18658,18730,18876,18955,19201,19057,19113,19482,19509,19765,20154,20740,21111,21052,20620,20766,20889,21098,21559,21286,21288,21148,21516,20385,20383,20130,20033,20005,20144,19995,19954,19887,19769,19841,19264,19455,19144,19380,19271,19489,19300,19350,19426,19488,19403,19586,19486,19451,19618,19426,19722,19781,19676,19924,19378,18726,18768,18539
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92212,92161,92081,91808,91853,93053,94115,94915,95088,96481,97913,98242,97981,99107,99197,98734,99882,100513,100947,101823,102992,102769,104238,103620,103617,104922,105257,106263,105314,104922,106540,107503,107624,108612,109188,109154,110526,110364,110743,110836,110905,110922,111583,112222,112958,113643,114287,114213,113013,113438,114074,115374,117085,118281,117580,118715,119143,117680,118685,118842,119298,118568,119098,117820,118417,119378,120067,119160,118899,117453,117546,119312,118931,118032,118324,118086,118091,118301,119221,119383,119660,119370,119144,118520,117148,118097,117887,116984
"50","42","D     Paper and paper products wholesalers","KS42210",7645,7705,7726,7803,7941,7803,8130,8342,8233,8178,8207,8266,7963,8306,8353,8344,8332,8319,8303,8310,8285,8160,8355,8417,8395,8484,8548,8579,8569,8605,8662,8681,8678,8630,8679,8463,8695,8675,8798,8773,8762,8723,8759,8827,8824,8942,8938,8942,8818,8966,8853,8828,8876,8733,8649,8609,8613,8602,8523,8452,8429,8372,8311,8271,8385,8460,8362,8327,8320,8249,8305,8322,8286,8402,8360,8355,8317,8304,8328,8352,8325,8411,8432,8619,8576,8555,8613,8535
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14084,13849,14148,13885,14169,14456,14618,15184,15267,14957,15453,15568,15822,16260,16349,16304,16531,16054,16055,16130,16052,16187,16461,16528,16866,17159,17387,18149,18567,18830,19172,19391,19303,19840,19747,19706,20238,20417,20810,20959,20931,21528,22072,22164,22663,22967,23229,23951,23752,23620,24670,25391,26621,27158,27091,28192,29449,28915,29779,30099,30120,29980,30237,29690,29584,29731,29439,29314,29761,30074,29987,30562,30412,31047,31639,31952,32229,31810,32425,32720,32365,31967,32221,31356,30546,31511,31780,31001
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11707,11854,11992,12048,12156,12384,12426,12402,12358,12943,12922,12860,12874,12601,12646,12701,12654,12769,12706,12894,12770,12852,12907,12873,12376,13020,12539,12254,12089,11848,11862,11828,11650,11743,11926,12084,12319,12279,12268,12428,12528,12222,12323,12198,12282,12158,12160,12049,12084,12453,12611,12838,13026,13216,12894,12847,12719,12643,12236,11819,11992,11795,11680,11299,11300,11627,11770,12078,12319,11924,11871,11892,11839,11673,11848,11829,11689,11817,11770,11622,11494,11248,11417,11327,11219,11336,11426,11356
"53","45","D     Grocery and related products wholesalers","KS42240",16995,16878,16852,16614,16860,17043,17080,17005,16970,17568,17716,17816,18038,18267,17709,18085,18344,18213,18263,18250,18109,17883,17995,17795,17865,18235,18465,18968,18800,18289,18956,19102,19174,19332,19824,19800,19719,19824,19710,19678,19498,19307,19586,19695,20080,20185,20709,20249,20008,19878,19704,19605,19347,19438,19115,19439,19283,18652,19099,19423,19348,19174,19435,19542,20049,20546,20758,21082,20568,20694,20529,20710,20976,20874,20596,20199,19842,19767,19960,19961,20157,19613,19628,20192,19739,19985,20121,20096
"54","46","D     Farm product raw material wholesalers","KS42250",9834,10041,9847,9830,9632,9839,10343,10163,10042,10782,11313,10736,10610,10531,10417,9977,10062,10762,11016,11491,12380,12674,12824,12645,12506,12501,12717,13120,12979,13005,13244,13947,14024,14171,13769,13588,13979,13713,13868,13846,13882,13724,13717,13932,14116,14309,14323,14209,13863,13883,13599,13718,14111,14103,14141,14014,13740,13441,13729,13826,13891,14002,14031,13791,13704,13809,14133,13177,12432,11417,11622,11737,11600,11500,11379,11413,11413,11594,11694,11777,11817,12779,12117,11801,11974,12299,12354,12153
"55","47","D     Chemical and allied products wholesalers","KS42260",4662,4673,4731,4674,4546,4913,4952,4942,4923,4943,5011,4915,4963,4826,4821,5002,5161,4948,5147,5123,5259,5236,5342,5331,5446,5469,5373,5392,5356,5318,5400,5308,5332,5349,5346,5487,5427,5435,5488,5446,5366,5404,5337,5337,5195,5152,5103,5088,4999,4881,5031,5209,5150,5206,5229,5213,5322,5374,5298,5311,5328,5335,5303,5249,5247,5176,5057,5188,5222,5198,5234,5137,5185,5047,4910,4855,4886,4937,4969,4886,4914,4896,4830,5015,4755,4728,4643,4635
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6343,6336,6291,6367,6543,6409,6383,6282,6391,6433,6421,6630,6735,6735,7001,7241,7529,7415,7403,7459,7928,7542,7349,7363,7636,7743,7461,7081,6812,6912,6824,6491,6540,6400,6317,5931,5834,5676,5581,5573,5534,5631,5439,5605,5420,5336,5523,5452,5224,5356,5386,5338,5383,5485,5721,5701,5701,6088,6481,6946,7297,7224,7010,6704,6585,6550,6563,6410,6561,6111,6115,6742,6411,5764,5636,5708,6261,6471,6276,6377,6526,6552,6488,6436,6187,6076,5942,5867
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5103,4947,4790,4957,4773,5015,4933,4967,5117,5022,5101,5456,5339,5467,5794,5429,5444,5675,5590,5745,5798,5839,5989,5660,5754,5950,6285,6028,6234,6058,6158,6123,5981,5971,5944,6012,6105,6139,6100,6149,6213,6040,6043,6088,6085,6134,6173,6249,6198,6133,6040,6044,6035,6186,6072,6078,6108,6060,5960,6044,6176,6104,6275,6348,6367,6299,6334,6190,6379,6478,6585,6666,6739,6669,6692,6635,6673,6685,6749,6633,6709,6682,6907,6807,6748,6666,6573,6693
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16529,16458,16360,16288,16034,15884,15796,16296,16537,16108,16095,16599,16279,16835,16966,16668,16931,17261,17299,17173,17274,17038,17539,17561,17475,17054,17030,17048,16185,16393,16524,16791,17111,17287,17698,18066,18177,18167,18076,17940,18143,18307,18267,18342,18270,18443,18104,18007,18045,18231,18146,18357,18494,18695,18618,18553,18142,17905,17637,17085,16969,16818,16957,16992,17217,17187,17595,17403,17444,17495,17453,17703,17647,17313,17552,17397,17029,17136,17249,17245,17523,17245,17243,17151,17511,17024,16546,16777
"59","51","A Retail trade industries","KS440",325285,327629,325441,329308,330781,330810,333644,332827,335557,337463,339310,340561,342766,345937,350400,354401,352999,353173,354527,354161,355715,355902,357726,357859,361689,363272,366348,367453,367917,369513,370841,371709,373670,376949,380501,385517,384597,385354,387559,389743,393699,396651,398939,401909,402422,405252,406829,407133,406394,405267,406011,404648,403668,402301,401016,402164,401767,397616,394664,396018,397894,398014,396860,398373,399286,401660,403625,405048,408553,410274,415353,415212,416681,419207,421975,423759,423904,425808,428023,424675,428565,430330,433485,432097,432074,434676,439280,443612
"60","52","A   Motor vehicle and parts dealers","KS4410",100910,101582,100539,102519,102361,101653,103340,103419,103460,105255,106727,106600,107319,108606,110379,113202,113258,110304,109867,108552,109359,109597,109935,108868,111140,112335,114186,113968,113974,114292,115258,115212,116219,118360,119814,121928,122312,121822,122981,125291,126833,129069,131284,132272,133067,134055,134247,134232,132945,131705,131790,130751,130357,129805,129640,129358,129529,124657,123588,125360,126887,127234,126352,127904,127825,129597,129862,131747,133189,136161,140154,138288,139795,141691,143067,144568,145681,146928,148332,145509,147217,148656,150664,148260,148748,150921,153867,157194
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19632,19728,19623,19496,19912,19936,20224,19948,20096,20306,20296,20291,20339,20564,20901,21112,21088,21150,21481,21582,21684,21911,22161,22218,22449,22684,22560,22894,22913,23239,23508,23595,23755,23883,23992,24336,24182,24398,24927,24951,25148,25720,25682,26024,25590,26022,26746,26437,26464,26034,26380,26389,26098,25804,25583,25624,25459,25709,25887,25964,26600,26793,26978,27065,27602,27665,28025,28042,28488,28580,28606,28656,28637,28723,28747,28928,29135,29626,29743,29958,30147,30680,30906,31110,30911,30842,31348,31585
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32563,32589,32690,32799,32901,33182,33126,33335,33800,33631,33626,34030,34230,34824,34795,34794,34182,34864,35117,35686,35642,35671,36130,36369,36579,36735,36896,36984,37001,37197,37458,37541,37591,37991,38191,38660,38711,38917,38880,39301,39455,39751,39940,40213,40309,40139,40414,40040,40278,40165,40094,40060,40233,40031,39598,39950,40062,40181,40012,40060,40379,40468,40985,41110,40975,40978,40870,40813,41395,41992,41745,42184,41876,42735,43017,42799,43043,43456,43715,44077,44972,44940,45204,45654,45926,46351,46729,47061
"63","55","A   Food and beverage stores","KS4450",28417,28450,28530,28426,28523,28540,28586,28920,29014,28842,28969,28819,29103,29130,29394,29690,29669,29889,30108,30003,29891,29896,30161,30065,30398,30439,30507,30362,30623,30727,30883,31125,31430,31572,31655,31910,31880,31935,31962,31977,32108,31537,31461,31527,31721,31708,31538,31757,31908,32079,32084,32234,32159,32225,32238,32302,32252,32347,32438,32333,32124,32061,31914,31933,32008,31958,31861,32134,32457,31716,31992,32367,32309,32384,32560,32453,32470,32342,32524,32515,32682,32232,32175,32035,32110,32037,32073,32169
"64","56","A   Clothing and clothing accessories stores","KS4480",26324,26542,25941,26716,26856,26806,26890,26763,27219,27262,27243,27573,27682,27582,28022,28204,28131,28507,28647,28750,29029,28751,28684,28723,29120,29405,29277,29453,29519,29703,29376,29251,28989,29158,29472,29996,29242,29648,30037,30212,30765,30606,31029,31450,31420,31978,32161,32527,32379,32548,32529,32261,32126,32305,32030,32078,32320,32529,31774,31537,31610,31131,30992,31206,31229,31533,31834,31874,32127,31891,32072,32477,32960,33095,33231,33043,33005,32960,32748,32892,32788,32538,32822,32796,32764,32932,32995,33232
"65","57","A   General merchandise stores","KS4520",58260,58531,58151,58779,58856,58954,58800,58449,58649,58352,58418,59047,59368,59434,59534,59598,58791,59652,60061,60062,60324,60219,60064,59921,59867,59979,60449,60806,60784,60683,60821,61166,61289,61136,62172,62618,62939,63192,62794,62709,62937,63295,62937,63030,63038,63530,63496,63682,64094,64390,65520,65174,65418,65461,64777,65390,64969,64938,64189,63619,62944,63291,62848,62786,62979,62771,63639,63438,63595,63681,64559,64769,64601,64082,64848,65701,64725,64733,64722,63933,64710,65118,64964,65777,65865,65941,66548,66616
"66","58","D     Department stores","KS45210",41803,41996,41861,42237,42245,42353,42121,41886,41991,41893,41945,42469,42602,42544,42527,42451,41730,42353,42711,42579,42559,42209,41943,41766,41880,41656,41923,42078,41959,41805,41815,41881,41805,41547,42302,42422,42450,42568,42098,41971,42075,42110,41651,41657,41552,42017,41938,41797,41899,41926,42393,42198,42148,41987,41214,41560,41479,40932,40227,39679,38895,39036,38486,38063,37764,37554,37688,37327,37163,36792,36951,36764,36476,35923,36387,36770,35982,35758,35544,35120,35441,35641,35223,34943,35080,34818,34967,34875
"67","59","D     Other general merchandise stores","KS45290",16432,16509,16262,16515,16585,16575,16654,16539,16634,16433,16447,16550,16740,16866,16984,17126,17043,17280,17330,17465,17750,17998,18111,18145,17975,18315,18519,18721,18819,18873,19001,19282,19482,19588,19869,20196,20490,20626,20698,20740,20864,21187,21288,21375,21488,21516,21559,21885,22195,22463,23124,22974,23265,23468,23552,23820,23482,23990,23944,23920,24024,24230,24332,24687,25172,25172,25899,26056,26372,26820,27533,27924,28040,28071,28372,28839,28646,28873,29071,28707,29160,29366,29622,30692,30646,30974,31426,31580
"68","60","A   Other retail stores","KS44X0",59147,60182,59954,60628,61350,61718,62632,62004,63334,63814,64063,64235,64774,65849,67428,67866,67950,68853,69261,69526,69778,69836,70575,71703,72138,71671,72480,72981,73100,73665,73523,73808,74393,74844,75194,76055,75318,75421,75956,75282,76435,76654,76588,77374,77256,77801,78219,78444,78318,78327,77602,77766,77256,76636,77109,77418,77130,77211,76734,77118,77363,77054,76818,76410,76727,77239,77627,77110,77426,76456,76486,76675,76741,76767,76784,76592,76223,76201,76699,76192,76468,76700,77365,76985,76283,76270,76473,76659
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
