"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"38","30","      Motor vehicles, parts, and supplies wholesalers","PK42113",100.871,100.697,100.762,100.535,100.056,100.121,99.36,99.57,99.702,99.325,99.001,98.738,98.759,98.875,98.899,98.761,98.476,98.257,98.819,98.73,99.019,99.436,99.642,99.385,99.067,99.14,98.879,99.148,99.425,99.273,99.196,99.358,99.568,100.325,99.945,99.912,99.762,99.563,99.673,99.672,100.289,99.928,100.055,99.911,100.283,99.916,100.385,100.575,100.494,99.277,99.606,100.088,99.383,99.204,100.131,100.073,100.37,98.789,98.753,99.096,98.667,98.936,98.437,98.359,98.165,98.26,97.472,97.174,97.41,98.262,97.495,96.987,97.347,97.646,98.842,96.997,97.19,96.651,96.906,97.003,96.46,97.64,97.438,96.841,97.055,97.073,97.072,96.936
"39","31","      Furniture and home furnishings wholesalers","PK42123",97.626,97.679,97.771,97.423,97.675,97.671,98.027,97.977,98.042,98.131,98.254,98.283,98.282,98.411,98.503,98.407,98.631,98.473,98.305,98.353,98.297,98.437,98.548,98.567,98.373,98.258,98.511,98.426,98.527,98.837,98.727,98.82,98.846,99.046,99.082,99.045,99.129,99.397,99.621,99.707,99.707,100.045,99.986,100.404,100.231,100.527,100.462,100.758,100.644,100.904,100.593,101.004,100.821,100.666,100.954,100.619,100.487,100.919,100.781,100.732,101.07,100.936,100.831,100.932,100.721,101.076,101.432,101.46,101.613,101.645,101.879,101.49,101.636,101.658,101.785,102.065,102.201,102.598,102.611,102.658,102.548,102.79,102.614,102.105,102.013,101.786,101.478,102.524
"40","32","      Lumber and other construction materials wholesalers","PK42133",99.915,101.158,101.426,102.228,102.933,101.798,102.042,101.572,100.592,99.213,99.501,99.312,98.67,99.012,99.135,99.161,98.237,96.708,97.513,97.92,96.934,96.376,96.077,96.753,97.703,98.843,99.898,99.984,100.817,102.378,104.533,103.28,101.793,100.333,100.767,101.27,101.842,101.821,102.19,101.848,100.583,100.423,99.698,98.857,98.153,98.369,98.071,98.132,97.651,98.052,98.465,98.832,101.559,102.8,100.963,100.826,100.152,98.788,98.219,97.623,98.597,99.323,100.18,100.125,100.09,99.52,99.663,100.048,99.581,99.109,98.851,98.623,98.864,99.728,99.829,100.008,100.256,100.582,101.641,101.519,103.866,102.962,103.571,103.39,104.064,105.912,108.062,110.445
"41","33","      Professional and commercial equipment wholesalers","PK42143",156.351,154.622,153.34,152.246,148.616,147.345,145.784,143.665,142.292,140.656,139.002,138.018,135.011,132.143,130.542,127.769,125.961,124.898,123.347,119.936,118.95,117.135,115.969,114.355,112.827,111.516,110.422,109.158,108.301,107.356,106.324,105.492,104.926,104.026,103.774,103.288,102.929,102.203,101.644,101.108,100.68,100.098,100.23,99.028,98.841,98.349,97.726,97.178,94.972,93.825,92.808,92.534,91.999,91.212,90.415,89.132,88.871,88.197,87.418,86.837,86.415,85.929,85.758,85.18,85.065,84.726,84.133,83.258,83.027,82.502,82.138,81.896,81.522,80.496,80.265,80.27,79.94,79.756,79.371,79.212,79.299,78.862,78.743,78.439,78.472,78.551,78.473,78.343
"42","34","        Computers and software wholesalers","PK42433",217.557,213.658,209.987,206.756,198.439,195.486,191.952,187.157,183.916,180.196,176.589,174.183,168.283,162.092,158.707,153.432,149.971,147.892,144.814,138.082,136.112,132.55,130.13,127.13,124.354,122.017,119.808,117.301,115.689,113.999,112.018,110.351,109.4,107.807,107.2,106.324,105.63,104.354,103.22,102.224,101.402,100.249,100.304,98.098,97.409,96.405,95.622,94.471,90.531,88.76,86.794,86.157,85.078,83.55,81.99,79.505,78.801,77.497,76.145,74.937,74.196,73.168,72.949,72.171,71.933,71.24,70.169,68.529,68.054,67.131,66.343,65.872,64.775,63.38,62.753,62.658,62.211,61.726,61.031,60.607,60.759,59.593,59.343,58.825,58.453,58.283,58.092,57.961
"43","35","        Other professional and commercial equipment wholesalers","PK424X3",98.442,98.105,98.325,98.611,98.523,98.449,98.388,98.41,98.545,98.605,98.601,98.827,98.473,98.662,98.755,98.532,98.446,98.465,98.515,98.585,98.63,98.677,98.855,98.733,98.629,98.551,98.819,99.039,99.12,99.091,99.267,99.531,99.463,99.487,99.666,99.621,99.546,99.465,99.608,99.65,99.714,99.842,100.079,100.115,100.545,100.64,100.234,100.448,100.415,100.078,100.228,100.395,100.503,100.606,100.708,100.787,101.056,101.131,101.031,101.202,101.174,101.358,101.268,100.963,101.019,101.147,101.176,101.354,101.467,101.515,101.711,101.771,102.347,101.824,102.122,102.26,102.095,102.319,102.362,102.55,102.552,103.133,103.206,103.231,103.873,104.336,104.445,104.329
"44","36","      Metal and mineral (except petroleum) wholesalers","PK42153",105.388,105.716,106.331,106.177,106.041,106.318,106.209,106.211,106.222,106.335,106.488,106.231,105.005,104.762,104.19,104.069,103.7,102.863,101.987,100.674,99.412,98.365,97.556,96.729,95.268,95.377,94.832,94.774,95.007,95.146,95.187,95.758,95.855,97.146,98.353,99.21,100.333,100.428,101.283,101.349,100.705,100.467,100.518,100.144,99.579,99.045,98.13,97.995,97.601,97.526,97.022,96.355,96.116,95.117,95.116,94.631,94.219,93.899,93.965,93.408,93.665,93.837,94.645,95.777,96.669,97.91,98.502,98.765,99.838,100.605,101.309,101.281,101.455,102.36,102.409,102.308,101.653,101.426,101.15,102.33,102.609,103.844,105.888,108.18,112.636,117.769,121.888,126.494
"45","37","      Electrical goods wholesalers","PK42163",105.84,105.718,105.808,105.398,105.233,105.303,105.333,104.954,104.693,104.333,104.192,103.977,103.656,103.293,103.228,103.073,103.006,102.701,102.383,102.31,102.151,102.276,102.274,102.246,102.163,102.274,102.057,101.917,101.616,101.357,101.187,101.109,101.033,100.829,100.671,100.705,100.434,100.316,100.034,100.207,100.193,100.168,100.23,99.942,99.855,99.758,99.589,99.324,99.221,99.047,98.858,98.611,98.504,98.318,98.259,98.01,97.827,97.847,97.808,97.825,97.886,97.799,97.658,97.447,97.233,97.261,96.974,97.042,96.964,96.74,96.605,96.446,96.353,96.044,95.876,96.023,95.954,95.803,95.83,95.754,95.593,95.509,95.372,95.259,94.859,94.916,94.603,94.915
"46","38","      Hardware and plumbing and heating equipment wholesalers","PK42173",96.984,97.062,97.115,97.196,97.218,97.357,97.312,97.519,97.579,97.712,97.759,97.86,97.732,97.935,97.776,97.813,97.867,97.839,97.917,97.865,97.944,98.02,98.164,98.175,98.333,98.039,98.115,98.245,98.319,98.676,98.708,98.894,98.982,99.045,99.197,99.402,99.326,99.512,99.668,99.857,99.851,100.015,100.209,100.326,100.239,100.322,100.324,100.33,100.578,100.889,100.724,100.588,101.045,101.1,101.068,101.122,101.309,101.452,101.67,101.673,101.586,101.548,101.689,101.621,101.687,101.568,101.634,101.807,101.967,101.892,101.807,101.897,102.216,102.395,102.495,102.528,102.653,102.668,102.826,102.715,102.796,102.925,103.143,103.222,103.811,103.925,104.022,104.414
"47","39","      Machinery, equipment, and supplies wholesalers","PK42183",97.245,97.334,97.261,97.378,97.416,97.526,97.625,97.674,97.616,97.769,97.895,97.98,98.074,98.095,98.195,98.181,98.228,98.273,98.272,98.33,98.504,98.649,98.799,98.827,98.921,98.995,98.949,99.099,99.043,99.051,99.081,99.096,99.173,99.326,99.442,99.495,99.59,99.746,99.738,99.826,99.856,99.919,100.09,100.102,100.216,100.269,100.256,100.382,100.528,100.657,100.666,100.814,100.886,100.973,100.965,101.049,101.143,101.27,101.278,101.27,101.243,101.284,101.414,101.439,101.471,101.594,101.809,101.962,102.053,102.094,102.118,102.252,102.395,102.492,102.647,102.75,102.812,103.104,103.207,103.36,103.35,103.58,103.606,103.697,104,104.228,104.652,105.153
"48","40","      Miscellaneous durable goods wholesalers","PK42193",101.98,101.925,102.475,101.984,101.908,101.952,101.604,102.561,101.838,102.289,102.443,101.91,101.237,101.048,100.527,100.166,99.672,98.749,97.714,96.627,96.37,95.553,94.84,94.507,94.247,94.796,94.455,94.304,94.677,95.373,96.276,96.806,97.527,99.206,100.529,101.235,101.757,101.835,101.668,101.663,101.147,101.216,100.147,98.389,98.706,98.63,97.885,97.16,96.583,96.079,96.511,95.515,95.607,95.163,94.364,94.439,94.795,94.371,94.215,93.545,93.424,93.831,93.905,94.757,95.201,96.467,96.803,96.186,96.704,97.855,97.356,97.378,97.962,98.982,98.931,98.245,98.985,99.077,98.492,99.668,101.242,102.732,104.616,106.626,109.228,111.687,112.678,111.164
"49","41","    Nondurable goods merchant wholesale industries","PK42WN3",96.95,96.613,96.954,95.949,95.64,94.631,94.049,94.817,94.627,95.029,94.521,94.364,92.809,92.622,92.286,91.923,91.684,91.054,91.239,89.632,89.156,90.114,89.798,89.189,90.045,88.981,90.043,91.671,91.833,91.969,92.154,93.77,94.574,94.232,94.976,96.339,96.659,98.963,100.423,98.817,99.678,100.362,99.677,99.034,100.721,101.301,102.299,101.907,102.514,102.145,101.619,101.63,101.94,101.082,99.507,100.031,100.496,97.62,96.898,96.424,96.662,97.092,98.93,98.998,98.723,98.52,100.148,101.225,101.88,103.085,102.088,102.557,104.969,108.292,108.938,104.902,103.653,104.11,104.374,105.516,105.155,106.386,107.161,109.203,110.796,110.026,111.365,112.641
"50","42","      Paper and paper products wholesalers","PK42213",88.97,88.347,87.492,86.959,87.218,87.537,87.648,88.838,89.89,90.302,91.418,92.263,92.667,92.614,92.613,92.247,92.136,92.084,91.399,90.662,89.643,88.73,87.911,87.467,87.151,87.236,88.047,88.598,89.272,89.85,90.559,91.534,92.836,93.387,93.882,94.189,94.915,95.584,97.941,99.554,101.222,101.641,101.479,101.525,101.587,101.758,101.775,101.601,101.545,101.288,100.984,100.708,100.031,99.293,98.567,97.155,96.77,96.131,95.828,95.943,95.285,94.87,94.323,94.227,94.012,94.297,94.574,95.461,95.763,96.116,96.07,95.835,95.697,96.08,96.166,96.813,97.331,97.298,96.71,96.455,95.432,95.062,95.26,95.38,94.528,95.002,95.297,96.829
"51","43","      Drugs and druggists' sundries wholesalers","PK42223",89.84,89.749,89.54,89.26,89.43,89.568,89.601,89.756,89.857,90.166,90.451,90.694,90.666,91.374,95.607,95.61,95.991,96.39,96.729,96.739,96.796,97.15,97.417,97.579,97.323,97.317,97.465,97.269,97.373,98.276,98.531,98.556,98.962,99.197,99.438,99.426,99.617,99.675,99.475,99.566,99.759,99.594,99.941,100.413,100.486,100.37,100.35,100.567,100.77,100.986,100.873,101.006,100.532,100.974,100.687,100.706,100.864,101.038,101.237,101.26,101.452,101.56,101.633,101.695,101.797,102.069,102.177,102.521,102.701,102.969,102.988,103.083,103.548,103.437,103.717,103.912,104.222,104.433,104.673,104.737,104.836,104.9,105.336,105.369,106.277,105.814,106.226,106.838
"52","44","      Apparel, piece goods, and notions wholesalers","PK42233",100.079,100.239,100.311,100.354,100.497,100.433,100.525,100.631,100.773,100.754,100.788,100.824,101.228,101.107,100.999,100.965,100.955,100.796,100.671,100.696,100.829,100.789,100.672,100.459,100.432,100.282,100.344,100.288,100.201,100.049,100.121,100.024,100.156,100.042,99.939,100.195,100.145,100.201,100.185,100.173,100.112,99.69,99.915,99.948,100.012,99.928,99.883,99.829,99.841,99.914,100.425,100.254,100.108,100.043,99.924,100.068,99.691,99.51,99.481,99.355,99.121,98.99,98.519,98.352,98.368,98.314,98.228,98.291,98.132,98.303,98.303,98.9,98.72,98.637,98.749,98.801,98.914,98.857,98.764,98.545,98.463,98.742,98.711,98.501,98.24,98.257,98.152,98.041
"53","45","      Grocery and related products wholesalers","PK42243",98.754,98.907,100.106,98.927,99.795,98.476,97.985,98.768,98.634,99.639,98.445,98.954,98.169,98.912,98.687,99.39,98.794,98.362,99.308,98.8,98.96,99.432,98.741,98.964,100.261,98.943,99.581,99.282,99.759,100.118,99.495,99.542,100.478,100.023,99.02,99.873,99.055,99.42,99.85,100.294,101.371,99.96,99.836,99.08,100.099,100.638,100.698,99.718,101.044,101.923,102.734,102.584,103.384,102.988,101.942,102.891,103.487,103.005,102.312,102.95,103.609,104.614,105.893,101.562,102.116,102,102.03,101.686,101.291,101.825,101.405,101.321,102.959,102.988,103.463,104.28,104.897,104.33,104.163,104.905,106.405,107.688,107.304,108.102,106.326,105.539,107.087,108.548
"54","46","      Farm product raw material wholesalers","PK42253",132.379,132.723,141.142,141.865,139.271,134.805,130.358,129.687,128.952,130.007,128.783,127.106,123.077,124.354,124.664,117.947,117.789,114.94,113.332,104.732,99.664,105.305,107.49,103.654,104.875,102.908,102.351,100.164,101.35,99.502,89.747,98.744,94.789,93.497,95.696,93.883,97.594,102.334,106.446,103.282,106.563,100.746,94.089,91.362,94.382,99.05,102.176,104.678,106.904,102.592,104.457,99.948,99.948,99.016,102.216,103.675,100.496,97.156,97.132,98.192,98.955,99.269,99.455,97.226,98.765,99.261,107.706,117.973,122.753,117.542,114.601,113.843,113.471,118.77,115.074,116.401,119.724,118.105,110.33,112.892,118.729,121.914,128.097,130.387,132.646,134.201,141.683,141.419
"55","47","      Chemical and allied products wholesalers","PK42263",97.321,97.227,96.756,96.389,96.293,96.045,96.315,96.75,96.687,96.417,96.506,96.459,96.224,95.612,96.042,95.632,95.523,95.347,95.171,94.792,94.442,94.344,94.494,94.263,93.881,93.407,93.107,93.034,93.39,93.766,94.117,94.27,95.008,96.022,96.534,96.973,97.403,98.173,98.893,99.197,99.471,100.103,101.57,100.83,100.94,101.002,100.921,101.256,102.486,103.234,103.274,102.376,102.086,101.616,99.644,98.601,99.546,98.29,97.614,96.531,96.583,96.555,97.785,99.135,99.144,99.293,100.203,100.892,101.241,102.26,102.497,102.125,104.508,108.442,109.698,106.594,106.537,106.663,105.717,106.435,105.733,106.304,106.411,107.676,110.482,110.952,110.733,111.858
"56","48","      Petroleum and petroleum products wholesalers","PK42273",84.208,82.053,78.031,73.731,71.016,69.802,69.04,71.829,70.563,71.023,70.062,68.921,63.207,60.414,56.262,56.271,55.498,53.819,53.942,50.084,49.886,51.79,50.142,46.051,48.612,46.103,50.879,61.575,60.743,60.706,67.039,71.759,74.214,72.944,77.743,85.745,87.234,97.016,103.359,92.408,91.545,102.416,100.728,98.138,105.191,104.805,109.802,107.052,104.274,102.31,95.67,99.419,100.088,95.774,86.74,88.395,92.21,76.79,73.013,68.827,69.214,70.245,79.261,87.691,83.482,81.403,86.91,88.468,90.479,99.069,94.429,99.068,110.947,129.052,132.506,102.937,91.427,96.55,102.405,106.164,98.621,101.798,103.555,113.664,123.703,120.443,121.578,124.407
"57","49","      Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",96.137,95.89,96.502,96.384,96.614,96.301,96.541,96.802,95.797,95.548,95.538,95.654,95.915,95.84,96.008,95.905,95.788,95.938,95.965,96.024,96.192,96.761,97.174,97.07,97.119,97.418,96.705,96.692,96.842,96.752,97.817,97.267,97.641,97.47,97.447,97.66,97.543,98.156,98.207,97.674,100.499,100.338,100.446,101.146,101.354,101.622,101.213,101.715,102.63,102.25,103.202,103.182,103.231,103.353,103.455,103.564,103.526,104.032,104.294,104.361,104.138,104.161,104.16,104.255,104.301,104.395,104.527,104.405,104.794,104.74,105.666,105.507,104.774,104.578,106.166,106.322,105.933,105.898,106.403,105.916,105.878,105.9,105.912,105.889,108.026,104.836,105.134,108.776
"58","50","      Miscellaneous nondurable goods wholesalers","PK42293",92.805,92.607,92.922,93.304,93.401,92.773,92.708,92.712,93.413,92.892,92.873,92.528,91.804,91.422,91.087,91.075,91.626,91.602,92.031,91.902,91.935,92.112,92.223,95.6,95.513,95.053,95.228,95.303,95.333,95.722,95.514,95.88,97.986,97.947,98.083,98.083,97.477,99.506,99.226,98.565,99.323,99.565,99.564,100.305,100.959,101.568,101.934,102.169,104.868,104.776,104.762,104.15,104.996,104.487,104.19,104.223,103.896,103.092,103.514,103.232,102.851,102.564,103.327,104.504,104.938,105.207,106.019,106.693,107.224,106.972,106.791,105.283,105.888,106.767,107.835,107.414,107.732,107.977,107.143,109.043,108.999,110.124,110.217,110.877,111.489,111.842,112.568,112.897
"59","51","  Retail trade industries","PK443",99.735,99.984,99.984,99.732,99.456,99.175,99.094,99.055,99.142,99.002,98.851,98.728,98.579,98.3,97.954,97.903,97.906,97.77,97.91,97.9,97.595,97.588,97.491,97.433,97.43,97.113,97.065,98.01,98.016,98.107,98.507,98.704,99.055,98.955,98.844,99.087,99.129,99.452,100.21,99.923,99.862,100.312,100.28,99.795,100.342,100.172,100.257,100.251,100.341,100.391,100.087,100.252,100.67,100.641,100.021,99.537,99.888,99.108,98.493,98.007,97.92,97.776,98.173,98.74,98.471,98.432,98.459,98.52,98.465,98.343,98.134,97.886,98.038,98.691,98.942,98.222,97.47,97.554,97.521,97.649,97.805,97.379,96.95,96.887,97.456,97.849,98.367,98.487
"60","52","    Motor vehicle and parts dealers","PK4413",99.513,99.847,100.314,99.858,99.649,99.213,99.095,98.851,98.834,98.784,98.622,98.505,98.579,98.642,98.477,98.455,98.272,98.292,98.694,98.87,98.822,98.819,99.124,99.022,98.81,98.402,98.302,98.439,98.525,98.767,99.075,99.332,99.724,99.648,99.735,99.524,99.421,99.304,99.726,99.896,100.124,100.158,100.048,99.963,99.994,100.11,100.453,100.897,101.2,101.221,101.295,101.213,101.031,100.879,100.83,100.637,100.289,100.405,100.628,100.826,100.41,99.895,99.707,99.519,99.379,99.239,99.365,99.412,99.339,99.074,98.747,98.495,98.269,98.306,98.503,98.165,97.985,97.907,97.41,97.178,96.218,95.435,94.8,94.605,94.721,94.971,95.069,95.066
"61","53","    Furniture, furnishings, electronics, and appliance stores","PK44233",124.867,125.012,124.453,123.45,122.895,122.48,121.537,120.206,119.794,119.115,118.416,118.225,117.335,116.436,116.411,116.487,115.187,114.353,113.738,112.335,111.563,111.052,109.984,109.466,108.79,107.984,107.404,107.408,106.362,105.914,105.57,104.694,104.308,103.507,102.704,102.437,102.223,101.724,101.672,101.072,100.93,100.111,99.78,99.147,99.304,98.602,98.093,97.474,96.623,96.015,95.024,94.732,93.581,92.884,92.653,91.61,90.945,90.474,90.194,89.591,88.85,87.975,87.422,87.287,87.203,86.767,86.354,85.951,85.341,84.858,84.103,83.555,83.146,82.588,82.074,81.88,80.549,79.945,79.509,78.51,77.978,78.023,77.751,77.374,77.463,77.329,76.953,76.762
"62","54","    Building material and garden equipment and supplies dealers","PK4443",101.564,102.173,102.629,102.687,102.909,102.484,102.618,102.338,102.075,101.518,101.526,101.265,101.621,101.808,101.838,101.639,100.86,100.082,100.212,100.523,99.757,98.948,98.853,99.104,99.261,99.794,100.183,100.12,100.64,101.544,102.639,102.167,101.024,100.185,100.252,100.663,100.801,100.759,101.404,101.041,100.228,100.183,99.874,99.189,99.147,99.169,99.203,99.013,98.756,99.186,99.324,99.235,100.664,100.92,100.036,100.105,99.79,98.781,98.381,98.108,98.303,98.847,99.531,99.779,99.397,99.181,99.136,99.228,98.859,98.446,98.513,98.324,98.247,98.758,98.708,98.649,98.724,98.777,99.336,99.589,101.058,101.2,101.428,101.196,101.76,103.4,104.586,105.633
"63","55","    Food and beverage stores","PK4453",92.617,92.953,92.962,93.039,93.116,93.138,93.299,93.4,93.543,93.673,93.811,93.763,94.167,94.208,94.248,94.445,94.725,94.727,94.951,95.145,95.245,95.593,95.651,96.159,96.726,96.732,96.569,96.896,97.049,97.116,97.342,97.435,97.96,98.036,98.184,98.314,98.45,98.761,99.11,99.361,99.766,99.855,100.399,100.575,100.791,100.709,100.899,101.25,101.477,101.901,102.104,102.391,102.648,103.013,103.478,103.518,103.795,103.944,104.078,103.92,104.121,104.482,104.528,105.027,104.589,104.712,104.854,104.802,105.041,104.853,105.057,105.242,105.046,105.541,105.686,105.608,105.744,106.2,106.224,106.489,106.652,106.958,107.256,107.758,107.708,107.901,108.212,108.351
"64","56","    Clothing and clothing accessories stores","PK4483",105.537,105.42,105.356,105.931,106.326,106.077,105.865,104.895,105.102,104.794,104.764,104.897,104.633,103.857,103.346,103.128,103.468,103.24,103.303,104.424,103.066,102.892,103.04,102.196,101.76,101.302,100.964,101.976,102.019,101.916,101.602,101.316,101.445,101.646,101.384,101.336,100.751,100.504,100.462,100.329,99.992,99.601,99.39,99.345,99.988,100.009,99.901,99.802,100.075,100.024,100.137,99.077,98.224,98.584,98.478,97.684,97.326,97.669,97.134,96.882,96.375,96.149,96.912,96.681,96.213,95.805,95.203,95.85,95.703,95.509,95.208,94.968,94.16,93.893,93.496,93.177,92.814,93.255,93.295,93.297,93.5,93.653,93.242,92.878,92.917,92.758,93.487,93.567
"65","57","    General merchandise stores","PK4523",100.931,101.044,100.984,101.32,101.446,101.268,101.244,100.77,100.84,100.745,100.801,100.71,100.852,100.666,100.499,100.617,100.708,100.445,100.561,100.959,100.456,100.46,100.392,100.279,100.371,100.04,99.755,100.348,100.307,100.306,100.213,100.053,100.273,100.325,100.104,100.054,99.865,99.768,100.005,100.106,100.074,99.945,100.061,99.961,100.182,99.992,100.023,100.004,100.081,100.22,100.109,99.998,99.653,99.776,99.842,99.477,99.567,99.567,99.485,99.133,98.96,98.971,99.097,99.246,98.797,98.593,98.405,98.489,98.395,98.124,98.019,97.763,97.383,97.416,97.296,97.217,96.769,96.946,96.97,96.774,96.781,96.825,96.767,96.716,96.758,96.871,97.118,97.064
"66","58","      Department stores","PK45213",103.524,103.548,103.477,103.939,104.108,103.867,103.736,103.1,103.166,102.945,103.049,102.931,102.989,102.707,102.492,102.529,102.588,102.225,102.323,102.838,102.101,102.049,101.941,101.533,101.486,101.102,100.822,101.449,101.397,101.416,101.138,100.923,101.045,101.133,100.811,100.728,100.41,100.131,100.287,100.311,100.138,99.888,99.932,99.798,99.961,99.792,99.731,99.638,99.672,99.743,99.554,99.244,98.554,98.622,98.573,98.056,98.123,98.142,98.03,97.612,97.318,97.255,97.384,97.405,96.918,96.635,96.298,96.438,96.211,95.996,95.757,95.314,94.774,94.624,94.439,94.414,93.746,93.8,93.814,93.479,93.434,93.471,93.283,93.038,93.031,93.085,93.351,93.257
"67","59","      Other general merchandise stores","PK45293",96.795,97.076,97.037,97.14,97.185,97.124,97.299,97.121,97.198,97.336,97.303,97.26,97.558,97.538,97.456,97.711,97.855,97.761,97.9,98.104,97.986,98.083,98.082,98.443,98.755,98.504,98.207,98.749,98.725,98.693,98.881,98.805,99.172,99.169,99.097,99.09,99.086,99.25,99.602,99.812,99.981,100.019,100.232,100.175,100.476,100.259,100.413,100.491,100.618,100.845,100.83,100.967,101.036,101.227,101.43,101.242,101.357,101.338,101.284,101.006,100.963,101.055,101.179,101.463,101.054,100.932,100.895,100.923,100.964,100.634,100.662,100.586,100.359,100.565,100.505,100.378,100.129,100.42,100.453,100.381,100.435,100.486,100.542,100.659,100.742,100.907,101.14,101.119
"68","60","    Other retail stores","PK44X3",96.659,96.809,96.304,95.581,94.513,94.204,94.082,94.935,95.308,95.161,94.738,94.547,93.623,92.788,91.746,91.474,91.911,91.975,91.967,91.351,91.118,91.311,90.828,90.648,90.645,90.056,90.279,93.204,93.092,92.947,93.901,94.876,95.9,95.944,95.64,96.71,97.13,98.627,100.688,99.425,99.11,101.212,101.045,99.533,101.285,100.784,100.771,100.334,100.436,100.288,99.099,100.088,101.954,101.712,99.308,98.171,100.153,97.201,94.717,93.149,93.445,93.269,94.698,96.818,96.662,97.002,97.282,97.405,97.527,97.94,97.629,97.203,98.742,101.099,102.158,99.826,97.486,97.6,97.868,98.838,100.024,98.8,97.675,97.677,99.658,100.29,101.518,101.593
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
