"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Durable goods","DDURRC1",90.5,90,102.4,116.4,130.5,130.2,142.2,168.6,192,213.3,226.3,226.4,243.9,253,295,342.2,380.4,421.4,442,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,780,857.4,915.8,946.3,992.1,1019.9,1072.9,1123.4,1155,1188.4,1108.9,1029.6,1079.4,1146.4
"12","5","    Nondurable goods","DNDGRC1",214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1330,1432.6,1543.4,1587.7,1617.9,1708.1,1819.3,1953.4,2069.8,2175.5,2272.8,2164.8,2285.5,2478.4
"13","6","  Services","DSERRC1",300.4,329.5,359.5,396.4,435.4,481.4,542.5,604.9,677.4,764.1,853.2,956,1070.1,1176.2,1314.8,1437.4,1580,1701.1,1840.7,2012.7,2170.7,2344.2,2482.6,2673.6,2841.2,3004.3,3171.7,3355.9,3563.9,3808.5,4052.8,4371.2,4614.8,4829.2,5076.1,5378.5,5726.8,6076.3,6408.3,6653.8,6651.5,6850.9,7104.2
"14","7","Gross private domestic investment","A006RC1",156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,438,492.9,479.3,572.4,517.2,564.3,735.6,736.2,746.5,785,821.6,874.9,861,802.9,864.8,953.3,1097.3,1144,1240.2,1388.7,1510.8,1641.5,1772.2,1661.9,1647,1729.7,1968.6,2172.3,2327.1,2295.2,2087.6,1549.3,1737.3,1854.9
"15","8","  Fixed investment","A007RC1",147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,412.2,474.9,485.6,542.6,532.1,570.1,670.2,714.4,739.9,757.8,803.1,847.3,846.4,803.3,848.5,932.5,1033.5,1112.9,1209.4,1317.7,1447.1,1580.7,1717.7,1700.2,1634.9,1713.3,1903.6,2122.3,2267.2,2266.1,2128.7,1703.5,1679,1818.3
"16","9","    Nonresidential","A008RC1",104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.6,1061.1,1154.9,1268.7,1227.8,1125.4,1135.7,1223,1347.3,1505.3,1637.5,1656.3,1349.3,1338.4,1479.6
"17","10","      Structures","B009RC1",37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,524.9,586.3,451.1,376.3,404.8
"18","11","      Equipment and software","B010RC1",67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1112.6,1070,898.2,962.1,1074.7
"19","12","    Residential","A011RC1",42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,302.1,302.9,334.1,349.1,385.9,425.8,449,472.4,509.5,577.6,680.6,775,761.9,628.7,472.4,354.1,340.6,338.7
"20","13","  Change in private inventories","A014RC1",9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,29.1,-41.1,-154.2,58.4,36.6
"21","14","Net exports of goods and services","A019RC1",1.4,4,0.6,-3.4,4.1,-0.8,16,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20,-51.7,-102.7,-115.2,-132.5,-145,-110.1,-87.9,-77.6,-27,-32.8,-64.4,-92.7,-90.7,-96.3,-101.4,-161.8,-262.1,-382.1,-371,-427.2,-504.1,-618.7,-722.7,-769.3,-713.1,-709.7,-388.7,-511.6,-568.1
"22","15","  Exports","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.3,363.8,443.9,503.1,552.1,596.6,635,655.6,720.7,811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1661.7,1846.8,1587.4,1844.4,2094.2
"23","16","    Goods","A253RC1",38.3,44.5,45.6,51.8,73.9,101,109.6,117.8,123.7,145.4,184,225.8,239.1,215,207.3,225.6,222.2,226,257.5,325.8,369.4,396.6,423.6,448,459.9,510.1,583.3,618.3,687.7,680.9,697.2,784.3,731.2,700.3,726.8,817,906.1,1024.4,1162,1297.5,1064.7,1278.5,1474.5
"24","17","    Services","A646RC1",13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,79.8,94.3,106.2,118.1,133.8,155.5,173,187,195.7,210.6,228.6,249.3,266.7,273,292.1,308.9,296.5,302.7,314.2,363.2,399,446.6,499.7,549.3,522.7,565.9,619.7
"25","18","  Imports","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2374.8,2556.5,1976.2,2356.1,2662.3
"26","19","    Goods","A255RC1",36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1047.7,1246.5,1171.7,1193.9,1289.3,1501.7,1708,1884.9,2000.7,2146.3,1587.5,1947,2229.2
"27","20","    Services","B656RC1",13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,203.7,228.8,227,236.3,255.9,297.3,319.8,355.4,374,410.1,388.7,409.1,433
"28","21","Government consumption expenditures and gross investment","A822RC1",221.4,233.7,246.4,263.4,281.7,317.9,357.7,383,414.1,453.6,500.7,566.1,627.5,680.4,733.4,796.9,878.9,949.3,999.4,1038.9,1100.6,1181.7,1236.1,1273.5,1294.8,1329.8,1374,1421,1474.4,1526.1,1631.3,1731,1846.4,1983.3,2112.6,2232.8,2369.9,2518.4,2674.2,2878.1,2967.2,3057.5,3059.8
"29","22","  Federal","A823RC1",113.3,113.4,113.6,119.6,122.5,134.5,149,159.7,175.4,190.9,210.6,243.7,280.2,310.8,342.9,374.3,412.8,438.4,459.5,461.6,481.4,507.5,526.6,532.9,525,518.6,518.8,527,531,531,554.9,576.1,611.7,680.6,756.5,824.6,876.3,931.7,976.3,1080.1,1143.6,1223.1,1222.1
"30","23","    National defense","A824RC1",89.5,87.6,84.6,86.9,88.1,95.6,103.9,111.1,120.9,130.5,145.2,168,196.2,225.9,250.6,281.5,311.2,330.8,350,354.7,362.1,373.9,383.1,376.8,363,353.8,348.8,354.8,349.8,346.1,361.1,371,393,437.7,497.9,550.8,589,624.9,662.3,737.8,776,817.7,820.8
"31","24","    Nondefense","A825RC1",23.8,25.8,29.1,32.7,34.3,39,45.1,48.6,54.5,60.4,65.4,75.8,83.9,84.9,92.3,92.7,101.6,107.6,109.6,106.8,119.3,133.6,143.4,156.1,162,164.8,170,172.2,181.1,184.9,193.8,205,218.7,242.9,258.5,273.9,287.3,306.8,314,342.3,367.6,405.3,401.3
"32","25","  State and local","A829RC1",108.2,120.3,132.8,143.8,159.2,183.4,208.7,223.3,238.7,262.7,290.2,322.4,347.3,369.7,390.5,422.6,466.1,510.9,539.9,577.3,619.2,674.2,709.5,740.6,769.8,811.2,855.3,894,943.5,995,1076.3,1154.9,1234.7,1302.7,1356.1,1408.2,1493.6,1586.7,1697.9,1798,1823.6,1834.4,1837.7
