"","Table 2#7A# Wage and Salary Disbursements by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","3","  Goods-producing industries","A206RC1",192.8,193.4,196.1,197.6,198.9,200.2,202,203.4,204.4,205.3,204.9,206,204.9,205.3,206.4,205,203.4,204.5,205.4,205.1,202.8,199.7,199.2,203.2,205.2,204.8,205.4,206.9,209,209.3,209.5,209.7,210.2,211,211.9,215.8,218.3,221.1,223.5,224.7,225.9,226.4,226.1,229.3,231.8,234.9,237.4,239.4,243.1,247,248.2,250.4,252.4,254.8,257.5,257.8,260.5,263.3,266.6,268.6,268.9,270.6,271.1,272.2,275.9,278.1,278.6,281.4,282.8,284.2,277.6,276,274.6,269.7,269.1,268.6,270.9,272.5,273.7,278.8,282.3,285.1,287.7,292.2,298,300.1,302.2,304.4,306.8,307.3,310.4,313.4,314.6,315.4,320.8,323.1,322.7,328.3,333.3,338.1,342.6,347.6,349.9,351.5,356,359.2,361.7,361.8,361.8,366.6,374.3,384.7,387.1,392.2,396.1,398.6,403,408.1,414.1,418.7,421.1,425.1,431.7,430.9,437.5,441.6,444.9,445.7,450.5,452.5,454.4,460.7,461.9,465.3,467.6,464.5,462,461.6,459,468.5,474.5,481.9,489.8,496,499.2,497.2,503,505.8,508.4,514,518.1,522.2,521.6,523.8,522.4,519.5,519.6,521.7,520.1,516.7,518.4,516.9,514.6,512,508.6,505.1,503,504.3,508.5,506.9,508.3,512.3,516.3,521,526.7,530,538.5,544.6,549.9,554.1,560.9,567.6,570.4,576.8,579.4,585.3,588.2,592.1,593.1,594.5,598.3,602.5,605.7,604.8,617,610.1,612.6,615.1,615.3,618.8,620.4,626.6,626,630.4
"12","4","    Manufacturing","A552RC1",152.3,152.7,154.8,155.4,156.2,157.5,159,160.3,160.9,161.5,160.7,161.3,160.9,160.3,161.2,160.1,159.2,159.5,160.1,159,157.1,153.6,152.8,156.9,158.6,158.7,158.6,159,160.7,160.8,160.6,160.4,160.4,161.6,162,165.1,166.5,169.5,171.7,172.9,173.6,174.6,174.3,176.5,178.4,180.7,183.2,185.3,187,190.4,191.4,193.5,194.5,195.6,197.6,197.8,199.5,202,204.2,205.3,205.4,205.7,206.7,207.7,211.1,213.2,214.7,215.9,217.1,218.3,215,211.3,207.8,204.8,204.8,205.3,206.6,208,209.2,213.8,216.6,218.6,220.2,223.7,227.9,230.2,232.1,233.7,235.9,236.7,238.8,241.3,242.2,242.2,246.8,248.6,249.4,253.4,256.5,259.7,263.8,267.5,269.5,271.3,273.9,276.3,278,281.2,281.1,285.1,290.1,293.5,295.2,298.3,301.3,303,306.6,310.6,315.5,319.8,322.2,324.9,328.7,327.2,332.3,335.3,337.7,337.2,340.9,342.6,343.2,348.1,349,351.3,354.1,351.4,348.8,347.8,346.6,353.9,358.4,364.4,370.8,375.5,377.1,375.5,380.1,384.8,388.2,389.9,391.1,394,393.1,394.1,391.7,388.9,389.1,391.1,389.5,387.1,388.3,388.1,386.5,384.9,382.8,379.8,379.1,379.8,382.4,383.4,385.9,389.5,393.4,396.8,401.3,403.3,410.3,415.1,419.6,422.7,427.8,432.4,435.1,439.8,440.7,443.9,447.4,450.4,451.8,453.9,456.3,459.4,461.4,458.7,470.3,462.2,464,466.3,466.9,469.2,469.4,475.8,474.8,477.7
"13","5","  Distributive industries","A212RC1",116,117,118.3,119.3,120.4,121.5,122.1,123.4,124.1,125.1,126.3,127,127.6,128.3,129.2,128.4,130.3,131,132.2,133,133.1,133.7,134,133.8,135.6,136.7,137.2,138.3,139.7,140.2,140,141.9,143.1,142.8,142.9,146.2,147.1,150,150.1,150.6,150.9,152.6,153,154.2,155,157.2,158.5,160.7,161.8,163.9,165.7,166.9,168.3,169.9,170.8,172.4,173.9,175,177.2,177.5,179.3,179.8,180.9,183,185.3,186.8,188.6,189.2,191.5,192.5,192.4,192,192.7,192.2,192.4,192.4,194.5,196.2,197.5,201.2,201.7,203.8,205.9,207,210.5,212.3,213.3,215.4,217.3,218,219.9,222.2,224.5,224.7,227.1,229.1,228.6,232.4,234.3,236.8,240.1,241.9,244.6,245.1,248.1,251.3,253.5,256.1,257.6,260.6,264.6,267.7,269.8,273.2,274.5,277,279.5,284.4,286.3,290.6,293.2,295.6,299.4,297.2,300.9,305.8,307.3,310.5,313.8,316,320.8,322.6,324.2,326.5,330.2,328.7,329.5,330.3,332.6,335,338.2,344.2,347.5,349.1,354.1,357.7,359.5,362.6,363,365.2,366.8,370.6,373.4,372.1,374.2,373.3,375.9,378.6,378.2,378.7,383.2,383.9,384.9,387.3,385.9,387.2,388.2,391.5,389.9,387.3,392.2,395.6,399.3,402.4,406.3,403.6,405.6,417.4,417.8,422.6,426.4,427.1,430,436.5,436.3,441.9,445.8,445.4,450.4,450.4,456.1,458.8,457.9,461.3,464.5,465.1,469.6,473.9,473.1,475.8,480.2,481.2,483.9,490.2
"14","6","  Service industries","A218RC1",86,86.5,87.3,87.9,88.9,90.1,90.8,91.8,92.8,94.1,95.4,95.7,96.4,96.9,97.3,97.7,98.4,98.9,99.5,100.2,100.9,101.8,102.3,102.3,103.6,104.5,105.7,106,106.9,107.1,108,108.9,109.6,110.7,111.7,112.3,113.5,114.4,115.8,117.3,118,118.7,120,120.9,122.4,124.1,124.7,126.1,127.1,128.4,129.8,131.4,131.9,133,134.6,135.4,137.1,137.8,139.5,140.5,141.1,142.4,143.5,144.4,146.7,148.9,149.6,151.1,152.7,153.2,153.8,155.1,156.3,157.9,159.3,159.4,161,162.4,163.3,165.7,166.2,167.9,170.4,170.8,172.8,174.8,175.3,177.3,179.5,180.4,181.8,184.6,185.6,187.3,189,191,192.4,193.2,194.6,196.6,199.4,200.7,203,205.4,208,211.5,213.1,215.5,219.4,221.2,224.5,228,229.7,233.9,237.1,239,242,245.7,246.4,248.5,251.7,255.6,258.4,261.2,261.8,265.7,269.7,272.2,275.4,277,280.9,284.8,287.4,291.4,296.4,297.6,299.9,305.8,307.1,310.8,313.4,317.2,322.6,325.3,329.5,334.1,336.7,338.5,341.3,343.4,346.8,352.8,353.4,357.6,361.6,362.8,366.5,369.1,370.4,372.9,378,380.3,385.7,390,391.6,394,396.3,400.2,405.6,404.5,408,411.5,417.3,420.5,425.5,426.4,431.4,440.3,440.1,444.2,449.2,451.3,455.6,463,463,467.9,473.3,474.1,483,482.6,487.6,496.3,493.8,498,501.7,504.9,509.2,519.1,518.5,524,531.7,534.8,538.7,550.4
"15","7","Government","B202RC1",100.9,101.3,101.7,102.5,103.1,103.8,107.1,108.3,109,109.4,109.8,110.3,111.1,111.8,112.7,119.5,119.9,116.6,117.3,118.1,120.8,119.3,119.7,120.1,123.1,124,124.5,125.2,125.6,126,126.7,129.3,127.2,127.2,128.8,131.2,134.5,135,134.7,135.4,135.9,136.2,137.1,138.5,139.6,140.1,141.5,142.1,144.2,145.1,145.6,146.7,147.3,147.9,148.7,149.7,150.3,152.5,153.5,154.2,154.9,155.6,156.4,157.2,158.2,160.8,164.3,161.7,162.2,165.4,167,168.2,168.9,170.4,171.9,173.3,174.4,175.4,176.6,177.5,179,181.2,182.3,182.8,183.7,184.7,185.6,186.4,187.3,187.9,188.7,189.4,190.1,192.8,194.2,194.9,195.8,196.6,197.5,198.5,199.6,200.6,202.1,203.6,204.9,208.6,210.4,211.5,212.9,214,214.7,215.8,217,218.4,219.9,221,222.1,225.7,227.1,228.3,230.6,230.6,231.9,233.8,233.5,234.8,236.9,238.6,239.5,244.2,246.2,247.4,249.8,251.4,253.1,255.2,258.2,259.7,261.5,263.2,264.3,272.1,273.9,275.5,277.4,278.8,280,281,282.1,283.3,284.6,285.7,289.4,294.4,295.7,297.1,299.3,300.4,301.9,303.2,304.5,305.9,309.3,308.4,309.6,314.1,316,317.7,318.4,319.3,320.3,321.7,326.8,324.4,325.2,330,327.5,328.4,329.7,331.2,336.5,338.9,341.1,342.9,344.6,346.4,349,351.8,354,355.1,356.6,358.2,363.3,365.7,367.3,371.8,370,371.5,374.2,376.8,379.4,380.3,383.5,385.3
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Line",NA,NA,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1","    Wage and salary disbursements","A576RC1",2052.8,2061.2,2076.6,2072.9,2080.9,2091.8,2100,2113.6,2121.7,2140.3,2155.2,2161.2,2176.3,2194.5,2210.3,2215.7,2233.1,2241.4,2250.7,2277.4,2282.9,2307.9,2324.3,2360.6,2350.4,2368.5,2382.7,2408.1,2420,2438.4,2457.1,2458.4,2472.6,2503.5,2500.8,2516.9,2538.3,2536.6,2551.1,2566.7,2555.6,2567.6,2589.1,2586.1,2599.7,2630.4,2631.6,2643.9,2661.8,2690.6,2708.1,2731,2727.4,2749.4,2766.8,2759.8,2779.2,2764.6,2767.4,2787.7,2774.9,2774.1,2778.5,2785.3,2795.2,2824.3,2813.5,2823,2842.9,2835.7,2849.5,2877.4,2876.4,2912.2,2921.8,2929.1,2945.5,2953.8,2961.4,2985.2,2981.7,2999.6,3019.7,3196.2,2963.1,2965.8,2958.5,3051.3,3077.7,3067.5,3085.4,3105.8,3103.8,3116.8,3125.7,3297.7,3128.3,3119.9,3141.3,3207.7,3234.3,3231.8,3248.8,3253.4,3272,3308.2,3304.6,3319.9,3347,3360.8,3373.9,3391.2,3387,3407.6,3426.6,3435.6,3452.5,3468.3,3479.6,3486.1,3492.2,3533.4,3551.8,3564.5,3586.3,3620.7,3622.1,3645.8,3671.7,3677.6,3701.8,3728.2,3746.8,3779,3805.5,3816.6,3834.7,3854.5,3874.1,3908.2,3927.8,3957.5,3998.5,4015.5,4050.8,4077.8,4099.1,4119.9,4150.7,4167.2,4186.8,4224.2,4239.7,4261.6,4292.6,4309.2,4348.1,4378.9,4384.1,4398,4416.4,4423.9,4450.5,4475.9,4496.6,4534.9,4575.2,4637.9,4728.8,4759.7,4776.6,4781.8,4763.6,4800.4,4860.9,4869.9,4892.2,4901.6,4899.7,4897.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2","Private industries","A132RC1",1666.9,1672.9,1687,1681.3,1687.1,1696.4,1702.7,1714.4,1719,1734.7,1747.3,1751.7,1763.1,1780,1794.2,1797.2,1813,1819.7,1826.9,1852.5,1857.6,1878,1891.6,1923.9,1910.3,1925.7,1937.3,1961,1970.8,1987.4,2004.5,2003.7,2016.8,2044.6,2038.7,2052.2,2069.2,2065.7,2079.1,2092.3,2078.9,2088.5,2107.6,2101.2,2112.6,2141,2138.8,2148.4,2159,2184.6,2199.2,2219.1,2211.5,2229.7,2245.4,2237.2,2253.8,2236.2,2236.4,2253.8,2233.9,2230.1,2232.3,2239.1,2248.4,2274.9,2262,2273.7,2293.7,2284.3,2295.2,2321.1,2314.2,2347.1,2354.7,2359.9,2374.8,2381.8,2387.7,2409.4,2407,2420,2443.1,2618.8,2373.8,2382.6,2374.9,2466.7,2492.1,2480.7,2495.2,2515.1,2510.3,2524.2,2531.9,2703.5,2529.2,2518.7,2537.9,2601.8,2623.4,2623.3,2638.5,2641.7,2658.4,2693,2688,2702.2,2723.6,2735.9,2747.7,2764.7,2759.9,2778.5,2796.9,2805.4,2821.7,2836.1,2846,2851.6,2853.2,2891.9,2908,2919.7,2939.8,2973.2,2973,2996.6,3019.7,3024.7,3047.4,3072.3,3085.7,3115.5,3140.5,3150.7,3167.4,3184.3,3200.2,3234.8,3251,3278,3316.8,3332,3362,3386.3,3406,3424.3,3452.3,3467,3484.1,3519.2,3532.6,3552.6,3581.6,3596.6,3629,3657.2,3661.1,3671.7,3689.1,3693.4,3715.9,3738.6,3755.9,3790.5,3827.4,3886.1,3966.5,3994.8,4006.4,4007.7,3982.1,4020.3,4078.1,4085.9,4106.7,4113.7,4109.4,4104.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3","  Goods-producing industries","A206RC1",630.4,627.9,633.9,629.6,630.1,629.1,630.3,633.9,633.5,640.6,637.9,640.7,642.7,644.9,651.4,646.6,651,652.5,654.5,660.1,664,668.1,671.8,673.1,679.5,684.1,695.4,695.5,698.1,703.1,706.9,706.1,711.1,721.9,718.4,719,723,722.9,730.5,725,723.1,723.6,726,728.6,728.4,737.5,735.6,735.6,735.7,747.2,751.4,753.5,752.2,755.6,755.4,753.3,755.8,752.1,745.4,747.6,742.9,739,735.8,736.9,739,743.1,744.4,746.6,748.9,747.7,746.6,749.7,746.5,749.9,754.2,756.9,760.3,761.4,762.1,763,761.8,764.1,766.8,812.9,745.7,749.8,745.8,777.4,777.8,776.5,780.6,782.7,788.4,790.6,794.9,832.7,791.4,793,801.1,814.2,819.2,822,826.8,829.7,835,840.4,844.6,847.7,847.3,850.4,852.6,857.3,854,858,863.9,865,869.3,872.1,874.3,871.9,869.4,885,885,894.1,899.1,905.6,909.4,914.1,917.9,919.7,925.5,932.1,940,946.3,953.7,956.5,960.8,963.9,968.5,976.9,981.3,991.9,1000.3,1007.9,1013.6,1017.8,1021.1,1024.9,1030.1,1030.6,1027,1040.2,1044.5,1045.7,1049.3,1055.2,1060.2,1069,1068.7,1069.9,1073.4,1073.6,1081.3,1083.4,1090.7,1096,1107.7,1124.4,1153.1,1162.6,1162,1154,1138.6,1149.3,1168.6,1167.8,1167.3,1169.5,1165.3,1150.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","4","    Manufacturing","A552RC1",477.5,475.9,482.8,477.3,478.6,477.9,478.9,481.3,481.3,487.2,483.3,484.8,487.4,489.1,494.4,489.8,492.4,493.3,495.4,499.5,503.6,505.3,507.4,508.5,513.7,516.4,526.2,523.3,525.8,529.2,531.8,531,535.3,545.6,542.4,542.2,545.9,546.3,553.9,546.4,545.2,545.8,546.8,547.6,547,554,550.2,550,548.2,557,561.1,565.2,563.1,565.6,566.1,565,566.3,565.7,559,561.7,559.2,555.4,554.4,556.2,559,562.9,565.2,567.5,569.3,569.8,570.6,571.7,568.9,573.5,575.8,578.5,581.7,582.5,584.3,584,584.3,584.4,587,631.5,567.5,569.1,566.2,595.4,593.1,592.8,595.2,596.7,602.5,602.1,605.8,640.2,599.9,599.8,606.8,616.8,620.5,622.9,625.9,628.6,631.6,635.6,639,642.4,641.9,642.7,643.6,647.8,645.4,647.5,651.9,652.3,654.9,655.8,657.3,656.2,651.5,663.5,661.7,670.2,672.9,676.8,679.5,682,684.4,684.6,688.4,694.6,699.2,702.3,707.6,710.3,712.1,714.8,718.1,724.4,727,736,742.5,747.4,748.9,751.5,754.9,755.3,758.5,757.1,751.1,761.3,765.2,764.2,764.8,766.2,771.5,775.7,776.2,774.7,778.4,777.6,784,785.9,789.4,790.5,798,811.9,835,843.8,837,829.3,816,825.4,842.5,839.6,837.8,837.3,831.7,817.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","5","  Distributive industries","A212RC1",489.4,490.9,493.2,492,493.9,496.8,499.2,501.5,503.8,506.3,512.1,511.4,512.5,519.4,520.9,525,528.6,529.7,533.5,539.7,542.3,543.6,546.7,546.1,553.7,558.7,557,565.6,567.1,571.9,577.7,576.6,580.4,586.7,585.1,591.1,598.4,596.4,597.6,605.3,598.9,601.4,607.5,600.6,606.3,613.1,612.1,615.1,617.7,621.8,626,632.2,628.7,634.6,637.3,634.7,639.2,634.5,636.6,642.3,636.2,633.5,637.2,637.7,642,651.1,644.7,647.8,653.8,649.6,653.4,659.7,657.8,669.1,669.3,669.5,674.7,673.9,675.5,682.8,684.2,684.6,690.9,721.7,677.5,677.3,673.4,692,700.4,696.1,701,704.5,702.3,706.5,705.2,738,714.6,711.3,719.2,732.5,738.1,741.1,744.5,745,750.3,762.1,758.7,761.9,768.4,770.9,773.3,779.1,776.3,781.9,785.1,788.8,792.3,792.9,795.7,796.9,796,806.7,812.9,810.8,816.4,827.2,822.3,829.9,836.7,836.4,841.8,848.8,851.3,858.2,866.7,867.9,871.2,874.6,879.3,890.4,894.2,900.1,912.3,910.9,920.5,927.5,929.6,933.8,943.1,945.8,953.2,961.9,965.8,970.4,980.9,982.4,994.8,1006.3,1005.2,1009,1011.9,1014.6,1020.8,1030.2,1031.5,1043.9,1052,1067.5,1076.8,1078.5,1084.3,1092,1087.8,1097.7,1109,1105.5,1115.7,1113.4,1112.1,1114.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
