"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"16","9","    Computers, peripherals, and parts","B850RA3",0.021,0.037,0.044,0.054,0.077,0.125,0.138,0.185,0.27,0.419,0.648,1.101,1.365,1.522,2.22,3.544,4.392,5.468,7.7,10.504,11.573,13.987,16.361,19.759,23.109,28.756,38.423,50.472,66.24,69.093,78.682,98.356,86.997,75.178,79.732,86.739,100,109.416,113.28,119.164,109.842,130.989,152.691
"17","10","    Other","B689RA3",7.579,8.123,8.206,9.179,11.472,13.883,14.226,13.852,13.433,13.425,15.309,16.88,16.865,15.246,13.336,14.129,14.461,15.05,16.634,20.742,24.102,27.726,30.24,33.34,37.24,44.475,55.534,62.68,74.769,74.334,78.887,95.037,83.49,76.707,80.499,93.681,100,112.608,122.442,132.628,109.265,129.24,140.555
"18","11","  Automotive vehicles, engines, and parts","B641RA3",19.444,18.995,21.532,24.164,28.373,31.645,33.321,34.837,35.094,36.028,36.255,30.533,30.183,24.734,25.59,30.195,32.861,32.317,34.834,41.345,42.502,42.562,45.645,52.624,57.373,63.42,66.844,69.312,78.456,77.388,79.827,84.534,79.086,82.347,83.518,91.682,100,107.687,120.353,119.081,79.704,108.655,127.012
"19","12","  Consumer goods, except automotive","B642RA3",7.171,7.601,7.624,8.914,10.867,13.523,12.46,14.052,15.202,17.552,18.453,22.363,21.437,19.296,17.647,17.558,17.04,18.847,22.17,28.322,36.313,42.604,44.143,47.538,49.943,54.568,57.842,61.689,68.043,70.103,71.722,78.892,78.248,75.111,79.6,90.546,100,110.556,122.448,132.464,122.483,133.923,139.956
"20","13","    Durable goods","B690RA3",7.368,7.135,6.843,8.774,10.718,13.961,12.144,14.205,14.781,18.235,18.412,22.047,19.239,16.206,13.843,13.889,13.358,15.172,18.517,25.13,35.384,41.399,41.678,44.662,47.612,51.016,54.244,57.736,64.58,66.785,68.891,76.442,75.817,72.011,75.204,87.72,100,113.455,130.645,140.483,116.028,136.492,149.539
"21","14","    Nondurable goods","B691RA3",7.008,7.978,8.278,8.96,10.901,12.937,12.613,13.741,15.41,16.68,18.32,22.511,23.97,23.021,22.359,22.092,21.596,23.38,26.651,32.193,37.302,43.908,47.009,50.893,52.644,58.712,62.036,66.297,72.073,73.963,75.013,81.737,81.071,78.728,84.751,93.848,100,107.185,113.004,123.206,129.636,131.039,129.46
"22","15","  Other","B643RA3",26.559,30.531,31.544,35.187,36.111,35.365,35.003,33.006,38.576,31.052,30.833,33.952,40.439,34.335,39.58,49.856,58.335,57.294,70.896,76.66,77.995,69.222,72.207,70.504,68.711,70.512,72.158,76.645,84.452,92.682,98.815,100.872,96.296,102.157,89.967,89.746,100,102.815,119.09,112.115,105.893,105.646,106.161
"23","16","Exports of services \1\","B646RA3",14.442,15.729,16.942,16.835,18.025,19.432,20.626,21.236,22.606,24.496,25.25,26.826,29.683,28.86,28.38,30.911,31.279,35.82,39.39,42.939,47.375,52.372,55.505,58.496,60.437,64.275,68.316,73.101,77.436,79.303,83.857,86.102,82.534,84.115,85.107,95.237,100,107.935,116.885,123.395,120.204,125.805,132.793
"24","17","  Transfers under U.S. military agency sales contracts","B267RA3",67.202,71.487,85.484,69.764,61.456,56.556,64.105,55.399,67.699,69.359,55.513,66.019,72.21,78.609,76.256,59.161,52.591,54.955,75.177,64.314,58.426,65.492,68.533,74.824,77.494,71.646,79.617,89.641,94.039,99.647,86.912,73.924,69.168,66.357,72.804,84.485,100,121.974,82.982,67.287,74.132,64.612,81.354
"25","18","  Travel","B493RA3",12.393,13.366,13.953,14.986,17.218,18.735,20.257,23.078,23.128,24.845,26.634,29.75,32.84,29.276,24.721,36.868,36.503,40.726,44.944,54.219,64.805,73.099,77.451,85.922,90.128,90.572,97.107,104.436,107.423,103.167,105.368,110.858,96.203,89.855,85.094,95.219,100,100.49,109.526,119.441,106.38,113.421,121.09
"26","19","  Passenger fares","B533RA3",9.431,11.346,11.721,12.649,17.459,17.377,14.689,16.358,17.772,20.856,28.667,30.645,33.482,32.623,37.104,42.863,48.283,58.88,69.36,83.703,97.079,130.298,122.638,124.97,122.032,122.488,129.087,139.363,149.552,146.546,133.796,136.206,117.06,108.096,90.12,96.928,100,104.616,111.815,123.057,118.502,121.077,128.976
"27","20","  Other transportation","B683RA3",24.82,28.147,27.686,31.146,36.787,38.486,37.988,41.025,41.471,44.033,49.635,49.319,49.577,47.599,45.896,55.465,56.536,55.449,61.901,70.485,71.373,71.569,72.016,68.194,68.532,74.479,80.332,78.156,80.732,79.274,82.706,83.027,80.089,83.301,86.703,98.333,100,106.253,91.813,92.603,80.165,87.413,86.451
"28","21","  Royalties and license fees","B684RA3",15.464,16.964,17.51,18.284,20.023,22.2,22.862,21.738,22.791,25.229,24.266,25.094,23.638,16.836,16.637,17.048,17.778,20.99,25.4,29.191,31.816,36.597,37.777,42.958,43.631,52.547,58.155,61,61.335,65.223,71.539,76.039,70.133,75.586,77.995,91.304,100,106.237,123.497,144.532,139.281,149.486,164.527
"29","22","  Other private services","B720RA3",2.092,2.243,2.599,2.899,3.164,5.163,5.991,6.931,7.142,8.457,9.425,10.073,14.402,17.367,17.163,17.402,17.369,24.6,24.656,25.811,29.829,31.356,35.687,36.315,37.856,42.459,44.467,49.143,55.563,60.827,70.103,72.452,76.804,82.476,87.31,96.534,100,112.027,129.623,131.494,135.521,142.49,146.693
"30","23","  Other","B980RA3",47.632,50.294,51.22,55.063,64.339,69.493,74.806,77.646,82.635,87.958,94.13,90.283,96.311,75.059,96.497,98.137,114.971,104.143,99.732,93.453,88.863,98.536,110.011,117.387,127.379,129.528,120.144,124.2,123.509,115.851,113.598,110.976,109.329,105.264,98.308,101.897,100,103.784,107.579,118.613,117.899,96.225,104.312
"31","24","    Imports of goods and services","B021RA3",11.181,11.658,12.28,13.662,14.296,13.972,12.419,14.848,16.471,17.898,18.195,16.987,17.433,17.214,19.386,24.105,25.669,27.863,29.511,30.671,32.022,33.168,33.118,35.44,38.505,43.098,46.547,50.595,57.409,64.119,71.5,80.813,78.54,81.213,84.806,94.212,100,106.099,108.652,105.733,91.422,102.832,107.746
"32","25","Imports of goods \1\","B255RA3",9.502,9.874,10.702,12.158,13.016,12.654,11.059,13.56,15.213,16.577,16.861,15.61,15.931,15.531,17.641,21.908,23.279,25.665,26.855,27.943,29.146,29.995,30.13,32.971,36.27,41.114,44.817,49.018,56.082,62.727,70.549,80.018,77.464,80.341,84.302,93.637,100,105.92,108.674,104.5,88.2,101.309,106.561
"33","26","  Foods, feeds, and beverages","B647RA3",29.248,31.239,32.248,34.33,35.205,32.571,28.809,32.788,32.461,36.446,37.409,32.56,33.878,34.534,37.481,42.457,44.296,45.342,46.475,44.631,45.635,47.382,45.237,47.757,48.321,49.427,50.671,55.733,61.376,65.871,71.982,76.907,80.426,84.668,91.232,96.501,100,106.058,107.412,107.689,101.687,103.943,106.026
"34","27","  Industrial supplies and materials, except petroleum and products","B649RA3",21.934,22.163,24.157,26.508,26.677,25.991,21.891,26.661,28.686,31.413,30.178,26.335,28.589,25.917,30.78,38.172,38.388,40.427,40.029,40.465,39.548,40.17,39.425,43.337,47.022,54.015,56.558,59.776,64.709,71.863,75.35,80.441,77.663,79.877,81.149,93.767,100,104.272,100.185,93.39,70.685,80.894,86.184
"35","28","    Durable goods","B820RA3",27.065,27.241,29.822,33.01,33.739,32.721,26.019,30.416,34.094,37.667,35.647,29.294,30.961,25.287,31.515,39.747,38.977,41.473,39.001,38.335,36.74,36.764,35.059,38.502,42.292,50.697,52.539,56.267,60.589,69.935,72.763,77.562,73.048,76.854,77.644,93.412,100,109.345,98.714,91.155,63.876,73.234,79.718
"36","29","    Nondurable goods","B696RA3",16.691,16.969,18.37,19.876,19.49,19.14,17.669,22.791,23.158,25.026,24.584,23.286,26.129,26.5,29.976,36.504,37.724,39.278,41.162,42.879,42.78,44.108,44.463,48.914,52.474,57.789,61.15,63.771,69.414,73.89,78.166,83.577,82.728,83.167,84.959,94.158,100,98.714,102.279,96.332,78.624,89.823,93.607
"37","30","  Petroleum and products","B648RA3",21.262,22.968,26.267,32.078,45.57,43.87,43.146,52.025,62.591,59.175,59.857,48.34,42.356,36.431,36.053,38.082,35.76,44.212,46.178,51.078,55.233,55.821,55.619,58.132,63.679,67.991,66.756,72.387,75.383,80.579,81.228,85.728,88.254,86.183,91.939,98.027,100,98.119,100.815,96.92,89.88,90.33,88.605
"38","31","  Capital goods, except automotive","B650RA3",0.854,0.89,0.881,1.126,1.389,1.48,1.407,1.704,1.819,2.347,2.873,3.384,3.988,4.341,5.25,7.846,8.843,10.039,11.462,13.211,14.944,16.144,17.357,20.109,23.459,28.77,35.413,41.615,52.226,60.063,68.854,82.699,73.281,72.097,76.298,89.838,100,111.185,118.58,121.447,100.946,122.445,139.235
"39","32","    Civilian aircraft, engines, and parts","B932RA3",3.933,4.018,4.561,9.446,11.743,10.859,8.787,5.8,7.697,10.257,14.986,30.296,34.141,28.45,24.695,27.645,38.653,43.624,48.416,56.122,64.167,67.818,68.39,71.556,62.393,60.606,56.067,63.548,80.222,103.667,110.992,119.285,136.545,108.598,100.281,97.852,100,106.071,122.287,118.901,97.382,96.589,105.732
"40","33","    Computers, peripherals, and parts","B852RA3",0.002,0.003,0.004,0.005,0.007,0.01,0.012,0.019,0.025,0.043,0.064,0.096,0.137,0.206,0.507,0.926,1.05,1.631,2.616,3.427,4.325,4.864,6.241,8.654,11.537,15.359,20.435,26.019,34.347,42.789,55.168,64.571,58.743,64.782,70.622,87.462,100,116.978,128.609,131.214,129.339,164.192,176.179
"41","34","    Other","B853RA3",1.809,1.846,1.783,2.189,2.675,2.844,2.71,3.332,3.483,4.418,5.298,5.878,6.885,7.552,8.688,12.869,14.206,15.213,16.183,18.083,19.872,21.291,21.919,24.295,28.007,34.109,41.745,47.716,58.628,64.372,70.818,87.108,73.777,71.627,76.253,89.952,100,109.714,114.846,118.453,92.999,113.407,132.194
"42","35","  Automotive vehicles, engines, and parts","B651RA3",13.513,13.818,16.855,18.263,18.844,20.015,15.884,21.047,22.296,24.127,23.329,23.113,22.368,23.941,29.306,37.653,42.19,45.672,46.866,45.689,44.527,44.586,41.576,43.712,48.036,53.861,54.794,56.652,61.23,65.188,77.953,84.727,82.151,87.93,90.2,96.301,100,106.764,105.712,93.674,63.451,89.337,98.048
"43","36","  Consumer goods, except automotive","B652RA3",6.015,6.467,6.805,8.295,8.512,7.661,5.94,7.664,9.255,11.37,11.456,11.541,12.638,13.209,15.898,20.069,21.906,24.273,25.058,25.428,26.612,26.138,26.588,29.356,31.792,34.445,37.155,40.008,45.827,52.003,58.377,68.601,69.724,76.417,83.242,92.473,100,107.998,114.223,113.419,100.888,113.799,118.922
"44","37","    Durable goods","B697RA3",5.39,5.749,6.183,7.662,8.103,7.648,5.774,6.95,9.343,11.373,11.311,11.923,12.967,13.237,15.624,19.681,21.854,23.671,23.638,23.906,25.2,23.866,24.086,26.429,28.699,31.329,33.56,36.464,41.359,47.865,54.567,65.245,64.682,72.311,77.978,90.244,100,108.168,115.635,115.007,98.413,114.55,118.895
"45","38","    Nondurable goods","B698RA3",7.13,7.759,7.904,9.385,9.159,7.6,6.143,8.689,9.007,11.228,11.548,10.83,11.986,12.981,16.06,20.332,21.687,24.784,26.704,27.211,28.229,28.94,29.699,33.019,35.652,38.305,41.638,44.391,51.394,57.101,63.026,72.632,75.894,81.394,89.644,95.156,100,107.795,112.531,111.518,103.762,112.963,118.965
"46","39","  Other","B653RA3",11.01,11.045,11.466,12.003,11.076,10.118,7.977,9.087,11.125,11.967,12.323,14.753,19.474,21.35,22.099,25.623,30.524,31.063,32.451,33.655,36.254,41.988,42.97,44.545,45.469,50.293,51.374,53.267,61.437,71.593,84.242,94.773,96.774,99.841,95.163,95.017,100,101.101,101.732,79.637,74.653,85.352,73.841
"47","40","Imports of services \1\","B656RA3",21.596,22.722,22.075,23.011,22.235,22.21,21.247,22.714,23.846,25.546,25.897,25.319,26.778,28.205,30.483,38.126,41.026,41.488,46.378,47.954,50.278,53.564,52.173,50.768,52.124,54.901,56.556,59.514,64.687,71.721,76.569,84.955,84.292,85.837,87.474,97.252,100,107.059,108.539,112.488,108.74,111.507,114.63
"48","41","  Direct defense expenditures","B752RA3",159.418,155.598,135.628,130.392,104.57,97.658,81.566,76.881,80.029,86.958,84.105,91.994,97.737,104.928,114.251,112.952,117.815,105.507,98.224,91.639,90.645,87.871,81.641,66.4,59.421,48.811,43.286,47.869,55.186,59.133,63.633,66.546,72.697,90.267,102.515,107.021,100,98.038,79.681,76.967,83.987,87.768,78.323
"49","42","  Travel","B768RA3",19.73,22.764,22.74,24.595,23.203,20.829,20.094,21.374,22.022,22.747,22.192,22.165,23.445,27.791,31.486,57.552,63.524,59.053,70.02,71.954,74.135,79.207,71.727,73.849,77.467,80.218,80.848,84.022,91.268,103.171,105.168,117.09,111.519,104.659,95.401,101.802,100,100.578,98.504,97.023,93.117,93.024,94.453
"50","43","  Passenger fares","B769RA3",16.739,18.789,18.454,21.837,24.897,24.205,24.31,26.416,26.518,29.435,30.267,29.584,34.008,34.997,43.929,42.986,50.033,48.682,53.666,54.579,58.585,68.215,58.185,59.978,65.447,74.541,79.513,84.617,91.567,99.552,103.495,111.448,95.057,79.842,82.224,98.465,100,99.679,96.115,93.678,79.941,76.213,81.066
"51","44","  Other transportation","B770RA3",26.439,28.225,30.364,32.333,35.151,35.682,34.127,38.624,43.007,44.809,46.025,40.49,40.511,35.859,37.228,44.456,45.263,46.163,52.997,57.11,59.182,63.653,62.746,60.105,61.453,65.115,64.996,64.059,69.177,73.912,74.254,82.429,78.156,80.674,83.712,93.474,100,106.07,89.705,87.665,71.304,79.88,81.212
"52","45","  Royalties and license fees","B908RA3",4.468,4.286,4.338,5.059,6.255,6.754,7.916,7.566,7.327,8.701,9.664,7.738,6.692,6.245,7.103,8.444,8.169,9.486,12.13,16.38,15.23,18.038,22.383,27.836,26.475,30.132,34.751,38.523,44.241,53.824,61.832,75.761,74.569,86.008,82.661,97.983,100,92.456,95.315,109.664,115.927,122.038,130.442
"53","46","  Other private services","B909RA3",1.559,1.636,1.807,1.861,2.083,4.187,4.733,5.688,5.955,6.962,7.885,8.049,9.479,10.748,10.071,11.286,12.575,17.989,20.567,21.96,25.616,27.783,30.922,28.984,30.751,34.666,38.164,41.798,44.84,50.096,58.546,65.144,71.465,76.052,82.084,92.694,100,121.424,143.157,157.384,157.213,160.08,168.301
"54","47","  Other","B910RA3",50.303,50.074,48.313,48.036,47.683,45.655,45.138,48.544,48.888,51.176,51.479,48.289,48.1,53.629,57.718,59.632,63.857,60.314,68.366,69.246,69.53,69.698,72.185,73.67,74.002,77.296,78.475,79.969,83.092,86.292,86.264,91.036,94.264,93.826,94.223,100.901,100,98.768,99.651,91.31,93.407,92.199,87.699
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","B332RA3",8.258,9.034,8.969,9.907,12.344,14.248,13.952,14.15,14.118,15.74,17.917,19.983,19.265,16.744,16.4,18.172,19.634,20.779,23.726,29.434,33.576,37.166,39.935,43.113,45.357,50.852,58.095,64.782,76.492,78.964,82.734,93.405,85.63,80.779,82.218,91.33,100,110.741,121.011,127.359,105.681,123.356,134.604
"57","49","  Exports of nondurable goods","B339RA3",20.339,23.322,23.349,25.964,31.343,31.055,30.231,33.137,34.296,37.982,41.403,46.567,47.788,46.34,44.483,46.237,45.034,46.834,49.625,54.703,59.129,61.613,65.204,69.458,68.968,72.225,76.88,79.447,84.603,84.472,85.631,91.195,90.743,92.129,93.807,96.774,100,106.541,118.017,127.953,124.845,137.674,143.307
"58","50","  Exports of agricultural goods \2\","B181RA3",29.455,34.338,34.284,39.398,49.983,45.831,46.504,52.071,53.332,63.142,65.941,74.229,74.169,70.842,67.684,67.147,58.576,59.026,61.992,68.136,70.913,72.315,72.334,81.075,78.935,81.603,90.991,88.777,90.674,90.626,91.27,98.7,101.773,99.198,100.519,95.125,100,108.443,116.025,123.564,119.683,132.487,130.492
"59","51","  Exports of nonagricultural goods","B182RA3",12.936,14.09,13.898,15.108,18.381,20.632,19.824,20.206,20.104,22.12,24.954,27.442,26.631,23.158,21.683,22.656,23.631,24.998,27.978,33.594,37.951,41.444,44.625,47.75,49.616,54.778,61.198,67.396,77.973,79.873,83.115,92.517,86.164,82.987,84.51,92.826,100,109.501,120.424,128.029,111.615,127.989,138.386
"60","52","  Imports of durable goods","B333RA3",5.52,5.671,6.244,7.183,7.647,7.676,6.273,7.685,8.697,10.051,10.282,10.362,11.226,11.353,13.683,18.207,20.029,21.888,22.854,23.808,24.864,25.519,25.659,28.348,31.709,36.946,41.184,45.593,53.116,60.116,68.869,79.361,74.454,77.57,80.914,92.123,100,108.8,111.295,107.208,84.934,104.026,113.294
"61","53","  Imports of nondurable goods","B340RA3",19.302,20.35,21.61,24.135,26.034,24.407,22.645,27.787,30.948,31.957,32.327,27.833,26.998,25.424,27.076,30.836,31.208,34.891,36.646,38.048,39.595,40.929,41.051,44.185,47.161,50.663,52.743,56.275,62.129,67.805,73.271,80.457,82.648,85.001,90.125,96.073,100,101.744,104.845,100.585,91.769,96.976,97.59
"62","54","  Imports of nonpetroleum goods","B187RA3",7.377,7.643,8.248,9.311,9.666,9.417,7.889,9.735,10.62,12.185,12.418,12.197,13.315,13.594,16.066,20.71,22.532,24.45,25.588,26.453,27.486,28.351,28.51,31.355,34.508,39.323,43.229,47.314,54.61,61.282,69.406,79.223,76.214,79.502,83.277,92.977,100,107.407,110.167,105.944,87.387,103.274,110.479
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
