"","Table 4BU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"17","61","    Electrical equipment, appliance, and component manufacturing","KS335F0",3881,4270,4141,4316,3953,3844,3735,3530,3441,3831,4131,3984,3245,3441
"18","62","    Transportation equipment manufacturing","KS336F0",12120,13403,13731,13722,14210,13654,12998,13688,14494,15747,14695,13288,12047,12524
"19","63","      Motor vehicle and parts manufacturing","KS3MVF0",5799,6172,6550,6987,6534,6749,6857,6976,7192,7202,7293,6840,5857,6916
"20","64","      Other transportation equipment manufacturing","KS3OTF0",6320,7248,7188,6727,7693,6907,6142,6712,7302,8544,7398,6441,6181,5613
"21","65","    Furniture and related product manufacturing","KS337F0",2626,2660,2840,2938,2845,3094,2928,3081,3238,3170,3047,2830,2467,2735
"22","66","    Miscellaneous durable goods manufacturing","KS339F0",5845,5997,6448,7128,7264,7322,8079,8014,8965,9575,9603,10107,10053,10457
"23","67","  Nondurable goods industries","KS30NF0",92794,93439,97691,100766,98615,98525,97256,98527,100895,103532,105051,100119,94074,96129
"24","68","    Food manufacturing","KS311F0",20180,20230,20867,21855,21860,22479,21787,21282,21800,21734,21636,22023,22829,22533
"25","69","    Beverage and tobacco product manufacturing","KS312F0",3924,3807,4008,4085,4321,4332,4425,4684,4627,4661,4709,4554,4709,4606
"26","70","    Textile mills","KS313F0",2718,2958,3072,2872,2737,2609,2501,2433,2421,2353,2315,2144,1842,1892
"27","71","    Textile product mills","KS314F0",1593,1485,1666,1848,2053,1520,1658,1619,1728,1801,1706,1612,1304,1362
"28","72","    Apparel manufacturing","KS315F0",4285,4537,4966,4925,4127,3840,3971,3802,3775,3809,3705,3601,3319,3463
"29","73","    Leather and allied product manufacturing","KS316F0",913,972,999,944,851,765,727,713,757,853,836,857,790,804
"30","74","    Paper manufacturing","KS322F0",7145,7190,7319,7187,7378,7771,7529,7616,7559,7495,7392,7223,6775,6700
"31","75","    Printing and related support activities","KS323F0",2992,3006,3116,3112,3011,3047,2913,2936,2956,3011,3106,2967,2711,2750
"32","76","    Petroleum and coal product manufacturing","KS324F0",11711,11057,10945,11737,11678,11473,11309,11673,11837,12426,13480,13929,11496,12024
"33","77","    Chemical manufacturing","KS325F0",29272,29287,30993,32216,30857,30716,30577,32026,33589,34822,35107,30777,28782,30074
"34","78","    Plastics and rubber product manufacturing","KS326F0",8451,8872,9397,9852,9624,9882,9762,9742,9845,10537,10774,10079,9065,9397
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","inventories for 2005 equals the current-dollar change in inventories for 2005 and that the average of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2004 and 2005 end-of-year chain-weighted and fixed-weighted inventories are equal.  Chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","final sales series are calculated as the product of the chain-type quantity index and the 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","current-dollar value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
