"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115"
"11","3","    Durable goods manufacturing industries","PK30D3",102.822,102.794,102.835,102.811,102.509,102.441,102.307,102.202,102.104,101.93,101.815,101.641,101.44,101.321,101.231,101.099,100.922,100.773,100.806,100.698,100.666,100.531,100.47,100.232,100.088,100.076,99.99,99.928,99.998,99.978,99.925,99.946,99.866,100.039,99.947,99.942,100.01,100.055,100.077,100.039,99.942,99.953,100.057,100.022,100.1,99.969,99.95,99.822,99.807,99.619,99.613,99.569,99.686,99.638,99.572,99.417,99.497,99.004,99.011,99.056,98.967,99.004,99.054,98.929,98.874,98.947,98.783,98.713,98.822,98.773,98.761,98.569,98.624,98.516,98.716,98.406,98.393,98.315,98.47,98.444,98.619,98.836,99.004,98.934,99.183,99.695,100.345,100.943,101.434,101.542,101.583,102.152,102.458,102.657,102.668,103.036,103.479,103.639,103.622,103.577,103.359,103.317,103.333,103.325,103.677,103.838,103.96,104.171,104.776,104.822,105.004,105.388
"12","4","      Wood product manufacturing","PK3213",100.098,101.005,101.429,102.043,102.378,101.975,102.068,101.61,101.209,100.899,101.346,101.003,100.335,100.384,99.933,100.028,98.997,97.824,98.994,99.935,99.662,98.941,98.764,99.041,99.771,100.442,101.44,101.355,102.619,105.153,107.8,106.421,104.394,102.646,102.344,102.856,103.211,102.682,102.457,102.06,100.011,99.771,98.897,97.784,97.924,98.471,98.165,97.616,96.489,96.449,96.476,96.516,101.051,102.114,99.438,99.324,99.073,97.432,97.147,96.535,97.16,97.376,98.413,98.329,97.643,96.97,97.114,97.634,97.124,97.313,97.122,97.312,97.23,97.649,96.672,96.831,96.985,97.895,100.486,101.187,106.033,107.238,108.178,106.613,105.388,109.162,112.629,114.831,117.013,114.272,111.88,116.145,117.002,113.543,110.387,111.997,113.696,115.634,115.607,114.613,112.192,115.142,113.073,111.544,114.958,117.242,113.503,114.786,116.351,116.003,115.32,115.215
"13","5","      Nonmetallic mineral product manufacturing","PK3273",94.413,94.427,94.534,94.726,94.718,94.713,94.754,94.93,94.928,95.191,95.256,95.276,95.068,95.149,95.22,95.671,95.918,96.225,96.604,96.809,96.917,97.074,97.086,97.14,97.268,97.847,97.942,98.028,98.306,98.513,98.539,98.908,98.98,99.324,99.39,99.36,99.821,99.947,100.037,100.038,100.114,100.186,100.093,99.915,100.107,100.016,99.96,99.76,100.102,100.702,100.624,100.709,100.815,100.649,100.985,101.042,101.235,101.451,101.667,101.546,101.523,101.172,101.092,101.293,101.587,101.749,101.733,102.05,102.125,102.091,102.067,102.118,102.066,102.118,102.089,102.274,102.168,102.14,102.252,102.37,102.468,102.513,102.842,102.831,103.004,103.718,103.734,104.099,104.565,105.046,105.694,106.358,107.076,107.443,107.674,107.936,109.29,109.953,110.486,110.91,111.059,111.742,112.684,113.137,113.589,114.122,115.206,115.47,117.891,118.405,118.694,119.266
"14","6","      Primary metal manufacturing","PK3313",104.518,104.959,105.602,105.557,105.655,106.021,105.581,105.673,105.484,105.266,105.103,104.423,103.668,103.357,102.83,102.702,102.19,101.45,100.745,100.348,99.865,99.213,98.493,97.443,96.531,95.878,95.496,95.376,95.792,95.671,96.145,96.406,96.806,97.691,97.943,98.401,99.502,100.26,100.208,100.41,100.38,100.013,100.183,100.148,100.367,100.179,99.182,99.119,98.761,98.414,97.99,97.174,97.222,96.789,96.486,96.079,95.847,95.348,95.124,95.057,94.797,94.721,95.308,95.547,96.076,97.105,97.52,97.498,98.2,98.333,99.064,99.244,99.123,99.146,98.904,98.427,98.257,98.259,98.316,98.555,98.999,100.118,101.375,102.849,105.179,108.875,112.121,116.489,118.768,119.078,121.39,124.135,126.184,128.547,130.014,131.675,133.318,133.894,132.918,132.122,130.595,129.64,127.723,126.883,129.5,132.596,136.094,138.997,141.554,141.904,143.49,146.876
"15","7","      Fabricated metal product manufacturing","PK3323",96.85,96.945,97.108,97.219,97.344,97.419,97.637,97.814,97.884,98.012,98.051,98.055,98.14,98.233,98.321,98.359,98.488,98.638,98.611,98.607,98.671,98.684,98.845,98.763,98.741,98.707,98.687,98.79,98.814,98.881,98.891,98.927,99.032,99.176,99.335,99.359,99.514,99.632,99.892,99.995,99.874,100.01,100.018,100.056,100.147,100.231,100.288,100.36,100.547,100.559,100.624,100.703,100.787,100.747,100.798,100.8,100.819,100.91,100.902,101.009,101.083,101.022,101.011,101.035,101.099,101.148,101.332,101.347,101.393,101.497,101.519,101.545,101.588,101.617,101.619,101.615,101.571,101.583,101.705,101.747,101.853,101.983,102.218,102.443,103.143,104.008,105.513,106.833,107.942,108.67,109.151,110.043,110.587,111.061,111.495,111.72,112.552,113.408,113.294,113.547,113.456,113.736,113.72,113.766,113.871,114.346,114.773,115.148,115.812,115.985,116.209,116.767
"16","8","      Machinery manufacturing","PK3333",96.501,96.571,96.698,96.869,96.971,96.96,97.105,97.236,97.289,97.394,97.434,97.52,97.582,97.67,97.808,97.94,98.014,98.137,98.183,98.271,98.459,98.452,98.579,98.664,98.813,98.882,98.9,99.039,99.135,99.163,99.204,99.265,99.249,99.371,99.372,99.469,99.559,99.646,99.701,99.777,99.84,100,100.084,100.156,100.251,100.262,100.328,100.425,100.56,100.651,100.716,100.835,100.945,101.041,101.069,101.17,101.2,101.24,101.373,101.379,101.371,101.408,101.547,101.447,101.493,101.5,101.606,101.613,101.728,101.91,101.967,102.018,102.09,102.062,102.057,102.162,102.199,102.359,102.392,102.525,102.714,102.823,102.778,102.912,103.056,103.32,103.63,103.974,104.247,104.503,104.92,105.055,105.36,105.693,106.012,106.286,106.96,107.233,107.818,108.009,108.597,108.77,108.807,109.156,109.473,109.749,110.024,110.415,110.905,111.119,111.459,111.381
"17","9","      Computer and electronic product manufacturing","PK3343",121.271,120.544,120.027,119.686,117.947,117.389,117.052,116.003,115.482,114.673,114.209,113.867,113.208,112.412,111.806,110.968,110.41,110.028,109.505,108.841,108.377,107.849,107.484,106.842,106.406,106.054,105.683,105.179,104.782,104.244,103.35,103.236,102.759,102.421,102.051,101.558,101.108,100.785,100.522,100.287,99.787,99.874,100.049,100.075,99.88,99.588,99.378,98.846,98.711,98.381,97.992,97.484,97.257,96.791,96.448,95.729,95.566,95.38,95.228,95.058,94.948,94.583,94.582,93.96,93.674,93.414,92.781,92.49,92.345,91.832,91.459,90.697,90.437,89.651,89.488,89.389,89.144,88.697,88.294,87.467,87.113,86.64,86.632,86.038,85.99,85.661,85.434,85.29,85.069,84.914,84.615,84.59,84.198,84.002,83.528,83.545,83.22,83.012,82.789,82.472,81.961,81.929,81.882,81.977,81.426,81.119,80.861,80.252,80.202,79.675,79.762,79.578
"18","10","      Electrical equipment, appliance, and component manufacturing","PK3353",98.988,99.132,99.475,99.49,99.717,99.773,99.607,99.471,99.419,99.351,99.247,99.225,99.132,98.954,99.145,99.106,99.102,99.292,99.199,99.243,99.31,99.129,99.055,98.931,98.889,98.581,98.511,98.427,98.572,98.458,98.72,98.888,99.25,99.387,99.347,99.366,99.561,99.895,100.012,99.863,99.977,99.932,100.015,100.15,100.154,100.26,100.119,100.074,100.162,100.106,100.117,99.958,99.893,99.869,99.745,99.657,99.725,99.574,99.636,99.675,99.739,99.739,99.428,99.469,99.306,99.402,99.376,99.404,99.292,99.282,99.327,99.262,99.437,99.068,99.046,99.079,99.084,99.175,99.094,99.194,99.245,99.399,99.6,99.92,100.175,100.659,101.723,102.464,103.03,103.133,103.155,103.479,103.88,104.455,104.637,104.872,106.135,106.564,107.115,107.249,107.26,107.512,107.637,107.934,108.415,109.288,110.787,111.704,112.482,112.567,112.884,114.234
"19","11","      Transportation equipment manufacturing","PK3363",99.568,99.558,99.572,99.396,99.173,99.19,98.874,99.063,99.092,98.951,98.76,98.553,98.521,98.6,98.702,98.659,98.502,98.382,98.807,98.707,98.885,99.003,99.107,98.909,98.735,98.942,98.8,98.84,98.94,98.853,98.709,98.841,98.963,99.588,99.445,99.509,99.545,99.617,99.747,99.744,100.065,99.982,100.218,100.14,100.385,100.018,100.346,100.315,100.318,99.781,100.091,100.434,100.192,100.284,100.649,100.646,101.032,99.701,99.808,100.152,99.856,100.223,100.145,100.06,99.982,100.167,99.76,99.577,99.858,99.839,99.87,99.649,99.949,100.126,101.128,100.088,100.266,100.09,100.441,100.72,100.684,101.229,101.259,101.173,101.35,101.398,101.798,101.931,102.309,102.616,102.369,102.529,102.817,103.307,103.42,103.75,103.994,103.624,103.565,103.74,103.755,103.01,103.663,103.64,104.005,103.287,103.041,102.966,103.5,103.948,103.905,104.383
"20","12","        Motor vehicle and parts manufacturing","PK3MV3",100.781,100.753,100.757,100.548,100.191,100.209,99.723,99.956,100.006,99.861,99.585,99.279,99.319,99.404,99.51,99.39,99.113,98.954,99.416,99.281,99.473,99.688,99.827,99.537,99.269,99.527,99.316,99.452,99.568,99.437,99.237,99.393,99.5,100.127,99.875,99.884,99.894,99.761,99.899,99.814,100.18,99.97,100.169,100.028,100.279,99.786,100.173,100.104,100.042,99.212,99.599,99.997,99.585,99.646,100.096,100.021,100.472,98.574,98.715,99.136,98.728,99.179,99.025,98.937,98.794,99.023,98.349,98.04,98.382,98.3,98.274,97.903,98.193,98.364,99.623,98.124,98.265,97.946,98.374,98.677,98.554,99.026,99.049,98.823,98.942,98.923,99.401,99.378,99.844,100.135,99.561,99.653,99.973,100.438,100.45,100.762,100.884,100.289,100.02,100.295,100.234,99.173,100.022,99.836,100.27,99,98.555,98.295,98.786,99.33,99.482,99.625
"21","13","        Other transportation equipment manufacturing","PK3OT3",96.379,96.406,96.435,96.336,96.447,96.456,96.578,96.648,96.613,96.476,96.517,96.564,96.357,96.417,96.51,96.655,96.813,96.787,97.13,97.113,97.256,97.143,97.163,97.203,97.267,97.339,97.384,97.164,97.218,97.252,97.254,97.317,97.473,98.089,98.244,98.46,98.562,99.223,99.318,99.548,99.74,99.988,100.33,100.423,100.653,100.63,100.808,100.895,101.105,101.295,101.413,101.6,101.807,101.975,102.128,102.314,102.554,102.619,102.651,102.81,102.797,102.948,103.06,102.986,103.09,103.153,103.496,103.677,103.78,103.928,104.112,104.285,104.612,104.804,105.125,105.305,105.581,105.782,105.926,106.143,106.344,107.094,107.14,107.437,107.77,107.994,108.182,108.747,108.893,109.244,109.86,110.208,110.417,110.978,111.371,111.754,112.311,112.544,113.024,112.965,113.156,113.179,113.35,113.736,113.917,114.553,114.774,115.098,115.797,116.015,115.513,116.803
"22","14","      Furniture and related product manufacturing","PK3373",95.452,95.571,95.544,95.872,95.96,95.985,96.214,96.16,96.373,96.336,96.579,96.643,96.775,96.916,96.966,96.967,97.212,97.145,97.146,97.252,97.288,97.479,97.503,97.65,97.77,97.816,97.824,97.903,98.061,98.269,98.421,98.707,98.807,98.912,99.012,99.141,99.248,99.367,99.642,99.837,99.95,100.016,100.136,100.268,100.252,100.3,100.424,100.498,100.652,100.851,100.98,101.101,101.28,101.396,101.473,101.438,101.551,101.605,101.644,101.639,101.759,101.878,101.849,101.813,101.888,102.029,102.391,102.494,102.793,102.864,102.934,102.897,103.056,103.055,103.094,103.181,103.222,103.288,103.348,103.387,103.153,103.337,103.326,103.523,103.435,103.911,104.109,104.089,104.436,104.685,104.874,105.453,105.59,105.703,106.701,107.01,107.317,107.754,107.603,107.87,108.13,108.323,108.434,108.486,108.92,109.24,109.455,110.748,111.242,111.348,111.402,111.502
"23","15","      Miscellaneous durable goods manufacturing","PK3393",97.431,97.413,97.558,97.736,97.78,97.92,97.93,98.039,98.084,98.142,98.1,98.043,98.07,98.116,98.22,98.212,98.279,98.291,98.408,98.487,98.679,98.73,98.804,98.816,98.821,98.738,98.981,99.126,99.094,99.024,99.063,99.022,98.975,99.25,99.219,99.355,99.416,99.724,99.752,99.628,99.597,99.827,99.996,100.128,100.24,100.384,100.519,100.697,100.904,100.909,101.017,101.097,101.331,101.417,101.59,101.729,101.932,101.955,102.076,102.11,102.107,102.373,102.311,102.52,102.513,102.689,102.747,102.813,102.936,103.119,103.202,103.207,103.471,103.527,103.628,103.752,103.735,103.821,104,104.053,104.019,104.223,104.29,104.39,104.563,104.793,104.792,104.948,105.023,105.33,105.399,105.709,106.037,105.703,105.788,106.152,106.426,106.678,106.911,106.853,107.175,107.175,107.253,107.321,107.547,107.884,108.166,108.263,108.313,108.289,108.648,108.729
"24","16","    Nondurable goods manufacturing industries","PK30N3",94.875,94.669,94.457,93.905,93.627,93.436,93.174,93.783,93.703,93.577,93.644,93.668,92.659,92.32,92.025,91.98,91.975,91.874,91.869,91.479,91.117,91.14,90.96,90.885,91.081,90.462,90.915,92.037,92.123,92.372,93.204,94.165,94.928,95.225,95.799,96.832,97.046,98.56,99.754,98.916,99.028,100.516,100.542,99.901,100.9,101.051,101.716,102.14,102.108,102.155,101.668,102.286,102.539,102.068,100.381,100.413,101.219,98.89,97.947,96.917,96.78,96.757,97.855,98.977,98.234,98.885,99.721,99.843,101.407,101.72,101.475,101.834,103.624,106.049,106.777,103.889,102.568,104.018,104.337,104.959,105.005,105.354,105.934,107.225,108.357,107.995,108.195,110.003,111.16,111.73,112.753,112.795,113.599,115.649,116.98,116.437,116.293,116.762,118.695,119.53,118.051,119.845,121.753,122.5,126.087,128.135,125.707,127.705,127.872,125.912,126.239,128.709
"25","17","      Food manufacturing","PK3113",102.787,102.582,103.612,103.751,104.393,103.543,102.885,103.255,103.023,102.308,102.537,102.251,100.585,100.755,100.118,99.823,100.246,100.578,100.694,101.144,100.702,100.113,100.263,99.825,100.202,99.076,98.472,97.333,98.185,98.621,98.131,99.052,99.574,99.676,99.227,98.999,98.776,99.105,99.43,100.031,100.801,100.866,100.619,99.633,99.633,99.864,100.079,101.13,101.582,101.844,102.56,103.114,103.958,104.273,104.562,105.293,105.023,104.525,102.894,102.443,102.272,102.461,102.549,101.974,101.361,101.751,102.176,102.067,105.778,102.554,102.537,103.577,104.802,105.405,105.426,105.609,106.248,107.692,107.558,108.363,109.776,112.279,112.635,112.142,110.838,111.481,113.363,116.832,119.213,118.575,116.6,114.602,113.889,113.671,113.446,114.411,114.787,114.827,115.582,115.851,116.466,115.328,115.361,115.137,115.282,115.862,115.289,115.347,115.49,113.769,113.536,112.65
"26","18","      Beverage and tobacco product manufacturing","PK3123",79.888,79.825,80.219,80.86,81.13,81.108,81.189,81.065,81.723,81.798,81.738,82.057,82.177,82.634,82.746,83.731,84.493,84.617,84.672,85.431,85.728,85.923,86.142,93.874,93.706,94.115,94.06,94.124,94.293,94.331,94.787,94.843,98.076,98.201,98.233,98.488,96.992,99.432,99.372,98.807,99.706,99.739,99.812,100.987,101.132,101.275,101.198,101.534,104.243,104.453,104.666,104.472,106.764,106.874,106.975,107.039,107.107,107.38,108.194,108.265,107.505,107.693,107.547,109.261,109.397,109.595,109.681,109.761,110.174,109.785,110.393,107.886,107.496,107.067,107.481,107.223,107.598,107.606,107.858,107.712,107.946,108.641,108.531,108.833,109.797,109.429,108.842,109.963,109.017,109.991,109.685,110.104,110.017,110.273,110.385,110.693,112.375,112.11,112.82,113.256,114.003,114.295,114.698,114.593,115.491,115.038,115.48,115.095,114.775,115.227,115.081,115.302
"27","19","      Textile mills","PK3133",103.958,104.07,103.98,103.979,104.098,104.126,104.068,104.013,104.131,104.202,104.023,104.308,104.154,104.276,104.116,104.143,104.06,103.84,103.521,103.477,103.117,102.485,102.316,102.234,101.693,101.356,101.342,100.977,100.714,100.313,100.155,100.253,100.067,100.177,99.898,99.737,100.117,100.061,99.956,100.138,100.016,99.673,99.982,100.087,99.985,99.753,100.126,100.114,100.224,100.332,100.325,100.308,99.893,99.954,99.273,99.084,98.969,98.613,98.417,98.408,98.1,97.904,97.938,97.792,97.759,97.816,97.757,97.512,97.63,97.484,97.432,97.705,97.084,96.95,96.808,97.015,97.473,97.05,97.203,97.486,97.257,97.512,97.632,97.515,97.997,98.07,97.875,98.55,99.117,99.52,99.604,99.259,99.395,99.683,99.699,99.521,100.413,100.43,100.717,101.058,101.906,101.547,101.482,101.517,102.303,102.809,103.286,102.776,103.342,103.961,103.779,103.609
"28","20","      Textile product mills","PK3143",98.79,98.633,99.093,98.173,98.367,98.483,98.899,98.839,98.952,99.096,99.536,99.557,99.485,99.504,99.548,99.499,99.535,99.638,99.428,99.431,99.305,99.226,99.449,99.292,98.847,98.652,98.974,98.81,98.793,99.342,99.016,99.014,99.185,99.285,99.303,99.169,98.875,99.25,99.733,99.737,99.846,100.479,100.166,100.446,100.054,100.44,100.278,100.865,101.235,101.514,100.888,101.491,101.288,101.197,101.773,101.256,100.749,101.533,101.261,101.05,101.515,101.144,100.94,101.24,100.888,101.321,101.601,101.608,101.16,101.069,101.418,100.845,101.024,100.985,101.24,101.467,101.654,102.495,102.457,102.452,102.242,102.586,103.594,102.28,102.204,102.283,101.398,102.46,103.418,104.106,104.411,104.962,104.91,105.361,106.459,106.346,106.05,106.323,107.132,107.392,107.509,107.519,107.489,107.704,108.232,108.448,110.02,110.043,110.903,111.348,110.873,111.028
"29","21","      Apparel manufacturing","PK3153",98.645,98.699,98.812,98.531,98.866,98.954,98.99,99.109,99.146,98.924,99.215,99.212,99.414,99.392,99.372,99.521,99.597,99.664,99.731,99.653,99.857,99.977,99.768,99.779,99.908,99.722,99.827,99.811,99.948,99.521,99.399,99.882,99.907,99.835,99.798,99.975,99.845,99.903,99.965,99.947,99.867,99.898,100.133,100.082,100.106,100.128,100.057,100.089,100.093,100.089,99.878,99.833,99.813,99.684,99.683,99.74,99.666,99.601,99.564,99.235,99.219,99.09,98.89,98.731,98.842,99.041,98.927,98.935,98.955,99.063,99.096,99.239,98.779,98.767,98.926,98.731,98.453,98.337,98.173,98.641,98.788,98.787,98.756,98.711,98.635,98.421,98.484,98.542,98.702,98.426,98.345,98.407,98.852,99.011,99.175,99.117,98.926,98.717,98.99,98.844,99.11,99.043,98.826,98.718,99.155,98.788,99.143,99.131,99.361,99.503,99.566,99.185
"30","22","      Leather and allied product manufacturing","PK3163",99.465,99.775,99.642,99.878,99.25,98.761,98.969,98.847,98.909,99.596,100.072,99.563,99.334,99.192,99.209,98.847,98.98,98.964,99.199,98.936,99.014,98.879,98.476,98.679,97.964,98.184,98.135,98.19,98.05,98.44,98.589,98.648,98.812,99.042,99.072,99.103,99.455,99.589,99.514,99.674,99.403,99.289,99.528,99.875,100.497,100.499,101.129,101.466,101.578,102.459,102.798,104.088,104.517,103.811,103.805,104.068,103.166,102.824,102.4,101.879,102.365,101.945,101.983,102.075,102.509,102.96,103.364,104.139,104.035,103.878,104.235,104.395,104.389,104.467,104.51,104.9,104.341,104.688,104.855,104.706,105.202,105.458,105.691,105.643,105.738,105.926,105.998,105.676,105.589,105.681,105.896,105.716,105.643,105.6,105.849,105.923,105.93,106.056,106.288,106.242,106.36,106.157,106.145,106.226,106.23,106.374,106.449,106.378,106.468,106.6,107.083,107.702
