"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"19","11","    Other","A172RX1",362.1,360.2,361.3,360.3,359.7,358.7,358.9,359.8,364.2,363.7,365.5,370.8,373.5,376.8,381,384.7,389.4,395.1,400.5,405.8,407.9,413.3,415.4,420,422,429.4,435.9,444.4,448.1,451.6,460.5,466.4,471.4,477.2,484.3,491.8,500.4,504.3,505.7,524,518.4,531.9,537.1,544.1,540.8,546,551.7,558.4,565,564.6,566.5,572.2,582.1,585.7,598.6,606.5,607.1,615,623,626.9,630.2,635.1,638.2,645.4,655.3,663.3,669,677,683.5,687.1,690.5,687.9,684.8,695.1,695.5,681.6,683.7
"20","12","  Services","B005RX1",2813.5,2849.5,2872.4,2871.3,2868.3,2896.8,2908.8,2925.8,2960.6,2987.9,3016.1,3038.7,3053.9,3065.4,3099.9,3123.5,3151.9,3167.9,3185.8,3200.9,3221.3,3251.2,3273.6,3293.4,3326.2,3345.4,3366.5,3385.9,3417.8,3446.9,3485.5,3521.6,3562,3602,3642.1,3653.7,3696.4,3738.5,3782.3,3815,3871.1,3908.2,3949.3,3986.8,3997.9,4016,4027.8,4051.2,4069.4,4095.7,4109,4127.4,4143.3,4161.3,4190.7,4220.2,4262.9,4294.6,4325.2,4361.1,4379.3,4398.2,4439.4,4466.9,4484.7,4515.7,4537.6,4581.5,4616.1,4632.7,4659.8,4676.1,4704.3,4712.1,4711.3,4729.4,4740.5
"21","13","    Housing","A174RX1",796,800.1,804.4,808.2,811.6,817.9,823.7,827.1,829.7,831.4,833.7,836.2,837,837.9,843.1,849,859.8,865.5,873.2,878.9,882.8,885.9,889,892.5,895.2,898.6,902.8,907.9,913.9,919.3,925.4,931.2,939.4,945.8,952.4,957.8,969.4,975.2,981.8,987.9,995.7,1003.3,1009.9,1016.9,1024.4,1031.2,1036.5,1042.8,1044.4,1043.7,1041,1039.3,1042,1046.3,1054.7,1064.6,1073.3,1079.7,1087.1,1095.1,1103.6,1113.2,1123.7,1133.1,1143.2,1151.7,1158.8,1164.7,1168,1170.4,1172.5,1175.9,1177.3,1182.3,1184.5,1185.6,1185.2
"22","14","    Household operation","A186RX1",258.7,267.7,271,268,263.6,273.4,272.6,269.9,269.9,276.7,279.1,283.9,285.4,286.2,295.6,297.1,300.5,305.5,303.8,303.4,302.6,310.9,319.3,318.6,327,328.1,323.6,330.4,331.2,336.4,341.1,352.8,350.2,358.5,363.5,356.1,362.8,371.1,379.9,373.7,376.3,388.6,392.5,403,397.6,389.5,390.3,386.6,388,395.1,392.4,397.3,397.5,397.4,398,402.3,405.5,407.1,408.8,412.8,412.9,413.3,417.5,417.2,406.6,413.6,416.5,417.3,419.3,419.8,421.5,424,425.9,421.3,412.4,420.6,423.9
"23","15","      Electricity and gas","A175RX1",111.3,118.5,120.5,119.3,117.3,125.5,122.6,119,116.7,120.6,120.3,124.1,125.1,123.2,129.5,129.4,129.9,132.6,127.7,124.9,123.6,129.8,135.2,132,138.6,136.5,129.8,134.1,130.9,132.8,132,139.2,133.8,140.2,141.1,131.5,135.5,138.5,143.2,135.4,133.9,142,143.8,153.6,148.5,138.8,138.9,137.3,139.8,145.8,144.1,149.8,148.6,146.7,145.9,148.8,149.8,148.6,147.2,150.9,151.6,151.6,154.5,153.5,144.2,148.8,150.1,149.8,151.5,150.6,151,151.2,154,149.6,141.2,147.5,151
"24","16","      Other household operation","A176RX1",147.9,149.6,151,149.2,146.8,148.3,150.4,151.3,153.6,156.6,159.3,160.2,160.8,163.5,166.5,168.2,171.2,173.4,176.6,179,179.4,181.6,184.7,187,188.9,192,194.2,196.8,200.6,203.9,209.4,214,216.7,218.7,222.8,224.5,227.3,232.6,236.9,238.2,242.4,246.8,248.9,249.2,248.8,251,251.6,249.4,248.3,249.2,248.3,247.3,248.7,250.7,252.1,253.3,255.5,258.6,261.8,262,261.3,261.7,262.7,263.5,263.8,265.5,267,268.3,268.3,270,271.3,273.9,272.5,273.2,274.6,275.2,274.3
"25","17","    Transportation","A177RX1",196.3,196.7,195.9,193.9,187.9,186.5,185.1,185.8,189.2,192.1,197.5,198,198.3,200.7,203.6,207.3,211.9,216.3,220.5,224.7,226.9,229.2,233.4,237.5,242.3,245.6,249,253.1,259.4,261.9,265.1,266.3,268.4,271.8,273.3,274.5,279.3,281.9,285.5,287,289.9,291.9,291.6,291.7,292.9,291.5,285.9,281.6,281.9,281,279.1,279,280.7,279.9,280.7,281.2,282.3,284.3,285,286.6,287,287.7,288.3,288.6,290.8,293.2,294,296.9,297.7,298.8,300.5,299.9,301.2,298.9,297.2,292.2,288.9
"26","18","    Medical care","A494RX1",780.8,793.9,805.2,810.6,813.1,818.6,827.4,839,851.5,861.7,868.9,872.4,875.7,875.5,878.1,879.5,882.6,885.5,888.3,892,900.1,904.2,908.5,912.8,913.6,920.9,923.5,932,932.6,939.1,947.3,952.2,966.4,968.3,972.4,975.5,978,983.7,992.5,1001.8,1010.7,1022,1032.1,1042.5,1053.5,1065.7,1082.7,1099.1,1113.5,1129.9,1144.4,1158.8,1170.5,1177.4,1184.2,1191,1199,1210.3,1223.3,1233.5,1241.2,1250.9,1263.4,1273.8,1283.7,1287.9,1289.8,1299.2,1316,1319.4,1331.4,1344.5,1360.8,1370.3,1378.9,1389.2,1394.9
"27","19","    Recreation","A490RX1",167.5,170.4,171.6,172.9,170.3,170.5,171.5,174.1,180.2,182.5,184.8,188.4,191.4,193.8,198,198.4,200.4,203.4,206.8,208.6,213,218.1,221,224.6,225.3,227.6,230.7,231,234.3,236,235.4,236.9,241.5,242.7,246.4,249.1,251.8,256,260.6,262.9,264.2,267.6,270.1,271.1,274.7,274.1,274.5,276.2,278.5,280.1,281.1,285.1,285.6,289.2,292.2,296.2,301.5,304.4,306.7,307.4,309.5,310.1,311.3,312.4,314.7,316,321.1,331,332.5,334.6,336.6,336.3,332.3,333.4,332.1,331.2,332.5
"28","20","    Other","A178RX1",617,622.9,626.8,620.8,625.8,632.9,632.1,634.4,644.8,647.9,656.4,663.6,669.7,675,684.2,694.7,699.1,693.8,695.8,696,698.9,705.3,704.3,709.4,724.4,726.2,738.8,733.2,748,755.7,772.3,782.6,796.8,815.3,834.4,841.2,855.5,870.9,882.2,901.9,934.1,934.9,953.2,961.7,954.6,964.2,957.8,964.6,962.7,965.5,970.5,967.6,966.5,970.4,980.2,984.1,1000.5,1007.9,1013.5,1024.8,1024,1021.9,1033.9,1040.3,1044.5,1051.9,1056.1,1071.1,1081.3,1088.4,1096,1093.9,1105,1104,1104.6,1108.4,1112.7
"29","21","Gross private domestic investment","A006RX1",920,920.1,898.4,841.8,807.3,803.5,823.5,854.7,835.8,890.7,900.2,929.1,950.3,957.8,957.8,1007.3,1050.6,1112,1092.4,1143.2,1154.6,1123.8,1113.1,1144.4,1160.2,1220,1280.8,1276.1,1302.9,1389.6,1417.5,1440.7,1515.8,1491.7,1525.8,1563,1606.6,1607.8,1647.4,1708.4,1678,1788.6,1742.6,1732.7,1670.3,1637.4,1592.6,1493.4,1541.7,1549,1570.9,1567,1561.8,1574.4,1639.7,1676.5,1685.3,1766.3,1800.5,1828.8,1869.1,1844.8,1862.8,1917.3,1946.3,1944.3,1917.8,1841.6,1795.9,1822.9,1838.7,1781.3,1754.7,1702,1703.7,1596,1349.2
"30","22","  Fixed investment","A007RX1",913.5,892.4,882.7,857.6,828.2,827,829.7,831.3,839.9,873,886.3,914,919.1,939.7,956.3,998.7,1011.6,1036,1046.4,1075.1,1099.6,1095.5,1110.1,1133.3,1161.8,1199.7,1227.4,1247.8,1272,1299.4,1349.6,1361.4,1402.4,1444.5,1465.1,1507.7,1531,1568.6,1598.6,1606.9,1651.1,1689.1,1686.4,1689.4,1678.2,1640.5,1621.9,1577,1551.5,1545.9,1543.2,1537.8,1536.3,1575.6,1626.7,1648.9,1647.9,1698.7,1736.7,1767.7,1790.5,1823.5,1847.2,1858,1895.2,1883.1,1860,1823.7,1807.8,1821.3,1817,1788.2,1762.4,1754.9,1731.1,1627,1445.9
"31","23","    Nonresidential","A008RX1",603.9,593.5,597.2,585.8,570.7,565.3,559.9,556.9,554.5,576.5,588.2,606,609.6,625.9,632.8,659.3,665.9,679.3,692,722.6,752.1,757.4,762.5,777.9,797.1,820,847.3,870.1,892.2,914.3,961.1,969,1001.6,1032.5,1042.4,1074.7,1094,1127.3,1154.4,1157.3,1196.7,1238.6,1245.2,1247.9,1234.4,1190.2,1169.3,1128.2,1090.3,1073.3,1068,1054.5,1047.5,1074.5,1098.8,1106.5,1099.1,1127.5,1160.7,1189.7,1200.4,1219,1237.1,1248.2,1295.2,1315.4,1332.7,1329.3,1340.4,1373.8,1402.9,1414.7,1423.1,1431.8,1425.7,1341.1,1193.4
"32","24","      Structures","B009RX1",279.9,278.5,277.5,265,259.2,252.2,235.8,231,228.2,228.2,230.3,233.1,226.9,226.6,227.7,231.9,222.4,235,234.7,237.1,243.1,247.9,249.8,247.7,252.1,257.6,260.7,273.8,276.2,273.7,284.2,286.3,286.7,298,295.5,297.6,292,294.1,291.8,294.8,299.9,312.5,319.7,320.6,313.8,310.6,315.1,284.9,270.3,256.4,245.8,242.5,238.2,246.5,246,243.1,242.9,246.5,248.7,248.6,253.1,252.3,246.2,247.4,256.5,268.3,277.4,279.1,286.6,298.9,313.2,319.7,326.4,340.5,348.4,339.9,295.5
"33","25","      Equipment and software","B010RX1",359.9,351.5,355.5,353.2,343.4,342.9,348.5,348.8,348.4,367.9,377,391,398.3,413.1,418.6,439.7,452.1,455.7,467.4,493.7,516.5,517.8,521.2,537,551.6,568.7,591.8,602.9,621.8,644.7,680.5,686.3,717.2,737.3,749.1,778.6,802.7,833.5,862.4,862.3,896.7,926,925.5,927.3,920.8,879.2,852.9,843.8,820.9,819,825.7,815.4,813.3,831.7,857.8,869.5,861.9,887.4,920,951.2,956.6,977.9,1006.5,1017.4,1056.6,1061.2,1066.4,1059.9,1060,1077.9,1087.5,1090.1,1088.6,1074.7,1054,970.5,875.7
"34","26","        Information processing equipment and software","A679RX1",101,100.6,99.4,102,100.9,103.9,107.4,111.1,113.6,119.9,126.4,128.6,132.1,134.8,141.8,144.4,149,152.7,157.1,164,171.6,180.2,184.1,194.8,205.1,214.1,224.3,232,246.6,260.7,280.6,291.5,309.9,322.7,332.2,350.7,369.5,395.8,412.8,415.8,442.9,465.7,473.8,488.1,485.7,461.4,447.3,441.7,435,437.1,444.2,433.3,442.1,446,470.4,492.4,494.2,499.3,507.5,521.7,529.5,540.3,552.7,564.3,586.2,590.9,603.9,605.3,629.9,647.3,660.9,677.6,689.6,702.9,695.5,651.8,619.5
"35","27","          Computers and peripheral equipment \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","          Software \2\","B985RX1",38.5,39.8,39.4,41.7,43,44.4,45.5,47.6,49.7,52,54,56.4,57.5,58.6,60,61.1,63,64.4,66,67.1,68.1,70.2,72.7,75.6,78.6,81.9,85.4,90.3,99.8,105.1,111.8,118.7,122.1,126.2,131.5,137.8,144.9,154.5,162.2,167.2,171.4,175.8,176.2,181.2,181.4,174.1,172.3,167.4,166.3,170.2,173.4,168.7,170.4,171.8,180.6,186.3,190.5,190.5,193.9,199.3,201.5,206.8,208.2,211.4,212.5,213.2,215.8,220.5,227.9,235.7,239.4,245.1,251,252.3,249.5,240.8,226.6
"37","29","          Other","A937RX1",80.4,80,80.2,79.7,77.6,79.5,80.8,80.4,81.4,82.7,86.8,86.7,87.2,88.7,93.1,94.8,96.5,98,100.1,102.9,106.6,107.6,105.8,108,113,116.2,119.6,120.1,120.9,124.1,131.1,133.1,139.5,142.2,143.1,148.1,149.8,157,162.8,162.4,179.9,187.7,192.3,200.2,193.7,182.9,177.8,172.2,162.9,162.6,161.7,157.1,160.2,162.4,168.7,177,179.2,183,181.2,181,187.9,188.4,195.3,194.9,207.6,205.1,209.4,204.8,212.5,216.2,219.6,223.5,223.6,230.6,233.6,216.6,206.4
"38","30","        Industrial equipment","A680RX1",113.6,108.6,108.9,105.5,103.8,102.2,102.2,100.4,100.1,102.2,104.8,109,110,110.6,112.1,118.8,119.7,120.6,123.9,127.6,133.2,135.3,136.2,135,138.2,140.8,139.5,141.2,140.5,143.2,143.9,144.2,151.1,149.4,145.9,146.2,145.6,147.4,149.2,149.3,156.3,159.7,161.9,159,159.3,147.3,140.6,135.4,135.8,132.7,134.7,134.9,139.1,142.7,138.9,132.8,129.1,131.5,136.9,138.7,142,140.9,146.3,152,149.9,157.2,153.8,153.2,150.3,160.3,159.1,153.1,153.4,152,148.6,142.8,121.6
"39","31","        Transportation equipment","A681RX1",80.6,77,84.8,81.7,81.3,77.9,80.2,75.9,71.7,83.6,78.4,87.2,86.1,98.5,91.5,104.3,109.3,105.2,108,123.2,130.5,117.7,115.4,118.6,117.1,120.8,132,131.8,132.2,135.2,142.3,133.8,134.7,140.3,146.8,159.8,161.4,165.7,174.6,169.1,166.1,167,159.5,150.7,145.3,144.5,137.6,144,130.4,126.1,124.1,123.5,108.3,116.6,116.8,113.5,112,125.5,137,147.9,142.1,148.5,157.2,150.3,165.3,157.9,159.7,155.2,149,139.4,137.4,131.9,127,108.6,93.6,69.3,49.2
"40","32","        Other equipment","A862RX1",98.2,96.1,95.9,93.8,84.2,82.7,80.9,80.4,79.9,79.6,82.9,83.9,87.6,88.5,89.3,92,94.1,95.7,97,99.3,102.3,101.5,101.1,102.1,103,104.3,107.1,108,110.6,112.4,119.4,120.8,125,127.8,126.5,123.8,127.5,125.1,126.1,128.2,131.3,133.6,130.4,129.6,130.9,126.3,127.6,122.8,120.3,123.8,123.6,124.1,125.1,127.1,133.8,135.5,132.7,135.3,140.8,144.5,145.6,150.5,151.7,153.7,158.2,158.7,155.2,153.8,145.3,147.5,149.2,151.5,146.5,145.3,151.5,141.9,128.2
"41","33","    Residential","A011RX1",321,308.6,291.1,275,258.6,264.7,275.7,281.7,296.1,307.4,308.2,318.6,320.1,323.8,335,351.9,358.8,370.9,367,362.3,354.2,342.9,353.6,361.6,371.1,386.8,385.7,381.8,383.1,387.9,389.7,393.6,401.8,412.9,424.1,434.3,438.1,441.8,444.5,449.9,454.5,450.4,441.2,441.6,444,450.1,452.1,447.8,459,469.5,471.8,479.3,484.1,496.3,521.8,535.2,540.5,561.7,567.5,570.9,582.1,595.8,601.7,602,596.5,570.1,536.7,508.4,486.4,471.7,445.3,411.6,383,369.6,353.7,331.6,293.3
"42","34","  Change in private inventories","A014RX1",14.1,33.9,22.8,-9.3,-14.4,-18.1,-0.1,30.7,1.8,22.9,19.6,21.5,36.7,24.3,7,14.5,46.3,83,51.7,73.4,60.8,34.6,7.9,16.2,3,24.5,57.5,29.9,34.7,94.2,72.3,83.4,116.9,50.4,64.2,58.9,79.5,41.7,50.8,103.5,26.9,99.3,56.2,43.5,-7.8,-2.5,-29.9,-86.7,-10.2,2.6,28,29.5,24.3,-2.7,10.5,25,35,64.9,60.1,57.2,74.6,16.7,11,53.5,45.9,56.9,53.3,13.1,-15,-2.8,16,-8.1,-10.2,-50.6,-29.6,-25.8,-87.1
