"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"11","3","  Durable goods","B003CX1",52,53.3,53.8,56.2,57.5,58.8,59.4,60.5,62.7,64.4,66.5,64.3,70.5,70.7,73.2,76.3,80,76.6,79.3,79.3,77.8,81.2,80.5,80.6,85.8,87.4,91.4,90.8,92.5,92.2,91.9,91.5,89.9,90.8,91,84.5,94,96.1,98.6,103,105.5,108.1,110.9,116.9,124.4,122.8,121.5,118.4,115.4,116.1,116.8,105.3,107.5,109.5,116.6,120,126.2,126.7,128.2,130.3,135.8,138.9,140.7,143.5,139.7,150.6,148.5,149.6,148,144.6,148.8,144.9,143,127,133.1,137.3,141.4,135.7,140.1,129.7,134.2,134.6,135.7,142.1
"12","4","  Nondurable goods","B004CX1",216.3,217.3,218.9,220.2,221.1,222.1,223.8,224,228.2,232.4,236.6,237.4,240.1,242.8,246.4,254.9,257.2,259.5,261.2,260.2,262.2,263.5,263.7,265.1,271,274.4,278.7,278.6,281.3,282.7,283.2,284.9,287.8,288.4,290.3,292.6,293.6,294.7,294.7,297.1,299,306.4,310.7,316,319.5,316.8,318.6,317.4,313.3,312.2,312.8,308.4,309.7,316.4,319,320,326.3,330.7,333.5,336.4,338.4,337.7,338.3,344.5,346.6,350.4,354.2,358.4,360.2,358.8,362.6,365.6,364.6,359.9,359.3,361.2,364.6,365.7,365.7,366.3,366.7,367.3,369.3,372.9
"13","5","  Services","B005CX1",213.2,216.6,218.5,221.4,222.4,224.9,229.4,232.6,236.1,239.5,242.9,246.3,248.7,252.1,255.6,259.9,262.3,265.4,267.7,271.4,274.7,278,282,284.2,287.8,292.7,296.5,300.3,303.4,306.7,309.7,314,316.9,318.6,322.6,325.1,327.9,331.2,334.4,339.7,345,349.3,353.9,360.6,364.2,368.2,370.4,372.2,372.4,376.2,378.5,382.4,385.9,390.1,392.4,397,401.2,403.8,408.6,415.1,418.4,421.1,427.4,432.1,438.5,444.4,446.6,448.8,453.4,457.6,459.3,462.5,463.6,460.9,466.7,473.7,470.8,474.8,474.9,475.7,477.8,480.3,484.7,493.3
"14","6","Gross private domestic investment","A006CX1",117.3,116.1,118.2,114.2,120.6,122.3,126.3,127.9,133.1,132.5,135.7,136.7,150.5,150.5,155.9,156.6,169.8,166.7,165.1,165.9,161.3,154.5,158.9,162.3,165.9,172.6,167,168.7,179.8,178.4,182.5,172.7,167.3,167.9,170.7,160.7,181.7,187.2,189.7,183.9,196.8,208.9,211.8,212.9,226.5,237,227.7,236.5,221.2,220.3,208,209.9,173.2,166.9,181,186.2,205.4,214.3,214.6,215.8,226.7,244.1,257.5,250.5,255.2,272.9,281.2,287.4,287.6,286.8,281.2,276,273.8,249.2,230.3,253.9,279.4,266.2,282.8,271.8,243.4,243.1,240.3,219.1
"15","7","  Fixed investment","A007CX1",106.8,110.1,111,110.4,111.7,116.9,119.9,123.7,128.5,128.1,130.2,131.1,137.1,140.9,144.7,148,153.5,151.5,151.5,146.9,143.4,147.1,148.6,153.2,156.9,156.1,158.4,162.2,167.4,168.1,170.9,166.6,166,162.3,165.2,165.3,169.1,176,179.4,184.4,192.6,196,198.1,207.3,216.1,218,217.3,215.1,210.1,207.1,203.4,191.9,180.1,177.6,182.1,185.5,193.2,196.5,198.5,208.7,216.2,228.3,231.3,235.5,237.5,254.7,262,267.5,269.6,267.5,272.4,269.8,266,242.9,245.2,255,256.8,258.5,258.5,257.6,249.7,241,234.3,233.9
"16","8","    Nonresidential","A008CX1",66.8,68.8,69.7,69.2,69.1,71.3,73.4,75.8,77.7,79.7,82.4,84.1,89.8,93.2,96.7,100.8,105.2,106.8,108.1,107.8,105.5,105.2,104.6,106.8,110.2,108.3,109.7,112.9,116.3,117.5,120.7,120,119.3,118.7,119.3,114.8,115.9,117.5,118,120.6,124.6,126.7,128.7,135.3,141.7,147.5,150,151.1,151,150.7,148.9,144.8,135.9,132.3,133.6,134.8,137.3,138.9,141.9,144.7,150.4,154.7,158,163.4,164.9,178.9,185.2,191.2,195.5,194.9,200.9,201.4,203.6,193.3,194.7,198.8,202,206.1,211.1,216.2,211,203.5,196.6,192.6
"17","9","      Structures","B009CX1",31.1,32.3,33.1,32.3,31.2,32.6,32.9,33.5,34.4,35.6,36.7,37,38.9,41.6,42.1,44,45.1,44.2,45.2,43.6,44.1,42.8,43.3,43.3,44.2,43.8,43.6,44.4,45.1,45.5,47.6,47.3,46.9,46.5,46.6,46.1,46,45.8,45.7,45.5,46.7,47,47.1,47.8,49.4,51,52.1,51.6,51.3,51.1,48.9,48.3,45.9,44.1,44.4,44.4,45.6,45.5,45.9,46.1,45.9,47.6,48.4,48.7,48.6,53.4,56.9,59.3,59,59.8,62.6,64.5,65.5,64,64.3,66.2,66.2,68.7,70.4,75.6,73.2,70.7,66.8,65.3
"18","10","      Equipment and software","B010CX1",36.7,37.6,37.8,38,38.7,39.6,41.4,43.1,44.1,45,46.6,47.9,51.6,52.5,55.4,57.6,60.9,63.1,63.5,64.5,62,62.7,61.8,63.8,66.2,64.7,66.3,68.6,71.2,72.1,73.2,72.9,72.5,72.3,72.7,68.9,70,71.8,72.4,75.1,77.9,79.7,81.6,87.5,92.4,96.6,97.9,99.6,99.8,99.7,100.3,96.7,90.2,88.4,89.4,90.7,91.9,93.7,96.4,99.1,105.1,107.7,110.3,115.5,117.2,126.4,129,132.6,137.5,135.8,138.9,137.2,138.3,129,130.2,132.2,135.8,137,140.3,139.1,136.5,131.4,129,126.6
"19","11","    Residential","A011CX1",40.8,42,42,41.9,43.5,46.6,47.4,48.9,51.9,49.3,48.5,47.6,47.7,48.1,48.3,47.3,48.3,44.5,43,38.5,37.3,41.6,43.7,46.2,46.5,47.7,48.5,49.1,50.9,50.4,49.9,46.3,46.4,43.3,45.6,50.4,53.1,58.5,61.3,63.7,68,69.3,69.5,71.9,74.4,70.6,67.6,64.4,59.6,57,55.2,47.9,44.9,45.9,49.1,51.3,56.5,58.1,57.2,64.4,66.4,74,73.8,72.8,73.1,76.7,77.7,77.5,75.6,74.2,73.3,70.6,65.2,53.1,54,59.3,58.2,56.3,51.9,46.6,43.9,42.5,42.4,45.5
"20","12","  Change in private inventories","A014CX1",11,6.9,8.1,4.7,9.5,6.3,7.3,5.3,5.7,5.5,6.6,6.5,14.5,10.5,11.8,9.5,16.7,15.9,14.4,19.5,18.1,8.3,11,10.4,9.7,17.3,9.2,7.2,13.1,11.1,12.2,6.3,1.5,5.9,5.7,-5.1,13.4,11.8,11,-1.1,3.9,13.4,13.8,5.3,8.2,18.6,8.4,19.9,9.5,13.1,4.6,13.8,-5.4,-10.2,-2.1,-0.2,11.1,16.5,15.6,5.3,10.5,12.9,23.9,13.5,15.5,15.3,16,18.3,14.5,15.8,6.1,3.4,4.5,3.9,-16.8,-4.2,19.2,5.3,20.6,10,-9.6,-1.8,2.6,-18.8
"21","13","Net exports of goods and services","A019CX1",4,6.9,4.2,2.9,4.6,8.3,5.1,7.3,9.9,9.9,8.6,8.9,5.2,8.8,5.7,7.1,5.1,6.2,1.7,2.8,3.1,3,1,-0.1,-1.7,-1.5,-1.6,-1.9,-3.2,-2.4,-3.1,-0.3,0.5,2,1.9,1.5,2.5,-2.4,-1.2,-2.2,-5.1,-4.4,-1.9,-2.1,-0.2,6,8.4,12,15.7,16.1,12.4,15.5,23.7,26.5,19.8,21.2,16,13.7,13.1,11.4,5.8,7.5,9.6,5.1,1.3,11.2,11.1,14.1,14.5,14.2,19.8,25.1,28.5,38.2,44.5,39.2,37.7,38.3,36.5,34.5,31.5,33.8,24,22.3
"22","14","  Exports","A020CX1",37.1,40.7,38.4,37.5,38.4,42.9,40.6,42.7,45.3,46,45.7,47,42,49.8,47,50.4,49.5,51.7,49.7,51.4,52.4,51.9,50.6,52.1,53.6,54.7,57.9,57.1,50.3,61.5,60.1,62.1,62.7,65.4,65.2,65.8,66.1,65.9,68.7,62.9,69.6,67.5,71.6,74.6,80.1,84,84.3,88.4,89.5,93.9,88.8,91.1,91.8,89.1,87.6,92.6,91.9,92.9,95.6,96.5,95,97.5,98.3,95.1,97.4,107.5,108.7,113,113.1,113.4,117.5,124.9,128.4,130.8,130.5,129.8,132.2,132.9,130.1,130.7,125,125.8,120.2,114.7
"23","15","    Goods","A253CX1",27,28.8,28.9,27.4,27.4,30.3,30.8,32.3,33.7,33.7,34.6,35.3,30.1,35.8,34.7,37.6,37.2,36.5,36.6,37.4,37.3,37.2,36.7,37.3,38.5,39.1,41.8,40.8,35.3,44.7,43.6,45,45.9,47,47.1,47.7,46.9,46.8,50.1,43.4,50.4,49.2,52.1,55.5,60.6,63.6,63.5,67.1,68.3,71.1,67.2,68.3,68,64.8,66.1,69.6,68.8,69.7,71.1,71.7,70.3,72.1,72.8,69.8,70.8,80.6,81.1,84.4,84.5,85.1,89,95.8,98.8,100.6,98.8,98.4,99.2,99.1,96.2,97.7,92,93,88.4,83.4
"24","16","    Services","A646CX1",10,11.9,9.4,10.1,11,12.6,9.6,10.2,11.4,12.2,10.9,11.6,11.8,14,12.2,12.7,12.2,15.2,13,13.9,15.1,14.7,13.9,14.8,15,15.6,16,16.4,15.1,16.8,16.5,17.1,16.7,18.4,18,18,19.3,19.2,18.5,19.6,19.2,18.4,19.5,19.1,19.5,20.3,20.7,21.1,20.9,22.6,21.5,22.9,24.1,24.9,21.4,22.9,23.2,23.1,24.7,25.1,25,25.8,25.8,25.8,27.2,27,27.8,28.8,28.9,28.4,28.3,28.6,29,29.7,31.6,31.1,33,34,34.3,33.1,33.5,33.1,32.3,31.8
"25","17","  Imports","A021CX1",33.1,33.8,34.2,34.6,33.8,34.6,35.5,35.4,35.3,36.1,37.1,38.1,36.7,41.1,41.2,43.3,44.4,45.5,48,48.6,49.3,48.9,49.6,52.2,55.3,56.1,59.5,59,53.4,64,63.1,62.4,62.2,63.5,63.3,64.3,63.5,68.3,69.8,65.1,74.6,72,73.5,76.8,80.3,78,75.9,76.4,73.8,77.8,76.4,75.6,68,62.6,67.8,71.4,75.9,79.2,82.4,85.1,89.2,90,88.7,90,96,96.3,97.6,99,98.7,99.2,97.7,99.8,99.9,92.6,86,90.6,94.4,94.6,93.5,96.2,93.5,91.9,96.2,92.4
"26","18","    Goods","A255CX1",22,22.6,23,23,22.7,23.5,24.1,24,23.8,24.7,25.6,26.4,25.2,29.2,29.5,30.9,31.7,32.2,34.3,34.7,34.8,33.8,34.1,37.2,40.2,41.2,44,43.3,37.7,47.8,46.8,45.6,45.7,46.1,45.9,47.2,47,51.5,53.3,48.6,57.1,54.4,56.8,59.4,62.5,60.9,60,60.4,57.5,60.9,59.8,58.8,51.9,47.5,52.4,55.4,59.3,62.3,65,67.4,71,71.6,70.7,71.7,76.7,77,77.9,78.9,78.8,79.3,77.9,79.9,80,73.6,67.5,71.3,74.3,74.4,73.7,76.1,73.2,71.2,75.3,71.3
"27","19","    Services","B656CX1",11.1,11.1,11.1,11.6,11.1,11.1,11.4,11.3,11.5,11.4,11.5,11.6,11.5,11.8,11.8,12.3,12.6,13.2,13.7,13.8,14.5,15.1,15.5,14.9,15,14.9,15.4,15.7,15.6,16.2,16.3,16.8,16.5,17.4,17.4,17,16.5,16.8,16.5,16.5,17.5,17.5,16.7,17.4,17.8,17.1,15.9,16,16.4,16.9,16.5,17,16.5,15.6,15.6,16.2,16.6,16.8,17.2,17.6,17.8,18.1,17.7,18,18.9,18.9,19.3,19.6,19.5,19.5,19.4,19.4,19.3,18.8,18.6,19.3,20.2,20.3,19.9,20.1,20.5,21.3,21.2,21.8
"28","20","Government consumption expenditures and gross investment","A822CX1",210.3,211.5,216.2,216.6,215.3,215,224.2,222.2,223,224.4,224.6,223.9,223.4,226.2,234.1,239.1,243.4,247.7,254.4,258.5,269.5,268,270.8,272.7,277.4,278.7,279.3,279.5,279.8,278.6,279,274.8,273.4,269.8,271,271,266.6,265.8,265.6,263.6,264.6,266.2,260.7,262.3,264.9,263.3,260,261.9,267.4,269.1,269.5,270.5,273.8,271.7,276.5,278.8,279.5,276.4,275,274.8,277.3,280.1,280.7,279.8,280.2,287.8,290.1,292.7,290.1,293.1,293.6,295.5,300.2,301.2,297,296.7,300.7,301.3,300.6,303.4,303.1,304.9,307,312.3
"29","21","  Federal","A823CX1",122.4,122.9,126.6,125.9,122.9,121.7,128.5,125.1,124.4,123.6,122.6,120.9,119.4,119.6,124.4,127.9,130.8,134.3,139.7,140.8,150.5,148.3,150.7,150.4,153,151.7,150.5,149.5,148.7,146.3,146.4,142.5,139.7,135.3,133.3,132.6,127.4,125.6,125,121.1,121.6,123.6,116.9,116.5,118.4,116.6,111.7,111.8,115.3,115.1,115.7,116.5,115.2,114.3,117.1,117.4,116.3,116.1,115.8,116.1,117,118.9,119.6,118.5,118.9,121.7,122.1,123.2,123.4,124.9,124.7,124.7,128.7,131.9,130.1,130.6,133.3,137.2,137.1,138.6,138.8,140,142.1,146.4
"30","22","    National defense","A824CX1",102.5,101.4,103,101.8,99.4,98.4,101.8,99.3,97.8,95.9,95.6,93.6,91.6,91.2,94.3,97.9,101.5,103.6,110.4,113.2,120,120,123,121.7,124.7,124.6,122.2,121,119.8,117.1,116.9,114.4,111.4,106.1,104.5,103.7,98.8,95,93.1,90.5,89.2,90.5,84.1,84,85.6,84.1,79.1,79.7,81.5,82.8,80.8,80.8,80.2,78.9,82,81.8,80.6,80.6,80.4,80.1,81,82.2,82.3,80,80.5,82.3,82.5,82.9,83.3,85,84.7,85.2,87.7,87.9,88.1,89.3,91,93.7,94.5,96.2,97.3,100,101.8,104.7
"31","23","    Nondefense","A825CX1",20.5,22.1,24.2,24.7,24,23.9,27.1,26.2,27,28,27.4,27.6,28.1,28.7,30.4,30.3,29.7,31,29.8,28.2,31.1,28.9,28.3,29.3,29,27.9,29,29.1,29.5,29.8,30.1,28.6,28.8,29.5,29.2,29.2,28.9,30.7,31.9,30.7,32.5,33,32.8,32.5,32.8,32.5,32.6,32.1,33.8,32.3,34.9,35.8,35.1,35.4,35.2,35.7,35.8,35.6,35.4,36,36.1,36.8,37.4,38.6,38.5,39.5,39.7,40.4,40.2,40,40.1,39.5,41,44.2,42.2,41.4,42.4,43.6,42.6,42.3,41.4,39.8,40.2,41.5
"32","24","  State and local","A829CX1",88.7,89.3,90.4,91.4,93.2,94,96.5,97.9,99.3,101.6,102.7,103.8,104.8,107.4,110.4,112,113.4,114.3,115.6,118.6,120.1,120.7,121.2,123.3,125.5,127.9,129.7,130.9,131.9,133,133.3,133,134.3,135,138,138.7,139.4,140.3,140.7,142.5,142.9,142.6,143.8,145.8,146.5,146.7,148.3,150.1,152.1,154,153.8,153.9,158.5,157.3,159.3,161.3,163,160.2,159.1,158.6,160.2,161.1,160.9,161.2,161.2,166,167.8,169.4,166.6,168.1,168.8,170.7,171.5,169.2,166.9,166.1,167.4,164.2,163.7,165,164.5,165,165,166.1
"33","25","Residual","A960CX1",-8.5,-8.8,-9.5,-9,-7.7,-7.6,-8.1,-8,-7,-6.6,-5.8,-5.8,-4.1,-4.1,-3.9,-3.8,-2.9,-3.6,-4.2,-4,-5.5,-5.7,-6.1,-6.6,-5.5,-5.5,-4.4,-4.5,-4.5,-3.6,-3.4,-2.8,-2.6,-1.9,-1.5,-1.4,-2.2,-1.4,-1.1,0.3,0.3,-0.6,-0.1,0.5,1.6,0,2,2,3.8,1.2,-0.1,5.1,2.1,5.3,4.7,3.7,2.2,1.5,-0.7,-0.2,-4.6,-1,-0.9,-3.7,-4.5,-2,-1,-2.1,-0.6,-0.1,0.2,0.9,1.6,6.3,8.4,7.8,6.4,5.2,6.2,6.6,4,6.7,2.5,4.3
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Chained (1972) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","quantity index and the 1972 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
