"","Table 7#2#3B# Real Motor Vehicle Output, Quantity Indexes       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"11","3","        Truck output","A716RA3",13.818,12.912,12.128,12.548,14.072,15.898,15.166,16.277,16.676,16.208,17.772,17.439,15.218,14.734,14.861,11.577,15.688,16.099,17.104,17.946,20.651,21.906,19.425,23.47,26.287,25.962,26.758,26.938,27.229,25.622,26.617,26.931,20.783,20.076,21.152,21.642,24.234,27.209,29.351,27.531,32.2,32.04,34.799,34.562,32.231,35.81,36.973,40.55,41.269,35.561,32.444,28.954,24.791,20.42,20.666,23.125,21.974,23.288,21.787,22.2,23.152,23.744,20.941,19.413,21.75,25.662,29.008,34.359,35.874,36.459,36.935,40.332,39.065,42.578,45.141,44.831,40.404,42.599,41.891,40.321,41.325,43.362,44.133,44.651,44.767,44.299,45.106,48.946,53.346,49.313,51.187,47.718,44.664,45.441,43.8,38.059,33.343,37.651,40.126,39.18,41.617,43.522,45.541,51.39,51.427,52.044,52.993,58.612,61.742,59.708,62.952,64.351,65.006,65.522,67.346,70.166,67.362,70.564,72.242,73.771,77.088,76.88,83.444,90.01,88.058,90.139,84.356,100.572,101.389,100.415,106.561,105.556,106.469,103.203,96.605,93.723,88.906,97.349,95.989,102.165,103.906,110.367,117.9,116.625,114.451,120.166,123.234,125.182,128.259,122.301,130.699,129.459,128.309,129.979,137.182,124.609,127.804,125.338,136.403,118.078
"12","4","Final sales of domestic product","AB60RA3",29.747,32.022,31.227,29.811,34.311,34.403,36.068,36.028,37.464,36.16,36.138,35.547,32.207,32.922,32.546,24.561,34.281,35.378,36.92,39.925,40.103,41.427,41.963,45.922,50.758,49.226,47.627,44.239,40.923,40.954,42.629,36.103,36.447,36.341,41.287,42.711,45.779,46.44,48.231,48.555,54.604,54.176,53.198,53.372,51.619,59.376,57.218,58.145,57.811,51.456,53.912,50.074,47.724,36.173,40.513,41.657,46.562,41.674,45.243,37.412,41.441,39.928,39.382,44.14,42.519,48.95,52.982,57.376,58.728,60.786,59.295,61.652,65.709,65.88,72.932,63.251,64.401,67.149,75.25,67.343,58.692,64.631,70.761,63.863,72.973,71.795,68.941,71.077,71.173,71.387,75.717,66.719,73.42,67.061,67.018,62.065,59.969,59.115,61.402,59.45,62.763,65.06,66.305,69.767,65.622,72.466,71.182,76.451,81.089,77.18,78.199,80.277,76.859,75.883,80.221,82.635,81.893,81.656,82.784,85.426,86.712,83.472,89.245,92.5,87.883,95.411,95.089,105.155,96.873,103.384,104.853,101.052,108.007,98.342,97.43,96.221,99.425,97.953,96.623,113.779,103.338,103.556,110.816,104.538,103.854,107.264,113.54,107.919,109.118,109.082,116.362,119.863,118.96,123.852,130.742,113.029,118.267,117.064,125.261,120.891
"13","5","  Personal consumption expenditures","AB61RA3",25.653,28.224,27.242,26.342,30.169,30.529,32.463,31.868,32.567,31.697,32.109,31.379,28.799,29.633,29.34,22.683,31.23,32.201,33.757,36.181,36.235,37.275,37.87,41.184,44.664,42.858,40.888,37.515,34.423,34.171,35.544,28.943,30.431,30.255,34.988,36.778,40.939,41.002,41.263,41.626,45.668,45.621,46.154,46.321,44.041,50.631,48.489,48.017,46.984,42.156,44.573,42.619,42.699,32.365,36.784,37.244,41.51,36.793,39.928,33.581,38.535,37.688,38.07,41.86,40.533,47.198,48.941,52.515,54.932,56.076,55.235,57.633,61.712,62.387,70.715,61.982,63.309,67.158,77.594,70.216,60.648,66.004,71.81,66.662,72.333,70.46,67.283,69.474,69.6,69.805,73.094,66.258,72.714,68.553,67.315,63.236,58.11,57.226,60.678,59.343,62.943,63.723,64.566,65.747,64.724,67.807,67.133,70.235,72.243,70.78,69.971,72.139,68.553,68.271,70.028,71.229,71.844,72.994,72.72,73.226,76.881,73.864,79.191,81.557,79.01,85.825,87.598,96.937,91.562,98.887,99.326,95.455,104.73,96.917,98.967,99.385,102.762,101.144,102.668,119.698,111.351,111.333,118.144,112.215,111.709,116.811,120.017,117.442,117.889,116.847,118.326,119.098,116.118,120.518,124.076,109.174,114.425,114.718,118.101,116.721
"14","6","    New motor vehicles","AB67RA3",27.223,30.384,28.937,27.688,33.193,33.474,35.298,34.993,35.53,34.665,35.004,34.071,31.188,31.849,31.727,23.476,34.741,35.455,37.29,40.394,40.459,42.013,42.468,46.649,51.103,48.974,46.298,42.423,38.136,37.631,39.653,30.978,33.759,32.735,38.902,41.118,46.091,45.929,46.457,47.617,52.488,53.274,52.922,53.035,50.424,59.249,56.065,55.349,54.111,47.965,50.482,48.325,47.791,35.198,40.666,41.172,47.082,40.37,45.001,36.926,43.548,42.851,42.581,48.183,46.836,56.028,57.608,62.274,64.819,65.473,62.667,67.368,71.52,72.07,83.188,71.009,72.884,78.307,92.024,81.493,69.891,76.611,82.729,73.791,82.66,80.422,77.116,79.889,79.847,78.901,84.585,72.133,81.506,75.707,73.597,67.735,59.087,59.231,61.699,60.888,64.692,64.85,66.175,67.8,65.62,70.237,69.896,74.997,74.223,73.727,72.118,74.767,69.045,69.626,69.24,72.636,72.149,71.442,69.82,72.07,72.718,70.268,77.24,80.509,77.431,86.842,81.603,90.083,89.682,94.48,95.879,97.065,103.664,99.298,100.92,96.118,103.476,103.422,102.145,131.702,119.83,113.529,123.98,119.115,117.468,126.489,129.559,125.741,127.972,124.492,126.376,126.374,120.637,130.207,134.944,111.062,116.382,116.974,120.591,120.223
"15","7","      Autos","A136RA3",50.77,56.919,53.975,51.655,61.819,62.168,65.541,64.471,65.366,63.771,64.448,62.554,57.467,58.887,58.445,42.908,64.194,64.713,67.321,72.237,71.712,74.087,75.385,82.123,88.748,85.358,79.753,71.555,64.53,63.056,66.406,51.368,57.656,54.614,64.668,67.584,75.343,74.133,73.506,76.545,82.628,84.168,83.332,80.928,76.561,90.191,85.066,84.444,84.25,75.95,80.124,76.646,80.241,58.057,68.347,70.259,81.494,67.441,75.529,61.291,70.344,69.997,69.628,79.357,75.671,88.806,89.089,95.926,100.009,100.331,95.221,102.056,104.187,105.501,121.706,99.939,107.557,113.877,133.907,119.285,99.198,105.815,117.433,100.885,115.819,111.006,104.726,108.879,106.132,104.632,112.607,91.914,106.958,100.177,98.475,90.069,76.534,76.31,77.839,77.343,82.712,79.975,80.097,82.28,78.326,83.434,83.316,88.76,86.333,85.3,83.877,85.338,77.348,78.767,78.702,82.5,79.689,78.431,75.524,77.446,78.306,72.606,79.983,82.031,79.688,86.377,81.586,88.376,87.633,94.27,96.003,98.554,104.283,101.842,99.488,94.388,98.325,95.82,91.971,114.464,100.243,98.128,103.884,97.017,98.566,96.79,98.195,95.065,99.175,97.159,95.523,100.869,99.289,105.911,108.266,99.558,101.054,106.108,105.401,103.443
"16","8","      Light trucks (including utility vehicles)","B704RA3",2.951,3.022,3.128,2.982,3.69,3.907,4.135,4.639,4.811,4.696,4.685,4.75,4.127,3.998,4.213,3.48,4.405,5.351,6.42,7.691,8.391,9.119,8.689,10.275,12.556,11.705,12.074,12.691,11.188,11.701,12.37,10.208,9.331,10.433,12.649,14.188,16.346,17.299,19.08,18.27,22.002,22.009,22.164,24.97,24.149,28.129,26.912,26.073,23.68,19.636,20.462,19.646,14.691,11.929,12.427,11.451,11.874,12.772,13.862,12.103,16.333,15.241,15.07,16.447,17.547,22.811,25.816,28.308,29.286,30.301,29.854,32.415,38.756,38.521,44.537,42.109,38.067,42.637,50.018,43.561,40.603,47.568,48.025,46.914,49.571,50.02,49.786,51.166,53.979,53.596,56.997,52.865,56.517,51.643,49.095,45.758,41.988,42.513,45.954,44.823,47.086,50.153,52.695,53.769,53.343,57.496,56.93,61.713,62.571,62.601,60.805,64.622,61.099,60.861,60.164,63.176,64.938,64.765,64.385,66.954,67.399,68.049,74.638,79.067,75.292,87.286,81.619,91.693,91.605,94.675,95.759,95.671,103.085,96.919,102.26,97.735,108.298,110.539,111.675,147.856,138.211,127.961,142.848,139.879,135.228,154.389,159.021,154.555,155.022,150.168,155.364,150.33,140.7,153.045,160.031,121.728,130.703,126.993,134.786,135.975
"17","9","    Net purchases of used autos and used light trucks","W240RA3",25.363,25.987,26.745,27.084,24.805,25.569,28.412,26.474,28.01,26.926,27.728,27.654,25.7,27.449,26.395,24.769,24.19,26.419,27.236,27.552,27.552,26.861,28.079,28.865,29.534,28.567,28.713,26.528,27.075,27.653,27.019,26.218,23.777,26.29,27.044,27.719,29.887,30.653,30.151,28.283,30.254,27.855,30.929,31.275,29.791,30.47,31.156,31.362,30.86,29.397,31.772,30.182,32.178,27.72,29.332,29.725,29.585,30.226,29.399,27.262,28.047,26.715,28.842,28.133,26.806,27.558,29.762,30.903,33.106,35.391,38.896,36.229,40.13,41.085,43.132,42.243,42.362,42.564,45.419,45.443,40.445,42.794,47.918,50.891,49.668,48.619,45.737,46.668,47.155,49.755,47.991,53.224,53.29,52.781,53.506,53.495,56.525,53.201,58.985,56.401,59.58,61.861,61.548,61.673,63.277,62.859,61.433,60.219,68.272,64.758,65.667,66.884,67.556,65.606,71.604,68.47,71.247,76.017,78.386,75.5,85.017,80.902,82.992,83.581,82.059,83.681,99.416,110.42,95.17,107.463,106.005,92.356,106.811,92.341,95.206,105.643,101.386,96.786,103.567,96.971,95.392,106.965,107.189,99.33,100.88,98.55,102.005,101.843,98.762,102.503,103.208,105.434,107.616,102.375,103.754,105.366,110.474,110.219,113.163,109.935
"18","10","      Used autos","B137RA3",47.618,48.607,49.997,50.915,46.305,48.004,53.712,49.855,52.805,50.677,52.125,51.799,48.1,51.4,49.199,46.522,45.094,49.227,50.657,51.077,50.995,49.878,52.256,53.456,54.298,52.451,52.747,48.524,49.554,50.747,49.628,48.173,43.507,48.403,49.874,51.219,55.039,56.146,54.851,51.009,54.615,49.88,55.637,56.282,53.414,54.172,55.499,55.556,54.726,52.512,55.885,51.512,55.983,47.674,49.921,51.354,51.193,52.109,50.496,47.572,47.466,45.667,50.288,48.869,46.95,46.425,49.547,50.916,54.859,59.285,66.513,60.782,66.775,68.711,70.469,68.825,68.522,65.522,66.414,68.435,60.657,62.936,72.41,78.008,73.909,71.292,65.504,66.334,66.562,70.94,64.529,74.341,70.043,69.378,70.267,69.968,76.242,69.047,77.137,73.145,77.969,80.243,78.521,78.62,82.324,80.862,79.549,76.248,91.531,85.302,87.661,88.189,88.503,83.666,92.431,83.661,85.657,92.77,95.323,87.675,100.822,91.928,91.678,94.008,90.798,90.041,108.024,115.665,97.821,109.663,108.251,91.248,108.421,90.278,92.231,109.071,99.658,97.052,100.281,90.156,91.495,100.586,99.324,91.577,95.728,90.541,92.747,92.219,88.479,93.317,92.82,94.987,96.989,93.617,93.767,92.857,96.765,96.455,97.617,96.636
"19","11","      Used light trucks (including utility vehicles)","W241RA3",1.388,1.549,1.617,1.429,1.549,1.398,1.279,1.335,1.369,1.379,1.466,1.6,1.517,1.599,1.708,1.34,1.563,1.724,1.851,2.007,2.074,1.89,1.879,2.154,2.548,2.525,2.512,2.509,2.535,2.469,2.372,2.287,2.252,2.199,2.18,2.13,2.474,2.839,3.189,3.479,3.655,3.819,3.963,3.986,4.006,4.575,4.572,4.927,4.791,4.185,5.382,6.676,6.059,5.768,6.615,5.966,5.854,6.164,6.173,5.015,6.55,5.812,5.357,5.385,4.752,6.642,7.733,8.528,8.839,8.844,8.443,8.958,10.434,10.366,12.449,12.384,12.882,16.116,20.652,18.694,16.978,19.354,19.556,19.569,21.543,22.22,22.58,23.59,24.353,24.899,28.451,28.386,33.305,32.978,33.497,33.794,33.201,34.203,37.279,36.318,37.586,39.834,41.18,41.353,40.466,41.289,39.739,40.972,40.485,40.172,39.339,41.374,42.47,43.981,46.677,50.215,53.906,55.896,58.047,60.908,65.976,67.691,72.548,71.07,71.572,76.04,89.077,104.12,91.986,104.818,103.301,93.694,104.854,94.811,98.764,101.571,103.438,96.466,107.501,105.16,100.06,114.643,116.69,108.708,107.06,108.238,113.223,113.517,111.257,113.629,115.842,118.134,120.528,112.969,115.875,120.631,127.222,127.035,132.18,126.172
"20","12","  Private fixed investment","AB62RA3",24.667,25.173,25.608,24.548,29.047,29.655,31.271,32.798,33.821,34.296,34.024,33.34,29.775,29.469,28.855,22.459,30.403,31.792,34.569,37.27,37.707,38.771,37.537,42.002,46.803,46.093,45.197,42.845,42.731,42.438,42.592,37.309,31.895,31.319,35.408,36.255,38.445,39.936,43.017,42.503,50.238,51.412,49.342,51.227,50.975,57.539,55.425,57.91,57.336,53.462,53.693,47.202,44.345,36.601,39.376,39.593,42.375,41.47,43.762,39.438,41.628,40.284,39.214,39.641,42.364,45.675,51.261,58.676,59.806,62.723,61.911,62.602,63.678,65.489,67.486,63.634,61.851,61.764,62.495,56.168,54.885,59.069,58.938,52.95,59.399,59.281,57.605,60.484,55.362,56.8,53.86,47.915,50.84,49.712,51.596,48.592,47.106,47.922,49.405,48.137,47.349,49.363,49.644,54.036,54.341,62.643,61.468,68.56,75.316,74.513,78.714,85.785,83.75,80.569,82.524,84.174,82.655,84.986,89.358,91.503,93.413,91.329,92.896,94.453,90.795,96.048,92.316,104.428,101.946,103.872,110.282,109.074,109.937,102.425,97.324,90.314,91.55,88.835,80.709,82.872,77.49,80.262,84.726,81.362,72.844,76.4,79.232,75.78,78.654,83.056,95.091,102.399,102.844,106.117,114.416,110.868,114.6,109.501,114.308,111.722
"21","13","    New motor vehicles","AB68RA3",19.479,20.436,20.598,19.565,22.679,23.136,24.383,25.454,26.114,26.608,26.612,26.304,23.66,23.973,23.235,17.502,24.208,24.543,26.456,28.217,28.173,29.238,28.633,32.178,35.421,34.931,34.251,32.106,32.51,32.649,33.319,29.188,25.489,25.473,28.882,29.299,30.862,31.778,33.48,33.02,38.217,38.988,37.596,39.157,38.884,43.817,42.208,44.049,44.1,41.112,41.993,37.345,35.983,29.721,32.165,32.288,34.395,33.121,35.031,31.017,32.659,31.911,31.439,31.754,33.04,35.144,38.868,44.192,46.279,48.922,49.671,49.386,51.41,52.824,55.893,50.826,49.593,50.484,52.15,46.871,45.732,49.52,51.58,49.142,51.92,51.781,51.561,52.946,48.624,51.812,49.774,44.888,47.7,47.03,49.641,48.072,46.652,47.832,50.6,48.94,48.827,52.135,51.917,55.361,54.441,61.639,58.633,63.969,69.463,68.486,70.803,75.746,73.789,71.182,74.231,75.305,76.228,79.759,83.477,83.212,85.249,84.004,87.138,89.948,88.86,95.848,88.884,100.56,100.587,100.971,106.512,106.142,108.25,101.219,98.894,91.638,94.857,91.446,86.828,85.751,81.474,88.676,92.376,89.328,80.835,80.753,86.842,87.044,86.331,89.883,98.858,102.465,101.008,103.897,110.98,109.71,116.892,108.923,112.018,111.633
