"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"11","3","  Foods, feeds, and beverages","B638RG3",40.072,40.075,39.58,38.746,39.178,39.508,38.241,37.895,39.02,38.933,38.771,37.867,38.844,39.368,40.384,41.557,42.68,43.094,43.273,42.044,42.549,43.504,44.281,47.724,55.491,63.274,76.464,83.29,92.74,92.339,92.362,103.673,102.158,92.984,89.152,87.498,85.019,83.85,85.009,83.901,87.438,91.448,79.683,77.711,84.411,89.254,91.085,89.636,94.65,96.765,103.054,102.319,102,98.732,104.261,113.658,117.035,114.034,106.397,101.538,101.876,99.469,94.512,91.463,95.104,97.988,102.241,108.533,108.152,109.03,102.711,96.532,94.465,93.589,88.93,90.18,87.978,86.908,81.923,83.962,81.652,85.634,82.792,91.397,90.805,101.867,114.557,108.74,111.66,110.318,105.107,102.123,101.639,103.439,99.957,96.546,99.415,100.935,98.91,101.871,101.552,101.42,98.147,97.808,98.89,99.084,102.246,103.781,106.81,105.39,101.896,103.335,105.008,108.857,116.579,122.326,125.023,133.723,128.966,118.539,118.859,119.299,116.542,113.945,109.15,107.399,105.653,104.167,103.246,102.268,101.082,100.189,100.298,101.591,97.947,100.163,100.435,99.494,101.838,99.574,99.181,100.084,105.382,106.739,107.407,110.206,111.298,119.577,124.537,131.411,119.669,116.428,118.607,122.313,122.908,121.758,122.087,123.1,127.294,131.826
"12","4","  Industrial supplies and materials","B639RG3",26.288,26.117,25.861,25.717,25.833,25.37,24.882,24.893,25.171,25.182,25.599,26.139,26.195,26.976,27.054,27.221,27.24,27.326,27.656,26.999,27.636,27.966,28.274,28.796,29.961,31.018,33.178,35.934,40.672,45.299,50.833,54.382,56.115,53.837,52.883,51.886,53.096,53.797,53.294,54.269,55.132,55.764,56.349,56.046,56.345,56.754,58.149,62.401,65.85,70.082,71.259,75.867,80.186,79.507,78.81,79.504,82.258,82.513,82.695,82.305,81.85,80.983,78.993,77.947,77.349,77.189,77.355,78.784,79.615,81.324,80.274,79.17,77.421,76.995,75.913,75.175,73.781,72.232,71.667,72.994,76.442,80.312,82.625,84.562,87.094,90.77,90.567,90.414,91.898,92.322,90.84,90.499,90.938,90.289,92.009,95.81,93.425,89.992,88.387,88.014,86.273,87.147,88.398,87.95,87.912,88.63,87.85,87.219,88.678,91.068,95.165,99.923,105.638,108.709,106.575,103.65,102.396,101.209,100.624,100.773,101.058,100.955,101.095,100.209,97.904,96.522,94.381,92.852,92.066,92.549,94.746,96.689,98.64,100.05,100.663,100.647,99.891,98.598,96.144,93.316,92.491,95.101,97.035,97.561,101.07,101.975,101.792,103.809,108.666,111.839,115.405,119.708,123.298,125.547,127.123,130.596,132.748,138.162,141.774,139.666
"13","5","    Durable goods","B686RG3",24.916,24.743,24.486,24.391,24.45,24.037,23.553,23.567,23.85,23.863,24.276,24.762,24.811,25.532,25.605,25.767,25.781,25.867,26.198,25.551,26.198,26.532,26.791,27.625,28.416,29.409,31.441,34.008,38.412,42.716,47.927,51.299,53.074,50.96,50.095,49.171,50.294,50.936,50.432,51.402,52.212,52.785,53.366,53.057,53.349,53.696,55.031,59.06,62.344,66.364,67.486,71.873,75.963,75.337,74.646,75.286,77.914,78.16,78.336,77.945,77.486,76.678,74.804,73.821,73.286,73.128,73.291,74.594,75.382,76.988,76.037,75.049,73.494,72.85,72.341,72.612,73.876,73.485,74.14,74.662,75.942,78.203,83.2,85.445,87.959,90.949,91.572,92.142,92.885,93.62,93.337,92.248,91.942,92.008,93.38,92.959,92.998,91.698,91.444,90.794,90.892,92.352,94.624,95.042,97.307,100.211,99.568,98.896,100.619,101.469,102.751,105.765,109.698,110.823,110.191,109.029,108.261,106.893,104.801,104.629,105.641,105.725,105.753,103.687,102.41,101.691,100.248,99.095,98.206,97.804,98.076,98.905,99.709,100.236,100.288,99.767,99.029,98.469,98.298,97.044,97.133,98.18,99.169,99.265,101.005,102.181,103.073,104.918,110.689,114.385,118.713,121.605,125.617,126.739,125.841,129.08,134.752,142.545,146.149,146.731
"14","6","    Nondurable goods","B687RG3",26.735,26.567,26.316,26.145,26.295,25.806,25.323,25.333,25.603,25.612,26.023,26.591,26.651,27.459,27.54,27.705,27.727,27.813,28.139,27.483,28.109,28.432,28.764,29.105,30.469,31.549,33.754,36.584,41.457,46.212,51.863,55.471,57.161,54.817,53.824,52.799,54.043,54.768,54.271,55.24,56.122,56.777,57.36,57.061,57.362,57.801,59.212,63.539,67.04,71.341,72.535,77.213,81.61,80.907,80.217,80.933,83.725,83.981,84.165,83.777,83.327,82.439,80.409,79.341,78.718,78.559,78.725,80.202,81.047,82.792,81.704,80.556,78.734,78.403,77.074,75.92,73.422,71.383,70.328,71.977,76.357,80.947,82.024,83.811,86.33,90.327,89.695,89.168,91.039,91.296,89.206,89.253,90.095,89.055,90.949,96.959,93.318,88.778,86.449,86.219,83.571,84.157,84.912,84.043,82.88,82.547,81.708,81.103,82.425,85.529,90.949,96.547,103.155,107.23,104.313,100.489,98.984,97.884,98.105,98.419,98.313,98.113,98.318,98.067,95.224,93.479,90.964,89.228,88.478,89.457,92.75,95.333,97.986,99.948,100.897,101.169,100.351,98.616,94.871,91.197,89.947,93.366,95.802,96.558,100.948,101.711,100.972,103.071,107.46,110.366,113.549,118.547,121.925,124.733,127.612,131.214,131.308,135.386,138.993,135.398
"15","7","  Capital goods, except automotive","B640RG3",68.772,68.174,68.413,70.106,70.342,77.043,75.111,76.469,78.152,77.35,78.01,82.271,83.189,84.786,82.63,82.31,85.59,84.473,80.475,83.815,84.892,84.174,83.134,83.86,83.556,86.002,85.631,88.968,93.131,93.648,98.931,101.222,107.035,112.541,114.589,117.951,118.986,121.808,122.154,126.316,124.078,124.426,127.449,129.673,129.062,132.227,130.641,137.186,135.343,140.765,142.442,139.712,142.539,148.865,154.609,160.323,163.524,165.183,167.661,170.089,170.973,171.745,171.552,170.682,169.016,167.492,165.047,163.878,164.123,162.601,160.551,158.248,154.897,152.617,149.949,147.617,145.771,144.595,144.465,144.192,141.471,140.389,139.32,140.112,141.838,141.873,141.706,141.739,142.05,141.223,140.47,138.486,135.924,135.617,135.959,135.473,136.342,136.255,134.303,133.439,132.888,131.276,129.661,128.514,127.904,127.448,126.563,125.905,125.312,124.693,123.656,121.889,120.776,119.323,117.699,116.14,114.258,111.793,109.681,107.252,106.265,105.508,104.931,104.188,103.405,102.716,101.691,101.351,101.124,100.809,100.205,100.346,99.908,99.817,100.161,100.114,100.378,100.31,99.687,99.367,99.265,98.907,98.658,98.309,98.128,98.032,97.447,97.151,97.372,97.582,97.67,97.879,97.97,97.964,97.792,97.423,97.8,98.357,98.838,99.244
"16","8","    Civilian aircraft, engines, and parts","B688RG3",18.948,19.071,19.19,19.314,19.5,19.683,19.804,19.988,20.172,20.359,20.602,20.967,21.143,21.513,21.763,22.078,22.336,22.593,22.656,22.784,22.841,22.776,22.968,23.346,23.54,23.734,24.115,24.558,25.503,26.565,27.3,27.719,27.852,27.956,28.447,29.207,30.456,31.609,32.565,33.453,33.972,34.537,35.237,35.961,36.684,37.422,38.37,39.292,40.251,41.242,42.455,43.762,45.135,46.598,47.907,49.061,49.841,50.8,51.876,53.299,54.919,55.873,56.648,57.695,58.5,59.003,59.444,59.964,60.381,60.665,60.976,61.368,61.821,62.124,62.442,62.871,62.879,63.338,63.429,63.69,61.766,62.009,62.142,62.318,62.697,63.755,64.359,65.003,65.811,66.642,67.345,67.836,68.977,70.289,71.088,71.712,74.353,76.502,77.373,77.367,78.169,78.548,79.129,79.383,80.233,80.857,81.108,81.7,82.651,83.128,83.667,84.082,85.251,85.979,86.455,87.182,88.119,89.171,90.391,90.935,92.271,92.226,93.039,93.341,93.6,93.834,93.777,94.429,95.434,95.753,95.935,96.827,98.181,99.276,100.602,101.941,103.906,105.221,106.077,106.752,107.389,107.795,108.668,109.657,110.947,111.76,113.399,114.384,115.436,115.854,117.961,119.174,120.862,121.625,122.317,123.363,125.28,126.753,127.244,128.363
"17","9","    Computers, peripherals, and parts","B850RG3",6617.082,6748.837,6778.023,6746.045,6643.559,6716.015,6704.966,6802.173,6770.097,6657.372,6590.154,6431.946,6298.997,6022.897,5776.299,5610.108,5427.382,5201.831,5023.814,4780.273,4578.051,4472.151,4352.642,4209.198,4194.346,4106.113,3895.353,3654.928,3393.848,3174.81,3016.628,2914.956,2918.861,2907.679,2852.909,2761.744,2636.448,2528.54,2423.598,2342.145,2273.529,2195.509,2105.451,2011.423,1928.725,1849.769,1777.144,1699.223,1664.531,1614.04,1540.372,1456.551,1371.324,1284.214,1211.281,1166.359,1165.045,1164.574,1157.366,1146.565,1129.576,1109.586,1076.849,1045.688,971.713,911.017,848.112,802.788,767.434,730.992,691.329,658.004,635.9,609.265,581.321,548.656,522.661,507.888,506.686,493.59,457.945,438.107,419.305,418.73,420.018,408.132,399.083,391.692,389.454,374.607,365.897,349.381,332.723,328.829,329.386,322.389,313.132,303.671,286.623,280.333,276.711,263.414,250.56,242.298,234.952,228.126,221.882,215.226,211.381,208.766,204.628,197.456,190.572,186.86,180.611,174.296,165.608,157.087,149.436,142.547,137.915,133.448,130.095,126.751,122.637,118.275,112.508,110.566,107.833,105.99,103.588,103.228,101.068,99.891,99.638,99.402,98.92,97.71,95.726,94.267,93.09,91.679,89.628,88.303,88.967,88.813,88.109,88.281,88.604,88.704,86.863,84.857,83.108,81.543,79.663,77.761,77.934,77.094,76.435,76.073
"18","10","    Other","B689RG3",43.92,43.442,43.596,44.858,45.007,50.073,48.489,49.444,50.729,50.104,50.585,53.916,54.708,56.126,54.527,54.353,57.17,56.365,53.198,56.214,57.354,56.902,56.133,56.793,56.499,58.585,58.446,61.481,65.158,65.635,70.229,72.261,77.245,81.943,83.643,86.477,87.339,89.731,90.057,93.701,91.901,92.374,95.241,97.491,97.107,100.319,98.747,105.557,103.314,108.812,110.489,107.564,110.647,117.652,124.204,130.665,133.849,135.144,137.425,139.553,139.998,140.756,140.859,140.156,139.719,139.469,138.564,138.727,140.465,140.225,139.677,138.495,135.044,133.449,131.452,130.181,129.495,128.648,128.492,128.98,129.223,129.319,129.508,130.661,132.925,133.57,133.919,134.408,134.632,134.361,133.63,132.026,129.258,128.339,128.251,127.836,128.59,128.295,126.718,126.12,125.223,124.165,123.072,122.277,121.923,121.876,121.328,121.054,120.355,119.67,118.615,117.031,116.214,114.609,113.202,111.909,110.563,108.414,106.562,104.274,103.437,103.217,102.854,102.37,101.939,101.708,101.359,101.048,100.995,100.844,100.43,100.487,100.003,99.902,100.179,99.917,100.01,99.884,99.22,98.926,98.897,98.585,98.447,97.998,97.322,97.061,96.089,95.455,95.508,95.706,95.829,96.307,96.485,96.66,96.692,96.393,96.507,97.172,97.885,98.31
"19","11","  Automotive vehicles, engines, and parts","B641RG3",19.901,20.067,20.067,20.233,20.232,20.317,19.903,20.322,20.662,20.914,21.582,21.915,21.827,21.741,21.572,21.235,22.564,23.062,23.313,23.482,23.742,23.83,24.247,24.412,24.732,25.481,26.401,26.491,27.35,28.196,29.624,32.047,32.781,34.274,34.511,34.749,35.821,35.975,37.214,38.703,39.525,39.941,41.115,41.714,41.672,43.439,45.949,46.035,49.908,52.05,52.274,53.503,56.381,58.218,61.495,64.299,66.597,68.155,69.197,70.602,72.191,73.151,73.746,74.041,74.49,75.311,76.692,77.095,77.689,78.25,78.537,77.998,78.945,79.885,80.275,80.315,80.646,81.463,82.076,82.593,82.806,83.153,83.626,83.616,83.828,84.233,85.727,86.129,86.006,86.352,87.075,88.495,88.641,89.296,89.75,90.18,91.138,91.763,92.373,92.572,93.125,93.577,94.03,94.147,94.416,94.636,94.589,94.47,94.907,95.276,95.671,95.859,96.173,96.303,96.652,97.408,97.499,97.61,97.83,97.828,98.298,98.527,98.591,98.472,98.476,98.456,98.517,98.835,98.948,99.012,99.158,99.592,99.779,99.953,100.142,100.125,100.188,100.428,100.405,100.353,100.623,100.687,100.868,101.223,101.4,101.454,101.65,101.759,101.899,102.248,102.479,102.833,103.173,103.374,103.603,103.941,104.215,104.636,105.038,105.281
"20","12","  Consumer goods, except automotive","B642RG3",30.231,30.228,30.229,30.227,30.372,30.064,31.522,31.106,31.599,30.835,32.136,33.623,32.601,34.181,32.287,30.871,33.702,33.201,33.442,34.528,33.993,35.459,34.782,37.655,37.344,37.605,39.484,41.487,39.89,40.593,42.81,43.754,46.489,47.522,45.306,46.531,50.154,50.789,50.532,50.055,52.34,52.657,51.509,50.886,55.364,55.588,57.711,60.218,64.617,66.643,67.553,68.612,67.409,67.76,72.016,73.021,72.536,71.735,72.755,74.394,75.03,72.947,73.677,73.412,73.378,74.64,75.524,75.005,75.908,75.709,75.846,75.82,75.355,75.46,75.845,75.687,77.234,78.102,78.425,79.594,80.072,80.54,81.057,81.676,83.118,83.713,84.083,85.388,86.233,86.924,87.551,88.02,89.181,90.02,90.276,90.992,92.334,93.69,93,93.467,94.955,94.936,94.917,95.705,96.28,96.234,96.156,96.306,96.576,96.613,96.404,96.736,97.239,97.92,98.161,98.256,98.845,99.187,99.304,99.421,99.707,99.768,100.054,100.193,100.239,99.994,99.795,99.717,99.502,99.502,99.548,99.807,100.03,100.057,100.079,99.834,99.664,99.394,99.641,99.861,99.12,98.913,99.21,99.287,99.426,99.55,99.713,100.097,100.258,100.37,100.932,101,101.669,101.753,101.708,101.892,102.184,102.867,103.633,103.67
"21","13","    Durable goods","B690RG3",25.552,25.544,25.53,25.516,26.243,24.653,24.901,26.919,26.893,26.047,26.521,26.227,27.088,30.939,26.117,24.905,31.036,29.113,30.085,31.215,30.501,31.084,31.757,33.606,35.992,36.324,38.482,37.688,36.841,36.22,39.373,40.887,41.907,42.53,42.387,42.225,46.012,47.253,44.062,44.735,47.106,46.364,45.201,46.044,50.555,50.57,54.089,56.973,61.495,63.594,65.738,67.433,69.394,71.554,73.329,75.525,75.589,75.578,76.23,77.469,77.753,77.614,78.576,79.335,80.2,80.529,80.886,79.529,80.153,79.446,78.907,79.007,78.032,78.102,78.634,78.692,81.223,81.439,82.055,82.834,83.271,83.22,83.592,84.712,85.532,86.581,87.032,88.264,88.766,89.867,90.627,91.557,92.595,93.492,93.171,93.358,94.964,96.252,95.406,95.675,97.369,96.144,95.838,96.983,97.231,96.742,96.631,96.717,97.243,97.364,97.054,97.407,97.624,97.879,98.383,98.424,98.845,99.273,99.37,99.431,99.888,100.242,100.247,100.389,100.319,99.986,99.743,99.616,99.151,99.218,99.383,99.414,99.837,100.196,100.151,99.816,100.043,99.797,100.1,100.447,100.074,99.572,99.798,99.867,99.89,100.184,100.254,100.611,100.339,100.403,100.617,100.99,101.412,101.53,101.71,101.771,101.689,102.405,103.188,103.32
