"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"44","37","  Equipment and software","A871RC1",0.3,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.5,0.5,0.6,0.6,4.5,16.4,32.1,33.4,21.6,1.8,1.6,2.4,3.4,2.8,8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,14.7,16.5,15.1,14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.2,96.4,98.4,100.2,97.1,103.1,111.5,115.2,118.7,124,128.6,138.3,148.1
"45","38","  Less: Consumption of fixed capital","A900RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,1.9,4.3,6.9,8.1,8.5,7.9,6.7,5.7,5,5.2,5.8,6.6,7.3,7.7,8.2,8.6,8.7,9.1,9.5,9.8,10.4,11,11.3,11.7,12.3,13.1,13.9,14.6,15.2,15.5,15.6,15.7,16.8,18.5,20.4,22.1,24.3,26.2,29.3,33.4,37.6,41.3,45.7,50,54.5,59,64.2,69.8,76.1,82.2,86.1,90.5,94,96.8,97.7,98.4,99.6,103.2,107.6,110.3,112.5,114.8,119.2,124.8
"46","39","  Equals: Net equipment and software","A901RC1",0,0,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,3.8,14.6,27.8,26.5,13.5,-6.7,-6.3,-4.3,-2.4,-2.2,2.9,5.4,5.7,3.1,1.3,1.3,0.9,1.3,3.3,2.2,3.5,4.2,2.7,2.3,1,2.4,3.4,1.2,-0.3,-0.8,-5,-4.6,-3.3,-0.9,0.1,1.1,1.1,1.3,4.5,5.6,7.1,9.8,15.8,21.2,27.7,29.8,29.7,23,25.9,27.1,21.1,17.2,7.7,2.4,1.6,2.4,-1.2,3.5,8.3,7.6,8.3,11.5,13.8,19.1,23.3
"47","40","            Federal","A902RC1",-0.1,-0.1,0,-0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,3.8,14.6,27.9,26.5,13.5,-6.7,-6.4,-4.4,-2.5,-2.4,2.7,5.2,5.5,2.9,1.1,1.1,0.5,1,3,1.8,3.1,3.8,2.2,1.6,0.4,1.7,2.7,0.5,-1.1,-1.6,-5.8,-5.6,-4.5,-2.4,-1.3,0,0.2,0.1,2.8,3.7,5.6,7.9,13.1,17,22.4,23.9,24.3,17.1,17.5,18.2,14.3,10.8,1.9,-4.8,-6.4,-4.4,-9.5,-6.9,-3.4,-4.1,-3,2.4,5.7,11.2,15.1
"48","41","              National defense","B905RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0.1,3.3,14.3,27.7,26.5,13.3,-6.9,-6.6,-4.5,-2.5,-2.5,2.7,5.1,5.6,3,1.2,1.1,0.6,1.1,3.2,1.8,2.9,3.4,1.5,0.6,-0.8,0.6,1.9,0,-1.5,-1.9,-5.9,-5.7,-4.5,-2.6,-1.5,-0.3,-0.2,-0.7,2.1,2.5,4.6,6.9,10.7,14.5,19.6,21.9,21.9,14.3,13.9,14.3,10.4,6.3,-1.8,-6.1,-8.7,-7.6,-12.7,-11.1,-8.2,-7.2,-5.4,-0.1,3.2,7.9,9.7
"49","42","              Nondefense","B906RC1",0,0,0,0,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.6,0.3,0.2,0,0.2,0.1,0.2,0,0,0.1,0.1,0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0.2,0.4,0.7,1,1.2,1.1,0.8,0.5,0.4,0.2,0.2,0.2,0,0.2,0.2,0.2,0.4,0.8,0.8,1.2,0.9,1.1,2.4,2.6,2.8,2.1,2.3,2.9,3.6,3.8,3.9,4.5,3.7,1.2,2.3,3.2,3.2,4.2,4.8,3.1,2.4,2.5,2.5,3.3,5.4
"50","43","            State and local","B907RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,-0.1,-0.1,-0.1,-0.1,0,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,1,1.3,1.6,1.4,1.2,0.9,1.2,1.6,1.9,1.6,1.8,2.8,4.1,5.4,5.8,5.5,5.9,8.4,8.9,6.8,6.4,5.8,7.2,7.9,6.9,8.2,10.4,11.7,11.7,11.3,9.1,8.1,7.9,8.2
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RC1",17.8,14.2,10,5.8,5.1,6.9,8.3,11.6,13.3,11.8,13.6,15.6,24.6,37.1,45.9,45.4,36.4,28.6,40.1,49.5,49.3,58.1,67.9,72.8,78.5,78.3,85,91,94.1,91.3,103.9,103.9,106.5,115.3,121.8,131.9,144.5,157.5,161.7,175.8,190.5,194,211.7,241.1,275.5,291.7,299.6,341.2,406.5,489.2,563.4,585.8,649.5,644.5,692.9,809.6,873.2,913.2,942.1,989.2,1044.9,1062.2,1023.6,1071.6,1151.5,1254.6,1345.6,1454.4,1569.9,1700.7,1845.5,1983.5,1970.1,1914.5,2005.7,2202,2433.2
"53","45","  Less: Consumption of fixed capital","A262RC1",9.4,9.2,8.6,7.5,7.2,7.6,7.6,7.8,8.7,9,9,9.4,10.8,13.4,16.3,19.4,21.1,23.3,26.4,28.1,28.7,29.4,33.2,35.7,37.8,39.9,42.1,46.4,49.9,52,53,55.6,57.2,59.3,62.4,65,69.4,75.6,81.5,88.4,97.9,106.7,115,126.5,139.3,162.5,187.7,205.2,230,262.3,300.1,343,388.1,426.9,443.8,472.6,506.7,531.3,561.9,597.6,644.3,682.5,725.9,751.9,776.4,833.7,878.4,918.1,974.4,1030.2,1101.3,1187.8,1281.5,1292,1336.5,1436.2,1604.8
"54","46","  Equals: Net domestic fixed investment","W173RC1",8.4,4.9,1.4,-1.8,-2.1,-0.6,0.8,3.8,4.6,2.9,4.6,6.2,13.8,23.7,29.7,26,15.4,5.3,13.7,21.4,20.6,28.7,34.6,37.1,40.7,38.4,43,44.6,44.2,39.3,50.9,48.4,49.3,56.1,59.4,66.8,75.2,81.9,80.2,87.4,92.6,87.3,96.6,114.6,136.2,129.2,111.8,136.1,176.5,226.9,263.2,242.9,261.4,217.6,249.1,337,366.4,381.9,380.1,391.6,400.7,379.7,297.7,319.6,375.1,420.9,467.2,536.3,595.5,670.6,744.3,795.7,688.6,622.5,669.2,765.9,828.4
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
