"","Table 8#8B# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146"
"26","18","    Autos","B144RC",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.9,1,1,1,1,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.3,1.4,1.3,1.4,1.5,1.7,1.5,1.4,1.4,1.5,1.5,1.6,1.7,1.5,1.5,1.7,1.7,1.8,1.9,1.9,1.9,2.2,1.9,1.7,1.8,2.1,1.7,1.8,2,1.9,2.1,2,2.1,2.5,2.2,2.3,2.6,2.7,3.1,2.8,2.4,3.1,2.9,3,3.9,3.6,2.8,2.8,2.7,3,3.6,3.8,3.9,3.5,3.6,3.6,3.2,3.6,3.7,3.9,3.4,3.4,4.2,3.7,4.4,4,3.3,3.4,4.5,3.6,3.4,3.9,3.4,3.4,4.1,3.7,3.9,3.8,3.6,3.7,4.6,3.7,3.8,4,3.9,3.3,4,4,4,4.1,3.7,3.6
"27","19","    New trucks","B708RC",0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1.2,1.4,1.6,1.3,1.6,1.8,1.8,1.8,1.7,1.7,1.8,1.8,2,2.1,2.2,2.3,2.3,2.2,2.4,2.3,2.6,2.5,2.8,2.9,2.8,3.1,3.3,3.2,3,3.4,3.4,3.5,3.6,3.6,3.4,3.6,3.3,3.1,3.4,3,4.1,4.6,5,5.6,7,5.7,6.2,6.5,6.9,6.5,6.1,5.4,6.9,7.5,5.4,5.5,5.2,7,4.6,6.1,5.5,6.1,5.2,7,7.1,9.2,6.9,8,6.8,8.2,7.3,9.7,6.3,6.8,6.1,7.1,7.3,5.7,10,6,8.6,7.4,6.6,5.9,6.1,8.1,6.4,6,6.8,6.7,7.9,8.1,6.7,6.5,6.7,7.3,8,9.1,7,7.4,9.4,7.6,9.2,8.4,7.7,9.4,10.2,10.2,9.1,8.8,10.2,10.4,9.7,9.3,10.2,9.7,9,8.9
"28","20","  Net exports","AB63RC",-0.6,-0.6,-0.7,-1.1,-1.3,-1.7,-2.2,-2.3,-1.7,-2.6,-2.8,-2.9,-3,-2.8,-2.9,-3.4,-3.6,-3.7,-4.6,-4.6,-4.8,-4.8,-4.4,-5.2,-5,-5.3,-5,-5.1,-5.2,-5.4,-5.3,-4.2,-3.2,-2.7,-3.4,-4.1,-5.8,-6,-5.5,-5.4,-5.7,-6.8,-8.2,-9.8,-10.1,-11.1,-10.8,-10.7,-9.7,-10.5,-10,-10.1,-12.7,-12.5,-14.5,-13.8,-13.3,-14.6,-13.8,-17.1,-19.5,-19.8,-20.5,-17.9,-20.9,-23,-21.9,-26.2,-29.2,-31.2,-31.1,-31.8,-32.1,-35,-36.4,-39.9,-40.2,-44.1,-49.3,-46.6,-46.6,-48,-46.6,-46,-44.1,-42.6,-41.2,-44.4,-44.2,-41.6,-39.5,-37.5,-38.3,-41.3,-42.7,-43.8,-38.4,-34.6,-40.3,-40.4,-40,-37.7,-36.4,-37.3,-43.6,-42.7,-43.5,-42.9,-40.8,-48.4,-51.7,-58.1,-55.3,-55.5,-49.2,-48.7,-51,-54.8,-56.1,-52.3,-61.9,-60.5,-61.4,-57.6,-62,-66.2,-66.5,-77.6,-86.3,-88.5,-94.3,-95,-101.1,-100.1,-103.7,-101.9,-103.1,-101,-99.8,-98.1,-98.9,-107.5,-105.4
"29","21","    Exports","AB69RC",1.2,1.3,1.3,1.2,1.5,1.4,1.3,1.5,1.5,1.6,1.6,1.6,1.2,1.7,1.6,1.1,1.7,1.9,2,1.6,1.8,1.9,2.1,2.3,2.6,2.6,2.6,3,3.4,3.5,3.8,4.2,4.3,4.9,5.5,5.5,5.1,5.3,5.3,5.7,5.9,5.7,5.6,5.5,5.8,6.7,6.7,7.8,8,8.5,8.4,9.5,8.2,7.4,7,8.3,8.2,8.2,8.7,7.3,6,6.8,6.1,5.6,5.8,6.7,7.3,8,8,7.6,8.2,8.5,8.9,9.3,10.3,10.3,10.4,11.6,10.2,10.3,10.7,12.1,10.8,13.9,13.5,13.7,15.2,14.9,15.1,13.9,12.7,15,15.4,16.2,14.6,13,16.3,17.3,18.2,16.7,17.2,19.5,20.8,21.8,19.2,20.7,18.8,22.4,22.9,23.2,23.5,23,25.6,23.5,24.5,24.3,25.6,24.7,26.8,26.7,26.1,27.1,28.6,28.8,28.8,26,23.2,25.6,24.9,25.6,24.8,25.8,27.2,27,25.4,24.9,22.7,25.7,26.9,26.4,25.9,28.3,30.5
"30","22","      Autos","B142RC",0.8,0.8,0.8,0.9,1.1,1,0.9,1,1.1,1,1,1,0.7,1.1,0.9,0.6,1.1,1.3,1.3,1,1.1,1.3,1.4,1.5,1.7,1.8,1.8,2,2.2,2.2,2.3,2.6,2.5,2.6,3.1,3.3,3.2,3.2,3.2,3.5,3.8,3.8,3.5,3.4,3.4,3.9,4.1,4.4,4.8,5.2,5.2,5.9,5.3,4.4,3.9,5,4.7,4.8,5.3,4,3.1,4,4,3.1,3.9,4.7,5,5.5,5.5,5.2,5.5,5.7,6.4,6.4,7.1,7,7.4,7.7,7,6.8,7,8.3,7.1,9.3,9.1,9.5,10.9,10.6,11.4,10.5,9.7,11.6,11.3,11.6,10.6,8.6,11.3,11.1,12.8,11.6,12.5,13.3,15.4,15.8,14,14.9,13.5,15.6,16.4,16.6,17.1,15.8,17.7,16.1,16.4,16.8,17.5,15.8,17.6,16.9,16.3,17.2,17.1,16.6,17.2,15.6,15,17,16.4,16.9,15.8,16.8,17.5,17.3,16.2,16,15.3,17.7,19.3,18.9,18.6,20.6,21.6
"31","23","      Trucks","B706RC",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.8,0.9,0.8,0.8,1,1.2,1.3,1.5,1.6,1.8,2.3,2.5,2.2,1.9,2.1,2.1,2.2,2.1,1.9,2.1,2.1,2.3,2.8,2.6,3.3,3.2,3.4,3.2,3.7,2.9,3,3.1,3.3,3.4,3.4,3.3,3.3,2.9,2.8,2.2,2.5,1.9,2,2.3,2.5,2.5,2.4,2.8,2.8,2.6,2.9,3.2,3.3,2.9,4,3.2,3.4,3.7,3.8,3.7,4.6,4.3,4.2,4.3,4.3,3.8,3.4,3,3.4,4.1,4.6,4,4.3,5,6.2,5.4,5.1,4.7,6.2,5.3,6,5.2,5.8,5.4,6.8,6.6,6.7,6.4,7.2,7.9,7.4,8.1,7.5,8.1,9,9.2,9.8,9.8,10,11.5,12.3,11.6,10.3,8.2,8.6,8.5,8.7,9,9.1,9.7,9.7,9.2,8.9,7.3,8,7.5,7.4,7.4,7.7,8.8
"32","24","    Imports","AB70RC",1.8,1.9,2,2.3,2.7,3.1,3.5,3.8,3.2,4.2,4.4,4.5,4.2,4.5,4.5,4.5,5.3,5.6,6.5,6.2,6.6,6.8,6.5,7.6,7.6,7.9,7.6,8.1,8.6,8.9,9.1,8.4,7.6,7.6,8.9,9.6,10.9,11.3,10.8,11,11.6,12.6,13.8,15.2,15.9,17.8,17.5,18.5,17.8,19.1,18.4,19.6,21,19.9,21.5,22.1,21.4,22.8,22.4,24.4,25.5,26.6,26.6,23.5,26.7,29.7,29.2,34.2,37.2,38.9,39.3,40.3,41,44.2,46.6,50.3,50.5,55.7,59.5,56.8,57.3,60.1,57.4,59.8,57.6,56.3,56.4,59.3,59.4,55.5,52.2,52.5,53.7,57.5,57.2,56.8,54.7,51.8,58.5,57.1,57.2,57.3,57.2,59.1,62.8,63.4,62.3,65.3,63.8,71.6,75.1,81.1,80.9,79,73.7,73,76.6,79.6,82.9,79.1,87.9,87.6,90,86.4,90.7,92.1,89.8,103.2,111.2,114.1,119.1,120.9,128.4,127.2,129,126.8,125.8,126.7,126.6,124.4,124.8,135.8,135.9
"33","25","      Autos","B143RC",1.5,1.6,1.7,2,2.3,2.7,3,3.2,2.5,3.5,3.7,3.7,3.5,3.8,3.7,3.8,4.6,4.8,5.7,5.3,5.6,5.6,5.4,6.3,6.4,6.6,6.4,6.8,7.3,7.5,7.6,6.8,6.3,6.4,7.7,8.2,8.9,9.2,8.7,9,9.3,10.1,11.3,12,12.6,13.6,13.9,14.6,13.7,15,15.1,15.7,17.1,16,17.3,17.5,17,18.2,17.3,18.8,19.7,20.8,21.5,19.2,21.9,23.6,23.4,26.9,29.8,30.2,31,31.6,31.8,34.8,37.6,39.7,40.1,44.9,48.3,47.6,46.1,48.8,47.5,49.4,47.3,46.1,46.6,48.2,48,45.3,42.5,42.1,44.1,47.3,47,48.1,46.4,43.3,49.1,46.5,46.2,46.8,46.9,48.3,51.2,51.4,51.7,54.6,52.9,60.4,63,68.2,67.7,66.3,61.1,60.3,64.1,65.5,68.3,65.6,72.4,72.4,73.3,70.8,75.9,78.8,75.6,87.3,92.1,93.9,99.3,99.8,106.7,108.3,110.9,110.9,109.8,107.5,105.6,103.7,105.7,116.6,116.9
"34","26","      Trucks","B707RC",0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.8,0.9,0.9,1,1.2,1.2,1.2,1.2,1.4,1.3,1.3,1.3,1.4,1.6,1.6,1.3,1.2,1.3,1.4,2,2.1,2.1,2,2.3,2.5,2.5,3.2,3.3,4.1,3.6,3.9,4,4.1,3.3,3.9,3.9,3.9,4.2,4.5,4.4,4.6,5.1,5.6,5.8,5.9,5.1,4.4,4.8,6,5.9,7.3,7.4,8.6,8.3,8.7,9.1,9.5,9,10.5,10.5,10.8,11.2,9.2,11.3,11.4,9.9,10.4,10.3,10.3,9.8,11.1,11.4,10.3,9.7,10.3,9.5,10.2,10.2,8.7,8.3,8.6,9.4,10.6,11,10.5,10.3,10.8,11.6,12,10.6,10.7,10.9,11.3,12.1,12.9,13.2,12.7,12.6,12.8,12.5,14.1,14.7,13.4,15.6,15.2,16.7,15.5,14.9,13.4,14.2,15.9,19.1,20.2,19.8,21.1,21.7,18.9,18.1,15.9,16,19.2,21,20.7,19.1,19.2,19
"35","27","Change in private inventories","AB65RC",-1.1,-1.6,-1.3,0.6,1.4,3.5,0.1,2,0.4,-1.1,2.8,-0.3,-1.3,1.2,0.4,-4.3,6.3,1.8,-0.6,-0.3,2.4,0.5,-4.7,0.7,2.6,0.2,0.1,2.5,1.3,-0.4,3.5,7.4,-5.1,-0.7,0.5,-1.9,1.9,4.3,-0.2,1.9,1.6,1.7,5.6,4.4,3.5,-0.2,-0.1,5.3,8.8,5.9,-6.7,-6.5,-8,-1.4,-5,6.3,-4.7,10.2,-3.8,5.5,-11.1,6.2,7.9,-14.6,3.2,-5.5,2.8,9.5,9.1,-3.7,2.3,14.8,-1.6,5.1,-2.8,18.2,9.6,6.7,-10.9,5.2,25.9,6.7,-12.2,14.6,-11.4,5.1,3.3,9.1,17.2,4.8,-12.2,6.1,-16.3,4.5,5.3,-7.1,-15.1,-0.8,6.5,3.6,-4.5,1.5,1.2,3.2,17.1,-3.1,-6.6,2.5,4.5,2.6,5.7,8.1,16.3,10.7,-3.6,4.6,-25.5,11.5,8.8,-11,-1.8,8.2,2.9,8.1,11.9,-17.7,-2.5,11,14.1,3.4,11,12,1.3,15.8,-0.1,7.6,-23.1,-9.2,-0.4,-36.7,11.4,22.1,6.9
"36","28","  Autos","A145RC",-1.4,-1.5,-0.7,0.6,1.4,2.8,0,1.7,0.4,-0.6,2.2,-0.7,-1.2,1.1,0.4,-3.8,5.3,1.4,-0.8,0.4,2.3,0.1,-4.3,0.2,2.9,-0.3,-0.5,2.8,0.3,0.1,3.3,4.8,-5.2,-0.3,1.4,-0.5,2,3.3,-0.6,2.3,1.6,1.5,2.2,3.4,4.6,1.3,-1.2,2.8,3.6,3.2,-4.1,-2.2,-5.7,1.5,-1,5.1,-4.1,10.4,-1.9,3.9,-9.8,3.5,6.9,-11.1,3.9,-5.5,3.5,7.1,6.5,-4.9,-0.6,10.6,1.5,3.7,-3.3,16.1,5.5,4.6,-6,5,20.5,6.7,-10.4,11.8,-10.8,5.9,4.2,5.3,11.6,3.5,-8.5,4,-8,1.2,3,-5,-5.5,-0.4,5.8,1.3,-8.3,3,2.9,1.3,10.1,1,-4.3,4.8,2,0.9,-0.3,6.1,15.1,6,-7.5,2.9,-19.9,7.2,5.2,-6,-6.2,5.3,1.1,2.1,4.9,-4.6,5.5,7.1,3.7,-3.4,1.7,3.5,-1.4,3.6,3.5,2.6,-9.6,-3.1,0.7,-12.4,7.6,10.5,5.7
"37","29","    New","B146RC",-1.2,-1.6,-0.5,1,1,2.6,0.2,1.3,0.9,-1,2.1,-0.9,-1.5,1.2,0,-2.7,4.7,1.4,-0.8,0.3,2.7,0.2,-3.7,0.3,2.7,-0.5,-0.6,2.8,0.5,0.6,3,5.5,-5.6,-0.1,1.1,-1.2,1.6,3.3,-0.5,1.9,1.8,0.3,2.1,3.3,4.9,0.9,-0.9,2.9,3.4,3.4,-4.5,-2.2,-4.6,2.5,-0.5,5.7,-5,11.1,-2.3,4.1,-9.9,3.4,7.1,-11.5,3.4,-6.3,3.6,6.6,5.7,-5.3,-0.6,9.7,1.3,2.4,-6.1,17.3,5.4,2.6,-9,5.4,20.4,5.7,-11.9,11.3,-12.7,6.5,0.7,4.5,11.8,1,-12.6,6.4,-9.5,2.3,2.9,-4,-4.8,-2.2,5.4,0.6,-6,3.1,3.3,-0.1,12,-1.6,-4.6,2.3,3.5,-0.2,-0.5,3.5,14.7,3.6,-6.9,0.9,-22.9,4.7,3.6,-7.3,-5.2,1.3,0,1.4,6.3,-11.8,8.6,6.9,3,-1.1,0.4,2.5,-3.6,2.9,3.8,1.7,-10.5,-3.5,0.2,-12.9,7.1,10.4,4.4
"38","30","      Domestic","AB71RC",-1.2,-1.2,0.1,0.9,0.8,2.5,0.1,0.9,1.1,-1.5,1.8,-0.8,-1.8,1.1,-0.1,-2.7,4.3,1.2,-1.5,-0.6,2.2,-0.1,-3.7,0.6,3.1,-0.1,-0.4,3.2,-0.9,-1.3,1.6,5.5,-4.2,1.3,1.5,-2.2,0.5,1.1,-0.3,1.6,2.1,2.5,2.3,1.6,2,-1.3,-1.6,1.8,5.3,6.3,-4.5,-2.8,-3.6,0.2,-1.8,5.9,-4.4,11.1,-0.9,3.1,-10.7,1.1,7.7,-9.3,4.9,-4.2,3.8,7.3,4.3,-3.9,-1.3,7.8,0.8,1.4,-6.4,15.8,5.6,0.1,-11.6,3.6,17.4,1,-13,10.8,-11.5,5.2,0.5,3.5,10.2,3.1,-12.6,8.3,-11.3,3.1,3.4,-5.8,-6.3,-1.2,4.7,0.1,-5.7,3.7,3.1,1,8.6,-1.4,-2.4,1.4,6.5,1.8,-0.4,3.2,16.3,0.1,-2.5,0.5,-16.2,3.8,3.8,-7,-5.8,0.7,0.5,1.1,4.7,-12.7,9.8,4.3,2.7,-2.4,0.3,-0.7,-4.4,2.9,3.5,0.6,-12,-3.4,-0.7,-13.5,6.9,9.1,7.9
"39","31","      Foreign","AB72RC",0.1,-0.3,-0.5,0.1,0.2,0.1,0,0.4,-0.3,0.5,0.3,-0.1,0.2,0.1,0.1,0,0.3,0.3,0.7,1,0.5,0.2,0,-0.3,-0.4,-0.4,-0.2,-0.4,1.4,2,1.4,0,-1.4,-1.4,-0.3,1,1.1,2.2,-0.1,0.3,-0.3,-2.1,-0.2,1.7,2.9,2.2,0.7,1.1,-2,-2.8,0,0.7,-1.1,2.2,1.3,-0.2,-0.6,0,-1.3,1.1,0.7,2.2,-0.6,-2.2,-1.5,-2.1,-0.2,-0.6,1.4,-1.4,0.7,1.9,0.5,1,0.3,1.5,-0.2,2.5,2.5,1.7,3,4.8,1.1,0.5,-1.3,1.3,0.2,1,1.6,-2.1,0,-1.8,1.8,-0.8,-0.5,1.9,1.6,-1,0.7,0.5,-0.3,-0.7,0.2,-1.1,3.4,-0.2,-2.1,0.9,-3.1,-2.1,-0.1,0.3,-1.6,3.6,-4.4,0.3,-6.7,0.9,-0.3,-0.4,0.7,0.5,-0.5,0.2,1.6,0.9,-1.2,2.7,0.4,1.3,0.1,3.1,0.8,0,0.3,1.1,1.5,-0.1,0.8,0.6,0.2,1.3,-3.4
"40","32","    Used","B147RC",-0.3,0.1,-0.2,-0.4,0.4,0.2,-0.2,0.5,-0.5,0.3,0.2,0.2,0.3,0,0.4,-1.1,0.6,-0.1,0.1,0.1,-0.4,-0.1,-0.5,-0.2,0.2,0.2,0.1,0,-0.2,-0.5,0.2,-0.7,0.3,-0.2,0.2,0.6,0.4,0,-0.2,0.3,-0.1,1.2,0.1,0.1,-0.2,0.4,-0.3,-0.1,0.2,-0.2,0.4,0,-1.1,-1,-0.5,-0.6,0.9,-0.7,0.4,-0.2,0.1,0.2,-0.2,0.4,0.5,0.9,-0.1,0.5,0.8,0.5,0,1,0.2,1.3,2.8,-1.2,0.2,1.9,3,-0.3,0,1,1.4,0.4,2,-0.5,3.5,0.8,-0.2,2.5,4.1,-2.4,1.5,-1.1,0.1,-1.1,-0.7,1.8,0.4,0.7,-2.3,0,-0.5,1.3,-1.9,2.6,0.3,2.5,-1.5,1.2,0.2,2.6,0.4,2.3,-0.6,2.1,3,2.5,1.7,1.3,-1.1,4,1.1,0.8,-1.4,7.2,-3,0.1,0.7,-2.3,1.3,1.1,2.2,0.7,-0.3,0.9,0.9,0.4,0.5,0.5,0.5,0.1,1.3
"41","33","  New trucks","B709RC",0.3,0,-0.6,0,0.1,0.7,0.2,0.2,0.1,-0.4,0.5,0.4,0,0.1,0,-0.4,1,0.4,0.1,-0.7,0.2,0.4,-0.5,0.5,-0.3,0.5,0.6,-0.3,1,-0.6,0.3,2.6,0.1,-0.4,-0.9,-1.3,-0.1,1,0.5,-0.4,0,0.2,3.4,1,-1.2,-1.5,1.1,2.5,5.2,2.7,-2.7,-4.3,-2.3,-2.9,-4.1,1.3,-0.6,-0.2,-2,1.6,-1.3,2.7,0.9,-3.6,-0.6,-0.1,-0.7,2.3,2.6,1.1,3,4.2,-3.1,1.4,0.5,2.1,4.1,2.2,-4.8,0.2,5.5,-0.1,-1.7,2.8,-0.6,-0.9,-0.9,3.8,5.6,1.3,-3.7,2.1,-8.3,3.4,2.2,-2.1,-9.6,-0.4,0.7,2.4,3.9,-1.5,-1.6,2,7,-4.2,-2.3,-2.3,2.5,1.7,6,2.1,1.2,4.7,3.9,1.6,-5.6,4.3,3.6,-5,4.4,2.9,1.8,6,7,-13.1,-8,3.9,10.4,6.8,9.3,8.5,2.7,12.2,-3.6,5,-13.5,-6.1,-1.1,-24.4,3.8,11.6,1.2
"42","34","    Domestic","AB73RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,0.8,0.6,-0.6,1.2,-0.5,0.2,2.6,0.2,-0.4,-0.9,-1.4,-0.2,0.8,0.4,-0.3,0,0.4,3.5,0.9,-1.4,-1.6,1,2.4,5.5,2.8,-2.7,-4.5,-2.2,-3.2,-4.1,1.2,-0.4,-0.2,-1.9,1.5,-1.9,2.3,1.5,-2.8,-0.5,0,0.3,1.9,3.1,0.6,3.3,3.1,-2.3,1.1,0.9,1.2,3.4,0.9,-5.4,0.2,4.4,-0.2,0,3,-0.4,-1.3,-0.1,3.5,5.3,1.8,-3.1,1.6,-6.3,3.8,2.1,-2.9,-10.1,0.6,1.9,1.8,3.2,-1,-1.2,1.6,7.5,-3.7,-1.6,-2.1,2.4,2.1,5.6,1.1,0.5,4.2,4.5,3.1,-5.7,4.2,4,-5.7,3.1,2.6,2.3,4.5,6.8,-14,-6.3,3.9,9.3,7.2,10.2,6.3,2.9,10.5,-2.2,1.7,-12.8,-5.5,-0.9,-23.7,2.4,11.6,2.2
"43","35","    Foreign","AB74RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.4,0,0.3,-0.2,-0.1,0.1,0,-0.1,0,-0.1,0,0.1,0.2,0.1,-0.1,0,-0.1,-0.1,0.1,0.2,0.1,0.1,0.1,-0.3,-0.1,0.1,0.1,-0.1,0.3,0.1,0.1,-0.1,0,-0.1,0.1,0.6,0.5,-0.6,-0.7,-0.1,-0.1,-1,0.5,-0.4,0.5,-0.4,1.1,-0.7,0.3,-0.4,0.9,0.7,1.3,0.5,0,1.1,0.1,-1.7,-0.1,-0.2,0.4,-0.8,0.3,0.3,-0.6,-0.6,0.5,-2,-0.4,0.1,0.9,0.5,-1,-1.2,0.5,0.6,-0.5,-0.4,0.4,-0.6,-0.5,-0.7,-0.2,0.1,-0.4,0.4,1,0.6,0.5,-0.6,-1.5,0.1,0.1,-0.5,0.7,1.3,0.2,-0.5,1.5,0.3,0.9,-1.7,0,1.1,-0.4,-0.9,2.2,-0.2,1.7,-1.4,3.3,-0.7,-0.6,-0.2,-0.7,1.4,0.1,-1
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","36","  Final sales of motor vehicles to domestic purchasers","AB75RC",34.3,37.2,37,36.3,41.6,42.4,45.3,45.7,46.8,46.4,47,46.3,42.4,43.4,43.4,34.9,48.7,50.7,52.7,55.5,56.8,59,59.6,64.2,70.1,68.8,67,62.6,59.3,60.8,65.4,56.9,56.4,57,65.9,70.1,78.3,80.4,84.1,86.5,97.6,99,99.6,104.3,103,118.9,116.4,119.6,120.3,112,117.3,110.8,111.5,89,101.4,104.2,115.7,109.5,119.2,104.5,116.3,114.4,115.4,124,124.9,143.3,153.5,169.5,177.6,185.7,183.2,189.9,202.4,207,228.2,206.4,208,220.9,249.9,228.4,204.6,224.1,242.9,222.8,241.8,237.6,232.3,242.5,239.6,243.9,250.8,226.9,247.4,234.3,234.7,223.6,211.9,208,220.6,217.5,227.5,234.7,237.8,253.6,244.8,268,269.9,287.8,301.3,299.6,308.6,318.1,311.7,310.9,317.2,322.2,327.8,333,335.2,336.9,347.7,333.6,358,359.5,360.9,385.8,368.3,412.9,407.6,418.6,433.8,436.4,451.2,430.1,434.2,408.3,423,418.1,415.8,462.5,419.3,420.1,459.2
"46","37","  Private fixed investment in new autos and new light trucks","AB76RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,57.8,61.6,59,64.3,64.6,65.5,66.3,60.2,65.2,63.3,57.4,63.3,63.1,67.5,66.8,66.9,69.7,74.1,71.3,71.1,76,74.2,80.2,77,89.3,84.8,92.3,103.2,103.7,108.7,114.5,111,107.8,113.7,114.5,119.5,126.2,133.6,132.5,139.1,136.1,139,139.2,139.4,148.3,131.5,152,150.8,151,160.2,159.1,163.6,152.7,153.3,144.8,147.3,141.6,137.3,136.9,126.5,132.1,135.8
"47","38","  Domestic output of new autos \2\","B148RC",22.3,25.1,25.3,25.3,30,31.6,30.8,31.5,32.1,28.7,31.9,28.1,24.4,28.5,27.4,15.9,36.1,32.7,30.6,33.3,35.7,34.7,32,38.9,44.6,40.6,38.6,36.2,30.2,31.6,37.3,34.1,26.6,32.3,38.9,38.4,46.3,46.4,44.6,49.2,54.7,54.6,55,55,54.3,61,58.2,62.6,66.5,61.3,56.1,52.8,54,43.3,48.1,58.1,57.8,62.5,61.2,49.2,41.5,54.8,60.3,49.3,62.4,64.3,76,84.4,88.2,82,83.6,93.4,93.1,92.7,99.3,95.7,96.6,96.4,100.8,96.1,100.9,92.3,87.3,97,89.2,101.5,97.4,105.6,108.2,102.5,91.1,93.7,88.7,97.1,99.9,85.3,83.9,84.1,94.4,89.9,87.4,96.4,98.3,101.7,101,102.9,96.3,113.3,125.5,118.4,120.1,122.9,128.8,113,114,116.9,106.2,124.6,124.9,111.2,115,115.2,118.9,115.3,115.7,105.6,112.7,122.1,115.7,115,117.9,117.4,122.9,118.9,118.7,109.1,106.1,107.9,109.1,106,111.2,115.8,119.3
"48","39","  Sales of imported new autos \3\","B149RC",2.3,2.7,3,3.1,3.4,3.7,4.2,4.4,4.3,4.9,5.2,5.9,5.7,5.8,5.4,6.4,6.6,7,7.6,6.9,7.2,7.6,8.2,8.9,9,9.4,8.7,9.2,9.4,8.1,9.5,8.7,10.2,9.8,11,10.5,10.3,11,11.9,12.5,13.7,16,14.9,15,14.8,16.6,17,17.1,18.5,19.4,19.3,20,23.1,18.8,21.8,23.5,24.7,24.3,24.8,25.2,27.5,26.6,28.5,31.1,29.7,32.7,32.6,37.6,37.1,38.7,37.6,40.1,39.9,43.6,48.9,46.6,47.7,51.7,57.7,59.4,48.1,52.1,57.6,54.9,60,59,56.4,55.3,52.4,54.9,56.4,50.9,56.7,54.4,54,52.7,45.1,49.7,51.1,47.3,50.3,52.1,50.2,52.6,49.9,55.5,57.9,55.5,53.2,57.9,57.6,58.4,55.5,55.2,55.5,57.4,54,54.4,56.2,56.7,59.4,56.7,61.6,62.1,64.9,69.3,64.8,72.5,72.8,77.1,81,84.1,85.2,84.2,84.4,83,80.7,83.5,80.5,87,81.6,82.3,89.1
