"","Table 7#10# Chain-Type Quantity and Price Indexes for Exports an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146"
"25","16","Exports of services \1\","B646RA",14.21,13.58,13.73,14.38,14.2,14.55,15.1,14.91,14.89,15.63,16.23,15.6,16.24,17.3,17.02,17.34,17.81,17.84,17.87,17.55,17.27,17.56,17.49,18.47,20.18,20.6,21.59,21.01,23.27,24.44,23.86,25.57,25.82,25.36,25.53,26.93,27.73,27.59,29.29,29.98,30.04,30.93,30.96,30.75,32.5,32.35,33.16,34.39,34.34,33.69,33.36,33.15,34.15,34.93,36.85,36.4,38.4,39.6,40.08,39.2,40.16,39.85,38.72,38.43,39.25,38.97,39.3,37.92,42.12,43.31,42.85,42.22,43.34,43.07,42.18,43.45,47.56,47.25,49.28,50.84,52.6,54.6,54.9,55.41,57.69,59.28,60.76,60.06,63.64,64.04,66,67.05,69.63,71.27,72.27,73.73,70.19,75.24,76.65,79.53,79.43,78.87,78.98,78.17,81.15,82.11,82.16,82.86,85.78,88.22,88.35,89.67,90.24,90.9,95.92,97.56,96.57,99.55,97.67,106.21,104.64,107.02,108.59,107.67,108.32,110.43,108.04,110.78,110.36,111.28,112.56,114.33,117.13,120.28,118.47,119.76,117.91,117.17,112.87,108.77,114.24,117.18,118.87
"26","17","  Transfers under U.S. military agency sales contracts","B267RA",28.78,20.65,20.77,28.88,25.27,28.44,32.33,28.91,32.45,25.34,34.63,25.65,23.31,35.62,28.35,33.66,39.28,37.76,35.83,29.81,19.72,20.52,15.66,19.69,20.86,30.05,29.84,25.86,33.21,44.13,34.33,47.15,48.85,46.09,47.14,56.96,57.58,52.96,64.85,73.35,77.87,79.41,79.14,79.47,86.43,78.69,76.08,82.1,74.88,65.51,59.34,49.45,62.08,68,85.2,75.46,70.06,86.52,94.1,74.58,90.9,94.88,84.87,90.05,108.92,92.5,88.37,71.82,76.42,70.82,72.51,60.55,74.15,66.05,56.75,54.8,57.05,59.15,64.75,80.73,98.82,104.01,85.53,72.15,80.02,84.38,85.05,58.06,70.97,70.36,78.72,60.17,68.44,75.12,93.29,77,78.07,77.35,72.12,89.65,96.2,82.53,84.6,67.63,92.42,90.72,86.85,71.67,79.11,86.55,89.9,75.7,88.43,90.82,102.78,93.61,82.69,96.24,102.23,118.85,100.69,126.21,117.29,104.07,126.24,121.5,108.46,117.09,109.75,117.29,98.53,80.62,79.17,96.98,82.16,95.52,70.58,82.92,79.67,83.2,79.67,83.08,79.19
"27","18","  Travel","B493RA",10.65,10.08,10.56,10.82,10.85,10.61,10.96,11.09,11.95,12.04,11.84,11.68,12.86,12.78,12.59,13.01,13.34,12.89,13.11,14.14,13.94,14.29,14.45,14.76,16.6,15.94,16.5,16.97,17.99,17.48,17.97,18.38,20.03,18.8,18.81,20.02,20.87,22.43,23.22,21.94,21.3,22.09,22.22,23.05,22.96,24.02,24.09,24.17,25.77,25.49,24.65,26.19,28.48,27.64,29.13,28.79,31.45,30.63,30.97,32.84,30.45,28.94,27.16,25.68,23.33,23.21,25.83,22.4,32.33,37.57,35.3,36.13,35.1,36.48,34.32,34.02,38.9,37.17,40.05,40,39.58,42.36,44.27,46.08,47.77,50.37,54.42,55.28,59.42,59.77,62.97,66.25,69.77,69.76,67.61,73.07,64.81,74.34,76.82,80.93,82.24,82.74,81.38,83,85.06,86.38,86.57,87.49,85.6,87.29,86.25,88.04,88.27,88.23,95.75,99.99,97.43,101.46,92.36,108.75,103.93,102.69,104.07,101.09,99.84,101.14,95.73,98.64,99.65,99.36,101.11,103.8,107.17,108.32,104.14,104.64,105.89,100.54,91.8,77.24,90.11,89.85,91.99
"28","19","  Passenger fares","B533RA",5.4,5.32,6.03,5.97,6.17,6.38,6.2,6.32,6.55,6.76,7.13,6.64,7.86,8.32,8.02,8.38,8.68,8.15,8.03,8.8,8.44,8.92,8.82,10.15,11.86,12.2,13.31,12.77,13.29,12.52,12.16,11.94,10.65,9.74,11.18,10.6,10.73,11.89,12.44,11.92,11.77,13.25,12.86,13.16,13.37,13.72,15.28,17.52,19.02,20.39,20.7,22.21,22.08,22.06,22.62,21.25,23.21,25.05,24.66,23.23,24,23.46,22.84,23.38,26.54,26.56,25.94,27.51,29.53,31.94,30.41,31.22,31.11,33.62,35.6,38.32,41.35,37.38,45.75,44.6,45.4,50.24,51.01,52.54,57.36,59.59,63.62,59.81,67.41,65.4,71.35,74.62,90.34,93.83,90.78,99.23,74.65,88.32,93.84,95.38,91.02,90.01,87.45,90.4,88.93,87.11,88.08,86.32,87.38,89.74,88.46,86.17,90.18,86.29,95.45,98.78,98.32,100.92,95.18,105.59,109.06,101.93,103.66,108.92,102.43,108.04,106.53,97.13,93.86,94.54,97.34,92.69,94.11,99.25,96.75,97.13,91.41,90.93,83.05,67.24,77.45,77.54,77.54
"29","20","  Other transportation","B683RA",29.23,29.13,28.31,28.36,28.47,29.37,30.1,29.92,25.72,34.18,33.59,33.46,35.17,36.19,37,35.61,34.97,36.6,37.42,32.61,38.66,38.53,39.91,42.21,48.49,46.7,46.98,45.97,46.14,49.51,48.88,52.31,49.62,47.77,47.57,49.33,53.03,49.94,52,54.86,52.43,55.8,54.23,49.65,53.84,55.64,57.2,58.53,62.6,61.56,64.59,65.12,61.96,62.34,63.14,64.8,64.73,62.92,63.15,62.77,63.37,61.95,59.88,58.24,54.83,57.37,59.9,62.64,69.8,71,71.45,71.43,73.01,71.01,71.06,74.08,69.11,69.72,72.05,72.92,75.02,77.32,80.66,83.82,88.22,91.21,90.35,90.96,92.1,92.8,88.89,91.5,91.89,93.77,94.11,86.52,87.39,92.73,93.6,94.86,89.25,87.67,85.87,86.24,87.99,87.49,86.21,89.06,89.14,95.24,95.76,101.04,99.66,102.36,102.83,106.29,97.36,99.96,98.71,103.97,101.48,103.52,103.23,104.97,100.93,99.3,100.08,105.44,105.81,105.5,103.71,108.29,108.7,109.82,106.69,104.74,106.58,103.43,100.07,98.19,100.51,100.43,101.06
"30","21","  Royalties and license fees","B684RA",24.36,24.58,23.86,23.6,23.57,24.24,25.24,25.23,24.82,25.99,24.89,25.69,26.8,27.82,28.35,28.27,28.21,28.31,28.1,30.2,29.12,29.54,30.34,30.91,32.66,30.83,34.65,33.16,35.51,35.84,36.7,37.53,37.69,37.83,37.17,37.23,36.22,35.78,35.68,34.87,35.68,36.69,38.68,38.39,41.25,39.96,40.99,43.25,39.27,39.55,39.8,40.51,40.32,41.91,40.95,41.37,39.63,38.84,38.43,38.09,29.55,28.3,28.62,23.94,27.29,27.85,27.27,26.68,27.54,27.78,27.87,28.6,27.44,27.93,27.67,33.54,32.09,34.22,34.85,36.48,39.57,40.16,42.84,43.99,45.93,47.17,47.29,51.03,51.87,51.22,52.05,53.49,55.93,59.18,61.99,62.88,61.04,60.95,61.49,64.24,70.34,70.5,71.34,69.52,69.85,72.72,70.78,72.76,85.15,86.16,85.69,87.57,91.64,93.74,98.25,97.72,98.21,97.64,100.75,103.4,100.46,101.25,104.25,101.23,103.32,105.89,104.59,113.88,109.43,107.72,109.46,109.65,113.25,115.49,114.82,112.67,110.39,110.33,108.03,109.42,113.85,119.51,118.41
"31","22","  Other private services","B720RA",3.47,3.71,4.07,4.19,4.08,4,3.96,3.96,4.09,4.29,4.53,4.65,4.65,4.6,4.75,4.83,5.1,5.33,5.58,5.82,5.99,6.07,6.08,6.2,6.29,6.47,6.72,7.08,10.69,10.7,10.8,11.16,11.73,12.49,12.81,13.28,13.75,14.24,14.99,15.22,15.09,14.96,14.78,15.15,16.44,16.66,18.73,19.2,19.52,19.82,19.64,20.16,19.6,20.98,21.61,22.39,29.54,30.59,30.22,31.42,36.03,36.34,36.56,37.91,35.65,36.47,36.01,36.99,37.66,36.57,36.87,36.03,36.39,35.92,36.58,37.97,49.11,49.1,48.79,49.38,49.34,49.7,49.91,50.53,51.29,50.97,51.28,52.62,56.16,58.08,59.84,61.12,59.6,60.44,61.93,65.3,67.67,70.94,72.13,73.39,71.41,71.49,73.4,72.55,74.43,75.12,76.64,79.56,83.24,85.52,85.97,89.32,86.44,87.69,90.2,92.07,95.65,98.65,100.21,105.49,109.29,114.97,118.97,120.44,121.59,126.4,127.29,129.57,134.1,138.17,143.84,149.73,149.68,152.52,154.83,158.73,160.76,164.09,163.96,168.96,168.24,174.52,178.52
"32","23","  Other","B980RA",27.03,27.3,27.74,27.95,29.1,29.07,29.36,29.76,29.88,30.11,30.84,30.87,31.62,31.46,32.55,32.2,31.99,32.17,31.54,31.97,32.15,32.78,34.26,35.35,36.63,37.98,41.83,39.81,40.5,40.95,41.91,42.08,42.05,43.82,43.22,43.69,45.16,45.39,46.43,47.25,48.8,48.08,49.05,49.01,48.9,49.91,49.65,49.32,47.95,48.9,48.81,45.22,45.34,44.14,44.52,44.69,42.72,43.59,43.04,43.47,42.83,43.41,47.8,48.2,53.83,59.85,58.51,60.78,60.76,63.63,63.6,66.08,69.36,70.67,71.75,69.87,69.76,68.75,69.54,71.56,72.93,75.17,76.8,77.56,78.27,79.21,79.31,79.16,77.55,76.77,76.2,77.86,79.03,81.16,80.73,80.6,81.3,79.48,80.52,78.04,76.77,80.18,81.83,80.27,85.12,89.51,90.67,91.62,95.85,95.23,97.94,99.34,97.88,97.24,99.92,98.98,101.68,99.59,99.74,98.99,99.83,99.1,100.06,100.3,101.25,102.04,99.56,97.58,89.28,85.65,86.06,89.81,104,106.97,109.48,108.25,99.24,96.17,94.12,94.8,98.98,104.34,108.19
"33","24","      Imports of goods and services","B021RA",18.02,17.9,18.14,19.1,20.22,20.52,21.76,21.57,19.54,23.39,23.09,22.83,22.76,23.21,23.16,23.52,23.24,24.99,25.55,23.81,27.29,26.31,26.86,28.07,29.37,28.52,27.73,27.94,26.99,28.43,27.93,27.65,24.88,22.88,24.79,26.11,27.75,28.95,30.13,31.13,32.6,32.89,32.43,32.89,35.1,35.21,35.67,36.17,36.06,36.26,35.71,36.48,36.52,33.86,31.42,33.11,34.52,34.58,34.19,35.17,34.17,33.6,35.16,33.78,34.56,37.21,40.11,42.08,45.46,47.37,48.59,50.02,48.91,51.31,50.81,52.78,52.67,54.9,56.44,56.91,56.58,58.03,59.17,60.53,60.25,59.52,60.85,62.61,61.85,63.02,63.57,64.39,65.22,66.38,66.49,64.48,62.58,64.78,66.53,67.35,67.55,69.58,69.86,71.58,73.28,75.39,76.12,79.14,80.66,84.23,86.66,88.75,90.65,92.04,92.32,93.21,95.64,98.68,102.05,103.63,107.39,112.11,116.68,118.49,122.95,126.27,127.59,131.32,134.01,138.89,143.67,146.93,152.07,158.7,163.91,163.23,159.93,157.15,152.32,150.26,153.37,161.24,162.56
"34","25","Imports of goods \1\","B255RA",15.23,14.83,14.95,16.35,17.64,18.08,19.32,19,16.56,20.97,20.54,20.02,20.06,20.22,20.16,20.72,20.62,22.61,23.41,21.33,25.07,23.89,24.9,26.07,27.42,26.73,26.31,26.51,25.25,26.71,26.25,25.78,22.78,20.83,23,24.29,26.03,27.33,28.54,29.56,31.16,31.39,31.01,31.45,33.64,33.78,34.17,34.62,34.55,34.77,34.18,35.05,35.1,32.28,29.6,31.28,32.59,32.62,32.31,33.36,32.12,31.22,33.01,31.27,32.2,34.88,37.87,39.99,42.92,44.67,45.61,46.8,45.33,48,47.82,50.07,49.7,52.84,53.95,54.32,53.43,54.52,55.83,56.82,56.66,56.08,57.46,59.34,58.41,59.72,60.11,60.94,61.26,62.45,62.41,60.27,58.49,60.76,63.1,63.89,64.44,67.1,68.25,69.27,71.27,73.55,74.15,77.17,78.69,82.82,85.7,88.24,89.75,91.58,91.8,92.59,95.22,98.65,102.13,104,107.58,112.95,117.27,119,123.2,126.79,127.94,132.44,135.67,141.12,146.26,149.72,154.59,161.91,167.15,166.4,162.44,158.49,154.54,153.24,154.63,164.44,165.81
"35","26","  Foods, feeds, and beverages","B647RA",50.13,46.28,48.89,50.48,51.75,53.71,62.9,53.78,41.57,56.67,56.53,55.74,56.12,55.13,56.58,57.02,53.77,58.86,72.94,46.53,64.46,56.96,63.31,62.36,63.67,62.57,61.99,65.16,66.76,59.76,54.58,53.33,44.64,44.34,58.52,59.85,56.75,56.89,61.5,60.86,60.07,59.95,55.27,58.35,65.96,64.73,62.91,68.72,67.96,70.76,63.12,67.42,61.16,58.15,55.05,60,62.69,59.36,58.43,63.36,54.91,62.69,66.7,64.26,64.77,67.12,68.88,69.01,75.37,73.23,77.13,79.86,80.8,79.83,79.94,77.79,80.29,82.58,80.88,82.14,84.7,85.2,83.46,80.67,83.61,76.83,80.86,79.47,79.01,79.93,83,85.26,89,86.73,83,82.12,80.3,83.83,79.96,81,80.2,89.7,87.26,85.87,86.98,86.87,85.84,87.44,89.55,90.32,89.02,86.97,92.74,89.46,89.96,91.38,96.01,98.01,102.39,103.59,104.86,108.4,114.12,113.2,117.11,117.51,118.71,119.49,124.34,129.34,130.71,132.51,133.79,137.76,140.99,140.98,139.44,142.22,149.98,147.33,149.04,152.82,154.14
"36","27","  Industrial supplies and materials, except petroleum and products","B649RA",33.03,31.4,30.45,34.97,39.14,39.06,38.13,38.25,31.25,40.66,37.7,36.68,35.98,36.44,36.36,39.02,38.59,43.18,42.39,36.95,43.1,42.96,43.64,47.07,47.62,44.81,42.59,42.89,40.55,42.34,44.8,45.65,40.49,33.92,33.69,37.9,41.34,44.17,45.5,46.79,43.93,48.13,49.56,49.69,51.34,53.06,52.67,52.42,49.72,51.68,49.95,49.9,49.13,44.66,39.77,42.07,45.35,48.29,48.35,48.68,44.03,42.43,43.49,42.88,46.47,49.24,52.66,56.91,62.17,64.01,63.16,65.22,62.66,65.24,63.19,64.59,66.68,67.13,65.76,69.69,67.14,64.87,65.26,69.33,69.38,66.11,66.25,67.78,66.6,65.51,65.04,65.82,66.77,65.74,67.67,66.93,62.58,64.91,66.14,68.69,70.7,71.97,72.31,73.4,75.45,76.89,79.45,82.14,84.78,88.85,91.73,94.62,95.27,96.7,93.16,92.75,95.86,98.23,102.14,103.77,104.01,107.58,109.97,111.56,116.78,120.56,120.8,121.51,119.63,123.02,126.2,131.39,132.63,133.35,135.05,133.06,133.23,127.05,127.11,126.66,128.49,131.91,135.07
"37","28","    Durable goods","B820RA",42.11,40.74,39.31,46.42,54.71,53.8,51.71,51.03,40.85,54.6,49.17,47.95,46.33,47.9,48.08,51.52,50.42,57.17,55.74,48.88,55.71,56.81,58.33,64.02,64.38,60.06,57.77,57.85,53.71,56.66,60,62.45,54.26,43.43,41.65,45.8,49.61,53.79,56.57,56.45,53.82,61.25,62.91,64.61,66.08,65.97,67.95,68,64.21,64.38,62.83,62.22,61.16,51.61,45.56,50.11,51.41,57.1,56.38,55.41,48.62,44.57,43.96,42.77,48.66,53.21,59.75,62.61,69.41,72.03,70.25,71.12,68.21,70.77,68.93,68.77,73.11,74.89,70.5,75.91,70.16,68,67.01,71.68,71.89,66.09,65.52,68.62,65.52,64.85,64.84,65.2,64.73,63.67,66.71,65.42,59.86,61.47,63.03,64.33,67.4,68.52,67.75,69.53,70.68,71.33,76.19,81.93,83.17,89.69,92.01,95.7,96.52,96.1,90.3,90.6,94.82,99.02,102.25,103.91,103.51,106.9,108.04,112.24,118.76,123.96,125.23,127.33,124.88,126.27,127.09,135.24,137.63,137.02,136.47,136.17,133.65,125.69,126.14,127.86,130.97,131.98,136.08
"38","29","    Nondurable goods","B696RA",24.63,22.82,22.29,24.51,25.09,25.71,25.8,26.58,22.43,27.95,27.16,26.33,26.44,25.94,25.65,27.58,27.74,30.38,30.16,26.04,31.5,30.3,30.24,31.66,32.36,30.9,28.77,29.26,28.53,29.27,30.93,30.39,27.94,25.19,26.31,30.52,33.6,35.21,35.26,37.77,34.74,36.07,37.28,36.03,37.82,41.12,38.66,38.15,36.43,39.96,38.08,38.53,38.02,38.08,34.27,34.55,39.55,40.03,40.79,42.25,39.56,40.14,42.65,42.57,44.08,45.25,45.89,51.33,55.2,56.32,56.3,59.37,57.16,59.74,57.51,60.33,60.32,59.52,61.05,63.53,64.08,61.7,63.44,66.92,66.81,66.13,67.02,66.87,67.76,66.22,65.25,66.48,68.9,67.92,68.7,68.53,65.38,68.45,69.35,73.16,74.09,75.51,76.99,77.38,80.35,82.61,82.81,82.36,86.44,87.96,91.43,93.49,93.99,97.31,96.07,94.94,96.91,97.43,102.04,103.62,104.52,108.27,112,110.84,114.69,116.96,116.09,115.32,114.03,119.57,125.3,127.3,127.25,129.4,133.43,129.96,132.6,128.03,127.77,125.13,125.63,131.5,133.72
"39","30","  Petroleum and products","B648RA",25.24,25.7,21.11,24.87,26.61,26.5,29.59,28.91,28.88,31.54,30.87,33.24,34.52,33.26,31.72,35.02,30.96,37.15,41.14,44.58,44.29,43.84,48.52,51.21,58.55,66.96,68.1,73.28,54.52,67.05,66.28,69.07,62.56,58,64.62,67.5,68.54,74.03,78.44,83.67,99.53,91.58,89.62,85.83,88.08,82.17,88.6,87.71,91.91,86.75,85.69,86.2,84.53,71.99,61.74,64.85,68.2,62.06,59.11,58.69,56.18,46.62,57.13,53.42,42.49,52.72,61.38,54.56,55.58,56.52,54.57,56.36,44.38,54.5,51.75,58.8,52.16,63.78,74.54,68.45,61.03,62.61,75.28,71.51,71.55,73.73,74.79,79.07,77.27,79.99,84.16,81.19,87.69,87.19,83.75,68.33,70.12,81.63,85.11,73.89,74.33,81.15,83.57,83.03,84.05,90.81,89.14,91.39,89.36,94.91,102.02,91.18,88.46,91.68,98.16,93.36,90.94,103.57,104.83,100.66,98.72,106.76,108.25,104.59,105.51,115.35,115.67,108.85,109.89,117.29,115.55,105.12,111.95,121.87,121.15,119.13,125.54,127.74,118.1,119.23,113.11,121.82,117.54
"40","31","  Capital goods, except automotive","B650RA",1.56,1.51,1.55,1.55,1.66,1.68,1.82,1.91,1.69,2.19,2.21,2.18,2.26,2.25,2.01,2.07,1.98,2.19,2.2,2.14,2.78,2.62,2.65,2.83,3.11,3.16,3.47,3.67,3.45,3.53,3.74,3.58,3.67,3.12,3.25,3.56,3.87,3.96,4.12,4.52,4.16,4.38,4.26,4.77,5.49,5.47,5.56,6.17,6.4,6.84,7.06,7.46,8.14,8.19,7.9,8.47,8.7,9.33,9.83,10.66,10.66,10.92,10.54,9.82,11.11,11.5,13.1,15.02,16.52,18.49,20.11,20.67,20.72,21.21,21.06,22.45,22.65,24.45,24.81,25.07,24.95,26.96,28.95,29.92,29.92,31.32,32.75,33.68,33.65,35.92,36.37,38.35,37.9,38.8,38.92,40.04,40.04,41.32,42.77,43.36,44.75,47.71,49.66,51.22,52.81,55.78,56.27,60.13,63.54,67.08,70.49,75.21,78.12,82.72,87.06,92.29,94.38,96.69,101.25,107.68,114.41,122.92,130.24,134.1,139.9,142.93,144.11,148.45,152.18,162.11,169.69,176.11,181.8,197.72,206.79,206.81,196.22,176.66,165.67,162.89,167.52,174.57,173.17
"41","32","    Civilian aircraft, engines, and parts","B932RA",5.43,4.05,4.77,5.18,6.6,6.83,5.63,8.16,6.52,5.89,5.96,6.27,5.67,6.9,5.5,7.1,7.41,8.21,7.94,5.01,11.26,14.79,14.43,18.72,17.96,16.62,19.44,19.56,16.93,19.49,18.43,13.19,14.75,16.82,10.91,12.58,10.5,8.68,8.52,8.64,8.66,11.83,10.71,17.03,15.78,17.5,15.18,15.81,22.13,21.28,19.57,30.93,42.89,49.64,42.2,55.1,55.2,51.89,46.29,60.55,49.67,46.82,37.74,44.03,40.73,34.03,32.06,47.91,41.27,37.42,49.23,45.3,54.28,64.88,55.97,67.07,58.07,83.51,64.43,67.33,61.05,77,79.04,87.66,72.24,95.32,93.52,92.16,87.3,108.73,96.06,111.8,94.77,107.11,98.37,126.51,102.43,111.26,113.11,103.56,106.77,119.41,109.3,114.94,93.01,102.02,90.42,106.65,96.1,103.37,82.68,99.32,87.83,92.81,85.34,86.9,88.28,99.79,102.69,109.25,106.85,117.05,143.42,137.62,135.42,169.12,168.17,179.8,165.07,169.65,188.13,175.85,168.77,179.35,189.52,215.44,216.89,214.44,210.36,221.53,197.04,168.58,149.01
"42","33","    Computers, peripherals, and parts \3\","B852RA",0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.06,0.07,0.07,0.09,0.08,0.09,0.1,0.11,0.14,0.17,0.17,0.2,0.21,0.26,0.25,0.28,0.31,0.32,0.4,0.44,0.45,0.52,0.54,0.6,0.65,0.74,0.86,0.93,1.45,1.8,2.08,2.52,2.94,3.5,3.88,4.01,3.8,3.75,4.03,4.66,5.39,6.04,6.66,7.14,8.11,9.35,10.93,12.08,12.36,13.02,13.74,13.89,14.82,15.85,17.3,18.88,18.84,18.49,18.53,19.43,21.7,23.16,25.5,26.41,28.47,31.81,35.67,37.1,39.91,43.04,45.96,48.4,51.56,56.36,60.96,67.26,68.24,73.81,81.27,90.8,93.2,97.76,102.05,106.99,117.73,129.36,138.76,142.26,154.3,160.99,163.49,178.99,192.94,211.23,218.44,225.47,226.85,246.92,262.6,256.16,241.04,224.7,213.39,220.78,245.29,248.65,245.89
"43","34","    Other","B853RA",2.89,2.83,2.9,2.88,3.04,3.06,3.37,3.46,3.09,4.07,4.08,4.03,4.18,4.07,3.64,3.7,3.49,3.87,3.87,3.82,4.81,4.43,4.5,4.73,5.25,5.34,5.81,6.19,5.8,5.87,6.26,6.07,6.2,5.14,5.51,6.03,6.6,6.77,7.04,7.72,7.08,7.36,7.13,7.84,9.1,8.92,9.14,10.14,10.34,11.04,11.53,11.82,12.61,12.45,12,12.56,12.95,14.05,15.1,15.99,16.29,16.72,16.18,14.51,16.17,16.61,19.2,21.31,23.74,26.71,28.55,29.58,29.48,29.85,29.71,30.81,30.83,31.93,32.89,32.7,31.9,33.46,35.42,35.75,36.25,37.03,38.91,40.36,39.89,41.82,42.19,43.55,43.74,44.78,45.41,45.1,44.95,45.6,46.4,47.42,48.28,50.33,51.95,53.27,55.72,58.18,58.28,61.96,66.36,69.05,73.51,76.73,81.42,85.58,89.46,93.22,95.26,96,100.84,107.9,113.86,120.97,125.6,130.52,134.8,133.41,134.35,134.26,136.66,144.5,150.95,159.1,167.37,182.43,189.34,188.26,177.71,155.68,144.22,137.29,140.29,152.35,153.52
"44","35","  Automotive vehicles, engines, and parts","B651RA",11.36,11.3,13.44,14.06,16.66,18.2,20.93,22.21,19.56,24.9,26.88,23.95,23.19,25.3,24.49,24.45,27.44,28.62,32.58,30.2,32.53,31.92,31.02,33.31,34.8,33.11,32.17,32.79,36.67,37.47,36.11,30.87,24.7,25.55,30.37,31.38,36.04,37.86,37.91,36.59,36.67,39.26,39.84,41.43,41.77,44.25,41.89,42.21,39.71,42.17,41.15,41.46,42.45,40.26,39.88,40.38,38.33,39.87,39.32,40.16,40.52,43.97,45.47,38.81,45.17,50.17,51.48,59.76,64.36,65.25,67.22,68.6,69.33,73.09,76.83,78.15,76.44,80.84,83.93,80.75,82.1,83.4,81.1,83.77,80.97,79.43,79.18,82.5,82.96,79.91,76.39,74.49,75.97,81.82,81.22,76.31,71.59,69.51,76.98,75.82,75.33,77.11,77.43,79.37,84.25,84.66,83.5,87.44,87.69,93.24,97.48,101.75,102.07,98.74,93.6,92.1,96.01,100.76,103.71,99.52,107.79,107.61,109.51,107.94,111.3,112.51,110.75,125.15,131.14,134.53,140.73,143.16,150.67,149.49,150.78,146.37,143.43,146.23,146.62,142.87,145.23,158.09,159.66
"45","36","  Consumer goods, except automotive","B652RA",9.86,9.74,10.02,10.85,11.95,12.25,13.19,13.67,13.21,16.12,15.45,15.5,15.83,15.79,16.68,16.51,16.66,18,15.92,17.63,21.35,19.59,20.88,21.31,22.94,21.41,20.65,20.32,18.91,20.18,19.6,18.08,14.76,13.92,14.88,15.98,17.44,18.53,19.81,21.04,23.04,23.25,23.02,23.44,27.38,29.02,29.16,28.39,28.05,28.43,28.62,29.71,29.65,29.66,27.41,28.95,30.63,31.13,31.37,33.53,33.57,31.82,33.66,33.33,37.44,37.38,40.03,44.48,48.05,50.16,51.56,51.36,53.63,53.88,54.78,57.28,58.36,60.35,61.34,63.25,62.37,63.72,62.48,62.59,63.56,61.63,64.01,65.67,63.85,66.88,67.88,68.1,65.31,65.9,65.95,65.07,63.05,63.96,67.1,72.73,71.23,73.38,74.88,75.35,77.54,78.94,81.13,82.01,81.95,85.6,87.66,90.99,93.33,94.18,94.11,91.56,95.6,97.23,101.74,105.43,107.17,112.53,116.05,120.47,125.04,129.47,131.29,131.98,137.48,140.95,148.33,154.46,160.13,169.76,174.19,179.1,176.42,175.21,172.24,170.94,175.71,189.68,194.3
"46","37","    Durable goods","B697RA",10.02,9.87,10.31,10.52,12.11,12.19,13.55,13.66,13.36,15.44,15.1,15.55,15.68,15.59,16.03,16.11,16.36,18.16,15.49,18.18,21.72,20.54,20.9,21.35,23.99,22.6,21.82,20.96,20.74,22.18,21.91,19.52,16.49,14.97,16.02,16.21,17.24,17.75,19.41,22.26,26.14,25.18,25.46,26.26,29.97,32.29,31.95,31.24,29.62,30.71,31.63,32.8,33.28,34.1,31.71,32.41,34.6,35.29,35.68,37.46,38.57,35.05,35.99,36.38,41.54,39.48,42.61,48.69,51.24,52.76,56.01,57.06,59.87,59.54,60.24,61.45,62.59,65.89,65.53,67.15,64.82,65.44,65.16,65.37,65.4,63.2,66.47,68.68,67.16,70,70.68,69.67,65.36,66.05,66.45,65.84,62.1,63.84,67.09,72.93,70.37,72.97,74.28,73.93,77.12,77.05,80.43,82.18,81.26,85.88,86.99,91.54,92.74,93.45,93.01,91.58,95.6,97.59,102.9,103.92,106.03,110.89,113.98,119.14,126.2,130.91,132.5,135.1,137.54,145.9,153.1,158.5,168.84,176.75,180.09,186.24,180.48,177.39,174,174.61,182.15,201.09,199.89
