"","Table 8#5# Contributions to Percent Change in Real Exports and i","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37"
"11","2","  Exports of goods \1\","A253RZ",6.14,4.08,8.86,-0.3,8.21,18.15,6.46,-1.89,3.81,1.04,8.69,9.27,9.57,-0.86,-7.07,-2.17,5.92,2.48,3.73,7.82,13.35,9.17,5.99,5.04,4.8,2.12,6.76,8.38,6.19,10.2,1.49,2.64,7.94,-4.23
"12","3","    Foods, feeds, and beverages","B638RZ",-0.19,-0.22,1.96,-0.28,1.86,3.97,-1.8,0.82,1.79,-0.01,2.91,0.84,1.66,0.27,-0.73,-0.51,-0.31,-1.52,0.25,0.51,0.73,0.57,0.02,0.12,0.79,-0.03,-0.01,0.65,-0.1,0.01,-0.05,0.18,0.27,0.13
"13","4","    Industrial supplies and materials","A639RZ",3.24,1.1,2.85,-2.3,1.39,4.87,0.68,-3.03,1.69,0.18,2.18,3.11,3.17,-1.61,-0.64,-1.04,1.06,0.04,0.86,0.48,2.41,2.44,0.78,1.26,0.3,-0.45,0.91,1.3,0.79,1.4,-0.16,0.17,1.48,-0.58
"14","5","    Capital goods, except automotive","A640RZ",0.75,1.45,3.03,1.12,2.42,6.56,5.68,0.4,-0.37,-0.42,3.52,4.98,4.37,0.11,-3.26,-0.95,2.75,2.49,2.36,3.89,6.74,4.62,3.68,2.63,2.5,1.73,4.22,5.26,4.43,6.51,1.29,1.7,4.79,-3.21
"15","6","    Automotive vehicles, engines, and parts","B641RZ",1.55,0.62,-0.18,0.93,0.98,1.41,0.84,0.39,0.37,0.06,0.23,0.05,-1.26,-0.07,-1.21,0.21,1.21,0.67,-0.14,0.61,1.39,0.15,0.12,0.44,1.03,0.8,0.71,0.45,0.31,0.97,-0.18,0.25,0.45,-0.47
"16","7","    Consumer goods, except automotive","A642RZ",0.44,0.37,0.31,0.01,0.84,1.17,1.19,-0.41,0.63,0.44,0.89,0.32,1.26,-0.26,-0.59,-0.49,-0.03,-0.15,0.52,0.92,1.53,2.03,0.99,0.29,0.59,0.41,0.77,0.49,0.58,0.78,0.31,0.09,0.81,-0.07
"17","8","    Other","A643RZ",0.34,0.75,0.89,0.21,0.74,0.18,-0.12,-0.05,-0.3,0.79,-1.04,-0.03,0.36,0.69,-0.65,0.6,1.23,0.95,-0.11,1.4,0.55,-0.65,0.41,0.28,-0.4,-0.34,0.15,0.24,0.18,0.53,0.28,0.24,0.15,-0.03
"18","9","  Exports of services \1\","A646RZ",1.15,1.35,1.98,1.03,-0.09,3.74,3.06,1.23,2.09,1.48,1.77,0.35,1.14,2.01,-0.02,-0.27,2.44,0.24,3.63,3.41,2.72,2.63,2.76,1.48,1.35,1.21,2.18,1.9,1.97,2.07,0.65,0.74,1.79,-1.14
"19",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","    Imports of goods and services","A021RL",14.9,5.7,4.3,5.3,11.2,4.6,-2.3,-11.1,19.6,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.4,6.1,3.8,3.9,3.8,-0.5,6.6,9.1,12,8.2,8.6,13.7,11.8,10.9,13.2,-2.9
"21",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","11","  Imports of goods \1\","A255RZ",14.35,3.99,2.87,6.11,10.19,5.42,-2.24,-10.33,18.21,10.04,7.49,1.44,-6.3,1.74,-2.1,11.2,20.09,5.15,8.34,3.82,3.31,3.44,2.47,-0.05,7.43,8.25,10.94,7.52,7.84,11.89,9.8,10.19,11.39,-2.78
"23","12","    Foods, feeds, and beverages","B647RZ",1.55,-0.6,0.72,0.35,0.66,0.25,-0.7,-0.93,1.1,-0.08,0.91,0.19,-0.9,0.24,0.11,0.5,0.77,0.22,0.13,0.13,-0.19,0.09,0.17,-0.2,0.23,0.05,0.1,0.08,0.37,0.38,0.28,0.34,0.24,0.14
"24","13","    Industrial supplies and materials, except petroleum and products","A649RZ",4.74,-1.39,0.24,1.93,2.12,0.14,-0.54,-3.26,4.11,1.43,1.75,-0.73,-2.22,1.35,-1.53,2.79,3.72,0.07,0.75,-0.14,0.15,-0.34,0.21,-0.22,1.2,1.1,1.83,0.66,0.78,1.09,1.38,0.55,0.83,-0.45
"25","14","    Petroleum and products","B648RZ",0.78,0.58,0.41,0.76,1.28,2.75,-0.57,-0.34,4.6,4.63,-1.3,0.25,-5.29,-3.46,-3.36,-0.2,0.95,-0.86,2.23,0.36,0.8,0.61,0.13,-0.46,0.3,0.77,0.43,-0.1,0.53,0.34,0.37,0.03,0.42,0.27
"26","15","    Capital goods, except automotive","A650RZ",0.89,1.04,0.29,-0.07,1.93,1.83,0.53,-0.38,1.72,0.54,2.23,1.92,1.62,1.86,1.04,2.65,6.37,1.84,2.02,2.25,2.55,2.35,1.47,1.39,2.94,3.28,4.78,5.13,4.13,5.79,3.49,3.48,4.65,-2.73
"27","16","    Automotive vehicles, engines, and parts","B651RZ",3.44,1.9,0.23,2.27,1.03,0.38,0.64,-2.14,3.23,0.66,0.92,-0.38,-0.09,-0.32,0.71,2.62,3.79,1.73,1.35,0.45,-0.42,-0.41,0.07,-0.98,0.73,1.38,1.71,0.24,0.48,1.12,0.85,2.61,1.23,-0.41
"28","17","    Consumer goods, except automotive","A652RZ",2.76,2.08,0.97,0.7,2.97,0.38,-1.32,-2.65,3.09,2.32,2.77,0.1,0.09,1.09,0.55,2.7,3.83,1.4,1.78,0.57,0.26,0.81,-0.29,0.29,1.84,1.56,1.55,1.39,1.28,2.54,2.53,2.37,3.33,0.33
"29","18","    Other","A653RZ",0.19,0.38,0.01,0.17,0.2,-0.31,-0.29,-0.63,0.37,0.54,0.21,0.08,0.49,0.97,0.38,0.16,0.66,0.75,0.08,0.19,0.16,0.34,0.71,0.12,0.19,0.1,0.54,0.11,0.27,0.62,0.9,0.82,0.7,0.07
"30","19","  Imports of services \1\","B656RZ",0.55,1.7,1.4,-0.77,1.03,-0.78,-0.02,-0.78,1.34,0.87,1.18,0.22,-0.34,0.88,0.85,1.42,4.25,1.31,0.05,2.24,0.5,0.51,1.38,-0.45,-0.8,0.86,1.02,0.68,0.79,1.78,1.96,0.71,1.81,-0.08
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32"," 1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","in services.  Beginning with 1986, repairs and alterations of equipment were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","  Note.~ The quantity indexes on which the estimates in this table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are based are shown in table 7.10.  The estimates in this table differ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","from those in table 8.2 because this table shows contributions to real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","exports and to real imports, whereas table 8.2 shows contributions to real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","gross domestic product.  Because imports are subtracted in the calculation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of gross domestic product, the contributions of components of real imports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","have opposite signs in this table and in table 8.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
