"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"55","47","    Chemical and allied products wholesalers","S42260",4672,4736,4636,4733,4735,4819,4939,5084,5209,5270,5268,5464,5571,5562,5326,5419,5488,5565,5453,5418,5569,5670,5785,5941,6100,6062,5939,6222,6169,6553,6855,6930,7253,7354,7517,7769,7798,7994,7922,7865,8154,8526,8518,8921,9357,9745,10377,9354,8672,8436,8421,8337,8683,8986,9339,9731,10274,11027,11003,10912,11071,10940,11349,11799,11489,11562,11480,12327,11944,12412,12419,12284,11833,12621
"56","48","    Petroleum and petroleum products wholesalers","S42270",5141,4702,4712,4572,3967,4049,4218,3823,3909,4082,4597,5070,5623,5715,5758,5928,5764,6017,5609,5092,5689,5492,5981,6432,6818,6168,6557,7079,7341,7792,9526,10568,11687,11016,15088,14695,15744,16669,16156,15252,16174,17560,18187,22628,20011,23028,21404,12235,13839,15900,18065,23660,23627,21931,23354,26076,29358,30279,26847,29123,28529,24441,27979,27897,27124,26342,27739,26892,26805,27271,24355,18933,18503,20090
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4608,4941,5081,5232,5494,5269,5335,5482,6083,5816,5756,5789,5860,5893,5992,6165,6085,6232,6183,6058,6312,6253,6350,6578,6608,6581,6668,6941,6951,7091,6964,7434,7682,7771,8077,8221,8426,8515,8677,8977,9167,9439,9972,10176,10586,10760,11159,11482,11640,11539,11047,10853,10950,10955,11194,11439,11783,12008,11930,12408,12476,12797,13409,13495,13748,13990,14177,14346,14600,14826,15157,15309,15502,15672
"58","50","    Miscellaneous nondurable goods wholesalers","S42290",14685,14757,15579,15442,15670,15815,15854,16608,16460,16039,16910,16764,16820,16776,16903,17223,17389,17983,17377,16633,16628,17050,17336,17313,17363,16705,17406,17612,17550,18323,18589,19745,19853,20667,20641,20731,20746,20554,20684,20776,22661,22029,22495,23689,25583,27599,28361,26499,25460,24309,23712,23750,24097,24080,24960,26030,26824,28357,28099,28937,28492,29060,29800,30286,31233,30920,30965,30675,31847,31711,32298,33310,32941,33602
"59","51","Retail trade industries","N382RC0",329293,332460,335020,336519,343014,343541,344856,349918,358232,363161,367726,378611,381762,391353,396413,401620,396139,396942,398456,386748,391197,397067,402358,410737,418894,419227,423234,428779,439021,449015,455364,464892,471347,468729,471177,477222,480839,485579,489459,492212,493768,498526,505782,513406,509063,508930,505999,486796,468748,457339,443542,445849,452212,459509,470133,475806,485233,488152,492538,494708,505319,515551,524005,528630,534805,540322,548581,560132,565320,571351,575911,573861,578503,590269
"60","52","  Motor vehicle and parts dealers","N864RC0",101646,102387,102988,104186,106714,105353,104568,106772,112103,112817,114347,119945,120253,126691,130633,133204,126628,128212,130079,122348,126458,130579,131081,137293,142376,144296,144242,146457,150509,154235,156388,158263,159072,154658,153491,155341,155983,156375,155932,154420,151337,152766,158201,158447,155874,153325,149533,145197,132944,124776,115108,115425,119383,124899,131857,129901,131878,133152,134523,135644,144368,152413,157177,158677,162048,165448,169660,176980,177347,180992,183473,181645,185570,190424
"61","53","  Furniture, furnishings, electronics, and appliance stores","S44230",24328,23678,23115,22818,22628,22073,21498,21495,21438,21759,22026,22440,22797,23334,22868,23414,23058,22282,21745,21794,22284,22318,22957,22948,22907,23552,23755,24154,25093,25748,26257,27261,27229,28050,27438,27628,28191,28187,28064,28192,28669,28514,28737,29156,27960,27677,28301,25858,25054,24507,24266,23901,24159,24876,25240,25613,25493,25299,24990,24974,25241,25815,25610,25916,25931,25225,25511,25797,25749,26288,26007,26022,25988,25799
"62","54","  Building material and garden equipment and supplies dealers","S4440",32420,32971,33401,33519,34084,34241,35022,35431,36078,36614,36849,37734,38052,38487,38955,38965,38975,39194,39082,39016,39726,40064,40631,41297,41647,41586,42658,42975,44203,45937,46620,48041,48735,48604,49438,51621,51837,52594,53704,53202,52766,54849,54210,55340,54635,55792,55881,53150,51737,50149,49931,49875,49801,50104,49700,50802,51924,52005,52342,52275,52961,53437,53891,53703,54717,55077,56085,56621,57260,57281,58315,58506,58412,59498
"63","55","  Food and beverage stores","N239RC0",27676,27627,28066,27832,28121,28602,28713,29228,29611,30106,30866,30925,31016,30763,30881,30999,31719,31909,32105,32104,32496,31988,32639,32797,32966,32531,33655,33772,33909,34560,34810,35095,35416,35240,34889,35828,35544,36002,37107,37449,38609,38616,39798,41569,42219,43098,43319,42384,42343,42150,41939,42653,43892,42890,43220,44711,45775,45796,46624,46847,47346,47145,47969,48584,48687,49284,49466,49709,50771,51698,52051,52568,52173,52131
"64","56","  Clothing and clothing accessories stores","S4480",26126,26926,27297,27500,28024,28323,28878,28786,29107,29546,29038,30137,30650,31152,31970,32769,32649,32360,32307,31639,31224,32209,33033,33645,34261,33931,34159,34652,35081,35910,36681,37448,38658,38785,39282,39322,40665,42111,42812,44324,44701,44066,44489,44497,44368,43829,43736,42720,41828,40897,39334,38517,38464,39149,39483,40588,41910,42476,43514,42944,42906,43321,43650,43959,44397,44552,45204,46054,46592,46841,47182,47736,48657,49498
"65","57","  General merchandise stores","N240RC0",57874,58684,58429,58252,58528,58686,59451,59404,60106,60726,61443,62433,62659,63352,63146,63730,65353,65635,65615,64166,63589,63541,64691,66115,66483,67024,67950,68562,70441,71775,71955,74201,76213,76514,77352,78037,77524,77274,78892,80222,81191,81701,81455,82431,81781,82182,82838,80879,79773,79268,77846,78282,78745,79691,81055,82197,84901,85628,86741,87382,87135,87888,87920,89883,89816,89722,89710,89962,91226,90775,91509,91061,90607,93074
"66","58","    Department stores","S45210",41851,42385,42115,42098,41952,41760,42033,41535,41814,41903,41846,42311,42071,42160,41498,41687,42340,42051,41718,39948,38927,38261,38155,38517,38133,38005,37766,37465,37959,38185,37990,38639,39958,39222,39366,39697,38853,38276,38712,39163,39083,39207,38866,38974,38297,37591,37474,36270,35524,35252,34581,34133,34498,34992,35443,36497,37025,36849,37187,36905,34968,34331,32473,32460,33360,34246,35121,36151,36208,35479,35468,34965,35037,35451
"67","59","    Other general merchandise stores","S45290",16023,16299,16314,16154,16576,16926,17418,17869,18292,18823,19597,20122,20588,21192,21648,22043,23013,23584,23897,24218,24662,25280,26536,27598,28350,29019,30184,31097,32482,33590,33965,35562,36255,37292,37986,38340,38671,38998,40180,41059,42108,42494,42589,43457,43484,44591,45364,44609,44249,44016,43265,44149,44247,44699,45612,45700,47876,48779,49554,50477,52167,53557,55447,57423,56456,55476,54589,53811,55018,55296,56041,56096,55570,57623
"68","60","  Other retail stores","S44X0",59223,60187,61724,62412,64915,66263,66726,68802,69789,71593,73157,74997,76335,77574,77960,78539,77757,77350,77523,75681,75420,76368,77326,76642,78254,76307,76815,78207,79785,80850,82653,84583,86024,86878,89287,89445,91095,93036,92948,94403,96495,98014,98892,101966,102226,103027,102391,96608,95069,95592,95118,97196,97768,97900,99578,101994,103352,103796,103804,104642,105362,105532,107788,107908,109209,111014,112945,115009,116375,117476,117374,116323,117096,119845
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
