"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","3","  Durable goods manufacturing industries","N377RC0",261353,261560,261382,261512,262820,262723,263509,264139,264117,265920,265235,267184,268933,268966,271028,272718,272995,273512,273035,273528,273581,275061,274198,272899,271902,271903,273990,273607,273478,273811,276401,276176,278506,278515,281746,284245,284215,288972,287585,286690,286556,288743,290577,292890,291605,292579,294528,292544,295151,292465,290346,290098,287231,284841,282204,279078,277906,275073,272705,269598,268913,268068,266778,266106,264598,265444,264101,263957,264476,264190,262833,265910,264902,267054,266489,266170,266194,263868,261259,260873,259918,261259,261125,263100,264783,267224,268445,271344,273055,275628,279526,282224,283514,284661,286521,286725,290519,294064,296096,296104,296652,295987,299489,300341,303364,305971,308489,310210,314978,317146,320427,326053,329279,331543,335662,335557,338529,341091,341195,341520,343845,344350,347096,350291,351040,351571,351587,349209,350199,351928,354210,358088,360372,364609,371977,375068,378349,381031,384094,384993,378917,371365,362318,355127,355453,350763,344443,342180,339691,335990,334096,333796,333467,333876,335124,334756,336730,339758,343900,346765,348662,350370,349892,351919,356478,360240,363783,367821,374243,379051,384736,388899,392615,394611,397597,397565,395855,395079,395726,397849,380094,383651,387428,389291,390268,391353,393561,398611,401647,403538,406189,409377,408129,409895,408575,408903,406617,407058,408655,409301,411311,412614,412910,415475,419108,422220,423924,423842,427090,429353,431049,432991,434436,436982,438552,438829
"12","4","    Wood product manufacturing","S3210",8399,8532,8541,8609,8600,8633,8713,8919,9048,9164,9181,9134,8998,9022,9006,9126,9191,9016,9057,9156,9223,9236,9245,9118,9259,9183,9206,9130,9212,9390,9634,9668,9459,9486,9594,9829,9997,10073,9947,10035,9845,9914,9917,9814,9663,9772,9816,9763,9790,9665,9620,9505,9687,9900,9868,9747,9722,9616,9510,9226,9333,9378,9550,9576,9608,9623,9509,9567,9777,9759,9687,9618,9740,9938,9911,9916,9806,9697,9660,9570,9594,9758,9895,9984,10030,10376,10701,10958,11068,10906,10859,10988,11353,11279,11285,11239,11826,11942,12243,12202,12104,12060,11952,11891,12005,12206,12101,12222,12057,12153,12123,12332,12409,12499,12467,12526,12474,12359,12235,12215,12368,12342,12347,12317,12294,12391,12492,12378,12248,12214,12198,12309,12271,11854,11626,11500,11572,11714,11859,11803,11805,11695,11456,11197,11163,10598,10341,10145,9782,9629,9570,9438,9241,9040,8852,8785,8881,8995,9155,9209,9412,9530,9441,9439,9537,9455,9416,9459,9611,9751,9677,9598,9565,9441,9337,9289,9265,9383,9538,9489,9466,9493,9474,9575,9583,9691,9689,9763,9865,9886,9871,9947,10016,10151,10322,10361,10422,10407,10408,10429,10413,10520,10811,10747,10898,10939,10968,11007,10988,10988,11140,11139,11075,11092,11138,11186
"13","5","    Nonmetallic mineral product manufacturing","S3270",9130,9152,9114,9134,9144,9199,9161,9147,9141,9179,9204,9302,9247,9237,9240,9262,9201,9227,9190,9240,9274,9271,9274,9211,9285,9244,9182,9206,9264,9254,9301,9467,9572,9658,9671,9841,9929,10103,9901,9952,10027,10068,10079,10214,10177,10202,10280,10480,10566,10476,10532,10462,10319,10347,10304,10215,10275,10210,10195,10066,9962,9894,9920,9939,9951,10016,10010,10024,10156,10281,10298,10426,10375,10447,10669,10693,10762,10742,10744,10704,10634,10569,10517,10516,10518,10553,10489,10585,10737,10783,10866,11021,11182,11348,11448,11485,11496,11621,11686,11684,11747,11868,11983,12042,12096,12161,12188,12262,12471,12574,12657,12854,12889,12975,13160,13281,13357,13381,13557,13543,13510,13571,13691,13782,13840,13901,13923,13968,14064,14165,14330,14524,14585,14562,14802,14855,14926,15020,15158,15161,15049,14890,14744,14729,14811,14503,14369,14138,13861,13609,13293,13030,12884,12816,12680,12476,12513,12433,12548,12402,12436,12433,12543,12564,12625,12677,12749,12863,12814,12929,12965,13057,13168,13220,13277,13274,13282,13269,13223,13296,12321,12481,12607,12748,12722,12818,12919,13110,13256,13366,13550,13658,13693,13786,13792,13696,13728,13801,13838,14011,14072,14042,14140,14269,14355,14245,14386,14386,14503,14656,14400,14412,14421,14612,14640,14635
"14","6","    Primary metal manufacturing","S3310",20722,21002,21416,21257,21365,21471,21424,21596,21562,21707,21664,21594,21422,21059,21073,21136,21230,21306,21179,21220,21334,21062,20947,20777,20655,20528,20483,20512,20868,21082,21231,21452,21620,22021,22413,22691,22884,23034,22899,22707,22767,22635,22814,22963,22936,23038,22811,22666,22967,22687,22388,22079,21580,21174,20716,20484,20360,20271,19946,19833,19654,19586,19418,19380,19459,19728,19709,19682,19775,19839,20080,20310,20379,20811,20626,20498,20361,19933,19634,19520,19423,19211,19383,19573,19923,20579,21035,21576,21682,22177,22750,23419,24092,24966,25629,26000,26634,27217,27924,28038,27918,27711,27727,27801,27978,28235,28926,29579,30298,30921,31200,32224,33458,33681,33947,34215,34830,35206,35361,35317,35246,35507,36215,36833,36777,37027,37098,36532,35804,35628,35616,36059,36709,38001,39771,40901,41677,42139,42422,42571,40854,38322,35316,33252,32122,30803,29376,28027,27064,26641,26333,26863,27302,27147,27088,27359,27741,28102,28851,29957,30379,30181,30126,30198,30730,31509,32237,32945,34018,34881,35616,36380,36825,37093,37489,37484,36990,36426,36577,36667,34053,34662,34631,34412,34159,33722,33316,33508,33977,34408,34153,34320,34056,34013,33799,33244,33009,33137,33332,33548,33754,33778,34005,34274,34419,34623,34705,35201,35764,36129,36544,36879,36908,36893,37030,37039
"15","7","    Fabricated metal product manufacturing","S3320",29643,29639,29956,29799,30084,30311,30282,30356,30411,30502,30751,31122,31047,30918,31033,31187,31125,31480,31203,31259,31381,31308,31167,30971,31046,30770,30890,30959,31043,30961,31061,31221,31505,31659,31859,32264,32245,33030,32732,32543,32986,33163,33451,33570,33509,33604,33697,33325,33615,33300,33266,33014,32336,32800,32468,32114,32255,32149,31906,31501,31666,31607,31784,31644,31281,32134,31917,31961,32199,32105,32119,32403,32279,33146,33604,33218,32996,32709,32035,32057,32003,32126,32542,32711,33187,33943,34048,34595,35090,35632,36535,37453,37642,37720,37794,38011,38398,38957,39225,39282,39418,39056,39347,39517,39802,40114,40743,41029,41666,42095,42468,43190,43779,44363,44955,45166,45399,45624,45588,45850,46348,46724,47458,47806,47758,47693,47591,47054,47221,47556,47782,48495,49116,50043,51417,52741,54333,54916,55778,55836,54615,52090,50230,48878,48230,47495,46320,45556,44979,44496,44134,44387,44381,44080,44023,44197,44682,44850,45675,46205,46069,46250,46258,46350,46525,46659,46985,47713,48757,49417,50083,51030,51769,51933,52201,52392,52047,51852,52280,52513,52405,52749,52835,52980,52742,52487,52298,52628,53001,53048,52948,52955,52745,52822,52990,52802,52642,52804,52939,53050,53271,53504,54134,54739,55328,55393,55289,55447,55706,55801,56051,56419,56247,56411,56263,55949
"16","8","    Machinery manufacturing","S3330",35318,35011,34967,35153,35649,35725,35491,35607,35618,35927,36223,36328,36419,36752,36775,36971,36863,36545,37035,37502,37527,37606,37782,37250,37819,37492,37372,37714,37358,36910,37477,37258,37080,37397,37903,37732,38330,39372,38889,39157,39167,39336,40006,40458,40190,40669,40624,40753,41252,40667,40733,40908,39999,39558,39256,38148,38317,37438,37222,36755,36934,36609,36719,36904,36412,36093,36283,36151,35962,36160,35914,36483,36437,36360,35933,36093,35900,35643,35553,35266,35207,35567,35105,35350,35758,36085,35868,36245,36814,36968,37466,37965,37915,37896,38524,38302,38868,39281,39574,39748,39914,39769,40340,40794,41225,41471,41707,41920,42594,42875,43218,43910,44537,44630,45331,45460,46287,46624,46500,47039,47828,47793,47782,48038,48046,48151,48531,48476,48661,49118,49134,49426,49960,50342,51652,52317,53092,53429,54193,54148,53196,52254,51227,50765,51967,51137,50025,49433,48708,48032,47624,47613,47147,46799,46431,46090,46368,46310,46600,47043,47173,47327,48053,48210,48580,49521,50143,50436,51798,52603,53395,54305,55223,55943,56601,56980,57207,57940,58540,58237,53661,54711,55155,56267,56655,56767,57702,58713,59376,59746,60032,60621,60308,60410,60487,60761,60274,59864,60287,60641,61118,61439,60741,61150,61382,61832,61438,61590,61966,62280,62231,61830,62223,62859,62666,62402
"17","9","    Computer and electronic product manufacturing","S3340",55835,55368,55002,55236,55217,55017,56159,56099,56038,56234,56597,56268,56514,55946,56621,56834,56488,55732,54911,54006,53186,53180,52676,51943,51853,52177,53708,53654,53530,53752,53211,53491,54031,53234,53769,54961,54543,55617,55798,56064,56994,58429,59656,61248,60451,61682,63788,64200,65293,64896,63825,63849,63690,62607,61440,60763,58966,57671,57013,55383,54919,53988,53678,53304,52561,52053,51322,51141,50841,50205,49616,49285,48294,48393,48439,48164,48428,47921,47375,46894,46395,46810,46765,47009,46648,46640,47447,47701,47621,48295,48703,48599,48815,49088,48714,49055,49708,49712,49057,49281,49447,49358,50401,50489,50706,50788,51105,50765,52324,51771,52435,53018,52621,52599,53227,53189,53145,53778,53494,53416,53378,52460,52581,52922,53081,52729,52206,51252,51863,52373,52436,52166,52046,53088,54496,54686,55014,55493,55713,56429,56045,56025,55643,54684,55987,55721,54681,55415,55174,54906,53811,54147,55020,54889,55520,55985,54760,55710,56370,55566,56331,57519,56217,56719,57521,58441,58333,58703,58961,59443,60523,60934,61251,61706,62379,61701,61166,61020,60372,61192,54246,54907,56896,56895,56532,57217,57728,59375,59949,59905,61197,61993,61462,61240,60777,61290,61136,61245,61584,60967,60849,60613,60511,60711,60761,60819,61334,60778,61395,61641,61478,61814,62016,62317,62206,62268
"18","10","    Electrical equipment, appliance, and component manufacturing","S3350",12571,12716,12825,12934,13114,13205,13321,13312,13231,13154,13178,13159,13197,13151,13260,13182,13092,13069,13048,13135,13105,13180,13158,13077,12976,12855,12829,12914,12991,13069,13123,13064,13371,13458,13490,13529,13600,13868,13764,13728,13796,13814,14140,14397,14556,14548,14345,14431,14463,14496,14381,14399,14163,13929,13694,13580,13648,13638,13494,13411,13422,13471,13431,13501,13514,13558,13654,13582,13608,13560,13522,13483,13511,13564,13542,13571,13554,13432,13226,13215,13085,13134,13184,13306,13466,13419,13546,13573,13735,13889,14017,14276,14333,14386,14328,14391,14448,14547,14712,14743,14711,14594,14550,14539,14767,14953,15100,15268,15533,15699,15954,16383,16633,16954,17170,17403,17197,17331,17377,17620,17515,17601,17799,18112,18250,18234,18314,18256,18065,18441,18763,18913,19228,19812,20031,20439,20335,20563,20527,20474,20039,19334,18611,18006,17614,17265,17255,17106,17180,16994,16953,17140,17202,17035,17071,17107,17273,16985,17341,17305,17408,17409,17471,17815,18153,18302,18386,18466,18721,19102,19212,19419,19594,19761,19880,19837,19560,19406,19328,19383,19821,20021,19951,20060,19916,19776,19642,19642,19917,20074,20031,20094,20214,20308,20189,19930,19638,19862,19824,19831,19847,19799,19887,19958,19838,19715,19515,19598,19683,19324,19649,19870,19675,19638,19617,19377
"19","11","    Transportation equipment manufacturing","S3360",68635,69139,68428,68533,68642,68077,68090,67957,67903,68801,67073,68651,70606,71343,72430,73112,73733,75476,75472,76059,76579,78180,78101,78847,77309,77945,78438,77486,77054,77148,78944,78092,79173,78696,79935,80125,79015,79811,79626,78612,76923,77246,76226,75619,75333,74193,74172,72131,72163,71173,70118,70722,70231,69252,69649,69503,69815,69852,69319,69371,69285,69831,68480,68219,68116,68321,67775,68028,67848,68139,67562,69556,69351,69735,68860,69041,69346,68617,67773,68330,68205,68610,68133,68847,69130,69232,68814,69458,69584,70234,71296,71243,70740,70502,71382,70826,71486,72907,73715,73044,73358,73280,74611,74247,75284,76258,76580,76947,77325,78088,79247,80544,81214,82303,83663,82372,83856,84689,84958,84249,85174,85739,86539,87863,88150,88422,88338,88607,89399,89521,90906,92840,93223,93895,94924,94773,94592,94814,94914,94732,93475,93231,91891,90327,90487,90515,89418,89834,90507,89342,90385,88915,88083,89865,91013,90367,91950,93659,94297,95561,95662,95924,95828,96428,98298,99176,100879,102101,104081,104990,107209,107923,108825,109187,110084,110264,109967,109626,109880,111098,107963,108606,109825,109950,111534,112535,113827,115449,115791,116560,117741,118701,118768,119894,118885,119677,118870,119230,119846,120068,120987,121662,121435,122277,124466,126883,128212,128412,129573,130774,131605,132567,133865,135133,137000,137944
"20","12","      Motor vehicle and parts manufacturing","S3MV0",22671,22894,23197,23226,23640,23009,22781,23036,23270,22975,22810,22944,23265,22980,23502,22958,22793,23719,22969,22494,22656,22502,22970,23007,22730,22484,23199,22955,22802,23161,23696,23646,23619,23795,24509,24858,24771,25194,24937,24822,25133,25145,25388,25563,25286,25461,25504,25124,24966,24533,23956,24270,23823,23681,23564,23138,23041,22818,22321,22212,21734,21683,21889,22336,22550,22791,23019,22877,23343,23412,23383,23655,23324,23823,23529,23591,23564,23408,23399,23723,23419,23614,23880,24242,24741,24677,24790,24936,24985,25364,25712,25743,26164,26259,26408,26184,26539,26736,27302,27151,27053,27118,26997,26965,26692,27400,27620,27474,27439,27722,28075,28593,28642,29038,29478,29146,29260,29251,29524,29373,29557,29584,29612,29450,29350,29211,29102,28948,29060,28917,28635,28870,28533,28623,29161,28989,28997,29307,29016,28809,28072,27701,26781,25839,25410,25390,24953,24656,24526,23388,23194,23225,23088,23118,23206,23588,24080,25594,25719,26058,26090,25706,25696,25905,25921,26056,26573,26563,27059,27357,27584,28074,28342,28385,28702,28820,29107,29055,29011,29204,25669,26091,26970,26963,27630,28253,28772,29371,29710,30415,30961,31641,31267,31258,30906,31006,31310,31369,31671,32241,32519,32852,32792,33160,33440,33170,32795,32525,31740,31362,30945,30698,30596,30082,29806,29533
"21","13","      Other transportation equipment manufacturing","S3OT0",45964,46245,45231,45307,45002,45068,45309,44921,44633,45826,44263,45707,47341,48363,48928,50154,50940,51757,52503,53565,53923,55678,55131,55840,54579,55461,55239,54531,54252,53987,55248,54446,55554,54901,55426,55267,54244,54617,54689,53790,51790,52101,50838,50056,50047,48732,48668,47007,47197,46640,46162,46452,46408,45571,46085,46365,46774,47034,46998,47159,47551,48148,46591,45883,45566,45530,44756,45151,44505,44727,44179,45901,46027,45912,45331,45450,45782,45209,44374,44607,44786,44996,44253,44605,44389,44555,44024,44522,44599,44870,45584,45500,44576,44243,44974,44642,44947,46171,46413,45893,46305,46162,47614,47282,48592,48858,48960,49473,49886,50366,51172,51951,52572,53265,54185,53226,54596,55438,55434,54876,55617,56155,56927,58413,58800,59211,59236,59659,60339,60604,62271,63970,64690,65272,65763,65784,65595,65507,65898,65923,65403,65530,65110,64488,65077,65125,64465,65178,65981,65954,67191,65690,64995,66747,67807,66779,67870,68065,68578,69503,69572,70218,70132,70523,72377,73120,74306,75538,77022,77633,79625,79849,80483,80802,81382,81444,80860,80571,80869,81894,82294,82515,82855,82987,83904,84282,85055,86078,86081,86145,86780,87060,87501,88636,87979,88671,87560,87861,88175,87827,88468,88810,88643,89117,91026,93713,95417,95887,97833,99412,100660,101869,103269,105051,107194,108411
"22","14","    Furniture and related product manufacturing","S3370",6918,6844,6900,6843,7028,7029,7053,7011,7029,6989,7049,7128,7074,7108,7077,7199,7279,7203,7131,7193,7185,7198,7142,7127,7146,7124,7187,7241,7249,7283,7424,7421,7378,7491,7568,7632,7752,7889,7879,7853,7873,7945,7894,7930,8008,7983,8047,7961,7975,7963,8217,8113,8029,7932,7767,7615,7682,7568,7549,7377,7315,7364,7376,7334,7380,7403,7493,7489,7663,7669,7708,7803,7867,7868,7914,7943,7915,7923,8033,7999,7971,8105,8156,8140,8104,8297,8392,8574,8580,8544,8562,8734,8829,8769,8686,8772,8882,8970,9006,8905,8873,8942,8922,8971,9241,9315,9340,9372,9509,9524,9620,9647,9629,9642,9630,9631,9599,9640,9627,9527,9588,9661,9547,9600,9582,9630,9605,9538,9499,9478,9455,9506,9512,9460,9523,9476,9688,9699,9778,9738,9607,9377,9143,8943,8886,8617,8525,8394,8289,8167,8099,8090,8082,8050,8029,8016,8054,8083,8175,8463,8512,8402,8337,8316,8313,8322,8287,8289,8424,8491,8494,8519,8484,8425,8483,8441,8412,8321,8284,8320,8347,8364,8380,8471,8491,8497,8504,8478,8522,8589,8654,8693,8744,8852,8868,8848,8775,8740,8735,8789,8801,8834,8871,8965,9003,9009,9058,9052,9104,9142,9185,9254,9272,9270,9244,9206
"23","15","    Miscellaneous durable goods manufacturing","S3390",14182,14157,14233,14014,13977,14056,13815,14135,14136,14263,14315,14498,14409,14430,14513,14709,14793,14458,14809,14758,14787,14840,14706,14578,14554,14585,14695,14791,14909,14962,14995,15042,15317,15415,15544,15641,15920,16175,16150,16039,16178,16193,16394,16677,16782,16888,16948,16834,17067,17142,17266,17047,17197,17342,17042,16909,16866,16660,16551,16675,16423,16340,16422,16305,16316,16515,16429,16332,16647,16473,16327,16543,16669,16792,16991,17033,17126,17251,17226,17318,17401,17369,17445,17664,18019,18100,18105,18079,18144,18200,18472,18526,18613,18707,18731,18644,18773,18910,18954,19177,19162,19349,19656,20050,20260,20470,20699,20846,21201,21446,21505,21951,22110,21897,22112,22314,22385,22459,22498,22744,22890,22952,23137,23018,23262,23393,23489,23148,23375,23434,23590,23850,23722,23552,23735,23380,23120,23244,23752,24101,24232,24147,24057,24346,24186,24109,24133,24132,24147,24174,23894,24173,24125,24155,24417,24374,24508,24631,24888,25054,25280,25395,25618,25880,26196,26178,26368,26846,27058,27444,27562,27734,27911,27902,27866,27903,27959,27836,27704,27654,27811,27657,27674,27933,27934,27843,27936,27945,27993,27956,28012,28395,28123,28419,28466,28294,28123,27968,27862,27967,28199,28423,28375,28385,28658,28762,29019,28371,28408,28618,28766,28807,28734,28757,28748,28823
"24","16","  Nondurable goods manufacturing industries","N378RC0",159946,159486,159662,159763,160651,161166,160390,161554,162218,163242,164068,164269,163242,162761,162685,162353,162308,161860,162033,161135,160465,160497,160809,159037,159489,158820,159629,160966,162671,162766,163661,165227,167192,168925,170962,172967,174427,176395,176415,176645,178041,179577,180852,180488,181543,183493,184465,183451,186423,183720,183474,183335,182210,180720,178397,176209,176056,173697,171932,170715,171091,169485,170170,171442,171186,171623,174013,175545,177736,179168,179660,180205,181941,185571,185288,184673,184011,183825,182676,183590,184115,185758,188198,188285,188618,190802,191474,193610,195838,196842,198055,200377,202399,205517,207117,206059,208083,211396,215067,215648,213697,215558,218001,219956,223677,227190,226336,229670,233394,232221,232857,236095,238516,241389,242866,244488,242265,239697,240707,241257,241145,243461,245774,249208,252872,255902,256890,258072,264708,271011,279165,285127,296568,301654,307864,312783,319215,333471,334439,327632,312045,286881,264916,245935,241127,238051,239457,238749,241434,245113,244719,246573,247428,251294,254407,257151,261038,267594,269781,268436,262779,260747,263157,266003,270232,275752,281795,290741,298029,306339,313236,323118,323390,321772,319854,318229,315491,318025,318054,316881,310784,316374,317556,316354,308346,303072,302269,308137,314889,312694,310980,315908,320258,322957,322797,318669,316002,315694,317368,320078,318456,315679,313413,316027,321001,324687,324545,324293,324157,322675,319812,317790,314751,308989,302882,290838
"25","17","    Food manufacturing","S3110",31579,31781,32068,32122,32030,32101,31851,32020,32178,32400,32474,32391,32054,32179,31899,31943,32044,32075,32020,31797,31891,31856,31751,31848,32166,31957,31783,32009,32144,32106,32193,32429,33035,33289,33250,33205,33540,34062,34469,34533,34679,34477,34187,34046,34254,34535,34758,35261,36433,35107,35288,35544,35726,35519,35567,35277,35526,35080,35170,35096,35533,35287,34757,34828,34671,35199,35604,35995,36366,36292,36181,36283,36712,37123,37321,37094,37619,37267,37095,37656,38430,39504,40166,39738,39521,39741,40421,40713,41170,40682,40053,39660,39898,39895,39583,39779,39561,39846,40314,41035,40667,40445,40442,40534,40896,41460,41588,41881,42132,41640,41384,41308,41213,41594,41866,42172,42691,43623,43960,44226,44566,45163,45469,45857,47179,47829,47410,48124,49096,49311,49902,51296,52045,52186,52936,52852,52992,53888,53182,52192,50953,49522,48464,47556,47426,46847,47027,47453,48195,47794,47312,47401,47177,48467,49313,50372,50214,50508,50612,50947,50828,50504,50944,51893,53202,54162,54689,55924,56623,57667,58352,58610,59043,59487,59905,59974,59097,58793,58839,59079,59747,60682,60823,60362,59870,60261,61158,62102,62477,62916,62925,63255,63040,62852,62796,63103,63256,62524,62230,61499,61223,61466,61907,61526,62278,63248,64311,64921,64830,64622,64216,63882,63730,63600,63384,62568
"26","18","    Beverage and tobacco product manufacturing","S3120",11378,11383,11352,11610,11622,11648,11715,11659,11481,11482,11621,11700,12020,11750,11854,11793,11779,11644,11630,11256,11221,11492,11654,11686,11650,11778,11511,11654,11778,11616,11470,11499,11320,11450,11369,11689,11765,11923,11847,11902,11833,11927,11874,11858,12053,12055,12131,12114,12117,12160,12324,12485,12578,12580,12702,12630,12748,12648,12834,13201,13199,12958,12825,12972,13029,13255,13074,13075,13294,13318,13081,13021,12833,12855,12611,12967,13027,12908,12872,12899,13049,13162,13448,13328,13338,13461,13040,13147,13185,13283,13199,13746,14004,13779,13695,13674,13829,13661,13533,13652,13676,13627,13683,13633,13571,13924,14010,13941,13880,13853,13715,13762,13662,13773,14093,14393,14508,14484,14416,14568,14741,14740,14697,14769,14754,14586,14517,14317,14372,14437,14623,14929,15228,15310,15111,15132,15138,15056,14716,14698,14892,14891,15024,14896,14753,14883,15087,15144,15217,15242,15288,15416,15715,16007,16135,16412,16387,16446,16289,16148,16358,16140,16102,16019,15852,15974,16173,16509,16599,16508,16386,16448,16475,16560,16925,16773,16729,16739,16759,16832,12727,13064,13883,14401,14785,15488,16069,16423,17171,17789,18212,18743,18625,18770,18704,18745,18718,18793,18651,18775,18760,18633,18811,18843,19018,19059,19077,19261,19405,19465,19345,19559,19490,19414,19439,19567
"27","19","    Textile mills","S3130",7005,6962,6973,6992,6977,6990,6977,7058,6970,6965,6946,6941,6921,6997,7006,7033,7083,7034,7046,7025,7034,7005,6940,6921,6867,6893,6897,6822,6839,6824,6822,6809,6822,6775,6778,6821,6795,6759,6757,6816,6813,6770,6817,6788,6734,6785,6835,6731,6862,6688,6527,6427,6277,6179,6129,5975,5970,5923,5886,5703,5784,5710,5707,5553,5529,5557,5572,5632,5577,5601,5567,5609,5611,5677,5720,5783,5783,5792,5738,5714,5770,5774,5833,5766,5701,5688,5686,5706,5733,5716,5642,5645,5625,5600,5595,5535,5578,5582,5630,5636,5682,5623,5642,5615,5667,5749,5739,5766,5845,5855,5827,5795,5758,5797,5821,5842,5832,5732,5687,5710,5640,5653,5599,5575,5545,5604,5570,5645,5663,5693,5737,5802,5772,5760,5794,5714,5732,5610,5663,5714,5717,5702,5651,5554,5415,5267,5181,5174,5114,5053,4938,4878,4813,4844,4822,4785,4797,4848,4889,4903,4917,4919,4974,5017,5043,5070,5138,5221,5299,5394,5442,5522,5611,5639,5691,5730,5733,5695,5652,5605,5588,5603,5592,5566,5480,5485,5444,5409,5393,5401,5379,5377,5390,5375,5366,5365,5364,5375,5361,5344,5334,5315,5333,5289,5336,5328,5365,5370,5380,5382,5376,5368,5326,5311,5305,5287
"28","20","    Textile product mills","S3140",3769,3822,3861,3878,3935,3977,3979,3995,4026,4000,4048,4034,4042,4071,4101,4049,4049,3975,3926,3936,3875,3805,3761,3716,3648,3687,3783,3793,3804,3843,3825,3844,3843,3900,3896,3915,3913,3941,3987,4032,4092,4138,4208,4216,4276,4308,4386,4435,4472,4456,4493,4421,4372,4397,4338,4298,4329,4342,4318,4307,4280,4117,4032,3981,3921,3860,3831,3772,3681,3612,3501,3401,3482,3508,3503,3552,3539,3519,3474,3500,3477,3440,3491,3458,3445,3448,3469,3517,3527,3546,3553,3542,3591,3588,3570,3557,3620,3649,3700,3680,3704,3698,3679,3696,3662,3734,3713,3848,3842,3834,3821,3827,3816,3895,3951,3984,3965,3975,3965,3956,3933,3913,3873,3844,3889,3911,3915,3903,3910,3909,3942,3987,3983,3994,3989,3968,3948,3899,4006,4040,4055,4046,4014,3952,3732,3592,3519,3454,3400,3377,3308,3311,3296,3300,3284,3278,3295,3327,3368,3416,3445,3487,3548,3581,3622,3654,3695,3765,3864,3921,3900,3973,4003,3973,3969,3985,3930,3876,3822,3783,3567,3590,3602,3618,3595,3611,3595,3587,3614,3649,3676,3720,3712,3739,3759,3753,3767,3776,3783,3805,3799,3821,3850,3860,3919,3886,3904,3908,3896,3852,3849,3858,3780,3749,3772,3738
"29","21","    Apparel manufacturing","S3150",8589,8595,8643,8646,8762,8875,8913,9016,8970,9018,8900,8971,9017,8994,9092,9055,9023,8951,8899,8870,8853,8877,8860,8755,8697,8728,8895,8905,8958,8999,8984,9032,9110,9138,9073,9089,9142,9133,8986,8917,8839,8779,8884,8810,8803,8832,8968,8921,8978,8863,8656,8446,8271,8174,7961,7670,7489,7427,7352,7087,7103,7161,7187,7146,7172,7190,7185,7190,7259,7318,7332,7282,7262,7305,7391,7490,7513,7386,7368,7328,7261,7224,7232,7292,7266,7195,7151,7171,7151,7214,7225,7276,7281,7256,7264,7233,7289,7366,7375,7392,7361,7266,7267,7291,7336,7340,7263,7245,7260,7244,7137,7182,7123,7104,7201,7292,7250,7204,7344,7466,7488,7458,7448,7454,7510,7625,7675,7573,7570,7584,7527,7640,7594,7714,7723,7696,7718,7767,7754,7811,7810,7948,8136,8147,8081,7901,7972,8003,8037,7923,7891,7939,7928,7769,7760,7766,7839,7785,7767,7800,7731,7775,7907,7927,7971,7998,8048,8170,8382,8515,8524,8592,8650,8684,8790,8739,8672,8629,8662,8593,8511,8589,8562,8598,8644,8556,8435,8379,8467,8443,8495,8692,8350,8384,8512,8439,8513,8588,8503,8513,8477,8447,8502,8392,8699,8670,8810,8759,8669,8664,8715,8919,8803,8692,8699,8800
