"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202"
"11","3","S1   Motor vehicle and parts dealers","T060030",64919,65777,66195,66730,67826,67935,68819,69926,69188,68544,70333,70160,72009,73508,72551,69705,69490,70334,68965,69342,70784,70027,68162,66626,69059,69416,68872,70214,70263,69933,69065,69424,67614,84345,75784,71339,70892,71685,70016,71636,68393,70723,73109,75331,71097,70630,71140,73189,73559,70527,72607,73784,73990,74890,75631,77821,76168,75164,77228,75548,74606,76361,77356,75011,77852,73863,76302,76675,79859,78684,77725,79538,76862,77494,77232,78229,76729,81800,86068,77519,74293,71979,76517,76792,80074,77149,77843,78343,76606,77274,79104,77944,77783,78545,79302,79490,78228,78847,78647,78711,79527,77317,77293,79135,80657,79602,78042,76242,76077,74412,74119,72932,71940,70178,66754,68773,65195,59723,59033,57447,59584,57285,56042,56031,57047,58490,59862,65136,55345,57648,58397,57508,57765,56155,60961,61436,61916,61492,62679,62479,63015,64978,64802,64924,66038,66448,66401,65596,63895,64341,64979,63409,66089,67566,67814,68730,68574,70039,69872,69713,70118,69397,69653,70417,72636,71050,71953,73501,73484,74700,73634,74215,75416,77287,76967,76736,76227,77051,78199,77449,75346,77468,80216,80910,81160,81349,81842,83296,82529,83351,84896,84118,84737,82536,85349,85686,87196,85883,87090
"12","4","S4     Automobile dealers","T060040",54838,55139,55655,56098,57030,57296,58100,59185,58265,57477,59158,59004,60235,62146,60918,58677,58325,59079,58117,58283,59245,58959,57040,55452,58025,58784,58266,58963,59181,58861,57882,58350,56974,72979,64338,59975,59414,60101,58960,60300,57326,59469,61800,63833,59681,59553,59715,61764,62072,59441,61164,62158,62217,63041,63477,65476,63738,62556,64502,63046,62149,63665,64586,62483,65122,61467,63534,64076,67183,65878,65183,66400,63896,64350,64174,64858,63853,68372,72874,64525,61494,59210,63435,63811,66315,63839,64872,65013,63753,64424,66112,65236,64661,65442,65969,66309,64952,66189,65522,65667,66216,64297,64352,65935,67317,66347,65292,63329,63422,61836,61669,60706,59360,57685,54518,56767,53678,48628,47977,46704,48568,46665,45709,45809,46696,48215,49560,54672,44870,47443,47966,47380,47878,46139,50675,50859,51668,51265,52440,52069,52572,54429,54096,54515,55678,56006,55875,55177,53447,53780,54310,52760,55453,56940,57261,57999,57477,59193,58930,58920,59492,58713,58964,59766,61899,60265,61253,62702,62642,63705,62817,63196,64218,66074,65789,65308,64783,65557,66491,66044,63942,65603,68605,69274,69503,69708,70203,71833,70626,71637,72989,72460,72785,70721,73140,73556,74948,73719,74770
"13","5","S4     Other motor vehicle dealers","T060050",3273,3810,3744,3714,3876,3695,3722,3774,3791,3974,3970,4039,4654,4263,4463,4057,4147,4213,3918,4082,4301,4163,4341,4304,4520,4010,3999,4544,4369,4339,4498,4343,4038,4351,4692,4696,4767,4857,4435,4589,4408,4504,4516,4684,4709,4376,4779,4771,4807,4483,4732,4907,4997,5011,5290,5448,5433,5676,5737,5611,5576,5719,5700,5594,5690,5494,5796,5617,5666,5736,5493,5937,5630,5957,6037,6132,5776,6194,5928,5841,5803,5742,5814,5713,6289,6067,5786,6175,5833,5784,5866,5631,5961,5985,6314,6029,6167,5613,5942,5947,6133,5896,5832,6043,6182,6013,5689,5947,5737,5676,5577,5319,5615,5519,5307,5253,4761,4373,4289,4029,4300,3963,3823,3699,3834,3831,3887,4085,4156,3825,4149,3839,3559,3605,3742,3896,3616,3626,3625,3648,3676,3742,3878,3523,3629,3706,3680,3640,3681,3650,3807,3670,3641,3710,3646,3908,4108,3968,4186,3998,3921,3957,3912,4003,3959,4027,4001,4106,4120,4162,4157,4324,4408,4474,4389,4610,4636,4588,4662,4366,4413,4839,4558,4630,4734,4784,4813,4600,5090,4870,4669,4915,5025,4989,5271,5174,5221,5109,5163
"14","6","S2     Automotive parts, accessories and tire stores","T060060",6840,6900,6837,6970,6954,6959,6999,6926,7168,7162,7240,7141,7151,7030,7172,6973,7051,7060,6932,6996,7305,6888,6812,6974,6461,6533,6530,6668,6658,6691,6675,6704,6567,6592,6564,6596,6672,6675,6554,6677,6649,6701,6684,6663,6656,6631,6585,6539,6565,6525,6623,6616,6687,6740,6774,6773,6931,6892,6916,6830,6836,6920,7007,6890,6959,6872,6919,6911,6880,6979,6959,7127,7326,7158,6972,7213,7060,7136,7074,7108,6987,7064,7259,7248,7449,7229,7137,7109,6971,7010,7053,7009,7114,7056,6943,7080,7053,6961,7124,7030,7114,7075,7058,7097,7087,7188,7003,6925,6874,6870,6844,6888,6955,6971,6934,6749,6757,6727,6771,6717,6718,6656,6508,6521,6516,6443,6412,6376,6323,6381,6285,6292,6324,6420,6535,6680,6620,6590,6598,6752,6756,6788,6815,6865,6702,6707,6819,6753,6751,6895,6846,6971,6971,6886,6873,6791,6966,6843,6725,6760,6665,6692,6740,6608,6731,6718,6654,6645,6674,6784,6610,6648,6743,6684,6735,6771,6762,6860,6999,6989,6950,6986,6997,6946,6863,6794,6761,6788,6750,6773,7168,6668,6856,6762,6870,6885,6952,6986,7085
"15","7","S1   Furniture, home furnishings, electronics and appliance stores","T060070",9088,9257,9417,9405,9605,9762,9860,9975,10175,10255,10211,10370,10631,10746,10733,10922,10838,10719,10788,10887,10902,10938,10835,10552,11043,10920,10932,10904,10987,11136,11264,11328,11102,11374,11745,12041,11947,12112,12191,12137,12230,12182,12109,12171,12265,12297,12454,12526,12421,12088,12484,12617,13009,13159,13320,13519,13639,13747,13961,14050,14043,14099,14411,14447,14459,14673,15030,14949,15002,15204,15243,15468,15510,15813,15754,15905,15884,16213,16260,16466,16698,16877,16837,16742,17571,17277,17397,17433,17454,17719,17673,17722,17980,17736,17941,18273,18394,18118,18127,18193,18234,18068,18288,18543,18429,18554,18937,18694,18445,18176,18186,18505,18737,18414,18331,17908,17323,17176,17265,16755,17170,17049,16114,16100,16096,16191,16170,16294,16379,16336,16870,16824,16917,17459,17283,17455,17520,17761,17730,17765,17953,17888,17892,18059,18005,18221,18718,18645,18504,18514,18742,18934,19050,19528,19406,19397,19750,19744,19979,19798,20090,19999,20370,20242,20297,19946,20599,21200,21198,21244,21015,21149,21275,21651,21744,21860,21991,22388,22221,21871,21658,22273,22744,22982,22958,23098,23133,23390,23718,23750,24005,24147,24096,23765,24032,24122,24308,24389,24529
"16","8","S1     Furniture and home furnishings stores","T060080",6600,6774,6827,6744,6891,6999,6960,7167,7292,7359,7346,7324,7545,7583,7569,7697,7702,7646,7749,7707,7602,7696,7549,7143,7746,7596,7562,7555,7608,7666,7727,7704,7504,7645,7795,8000,7979,8087,8084,8006,8069,7956,7879,8007,7995,7969,8171,8172,8088,7782,8151,8184,8423,8464,8481,8522,8607,8632,8793,8768,8735,8785,8984,8925,8838,8949,9287,9142,9075,9265,9188,9377,9280,9396,9286,9402,9335,9574,9537,9661,9787,9815,9803,9718,9959,9904,9910,9860,9798,9966,9873,9858,10000,9818,9774,9823,10063,9830,9843,9868,9809,9690,9760,9818,9657,9708,9670,9548,9396,9159,9092,9230,9237,9078,8965,8717,8235,8269,8205,8047,7923,7830,7494,7554,7582,7562,7580,7602,7561,7561,7663,7748,7705,7926,8023,8032,7964,8002,8064,8168,8123,8106,8166,8125,8107,8186,8467,8387,8248,8189,8266,8357,8474,8411,8452,8637,8850,8808,8758,8681,8803,8697,8819,8779,8774,8571,8803,9188,9133,9048,9023,8965,9113,9322,9363,9412,9542,9654,9698,9404,9195,9620,9698,9856,9833,9817,9843,10009,9979,10057,10125,10321,10277,10154,10357,10346,10560,10451,10579
"17","9","S4       Furniture Stores","T060090",3725,3763,3792,3671,3809,3843,3823,3925,4006,4029,4008,3999,4110,4148,4137,4258,4252,4220,4298,4253,4155,4214,4145,3926,4265,4149,4168,4161,4165,4260,4303,4260,4120,4226,4383,4439,4436,4460,4472,4464,4456,4367,4330,4283,4337,4325,4452,4338,4366,4182,4417,4382,4495,4502,4543,4548,4551,4622,4675,4695,4711,4663,4756,4768,4753,4797,5014,4912,4814,4935,4984,5095,4919,5068,5023,5053,5015,5185,5177,5248,5355,5319,5292,5223,5317,5263,5312,5212,5158,5302,5277,5318,5293,5273,5250,5240,5307,5303,5230,5298,5263,5139,5220,5181,5179,5191,5156,5143,5098,4900,4883,4961,4953,4785,4726,4693,4369,4343,4277,4335,4243,4277,4035,4005,4023,4053,4031,4114,4092,4124,4152,4164,4195,4275,4327,4339,4411,4351,4381,4441,4453,4444,4487,4458,4377,4508,4659,4620,4425,4395,4496,4485,4558,4524,4560,4647,4778,4907,4717,4708,4699,4689,4760,4680,4634,4450,4595,4812,4682,4604,4713,4698,4768,4899,4894,4955,5013,5137,5068,4896,4754,5019,5165,5183,5208,5158,5213,5314,5414,5421,5451,5534,5481,5395,5476,5456,5587,5636,5716
"18","10","S4       Home furnishings stores","T060100",2871,3009,3032,3075,3080,3156,3136,3243,3285,3330,3339,3325,3436,3435,3433,3438,3450,3426,3449,3453,3447,3482,3404,3217,3480,3447,3394,3394,3443,3405,3422,3442,3384,3418,3411,3560,3542,3626,3612,3541,3612,3588,3549,3723,3657,3643,3719,3834,3722,3599,3734,3802,3928,3963,3939,3974,4058,4011,4119,4073,4023,4123,4229,4156,4084,4152,4273,4230,4262,4331,4204,4281,4361,4328,4262,4350,4319,4389,4359,4412,4431,4495,4510,4494,4642,4641,4597,4648,4640,4664,4595,4539,4708,4544,4523,4583,4756,4527,4613,4569,4545,4551,4540,4637,4478,4517,4515,4405,4299,4259,4209,4269,4284,4293,4239,4024,3866,3926,3928,3712,3679,3553,3459,3549,3559,3508,3550,3488,3470,3437,3511,3583,3511,3651,3696,3693,3555,3651,3683,3727,3671,3663,3679,3668,3729,3680,3809,3768,3822,3794,3770,3872,3915,3887,3891,3989,4071,3899,4040,3972,4103,4007,4059,4098,4142,4124,4210,4377,4455,4449,4312,4269,4347,4425,4471,4458,4531,4518,4633,4511,4444,4603,4533,4675,4625,4661,4630,4695,4565,4637,4674,4788,4797,4760,4882,4892,4974,4815,4862
"19","11","S1     Electronics and appliance stores","T060110",3075,3108,3193,3225,3292,3348,3438,3414,3492,3514,3489,3614,3686,3750,3747,3816,3753,3695,3690,3785,3853,3827,3833,3851,3875,3869,3898,3880,3912,3992,4054,4117,4063,4189,4386,4493,4431,4495,4559,4565,4599,4633,4624,4592,4675,4718,4712,4769,4739,4671,4747,4834,4995,5090,5211,5348,5388,5461,5527,5619,5637,5649,5771,5844,5915,6017,6076,6113,6206,6241,6331,6385,6495,6670,6702,6745,6778,6883,6953,7039,7146,7282,7256,7239,7789,7568,7671,7744,7814,7917,7952,8009,8126,8055,8282,8547,8454,8397,8394,8434,8524,8473,8618,8807,8843,8915,9312,9191,9091,9049,9121,9301,9518,9354,9380,9201,9087,8912,9062,8715,9242,9215,8619,8546,8514,8630,8590,8693,8819,8776,9211,9078,9216,9537,9259,9423,9558,9764,9669,9596,9834,9786,9727,9942,9905,10043,10256,10265,10270,10344,10498,10599,10591,11166,10991,10769,10902,10943,11251,11147,11319,11345,11601,11511,11577,11438,11872,12065,12129,12283,12063,12282,12240,12397,12449,12518,12500,12801,12561,12539,12563,12715,13140,13206,13209,13385,13391,13468,13874,13810,14010,13916,13917,13701,13739,13857,13783,14021,14011
"20","12","S1   Building material and garden equipment and supplies dealers","T060120",19526,19673,19410,19440,19485,19334,19340,19602,19640,20286,20640,20757,21242,20758,21697,20507,20645,20585,20756,20894,20842,20866,20566,21290,21188,21679,21522,22456,21873,21541,21687,21755,21523,22224,22272,22516,22719,22796,22544,23412,23051,22943,22888,22882,23034,22976,23358,22818,23740,22375,23807,23703,23939,24687,25025,25131,25096,25363,25365,25347,25107,24981,27133,26486,26274,26616,26596,26610,26892,26844,27116,27758,27815,27418,27671,28327,28135,28297,28159,28305,28672,29085,29239,28958,30892,30751,30819,30103,29036,28803,28704,28868,28315,28752,28254,28663,28693,28422,28887,27827,28561,27838,27991,28063,27871,27616,27968,27268,27313,27245,26681,27155,27085,27304,27406,26821,26517,26136,24992,24448,24559,24407,23927,23919,23972,23820,23483,23440,23292,22622,23050,23001,22658,22446,23814,25380,23547,23543,23597,23586,23820,24445,24232,24480,23593,23221,23780,23902,24240,24860,24774,24666,24653,25242,25008,25610,25622,25554,26556,25084,24385,24019,24312,24780,25517,25472,25716,26002,26065,26410,25950,26334,26880,26452,27193,26930,26948,26609,26672,26872,26916,26817,27144,28015,28027,28394,28214,28304,28052,28218,28755,28559,28970,28355,29171,28639,28723,28835,29122
