"","Table 6#2B# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"12","5","      Farms","B4005C0",4023,4215,4211,4349,5127,5990,6482,7345,7794,8154,8870,9180,8989,10001,9641,9704,9836,9210,9523
"13","6","      Agricultural services, forestry, and fishing","J4006C0",1430,1546,1686,1906,2333,2612,2722,3149,3442,3989,4644,5327,5933,6300,6800,7655,8527,9513,10829
"14","7","    Mining","J4007C0",6170,6692,6965,7691,8567,10415,12872,14562,16878,20143,24073,29224,36395,38276,34175,36062,35513,31254,29800
"15","8","      Metal mining","B4008C0",899,998,997,1066,1192,1431,1588,1761,1907,2223,2684,2991,3510,2688,2190,2115,1820,1667,1838
"16","9","      Coal mining","J4009C0",1456,1740,1854,2203,2422,2970,4167,4783,5435,6030,7273,7933,8383,9120,7791,8292,7912,7776,7611
"17","10","      Oil and gas extraction","J4010C0",2773,2852,2951,3185,3567,4467,5498,6260,7569,9612,11517,15510,21578,23617,21296,22494,22468,18398,16671
"18","11","      Nonmetallic minerals, except fuels","B4011C0",1042,1102,1162,1237,1386,1546,1619,1758,1966,2278,2600,2791,2924,2850,2898,3161,3313,3412,3680
"19","12","    Construction","J4012C0",35150,37437,40700,44405,50466,53864,52787,57833,64675,75924,87479,91648,95363,94306,98648,112491,124108,134396,142890
"20","13","    Manufacturing","J4013C0",179706,180953,184987,203472,230174,249947,251822,286223,323863,364559,407904,435359,475991,477105,494703,545767,571678,587558,609074
"21","14","      Durable goods","J4014C0",114045,112643,114002,126986,146691,159522,158391,180286,206381,234939,265526,281094,307308,301608,309998,347711,366018,373514,383889
"22","15","        Lumber and wood products","J4015C0",4823,5025,5609,6216,7021,7184,6789,8285,9715,11062,12162,11830,12236,11509,13372,14892,15316,16272,17423
"23","16","        Furniture and fixtures","J4016C0",3184,3123,3285,3794,4300,4446,4099,4765,5418,6166,6726,6966,7542,7457,8290,9507,10088,10734,11594
"24","17","        Stone, clay, and glass products","J4017C0",5791,6020,6385,7103,8045,8658,8576,9659,10935,12497,13845,14274,15091,14503,15149,16588,17025,17675,18397
"25","18","        Primary metal industries","J4018C0",13735,13741,13780,15502,18236,20805,20395,22877,25842,29098,32763,32999,35970,30966,28440,29869,28385,27218,28278
"26","19","        Fabricated metal products","J4019C0",15218,14977,15069,16805,19304,20985,20738,23375,26385,29746,33275,34670,37478,35968,36306,40278,42308,42710,43216
"27","20","        Machinery, except electrical","J4020C0",20526,20918,20246,22783,26883,30739,31383,34672,39445,45461,53162,58606,64871,63161,60327,68452,71293,69819,73254
"28","21","        Electric and electronic equipment","J4021C0",17702,17896,17681,19173,22307,24140,23535,26657,30261,34933,39865,44203,48838,51325,56049,64579,68844,69986,70984
"29","22","        Motor vehicles and equipment","J4022C0",10880,9902,12019,13784,16337,15828,15096,19473,23744,26486,28082,25780,27520,26101,30031,35941,39814,40732,38312
"30","23","        Other transportation equipment","J4023C0",13861,12561,11369,12371,13563,14913,15808,16937,19228,22195,26166,29973,33303,34450,34852,38373,42158,46121,48869
"31","24","        Instruments and related products","J4024C0",5150,5223,5217,5785,6655,7447,7619,8659,10054,11357,13022,15033,17234,18701,19470,20968,22381,23539,24375
"32","25","        Miscellaneous manufacturing industries","J4025C0",3176,3256,3342,3668,4039,4377,4353,4928,5355,5939,6459,6759,7224,7467,7713,8263,8405,8707,9187
"33","26","      Nondurable goods","J4026C0",65661,68311,70985,76486,83483,90425,93431,105936,117482,129619,142378,154265,168683,175497,184705,198056,205660,214045,225185
"34","27","        Food and kindred products","J4027C0",14405,15353,16049,16796,17893,19626,20934,23284,25519,27835,30431,33058,35602,37405,38326,39713,41086,42852,44827
"35","28","        Tobacco manufactures","B4028C0",609,679,707,748,847,937,1003,1120,1198,1392,1512,1700,2018,2163,2255,2281,2409,2368,2518
"36","29","        Textile mill products","J4029C0",6245,6309,6604,7389,8179,8342,7892,9238,9976,10787,11467,11919,12596,11934,13006,13579,13306,14177,15496
"37","30","        Apparel and other textile products","J4030C0",7666,7641,7910,8511,9316,9504,9422,10957,11674,12791,13387,14147,15210,14940,15979,17255,17050,17564,18107
"38","31","        Paper and allied products","J4031C0",6491,6778,7023,7682,8435,9182,9313,10875,12136,13438,14892,16159,17628,18391,19545,21282,22170,23309,24308
"39","32","        Printing and publishing","J4032C0",9549,10070,10396,11189,12174,13070,13698,15029,16714,18632,20771,23157,25572,27692,30088,33697,36654,39355,42406
"40","33","        Chemicals and allied products","J4033C0",10793,11399,11761,12510,13761,15629,17191,19312,21683,23926,26682,29614,32702,34952,36174,38604,40866,41908,43717
"41","34","        Petroleum and coal products","J4034C0",2511,2643,2804,2979,3208,3864,4429,5029,5647,6337,7092,7825,8768,9417,9399,9477,9570,9220,8882
"42","35","        Rubber and miscellaneous plastics products","J4035C0",5399,5481,5787,6633,7568,8153,7497,8714,10465,11832,13388,13749,15320,15469,16822,19161,19801,20723,22298
"43","36","        Leather and leather products","J4036C0",1994,1957,1944,2048,2101,2118,2050,2378,2469,2650,2755,2937,3266,3134,3113,3007,2746,2568,2626
"44","37","    Transportation and public utilities","A4037C0",42734,46929,50877,56219,62869,68690,72657,81790,91304,103649,117039,128545,141588,150535,156016,166566,175228,182196,191886
"45","38","      Transportation","J4038C0",25844,27586,29640,32208,36443,39475,40651,45925,51617,58551,65959,70828,75696,75901,78813,86434,91311,96100,102609
"46","39","        Railroad transportation","B4039C0",6834,7267,7726,7873,9094,9903,9850,11097,12164,13266,14994,15719,16102,15263,15063,16214,16277,16499,16820
"47","40","        Local and interurban passenger transit","J4040C0",1939,2067,2202,2223,2233,2436,2647,2816,2980,3177,3469,3830,4112,4190,4249,4502,4781,5055,5322
"48","41","        Trucking and warehousing \1\","B4041C0",9658,10127,11393,13034,15009,16074,15959,18331,20987,24215,26990,27982,29969,29750,31308,35306,37404,39692,42704
"49","42","        Water transportation","J4042C0",2249,2347,2227,2360,2602,2826,2994,3319,3655,4353,4811,5401,5979,5966,5941,6333,6405,6392,6627
"50","43","        Transportation by air \1\","J4043C0",4058,4553,4806,5318,5933,6409,7153,8043,9208,10423,12061,13687,14700,15442,16515,17583,19199,20728,22784
"51","44","        Pipelines, except natural gas","B4044C0",192,205,218,230,234,257,319,356,391,483,545,648,731,784,815,788,822,817,853
"52","45","        Transportation services","J4045C0",914,1019,1068,1170,1338,1570,1729,1963,2233,2634,3088,3561,4103,4506,4922,5708,6422,6917,7499
"53","46","      Communication","J4046C0",9910,11543,12727,14655,16183,18009,19557,21735,24045,27602,31603,35624,40772,46005,46517,47056,48387,48696,49950
"54","47","        Telephone and telegraph","J4047C0",8639,10157,11280,13050,14434,16084,17429,19153,21070,24063,27537,31056,35617,39884,40117,40188,41082,41125,42168
"55","48","        Radio and television","J4048C0",1271,1386,1447,1605,1749,1925,2128,2581,2976,3539,4066,4568,5155,6121,6400,6868,7305,7571,7781
"56","49","      Electric, gas, and sanitary services","J4049C0",6980,7800,8509,9355,10242,11206,12449,14130,15642,17497,19477,22094,25119,28628,30686,33077,35530,37401,39327
"57","50","    Wholesale trade","J4050C0",35858,38856,41395,45532,51478,57777,61274,68235,75771,86987,99571,110546,122788,129099,133759,149094,159490,168083,179402
"58","51","    Retail trade","J4051C0",55879,60178,64943,71112,78929,86063,92897,104051,114938,130085,143668,154619,167549,175812,190143,210636,227264,243936,259682
"59","52","    Finance, insurance, and real estate","J4052C0",27880,30563,33529,37260,41434,45429,50274,56200,63019,73045,83060,94920,106190,117087,130827,144538,161047,183063,203994
"60","53","      Banking","J4053C0",7472,8580,9313,10185,11339,12959,14542,16206,17747,19852,22482,25923,29331,33462,35546,37748,40506,43626,46287
"61","54","      Credit agencies other than banks","J4054C0",2606,2778,3055,3404,3870,4346,4800,5424,6151,7145,8204,9135,10109,10978,12976,15233,17611,21139,23628
"62","55","      Security and commodity brokers","J4055C0",2996,2612,3104,3515,3289,3100,3615,4237,4663,5215,6060,8213,9943,11863,16125,17504,20252,26082,31284
"63","56","      Insurance carriers","B4056C0",8288,9176,9741,10674,11771,12939,14293,15600,17313,19670,21846,24261,26447,29059,30952,33434,36548,40633,44576
"64","57","      Insurance agents, brokers, and service","J4057C0",2084,2352,2588,2851,3269,3652,4222,4755,5615,6592,7643,8605,9492,10431,11228,12494,14194,15986,18337
"65","58","      Real estate","J4058C0",3942,4488,5082,5874,6954,7290,7479,8473,9739,12216,14066,15518,16999,16696,18857,22144,25054,27681,30191
"66","59","      Holding and other investment offices","B4059C0",492,576,645,756,942,1142,1323,1506,1791,2356,2759,3265,3869,4597,5142,5981,6882,7917,9692
"67","60","    Services","J4060C0",70322,77613,84657,94907,107673,120443,133577,149587,167968,196016,224565,257014,293229,325803,359742,403427,442142,484025,541477
"68","61","      Hotels and other lodging places","B4061C0",3475,3821,4100,4529,5136,5581,6011,6723,7392,8746,10088,11493,13192,14231,15500,17400,18913,20640,22245
"69","62","      Personal services","J4062C0",5081,5195,5182,5233,5553,5788,6029,6535,7152,8157,8930,9640,10487,11098,12141,13351,14424,15484,16611
"70","63","      Business services","J4063C0",11624,12634,13054,14535,16732,18861,19923,22721,26149,32405,39065,45887,53375,59275,67320,80736,92387,103778,117224
"71","64","      Auto repair, services, and parking","B4064C0",2333,2575,2813,3137,3663,3983,4346,4975,5656,6932,7994,8518,9313,10088,11024,12717,14099,15301,16526
"72","65","      Miscellaneous repair services","B4065C0",1351,1468,1570,1725,2038,2341,2487,2785,3131,3847,4558,5116,5684,5766,5868,6771,7209,7444,7793
"73","66","      Motion pictures","J4066C0",1391,1395,1409,1489,1609,1773,1885,2164,2459,3131,3673,3959,4398,4662,5173,5740,6311,6695,7754
"74","67","      Amusement and recreation services","J4067C0",2448,2662,2900,3246,3702,4173,4594,5183,5761,6708,7586,8603,9519,10456,11383,12240,13015,14049,15311
"75","68","      Health services","J4068C0",15220,18210,21387,25540,29793,35005,41364,47316,53927,62435,71310,83509,97438,111626,122392,132615,142099,153929,175318
"76","69","      Legal services","J4069C0",1666,1984,2310,2762,3433,4060,4794,5580,6484,7358,8741,10474,12631,15352,17893,20655,23704,27294,32731
"77","70","      Educational services","J4070C0",5953,6830,7687,8695,9268,9908,10486,10921,11251,12118,13392,15029,16811,18378,20472,22631,24642,26404,28928
"78","71","      Social services and membership organizations","J4071C0",9506,9969,10875,11709,12968,14120,15720,16824,18461,20882,22953,25564,27579,29220,32105,35040,37495,41308,45095
"79","72","        Social services","B4072C0",NA,NA,NA,NA,NA,NA,4842,5507,6061,7174,8233,9409,10379,10870,12409,13806,15575,17499,19591
"80","73","        Membership organizations","B4073C0",NA,NA,NA,NA,NA,NA,10879,11317,12400,13708,14719,16155,17200,18350,19696,21235,21920,23809,25505
"81","74","      Miscellaneous professional services","J4074C0",5836,6368,6813,7669,8958,10260,11304,12449,14212,16759,19896,23119,26637,29400,32188,36238,40503,43960,48211
"82","75","      Private households","W151RC0",4439,4501,4556,4637,4819,4588,4635,5412,5932,6538,6378,6103,6163,6250,6283,7292,7341,7739,7729
"83","76","  Government","A4076C0",118437,132211,144939,158286,172185,189040,211822,230401,250932,273004,297487,331287,365805,395510,421254,459717,497130,526203,558439
"84","77","    Federal","B4077C0",51739,56551,60559,64980,67764,73978,82080,88144,96019,103038,110882,124228,140088,151006,159725,178730,190438,195041,204493
"85","78","      General government","B568RC0",44862,48335,51659,55384,57434,62044,68384,73307,79930,85758,91808,102536,115089,125308,132317,149362,158952,163082,170292
"86","79","        Civilian","B4079C0",21323,23429,26028,27962,29362,32515,36788,40349,45386,48977,52377,58228,63610,67625,71414,75444,79595,81260,85397
"87","80","        Military \2\","W4080C0",23539,24906,25631,27422,28072,29529,31596,32958,34544,36781,39431,44308,51479,57683,60903,73918,79357,81822,84895
"88","81","      Government enterprises","A4081C0",6877,8216,8900,9596,10330,11934,13696,14837,16089,17280,19074,21692,24999,25698,27408,29368,31486,31959,34201
"89","82","    State and local","B4082C0",66698,75660,84380,93306,104421,115062,129742,142257,154913,169967,186604,207058,225717,244510,261529,280986,306692,331162,353946
"90","83","      General government","B251RC0",62599,71058,79236,87693,97984,107695,121214,133046,145065,158914,174296,192966,210095,227411,242963,261066,284737,307550,329257
"91","84","        Education","B4084C0",34635,39337,43653,48020,53073,57893,66041,72788,79013,85014,92983,101898,110632,119371,126665,136869,150113,163041,173692
"92","85","        Other","B4085C0",27964,31721,35583,39673,44911,49802,55173,60258,66052,73900,81313,91068,99463,108040,116298,124197,134624,144509,155565
"93","86","      Government enterprises","B4086C0",4099,4602,5144,5613,6437,7367,8528,9211,9848,11053,12308,14092,15622,17099,18566,19920,21955,23612,24689
"94","87","Rest of the world","A4187C0",22,23,21,-1,-13,-22,-43,-37,-62,-99,-71,-98,-156,-192,-173,-211,-215,-1782,-1356
"95","88","  Receipts from the rest of the world","B4188C0",237,251,268,282,295,330,357,385,402,404,430,465,511,540,574,619,646,908,994
"96","89","  Less:  Payments to the rest of the world","B4189C0",215,228,247,283,308,352,400,422,464,503,501,563,667,732,747,830,861,2690,2350
"97",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","90"," Households and institutions","W506RC0",29477,32400,35597,38945,43010,47143,51966,57058,62371,69498,76925,86529,96844,107323,118128,129914,139539,152117,171035
"99","91"," Nonfarm business","A4091C0",436628,461187,488185,538767,607681,667399,701142,788623,885427,1013231,1146462,1256459,1388803,1449791,1532658,1695611,1818899,1927478,2056887
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","1. Beginning with 1987, reflects the reclassification of air couriers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
