"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"14","6","    Power and communication","W003RA3",101.943,101.187,101.351,103.946,105.785,110.583,115.923,114.518,114.596,114.979,111.508,109.288,117.173,115.602,117.25,119.718,121.701,125.345,127.794,124.977,122.88,118.593,116.614,109.761,107.721,105.921,107.037,109.777,107.202,117.219,122.71,122.069,112.527,117.785,116.581,115.159,116.085,120.894,122.691,124.403,124.494,125.496,126.366,125.919,128.963,127.546,125.695,124.882,129.179,129.539,130.005,131.363,129.008,125.82,121.966,114.287,109.077,105.176,100.727,107.39,104.694,107.907,109.705,109.232,107.263,106.272,105.909,107.202,115.737,117.689,113.88,108.093,104.532,101.968,99.733,98.845,95.951,93.521,96.478,96.093,101.462,100.565,97.046,97.622,89.723,90.479,92.616,96.255,103.854,108.824,111.546,114.22,114.163,115.925,116.52,118.208,115.172,108.868,105.678,104.706,99.938,97.253,98.06,98.54,102.788,103.195,100.738,95.175,90.645,86.39,83.21,85.555,80.44,81.697,84.594,86.597,86.514,99.845,106.616,98.329,113.516,105.022,118.024,125.021,125.552,124.562,139.75,142.414,118.502,140.842,139.653,150.053,152.637,135.969,122.495,124.662,134.403,128.004,117.695,113.258,111.427,95.41,98.486,104.064,102.948,99.954,97.759,99.339,107.741,103.957,108.171,111.478,124.137,141.777,159.261,175.171,176.465,165.095,154.163,159.537,157.264,163.585,180.129,170.722,154.038,151.234,139.99,162.578
"15","7","    Mining exploration, shafts, and wells","E318RA3",48.992,51.368,53.582,52.778,50.083,49.063,46.216,49.112,47.461,42.791,44.406,45.279,47.453,48.03,47.436,50.101,49.012,49.825,52.895,54.41,56.096,62.738,62.746,63.423,67.333,69.504,73.639,75.585,78.226,74.492,76.882,79.178,83.688,86.955,88.608,89.457,82.271,97.223,103.86,114.317,109.425,94.074,105.088,114.962,124.359,129.514,160.756,180.458,146.721,164.703,164.884,215.538,191.285,168.69,143.153,136.324,140.407,123.494,128.191,137.384,147.677,146.213,155.502,152.527,154.039,135.366,124.534,122.342,113.98,71.998,61.982,66.266,67.406,65.754,82.618,91.404,85.069,88.746,83.387,79.758,70.033,76.534,79.605,78.605,86.346,88.87,87.663,89.268,94.884,93.402,76.598,79.354,69.942,67.15,70.805,77.053,80.405,78.89,81.664,90.197,79.604,78.181,80.013,84.061,73.913,67.241,65.961,66.114,68.727,73.74,73.868,74.84,84.419,87.141,84.908,86.036,77.958,77.784,75.989,67.831,61.129,64.929,60.621,66.822,70.448,78.113,82.124,85.717,93.018,95.637,99.264,85.142,67.191,65.007,70.754,69.918,70.175,78.709,81.176,81.387,85.343,91.611,93.03,92.609,99.375,105.309,98.75,96.566,104.496,115.932,117.987,119.749,116.669,122.017,126.547,120.653,119.092,129.176,133.615,135.555,98.132,80.399,78.663,76.54,90.256,101.224,114.617,116.02
"16","8","    Other structures \1\","W004RA3",73.549,74.367,78.119,74.854,72.85,70.174,69.568,70.127,68.679,66.817,65.227,64.475,66.202,66.343,67.029,68.506,69.916,73.112,73.115,72.841,69.251,67.212,64.105,63.64,58.621,59.242,58.111,57.043,60.491,60.222,61.451,62.454,62.153,63.786,64.98,67.17,66.861,73.416,76.289,76.503,75.691,79.873,83.171,83.449,83.032,79.658,75.075,75.031,77.363,75.563,77.247,72.691,72.137,70.803,69.911,72.871,70.696,75.045,73.949,81.763,84.892,88.448,90.798,89.212,93.804,99.33,96.555,99,95.884,88.857,88.744,91.884,94.508,97.507,97.169,97.949,92.048,91.465,87.74,89.61,92.722,89.463,92.136,94.016,98.666,99.518,99.377,93.502,91.316,85.447,82.842,79.725,77.049,79.799,80.542,77.019,78.699,85.965,88.427,86.256,83.459,84.986,82.706,80.736,86.035,89.287,96.313,99.852,105.454,106.383,110.01,115.027,117.54,122.394,124.225,131.388,123.003,131.495,133.079,134.439,132.68,133.973,127.421,128.67,132.767,135.316,137.606,132.6,124.39,124.023,146.634,117.949,111.823,111.105,105.526,104.161,100.829,106.961,105.541,104.377,103.08,107.296,107.444,105.536,102.983,98.537,98.288,100.192,103.075,109.889,110.877,112.949,112.394,123.92,130.99,136.64,139.75,144.658,144.596,138.504,126.036,122.919,112.392,99.916,89.368,85.567,82.062,77.76
"17","9","  Equipment and software","B010RA3",11.415,11.558,11.741,11.678,11.624,11.592,11.66,11.053,11.23,11.514,11.612,12.029,12.486,12.773,13.074,14.036,14.805,15.491,15.701,15.977,15.999,15.979,16.086,15.496,14.462,14.177,14.335,14.535,14.729,15.029,15.451,15.894,16.853,17.27,17.682,18.504,18.792,20.26,20.686,21.275,22.045,21.78,22.277,21.986,22.17,20.678,20.868,21.203,21.772,21.973,22.494,22.292,21.895,21.059,20.675,20.298,20.229,21.269,22.506,24.441,24.916,26.147,27.029,27.895,27.733,28.373,28.028,28.584,28.376,28.784,28.67,29.024,28.17,29.015,29.816,29.428,30.345,31.146,31.594,32.124,32.68,33.541,34.404,33.759,34.067,33.274,33.651,33.434,32.503,32.461,32.985,33.021,32.984,34.829,35.691,37.013,37.702,39.101,39.627,41.628,42.796,43.133,44.245,46.734,48.895,49.018,49.337,50.827,52.211,53.834,56.015,57.069,58.861,61.025,64.415,64.96,68.262,70.354,71.781,75.033,77.474,80.698,83.799,83.833,87.455,90.561,90.774,91.116,90.82,87.473,85.295,84.704,83.663,83.42,84.101,82.405,82.19,84.323,86.955,88.594,87.831,90.653,93.669,96.41,96.994,99.041,101.697,102.268,106.542,107.101,107.681,108.414,109.783,110.948,111.756,113.069,113.906,112.151,108.89,99.775,90.745,90.786,91.716,94.895,99.408,105.067,108.898,110.377
"18","10","    Information processing equipment and software","B679RA3",1.06,1.153,1.235,1.294,1.339,1.36,1.317,1.334,1.313,1.417,1.454,1.52,1.6,1.604,1.645,1.698,1.798,1.885,1.948,2.078,2.123,2.124,2.268,2.332,2.267,2.193,2.175,2.181,2.253,2.416,2.573,2.779,2.818,2.964,3.08,3.286,3.486,3.834,4.068,4.3,4.494,4.581,4.821,5.085,5.309,5.392,5.682,5.782,6.05,6.244,6.515,6.84,7.101,6.823,6.866,6.732,7.225,7.751,8.165,8.905,9.229,9.917,10.436,11.07,11.008,11.35,11.228,11.667,11.898,12.262,12.152,12.635,12.472,12.776,13.366,13.368,13.739,14.383,14.719,14.982,15.514,16.321,16.875,17.146,17.392,17.323,17.109,17.552,17.38,17.884,18.494,19.138,19.564,20.652,21.767,22.142,22.738,23.202,24.409,24.859,25.646,26.284,27.05,28.242,29.556,31.024,31.696,33.54,35.319,36.859,38.617,39.943,42.464,44.884,48.315,50.184,53.532,55.816,57.65,61.14,64.502,69.308,72.501,73.128,78.029,82.037,83.531,86.2,86.081,82.501,80.311,79.47,79.063,79.741,81.187,79.277,81.217,82.288,86.791,90.554,90.77,92.288,93.984,95.869,97.202,99.142,101.313,102.344,106.404,107.078,109.489,110.269,114.985,115.763,118.135,122.837,125.695,127.551,125.842,121.456,119.358,122.339,126.613,133.164,135.861,140.775,143.763,147.721
"19","11","      Computers and peripheral equipment \2\","B935RA3",0.006,0.007,0.008,0.009,0.01,0.01,0.009,0.009,0.009,0.012,0.014,0.016,0.02,0.019,0.02,0.019,0.019,0.021,0.02,0.024,0.023,0.023,0.033,0.033,0.031,0.027,0.026,0.029,0.032,0.04,0.043,0.05,0.051,0.057,0.063,0.074,0.086,0.111,0.132,0.154,0.166,0.181,0.203,0.233,0.241,0.282,0.344,0.371,0.416,0.432,0.484,0.594,0.637,0.567,0.585,0.583,0.735,0.852,0.975,1.039,1.194,1.372,1.57,1.754,1.715,1.882,1.805,1.991,2.107,2.209,2.055,2.129,2.433,2.599,2.817,2.833,2.861,3.025,3.136,3.184,3.385,3.742,3.837,3.876,3.83,3.66,3.47,3.706,3.594,3.724,4.068,4.544,4.62,5.372,5.828,5.97,6.479,6.67,7.327,7.45,7.933,8.306,8.729,9.734,10.785,12.508,13.501,15.536,16.811,18.084,19.704,20.959,23.32,26.037,29.395,30.817,35.258,38.506,40.573,44.945,51.002,57.048,59.515,58.743,61.997,68.828,71.206,72.391,75.265,70.601,65.676,69.726,73.416,71.932,75.416,74.104,76.449,76.869,81.277,86.645,84.779,87.1,90.678,95.408,93.424,96.614,101.152,108.81,115.862,120.198,128.085,128.366,136.32,134.657,141.009,149.591,161.191,168.124,159.881,147.045,142.355,147.922,155.815,180.635,182.749,200.624,201.263,209.733
"20","12","      Software \3\","B985RA3",0.541,0.6,0.669,0.735,0.789,0.828,0.827,0.803,0.796,0.836,0.88,0.941,0.976,1.006,1.037,1.033,1.075,1.121,1.175,1.237,1.267,1.286,1.366,1.469,1.59,1.597,1.57,1.561,1.591,1.682,1.757,1.834,1.778,1.785,1.78,1.809,1.907,2.039,2.182,2.347,2.448,2.578,2.699,2.829,2.92,3.024,3.174,3.335,3.435,3.528,3.662,3.85,4.108,4.212,4.214,4.18,4.42,4.723,5.128,5.43,5.698,5.983,6.393,6.833,7.083,7.366,7.438,7.698,7.909,8.222,8.381,8.584,8.867,9.235,9.621,10.006,10.413,10.901,11.501,12.16,13.026,13.973,15.017,15.942,16.504,17.054,16.9,17.85,18.429,19.026,19.505,20.407,21.299,22.275,23.14,24.181,24.65,25.095,25.703,26.185,26.973,27.609,28.27,28.769,29.187,30.063,31.149,32.38,33.686,35.096,36.59,38.68,42.745,45.026,47.889,50.867,52.778,54.645,57.326,60.631,63.578,68.179,71.96,74.255,76.83,78.943,79.108,81.519,82.142,80.278,79.331,76.924,77.626,79.681,81.482,79.453,81.3,82.163,86.857,90.18,91.307,91.92,94.747,97.468,97.881,100.279,100.866,100.973,102.024,103.129,104.821,106.764,109.593,109.72,110.609,112.003,116.226,116.858,117.57,116.973,115.015,117.54,119.562,123.6,126.35,128.839,131.877,134.34
"21","13","      Other \4\","B937RA3",8.489,9.045,9.579,9.907,9.879,10.081,9.905,10.027,9.805,10.143,10.118,10.303,10.348,10.455,10.647,11.348,12.146,12.673,13.2,13.863,14.193,14.227,14.331,14.642,14.052,13.747,13.741,13.576,13.852,14.461,15.432,16.603,16.97,17.814,18.415,19.398,20.15,21.443,22.147,22.809,23.716,23.656,24.508,25.301,26.51,25.855,26.171,26.009,26.747,27.58,28.175,28.049,28.644,27.819,27.804,27.042,27.49,28.626,28.861,32.014,31.692,33.284,33.578,34.669,34.328,34.286,34.202,34.653,34.676,35.371,35.692,37.338,34.018,33.947,34.988,34.377,35.46,36.961,37.139,37.23,37.501,38.163,38.909,38.814,39.467,39.291,39.392,39.116,38.13,39.025,39.663,39.487,39.967,40.638,42.631,42.557,42.806,43.567,45.687,46.55,47.392,48.126,49.178,50.527,52.348,52.805,51.935,53.028,55.489,57.06,58.715,58.93,59.379,60.935,64.351,65.325,68.377,69.774,70.335,72.954,74.177,77.919,80.919,80.755,89.33,93.186,95.526,99.563,96.576,91.755,89.85,87.867,83.619,83.866,83.689,81.597,83.428,85.095,89.406,92.865,93.036,95.239,94.594,94.049,98.048,98.838,101.89,101.223,107.752,106.424,107.586,107.075,112.895,115.367,118.215,125.859,123.876,125.656,122.927,116.28,114.825,117.454,123.527,127.51,130.239,134.286,137.856,142.372
"22","14","    Industrial equipment","B680RA3",53.472,54.568,56.213,55.639,56.956,56.074,55.988,53.995,51.398,50.527,50.742,52.157,51.87,54.307,56.516,58.156,60.379,64.297,66.582,69.847,71.086,71.832,70.622,67.619,61.415,59.353,59.04,58.583,59.9,59.921,59.699,60.049,61.383,61.453,64.355,66.709,67.564,70.095,72.288,72.547,75.847,75,74.718,77.12,75.285,72.284,70.457,71.643,71.405,71.307,71.459,70.898,68.425,66.354,64.271,61.359,58.088,58.225,60.867,62.558,66.191,67.712,69.292,71.18,70.64,72.349,70.958,73.099,71.733,70.688,71.774,71.51,69.774,68.871,70.28,69.672,69.775,72.638,74.963,75.202,77.758,78.393,79.575,77.258,76.737,73.329,73.569,71.249,70.116,69.024,69.029,67.825,67.607,69.046,70.754,73.627,74.261,74.689,75.683,80.258,80.816,81.434,83.691,86.145,89.948,91.343,91.994,91.199,93.354,95.117,94.221,95.316,94.856,96.666,97.205,97.439,102.362,101.471,99.39,99.753,99.571,101.005,102.337,102.549,107.439,110.272,112.247,110.522,110.77,102.907,98.576,95.747,96.573,94.1,95.239,94.683,94.207,97.812,95.237,92.688,88.876,90.974,93.799,95.638,97.862,96.733,100.683,104.722,103.425,110.363,109.443,109.986,108.107,115.872,116.112,110.566,111.274,110.351,107.985,101.975,86.541,83.213,80.998,80.385,80.422,88.127,89.605,91.948
"23","15","    Transportation equipment","B681RA3",39.836,38.99,37.997,35.815,32.833,32.103,32.823,27.481,32.539,33.383,33.325,36.015,37.99,38.148,37.409,43.594,45.685,48.257,47.805,47.226,45.583,44.312,43.825,37.333,36.123,35.009,37.668,38.562,39.522,40.156,41.021,43.141,48.519,49.643,49.375,51.583,51.104,56.755,55.752,56.456,59.857,56.642,58.842,54.393,51.846,44.666,45.828,45.202,46.926,45.172,46.47,43.801,43.136,40.534,37.625,40.29,40.198,42.03,46.576,53.147,50.943,54.273,55.561,55.964,55.295,56.718,57.383,55.84,53.087,54.593,55.306,53.643,49.301,53.972,53.007,49.707,54.489,54.402,53.028,55.253,50.332,49.854,49.944,45.431,48.367,46.194,50.877,49.075,48.797,46.792,48.154,45.55,43.031,50.199,47.055,52.357,51.693,59.118,54.949,62.624,65.584,63.184,64.836,73.935,78.377,70.666,69.276,71.214,70.307,72.501,79.223,79.132,79.341,81.19,85.418,80.31,81.84,85.51,90.115,99.188,100.111,103.315,109.686,105.781,104.97,106.252,102.041,96.601,93.792,94.396,90.516,94.536,89.734,85.38,84.025,80.305,72.357,78.403,79.253,79.103,78.41,86.274,93.027,99.652,95.931,99.119,104.398,100.552,111.504,106.815,106.606,107.612,107.35,101.288,99.745,100.511,100.196,87.013,75.114,52.468,35.335,38.817,37.676,41,52.744,60.651,68.682,63.83
"24","16","    Other equipment \5\","B862RA3",36.858,36.109,36.005,36.507,36.966,37.558,39.025,38.207,37.214,38.008,38.276,37.787,39.865,41.455,43.61,46.522,50.11,50.783,50.594,48.861,48.921,49.547,49.131,50.184,44.739,45.721,45.418,47.253,45.926,45.638,47.104,45.958,50.199,51.381,52.117,54.021,53.822,57.216,57.71,60.069,59.508,59.393,59.448,54.96,58.426,50.625,49.258,51.402,52.728,54.551,55.442,52.647,48.117,46.849,47.069,44.306,40.892,44,45.41,49.258,49.81,50.462,51.393,51.673,51.844,51.962,50.2,51.275,51.094,51.026,49.174,50.249,49.542,50.876,53.256,53.54,54.063,53.761,54.555,54.834,58.587,60.051,62.528,61.291,59.675,58.349,58.244,57.002,51.134,50.227,49.116,48.856,48.576,48.381,50.334,50.981,53.175,53.788,54.231,55.871,57.147,58.143,58.929,60.339,62.116,61.668,61.388,62.015,62.564,63.367,65.047,65.627,67.196,68.295,72.535,73.382,76.44,78.605,78.194,76.939,79.602,78.427,79.317,81.008,83.308,85.247,83.874,83.817,85.037,82.688,84.171,81.782,80.753,83.608,83.454,83.368,84.491,84.683,88.172,89.216,88.38,90.365,93.442,95.36,96.808,100.762,100.865,101.565,104.66,104.477,102.508,102.991,100.547,103.846,103.699,103.742,101.056,101.178,101.868,92.607,82.789,76.203,74.954,74.133,79.571,82.614,86.365,87.648
"25","17","Residential","B011RA3",35.12,34.743,34.459,31.939,32.003,29.87,31.462,34.779,36.635,40.332,42.319,43.959,46.891,47.811,47.922,49.634,51.303,48.693,46.627,44.399,41.143,39.349,38.052,33.045,31.004,31.67,33.876,35.358,38.973,40.094,39.44,44.467,45.808,51.049,50.887,50.215,50.468,52.892,53.626,53.438,52.189,51.214,50.606,48.694,44.968,36.649,37.275,40.917,40.186,38.824,35.829,32.159,30.305,29.349,29.256,31.398,36.749,41.103,45.174,47.083,48.391,49.287,48.814,48.864,48.713,49.102,49.725,50.908,53.084,56.03,56.893,56.791,56.641,56.89,56.718,56.996,55.763,56.205,56.24,56.734,56.362,54.693,54.097,52.96,53.5,51.442,48.519,45.832,43.105,44.124,45.952,46.96,49.356,51.244,51.361,53.106,53.348,53.976,55.839,58.651,59.895,61.879,61.204,60.401,59.06,57.161,58.929,60.265,61.85,64.462,64.284,63.62,63.835,64.643,64.939,65.606,66.775,68.782,70.847,72.544,72.975,73.76,74.373,75.283,75.872,75.355,74.032,74.096,74.435,75.482,75.89,75.245,77.254,79.149,79.61,80.826,81.607,83.465,87.722,90.101,90.904,94.324,95.284,96.032,97.773,100.049,101.073,101.105,100.031,95.502,89.988,85.194,81.468,78.895,73.633,67.526,62.228,59.929,56.206,50.934,45.515,43.089,44.185,44.092,42.67,45.177,41.719,42.008
"26","18","  Structures","B012RA3",35.716,35.28,34.974,32.329,32.387,30.16,31.789,35.197,37.109,40.914,42.962,44.607,47.578,48.506,48.564,50.296,51.971,49.257,47.116,44.792,41.388,39.516,38.214,33.141,31.04,31.716,33.975,35.49,39.224,40.369,39.672,44.853,46.298,51.599,51.353,50.605,50.909,53.372,54.136,53.915,52.615,51.557,50.877,48.911,45.09,36.582,37.212,40.94,40.177,38.807,35.718,31.955,30.088,29.097,29.005,31.201,36.644,41.083,45.217,47.155,48.463,49.346,48.845,48.881,48.705,49.068,49.682,50.848,53.048,56.069,56.928,56.811,56.655,56.904,56.682,56.944,55.699,56.127,56.159,56.647,56.267,54.557,53.981,52.801,53.348,51.272,48.307,45.583,42.807,43.819,45.726,46.773,49.174,51.1,51.217,52.971,53.225,53.86,55.749,58.645,59.926,61.928,61.239,60.382,59.022,57.104,58.893,60.26,61.897,64.534,64.375,63.684,63.931,64.747,65.042,65.714,66.884,68.887,70.968,72.669,73.073,73.83,74.416,75.333,75.894,75.358,74.007,74.055,74.4,75.46,75.866,75.18,77.206,79.119,79.599,80.823,81.615,83.451,87.711,90.091,90.881,94.321,95.264,95.995,97.766,100.057,101.092,101.084,99.97,95.399,89.818,84.973,81.196,78.612,73.283,67.104,61.761,59.413,55.685,50.411,44.954,42.522,43.601,43.476,42.007,44.52,41.016,41.285
"27","19","    Permanent site","B943RA3",41.777,41.238,39.757,37.943,35.974,33.423,36.439,39.547,43.324,48.068,51.175,53.342,57.565,59.327,59.267,60.839,63.191,62.029,58.363,52.321,47.202,45.074,41.922,36.487,32.234,30.47,32.756,35.207,38.97,41.712,44.023,47.042,50.565,57.12,57.037,56.884,55.959,57.576,59.47,58.778,56.472,54.834,54.184,51.402,44.683,35.154,33.951,38.582,40.002,38.124,33.608,28.8,26.697,25.996,26.81,30.034,37.006,42.703,48.234,51.045,52.375,53.103,52.641,52.189,51.952,51.641,51.514,52.489,54.973,57.737,59.584,59.438,58.549,58.513,58.622,59.156,56.496,56.379,56.176,57.351,57.574,55.765,54.397,53.074,54.512,52.044,48.269,44.627,40.363,40.904,44.489,45.937,47.785,50.783,50.253,51.398,51.856,51.898,53.481,56.486,58.653,61.189,60.401,59.057,57.24,54.001,55.12,57.162,59.179,62.424,61.889,61.01,60.872,61.658,61.101,62.195,63.672,65.804,68.78,70.911,71.641,71.534,72.125,73.868,74.712,73.799,71.451,71.546,72.523,73.817,74.147,72.732,73.898,76.245,77.005,77.879,79.524,80.595,84.908,89.841,90.392,93.354,94.902,94.979,97.684,99.323,100.651,102.342,101.968,95.035,87.652,80.412,75.155,71.787,66.296,58.492,51.653,48.351,43.102,37.145,29.726,25.389,26.54,26.444,26.52,27.376,25.593,24.59
"28","20","      Single family","B944RA3",32.121,30.589,29.085,27.246,25.414,23.573,25.967,28.468,31.689,35.639,37.399,38.842,41.736,42.536,42.743,43.637,45.546,44.451,40.731,36.205,33.118,33.375,32.245,29.376,26.766,27.094,30.286,32.828,36.96,39.929,41.854,44.144,47.446,53.912,53.83,54.078,53.045,53.732,55.058,54.319,51.519,48.711,47.412,43.908,37.011,28.431,27.997,32.5,33.006,31.285,27.325,22.967,20.923,20.698,21.48,24.801,31.296,36.471,41.383,43.412,44.585,45.247,43.815,43.382,43.479,43.522,43.546,44.954,47.137,49.355,52.137,52.278,53.067,54.01,54.742,55.208,53.072,53.609,53.305,54.436,54.591,52.404,50.947,50.316,52.16,49.609,45.591,41.916,37.651,39.15,43.729,45.338,47.696,50.341,50.86,52.551,53.494,53.627,55.03,58.458,60.611,62.793,61.274,59.457,57.144,53.606,54.382,56.492,58.416,61.423,61.722,60.557,59.866,60.447,60.154,60.874,62.747,65.497,68.596,70.859,71.409,71.131,71.387,73.5,74.712,73.544,71.322,71.055,71.991,73.388,73.723,71.951,73.041,75.467,76.364,77.457,79.109,80.311,84.807,90.334,90.861,93.772,95.039,95.037,97.772,99.242,100.543,102.443,102.06,94.442,86.405,77.977,72.44,69.613,64.135,55.848,48.33,44.512,38.801,32.817,25.369,21.854,24.497,25.577,26.732,28.115,26.046,24.903
"29","21","      Multifamily","B292RA3",120.82,129.046,127.951,126.612,123.719,115.294,123.358,131.359,139.484,150.538,165.048,173.284,188.589,198.555,196.147,203.454,209.38,207.784,205.096,186.576,164.315,141.562,121.074,93.845,75.709,55.774,49.754,51.057,51.05,51.408,56.771,65.772,70.735,77.109,77.044,73.425,73.608,83.15,89.755,89.538,91.955,101.139,106.504,110.862,107.033,90.546,82.487,87.417,97.057,94.081,85.229,77.055,74.655,69.771,70.75,72.907,83.595,93.492,104.053,113.318,115.921,117.165,124.809,124.186,121.159,117.918,116.553,113.992,118.957,126.16,120.468,117.967,103.547,95.598,90.634,91.713,84.765,79.332,79.951,81.487,82.269,83.618,83.023,75.803,73.688,72,70.445,67.155,62.973,55.163,50.071,50.107,47.568,53.522,44.011,40.426,36.647,35.854,38.952,38.12,40.344,46.041,51.931,54.938,57.725,57.277,61.577,62.962,65.807,71.227,63.029,64.785,69.728,72.369,69.41,73.827,71.757,68.519,70.427,71.438,73.719,75.092,78.585,77.119,74.79,76.078,72.65,75.876,77.217,77.607,77.897,79.64,81.458,83.108,82.657,81.626,83.213,83.123,85.804,85.381,86.132,89.538,93.639,94.414,96.817,100.026,101.644,101.513,101.349,100.511,98.842,101.918,98.91,90.84,85.245,81.486,80.247,81.042,79.187,73.004,65.201,54.172,44.016,34.99,26.926,23.876,24.12,24.091
"30","22","    Other structures \6\","B863RA3",26.353,26.079,27.563,23.69,26.777,25.056,24.601,28.402,27.56,29.936,30.387,31.235,32.301,31.958,32.196,34.183,34.814,29.681,29.878,33.346,32.569,31.068,32.589,28.074,29.249,33.663,35.894,35.978,39.675,38.388,33.083,41.558,39.857,43.255,42.75,41.08,43.278,47.074,46.071,46.588,46.855,46.7,45.969,45.272,45.98,39.025,42.529,44.863,40.66,40.094,39.234,37.083,35.568,34.117,32.608,33.206,36.287,38.792,40.782,41.381,42.662,43.79,43.226,44.017,43.934,45.336,47.092,48.559,50.334,53.765,53.102,53.027,54.006,54.697,53.959,53.803,54.737,56.009,56.401,55.835,54.521,52.956,53.6,52.633,51.823,50.335,48.588,47.248,46.707,48.429,47.816,48.267,51.512,51.844,52.931,55.61,55.559,57.089,59.453,62.198,62.128,63.321,62.778,62.674,62.015,62.148,64.983,65.303,66.357,68.061,68.486,68.081,68.93,69.797,71.425,71.44,72.131,73.938,74.609,75.624,75.502,77.643,78.222,77.81,77.916,77.988,78.241,78.214,77.541,78.225,78.75,79.245,82.672,83.88,83.908,85.706,85.1,88.199,92.371,90.548,91.718,95.945,95.869,97.704,97.915,101.306,101.841,98.938,96.535,96.007,93.511,92.794,91.574,90.339,85.295,81.913,79.126,78.389,77.191,73.027,70.895,71.7,72.645,72.464,68.392,73.694,67.279,69.663
"31","23","  Equipment","B013RA3",17.732,18.714,18.96,19.517,19.716,19.944,20.512,21.401,21.768,22.562,22.919,24.263,25.967,26.594,28.005,29.062,30.495,30.75,30.808,31.311,32.344,32.822,31.714,28.788,28.535,28.896,29.511,30.024,30.11,30.494,31.045,31.423,29.623,32.86,35.261,36.943,35.635,36.81,36.612,37.467,37.879,39.686,41.502,41.465,41.055,39.339,39.838,40.444,40.823,39.771,40.121,39.755,38.365,38.626,38.514,38.742,40.897,42.223,44.093,44.952,46.267,47.655,48.172,48.738,49.491,50.848,51.841,53.693,55,55.067,56.084,56.602,56.639,56.871,58.72,59.63,58.891,59.944,60.077,60.798,60.79,60.808,59.355,60.032,60.261,58.921,57.846,56.712,56.138,57.429,55.873,55.159,57.31,57.531,57.7,59.001,58.715,59.033,59.735,58.683,58.177,59.274,59.279,60.98,60.576,59.642,60.364,60.201,59.233,60.666,59.531,60.201,58.828,59.201,59.622,59.957,61.159,63.371,64.524,66.037,67.854,70.193,72.234,72.776,74.948,75.496,75.804,76.76,76.766,77.049,77.631,79.458,80.438,81.22,80.484,81.193,81.265,84.558,88.531,90.909,92.601,94.591,96.816,98.875,98.29,99.462,99.563,102.686,104.793,103.649,103.582,102.98,103.462,101.831,102.036,101.869,100.331,102.039,98.755,93.584,91.209,89.282,91.792,94.261,96.793,98.733,99.309,101.356
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
