"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"14","6","  Households","B701RA3",32.525,32.959,33.269,33.558,33.556,33.614,33.885,34.365,34.781,35.073,35.569,36.123,36.499,36.795,37.012,37.337,37.61,37.981,38.451,38.932,39.483,39.765,40.038,40.363,40.573,40.908,41.137,41.28,41.351,41.647,41.919,42.096,41.746,41.851,42.453,42.831,44.094,44.397,44.934,45.824,46.448,46.432,46.864,47.664,48.95,50.116,49.927,50.276,50.837,51.194,51.531,51.926,52.117,52.202,52.487,52.389,52.617,52.842,53.225,54.434,54.574,54.243,55.371,56.246,56.171,56.359,56.25,56.782,56.935,56.868,57.297,57.344,57.742,57.72,59.24,59.805,60.268,60.294,60.882,61.829,62.153,62.763,62.918,62.987,63.441,64.163,64.523,65.017,65.49,65.731,66.506,66.992,66.893,68.006,68.754,68.916,69.803,69.704,69.693,70.084,71.041,72.425,74.103,74.841,75.181,75.419,75.103,75.71,76.028,76.582,77.285,78.009,78.694,79.313,79.798,80.376,80.584,81.035,81.836,82.208,83.617,84.995,86.24,87.736,88.606,89.101,89.719,90.784,90.927,91.45,92.646,91.965,91.809,92.677,90.989,90.042,91.066,90.793,89.176,93.194,93.218,94.045,95.855,97.106,98.66,99.881,100.104,101.356,103.037,104.207,104.781,103.515,104.304,104.698,106.185,107.866,108.988,111.127,111.777,112.044,111.018,109.349,110.151,110.215,109.588,109.535,108.837,108.231
"15","7","  Nonprofit institutions serving households \3\","B702RA3",33.192,33.455,33.616,33.627,33.58,33.529,33.798,34.081,34.571,34.889,35.12,35.28,36.201,36.335,36.652,36.838,37.222,37.618,37.965,38.38,38.638,38.945,39.276,39.541,40.326,40.78,41.116,41.308,41.225,41.272,41.437,41.691,42.067,42.181,42.302,42.466,42.635,42.992,43.222,43.568,44.126,44.763,45.169,45.27,45.81,45.953,46.546,46.789,47.236,47.432,47.835,48.625,49.471,50.177,50.927,51.454,51.953,52.517,52.988,53.434,53.924,54.289,54.274,54.514,54.219,54.459,54.726,55.427,56.365,57.16,57.594,58.154,59.014,59.918,61.094,61.72,62.832,63.545,64.396,65.323,66.332,67.063,67.706,68.628,69.742,70.564,71.303,71.787,72.255,72.509,72.854,73.589,74.238,74.863,75.636,76.463,77.75,78.602,79.152,79.061,78.748,78.912,79.382,79.872,80.845,81.559,82.093,82.471,82.655,83.1,83.508,84.078,84.846,85.683,86.648,87.676,89.072,89.766,90.379,90.785,90.577,91.011,91.178,91.89,92.488,93.169,93.986,95.301,95.029,95.511,95.706,95.932,96.79,97.736,98.207,98.328,98.353,98.135,98.048,98.674,98.715,99.033,99.121,99.282,99.512,99.887,100.373,100.228,100.195,99.963,99.793,100.059,102.523,102.558,102.366,102.408,103.48,104.438,104.997,105.275,104.974,103.41,104.234,104.615,105.266,106.107,106.479,107.048
"16","8","General government \4\","B765RA3",65.229,65.747,66.26,66.51,66.12,66.149,66.22,66.268,66.358,66.226,66.276,66.334,65.948,65.93,66.225,66.612,66.396,66.346,66.393,66.769,67.435,67.687,67.924,68.273,68.752,68.864,69.006,69.083,69.248,69.338,69.621,69.897,69.955,70.04,70.397,70.62,71.061,71.262,71.814,72.268,72.351,72.187,72.181,72.734,73.127,73.561,73.568,73.357,73.428,73.556,74.012,74.238,74.398,74.604,74.573,74.667,74.922,75.025,75.151,75.047,75.261,75.705,76.28,76.629,77.183,77.75,78.642,78.997,79.369,79.78,80.218,80.898,81.184,81.526,81.85,82.714,83.413,83.62,84.053,84.692,85.128,85.626,86.285,86.752,87.591,87.956,88.44,88.6,89.229,89.14,88.951,88.937,89.244,89.325,89.503,89.381,89.624,89.591,89.619,89.409,89.548,89.645,89.706,89.428,89.731,89.855,89.849,89.147,89.106,90.053,90.019,89.982,90.173,90.353,90.65,90.713,91.059,91.385,91.703,91.844,92.036,92.071,92.393,92.822,93.375,94.236,94.001,94.133,94.784,95.429,95.982,96.326,96.925,97.454,97.864,97.995,98.526,98.798,98.795,98.805,99.048,99.178,99.364,99.72,99.893,99.879,100.069,100.159,100.078,100.252,100.848,101.188,101.266,101.499,101.954,102.526,103.221,103.826,104.648,105.102,105.331,105.939,105.971,106.162,106.3,106.74,106.375,106.36
"17","9","  Federal","B766RA3",105.966,106.511,106.996,106.378,103.723,102.458,101.296,100.13,99.229,97.756,96.557,95.294,93.661,92.196,92.033,92.118,90.529,89.27,88.204,88.173,88.998,88.826,88.581,88.645,88.511,88.238,88.146,88.176,88.359,88.363,88.437,88.51,88.407,88.537,88.852,88.838,89.39,89.8,90.073,89.837,89.682,89.627,89.766,89.639,90.194,91.434,91.602,91.166,91.923,92.275,92.788,93.027,93.256,93.732,94.279,94.77,95.505,96.013,96.601,96.659,97.347,98.104,98.82,99.21,100.045,100.91,101.783,101.945,102.453,102.686,103.149,103.575,104.523,105.031,106.152,106.958,106.96,106.489,106.87,107.583,107.643,107.975,108.598,108.966,109.933,110.128,110.55,110.483,112.249,111.394,110.382,109.725,109.43,108.889,108.377,107.758,107.821,107.07,106.287,104.957,104.615,103.581,102.767,101.303,100.621,100.281,99.614,96.179,96.315,97.225,96.695,95.552,95.301,94.944,94.677,93.599,93.621,93.509,93.569,93.489,93.465,92.715,92.474,92.47,93.121,95.023,93.285,92.804,93.635,94.054,94.168,93.857,94.906,95.552,96.168,96.492,97.726,98.532,98.589,98.578,99.048,98.941,99.356,99.996,100.136,99.866,99.803,100.194,99.468,99.503,100.367,100.393,100.183,100.067,101.04,101.459,102.472,103.598,105.344,107.084,108.26,110.603,111.566,112.331,113.402,115.057,114.787,115.158
"18","10","  State and local","B767RA3",48.33,48.828,49.343,49.931,50.451,51.003,51.573,52.112,52.611,53.041,53.614,54.23,54.38,54.993,55.49,56.01,56.393,56.867,57.396,57.954,58.557,58.995,59.443,59.918,60.673,60.954,61.199,61.298,61.458,61.587,61.963,62.33,62.461,62.526,62.905,63.236,63.632,63.743,64.422,65.185,65.374,65.161,65.091,65.945,66.271,66.356,66.292,66.18,65.946,65.978,66.413,66.635,66.765,66.853,66.566,66.487,66.534,66.462,66.389,66.215,66.221,66.529,67.049,67.383,67.819,68.259,69.167,69.609,69.925,70.415,70.844,71.632,71.64,71.913,71.907,72.796,73.783,74.273,74.728,75.337,75.927,76.495,77.169,77.675,78.463,78.895,79.403,79.653,79.824,80.044,80.186,80.431,80.98,81.317,81.777,81.856,82.172,82.429,82.785,83.029,83.362,83.919,84.334,84.533,85.236,85.549,85.812,86.231,86.119,87.084,87.257,87.679,88.054,88.46,88.991,89.53,90.011,90.522,90.947,91.179,91.461,91.822,92.377,92.985,93.5,93.928,94.315,94.701,95.278,96.015,96.748,97.362,97.777,98.258,98.584,98.633,98.868,98.912,98.884,98.903,99.048,99.282,99.367,99.6,99.786,99.885,100.186,100.143,100.347,100.583,101.061,101.539,101.744,102.133,102.358,102.996,103.551,103.926,104.344,104.244,104.064,103.923,103.557,103.505,103.245,103.165,102.76,102.582
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",33.968,34.424,34.814,35.164,35.302,35.504,35.844,36.264,36.636,37.057,37.556,38.135,38.59,38.958,39.298,39.708,40.018,40.385,40.775,41.181,41.792,42.318,42.817,43.273,43.492,43.733,43.996,44.188,44.245,44.437,44.625,44.811,45.369,45.411,45.67,46.153,47.321,47.566,47.765,48.305,49.074,49.206,49.667,50.535,51.592,52.768,52.857,53.405,54.081,54.499,54.803,55.479,55.899,55.869,56.41,56.593,56.672,56.985,57.613,58.465,58.51,58.327,59.354,60.831,60.963,61.122,61.814,62.418,62.487,62.672,62.866,62.872,63.628,63.465,64.689,65.066,65.573,65.636,66.145,66.933,67.109,67.615,67.724,67.829,68.317,69.072,69.56,70.163,70.752,71.127,71.974,72.505,72.535,73.577,74.249,74.385,74.922,74.774,74.707,75.053,75.987,77.286,78.907,79.671,80.151,80.432,80.134,80.681,80.818,81.262,81.901,82.554,83.247,83.857,84.263,84.708,84.794,85.157,85.86,86.098,87.5,88.816,89.963,91.331,91.98,92.358,92.889,93.858,93.993,94.38,95.522,94.79,94.574,95.315,93.314,91.938,92.443,91.755,89.81,93.853,93.941,94.753,96.474,97.508,98.815,99.849,100.016,101.321,103.076,104.344,105.093,104.394,105.593,106.459,108.069,109.632,110.443,112.287,113.23,113.824,113.239,112.14,113.062,113.263,112.959,113.037,112.648,112.262
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
