"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232"
"11","3","  Structures","B009RG3",10.388,10.522,10.893,11.262,11.56,11.881,12.187,12.295,12.095,11.92,11.858,11.884,11.852,11.82,12.077,12.591,13.099,13.42,13.64,13.762,13.88,13.831,13.803,13.836,13.872,14.072,14.254,14.23,14.038,13.893,13.897,13.917,13.952,14.067,14.259,14.579,15.223,15.175,15.586,15.74,15.909,16.108,16.194,16.155,15.718,15.816,15.879,15.93,15.82,15.913,15.974,15.985,16.042,15.945,15.869,15.761,15.761,15.793,15.814,15.871,15.896,15.951,15.934,15.983,16.034,16.07,16.11,16.128,16.106,16.288,16.308,16.564,16.595,16.716,16.761,17.092,17.045,17.424,17.45,17.672,17.748,17.843,17.965,18.218,18.463,18.699,18.851,19.326,19.603,19.92,20.192,20.58,20.788,21.437,21.494,21.842,22.298,22.81,23.319,23.732,24.195,24.496,24.821,25.303,25.68,26.226,26.954,27.616,28.357,29.592,30.971,32.259,33.212,33.813,34.105,34.514,34.709,35.341,35.867,36.368,37.51,38.196,39.045,39.852,40.726,41.852,42.887,44.063,45.281,46.675,48.13,49.167,50.024,51.05,52.137,53.749,56.084,58.025,59.677,61.734,63.054,63.709,63.896,63.603,62.508,61.866,61.733,61.648,61.721,62.33,62.726,63.095,63.57,63.72,64.056,64.414,64.679,65.024,65.314,65.656,65.662,65.925,66.281,66.926,67.991,68.662,69.335,70.076,70.671,71.504,72.053,72.6,73.208,73.726,74.336,74.789,75.461,75.581,75.559,74.82,74.8,75.084,75.427,76.009,76.61,77.278,77.916,78.605,79.245,79.735,80.712,81.861,82.844,83.392,84.293,84.987,85.069,85.41,86.535,87.165,88.047,88.854,89.813,90.81,92.138,93.157,93.926,94.674,95.302,95.88,96.513,97.331,98.482,99.366,100.455,101.697,103.322,105.068,106.686,106.997,106.759,106.888,106.975,107.274,108.268,108.559,109.288,110.556,111.784
"12","4","    Commercial and health care","W001RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.083,15.217,15.223,15.231,15.09,15.089,15.027,15.032,15.143,15.07,15.007,14.871,14.857,14.923,14.987,15.064,15.054,15.125,15.125,15.253,15.325,15.398,15.459,15.526,15.457,15.725,15.728,16.053,16.045,16.174,16.174,16.566,16.422,16.875,16.874,17.13,17.202,17.272,17.338,17.612,17.859,18.056,18.185,18.779,19.106,19.443,19.714,20.102,20.223,20.933,20.797,21.197,21.802,22.348,22.892,23.353,23.86,24.11,24.488,25.139,25.489,26.015,26.737,27.193,27.706,28.627,29.815,30.977,31.759,32.153,32.238,32.45,32.503,33.165,33.583,33.91,34.452,35.109,35.941,36.696,37.573,38.49,39.315,40.316,41.167,42.602,43.956,45.071,46.314,47.414,48.637,50.005,51.055,52.007,52.875,53.78,54.697,55.505,56.15,56.563,56.901,57.207,57.567,58.106,58.767,59.303,60.014,60.514,60.967,61.309,61.735,62.256,62.734,63.374,63.988,64.689,65.222,65.779,66.263,66.883,67.697,68.184,68.698,69.337,69.935,70.772,71.219,71.708,72.442,72.922,73.471,73.75,73.996,74.195,74.458,74.186,74.075,74.385,74.75,75.427,76.206,76.751,77.488,78.231,78.9,79.443,80.463,81.654,82.662,83.143,83.568,83.943,84.324,84.749,85.645,86.127,86.784,87.357,88.35,89.288,90.478,91.419,92.572,93.717,94.702,95.675,96.506,97.327,98.731,99.594,100.409,101.266,102.148,103.114,104.559,105.536,106.259,106.483,106.548,107.163,108.256,108.503,108.894,110.236,111.31
"13","5","    Manufacturing","C307RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.181,15.31,15.306,15.303,15.171,15.171,15.103,15.107,15.238,15.17,15.104,14.977,14.973,15.042,15.105,15.169,15.167,15.232,15.233,15.365,15.431,15.498,15.562,15.624,15.559,15.824,15.822,16.152,16.16,16.295,16.3,16.698,16.568,17.036,17.04,17.312,17.379,17.449,17.51,17.778,18.028,18.22,18.35,18.956,19.295,19.63,19.896,20.295,20.43,21.164,21.039,21.456,22.073,22.613,23.147,23.602,24.136,24.393,24.773,25.424,25.749,26.266,26.99,27.451,27.983,28.928,30.142,31.329,32.115,32.519,32.612,32.836,32.914,33.584,33.995,34.31,34.842,35.483,36.3,37.04,37.861,38.782,39.611,40.631,41.587,43.069,44.478,45.646,46.938,48.072,49.313,50.678,51.648,52.573,53.435,54.373,55.368,56.218,56.889,57.314,57.663,57.959,58.307,58.834,59.492,60.022,60.744,61.258,61.717,62.083,62.533,63.079,63.582,64.225,64.842,65.536,66.063,66.609,67.086,67.707,68.556,69.051,69.573,70.218,70.805,71.649,72.103,72.608,73.371,73.875,74.441,74.721,74.964,75.159,75.418,75.133,75.039,75.35,75.718,76.401,77.193,77.729,78.46,79.195,79.831,80.358,81.385,82.599,83.646,84.162,84.616,85.002,85.345,85.778,86.699,87.207,87.909,88.485,89.44,90.301,91.128,92.114,93.261,94.338,95.302,96.136,96.85,97.568,98.774,99.581,100.382,101.255,102.182,103.308,105.009,106.341,107.869,108.367,108.592,109.255,110.373,110.622,111.019,112.387,113.485
"14","6","    Power and communication","W003RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.625,19.576,19.809,19.977,19.923,20.078,20.371,20.333,20.349,20.258,20.29,20.267,20.293,20.278,20.198,20.2,20.131,20.107,19.986,19.903,20.005,20.075,20.196,20.144,20.137,20.069,20.158,20.261,20.433,20.539,20.664,20.902,21.043,21.164,21.129,21.227,21.405,21.62,21.949,22.19,22.435,22.819,23.043,23.255,23.486,23.741,24.061,24.563,25.024,25.607,26.126,26.473,26.806,27.343,27.858,28.177,28.577,28.988,29.167,29.318,29.817,30.577,31.543,32.886,34.174,35.623,37.103,38.622,39.914,40.871,41.499,42.037,42.69,43.363,43.992,44.669,46.694,46.797,47.116,47.747,48.441,49.392,50.502,51.672,53.109,54.458,56.145,57.634,58.686,60.152,61.439,62.77,63.565,64.609,65.535,66.349,67.349,67.776,68.399,68.657,68.982,68.833,68.854,68.942,68.892,69.363,69.412,69.57,70.047,70.164,70.267,70.256,70.12,70.119,70.095,70.145,70.237,70.423,70.988,71.604,72.304,73.277,74.503,75.743,76.538,77.667,78.776,79.795,80.136,80.405,80.704,80.921,80.983,81.1,81.488,81.452,81.874,82.108,82.409,82.718,83.22,84.373,84.789,85.523,86.437,87.15,87.758,88.849,89.75,90.57,91.698,92.42,92.777,93.138,93.654,94.388,94.625,95.465,95.873,96.08,96.45,96.472,96.624,96.752,96.383,96.439,97.11,97.774,98.679,99.752,100.328,101.241,101.881,102.5,103.472,103.745,104.333,104.841,105.762,106.124,107.071,108.046,108.952,109.886,111.529
"15","7","    Mining exploration, shafts, and wells","B318RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.735,14.741,14.74,14.74,14.732,15.188,15.55,15.64,15.47,15.196,14.918,14.819,14.818,14.731,14.644,14.738,15.013,15.109,15.109,14.845,14.758,14.582,14.406,14.235,14.408,14.513,14.512,14.622,14.622,14.721,14.902,15.014,15.275,15.663,15.929,16.13,16.129,16.226,16.32,16.606,16.712,16.988,17.177,17.487,17.516,17.803,18.087,18.209,18.48,19.069,19.231,19.099,18.908,19.387,19.868,20.168,20.482,20.936,21.32,21.479,21.764,22.086,22.504,23.14,24.123,27.062,29.388,31.046,32.636,33.683,34.42,35.577,35.574,36.239,37.4,38.567,40.382,42.566,44.726,46.43,47.764,50.402,52.454,54.752,57.376,58.974,60.773,60.908,59.62,60.006,60.606,63.444,71.705,78.375,83.881,91.095,94.146,94.624,92.796,89.117,80.669,75.664,73.261,70.496,68.384,69.342,68.774,68.792,69.422,68.651,68.883,68.832,68.478,67.373,65.397,63.095,58.174,56.008,55.006,55.937,59.469,61.308,62.64,63.704,64.112,64.525,65.088,65.378,65.264,66.361,67.878,70.036,74.45,73.845,71.215,65.824,65.525,65.695,66.044,66.636,66.335,66.609,67.109,67.582,67.703,67.48,68.842,69.87,70.697,71.053,75.811,79.165,75.54,75.184,79.494,81.222,85.062,87.717,89.424,92.116,98.662,102.564,101.273,99.782,98.675,96.506,95.333,96.607,96.301,96.962,101.158,105.58,114.241,123.322,127.043,122.833,114.721,113.079,111.233,108.705,109.203,108.379,110.83,112.418,114.03
"16","8","    Other structures \1\","W004RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.459,15.638,15.668,15.713,15.567,15.555,15.49,15.509,15.625,15.57,15.501,15.374,15.374,15.433,15.498,15.548,15.56,15.622,15.628,15.765,15.822,15.877,15.929,15.991,15.948,16.181,16.196,16.491,16.51,16.634,16.657,17.011,16.916,17.318,17.352,17.604,17.665,17.734,17.827,18.06,18.359,18.55,18.675,19.242,19.558,19.928,20.177,20.593,20.751,21.382,21.387,21.827,22.357,22.843,23.334,23.823,24.325,24.589,24.948,25.545,25.934,26.443,27.121,27.654,28.411,29.628,31.1,32.416,33.136,33.641,33.791,34.06,34.238,34.791,35.103,35.429,36.704,37.119,37.745,38.273,39.028,39.87,40.698,41.588,42.565,43.873,45.286,46.455,47.897,48.973,50.153,51.598,52.814,54.004,54.923,55.89,56.848,57.778,58.486,58.953,59.456,59.763,60.138,60.538,60.969,61.569,62.111,62.538,62.921,63.253,63.576,64.011,64.406,64.959,65.51,66.129,66.666,67.237,67.777,68.454,69.238,69.692,70.162,70.719,71.235,72.035,72.525,73.079,73.825,74.331,74.871,75.143,75.453,75.794,76.046,75.824,75.764,76.073,76.386,76.947,77.628,78.414,79.056,79.682,80.329,80.865,81.774,82.857,83.819,84.392,84.924,85.469,86.039,86.427,87.253,87.802,88.415,89.053,89.924,90.846,91.298,91.997,92.898,93.82,94.706,95.581,96.387,97.239,98.57,99.509,100.409,101.512,102.578,103.532,104.855,105.739,106.024,106.225,106.361,107.065,108.092,108.401,108.801,110.007,110.988
"17","9","  Equipment and software","B010RG3",31.539,32.864,33.594,33.9,33.723,34.715,36.156,36.806,36.736,36.937,36.795,36.389,36.508,37.123,37.887,39.023,40.242,40.745,40.926,41.422,41.564,41.824,41.654,41.605,41.556,41.705,41.896,41.885,42.512,43.171,42.649,42.727,42.414,42.601,43.373,44.277,45.068,45.8,46.946,47.691,48.604,48.641,49.03,49.746,49.739,49.996,49.999,50.137,50.51,50.794,51.042,51.184,51.079,51.361,51.433,51.347,51.229,51.069,50.936,50.864,50.811,50.816,50.83,50.639,50.6,50.488,50.47,50.424,50.467,50.502,50.483,50.444,50.506,50.491,50.639,50.443,50.391,50.536,50.664,51.025,51.325,51.579,51.912,52.288,52.471,52.902,53.367,53.93,54.094,54.378,54.833,55.277,55.891,56.403,56.826,57.506,58.052,58.418,58.477,58.412,58.83,59.058,59.197,59.09,59.317,59.917,60.4,60.553,61.299,62.818,65.331,68.449,71.539,73.71,74.805,75.949,77.025,77.752,78.719,79.926,81.194,82.346,83.603,84.9,85.859,86.837,87.896,88.97,90.565,92.205,93.693,95.263,97.644,100.042,102.152,103.635,105.677,107.648,108.887,110.096,110.931,112.143,112.808,113.289,113.135,112.725,112.209,112.05,111.811,111.724,111.438,111.218,111.156,111.193,111.428,111.874,111.929,112.804,113.729,114.25,114.211,113.723,113.234,114.017,114.667,114.942,115.076,116.179,116.399,116.378,116.714,117.137,117.459,117.568,118.314,119.331,120.37,119.992,119.555,119.499,119.285,118.606,118.259,117.625,117.768,117.45,117.042,116.714,116.892,116.985,116.648,115.761,115.446,115.621,115.235,114.593,113.667,112.609,112.094,111.435,110.463,109.611,108.783,107.624,105.898,104.615,103.676,102.845,102.476,101.732,100.844,100.413,100.212,100.005,100.102,99.681,98.499,97.973,97.591,97.079,96.746,96.228,95.73,95.781,95.404,94.961,95.251,95.483,95.366
"18","10","    Information processing equipment and software","B679RG3",200.491,207.542,211.447,212.869,210.342,211.621,213.781,214.781,214.807,213.584,213.199,214.999,218.109,215.862,218.456,222.624,230.491,231.986,233.433,231.45,233.085,230.964,225.09,221.761,224.639,226.721,227.654,228.738,225.262,227.944,228.404,235.055,234.062,230.747,230.361,232.106,238.632,229.473,244.041,241.458,248.299,247.37,246.781,257.349,251.733,253.249,253.61,253.176,253.301,254.344,256.091,257.104,254.203,255.347,253.568,252.242,251.221,252.476,248.745,249.161,247.021,246.582,243.727,240.783,237.897,236.766,235.123,233.64,233.797,233.346,231.08,230.898,229.675,225.966,227.294,221.875,218.686,216.214,213.153,211.63,211.892,211.702,212.327,211.833,210.373,210.131,209.944,211.24,211.811,211.736,212.226,212.917,214.733,215.02,213.828,213.17,211.729,210.08,208.304,206.867,205.886,204.614,203.972,204.076,206.239,207.459,206.412,204.53,204.107,207.991,211.904,216.108,220.988,223.307,223.334,224.027,224.752,225.235,225.275,224.137,224.86,223.951,221.464,217.852,215.812,214.376,212.975,211.754,212.646,213.102,211.971,211.041,212.118,213.09,214.144,215.311,217.692,219.167,219.223,218.844,219.102,220.799,221.34,222.144,219.131,216.082,213.456,211.523,208.845,206.81,204.692,203.231,201.498,199.279,197.284,195.422,192.455,191.583,193.068,192.561,189.897,187.214,184.949,186.125,186.548,184.625,183.414,183.52,182.917,181.075,179.789,178.134,176.619,175.678,175.719,175.577,175.934,174.252,171.648,169.425,167.187,164.377,162.553,160.533,159.99,158.239,156.573,154.801,153.485,152.175,150.422,148.238,146.9,145.547,143.126,140.253,137.071,133.391,131.025,128.738,126.157,123.804,121.149,118.439,114.566,111.591,109.066,106.752,105.272,103.674,102.326,101.306,100.74,100.14,99.956,99.164,97.043,96.032,94.705,93.672,92.966,92.088,91.335,90.553,89.512,89.077,88.684,87.679,87.131
"19","11","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326905.215,273949.806,232875.588,215827.824,175515.743,237007.775,217338.442,194205.932,164577.238,179548.259,130333.295,134334.267,119750.448,122901.83,102921.652,86273.234,75759.599,72541.674,69089.563,66243.869,64686.524,62673.077,56503.784,53401.191,54200.709,48096.843,50726.843,43028.765,39389.132,35752.677,32144.317,30133.256,28882.076,28050.66,27919.351,26801.024,25334.945,24230.197,23023.793,22690.071,22312.35,21841.316,21245.017,20869.289,20851.16,20220.779,18817.473,17600.047,16523.141,15194.91,14064.646,13218.157,12466.341,12042.446,11623.29,11457.676,11834.534,11775.897,11131.686,10377.785,9761.106,9301.296,8983.966,8792.395,8824.588,8754.732,8445.477,8052.828,7623.568,7234.254,6911.43,6692.076,6757.885,6539.227,6049.39,5421.39,4787.749,4308.719,3954.156,3702.641,3713.259,3606.677,3399.162,3162.725,2997.602,2784.222,2591.332,2461.253,2464.414,2438.08,2367.208,2251.924,2177.559,2143.146,2105.68,2094.137,1935.573,1816.817,1708.994,1642.31,1536.773,1458.01,1396.246,1356.046,1295.587,1242.901,1199.806,1147.461,1069.818,1040.649,1052.816,1045.468,958.693,900.653,861.319,864.241,856.27,834.105,822.679,816.848,809.028,781.043,771.355,748.015,716.137,706.624,704.895,693.631,674.873,653.435,614.826,591.387,578.624,551.75,525.035,507.588,491.244,467.529,448.608,430.641,421.65,413.441,399.976,381.361,363.883,349.431,329.68,309.774,286.862,262.976,248.093,233.664,218.075,205.03,191.863,180.285,165,152.699,141.469,131.332,123.436,116.548,111.258,107.595,104.461,101.104,98.583,95.852,87.718,84.323,80.229,76.12,73.689,71.939,69.283,66.951,64.232,62.648,61.254,59.984,59.007
"20","12","      Software \2\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.219,147.815,147.351,146.385,143.131,140.531,138.498,136.969,137.159,137.242,137.371,137.442,134.359,133.012,131.281,129.464,128.408,127.072,126.442,126.177,127.492,127.991,128.488,128.285,126.31,125.483,124.257,123.169,121.807,121.182,120.429,119.88,119.753,119.451,119.042,118.945,119.155,119.195,119.538,119.955,120.12,120.002,120.694,121.337,122.612,122.616,122.623,122.301,120.826,119.88,119.304,118.47,117.72,117.424,117.391,117.45,118.728,119.639,120.15,120.54,121.139,123.215,125.644,127.737,129.484,129.468,129.597,130.099,129.764,129.65,129.997,130.399,131.456,131.604,131.286,130.519,128.655,128.196,128.007,128.4,130.493,131.476,132.637,133.809,134.186,135.261,135.754,136.267,138.34,139.533,140.928,142.162,143.332,143.825,144.302,144.417,143.692,142.973,142.111,141.331,140.737,140.728,139.838,139.116,139.109,138.061,137.347,136.073,134.076,132.783,131.972,131.705,131.946,131.776,131.71,131.397,131.43,131.02,129.948,128.552,126.304,124.67,122.984,121.27,120.24,119.476,119.106,119.194,120.863,120.016,118.632,116.487,111.843,109.416,107.974,107.104,108.618,108.696,108.432,107.786,106.087,105.055,104.293,103.797,104.275,104.5,104.243,103.695,102.984,102.107,101.229,100.437,99.714,99.396,98.419,97.491,96.206,95.843,95.755,95.474,96.296,96.861,97.367,97.665,98.428,99.498,100.952,101.122,101.044,101.317,100.723,100.704,100.731,100.112,100.208,100.067,99.417,99.439,100.013,98.36,98.106
"21","13","      Other \3\","B937RG3",38.664,40.024,40.777,41.051,40.564,40.811,41.227,41.42,41.425,41.189,41.115,41.462,42.062,41.628,42.129,42.932,44.45,44.738,45.017,44.634,44.95,44.541,43.408,42.766,43.321,43.722,43.902,44.111,43.441,43.958,44.047,45.33,45.138,44.499,44.424,44.761,46.019,44.253,47.063,46.566,47.891,47.709,47.59,49.618,48.517,48.813,48.889,48.821,48.795,49.019,49.408,49.695,49.492,49.32,49.175,49.178,49.29,49.3,49.347,49.341,49.21,49.086,49.094,49.234,49.387,49.485,49.469,49.412,49.504,49.612,49.798,50.182,49.83,49.822,49.797,49.843,49.9,50.254,50.559,50.902,51.484,51.784,52.071,52.39,52.549,52.982,53.512,54.121,54.527,54.786,55.276,55.71,56.271,56.819,57.313,57.924,58.359,58.924,59.39,59.807,60.364,60.402,60.675,60.912,61.251,61.746,62.02,62.111,62.705,64.746,66.693,68.695,70.585,71.735,72.163,73.004,74.167,75.166,75.816,75.689,75.699,75.749,75.841,75.974,77.345,78.601,79.563,80.178,80.3,80.975,81.381,82.205,83.902,85.996,88.393,90.478,91.811,92.902,93.59,94.718,95.753,97.409,98.338,99.138,99.786,100.064,100.7,100.97,101.818,102.455,102.836,103.136,103.764,103.981,103.974,104.628,105.608,106.377,107.491,107.376,108.758,109.161,109.035,110.274,111.2,110.521,110.221,111.202,111.867,112.266,112.122,112.542,113.397,113.214,113.535,114.058,114.973,114.792,114.994,115.134,115.912,115.868,116.753,116.101,116.029,115.997,115.843,115.705,115.91,115.587,115.084,114.49,114.631,114.628,114.275,113.586,113.236,112.482,112.227,112.126,112.022,111.443,111.005,109.954,108.033,106.532,105.506,104.805,104.272,103.35,102.312,101.396,100.898,100.192,99.77,99.141,98.429,97.567,97.09,96.873,96.64,96.135,95.884,95.613,95.451,95.479,95.016,94.909,94.498
"22","14","    Industrial equipment","B680RG3",10.251,10.711,10.922,11.245,11.141,11.354,11.93,12.312,12.387,12.351,12.234,12.012,12.186,12.394,12.907,13.509,14.354,14.407,14.316,14.433,14.282,14.588,14.473,14.534,14.638,14.881,15.006,14.993,15.262,15.234,15.038,15.082,15.328,15.459,15.715,16.329,16.599,17.227,17.522,18.047,18.396,18.392,18.726,19.074,18.977,19.082,19.129,19.167,19.248,19.433,19.633,19.772,19.891,19.925,19.943,19.89,19.846,19.747,19.707,19.688,19.651,19.715,19.792,19.825,19.821,19.791,19.791,19.832,19.881,19.94,20.018,20.101,20.173,20.243,20.319,20.398,20.51,20.671,20.911,21.191,21.436,21.634,21.82,22.015,22.199,22.503,22.783,23.069,23.178,23.27,23.445,23.722,24.062,24.417,24.744,25.044,25.269,25.558,25.823,26.005,26.05,26.146,26.213,26.341,26.502,26.743,27.057,27.393,27.842,28.564,29.834,31.587,33.557,35.172,36.27,37.002,37.51,38.083,38.763,39.541,40.582,41.567,42.451,43.259,44.289,45.144,46.068,47.065,48.234,49.462,50.812,51.982,54.021,55.831,57.555,59.173,60.506,61.652,62.628,63.431,63.699,64.996,65.515,65.828,66.103,66.424,66.403,66.447,66.714,67.132,67.191,67.305,67.352,67.783,68.434,69.227,70.289,71.08,71.796,72.054,73.449,74.171,74.314,75.591,76.534,77.601,77.692,79.07,79.671,79.977,80.816,81.732,82.985,83.752,84.804,86.094,87.242,87.015,87.305,88.108,88.675,89.038,90.002,89.708,89.944,90.408,90.751,91.207,91.484,92.065,92.704,93.44,94.063,95.451,96.148,96.648,97.168,97.357,97.699,98.019,98.143,98.128,98.242,98.391,98.533,98.704,98.945,99.111,99.361,99.255,99.401,99.683,99.801,99.922,100.109,100.168,100.556,100.799,100.801,101.015,100.876,100.848,101.194,101.279,101.552,101.683,102.058,102.216,103.247
"23","15","    Transportation equipment","B681RG3",18.511,18.772,19.047,19.435,19.501,19.752,20.614,21.312,21.24,21.303,21.158,21.237,21.315,21.556,21.635,21.939,22.362,22.715,23.153,23.699,24.22,24.476,24.466,24.255,23.882,23.459,23.378,23.055,23.932,25.013,24.411,24.55,23.46,23.702,24.338,24.483,25.488,26.101,26.691,27.09,27.707,27.694,27.571,27.142,27.701,27.975,27.967,28.062,28.466,28.526,28.51,28.524,28.248,28.458,28.607,28.535,28.565,28.403,28.404,28.231,28.203,28.057,28.136,27.984,28.055,27.984,27.969,27.846,27.748,27.731,27.748,27.645,27.611,27.707,27.697,27.562,27.467,27.566,27.625,27.804,27.8,27.914,28.106,28.435,28.494,28.719,28.919,29.232,29.23,29.46,29.95,30.229,30.594,30.867,31.201,31.903,32.535,32.885,32.753,32.571,33.167,33.413,33.697,33.272,33.088,33.525,34.032,34.353,35.181,36.186,37.429,38.768,39.797,40.925,41.238,42.084,43.094,43.391,44.17,45.154,45.624,46.412,47.796,49.63,50.649,51.187,51.987,52.717,54.255,55.587,56.421,57.996,59.785,61.257,62.977,63.786,64.545,66.415,67.146,68.162,68.821,69.327,70.034,70.133,70.514,70.495,70.593,70.887,71.179,71.293,71.409,71.548,72.12,72.945,73.754,75.231,76.17,77.985,78.402,79.897,79.817,79.213,79.249,79.105,79.158,79.92,80.951,82.221,82.206,82.936,83.413,85.031,85.29,85.587,86.408,88.177,89.774,90.19,90.82,92.179,93.191,93.441,92.83,93.066,93.969,93.928,93.863,94.339,96.308,97.255,97.301,95.918,95.417,95.89,96.688,97.09,96.948,97.977,98.832,99.018,98.996,99.374,100.569,100.067,99.119,98.742,98.941,99.427,100.548,100.6,99.305,99.434,99.66,99.793,100.463,100.083,98.705,98.208,99.91,99.456,99.868,99.684,98.332,101.286,102.079,100.133,103.593,110.133,110.944
"24","16","    Other equipment \4\","B862RG3",12.811,13.789,14.289,13.942,13.83,14.744,15.37,15.305,15.179,15.47,15.523,15.037,14.899,15.399,15.823,16.448,16.66,16.969,16.917,17.113,17.07,16.94,17.042,17.147,17.118,17.294,17.456,17.71,17.677,17.794,17.722,17.448,17.558,17.568,17.886,18.307,18.115,18.266,18.61,18.816,19.009,19.121,19.405,19.969,19.867,19.849,19.774,19.87,20.028,20.136,20.217,20.207,20.249,20.426,20.49,20.558,20.463,20.383,20.443,20.465,20.578,20.668,20.698,20.667,20.739,20.73,20.826,20.898,20.973,21.005,21.018,20.946,21.076,21.133,21.212,21.291,21.393,21.569,21.702,21.981,22.189,22.306,22.443,22.627,22.811,23.038,23.391,23.664,23.795,24.003,24.121,24.287,24.498,24.756,25.005,25.423,25.839,26.102,26.259,26.276,26.638,26.918,26.932,26.942,27.097,27.42,27.67,27.537,27.799,28.515,30.379,32.757,34.952,36.111,36.76,37.395,38.063,38.571,39.129,40.159,41.07,41.895,42.848,43.825,44.361,45.461,46.432,47.408,48.05,49.089,50.606,51.843,53.379,55.63,57.105,57.847,59.93,61.524,62.997,64.615,65.957,66.523,66.912,67.406,67.932,68.166,68.14,68.531,68.93,69.424,69.778,69.811,70.179,70.554,71.216,71.632,71.929,72.888,73.65,74.055,74.604,74.956,74.998,75.392,76.145,76.873,77.371,78.421,79.122,79.815,80.875,81.669,82.703,82.969,83.806,84.765,85.627,86.021,86.559,86.998,87.544,87.909,88.47,88.788,89.047,89.687,90.005,90.149,90.502,91.247,91.615,91.546,92.023,92.841,93.351,94.217,94.913,95.212,95.846,96.451,96.654,96.788,96.735,97.036,97.539,97.89,98.499,99.061,99.375,99.532,99.513,99.447,99.546,99.876,100.146,100.432,100.995,101.284,101.516,102.024,102.057,101.981,102.399,102.653,102.996,103.344,103.488,103.355,103.121
