"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","    Disbursements","W269RC1",259.9,273,280.7,299.5,314.9,337.8,363.8,400.3,429,472,518.3,551.5,583.9,638.8,708.8,772.8,814.8,899.7,994.1,1121,1256,1377.8,1517.6,1593.9,1685.2,1855.1,1995.9,2116.6,2272.1,2453.8,2597.6,2756.3,2825.8,2983.3,3086,3236.2,3423.4,3623.7,3882,4188,4471.5,4833.8,4947.9,4979.8,5100.9
"12","5","      To persons","W270RC1",259.7,272.7,280.4,299.2,314.7,337.6,363.6,400.1,428.8,471.7,518.1,551.3,583.7,638.5,708.5,772.4,814.4,899.3,993.7,1120.5,1255.5,1377.2,1516.9,1593.2,1684.5,1854.3,1995.1,2113.9,2269.8,2452,2595.3,2752.8,2821.7,2978.5,3080.9,3230.2,3417.1,3617.4,3875.3,4181,4463.5,4826.3,4939.8,4971.4,5092.4
"13","6","      To the rest of the world","B4189C1",0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4,4.8,5.1,6,6.3,6.3,6.7,7,8,7.5,8.1,8.4,8.6
"14","7","    Wage accruals less disbursements","A062RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,-0.1,-0.5,0.1,0.1,0.1,0.3,-0.2,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,0
"15","8","  Supplements to wages and salaries","A038RC1",21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.5,514.2,548.9,584.2,622.3,670.9,712.2,747.5,757.7,767.3,787,836.7,885.7,953.4,997.6,1044.5,1102.4
"16","9","Taxes on production and imports","W056RC1",41.1,44.6,47,50.4,53.4,57.3,60.8,63.3,68,76.5,84,91.5,100.6,108.1,117.3,125,135.5,146.6,159.9,171.2,180.4,200.7,236,241.3,263.7,290.2,308.5,323.7,347.9,374.9,399.3,425.5,457.5,483.8,503.4,545.6,558.2,581.1,612,639.8,674,708.9,729.8,760.1,788.7
"17","10","Less: Subsidies \1\","A107RC1",1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.2,21,21.3,24.8,30.2,29.4,27.2,26.8,27.3,29.9,36.4,32.2,34,34.3,32.9,35.4,44.2,44.3,55.3,38.2,48.2
"18","11","Net operating surplus","W271RC1",132,131.8,137.6,150.6,159.6,172.4,190.9,204,207.2,220.5,226.5,220.6,245.7,276.1,311.4,314.6,352.7,394.1,445.3,507.4,544.4,562.3,658.9,675.4,761.9,920.9,984.7,1013.7,1086.6,1212.1,1281.8,1315.1,1319.3,1390.8,1469.7,1581.3,1696.4,1863.6,2014.1,2103.1,2210.7,2304.5,2326.1,2523.2,2715.4
"19","12","  Private enterprises","W260RC1",131,130.8,136.8,149.7,158.3,171.1,189.6,203,206.2,219.3,225.5,220.6,245.9,275.6,311.8,315.6,356,396,447.9,509.3,547,567.2,663.9,679.4,765,922.8,983.9,1012.4,1085.4,1209.6,1276.9,1313.5,1313.6,1383.2,1462.4,1572.8,1685,1850.9,2001.5,2092.8,2200.6,2299.1,2324.9,2520.3,2710.5
"20","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",9.5,10.4,12.1,13.8,14.7,16.9,19.1,21.9,24.9,26.7,33.2,39.9,44.2,48.9,57.5,72.7,83.2,85.2,99.8,116.2,141.5,183,228.9,267,283.1,327.1,352.6,386.6,395.1,417.8,471.7,481.1,461.6,428.9,407.4,413.3,420,438.9,489.2,564.1,577.9,661.2,689.8,709,699.3
"21","14","    Business current transfer payments (net)","B029RC1",1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.4,10.6,13,14.4,17.6,20.1,22.5,30.1,34.8,36.6,33.8,34,39.2,39.4,39.9,42.4,40.7,43.3,46.9,53.1,49.9,64.7,67.4,87.1,92.5,89.8,95.2
"22","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",50.7,50.8,53.2,55.4,56.5,59.4,63.9,68.2,69.8,74.3,77.4,78.4,84.8,95.9,113.5,113.1,119.5,132.2,145.7,166.6,180.1,174.1,183,176.3,192.5,243.3,262.3,275.7,302.2,341.6,363.3,380.6,377.1,427.6,453.8,473.3,492.1,543.2,576,627.8,678.3,728.4,770.6,797.7,846.9
"23","16","    Rental income of persons with capital consumption adjustment","A048RC1",16.2,17.1,17.9,18.8,19.5,19.6,20.2,20.8,21.2,20.9,21.2,21.4,22.4,23.4,24.3,24.3,23.7,22.3,20.7,22.1,23.8,30,38,38.8,37.8,40.2,41.9,33.5,33.5,40.6,43.1,50.7,60.3,78,95.6,119.7,122.1,131.5,128.8,137.5,147.3,150.3,163.1,173,164.2
"24","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",53,50.6,51.5,59.5,64.9,72,82.8,88.7,86.6,93.2,88.8,76.5,90.2,102.6,110.6,98.3,120.2,146.8,173.3,193.8,188.6,165.7,196.4,177.1,229.2,282,292.2,280,320.8,375.7,359.5,361.7,374.7,406.2,465,523.2,603.9,684.3,757.5,698.7,729.8,672.2,608.9,750.8,904.9
"25","18","      Taxes on corporate income","A054RC1",23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.7,218.7,231.7,246.1,248.3,258.6,265.2,201.1,195,224.9
"26","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",29.2,27.9,28.6,35.4,38.5,43.8,51.7,54.8,53.7,53.5,48.8,41.8,52,60.2,60.6,45.5,68.6,81.5,98.9,108.9,98.6,78.5,112.1,110.6,148.5,184.5,192.8,170.4,190.4,234,213.4,216.3,236.1,257.5,294,329.5,385.2,452.6,511.5,450.4,471.1,407,407.8,555.8,680
"27","20","        Net dividends","A449RC1",10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.4,159.9,182.2,197.4,221.6,257.3,283.9,309.2,295.7,348.4,337.9,358.9,384.1
"28","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",18.5,16.4,17.1,23,25,28.9,34.8,37,35.3,33.4,28.4,21.4,31.7,38.3,37.5,22.1,42.2,51.4,65.2,69.3,57.1,31.1,53.8,49.2,77.2,106,107.1,82.1,94.8,136,87,72.2,79.8,97.7,111.7,132,163.7,195.3,227.6,141.2,175.5,58.6,69.9,196.8,295.9
"29","22","  Current surplus of government enterprises \1\","A108RC1",1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.5,4.9,1.6,5.7,7.6,7.2,8.6,11.4,12.7,12.6,10.3,10.1,5.3,1.2,2.8,5
"30","23","Consumption of fixed capital","A262RC1",53,55.6,57.2,59.3,62.4,65,69.4,75.6,81.5,88.4,97.9,106.7,115,126.5,139.3,162.5,187.7,205.2,230,262.3,300.1,343,388.1,426.9,443.8,472.6,506.7,531.3,561.9,597.6,644.3,682.5,725.9,751.9,776.4,833.7,878.4,918.1,974.4,1030.2,1101.3,1187.8,1266.9,1288.6,1310.9
"31","24","  Private","A024RC1",38.6,40.5,41.6,42.8,44.9,46.9,50.5,55.5,59.9,65.2,73.1,80,86.7,97.1,107.9,126.6,147.8,162.5,184.3,212.8,245.7,281.1,317.9,349.8,362.1,385.6,414,431.8,455.3,483.5,522.1,551.6,586.9,607.3,624.7,675.1,713.4,748.8,800.3,851.2,914.3,990.8,1061,1077.8,1092.7
"32","25","  Government","A264RC1",14.5,15,15.6,16.5,17.5,18.1,18.9,20.1,21.6,23.1,24.8,26.7,28.3,29.5,31.4,35.9,40,42.6,45.7,49.5,54.5,61.8,70.1,77.1,81.7,87,92.7,99.5,106.7,114.1,122.2,130.9,139.1,144.6,151.8,158.6,165,169.3,174.1,179,187,197,205.9,210.8,218.2
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Statistical discrepancy","A030RC1",0.5,-0.9,-0.6,0.4,-0.8,0.8,1.6,6.3,4.6,4.6,3.2,7.3,11.6,9.1,8.6,10.9,17.7,25.1,22.3,26.6,46,41.4,30.9,0.3,45.7,14.6,16.7,47,21.7,-19.5,39.7,66.2,72.5,102.7,139.5,142.5,101.2,93.7,70.7,-14.6,-35.7,-127.2,-112.2,-77.2,17.8
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
