"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"23","15","      Equipment and software","B873RA3",4.598,3.58,6.874,7.01,9.508,10.519,9.621,11.96,14.45,17.52,18.049,15.351,10.519,10.466,12.726,13.196,22.169,33.341,47.236,60.925,57.451,56.869,57.603,58.653,64.989,70.856,69.317,61.092,62.043,57.84,48.437,46.394,45.141,49.083,42.977,38.779,41.425,39.834,45.065,43.25,40.448,37.987,39.929,39.142,38.583,38.982,44.023,44.112,54.139,50.515,53.038,50.943,49.295,45.415,48.207,45.947,51.678,50.413,54.443,54.786,58.105,55.096,58.926,55.502,50.24,47.994,50.579,49.308,47.779,46.271,45.044,44.931,42.291,38.874,40.528,38.709,45.303,41.21,49.097,51.892,55.177,51.256,56.781,53.166,49.639,48.684,46.789,42.484,49.306,37.596,41.276,33.846,40.766,37.327,35.105,36.401,23.612,20.688,22.656,15.502,13.14,17.56,11.669,15.083,20.591,18.498,13.74,14.799,19.182,21.335,23.979,24.992,23.481,19.822,29.323,29.77,29.062,26.599,30.494,29.925,30.485,30.818,29.715,27.62,26.662,28.629,29.212,33.094,31.936,32.658,38.801,37.065,38.79,36.795,34.314,38.591,37.88,41.581,43.607,43.8,42.022,48.617,45.977,49.937,49.463,53.138,55.897,60.086,61.655,62.56,60.3,70.111,68.209,75.461,81.6,80.715,77.828,83.913,97.396,93.578,91.151,97.397,101.762,95.446,89.069,88.461,89.56,89.923,90.708,90.336,97.255,91.036,93.162,96.153,96.836,98.677,92.755,96.75,94.143,86.92,87.053,88.913,90.814,85.582,78.309,77.652,73.254,77.07,66.986,69.992,75.69,67.429,67.268,68.077,63.531,63.12,68.334,68.784,65.965,59.577,54.829,55.496,61.045,61.666,55.493,58.416,64.358,61.87,57.464,63.321,67.468,65.959,65.186,65.025,65.602,65.673,65.324,68.931,71.387,71.822,72.067,78.875,83.193,81.659,80.646,84.786,86.725,89.309,89.645,92.635,99.369,97.767,94.845,100.532,103.598,101.025,103.84,110.752,105.479,110.981,107.282,112.92,115.052,114.403,119.402,130.947,136.145,136.004,132.443,140.101,140.999,136.446
"24","16","  Nondefense","B825RA3",13.977,18.864,15.864,12.865,15.421,20.669,23.35,24.89,24.988,27.223,26.389,26.008,24.348,25.669,18.579,19.298,17.63,19.115,18.678,19.293,21.497,20.147,21.073,21.064,23.251,27.937,24.776,25.207,26.162,22.967,22.101,25.092,21.918,23.265,23.517,22.124,21.481,21.994,19.532,20.745,22.844,19.104,18.53,22.595,18.276,21.963,21.37,24.069,25.209,30.684,30.675,29.984,24.925,26.29,26.983,29.123,25.41,27.746,28.434,28.977,29.969,32.266,35.273,36.001,35.047,34.87,39.556,38.309,39.44,40.91,39.991,40.29,41.029,41.944,44.321,44.216,43.347,45.264,43.469,41.198,45.384,42.201,41.337,42.729,42.237,40.671,42.232,42.448,43.058,43.445,43.841,41.734,41.994,43.084,42.558,42.633,42.116,44.732,46.601,44.851,47.411,48.209,47.823,47.446,47.879,47.44,47.544,46.854,49.34,47.09,50.917,52.216,51.189,51.648,51.428,52.111,52.184,51.9,51.673,52.584,52.674,53.69,54.645,56.288,56.154,57.654,57.968,59.024,58.653,58.392,58.483,57.706,59.889,64.479,61.525,60.399,61.893,63.69,62.222,61.777,60.409,58.097,58.601,60.5,62.243,63.26,68.597,55.785,57.162,62.704,62.463,62.786,64.182,64.907,65.768,64.745,64.914,65.826,68.094,69.688,68.284,67.097,64.23,68.713,63.309,62.313,62.316,66.056,67.239,68.991,69.123,69.827,73.559,74.492,75.544,74.264,74.647,76.02,76.293,77.719,80.891,80.465,80.931,82.583,81.701,80.665,80.369,80.014,79.718,78.223,79.429,80.729,80.565,79.878,80.19,76.197,77.99,79.198,78.389,78.73,80.646,81.173,81.154,79.976,81.924,82.594,78.732,82.245,82.544,82.461,82.879,84.496,84.278,86.733,85.239,84.015,86.369,89.387,89.607,90.416,92.933,95.098,96.42,96.976,98.458,96.789,99.352,97.687,98.537,99.178,98.599,99.955,99.436,98.176,99.796,102.592,106.163,102.927,103.653,100.203,100.282,101.505,103.457,105.367,107.442,109.925,109.956,113.288,112.576,114.259,116.203,118.487
"25","17","    Consumption expenditures","B542RA3",13.505,19.967,18.608,14.406,15.612,23.514,26.878,27.414,28.569,31.521,27.687,26.115,25.65,26.413,16.388,19.904,17.499,18.983,19.469,17.813,21.846,20.686,22.156,21.962,25.717,31.553,27.585,28.107,30.091,24.757,24.733,29.04,25.091,27.346,28.241,25.988,24.928,24.942,21.034,22.756,25.599,20.484,19.537,25.114,18.459,23.612,22.567,26.006,27.638,34.592,34.911,33.967,27.069,28.115,28.846,30.934,25.574,28.988,29.538,29.689,30.953,33.457,37.024,37.213,36.154,35.374,40.614,38.842,39.792,41.976,40.064,39.74,40.62,41.048,43.96,43.415,41.966,44.814,42.62,40.469,46.933,43.788,42.623,44.393,44.386,42.777,45.211,45.518,46.483,47.069,47.957,45.571,46.143,47.227,46.61,46.545,46.03,49.053,51.057,49.149,52.127,52.981,52.72,52.367,52.284,52.007,52.194,51.281,54.841,50.589,56.462,57.438,55.894,57.002,56.695,57.062,57.054,56.169,55.988,57.207,57.504,58.368,58.79,61.185,60.378,61.514,60.892,62.802,62.909,62.56,62.064,62.281,63.686,69.383,65.376,64.36,65.949,68.468,66.582,66.122,65.03,62.022,62.982,65.377,66.081,67.454,73.565,57.792,58.902,65.504,65.4,65.454,66.606,67.993,68.213,67.093,67.075,68.584,71.44,72.635,70.726,68.292,64.904,70.284,64.919,63.674,63.389,68.239,69.35,70.874,70.985,71.594,74.906,76.13,77.824,76.718,76.547,77.23,77.321,77.847,81.399,81.218,81.739,82.692,81.067,80.353,80.366,80.755,81.676,80.434,81.373,82.024,81.37,81.232,81.312,76.713,77.644,78.638,77.627,78.807,80.61,81.169,81.09,80.879,80.935,81.337,77.086,81.338,81.093,80.131,80.843,81.233,83.345,86.471,84.783,83.953,86.459,89.847,90.181,90.781,92.797,95.295,96.574,97.314,99.241,96.765,99.744,98.081,99.242,99.517,99.117,100.781,100.171,98.753,99.555,101.521,105.35,102.491,103.205,99.266,99.471,100.447,102.306,104.475,106.933,109.1,108.873,110.931,111.598,113.13,114.874,117.605
"26","18","    Gross investment","B798RA3",14.066,14.098,6.912,7.485,13.586,11.101,11.682,15.489,12.816,12.88,20.452,23.47,18.497,21.138,23.012,16.446,16.64,17.851,14.96,21.468,18.617,16.957,16.407,16.89,14.611,15.693,14.977,15.115,13.158,16.23,13.043,12.073,11.369,9.914,8.242,9.483,10.133,12.084,13.957,13.608,13.41,13.841,14.371,13.941,16.69,15.753,16.596,16.886,16.437,17.139,16.164,16.277,16.984,19.206,19.748,21.908,23.442,22.306,23.371,25.073,25.182,26.713,27.836,30.184,29.608,31.284,33.989,34.411,36.019,35.23,37.411,39.656,39.925,42.364,42.867,44.209,45.314,44.025,43.654,41.119,37.589,34.484,34.652,34.737,32.674,31.338,29.917,29.818,29.202,28.907,27.638,26.58,25.774,26.83,26.642,27.173,26.682,27.787,29.104,27.978,28.991,29.557,28.759,28.316,30.502,29.524,29.342,29.455,28.163,32.789,29.55,31.845,32.591,30.871,30.951,32.66,33.005,34.771,34.4,34.202,33.569,35.082,37.876,36.777,39.036,41.779,45.416,43.381,41.32,41.394,43.567,39.273,44.171,44.621,45.542,44.063,45.173,44.287,44.382,44.015,41.694,41.987,40.806,40.801,46.356,45.99,48.269,47.026,49.404,50.773,50.014,51.378,53.707,51.777,55.185,54.573,55.505,54,53.853,57.045,57.693,61.61,60.906,61.683,56.153,56.196,57.388,56.527,57.974,60.651,60.875,61.99,67.485,67.19,65.508,63.456,66.176,70.541,71.599,77.005,78.503,76.994,77.232,82.126,84.726,82.181,80.419,76.49,70.309,67.572,70.083,74.569,76.834,73.434,74.883,73.897,80.099,82.395,82.62,78.621,81.158,81.513,81.813,75.365,87.66,89.776,88.027,87.412,90.719,95.591,94.347,103.03,89.393,87.995,87.644,84.115,85.549,86.359,85.9,87.963,93.564,93.645,95.223,94.61,93.215,96.769,96.616,94.936,93.724,96.86,95.046,94.286,94.351,94.161,101.46,110.028,111.827,105.95,106.779,106.809,105.984,108.99,111.61,111.617,110.864,115.662,117.586,130.316,119.377,122.18,125.617,124.513
"27","19","      Structures","B830RA3",12.016,38.485,51.05,65.933,72.731,79.442,85.471,83.053,89.16,105.173,155.729,155.532,134.47,157.487,144.13,135.691,127.088,124.674,119.566,123.989,130.839,114.698,108.597,107.934,112.742,109.827,106.012,107.696,98.842,99.598,97.629,83.32,72.654,65.884,61.079,61.171,67.261,83.429,102.448,100.001,100.277,103.077,108.518,104.613,128.982,129.805,130.56,134.677,136.245,144.04,136.901,134.072,140.389,156.202,156.726,168.01,178.254,161.593,171.009,180.734,177.202,191.274,192.542,209.465,197.871,207.496,211.123,215.511,220.28,225.051,220.526,230.934,228.398,236.567,235.606,245.464,253.628,242.373,225.991,218.884,189.051,168.15,176.816,175.684,170.41,165.226,151.135,150.621,141.55,138.564,134.313,126.909,125.686,135.518,139.73,144.383,144.506,149.028,157.989,151.25,159.07,158.728,153.48,151.088,172.635,160.693,167.841,167.974,154.773,173.453,154.104,169.448,172.575,165.761,165.454,173.497,175.595,186.943,181.022,179.284,173.16,182.579,200.888,190.132,195.297,212.811,236.726,218.653,199.292,200.672,210.036,196.46,206.484,205.525,204.519,200.004,210.858,202.551,196.37,195.809,176.539,166.053,161.05,155.741,157.124,157.97,170.657,156.549,160.774,171.162,161.923,168.146,163.551,163.453,180.063,169.998,185.266,179.692,176.532,180.095,194.122,207.102,203.102,191.336,150.287,146.611,152.878,136.466,134.167,138.269,144.279,152.241,164.57,162.522,160.959,149.324,151.673,176.514,176.305,209.341,199.859,196.966,186.112,210.995,219.844,206.407,213.212,209.75,183.744,173.086,177.656,213.016,202.179,188.941,192.459,176.618,194.239,206.658,197.313,172.451,176.664,171.28,178.339,140.922,177.721,173.411,180.43,171.288,175.115,167.348,164.852,168.897,141.327,130.078,121.685,108.734,113.003,113.811,121.16,128.132,140.6,140.26,142.364,146.215,143.213,148.437,147.335,136.781,129.872,130.83,120.963,97.78,97.267,89.199,99.778,113.756,99.855,105.169,103.893,119.049,112.978,117.022,124.132,118.21,107.328,113.747,124.798,130.805,130.25,132.593,136.371,134.541
"28","20","      Equipment and software","B880RA3",9.853,7.933,1.459,0.751,4.827,2.233,2.147,5.484,2.764,1.481,3.309,5.756,3.522,3.726,6.161,1.927,2.664,3.741,1.957,6.782,3.897,3.939,4.006,4.425,2.239,3.326,3.052,3.016,2.19,4.735,2.186,2.662,3.025,2.416,1.452,2.506,2.499,2.672,2.5,2.426,2.215,2.326,2.266,2.259,2.332,1.445,2.107,1.972,1.468,1.378,1.226,1.524,1.56,1.95,2.28,2.943,3.255,3.686,3.736,4.203,4.53,4.572,5.244,5.638,6.062,6.513,8.069,8.045,8.763,7.965,9.621,10.391,10.751,11.825,12.246,12.447,12.603,12.54,13.497,12.267,12.022,11.415,10.9,11.04,10.009,9.47,9.519,9.49,9.74,9.761,9.192,9.012,8.538,8.538,8.095,8.116,7.765,8.195,8.434,8.154,8.263,8.699,8.544,8.418,8.254,8.525,7.786,7.858,8.01,9.911,9.128,9.536,9.841,9.109,9.203,9.815,9.891,10.229,10.503,10.512,10.594,10.913,11.406,11.571,12.947,13.46,14.058,14.239,14.546,14.461,15.347,13.017,16.309,16.826,17.796,16.958,16.669,16.864,17.73,17.45,17.666,19.292,18.785,19.474,24.751,24.284,24.839,25.504,27.287,27.239,27.737,28.248,31.205,29.291,30.41,31.195,29.992,29.253,29.55,32.279,30.937,33.064,32.919,35.425,35.725,36.302,36.611,38.139,39.978,42.14,41.478,41.434,45.276,45.276,43.761,43.402,45.891,46.647,47.789,48.32,51.368,50.224,52.195,53.412,54.764,54.224,51.253,47.623,45.267,44.085,46.029,44.904,49.21,47.758,48.725,50.415,54.144,54.45,56.443,56.577,58.645,60.064,59.048,58.984,65.88,69.237,65.75,66.926,69.986,77.39,76.43,85.878,75.662,76.504,77.983,76.687,77.474,78.291,76.018,76.877,80.721,80.891,82.311,80.601,79.63,82.718,82.789,83.373,83.612,87.289,87.67,93.168,93.46,95.602,101.98,108.959,115.599,106.239,107.726,102.841,103.701,106.331,107.414,109.461,112.253,116.497,115.176,130.38,115.581,118.558,121.875,121.028
"29","21","State and local","B829RA3",12.014,12.177,12.461,12.663,12.644,13.008,13.239,13.559,14.12,14.925,15.546,15.843,16.237,16.375,16.387,16.397,16.235,16.511,16.591,16.564,16.616,16.969,16.51,16.9,17.262,17.232,17.693,18.124,18.775,18.848,19.373,19.463,20.28,20.546,20.514,20.634,20.857,21.113,21.218,21.434,21.973,22.158,22.471,23.03,23.681,24.023,24.548,24.996,25.203,25.272,25.294,25.159,25.597,26.223,26.614,26.919,27.792,27.604,27.838,28.61,28.403,28.607,28.972,29.288,29.839,30.11,30.915,31.346,31.813,32.544,32.899,33.247,33.562,34.414,35.383,35.893,36.338,36.619,37.042,37.995,38.465,38.675,38.827,39.504,40.197,40.979,41.568,41.927,42.268,42.623,42.713,42.625,43.021,43.251,44.228,44.451,44.653,44.952,45.063,45.642,45.792,45.695,46.068,46.717,46.928,47.009,47.503,48.085,48.713,49.339,49.286,49.317,50.778,50.401,51.025,51.675,52.238,51.342,50.983,50.821,51.31,51.614,51.56,51.645,51.657,53.172,53.768,54.268,53.375,53.869,54.066,54.683,54.936,54.218,53.456,53.223,53.623,52.596,52.427,52.844,52.68,52.846,52.85,53.217,53.408,53.279,53.7,53.667,54.281,54.984,55.942,56.569,57.256,58.439,59.565,60.258,61.759,62.514,63.114,63.29,63.449,63.446,63.393,64.012,64.922,65.773,66.099,66.939,67.29,67.965,68.595,69.512,70.609,70.73,71.172,71.939,72.031,72.317,72.733,73.258,74.201,74.106,74.153,74.165,74.467,75.107,75.523,75.88,76.093,76.899,77.761,78.034,78.659,79.279,79.329,79.72,79.556,80.706,81.434,82.662,83.534,83.832,84.135,84.419,85.101,86.686,88.313,89.063,90.065,90.636,91.435,92.579,93.332,93.347,93.827,94.47,95.564,97.518,96.931,98.931,100.03,100.302,100.711,100.848,100.511,100.201,100.608,100.31,100.325,100.575,100.14,99.895,99.806,99.922,99.995,100.277,100.205,100.851,101.149,101.437,102.203,102.875,103.11,103.356,103.234,103.549,103.576,103.061,102.66,103.64,103.479,103.394
"30","22","  Consumption expenditures","B991RA3",13.781,14.024,14.281,14.365,14.143,14.212,14.246,14.448,14.943,15.334,15.748,16.074,16.511,16.535,16.467,16.443,16.339,16.37,16.471,16.569,16.389,16.999,16.503,16.75,17.082,17.025,17.399,17.389,17.647,17.757,18.132,18.28,18.899,19.033,19.213,19.404,19.394,19.704,19.972,20.255,20.354,20.65,21.078,21.46,21.923,22.394,22.753,23.002,23.117,23.287,23.565,23.869,24.237,24.76,24.928,25.289,25.833,26.22,26.178,26.42,26.463,26.787,27.044,27.348,27.588,27.97,28.478,28.874,29.412,29.868,30.277,30.805,31.197,31.814,32.377,32.865,33.317,33.745,34.224,34.811,34.866,35.241,35.866,36.381,37.076,37.532,38.2,38.776,39.407,39.985,40.564,41.241,41.863,42.341,43.025,43.625,44.131,44.531,45.036,45.566,45.873,46.309,46.763,47.113,47.337,47.757,48.438,48.975,49.529,50.045,50.551,51.155,52.167,52.738,53.167,53.168,53.236,53.327,53.643,53.954,54.198,54.324,54.72,54.998,55.324,55.362,55.759,56.189,56.31,55.96,55.725,56.107,56.128,56.013,55.842,55.637,55.41,55.447,55.827,56.054,56.295,56.536,56.523,56.669,57.192,57.11,57.127,57.154,57.376,57.861,58.525,59.106,59.762,60.594,61.818,62.825,64.084,64.881,65.459,66.126,65.876,65.935,65.646,66.196,67.337,67.85,68.374,69.005,69.51,70.017,70.639,71.265,71.945,72.36,72.89,73.224,73.578,73.926,74.206,74.557,75.119,75.553,76.136,76.405,76.878,77.068,77.527,77.862,78.532,79.14,79.607,79.889,80.548,80.939,81.261,81.674,81.642,82.561,82.844,83.323,83.731,84.36,85.136,85.949,86.941,87.945,88.874,89.618,90.485,91.184,91.916,92.569,92.817,93.299,93.737,94.296,95.21,96.214,97.257,98.32,99.282,99.926,100.293,100.25,99.95,99.733,99.481,99.349,99.501,99.602,99.6,99.761,99.849,99.893,100.14,100.118,100.167,100.372,100.848,101.481,101.948,102.494,102.73,102.919,103.103,103.144,103.341,103.431,103.323,103.356,102.848,102.812
"31","23","  Gross investment","B799RA3",8.164,8.148,8.497,8.975,9.421,10.472,11.158,11.761,12.49,14.284,15.413,15.648,15.949,16.383,16.598,16.694,16.387,17.257,17.286,16.962,17.574,17.313,16.932,17.676,18.118,18.153,18.846,20.415,22.119,22.098,23.037,22.967,24.338,24.971,24.352,24.284,25.135,25.254,24.929,24.98,26.685,26.582,26.598,27.636,28.806,28.791,29.783,30.795,31.279,31.068,30.354,28.94,29.57,30.489,31.539,31.675,33.541,31.601,32.683,35.102,34.111,33.939,34.637,34.986,36.506,36.423,38.16,38.695,38.93,40.529,40.702,40.467,40.525,42.119,44.374,44.95,45.358,45.155,45.39,47.528,49.372,49.03,47.578,48.783,49.446,51.303,51.602,51.202,50.539,50.127,48.55,45.85,45.458,44.837,46.776,45.716,44.875,44.82,43.592,44.311,43.926,42.019,42.103,43.753,43.918,42.837,42.67,43.375,44.21,45.153,43.344,41.61,44.35,41.091,42.298,44.98,47.124,43.107,40.58,38.871,40.13,41.001,39.433,38.855,37.799,44.262,45.512,46.23,41.963,45.266,46.901,48.279,49.288,46.584,43.888,43.571,46.026,41.537,39.577,40.598,39.116,39.032,39.092,40.173,39.256,38.967,40.753,40.507,42.47,43.926,45.914,46.7,47.5,49.955,50.711,50.243,52.618,53.214,53.883,52.26,53.919,53.686,54.504,55.374,55.42,57.519,57.104,58.719,58.489,59.787,60.446,62.458,65.141,64.139,64.24,66.683,65.749,65.791,66.741,67.961,70.433,68.23,66.128,65.102,64.71,67.161,67.401,67.845,66.208,67.821,70.283,70.517,71.003,72.546,71.497,71.801,71.105,73.186,75.701,79.964,82.736,81.688,80.062,78.188,77.616,81.564,86.037,86.814,88.377,88.424,89.503,92.699,95.563,93.62,94.275,95.268,97.128,103.122,95.598,101.575,103.259,101.954,102.543,103.452,102.947,102.224,105.525,104.488,103.897,104.802,102.476,100.475,99.619,100.047,99.376,100.957,100.353,102.892,102.435,101.27,103.293,104.496,104.727,105.211,103.799,105.273,104.575,101.554,99.976,104.735,105.975,105.693
"32","24","    Structures","B842RA3",11.152,11.079,11.565,12.26,12.517,14.223,15.362,16.308,17.54,20.043,21.595,21.84,22.415,23.113,23.525,23.791,23.099,24.447,24.466,23.995,24.799,24.375,23.769,24.886,25.494,25.521,26.566,28.967,31.353,31.353,32.751,32.602,34.847,35.752,34.851,34.867,35.873,35.947,35.353,35.39,37.627,37.327,37.25,38.76,40.766,40.7,42.188,43.689,44.337,43.96,42.821,40.576,41.294,42.607,44.164,44.303,47.212,44.159,45.782,49.472,47.775,47.469,48.5,48.977,50.923,50.669,53.182,53.873,53.985,56.278,56.402,55.877,56.024,58.301,61.581,62.324,62.836,62.315,62.495,65.597,68.472,67.844,65.628,67.474,68.408,71.146,71.402,70.639,69.517,68.746,66.232,62.117,61.352,60.5,63.276,61.779,60.546,60.417,58.458,59.35,58.492,55.455,55.363,57.658,57.676,55.871,55.393,56.098,57.113,58.368,55.745,53.327,57.386,52.597,54.387,58.39,61.644,55.706,51.985,49.473,51.482,52.799,50.453,49.533,47.815,57.25,58.908,59.755,53.224,57.927,60.141,61.967,63.251,59.143,55.122,54.673,58.384,51.857,48.959,50.338,47.972,47.696,47.61,48.991,47.241,46.436,48.617,47.821,50.214,51.864,54.241,54.839,55.478,58.575,59.281,58.206,61.248,61.817,62.644,60.172,62.46,61.911,62.882,63.929,63.818,66.394,65.234,66.883,65.624,66.568,66.734,68.907,72.295,70.673,70.791,74.193,73.224,73.356,74.709,76.216,79.413,75.867,72.566,70.889,70.393,73.804,73.696,73.964,70.784,72.534,75.511,75.319,75.58,77.254,75.577,75.694,74.776,77.543,80.806,86.393,88.876,86.996,84.132,81.02,79.068,83.54,88.85,89.129,90.488,89.735,90.66,94.64,98.021,94.957,95.63,96.551,98.65,106.503,97.066,104.723,106.42,104.775,105.367,106.777,105.765,104.759,108.363,106.73,106.108,107.145,103.936,101.12,100.115,100.245,99.094,100.545,99.201,101.809,100.878,99.286,101.526,102.812,102.946,103.318,101.527,103.189,102.62,99.395,98.008,103.554,104.973,104.344
"33","25","    Equipment and software","B881RA3",1.71,1.772,1.833,1.88,2.433,2.298,2.179,2.15,2.008,2.315,2.536,2.68,2.536,2.498,2.403,2.266,2.524,2.512,2.545,2.512,2.68,2.709,2.737,2.764,2.852,2.885,2.906,2.914,3.197,3.159,3.217,3.265,3.12,3.203,3.139,3.01,3.347,3.47,3.577,3.625,4.081,4.254,4.38,4.483,4.225,4.279,4.319,4.383,4.497,4.565,4.622,4.723,5.032,5.152,5.219,5.305,5.245,5.343,5.387,5.408,5.634,5.687,5.735,5.807,6.295,6.46,6.641,6.805,7.126,7.32,7.505,7.723,7.648,7.853,8.061,8.238,8.386,8.674,8.915,9.118,9.018,9.167,9.183,9.163,9.266,9.376,9.65,9.864,10.025,10.237,10.429,10.485,10.749,10.628,10.847,10.695,10.642,10.711,10.896,11.189,11.644,11.944,12.3,12.57,12.95,13.285,13.682,14.277,14.676,14.925,14.865,14.625,14.554,14.537,14.521,14.451,14.312,14.304,14.265,14.221,13.976,13.93,13.956,14.055,14.303,14.608,14.951,15.331,15.66,16.015,16.376,16.74,17.091,17.3,17.395,17.364,17.156,17.065,17.125,17.348,17.732,18.03,18.367,18.747,19.544,20.288,21.113,21.954,22.876,23.799,24.815,25.884,26.91,27.852,28.626,29.397,30.211,30.805,31.093,31.332,31.566,31.999,32.433,32.857,33.223,34.148,35.33,36.739,38.685,40.623,42.271,43.783,44.749,45.162,45.222,45.415,44.632,44.476,44.484,44.983,45.698,46.553,47.21,47.689,47.565,47.731,48.733,49.544,51.5,52.693,53.81,55.002,55.964,57.1,57.638,58.415,58.366,58.636,59.109,59.717,63.018,64.181,65.942,67.557,70.973,73.366,75.301,77.532,79.623,82.091,83.593,84.206,85.326,87.09,87.685,88.926,89.974,89.455,88.751,88.668,90.261,90.201,90.764,89.782,91.206,91.563,93.651,94.922,94.426,94.779,96.095,97.573,97.383,99.138,100.647,102.831,105.733,107.928,109.831,110.866,111.775,112.548,113.315,114.41,115.125,115.514,114.088,112.291,109.625,109.669,109.851,111.58
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
