"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"18",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Gross domestic product","A939RX0",8016,7247,6725,5809,5700,6280,6791,7629,7971,7638,8188,8832,10241,11999,13772,14705,14382,12676,12324,12646,12365,13225,14007,14296,14710,14363,15128,15157,15187,14802,15596,15661,15766,16466,16940,17675,18576,19559,19836,20590,21021,20820,21249,22140,23200,22861,22592,23575,24412,25503,26010,25640,26030,25282,26186,27823,28717,29443,30115,31069,31877,32112,31614,32255,32747,33671,34112,34977,36102,37238,38592,39750,39768,40096,40711,41784,42664,43391,43884,43671,42242
"20","11","  Gross national product","A791RX0",8085,7312,6778,5851,5736,6312,6828,7660,8013,7680,8233,8869,10290,12049,13818,14754,14424,12729,12394,12728,12439,13305,14105,14395,14803,14460,15235,15272,15305,14902,15697,15770,15884,16597,17078,17822,18727,19700,19980,20743,21168,20964,21407,22308,23424,23114,22786,23804,24666,25752,26344,25967,26314,25575,26468,28088,28904,29568,30234,31218,32031,32304,31774,32408,32900,33784,34245,35115,36202,37312,38708,39901,39969,40283,40964,42107,42992,43625,44244,44098,NA
"21","12","  Disposable personal income","A229RX0",6498,6016,5759,4961,4786,5220,5684,6359,6535,6118,6574,6953,7918,8808,9087,9301,9078,8907,8409,8709,8615,9240,9352,9491,9788,9748,10225,10535,10599,10526,10803,10865,11052,11413,11672,12342,12939,13465,13904,14392,14706,15158,15644,16228,17166,16878,17091,17600,18025,18670,18897,18863,19173,19406,19868,21105,21571,22083,22246,22997,23385,23568,23453,23958,24044,24517,24951,25475,26061,27299,27805,28899,29299,29976,30442,31193,31318,32271,32648,32514,32637
"22","13","  Personal consumption expenditures","A794RX0",6044,5659,5439,4920,4782,5092,5365,5873,6054,5910,6190,6457,6848,6614,6706,6814,7156,7963,7962,8002,8083,8460,8448,8567,8829,8857,9345,9450,9512,9437,9804,9871,9911,10243,10512,10985,11535,12050,12276,12856,13206,13361,13696,14384,14953,14693,14881,15558,16051,16583,16790,16538,16623,16694,17489,18256,19037,19630,20055,20675,21060,21249,21000,21430,21904,22466,22803,23325,23899,24861,25923,26939,27385,27841,28357,29072,29771,30341,30838,30479,30042
"23","14","    Goods","AGDSRX0",2205,2009,1921,1685,1663,1804,1938,2182,2233,2167,2298,2420,2588,2362,2307,2297,2427,2846,2873,2880,2916,3090,3002,3017,3122,3100,3326,3317,3314,3226,3371,3361,3328,3446,3532,3691,3903,4103,4138,4351,4440,4424,4551,4797,4998,4771,4757,5041,5205,5363,5389,5192,5201,5188,5468,5811,6062,6344,6400,6578,6681,6647,6429,6544,6728,6997,7122,7354,7614,8034,8575,8929,9115,9393,9730,10069,10377,10613,10839,10517,10224
"24","15","      Durable goods","A795RX0",283,232,199,150,145,165,199,241,252,208,244,277,316,199,176,160,176,315,362,379,403,481,433,417,458,448,534,505,501,455,500,500,475,521,561,605,672,719,722,794,816,785,853,949,1038,962,955,1064,1147,1194,1175,1069,1069,1057,1197,1356,1479,1606,1622,1700,1721,1694,1582,1651,1751,1868,1919,2039,2179,2416,2699,2903,3029,3228,3391,3581,3732,3847,3973,3760,3579
"25","16","      Nondurable goods","A796RX0",2278,2136,2096,1899,1880,2021,2124,2351,2395,2410,2499,2585,2714,2693,2673,2696,2832,3055,2980,2950,2942,2990,2985,3044,3087,3081,3185,3239,3245,3234,3322,3310,3322,3372,3395,3506,3636,3795,3834,3957,4026,4068,4093,4213,4293,4150,4145,4300,4354,4464,4529,4469,4481,4484,4588,4736,4836,4963,5003,5089,5177,5179,5095,5126,5188,5326,5393,5485,5579,5723,5946,6072,6118,6179,6346,6489,6645,6767,6870,6749,6626
"26","17","    Services","A797RX0",3545,3434,3320,3100,2967,3093,3179,3353,3489,3434,3539,3645,3824,3991,4251,4435,4622,4782,4711,4753,4784,4912,5114,5253,5385,5476,5651,5819,5913,6004,6196,6309,6435,6636,6819,7126,7426,7705,7935,8275,8559,8792,8981,9400,9752,9847,10119,10451,10774,11157,11371,11413,11503,11615,12113,12477,13007,13272,13678,14130,14421,14683,14706,15029,15310,15577,15785,16059,16358,16881,17373,18035,18290,18457,18630,19004,19394,19728,20001,19956,19807
"27","18","Population (midperiod, thousands)","B230RC0",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282418,285335,288133,290845,293502,296229,299052,302025,304831,307484
