"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","    Durable","A332RC1",2.2,1.5,0.9,0.5,0.5,0.8,1,1.1,1.7,1.5,1.7,2.6,2.9,2.3,2,2.4,2.8,5,8.5,6.6,6.1,5.1,6.6,6.9,6.9,7.1,8.2,9.8,10.9,9,8.9,11.3,11.5,12,12.7,14.7,15.8,17.5,18.4,21,23.7,27.1,27.5,31,41.4,56.5,63.8,69,72,85.3,108,133.3,140.1,124.7,120.4,132.4,137.2,142.6,162.9,208.8,239.8,262,282.3,300.5,314,349.6,394,421.1,482.3,486.6,503.3,569.2,521.1,488.5,497.3,561.2,624.9,709.1,776.8,822.8,"662.7"
"12","5","    Nondurable","A339RC1",3.1,2.4,1.6,1.2,1.2,1.4,1.5,1.5,1.7,1.7,1.7,1.6,1.7,1.1,0.9,1.2,2.5,6.7,7.6,6.6,6.1,5.1,7.6,6.5,5.5,5.8,6.2,7.8,8.6,7.4,7.5,9.2,9.4,9.7,10.7,12,12,13.2,13.7,14.3,14.6,17.4,18,20.8,32.6,44.5,45.8,48.7,51.6,60.1,76,92.5,99,90.3,86.9,93.2,85,83.4,94.6,117,129.5,134.7,141.3,147.4,146,160.4,189.3,197.2,205.4,194.3,193.9,215.1,210.1,211.8,229.5,255.8,281.2,315.3,362.6,444.1,"372.4"
"13","6","  Services \1\","A646RC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.4,10.2,11.3,12.6,13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,79.8,94.3,106.2,118.1,133.8,155.5,173,187,195.7,210.6,228.6,249.3,266.7,273,292.1,308.9,296.5,302.7,314.2,363.2,399,446.6,516.5,564.2,"524.9"
"14","7","Income receipts","B645RC1",1.1,1,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2,1.9,2.2,2.8,2.9,2.8,3,3.5,3.9,4.3,3.9,4.3,4.9,5.3,5.9,6.5,7.2,7.9,8.1,8.7,10.1,11.8,12.8,14,16.3,23.5,29.8,28,32.4,37.2,46.3,68.3,79.1,92,101,101.9,121.9,112.4,111,122.8,151.6,177.2,188.5,168.1,151.8,155.2,184.1,229.3,245.8,279.5,286.2,319.5,380.5,323,313.5,353.3,448.6,573,721.1,861.8,809.2,"....."
"15","8","  Wage and salary receipts","B4188C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.9,1,1,1,1.2,1.3,1.8,1.8,1.9,2.2,2.2,2.3,2.4,2.7,2.8,2.9,2.8,2.8,2.8,2.9,2.9,3,3,"....."
"16","9","  Income receipts on assets","W160RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.1,2.6,2.7,2.7,2.9,3.4,3.8,4.1,3.7,4.1,4.7,5.1,5.8,6.4,7.1,7.7,7.9,8.5,9.9,11.5,12.6,13.7,16,23.2,29.5,27.7,32,36.8,45.8,67.9,78.6,91.5,100.5,101.3,121.2,111.8,110.1,121.8,150.6,176.2,187.3,166.8,150,153.4,182.2,227.1,243.7,277.2,283.8,316.7,377.7,320.1,310.7,350.5,445.7,570.1,718.2,858.8,806.2,"....."
"17","10","    Interest","A2067C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.2,2.5,2.9,3.5,3.9,4,4.2,5.7,9.1,9.8,11,13,16.8,25.3,34.8,53.4,63.8,60.2,75.1,65,61.4,62.9,79,100.6,106.4,91.4,71.7,64.4,77.6,99.7,104.3,121.7,137,139.9,175.2,137.6,106.3,101.3,117.6,186.1,283.7,354.2,261.9,"....."
"18","11","    Dividends","B3375C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4,3.6,3.9,4.2,4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80,83.2,92.7,86.3,87.4,92.8,101,135.6,363.3,186,233.3,258.7,"....."
"19","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.4,0.5,0.8,0.9,0.8,0.7,1,1.2,1.4,0.9,1.1,1.4,1.2,1.3,1.6,1.6,1.7,2,2,2.8,3.2,3.6,3.7,5.2,9,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31,26.5,27.6,37.3,34,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.1,116.1,95.2,111.6,148.2,192.5,20.7,248.4,271.3,285.6,"....."
"20","13","    Current payments to the rest of the world","W163RC1",6.3,4.8,3.5,2.3,2.3,2.6,3.3,3.7,4.6,3.3,3.6,4,4.9,5.1,6.8,7.6,8.9,10.3,11.1,15.2,15.6,16.4,19,18.7,19.5,18.7,20.8,22.5,23.6,23.6,28.3,28.8,28.7,31.2,32.7,34.8,38.9,45.2,48.7,56.5,62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,528.8,574,640.7,711.2,772.7,815.6,756.9,832.4,889.4,1019.5,1146.2,1227.6,1363.3,1444.6,1600.7,1884.1,1742.4,1768.1,1910.5,2253.4,2618.6,2990.5,3242.4,3347.6,"....."
"21","14","Imports of goods and services","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2369.7,2538.9,"1,950.1"
"22","15","  Goods \1\","A255RC1",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6,7.6,6.9,9.1,11.2,10.8,11,10.4,11.5,12.8,13.3,13,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1047.7,1246.5,1171.7,1193.9,1289.3,1501.7,1708,1884.9,1987.7,2126.4,"1,569.8"
"23","16","    Durable","A333RC1",1.3,0.8,0.5,0.2,0.3,0.4,0.7,0.7,1,0.6,0.7,1,1.4,1,1,1.1,1.2,1.5,1.8,2.4,2.1,3,3.8,4.1,4.1,3.6,4.5,5.2,5.3,5,6.6,6.4,6,6.9,7.4,8.4,10.4,13.3,14.5,18.8,20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89,100.4,111.9,126,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.3,314.5,315.5,346.7,386.4,454,510.8,533.4,588.5,637.7,716.7,823.6,758.3,774.5,806.6,936.3,1025.4,1130.2,1175.1,1160.9,"890.0"
"24","17","    Nondurable","A340RC1",3.2,2.3,1.7,1.1,1.2,1.3,1.8,1.8,2.2,1.6,1.7,1.7,2.1,1.8,2.5,2.7,2.7,3.6,4.2,5.2,4.8,6.1,7.4,6.7,6.9,6.7,7.1,7.6,8,8,8.7,8.9,9,9.9,10.3,11,11.8,13.1,13.2,15.1,16.1,18.1,19.9,23.6,31,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.5,193.5,185.2,198.2,206.4,222.8,246.7,274.1,297.1,293,331,422.9,413.4,419.3,482.6,565.4,682.6,754.7,812.5,965.5,"679.8"
"25","18","  Services \1\","B656RC1",1.1,1,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1,1.9,2.8,3.1,3.7,1.9,2,2.5,2.4,2.5,3.4,4.5,5,5.1,5.7,6.1,6.7,7.1,7,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,203.7,228.8,227,236.3,255.9,297.3,319.8,355.4,382.1,412.4,"380.4"
"26","19","Income payments","A655RC1",0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.3,2.6,3,3.3,4,5.7,6.4,6.4,7.7,10.9,14.3,15,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,85.9,93.4,105.2,128.3,151.2,154.1,138.2,122.7,124,160,199.6,214.2,256.1,268.9,291.7,342.8,271.1,264.4,284.6,357.4,475.9,648.6,746,667.3,"....."
"27","20","  Wage and salary payments","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4,4.8,5.1,6,6.3,6.3,6.7,7,8,7.5,8.1,8.4,8.5,9,9.3,9.5,10.1,10.4,"....."
"28","21","  Income payments on assets","W161RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.9,1,1,1.3,1.5,1.5,1.6,1.8,2.1,2.4,2.8,3.1,3.8,5.5,6.2,6.2,7.4,10.6,13.9,14.6,15.1,16.4,24.2,35.9,44.3,58.4,63.8,64,84.7,85,90.7,102.8,126.4,148.9,150.6,134.2,117.9,118.9,154.1,193.3,207.9,249.4,261.9,283.7,335.2,263,256,276.1,348.4,466.6,639.1,736,656.9,"....."
"29","22","    Interest","B1869C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.7,0.9,1,1.2,1.3,1.7,1.9,2.4,4,4.7,4.2,5.2,7.9,11,11.3,10.7,11.8,18,27.9,36,50,59.7,58,75.2,76.3,81.5,91.9,111.8,140.6,145.8,135.2,112.7,106.9,127.5,158.9,170.5,201.4,217.9,228.4,278.4,250.1,209.5,192.7,225.2,322,461.5,579.2,489.9,"....."
"30","23","    Dividends","B3376C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.9,46.5,44.8,68.9,73.3,102.5,108.1,107.1,112.1,"....."
"31","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3,4.3,-0.1,-33.7,1.8,14.5,49.8,42.1,69.5,49.7,55,"....."
"32","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.8,2.9,2.6,4.5,5.6,4,3.5,2.6,2.5,2.3,2.6,2.5,2.4,2.4,4.4,4.1,4.2,4.4,4.5,4.4,4.7,5.1,5.5,5.9,5.9,6.6,7.9,9.2,7.9,8.7,9.1,8.1,8.1,8.8,10.6,12.6,17,19.8,20.5,23.6,25.7,27.8,26.8,29,30.4,31.7,-4.9,41.9,45.4,46.1,44.1,49.5,51.4,60,57.6,66.1,72.6,73.5,80.7,97.1,115,101.5,126.6,141.4,"142.6"
"33","26","  From persons (net)","B070RC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,1,1,1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2,5.6,6.7,7,7.9,8.3,9.1,10,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6,41.2,43.6,48.4,51.6,58.7,64.5,"62.7"
"34","27","  From government (net)","B088RC1",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.1,2.2,2.1,1.9,2.1,2,1.9,1.9,3.9,3.6,3.6,3.7,3.7,3.5,3.8,4.1,4.2,4.6,4.5,4.9,6.1,7.4,5.6,6.4,7.1,5.7,5.3,5.9,6.8,8.3,8.3,9.7,10.1,12.2,14.4,15.4,13.4,13.7,14.2,14.7,-24,22,22.9,21.1,15.6,20,16.7,17.4,18,20,16.2,21.6,25.8,27.2,35.3,28.8,36.5,40.8,"50.5"
"35","28","  From business (net)","W164RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.4,5.4,6,8.2,6.9,9.1,13,7.4,11.4,18.3,11.3,13.7,26.3,31.3,21.1,31.4,36.2,"29.5"
"36","29","    Balance on current account, NIPAs","A124RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4,8.9,6,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.3,-35.1,-90.1,-114.3,-142.7,-154.1,-115.7,-92.4,-74.9,7.9,-45.6,-78.6,-114.7,-105.1,-114.1,-129.3,-204.5,-291.9,-410.4,-391.6,-451.6,-516.1,-624.6,-740.5,-798.4,-724.7,-707.2,"....."
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Net lending or net borrowing (-), NIPAs \2\","W162RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4,8.9,6,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.2,-35,-89.9,-114.1,-142.5,-153.9,-115.4,-92.2,-81.6,3.2,-44.8,-80,-116.6,-106.2,-115.1,-130.6,-205.5,-297.1,-411.7,-380,-453.4,-519.9,-623.5,-729.5,-802.6,-726.8,-706.8,"....."
"39","31","    Balance on current account, NIPAs","A124RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4,8.9,6,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.3,-35.1,-90.1,-114.3,-142.7,-154.1,-115.7,-92.4,-74.9,7.9,-45.6,-78.6,-114.7,-105.1,-114.1,-129.3,-204.5,-291.9,-410.4,-391.6,-451.6,-516.1,-624.6,-740.5,-798.4,-724.7,-707.2,"....."
"40","32","    Less:Capital account transactions (net) \3\","W167RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.4,-0.2,6.7,4.6,-0.8,1.5,1.9,1.1,0.9,1.2,1,5.2,1.4,-11.7,1.8,3.8,-1.1,-11.1,4.2,2.2,-0.4,"....."
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
