"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","          Value added","W102RG3",5.948,5.998,5.747,5.807,5.873,5.945,6.052,6.127,6.277,6.251,6.222,6.301,6.261,6.177,6.291,6.265,6.584,6.474,6.494,6.575,6.684,6.766,6.851,6.923,6.938,6.993,6.933,6.999,7.036,7.167,7.211,7.271,7.332,7.529,7.584,7.649,7.784,7.908,7.986,8.032,8.154,8.251,8.332,8.414,8.575,8.696,8.796,8.845,8.949,8.987,9.013,9.037,9.138,9.161,9.315,9.373,9.41,9.484,9.537,9.599,9.72,9.746,9.792,9.958,10.073,10.118,10.133,10.333,10.447,10.503,10.605,10.665,10.761,10.808,10.943,11.133,11.277,11.394,11.56,11.642,11.764,11.932,12.081,12.395,12.551,12.71,13.011,13.207,13.316,13.487,13.95,14.146,14.724,15.002,15.231,15.442,16.014,16.324,16.549,16.799,17.451,17.647,17.885,18.314,18.696,19.02,19.339,19.718,19.983,20.365,20.837,21.486,21.94,22.434,22.87,23.459,23.825,24.204,24.487,25.015,25.543,25.977,26.332,27.059,27.385,27.74,28.079,28.62,29.187,29.671,30.407,31.196,31.797,32.509,33.237,34.699,35.483,36.049,36.393,37.475,38.175,38.796,39.367,40.167,40.603,41.166,41.57,41.976,43.697,44.215,44.743,45.215,46.143,46.48,46.683,47.262,47.642,48.101,48.559,49.211,49.778,50.19,50.559,50.846,51.541,52.15,52.547,52.994,53.783,54.219,54.703,55.141,56.029,56.789,57.342,58.185,59.183,59.706,60.316,60.846,61.733,62.376,62.775,63.061,63.789,64.324,64.954,65.421,66.084,66.704,66.981,67.594,68.182,68.388,68.716,69.61,70.512,70.255,70.725,71.189,71.878,72.191,72.46,72.886,73.341,73.681,74.166,74.792,75.904,76.713,77.411,78.065,79.067,79.37,80.327,81.024,81.87,82.532,83.338,84.103,85.488,85.919,86.538,87.827,89.931,90.858,91.525,92.131,93.885,94.905,95.694,96.6,98.709,99.561,100.477,101.253,103.178,104.274,105.027,106.061,108.074,109.006,109.591,110.532,111.779,112.512,113.106,113.603,114.907,115.346,115.482,115.851
"12","4","            Compensation of general government employees","A194RG3",4.914,4.946,4.541,4.574,4.668,4.737,4.806,4.883,5.028,5.044,5.053,5.147,5.127,5.04,5.131,5.023,5.311,5.186,5.195,5.269,5.389,5.466,5.529,5.607,5.619,5.675,5.636,5.716,5.761,5.873,5.914,5.953,6.029,6.244,6.261,6.296,6.393,6.501,6.569,6.596,6.689,6.778,6.846,6.929,7.144,7.264,7.347,7.384,7.499,7.54,7.564,7.592,7.7,7.724,7.893,7.954,7.988,8.069,8.117,8.18,8.296,8.324,8.35,8.499,8.618,8.654,8.673,8.896,9.017,9.079,9.188,9.247,9.34,9.375,9.508,9.704,9.854,9.95,10.113,10.183,10.304,10.473,10.608,10.922,11.057,11.216,11.522,11.698,11.78,11.924,12.401,12.574,13.152,13.404,13.604,13.774,14.339,14.634,14.854,15.093,15.741,15.929,16.142,16.545,16.907,17.197,17.482,17.831,18.007,18.266,18.598,19.167,19.596,20.096,20.516,21.088,21.422,21.785,22.049,22.565,23.044,23.463,23.819,24.518,24.781,25.086,25.373,25.899,26.435,26.841,27.505,28.236,28.771,29.371,30.021,31.426,32.11,32.577,32.829,33.869,34.493,35.05,35.593,36.432,36.882,37.48,37.855,38.288,40.109,40.643,41.21,41.693,42.699,43.086,43.275,43.894,44.333,44.78,45.244,45.925,46.509,46.977,47.364,47.672,48.379,49.018,49.423,49.857,50.692,51.139,51.632,52.059,52.987,53.79,54.335,55.198,56.257,56.815,57.46,58.043,59.07,59.759,60.201,60.454,61.17,61.721,62.378,62.858,63.549,64.158,64.387,64.956,65.544,65.721,66.068,67.03,68.047,67.758,68.275,68.795,69.567,69.894,70.213,70.65,71.213,71.59,72.112,72.795,74.035,74.885,75.636,76.303,77.349,77.625,78.656,79.427,80.38,81.111,82.037,82.919,84.512,84.994,85.692,87.15,89.532,90.601,91.362,92.072,94.027,95.011,95.667,96.458,98.774,99.596,100.443,101.186,103.32,104.302,104.989,105.978,108.053,109.019,109.586,110.531,111.849,112.507,113.001,113.409,114.89,115.533,115.804,116.242
"13","5","            Consumption of general government fixed capital \2\","A265RG3",15.484,15.671,16.166,16.438,16.382,16.519,16.952,17.048,17.28,16.924,16.574,16.523,16.28,16.195,16.521,17.315,17.874,18.013,18.152,18.28,18.183,18.283,18.586,18.541,18.583,18.599,18.331,18.226,18.179,18.479,18.541,18.788,18.686,18.676,19.089,19.43,19.91,20.175,20.343,20.56,20.94,21.094,21.288,21.338,20.958,21.062,21.31,21.473,21.448,21.441,21.492,21.477,21.493,21.503,21.496,21.518,21.576,21.578,21.661,21.714,21.86,21.86,22.095,22.394,22.45,22.572,22.558,22.504,22.534,22.525,22.543,22.605,22.716,22.873,22.997,23.096,23.156,23.458,23.611,23.807,23.903,24.033,24.285,24.53,24.863,24.987,25.152,25.516,25.865,26.282,26.483,26.866,27.307,27.785,28.26,28.834,29.341,29.719,29.952,30.239,30.759,30.985,31.425,32.005,32.502,33.1,33.691,34.277,35.416,37.031,38.892,40.224,40.8,41.078,41.561,42.135,42.735,43.174,43.583,44.075,44.966,45.446,45.677,46.477,47.394,48.184,48.996,49.532,50.252,51.449,52.737,53.923,55.063,56.767,58.117,59.775,61.417,62.857,64.076,65.31,66.621,67.742,68.464,68.683,68.88,68.975,69.583,69.643,70.079,70.351,70.414,70.712,70.77,70.595,70.896,71.039,70.837,71.347,71.706,72.031,72.394,72.293,72.481,72.571,73.107,73.421,73.725,74.239,74.609,74.927,75.304,75.797,76.319,76.707,77.287,77.941,78.415,78.654,78.983,79.1,78.939,79.229,79.299,79.807,80.609,81.011,81.442,81.808,82.257,82.943,83.549,84.451,85.03,85.425,85.621,86.034,86.155,86.116,86.264,86.343,86.472,86.69,86.632,86.98,86.719,86.815,87.059,87.31,87.584,88.125,88.488,89.053,89.775,90.254,90.739,90.963,91.141,91.362,91.421,91.447,91.531,91.648,91.766,92.005,92.375,92.424,92.512,92.488,93.027,94.267,95.867,97.455,98.327,99.352,100.673,101.648,102.363,104.119,105.245,106.539,108.193,108.934,109.619,110.534,111.394,112.543,113.692,114.679,115.012,114.338,113.744,113.742
"14","6","          Intermediate goods and services purchased \3\","W104RG3",11.999,12.248,12.733,12.95,13.384,13.195,13.536,13.431,13.592,13.486,13.319,13.338,13.53,13.777,13.783,14.243,14.81,14.607,14.754,14.994,14.054,14.428,14.535,14.902,14.609,14.652,14.658,14.857,15.151,14.989,15.202,15.274,15.69,15.796,15.901,16.115,16.143,16.305,16.34,16.363,16.877,16.894,16.908,17.02,17.161,17.227,17.198,17.24,16.692,16.446,16.066,16.174,16.128,16.327,16.386,16.739,16.66,16.66,16.582,16.677,16.961,17.034,17.061,16.929,16.97,16.939,16.866,17.126,17.154,17.168,17.517,17.438,17.53,17.594,17.785,18.04,18.006,17.922,18.562,18.609,18.657,18.837,19.057,19.068,19.273,19.556,19.631,19.938,20.043,20.478,20.661,20.968,20.958,21.064,21.456,21.656,21.883,22.256,22.607,22.878,22.938,23.158,23.367,23.576,24.079,24.597,25.149,25.549,26.474,27.513,28.793,29.751,30.284,30.714,31.432,31.932,32.336,32.756,33.403,34.01,34.641,35.229,35.66,36.274,36.8,37.433,38.159,38.988,39.874,40.853,42.363,43.928,45.66,47.08,48.228,49.397,50.883,51.9,52.734,53.539,54.165,54.699,55.27,55.942,56.117,56.393,57.006,57.307,57.949,58.539,58.865,58.819,59.177,59.503,59.715,60.385,60.082,59.496,59.651,60.093,60.479,60.991,61.871,62.053,62.225,62.679,62.81,62.96,63.979,64.583,64.863,65.441,66.519,66.875,67.933,69.767,69.357,69.054,69.564,70.07,70.093,70.643,71.45,71.717,71.953,72.397,72.405,72.597,72.903,73.252,73.993,74.406,75.063,75.766,76.022,76.29,76.832,77.418,77.717,78.441,78.855,78.627,78.748,79.267,78.795,78.84,78.902,79.052,79.263,80.075,80.969,81.852,83.431,83.867,84.692,85.617,86.148,86.108,85.752,85.001,85.31,86.316,86.95,87.834,89.968,89.416,90.036,90.563,91.9,93.057,94.337,96.148,97.466,98.799,100.884,102.852,103.468,105.112,105.932,105.494,106.816,108.719,109.672,112.293,114.862,118.358,120.399,114.274,111.209,111.461,112.704,114.112
"15","7","            Durable goods","W105RG3",17.337,17.468,18.611,18.729,18.79,18.835,19.698,19.7,20.074,19.346,19.266,19.367,19.774,19.97,20.205,21.604,21.524,21.55,21.544,21.751,21.894,22.118,22.371,22.615,22.527,22.681,22.581,22.764,22.631,22.902,23.546,24.004,23.556,23.693,24.221,25.019,25.387,25.66,25.74,26.055,26.702,26.816,27.077,27.439,27.379,27.279,27.482,27.736,27.741,27.945,28.066,28.161,28.167,28.149,28.238,28.214,28.337,28.412,28.498,28.68,28.702,28.802,28.974,29.387,29.575,29.843,29.658,29.637,29.656,29.771,29.694,29.744,29.746,29.915,29.963,29.994,30.169,30.387,30.576,30.841,30.761,30.984,31.352,31.267,31.905,32.254,32.473,32.854,33.017,33.441,33.733,34.212,34.647,35.116,35.505,36.095,36.684,37.123,37.251,37.186,36.684,36.667,36.684,36.85,37.598,38.458,38.894,39.076,39.868,40.905,42.873,44.475,45.795,46.366,47.125,48.054,48.556,49.515,51.127,52.301,53.13,53.5,53.341,55.786,56.233,57.229,58.321,59.831,61.088,62.121,63.922,65.405,66.428,67.806,68.936,70.279,72.161,73.561,75.669,76.88,79.29,80.493,81.602,83.418,85.173,86.241,87.353,88.398,90.127,92.134,92.679,92.25,92.232,92.469,92.775,93.488,93.46,94.126,94.724,95.561,94.805,94.957,95.028,94.567,93.131,93.056,92.899,93.111,93.245,93.526,93.821,94.418,95.138,95.78,96.255,96.904,98.163,98.241,98.642,99.013,99.553,99.863,100.291,100.664,101.159,101.502,101.774,102.306,102.652,102.651,102.578,102.849,102.872,103.122,103.192,103.553,103.562,103.169,102.633,102.726,102.656,102.49,102.177,101.937,101.575,101.261,100.751,100.79,100.554,100.091,99.737,99.895,99.948,99.733,99.6,99.672,99.001,99.053,98.653,98.376,98.316,98.228,97.969,97.92,98.002,98.02,97.893,97.906,98.211,98.562,98.753,99.233,99.79,99.976,100.088,100.145,100.739,101.607,102.214,102.576,102.424,102.217,102.132,102.247,102.653,103.123,103.902,104.47,104.581,104.45,104.359,104.562
"16","8","            Nondurable goods","W106RG3",14.349,15.071,15.04,15.571,16.706,16.207,16.139,15.866,15.916,15.764,15.438,15.527,15.717,16.106,15.933,16.121,16.173,16.626,16.759,16.983,15.968,15.937,15.938,15.888,15.508,15.542,15.583,15.662,16.787,16.765,16.687,16.712,17.718,17.668,17.515,17.686,17.677,17.727,17.875,17.629,18.253,18.397,18.136,18.227,18.001,17.832,17.778,17.726,17.902,17.572,17.148,17.132,17.235,17.412,17.466,17.516,17.774,17.355,17.294,17.265,17.504,17.473,17.537,17.554,17.37,17.321,17.474,17.329,17.4,17.435,17.762,17.787,17.831,17.723,17.929,18.188,18.429,18.446,18.884,18.85,18.75,18.806,18.898,18.555,18.986,19.171,19.291,19.395,19.506,19.637,19.785,19.904,20.086,20.191,20.286,20.299,20.455,20.688,20.77,20.933,20.941,21.229,21.543,21.81,22.795,23.624,24.659,25.455,27.178,28.648,30.675,32.341,32.428,32.702,33.862,34.141,34.284,34.746,35.182,35.554,36.421,37.182,37.483,37.971,38.381,39.071,39.637,40.662,42.006,43.911,46.665,49.479,52.639,55.047,56.277,57.358,59.999,61.121,60.88,61.205,60.899,60.678,60.943,61.389,60.589,60.396,61.159,60.417,60.524,60.688,60.574,60.304,60.232,60.507,60.072,61.046,58.22,54.357,53.25,53.576,55.066,56.507,57.986,57.802,57.257,57.917,57.586,56.327,59.072,60.929,60.371,61.551,63.584,62.464,64.705,69.848,66.131,63.42,63.449,63.727,62.464,63.748,64.569,64.202,64.333,64.904,63.565,63.508,63.427,63.6,64.991,65.273,66.146,67.345,67.113,67.26,68.727,70.026,69.878,71.56,71.371,69.492,69.003,69.429,67.466,66.96,66.238,65.878,65.657,67.984,70.242,72.012,75.614,76.291,77.798,79.226,78.322,78.25,76.497,73.175,72.922,75.079,75.945,77.918,83.498,79.442,80.281,81.219,83.891,86.301,88.354,93.005,94.733,97.01,102.13,106.127,105.411,109.261,109.563,105.781,107.732,112.435,113.945,121.729,128.833,138.348,141.88,116.138,105.471,107.723,111.868,116.663
"17","9","            Services","W107RG3",11.138,11.142,11.876,11.912,12.092,11.995,12.534,12.506,12.751,12.776,12.713,12.66,12.837,13.079,13.083,13.469,14.64,13.984,14.213,14.521,12.893,13.638,13.77,14.54,14.136,14.168,14.225,14.57,14.509,13.957,14.206,14.163,14.666,14.884,15.003,15.077,15.001,15.183,15.166,15.188,15.701,15.658,15.675,15.743,16.084,16.277,16.195,16.237,15.154,14.831,14.327,14.528,14.407,14.667,14.727,15.286,15.037,15.165,15.057,15.193,15.54,15.659,15.649,15.363,15.482,15.412,15.271,15.726,15.741,15.733,16.148,16.013,16.135,16.25,16.461,16.749,16.584,16.415,17.22,17.259,17.382,17.616,17.879,18.059,18.107,18.442,18.477,18.887,18.982,19.587,19.776,20.161,20.003,20.065,20.595,20.835,21.057,21.485,21.975,22.328,22.47,22.688,22.874,23.06,23.335,23.695,24.076,24.343,24.966,25.85,26.78,27.398,28.03,28.508,29.052,29.594,30.094,30.447,31.092,31.743,32.255,32.798,33.356,33.833,34.425,34.999,35.76,36.434,37.09,37.691,38.665,39.738,40.998,42.035,43.171,44.372,45.347,46.292,47.454,48.431,49.212,49.97,50.601,51.219,51.55,51.911,52.414,53.014,53.701,54.261,54.734,54.82,55.385,55.744,56.18,56.762,57.306,57.742,58.317,58.758,58.883,59.122,59.934,60.33,60.974,61.449,61.769,62.357,62.956,63.193,63.786,64.171,64.995,65.808,66.549,67.401,67.932,68.411,69.102,69.713,70.129,70.458,71.314,71.792,72.034,72.442,72.921,73.169,73.613,74.06,74.65,75.124,75.758,76.319,76.773,77.079,77.324,77.733,78.28,78.701,79.381,79.774,80.167,80.789,80.895,81.193,81.619,81.983,82.405,82.738,83.209,83.812,84.732,85.132,85.775,86.579,87.797,87.76,87.97,88.194,88.742,89.388,90.011,90.569,91.589,92.3,92.911,93.333,94.267,95.03,96.123,97.02,98.255,99.343,100.5,101.902,103.009,103.932,104.961,105.661,106.895,107.977,108.838,109.859,111.039,112.7,114.35,114.452,113.763,113.336,113.691,114.041
"18","10","        Less: Own-account investment \4\","W108RG3",6.902,7.002,7.171,7.391,7.502,7.63,7.831,7.949,8.054,7.97,8.024,8.071,8.113,8.151,8.311,8.347,8.875,8.819,8.89,8.99,9.182,9.279,9.368,9.512,9.58,9.673,9.586,9.732,9.786,9.963,10.046,10.112,10.199,10.32,10.287,10.365,10.541,10.661,10.783,10.876,11.015,11.159,11.27,11.391,11.641,11.794,11.82,11.867,11.718,11.79,11.82,11.866,11.957,11.997,12.171,12.247,12.303,12.343,12.384,12.436,12.554,12.555,12.571,12.713,12.792,12.838,12.832,12.921,13.014,13.049,13.146,13.221,13.313,13.366,13.457,13.592,13.701,13.828,14.004,14.121,14.29,14.427,14.547,14.805,14.98,15.147,15.366,15.59,15.774,15.983,16.325,16.538,16.91,17.195,17.472,17.699,18.08,18.393,18.635,18.759,18.935,19.14,19.421,19.656,20.041,20.414,20.754,21.174,21.762,22.441,23.185,23.849,24.391,24.882,25.4,25.88,26.324,26.774,27.232,27.712,28.277,28.849,29.388,29.989,30.489,31.04,31.486,31.918,32.582,33.236,34.2,34.833,35.755,36.657,37.523,38.585,39.643,40.359,40.859,41.547,42.216,42.873,43.504,44.26,44.847,45.464,46.032,46.563,47.17,47.688,48.198,48.618,49.159,49.628,50.014,50.502,50.747,51.026,51.435,52.028,52.447,52.856,53.525,53.999,54.628,55.561,56.237,56.808,57.459,58.211,58.903,59.418,60.079,60.81,61.613,62.565,63.203,63.558,64.099,64.507,65.101,65.713,66.364,66.856,67.409,67.997,68.582,68.985,69.727,70.355,70.835,71.475,72.315,72.846,73.283,73.947,74.564,74.497,74.808,75.339,75.894,76.17,76.527,76.957,77.161,77.463,77.891,78.302,78.957,79.931,80.791,81.488,82.535,83.017,83.942,84.689,85.349,85.985,86.517,86.748,87.585,88.164,88.782,89.554,91.249,91.624,92.266,92.753,94.158,95.18,96.049,97.045,98.583,99.444,100.513,101.459,102.677,103.733,104.573,105.145,106.53,107.536,108.316,109.322,110.627,111.828,113.043,112.64,112.29,112.771,113.228,113.696
"19","11","              Sales to other sectors","W109RG3",5.309,6.208,5.991,6.194,6.208,6.266,6.414,6.289,6.338,6.267,6.228,6.254,6.294,6.352,6.5,6.649,6.862,6.88,6.901,6.95,6.991,7.04,7.068,7.07,7.089,7.134,7.213,7.209,7.281,7.216,7.231,7.28,7.356,7.418,7.388,7.426,7.48,7.568,7.63,7.711,7.829,7.871,7.912,7.941,8.033,8.054,8.096,8.13,8.175,8.235,8.284,8.404,8.457,8.61,8.699,8.76,8.813,8.754,8.772,8.808,8.892,8.917,8.998,9.033,9.058,9.094,9.191,9.266,9.32,9.356,9.43,9.481,9.534,9.617,9.71,9.798,9.88,9.971,10.114,10.175,10.223,10.306,10.452,10.553,10.713,10.875,11.06,11.254,11.432,11.627,11.754,11.972,12.153,12.293,12.475,12.645,12.76,12.949,13.11,13.27,13.342,13.47,13.7,13.859,14.077,14.455,15.017,15.058,15.442,15.914,16.366,16.671,16.893,17.238,17.952,18.122,18.345,18.732,19.133,19.249,19.662,20.124,20.599,20.791,21.246,21.745,22.204,22.752,23.336,23.774,24.316,24.837,25.767,26.301,27.198,28.048,28.784,29.303,30.089,30.932,31.598,32.201,32.93,33.618,34.219,34.73,35.331,36.046,36.768,37.293,37.855,38.379,38.938,39.353,39.761,40.282,40.787,41.121,41.729,42.501,43.018,43.74,44.391,44.959,45.816,46.727,47.564,48.381,49.51,50.529,51.515,52.485,53.48,54.404,55.707,56.938,57.8,58.725,59.794,60.959,61.958,62.964,63.883,64.985,65.953,66.74,67.272,67.875,68.465,69.077,69.799,70.38,71.138,71.731,72.224,72.904,73.39,73.932,74.447,75.017,75.426,75.882,76.106,76.285,76.535,76.931,76.958,77.721,78.474,78.875,79.261,79.9,80.779,81.118,81.906,82.483,83.188,83.553,84.163,84.718,85.423,86.122,87.141,88.182,89.385,90.502,91.707,92.94,94.066,95.303,96.191,97.212,98.389,99.461,100.463,101.688,102.808,103.961,105.265,106.277,107.565,108.571,109.484,111.141,112.382,113.569,114.878,115.417,116.054,116.72,117.454,118.404
"20","12","Federal consumption expenditures \1\","A957RG3",9.082,9.014,8.574,8.568,8.617,8.612,8.697,8.722,9.078,9.081,8.96,9.13,9.098,8.953,8.992,8.921,9.487,9.191,9.187,9.312,9.124,9.314,9.391,9.58,9.455,9.527,9.455,9.572,9.69,9.728,9.795,9.873,10.083,10.372,10.462,10.567,10.662,10.846,10.885,10.889,11.162,11.223,11.299,11.423,11.648,11.797,11.902,11.947,11.796,11.699,11.56,11.588,11.607,11.646,11.851,12.029,11.993,12.012,11.984,12.029,12.191,12.228,12.286,12.422,12.519,12.519,12.482,12.808,12.935,12.968,13.212,13.219,13.304,13.349,13.54,13.857,13.884,13.853,14.21,14.206,14.188,14.359,14.51,14.827,14.976,15.169,15.482,15.693,15.706,15.909,16.436,16.625,17.17,17.35,17.623,17.788,18.488,18.869,19.16,19.594,20.338,20.516,20.649,21.179,21.565,21.89,22.329,22.832,23.164,23.694,24.485,25.521,26.089,26.442,26.97,27.773,28.066,28.386,28.826,29.731,30.346,30.721,30.88,31.974,32.217,32.537,32.975,33.924,34.416,34.916,35.637,37.268,38.004,38.859,39.52,41.718,42.391,43.009,43.414,45.046,45.641,46.152,46.533,47.46,47.738,48.082,48.4,48.506,50.834,51.361,51.798,51.893,52.809,52.936,52.827,53.598,53.618,53.629,53.823,54.115,54.567,54.812,55.091,55.137,55.855,56.357,56.433,56.512,57.617,57.784,58.118,58.142,59.068,59.665,60.047,61.206,62.119,62.241,62.823,63.33,64.297,64.8,65.324,65.149,65.786,66.273,66.963,67.322,67.769,68.507,68.492,68.987,69.909,69.904,70.183,71.644,72.593,72.302,72.681,73.257,74.106,74.193,74.343,74.803,75.19,75.329,75.601,75.729,76.762,77.264,77.784,78.368,79.97,79.711,80.872,81.298,81.813,82.057,82.646,83.314,85.636,85.865,85.901,87.022,89.833,90.096,90.419,90.786,93.602,94.831,95.421,96.057,99.082,99.654,100.491,100.774,103.419,104.56,104.813,104.964,107.429,108.473,108.595,109.336,111.011,112.3,112.805,111.453,112.046,112.245,112.746,113.361
"21","13","      Gross output of general government","W110RG3",8.996,9.06,8.591,8.594,8.623,8.627,8.713,8.726,9.089,9.09,8.966,9.134,9.105,8.963,9.003,8.933,9.5,9.213,9.208,9.331,9.146,9.336,9.41,9.598,9.475,9.548,9.475,9.591,9.712,9.745,9.812,9.893,10.105,10.389,10.47,10.576,10.67,10.857,10.897,10.903,11.174,11.234,11.31,11.431,11.661,11.808,11.908,11.953,11.807,11.714,11.578,11.608,11.626,11.666,11.868,12.043,12.008,12.027,11.999,12.044,12.206,12.242,12.3,12.436,12.533,12.533,12.498,12.821,12.949,12.983,13.225,13.232,13.316,13.36,13.55,13.863,13.89,13.863,14.213,14.21,14.192,14.362,14.514,14.833,14.983,15.176,15.49,15.706,15.727,15.927,16.439,16.63,17.167,17.345,17.618,17.785,18.483,18.866,19.162,19.593,20.306,20.485,20.622,21.146,21.54,21.876,22.319,22.821,23.15,23.694,24.474,25.495,26.056,26.405,26.931,27.732,28.037,28.367,28.803,29.706,30.323,30.694,30.88,31.971,32.229,32.555,32.997,33.949,34.448,34.956,35.706,37.295,38.1,38.946,39.624,41.805,42.48,43.097,43.492,45.093,45.679,46.175,46.558,47.475,47.749,48.092,48.404,48.517,50.8,51.312,51.749,51.841,52.74,52.856,52.755,53.515,53.515,53.476,53.668,53.988,54.452,54.7,54.996,55.047,55.761,56.269,56.347,56.429,57.537,57.736,58.073,58.105,59.016,59.598,59.999,61.198,62.028,62.164,62.761,63.28,64.233,64.738,65.261,65.114,65.786,66.284,66.949,67.314,67.761,68.491,68.486,68.977,69.893,69.891,70.173,71.617,72.569,72.297,72.677,73.282,74.13,74.205,74.355,74.808,75.195,75.333,75.508,75.729,76.761,77.269,77.798,78.384,79.986,79.74,80.906,81.327,81.842,82.088,82.677,83.34,85.656,85.887,85.928,87.036,89.839,90.106,90.431,90.798,93.608,94.835,95.428,96.061,99.079,99.652,100.501,100.768,103.406,104.54,104.801,104.954,107.412,108.451,108.579,109.327,111.003,112.279,112.805,111.402,111.968,112.17,112.671,113.284
"22","14","        Value added","W111RG3",6.401,6.435,5.993,5.984,5.97,5.991,6.024,6.056,6.333,6.344,6.278,6.438,6.359,6.156,6.241,6.108,6.516,6.29,6.236,6.3,6.442,6.517,6.573,6.647,6.625,6.704,6.623,6.686,6.704,6.81,6.807,6.876,6.966,7.255,7.315,7.362,7.471,7.633,7.68,7.69,7.825,7.894,7.978,8.08,8.303,8.452,8.608,8.651,8.75,8.776,8.799,8.801,8.841,8.818,9.037,9.09,9.098,9.115,9.122,9.134,9.205,9.209,9.274,9.506,9.609,9.631,9.629,9.898,10.055,10.092,10.218,10.29,10.339,10.387,10.545,10.832,10.895,10.94,11.068,11.043,11.005,11.137,11.222,11.659,11.783,11.897,12.298,12.437,12.465,12.519,13.145,13.254,14.041,14.26,14.436,14.618,15.41,15.757,15.991,16.416,17.339,17.479,17.579,18.181,18.456,18.685,19.035,19.594,19.754,20.063,20.535,21.465,21.952,22.256,22.608,23.459,23.644,23.916,24.189,25.077,25.684,26.001,26.119,27.216,27.347,27.563,27.83,28.773,29.093,29.472,29.855,31.257,31.688,32.167,32.597,34.996,35.447,35.896,36.135,37.932,38.436,38.916,39.152,40.006,40.136,40.598,40.802,40.938,44.044,44.396,44.788,44.971,46.195,46.206,45.927,46.615,46.746,47.012,47.202,47.457,48.138,48.216,48.222,48.298,49.366,50.064,50.385,50.462,51.774,51.954,52.098,51.866,52.809,53.418,53.498,54.466,55.855,56.196,56.824,57.227,58.74,59.38,59.604,59.233,60.214,60.712,61.493,61.901,62.531,63.321,63.055,63.61,64.832,64.562,64.793,66.799,68.121,67.563,67.917,68.515,69.64,69.722,69.809,70.252,71.012,71.119,71.235,71.453,73.033,73.586,74.024,74.534,76.445,75.874,77.257,77.481,78.033,78.259,79.006,80.093,83.671,83.517,83.154,84.563,88.316,88.631,88.822,89.172,93.297,94.651,94.94,95.254,99.592,99.719,100.366,100.323,104.436,105.305,105.01,105.501,109.392,110.281,109.926,110.213,112.221,112.44,112.15,111.954,114.569,114.501,114.488,115.081
