"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Equals: Gross national product","B001RA3",7.318,6.697,6.262,5.452,5.378,5.95,6.483,7.312,7.693,7.442,8.034,8.731,10.282,12.217,14.289,15.429,15.274,13.521,13.392,13.96,13.877,15.087,16.316,16.979,17.766,17.674,18.938,19.351,19.763,19.599,20.946,21.492,22.052,23.411,24.435,25.848,27.524,29.313,30.118,31.601,32.579
"12","5","Less: Consumption of fixed capital","A262RA3",4.32,4.422,4.426,4.328,4.227,4.157,4.178,4.253,4.389,4.465,4.526,4.642,4.922,5.501,6.397,7.436,8.104,8.219,8.118,8.134,8.227,8.393,8.717,9.161,9.694,10.203,10.668,11.147,11.641,12.192,12.591,12.987,13.485,14.063,14.729,15.439,16.279,17.263,18.282,19.283,20.294
"13","6","  Private","A024RA3",5.142,5.245,5.214,5.058,4.9,4.785,4.781,4.835,4.971,5.026,5.059,5.161,5.338,5.386,5.26,5.189,5.232,5.504,5.968,6.446,6.834,7.202,7.562,7.855,8.215,8.588,8.995,9.432,9.855,10.336,10.61,10.852,11.212,11.63,12.149,12.738,13.509,14.426,15.323,16.208,17.172
"14","7","  Government","A264RA3",2.082,2.203,2.349,2.473,2.574,2.659,2.776,2.94,3.102,3.279,3.458,3.659,4.413,7.217,12.584,18.74,22.467,21.805,18.932,16.639,15.218,14.321,14.433,15.661,17.089,18.302,19.05,19.733,20.579,21.473,22.525,23.722,24.933,26.33,27.738,29.064,30.237,31.538,33.163,34.737,35.958
"15","8","    General government","A265RA3",1.941,2.049,2.181,2.29,2.385,2.47,2.588,2.75,2.903,3.071,3.241,3.431,4.237,7.311,13.209,19.989,24.112,23.376,20.194,17.63,16.025,14.986,15.068,16.373,17.913,19.209,19.992,20.698,21.579,22.512,23.612,24.857,26.113,27.574,29.048,30.426,31.629,32.97,34.663,36.283,37.507
"16","9","    Government enterprises","A266RA3",4.148,4.458,4.793,5.122,5.317,5.425,5.535,5.755,6.06,6.367,6.7,7.063,7.38,7.54,7.587,7.585,7.505,7.538,7.62,7.894,8.199,8.633,9.038,9.589,10.012,10.488,10.937,11.445,11.993,12.548,13.198,13.99,14.822,15.686,16.523,17.411,18.361,19.339,20.389,21.591,22.829
"17","10","Equals: Net national product","A027RA3",7.981,7.209,6.681,5.716,5.648,6.362,7.008,8.003,8.44,8.113,8.828,9.659,11.505,13.754,16.096,17.251,16.9,14.722,14.587,15.283,15.158,16.616,18.059,18.771,19.614,19.37,20.823,21.215,21.599,21.251,22.825,23.403,23.972,25.513,26.617,28.191,30.058,32.03,32.778,34.367,35.331
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Net domestic product","A362RA3",7.992,7.216,6.695,5.731,5.669,6.396,7.042,8.055,8.483,8.151,8.871,9.72,11.572,13.844,16.214,17.378,17.032,14.815,14.655,15.341,15.223,16.687,18.121,18.836,19.694,19.439,20.891,21.272,21.651,21.326,22.912,23.481,24.038,25.571,26.671,28.244,30.12,32.129,32.877,34.465,35.447
"20","12","  Net domestic purchases","W367RA3",7.907,7.162,6.661,5.716,5.661,6.366,7.074,8.068,8.456,8.041,8.752,9.547,11.466,13.892,16.443,17.609,17.134,14.217,13.882,14.918,14.788,16.457,17.726,18.547,19.537,19.199,20.644,20.936,21.255,21.144,22.719,23.102,23.641,25.22,26.246,27.701,29.656,31.747,32.567,34.255,35.246
