"","Table 7#2#3A# Real Auto Output, Quantity Indexes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"11","3","  Personal consumption expenditures","A135RA3",19.09,20.501,18.902,22.092,24.201,22.058,23.693,25.766,27.186,34.414,35.762,35.779,38.626,40.218,49.02,45.913,43.959,37.016,33.442,30.318,30.657,32.407,25.101,39.405,43.212,42.519,42.481,39.29,36.418,41.098,39.48,43.511,52.078,57.312,58.941,53.99,47.393,45.091,43.54,47.015,50.265,48.076,45.728,46.532,38.282,37.191,36.861,39.419,44.194,47.174,48.828,42.244,47.209,49.08,50.228,47.027,39.931,41.101,42.335,46.691,48.719,50.729,49.617,54.117,56.154,57.794,57.706,58.72,60.209,60.719,63.863,57.427,71.25,69.436,71.945,72.244,77.064,68.299,70.26,69.74
"12","4","    New autos","B136RA3",21.004,23.121,20.674,23.71,26.039,23.522,24.642,26.278,28.188,36.164,38.214,38.786,42.332,44.084,52.822,48.536,46.68,38.577,34.525,30.753,30.754,32.436,24.191,40.114,44.198,44.393,45.218,42.395,39.123,43.226,41.571,45.431,55.081,61.743,64.389,57.534,50.109,47.119,43.898,48.447,51.628,49.028,46.978,47.681,37.337,35.248,35.11,37.936,46.488,48.799,51.87,41.934,51.228,51.071,52.942,48.524,39.395,42.399,43.938,49.895,51.955,54.813,52.306,60.038,61.482,63.89,62.033,65.545,66.359,67.731,72.171,62.757,81.919,78.001,79.875,81.689,87.542,76.139,79.985,78.893
"13","5","    Net purchases of used autos","B137RA3",22.466,20.946,22.922,29.374,31.739,30.138,36.035,42.694,42.459,50.801,48.178,43.62,43.014,44.558,61.59,65.428,60.55,57.086,55.056,55.851,60.733,65.379,59.817,66.301,65.856,58.158,52.019,42.378,49.762,30.481,34.352,72.909,69.359,54.533,44.174,47.528,47.931,52.255,64.373,62.043,65.982,64.624,58.877,60.892,61.919,66.945,65.996,68.797,51.293,60.222,54.574,64.531,46.264,60.988,57.978,60.434,62.084,52.802,52.854,50.577,53.503,52.181,57.552,48.3,53.994,52.681,60.708,50.917,55.929,52.92,51.686,55.458,52.018,58.241,64.177,58.55,60.848,59.446,54.765,56.273
"14","6","  Private fixed investment","B280RA3",32.528,35.605,31.919,36.749,38.728,33.574,34.029,35.224,35.83,43.724,44.397,44.561,48.175,49.833,60.107,55.21,51.571,41.674,36.576,31.964,30.896,31.887,24.211,40.452,46.107,50.929,55.244,53.163,48.145,43.118,50.469,53.867,62.721,66.941,66.557,57.923,48.461,44.067,40.73,45.147,47.998,48.196,48.936,52.264,37.247,34.296,33.7,39.19,47.145,50.842,57.278,47.362,58.368,52.774,52.982,46.767,45.391,48.193,49.977,54.287,58.296,59.084,62.033,64.678,61.007,56.252,55.039,60.213,60.759,61.565,66.822,57.188,81.745,76.314,74.044,75.21,79.473,70.296,69.196,73.809
"15","7","    New autos","B139RA3",13.577,14.892,13.394,15.657,16.846,14.77,15.075,15.611,16.017,19.576,19.966,20.016,21.422,22.014,26.819,25.192,24.61,20.645,18.705,16.794,16.836,17.535,12.877,20.616,21.709,22.345,23.427,22.453,21.217,19.707,23.11,24.859,27.972,29.588,29.938,26.563,23.357,22.126,21.076,23.451,24.539,23.977,23.498,24.227,18.818,17.792,17.601,19.301,22.352,23.769,25.398,20.646,25.488,23.843,23.903,21.963,21.006,22.876,23.16,24.927,26.366,26.863,27.78,29.004,28.127,26.513,25.529,28.067,27.797,28.385,30.253,25.676,35.901,33.909,32.911,34.254,36.497,33.099,32.447,36.259
"16","8","    Net purchases of used autos","B140RA3",1.994,2.296,2.213,3.419,4.736,4.56,4.868,5.039,5.453,6.736,7.035,7.008,7.105,7.026,9.05,9.535,11.31,10.836,10.811,10.437,11.466,12.206,8.273,11.911,10.101,8.333,7.765,7.315,8.022,8.57,10.111,11.227,10.918,11.042,12.211,11.875,12.981,14.413,15.262,17.121,16.836,14.879,12.802,11.614,12.163,12.412,12.519,11.883,12.262,12.407,10.902,8.217,10.216,11.004,10.948,11.756,10.621,12.6,11.793,12.304,12.35,12.812,12.578,13.194,14.026,14.126,12.976,14.468,13.558,14.161,14.271,11.789,15.319,15.053,14.626,16.468,17.986,17.505,16.965,21.319
"17","9","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Exports","B142RA3",10.83,12.572,11.853,11.496,10.228,8.621,8.229,8.601,7.582,6.428,6.787,5.941,5.052,5.477,6.787,8.866,10.379,10.964,11.196,8.464,8.343,8.578,7.575,8.595,9.222,9.232,10.042,8.859,8.813,9.539,8.578,9.189,11.245,11.137,12.291,10.908,12.248,10.451,8.908,10.693,9.196,9.49,8.938,9.353,8.618,8.001,7.52,6.97,6.823,6.709,6.766,4.981,7.548,6.687,5.865,6.998,6.732,6.279,6.613,6.732,7.061,7.831,7.945,7.491,5.752,8.642,7.956,10.665,9.996,9.996,10.489,9.532,11.617,11.164,9.435,14.02,13.742,12.15,18.462,22.899
"19","11","    Imports","B143RA3",0.047,0.047,0.047,0.047,0.364,0.548,0.686,0.736,0.275,0.092,0.139,0.139,0.233,0.275,0.411,0.548,0.456,0.456,0.456,0.411,0.463,0.644,0.827,0.919,0.919,0.782,0.599,0.463,0.644,0.736,0.778,0.778,1.011,0.872,1.198,1.375,1.377,1.838,2.204,2.759,3.403,4.23,5.332,6.213,6.338,6.405,8.844,9.106,10.403,11.802,12.775,11.679,11.945,9.631,6.817,5.627,4.568,4.44,5.276,6.177,6.504,6.253,7.067,7.306,6.723,7.031,7.709,7.34,8.017,9.249,9.374,9.868,7.3,10.045,9.727,13.595,16.701,15.621,17.767,23.381
"20","12","  Gross government investment","B144RA3",16.769,18.527,16.433,15.813,15.055,16.827,14.263,14.666,13.591,15.546,12.433,14.004,16.979,17.924,15.304,18.679,21.307,21.686,20.681,23.065,23.072,22.077,21.554,20.865,22.879,23.018,23.003,21.596,22.897,20.715,21.193,22.802,24.431,26.331,26.773,27.987,26.101,29.675,27.576,27.399,28.046,29.21,28.079,28.532,29.314,31.336,29.047,29.311,29.67,29.638,29.251,29.815,31.116,32.937,33.918,34.585,35.882,36.945,36.911,37.693,38.427,39.355,39.823,41.661,43.963,47.063,48.82,49.792,48.877,48.046,45.025,43.954,45.124,47.879,48.66,50.107,50.972,51.695,50.109,48.501
"21","13","Change in private inventories of new and used autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","  New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Used","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Domestic output of new autos \1\","B148RA3",42.158,45.611,40.469,48.138,50.25,43.48,47.901,52.462,53.013,66.764,74.174,61.978,73.376,82.258,92.549,86.599,80.734,70.821,60.153,58.473,52.377,55.332,44.243,76.072,77.8,80.913,85.639,78.519,70.079,73.531,73.581,80.201,105.075,111.989,113.66,103.666,84.895,83.694,67.137,84.608,91.919,87.839,93.351,75.059,64.529,52.367,57.186,65.878,79.876,83.489,85.253,59.443,98.308,86.035,91.043,79.566,56.907,72.625,77.164,87.559,88.794,89.114,99.361,100.162,102.685,103.049,107.269,112.125,111.485,112.6,113.018,99.034,140.89,136.963,132.814,136.162,144.428,131.751,123.972,130.53
"26","17","  Sales of imported new autos \2\","B149RA3",0.014,0.014,0.014,0.014,0.135,0.181,0.182,0.17,0.167,0.152,0.138,0.095,0.097,0.153,0.169,0.153,0.171,0.141,0.212,0.27,0.258,0.258,0.328,0.372,0.434,0.364,0.276,0.278,0.278,0.306,0.305,0.38,0.452,0.475,0.595,0.712,0.692,0.88,0.836,0.976,1.163,1.363,1.808,2.044,2.179,2.78,3.286,3.985,4.44,4.793,4.844,4.93,4.553,3.991,3.719,3.322,2.958,2.963,2.961,2.717,2.751,2.474,2.416,2.655,2.892,3.089,2.907,2.953,3.594,3.758,3.894,3.985,3.99,4.333,4.816,5.709,6.682,6.063,7,8.301
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
