"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"11","3","Plus: Imports of goods and services","B021RA3",10.786,12.914,12.747,12.607,12.565,12.814,12.784,12.983,12.83,13.797,14.102,13.147,15.068,14.533,14.835,15.503,16.22,15.752,15.317,15.431,14.908,15.698,15.423,15.27,13.738,12.639,13.689,14.42,15.324,15.987,16.64,17.19,18.004,18.17,17.917,18.171,19.39,19.451,19.705,19.976,19.921,20.029,19.723,20.154,20.169,18.705,17.36,18.292,19.076,19.104,18.887,19.428,18.874,18.566,19.427,18.665,19.092,20.56,22.161,23.248,25.118,26.17,26.847,27.634,27.024,28.352,28.078,29.179,29.152,30.393,31.235,31.476,31.288,32.068,32.692,33.443,33.287,32.904,33.68,34.707,34.868,35.033,34.985,35.618,36.748,36.686,36.538,35.558,35.153,35.778,36.784,37.597,37.87,38.493,39.1,40.036,40.902,41.747,42.297,43.996,45.021,46.699,48.012,49.363,50.446,50.925,51.1,51.753,53.436,54.632,56.403,57.515,59.972,61.985,64.27,65.658,68.122,69.683,70.62,72.901,73.966,76.091,78.926,80.869,84.115,86.71,89.706,89.658,88.165,85.56,83.845,82.685,85.061,87.728,89.028,90.91,89.648,91.062,92.231,95.534,98.466,102.514,103.55,105.991,107.242,108.471,108.759,112.043,114.46,115.855,116.743,117.054,118.935,119.474,119.44,117.956,119.083,118.013,115.624,110.909,100.176,96.094,99.688,104.043,106.745,111.829,115.771,116.517,117.412,118.292,119.249,120.582,121.106,122.306,122.135,121.067,120.99,123.478,123.657,124.067,124.756,128.135,127.841,131.028,131.616
"12","4","Equals: Gross domestic purchases","B712RA3",32.443,32.508,32.731,32.512,32.435,32.448,32.738,32.41,33.253,33.576,33.804,33.932,34.611,35.393,35.648,36.249,37.09,37.331,37.05,37.283,36.835,36.937,36.691,36.44,35.674,35.826,36.687,37.163,38.201,38.587,38.82,39.185,39.848,40.572,41.209,41.362,41.671,42.955,43.383,43.874,43.945,44.009,44.127,44.097,44.133,42.83,42.456,43.493,44.496,44.155,44.701,44.282,43.601,43.749,43.943,43.998,44.604,45.895,47.043,48.135,49.354,50.309,50.837,51.302,51.681,52.386,53.184,53.661,54.026,54.443,55.035,55.214,55.553,56.137,56.568,57.453,57.496,58.039,58.413,59.206,59.671,59.938,60.316,60.472,61.09,61.244,61.193,60.458,60.074,60.442,60.764,61.031,61.687,62.464,63.041,63.792,64.036,64.477,64.893,65.825,66.563,67.514,67.871,68.69,68.96,69.175,69.478,69.965,70.593,71.876,72.744,73.203,73.974,75.055,76.14,76.935,77.995,79.048,80.229,81.533,82.517,83.387,84.554,86.034,86.594,88.278,88.574,89.132,88.822,89.217,89.132,89.473,90.42,91.033,91.573,91.985,92.323,93.34,94.778,95.914,96.572,97.672,98.604,99.525,100.558,101.049,101.882,102.615,103.746,104.039,104.27,104.618,104.759,105.401,105.724,105.519,104.852,104.813,104.136,102.013,100.092,99.383,99.803,100.723,101.346,102.729,103.603,103.953,103.628,104.281,104.491,105.683,106.282,106.706,107.243,107.053,107.775,108.373,109.389,110.02,109.898,111.199,112.309,113.191,113.603
"13","5","Plus: Exports of goods and services, command basis \1\","C020RA3",13.364,16.169,15.777,16.491,16.389,17.207,16.954,16.947,17.248,17.026,17.451,15.949,17.878,17.368,18.306,19.287,21,22.575,23.538,25.483,26.932,28.422,27.584,28.92,29.305,27.941,26.939,28.172,28.077,28.376,28.977,29.325,28.673,29.388,29.021,27.737,28.46,31.592,31.9,33.611,33.979,34.597,35.794,37.843,39,39.341,39.471,39.514,40.221,39.902,38.502,38.122,36.229,36.031,33.73,31.666,32.115,32.126,32.469,33.256,33.647,34.406,34.566,34.694,34.061,33.643,32.666,33.322,34.012,34.165,34.552,35.884,35.756,37.469,38.897,40.691,43.103,44.798,45.794,46.672,48.01,49.628,49.538,49.758,51.32,51.632,51.933,52.521,52.653,54.03,54.588,55.609,56.227,55.936,56.779,56.606,56.504,56.991,56.562,58.061,58.623,60.508,62.67,64.174,65.729,66.829,69.292,69.671,70.028,70.701,70.459,73.698,74.571,77.335,78.737,78.046,77.658,76.289,75.11,77.384,76.729,77.203,79.175,80.947,82.002,84.611,86.547,85.317,83.394,79.836,75.464,72.257,73.279,75.387,76.109,74.65,74.278,74.268,76.049,79.467,82.044,83.561,83.891,85.976,88.203,89.722,89.426,91.669,95.123,97.438,97.878,101.973,103.264,105.447,108.942,112.999,115.116,120.685,119.761,107.386,96.055,96.192,100.523,107.23,109.31,112.823,115.923,121.585,124.432,127.817,129.302,128.885,129.421,130.874,131.108,131.45,131.11,131.864,133.193,136.007,133.224,136.041,136.857,136.087,130.597
"14","6","Less: Imports of goods and services, command basis \1\","C021RA3",10.658,12.647,12.4,12.424,12.338,12.552,12.708,12.864,12.841,13.673,13.991,13.12,15.05,14.787,15.197,16.062,17.093,17.591,17.602,18.705,20.381,23.243,23.301,23.148,20.727,18.841,19.631,20.371,21.751,22.795,23.822,24.472,26.071,26.6,26.18,26.37,28.141,28.366,28.712,29.058,29.538,30.481,31.474,33.499,35.387,33.225,30.994,32.358,33.705,33.345,31.597,31.998,30.616,29.276,29.868,28.18,28.044,30.009,32.088,33.257,35.674,37.053,37.074,37.475,35.406,37.071,36.437,38.333,38.18,38.539,39.658,40.189,40.643,42.405,43.324,44.659,44.728,44.568,44.687,45.99,46.436,46.639,45.507,46.234,47.846,46.549,47.192,47.902,45.622,44.955,45.237,46.19,46.495,47.129,48.195,48.651,49.154,50.042,50.041,51.569,52.487,54.65,56.77,58.281,59.715,60.838,60.444,60.417,61.937,62.779,63.904,64.803,66.778,67.443,69.305,70.036,70.904,71.545,71.363,73.41,74.751,77.405,80.849,83.44,87.625,90.033,93.214,92.946,90.613,85.698,82.604,79.432,81.288,85.276,86.679,88.413,88.958,88.909,90.083,93.362,97.148,101.598,103.295,107.226,108.302,109.905,111.542,116.001,117.924,119.674,121.013,119.668,120.782,122.501,124.027,126.371,130.6,134.832,134.445,116.28,96.838,94.295,100.926,107.941,111.91,116.382,119.366,122.203,127.181,130.822,131.174,132.016,133.075,132.905,130.778,130.299,129.941,130.688,130.606,130.571,131.776,134.434,133.486,134.391,129.565
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",33.306,33.393,33.607,33.469,33.402,33.459,33.708,33.353,34.256,34.439,34.68,34.767,35.381,36.168,36.496,37.154,38.021,38.33,38.16,38.559,37.974,37.902,37.493,37.369,36.962,37.241,37.905,38.429,39.278,39.568,39.738,40.099,40.489,41.171,41.776,41.968,42.046,43.644,44.041,44.716,44.742,44.761,44.919,44.852,44.72,43.721,43.66,44.521,45.401,45.109,45.725,45.231,44.537,44.838,44.716,44.787,45.459,46.516,47.447,48.499,49.474,50.327,50.877,51.337,51.924,52.399,53.166,53.488,53.964,54.375,54.837,55.068,55.416,55.971,56.437,57.387,57.694,58.446,58.907,59.606,60.217,60.63,61.159,61.262,61.84,62.213,62.1,61.3,61.238,61.865,62.227,62.49,63.172,63.854,64.399,65.079,65.227,65.615,66.056,66.94,67.612,68.502,68.844,69.632,69.863,70.045,70.715,71.272,71.769,73.048,73.633,74.399,75.113,76.29,77.354,77.986,78.927,79.753,80.873,82.221,82.996,83.509,84.458,85.788,85.923,87.624,87.711,88.191,87.975,88.67,88.53,88.953,89.807,90.083,90.529,90.571,90.795,91.843,93.366,94.438,94.885,95.596,96.318,96.956,98.119,98.576,99.182,99.571,100.865,101.161,101.262,102.248,102.388,103.034,103.557,103.487,102.452,102.488,101.743,100.651,100.111,99.737,99.719,100.434,100.777,101.951,102.779,103.373,102.671,103.198,103.552,104.622,105.147,105.772,106.589,106.547,107.331,107.886,109.073,110.011,109.422,110.711,112.061,112.763,113.232
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",8.241,8.463,8.728,8.889,9.069,9.154,8.963,8.326,8.888,9.291,9.11,9.537,9.681,9.964,10.458,10.841,12.411,13.473,14.893,15.195,16.752,16.65,16.234,14.93,13.656,13.255,13.805,14.776,15.015,15.273,15.207,15.29,16.157,16.411,16.679,16.314,17.968,17.676,18.865,21.503,22.63,24.564,27.443,28.524,29.7,27.63,25.399,25.879,27.622,28.405,29.883,29.602,29.725,32.06,29.94,28.334,27.228,28.495,30.054,31.143,32.267,34.32,35.21,33.592,30.675,30.945,29.579,30.339,30.928,29.743,28.808,28.169,29.221,31.313,32.221,33.892,36.638,36.532,37.905,39.905,41.505,43.033,42.513,42.739,42.87,42.697,42.279,45.772,41.978,37.594,35.921,34.755,34.056,34.336,32.353,31.833,32.64,32.963,33.467,33.557,34.827,36.881,39.735,42.569,45.524,47.423,46.874,48.031,48.602,48.172,49.288,51.892,53.675,56.106,56.586,55.41,57.189,57.786,55.437,55.223,57.64,60.388,63.88,67.011,69.163,73.152,71.443,75.168,67.23,62.605,57.368,53.871,55.21,57.474,60.198,57.879,60.027,62.011,63.804,68.803,74.066,76.265,79.456,83.744,91.646,93.574,97.657,103.395,108.708,117.218,120.481,124.512,128.376,137.986,144.006,143.873,140.641,138.319,133.488,114.633,98.355,96.226,100.891,104.528,106.265,108.345,109.291,113.269,114.558,117.358,119.784,118.26,117.746,114.828,114.4,115.87,114.362,116.038,116.97,119.068,117.357,117.632,119.877,114.997,NA
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",4.603,5.138,5.764,5.981,6.047,5.92,5.776,5.485,5.119,5.247,5.695,5.91,5.828,6.293,6.344,6.84,7.665,8.454,8.735,9.005,9.274,9.967,10.547,10.452,10.264,9.684,9.666,9.194,9.75,9.633,9.397,9.216,8.837,9.379,9.831,10.743,11.236,12.894,13.478,15.194,16.348,17.306,18.181,19.812,21.112,19.814,17.886,21.44,22.813,24.639,25.669,23.567,24.559,25.828,25.548,23.95,22.604,23.325,25.075,25.905,28.489,31.101,32.421,31.869,30.859,30.569,30.668,30.633,32.639,33.407,31.295,32.614,33.214,34.712,36.067,37.657,39.547,40.194,42.91,44.779,47.026,49.324,47.871,46.219,46.895,46.108,47.006,44.772,43.151,40.666,39.538,35.72,34.998,35.617,33.893,32.957,31.897,34.201,33.36,37.811,37.633,41.577,45.767,49.751,51.111,52.888,55.87,54.309,53.292,54.926,57.245,59.233,63.754,64.99,67.597,67.809,67.801,69.321,69.589,68.64,69.5,71.77,77.072,78.694,82.504,86.985,85.926,84.758,77.798,69.591,68.3,48.5,59.665,67.138,67.329,60.352,66.505,65.873,68.275,68.712,71.557,80.326,82.207,93.703,96.622,101.762,105.012,118.954,125.53,137.828,144.988,148.051,153.009,161.08,157.183,147.72,146.825,143.295,133.827,125.142,102.298,100.296,95.452,101.954,98.014,100.484,102.953,105.309,104.784,108.279,106.947,101.943,107.932,105.814,108.285,108.395,109.709,110.83,109.237,109.869,113.713,113.804,113.841,114.36,NA
"18","10","Equals: Command-basis gross national product \1,3\","CB22RA3",33.17,33.249,33.451,33.314,33.253,33.318,33.56,33.191,34.122,34.316,34.532,34.63,35.247,36.022,36.367,37.018,37.918,38.244,38.13,38.529,38.01,37.91,37.467,37.289,36.837,37.115,37.797,38.374,39.207,39.509,39.683,40.05,40.487,41.154,41.75,41.892,42.027,43.538,43.964,44.691,44.727,44.8,45.055,44.98,44.858,43.822,43.728,44.479,45.381,45.065,45.705,45.275,44.56,44.919,44.713,44.766,45.428,46.506,47.437,48.499,49.425,50.271,50.81,51.212,51.698,52.19,52.885,53.238,53.666,53.994,54.482,54.637,55.008,55.599,56.055,57.015,57.377,58.094,58.518,59.235,59.834,60.233,60.783,60.951,61.506,61.894,61.733,61.173,60.998,61.509,61.83,62.169,62.838,63.504,64.014,64.696,64.915,65.235,65.722,66.449,67.177,68.014,68.336,69.106,69.42,69.624,70.161,70.817,71.369,72.56,73.109,73.915,74.546,75.777,76.763,77.328,78.339,79.132,80.126,81.483,82.328,82.88,83.794,85.194,85.294,87.001,87.048,87.729,87.399,88.161,87.833,88.773,89.297,89.415,89.971,90.148,90.255,91.402,92.907,94.175,94.755,95.257,96.049,96.479,97.882,98.244,98.915,99.079,100.371,100.624,100.624,101.674,101.815,102.607,103.525,103.774,102.636,102.69,102.061,100.437,99.958,99.561,99.917,100.564,101.115,102.286,103.063,103.747,103.128,103.655,104.159,105.321,105.613,106.174,106.879,106.899,107.563,108.148,109.419,110.419,109.629,110.913,112.348,112.808,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RA3",36.315,36.363,36.567,36.338,36.199,36.218,36.475,35.99,37.065,37.248,37.502,37.566,38.278,39.197,39.539,40.283,41.279,41.587,41.307,41.734,40.945,40.795,40.231,40.023,39.47,39.769,40.546,41.15,42.16,42.467,42.623,43.009,43.427,44.204,44.883,45.044,45.062,46.968,47.374,48.122,48.056,47.983,48.086,47.91,47.658,46.327,46.169,47.162,48.183,47.741,48.425,47.722,46.767,47.059,46.828,46.844,47.614,48.855,49.934,51.154,52.271,53.226,53.792,54.237,54.828,55.284,56.106,56.383,56.854,57.242,57.692,57.854,58.16,58.724,59.183,60.241,60.51,61.327,61.785,62.535,63.176,63.574,64.114,64.133,64.738,65.094,64.863,63.795,63.638,64.328,64.694,64.943,65.706,66.465,67.051,67.797,67.89,68.273,68.717,69.7,70.421,71.402,71.707,72.55,72.708,72.804,73.493,74.041,74.515,75.932,76.496,77.275,77.985,79.245,80.355,80.929,81.864,82.666,83.829,85.275,86.032,86.42,87.278,88.539,88.722,90.425,90.244,90.615,90.184,90.885,90.59,90.972,91.853,92.052,92.453,92.378,92.534,93.679,95.383,96.529,96.91,97.623,98.334,98.933,100.153,100.535,101.09,101.377,102.751,102.922,102.864,103.866,103.858,104.473,104.95,104.728,103.365,103.281,102.265,100.844,100.14,99.676,99.661,100.523,100.901,102.256,103.191,103.843,102.943,103.515,103.867,105.059,105.591,106.236,107.12,106.978,107.806,108.358,109.667,110.674,109.861,111.288,112.771,113.478,113.911
"21","12","  Net domestic product","A362RA3",35.395,35.464,35.658,35.424,35.299,35.319,35.628,35.163,36.202,36.396,36.678,36.758,37.467,38.405,38.747,39.412,40.445,40.895,40.572,40.938,40.485,40.548,40.039,39.801,39.196,39.499,40.212,40.796,41.819,42.133,42.325,42.631,43.139,44.052,44.881,44.808,44.91,46.856,47.298,47.94,47.952,47.922,48.228,48.282,48.374,47.14,46.974,47.919,49.009,48.509,49.081,48.318,47.272,47.493,47.211,47.193,47.862,49.086,50.143,51.275,52.378,53.353,53.853,54.229,54.724,55.179,56.058,56.428,56.925,57.112,57.667,57.895,58.248,58.896,59.408,60.447,60.736,61.569,61.875,62.725,63.355,63.828,64.276,64.326,65.045,65.238,65.163,64.423,63.987,64.493,64.782,65.041,65.874,66.652,67.332,68.038,68.098,68.482,68.78,69.76,70.463,71.485,71.867,72.704,72.872,73.044,73.648,74.131,74.568,75.954,76.629,77.422,77.951,79.157,80.153,80.686,81.414,82.138,83.201,84.61,85.219,85.806,86.779,88.194,88.523,90.123,89.956,90.34,89.872,90.3,89.839,90.004,90.83,91.284,91.671,91.613,92.055,92.948,94.656,95.815,96.304,96.993,97.875,98.705,99.77,100.219,101.038,101.542,102.803,102.979,102.909,103.686,103.583,104.356,105.034,105.333,104.355,104.837,104.11,101.387,99.651,99.469,99.858,101.022,101.508,102.627,103.395,104.112,103.57,104.406,104.596,105.911,106.518,106.929,107.62,107.545,108.306,108.763,110.091,111.108,110.299,111.667,113.155,113.763,113.724
"22","13","  Command-basis net national product \4\","C027RA3",36.126,36.162,36.352,36.125,35.995,36.024,36.274,35.772,36.879,37.077,37.299,37.377,38.092,38.995,39.358,40.093,41.128,41.457,41.247,41.673,40.969,40.786,40.182,39.909,39.301,39.599,40.398,41.068,42.055,42.378,42.538,42.932,43.408,44.167,44.834,44.933,45.022,46.818,47.26,48.072,48.021,48.015,48.239,48.056,47.815,46.442,46.244,47.1,48.147,47.676,48.391,47.771,46.792,47.156,46.821,46.816,47.571,48.837,49.913,51.143,52.198,53.143,53.695,54.069,54.534,55.012,55.744,56.061,56.474,56.759,57.241,57.311,57.645,58.254,58.7,59.769,60.107,60.88,61.293,62.065,62.691,63.071,63.637,63.737,64.312,64.688,64.399,63.627,63.333,63.88,64.198,64.539,65.284,66.023,66.565,67.313,67.493,67.792,68.293,69.084,69.872,70.788,71.07,71.891,72.15,72.274,72.801,73.47,74.01,75.318,75.839,76.666,77.276,78.601,79.616,80.11,81.129,81.891,82.902,84.358,85.2,85.636,86.453,87.8,87.94,89.651,89.424,90.036,89.472,90.255,89.735,90.739,91.221,91.232,91.765,91.853,91.869,93.132,94.813,96.193,96.733,97.195,97.991,98.341,99.849,100.118,100.751,100.77,102.141,102.261,102.085,103.165,103.16,103.949,104.901,105.06,103.577,103.514,102.639,100.588,99.959,99.468,99.896,100.676,101.301,102.648,103.52,104.279,103.479,104.049,104.579,105.879,106.133,106.702,107.452,107.385,108.07,108.66,110.066,111.147,110.098,111.518,113.1,113.519,NA
"23","14","  Net national product","A027RA3",35.281,35.34,35.519,35.288,35.171,35.199,35.501,35.019,36.091,36.298,36.549,36.643,37.356,38.28,38.642,39.298,40.369,40.838,40.584,40.949,40.582,40.615,40.065,39.765,39.1,39.402,40.135,40.784,41.783,42.111,42.305,42.619,43.188,44.079,44.894,44.764,44.937,46.772,47.25,47.957,47.983,48.023,48.451,48.498,48.603,47.324,47.118,47.926,49.04,48.511,49.111,48.43,47.36,47.655,47.27,47.23,47.885,49.131,50.188,51.33,52.374,53.341,53.828,54.136,54.51,54.981,55.772,56.18,56.621,56.705,57.285,57.417,57.79,58.481,58.977,60.029,60.386,61.175,61.437,62.307,62.921,63.373,63.847,63.976,64.662,64.873,64.733,64.282,63.705,64.068,64.307,64.659,65.475,66.235,66.873,67.582,67.728,68.029,68.387,69.177,69.949,70.906,71.263,72.076,72.342,72.539,72.981,73.584,74.089,75.366,75.997,76.839,77.27,78.542,79.444,79.898,80.712,81.394,82.306,83.724,84.417,85.051,85.981,87.48,87.766,89.376,89.164,89.79,89.188,89.698,89.016,89.801,90.233,90.497,91.016,91.119,91.418,92.432,94.116,95.509,96.155,96.596,97.56,98.138,99.491,99.827,100.72,100.954,102.214,102.339,102.151,103.007,102.908,103.854,105.005,105.683,104.58,105.075,104.484,101.136,99.476,99.262,100.091,101.17,101.769,102.888,103.597,104.418,103.968,104.797,105.168,106.589,106.915,107.254,107.813,107.815,108.43,108.924,110.347,111.437,110.393,111.754,113.341,113.666,NA
"24",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Real gross domestic product","A191RL1",6.4,1.3,2.5,-1.7,-0.7,0.7,3.6,-4,11.1,2.3,3.2,1.2,7.4,9.6,3.7,6.8,10.2,4.6,-2.2,3.8,-3.3,1.1,-3.8,-1.6,-4.7,3.1,6.8,5.5,9.3,3.1,2.1,3,4.7,8.1,7.3,0,1.4,16.5,4,5.5,0.8,0.5,2.9,1,1.3,-7.9,-0.6,7.6,8.5,-2.9,4.7,-4.6,-6.5,2.2,-1.4,0.4,5.3,9.4,8.1,8.5,8.2,7.2,4,3.2,4,3.7,6.4,3,3.8,1.9,4.1,2.1,2.8,4.6,3.7,6.8,2.3,5.4,2.3,5.4,4.1,3.2,3,0.9,4.5,1.6,0.1,-3.4,-1.9,3.1,1.9,1.8,4.8,4.5,3.9,4.1,0.8,2.4,2,5.4,4,5.6,2.4,4.6,1.4,1.4,3.5,2.9,2.7,7.2,3.7,4.3,3.1,6.2,5.2,3.1,4,3.9,5.3,6.7,3.2,3.3,5.1,7.1,1.2,7.8,0.5,2.3,-1.1,2.1,-1.3,1.1,3.7,2.2,2,0.3,2.1,3.8,6.9,4.8,2.3,3,3.7,3.5,4.3,2.1,3.4,2.3,4.9,1.2,0.4,3.2,0.2,3.1,2.7,1.4,-2.7,2,-1.9,-8.2,-5.4,-0.5,1.3,3.9,1.7,3.9,2.7,2.5,-1.5,2.9,0.8,4.6,2.3,1.6,2.5,0.1,2.7,1.8,4.5,3.5,-2.1,4.6,5,2.2,0.2
"26","16","    Command-basis gross domestic product","C191RL1",6.7,1,2.6,-1.6,-0.8,0.7,3,-4.1,11.3,2.2,2.8,1,7.3,9.2,3.7,7.4,9.7,3.3,-1.8,4.2,-5.9,-0.8,-4.2,-1.3,-4.3,3.1,7.3,5.6,9.1,3,1.7,3.7,3.9,6.9,6,1.9,0.7,16.1,3.7,6.3,0.2,0.2,1.4,-0.6,-1.2,-8.6,-0.6,8.1,8.1,-2.5,5.6,-4.3,-6,2.7,-1.1,0.6,6.1,9.6,8.2,9.2,8.3,7.1,4.4,3.7,4.7,3.7,6,2.4,3.6,3.1,3.4,1.7,2.6,4.1,3.4,6.9,2.2,5.3,3.2,4.8,4.2,2.8,3.5,0.7,3.8,2.4,-0.7,-5.1,-0.4,4.2,2.4,1.7,4.4,4.4,3.5,4.3,0.9,2.4,2.7,5.5,4.1,5.4,2,4.7,1.3,1,3.9,3.2,2.8,7.3,3.2,4.2,3.9,6.4,5.7,3.3,4.9,4.3,5.7,6.8,3.8,2.5,4.6,6.4,0.6,8.2,0.4,2.2,-1,3.2,-0.6,1.9,3.9,1.2,2,0.2,1,4.7,6.8,4.7,1.9,3,3.1,2.7,4.9,1.9,2.5,1.6,5.3,1.2,0.4,4,0.5,2.5,2,-0.3,-3.9,0.1,-2.9,-4.2,-2.1,-1.5,-0.1,2.9,1.4,4.7,3.3,2.3,-2.7,2.1,1.4,4.2,2,2.4,3.1,-0.2,3,2.1,4.5,3.5,-2.1,4.8,5,2.5,1.7
"27","17","    Real gross national product","A001RL1",6.3,1.2,2.4,-1.7,-0.6,0.8,3.5,-4.2,11.6,2.4,2.9,1.3,7.5,9.5,3.9,6.7,10.6,4.8,-1.6,3.8,-2.6,0.8,-4.2,-2.1,-5.2,3.1,7,6.1,9.1,3.2,2.1,3.1,5.3,7.9,7.2,-0.4,2,15.5,4.3,6,0.9,1,3.8,1,1.4,-8.2,-0.9,6.6,8.7,-3.1,4.9,-4,-6.7,2.7,-2.2,0.2,5.2,9.6,8.1,8.6,7.8,7.2,3.9,2.8,3.3,3.8,5.8,3.3,3.4,1.2,4.3,1.5,3,4.9,3.6,6.9,2.7,5.2,2.1,5.6,4,3.1,3.2,1.3,4.3,1.7,-0.2,-1.9,-2.6,2.4,1.7,2.3,4.7,4.4,3.7,4.1,1.2,2,2.3,4.5,4.4,5.3,2.3,4.5,1.9,1.5,2.7,3.5,3,6.7,3.6,4.6,2.7,6.5,4.8,2.8,4.4,3.8,4.7,6.8,3.6,3.6,5,7.5,1,7.9,0.3,3.3,-1.7,2.5,-2.1,3.5,2.2,1.5,2.5,0.9,1.6,4.3,6.8,5.7,2.9,2.1,4,2.6,5.4,1.7,3.7,1.4,4.9,1,0,3.5,0.3,3.7,4.3,2.7,-3.1,2,-1.5,-10.1,-5.2,-0.6,2.8,3.6,2.1,3.9,2.5,2.9,-1.2,2.9,1.4,4.9,1.3,1.4,2.1,0.3,2.3,1.9,4.8,3.7,-2.8,4.6,5.3,1.4,NA
"28","18","    Command-basis gross national product","CB22RL1",6.7,1,2.5,-1.6,-0.7,0.8,2.9,-4.3,11.7,2.3,2.5,1.1,7.3,9.1,3.9,7.4,10.1,3.5,-1.2,4.3,-5.3,-1,-4.6,-1.9,-4.8,3.1,7.6,6.2,9,3.1,1.8,3.8,4.4,6.8,5.9,1.4,1.3,15.2,4,6.8,0.3,0.7,2.3,-0.7,-1.1,-8.9,-0.9,7,8.4,-2.8,5.8,-3.7,-6.2,3.3,-1.8,0.5,6,9.8,8.3,9.3,7.9,7,4.4,3.2,3.9,3.9,5.4,2.7,3.3,2.5,3.7,1.1,2.7,4.4,3.3,7,2.6,5.1,3,5,4.1,2.7,3.7,1.1,3.7,2.5,-1,-3.6,-1.1,3.4,2.1,2.2,4.4,4.3,3.3,4.3,1.4,2,3,4.5,4.5,5.1,1.9,4.6,1.8,1.2,3.1,3.8,3.2,6.8,3.1,4.5,3.5,6.8,5.3,3,5.3,4.1,5.1,6.9,4.2,2.7,4.5,6.9,0.5,8.2,0.2,3.2,-1.5,3.5,-1.5,4.4,2.4,0.5,2.5,0.8,0.5,5.2,6.8,5.6,2.5,2.1,3.4,1.8,5.9,1.5,2.8,0.7,5.3,1,0,4.2,0.6,3.1,3.6,1,-4.3,0.2,-2.4,-6.2,-1.9,-1.6,1.4,2.6,2.2,4.7,3.1,2.7,-2.4,2.1,2,4.5,1.1,2.1,2.7,0.1,2.5,2.2,4.8,3.7,-2.8,4.8,5.3,1.6,NA
