"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155"
"11","3","A716RG        Truck output","A716RG3",25.276,25.404,25.517,25.943,26.08,26.042,26.357,26.546,26.572,26.705,27.133,27.33,27.498,28.002,28.206,28.595,29.406,30.088,29.978,29.839,30.263,30.429,30.536,30.255,30.153,30.668,30.913,30.884,31.822,32.683,33.843,35.308,35.64,36.876,38.181,38.776,39.441,39.75,40.569,41.46,42.21,42.967,44,45.427,46.006,46.966,47.886,48.426,49.992,51.285,51.245,52.46,53.986,54.415,56.512,58.302,60.271,62.285,62.965,64.224,64.211,65.634,67.206,67.5,67.801,67.706,68.416,69.451,70.42,71.277,71.843,71.667,72.425,72.928,73.211,74.169,74.039,75.127,74.817,75.696,74.76,75.094,75.932,75.585,74.602,75.342,76.539,77.921,77.477,78.656,78.953,80.332,79.504,80.907,81.035,82.569,82.161,83.52,84.372,85.731,85.478,86.371,86.103,86.808,88.595,89.745,90.939,92.017,93.308,94.345,95.331,95.316,96.155,96.992,97.476,98.101,98.778,99.04,99.069,99.396,99.625,100.07,100.494,99.901,98.791,98.172,98.716,99.36,99.886,100.31,100.079,100.111,99.658,100.184,100.109,100.049,99.084,98.675,99.109,98.471,97.267,96.889,96.246,97.017,97.346,96.565,96.707,96.951,97.095,96.905,95.68,96.76
"12","4","AB60RG Final sales of domestic product","AB60RG3",32.114,32.338,32.941,33.486,33.341,33.561,33.906,34.154,34.115,34.287,34.626,34.593,34.659,34.961,35.201,36.354,37.276,37.619,36.962,36.165,36.785,37.057,37.234,36.371,36.408,36.584,36.889,36.823,37.458,38.239,39.861,41.292,41.38,42.414,42.94,43.792,44.837,45.371,46.175,47.41,47.735,48.273,48.776,50.287,51.085,51.572,52.416,53.154,54.262,55.925,56.556,57.252,58.908,60.27,61.201,61.888,62.653,64.923,66.431,66.557,66.802,67.745,68.952,68.779,69.628,70.13,70.963,71.425,72.164,72.579,73.26,73.214,74.002,74.56,75.15,75.28,74.815,75.711,76.71,77.578,77.424,78.304,79.533,79.474,77.777,78.015,79.751,80.243,80.542,81.708,81.975,82.668,82.465,82.908,82.92,83.507,84.561,85.417,86.162,86.709,86.673,87.642,87.955,88.384,89.595,90.542,91.702,92.49,93.701,94.842,96.161,96.479,97.132,97.652,97.689,98.22,99.222,99.713,100.288,100.771,101.197,100.943,101.077,100.81,99.854,99.171,99.708,99.895,100.074,100.051,100.079,100.264,99.854,100.307,100.017,99.822,99.183,99.062,99.242,99.005,98.412,97.932,97.288,97.611,96.959,95.893,95.751,95.797,95.914,96.094,94.724,95.586
"13","5","AB61RG   Personal consumption expenditures","AB61RG3",28.65,28.903,29.537,30.012,29.957,30.132,30.381,30.627,30.616,30.771,30.839,31.076,31.049,31.239,31.615,32.712,33.61,33.809,33.13,32.493,33.097,33.435,33.65,33.082,33.314,33.72,33.855,33.788,33.728,34.608,36.512,37.947,38.245,38.99,39.577,40.379,41.111,41.831,42.636,43.825,44.136,44.427,44.647,45.794,46.813,47.448,48.487,49.466,50.371,51.521,51.807,52.145,53.348,54.225,55.228,56.466,57.084,58.956,60.378,61.385,61.758,62.424,63.097,63.248,64.304,64.991,65.87,66.813,67.272,68.101,68.794,68.971,69.66,69.988,70.256,70.684,70.979,71.788,72.991,73.893,74.321,75.831,76.979,77.383,76.072,76.592,77.933,78.708,79.083,79.805,79.672,80.271,79.879,79.815,79.737,80.414,81.354,82.308,82.847,83.37,83.082,83.869,84.589,85.257,86.089,87.556,89.068,90.465,91.01,92.165,93.851,95.533,96.709,97.45,97.335,98.002,99.211,99.286,99.761,100.417,100.796,100.187,99.822,99.947,99.282,98.734,99.185,99.299,99.098,99.135,99.97,100.139,99.728,100.289,99.866,100.117,100.487,100.301,99.859,100.095,99.324,98.659,98.618,98.179,97.414,96.948,96.009,94.43,94.578,94.76,94.201,95.103
"14","6","AB67RG     New motor vehicles","AB67RG3",33.939,34.123,34.632,35.127,35.118,35.279,35.509,35.812,35.66,35.861,36.077,36.337,36.338,36.484,36.915,38.298,39.167,39.184,38.326,37.528,38.231,38.396,38.63,37.818,37.95,38.292,38.505,38.372,38.503,39.453,41.179,42.526,42.831,43.934,44.276,45.161,45.998,46.372,46.87,47.926,48.262,48.649,49.253,50.867,51.998,52.364,53.178,54.367,55.569,56.83,57.577,58.31,59.851,61.074,62.323,62.917,63.032,64.942,65.996,66.789,66.98,67.577,68.23,68.17,68.739,69.139,69.637,70.313,70.77,71.246,71.756,72.141,73.059,73.624,74.139,74.678,75.348,76.597,77.805,78.547,78.578,79.01,79.714,80.104,79.334,80.042,81.192,81.918,81.525,82.292,82.406,83.554,83.572,83.947,83.999,85.343,86.25,87.411,87.806,88.533,88.874,89.597,90.091,90.476,91.09,91.894,92.845,93.64,94.419,95.302,96.373,96.889,97.285,98,98.344,98.88,99.334,99.742,100.302,100.786,100.975,100.798,100.627,100.408,100.28,100.005,100.348,100.128,100.126,100.049,100.114,100.205,99.774,100.345,100.134,99.747,99.713,99.538,99.094,99.453,98.323,97.642,97.573,97.822,96.935,96.507,96.316,95.956,96.061,96.027,95.149,95.779
"15","7","A136RG       Autos","A136RG3",35.697,35.895,36.431,36.952,36.931,37.107,37.354,37.67,37.505,37.721,37.952,38.22,38.219,38.373,38.83,40.282,41.202,41.224,40.323,39.482,40.219,40.394,40.643,39.763,39.925,40.282,40.511,40.344,40.502,41.489,43.321,44.698,45.046,46.213,46.562,47.465,48.384,48.778,49.3,50.367,50.74,51.178,51.839,53.441,54.748,55.074,55.884,57.182,58.443,59.768,60.555,61.315,62.927,64.224,65.528,66.13,66.221,68.237,69.342,70.178,70.386,71.02,71.712,71.636,72.197,72.641,73.179,73.816,74.25,74.703,75.199,75.539,76.431,76.993,77.492,77.976,78.702,79.963,81.178,82.255,82.325,82.866,83.775,84.123,83.711,84.253,85.304,85.79,85.964,86.369,86.152,87.012,87.555,87.138,87.227,88.158,89.81,90.5,90.843,91.318,91.832,92.444,93.007,93.441,93.828,94.483,95.224,95.997,96.69,97.476,98.475,99.006,99.45,99.973,99.988,100.385,100.905,101.228,101.835,102.019,101.938,101.81,101.512,101.12,101.009,100.697,100.96,100.603,100.355,99.906,99.836,99.862,99.746,100.179,100.181,99.894,99.702,99.633,99.269,99.494,98.934,98.305,98.098,98.188,97.101,96.635,96.372,96,96.003,96.191,95.597,95.944
"16","8","GAP52          Domestic","GAP523",35.69,35.886,36.421,36.939,36.916,37.089,37.332,37.648,37.475,37.7,37.947,38.237,38.287,38.46,38.927,40.367,41.252,41.254,40.321,39.484,40.225,40.396,40.641,39.76,39.909,40.273,40.518,40.376,40.591,41.594,43.42,44.784,45.027,46.153,46.479,47.374,48.342,48.754,49.289,50.374,50.744,51.184,51.843,53.435,54.731,55.051,55.857,57.167,58.439,59.79,60.589,61.354,62.957,64.259,65.584,66.198,66.335,68.368,69.468,70.281,70.402,71.009,71.679,71.582,72.149,72.587,73.13,73.781,74.234,74.698,75.2,75.551,76.444,76.993,77.497,77.953,78.635,79.893,81.109,82.181,82.278,82.834,83.765,84.126,83.725,84.276,85.326,85.818,85.988,86.394,86.174,87.045,87.579,87.153,87.237,88.155,89.809,90.497,90.836,91.315,91.835,92.446,93.006,93.433,93.797,94.447,95.187,95.964,96.684,97.48,98.489,99.017,99.445,99.965,99.979,100.378,100.906,101.23,101.842,102.031,101.948,101.821,101.523,101.13,101.016,100.703,100.963,100.61,100.365,99.916,99.844,99.868,99.751,100.18,100.181,99.89,99.699,99.629,99.266,99.475,98.937,98.307,98.097,98.186,97.103,96.637,96.375,95.998,96.003,96.189,95.597,95.956
"17","9","GAP55          Foreign","GAP553",35.691,35.887,36.424,36.939,36.915,37.088,37.342,37.649,37.478,37.698,37.946,38.239,38.288,38.46,38.907,40.404,41.253,41.254,40.424,39.484,40.225,40.392,40.647,39.761,39.907,40.274,40.517,40.368,40.585,41.595,43.463,44.773,45.05,46.157,46.468,47.356,48.341,48.752,49.311,50.37,50.744,51.177,51.841,53.451,54.725,55.049,55.869,57.157,58.483,59.791,60.585,61.356,62.952,64.263,65.568,66.2,66.345,68.37,69.477,70.294,70.455,71.036,71.678,71.585,72.137,72.589,73.13,73.771,74.23,74.699,75.212,75.546,76.439,77.004,77.463,77.948,78.652,79.88,81.077,82.176,82.283,82.844,83.765,84.13,83.724,84.273,85.341,85.824,85.995,86.396,86.176,87.011,87.565,87.152,87.237,88.178,89.806,90.493,90.837,91.307,91.839,92.453,93.007,93.433,93.796,94.443,95.183,95.968,96.689,97.483,98.478,99.017,99.445,99.964,99.978,100.375,100.907,101.24,101.849,102.029,101.948,101.819,101.52,101.129,101.017,100.704,100.975,100.61,100.364,99.914,99.845,99.872,99.748,100.18,100.179,99.895,99.7,99.633,99.27,99.523,98.93,98.302,98.103,98.193,97.1,96.633,96.366,96.002,96.004,96.195,95.598,95.927
"18","10","B704RG       Light trucks (including utility vehicles)","B704RG3",31.326,31.393,31.834,32.272,32.45,32.492,32.645,32.955,32.889,33.019,33.174,33.505,33.525,33.678,34.057,35.392,36.168,36.141,35.329,34.578,35.195,35.308,35.482,34.932,34.889,35.219,35.394,35.437,35.482,36.427,37.922,39.33,39.374,40.319,40.67,41.616,42.297,42.672,43.156,44.297,44.496,44.737,45.199,47.001,47.705,48.233,49.134,50.101,51.245,52.431,53.135,53.862,55.334,56.412,57.597,58.237,58.433,60.124,61.096,61.819,62.016,62.543,63.118,63.095,63.709,63.97,64.378,65.252,65.88,66.495,67.103,67.661,68.691,69.288,69.859,70.539,71.082,72.363,73.624,73.575,73.564,73.8,74.099,74.605,73.044,74.137,75.526,76.758,75.278,76.738,77.482,79.167,78.331,80.138,80.113,82.232,81.766,83.709,84.17,85.297,85.38,86.285,86.684,87.001,87.926,88.942,90.19,91.031,91.948,92.972,94.15,94.654,94.987,95.934,96.677,97.383,97.754,98.258,98.766,99.579,100.067,99.842,99.798,99.747,99.6,99.36,99.777,99.686,99.908,100.175,100.37,100.525,99.796,100.505,100.094,99.617,99.722,99.459,98.952,99.411,97.872,97.155,97.182,97.537,96.784,96.383,96.233,95.881,96.044,95.88,94.847,95.633
"19","11","W240RG     Net purchases of used autos and used light trucks","W240RG3",14.638,15.021,15.873,16.26,16.108,16.32,16.605,16.702,17.038,17.071,16.774,16.947,16.863,17.141,17.364,17.749,18.624,19.299,19.089,18.885,19.229,20.086,20.247,20.383,20.936,21.591,21.491,21.634,21.052,21.761,24.183,25.825,26.102,25.919,27.125,27.7,28.116,29.868,31.607,33.3,33.646,33.674,32.602,32.301,32.968,34.568,36.49,36.798,36.727,37.573,36.435,35.591,35.89,35.865,36.234,39.186,41.194,42.965,45.407,47.027,47.982,48.904,49.665,50.458,53.143,54.887,57.264,59.274,59.752,61.918,63.252,62.739,62.693,62.23,61.625,61.676,60.709,60.035,61.29,62.822,64.619,69.874,72.578,72.997,69.908,69.799,71.777,72.715,75.606,76.2,75.235,74.219,72.642,71.329,70.919,69.96,71.059,71.619,72.486,72.602,70.975,71.891,73.075,74.34,75.641,78.485,81.224,84.01,84.037,85.768,88.765,92.915,95.646,96.403,95.365,96.26,98.972,98.403,98.715,99.665,100.359,99.03,98.337,99.104,97.482,96.434,97.094,97.75,97.226,97.475,99.646,99.978,99.614,100.178,99.356,100.852,102.043,101.861,101.423,101.37,101.408,100.762,100.786,98.815,98.403,97.881,94.994,90.384,90.634,91.362,91.585,93.071
"20","12","A137RG       Used autos","A137RG3",13.712,14.089,14.919,15.291,15.134,15.341,15.615,15.704,16.033,16.063,15.771,15.934,15.851,16.121,16.331,16.682,17.524,18.189,18.001,17.817,18.142,18.986,19.141,19.289,19.841,20.484,20.38,20.523,19.939,20.619,22.994,24.591,24.866,24.653,25.842,26.387,26.778,28.516,30.248,31.92,32.277,32.299,31.185,30.795,31.409,32.977,34.817,35.065,35.003,35.724,34.595,33.875,34.137,34.067,34.331,37.111,39.013,40.726,42.983,44.455,45.364,46.151,46.817,47.576,50.271,52.026,54.279,56.089,56.439,58.491,59.797,59.252,59.115,58.727,58.298,58.348,57.306,56.884,58.62,60.512,62.558,68.22,71.118,71.489,67.687,67.394,69.729,70.767,74.012,74.843,74.13,72.894,70.767,69.24,68.773,67.736,69.089,69.593,70.586,70.787,69.341,71.004,72.82,74.559,75.352,77.926,80.86,83.16,83.472,85.35,88.879,92.711,95.568,96.375,95.053,95.578,98.225,98.149,98.875,100.116,102.087,98.997,97.778,98.89,97.558,96.317,97.285,97.751,97.225,97.501,99.792,100.4,99.916,100.43,99.055,100.599,101.631,101.628,101.488,101.73,102.522,101.919,101.702,99.489,98.352,97.34,94.044,89.235,89.825,91.174,91.706,93.414
"21","13","GAP58          Margin","GAP583",8.473,8.758,9.386,9.715,9.426,9.783,10.069,10.361,10.561,10.547,10.584,10.661,10.722,10.85,10.989,11.191,11.94,12.602,12.552,12.501,12.893,13.786,13.925,13.812,14.073,14.707,14.857,15.436,15.271,15.708,17.452,18.392,18.357,18.172,19.082,19.496,20.01,21.166,22.841,24.464,24.125,24.169,23.703,23.867,24.652,26.213,27.641,27.465,27.499,27.16,25.943,26.362,26.498,26.148,25.778,27.437,28.749,30.178,31.138,31.663,32.268,32.344,32.427,33.038,36.072,37.857,39.299,39.976,39.413,40.602,41.726,40.812,40.113,40.537,41.423,41.699,40.32,41.489,45.299,48.703,52.139,59.089,63.051,63.65,56.381,55.482,59.563,61.133,65.404,67.18,67.41,65.676,61.634,59.551,58.927,57.73,60.03,60.279,61.773,61.93,59.307,60.353,62.116,63.488,64.697,67.307,70.5,73.458,75.711,78.558,82.453,86.216,86.98,87.057,85.679,86.441,90.273,91.572,94.175,97.379,101.517,97.064,98.625,102.454,98.533,95.65,96.934,97.274,99.297,99.483,101.22,102.097,101.562,101.192,98.075,99.187,99.086,99.898,101.263,103.028,107.016,107.828,107.288,105.69,102.449,100.486,98.637,96.836,98.887,101.449,100.509,101.831
"22","14","GAP61          Net transactions","GAP613",22.291,22.69,23.526,23.822,24.255,23.853,23.97,23.506,24.04,24.195,23.276,23.622,23.289,23.835,24.178,24.774,25.395,25.686,25.322,24.913,24.879,25.006,25.135,25.953,27.016,27.38,26.781,25.916,24.827,25.852,28.743,31.142,31.916,31.78,33.123,33.805,33.965,36.363,37.71,38.923,40.581,40.576,38.588,37.335,37.49,38.578,40.604,41.608,41.532,43.793,43.159,41.207,41.686,42.11,43.283,47.077,49.585,51.345,55.028,57.62,58.728,60.608,62.074,62.895,64.071,65.109,68.003,71.244,73.036,75.861,77.264,77.269,77.878,76.712,74.97,74.901,74.53,72.446,71.319,71.189,71.378,74.789,76.378,76.818,76.954,77.618,78.267,78.847,80.57,80.334,78.784,78.25,78.338,77.551,77.213,76.454,76.798,77.543,78.191,78.231,77.829,79.797,81.948,83.965,84.428,86.806,89.226,90.842,89.618,90.656,93.588,97.244,101.733,103.04,101.913,102.239,103.859,102.603,101.871,101.437,101.839,99.878,96.709,95.833,96.46,96.509,97.406,97.909,95.867,96.281,98.78,99.317,98.775,99.853,99.793,101.496,103.271,102.565,101.254,100.53,99.218,97.874,97.961,95.393,95.605,95.296,91.25,84.663,84.085,84.248,86.045,87.92
