"","Table 7#2#5U# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41"
"45","38","GAP86  D       Employee reimbursement","GAP860",291,303,314,321,327,328,329,370,391,413,448,540,631,721,812,899,899,899,899,899,899,1066,1233,1401,1568,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735
"46","39","B708RC B     Trucks","B708RC0",884,769,743,780,797,850,1300,1607,1731,2037,2266,2551,3039,3256,3513,3356,3949,5889,6284,6042,5272,5372,7120,7123,6754,6998,6520,5932,6089,6213,7143,7782,8415,8975,8770,8437,8929,11561
"47","40","W495RC D       New trucks","W495RC0",884,769,743,780,797,850,1300,1607,1731,2037,2266,2551,3039,3256,3513,3356,4171,6129,6522,6291,5560,5720,7516,7552,7213,7536,7132,6626,6826,7004,7926,8619,9314,9926,9736,9453,9899,12614
"48","41","W496RC D       Net transactions in used light trucks","W496RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-222,-240,-238,-249,-288,-348,-396,-429,-459,-538,-612,-694,-737,-791,-783,-837,-899,-951,-965,-1016,-970,-1054
"49","42","AB63RC B   Net exports","AB63RC0",-767,-1861,-2493,-3013,-4120,-4819,-5095,-5032,-3352,-5673,-7617,-10684,-10077,-13373,-14675,-19431,-22996,-30834,-35829,-45030,-46795,-43078,-38963,-41945,-38561,-38209,-43470,-50060,-52593,-54099,-60730,-68070,-91028,-101714,-100500,-104475,-101905,-106602
"50","43","AB69RC B     Exports","AB69RC0",1236,1414,1575,1416,1806,2034,2713,3728,5085,5336,5669,6724,8634,7744,8088,6143,6952,8084,9700,10615,11871,14323,15813,14240,16922,19393,19923,22696,23895,25192,26940,25884,25289,26125,25385,28916,32347,36595
"51","44","B142RC B       Autos","B142RC0",824,982,1024,837,1184,1323,1825,2334,2886,3267,3628,3963,5257,4657,4707,3541,4781,5465,6538,6866,7312,8990,9408,9313,11236,11541,11089,12033,12095,12623,12431,12060,11826,12235,13174,14897,15778,16472
"52","45","B706RC B       Trucks","B706RC0",412,432,551,579,622,711,888,1394,2199,2069,2041,2761,3377,3087,3381,2602,2171,2619,3162,3749,4559,5333,6405,4927,5686,7852,8834,10663,11800,12569,14509,13824,13463,13890,12211,14019,16569,20123
"53","46","AB70RC B     Imports","AB70RC0",2003,3275,4068,4429,5926,6853,7808,8760,8437,11009,13286,17408,18711,21117,22763,25574,29948,38918,45529,55645,58666,57401,54776,56185,55483,57602,63393,72756,76488,79291,87670,93954,116317,127839,125885,133391,134252,143197
"54","47","B143RC B       Autos","B143RC0",1702,2796,3356,3710,5091,5724,6526,7307,7135,8947,10651,13652,14879,16977,17823,20291,23939,30640,34874,42436,43479,41235,39423,37981,36064,35845,41006,43861,48421,45348,50828,53091,63605,69414,67918,72656,70574,71695
"55","48","B707RC B       Trucks","B707RC0",301,479,712,719,835,1129,1282,1453,1302,2062,2635,3756,3832,4140,4940,5283,6009,8278,10655,13209,15187,16166,15353,18204,19419,21757,22387,28895,28067,33943,36842,40863,52712,58425,57967,60735,63678,71502
"56","49","AB65RC B Change in private inventories","AB65RC0",-842,1757,446,-981,1814,-271,1334,2957,-1806,1969,3339,2116,359,-2040,1795,-2893,2633,5692,4940,2240,9047,1731,4029,-3171,-1565,589,2016,5348,4698,-514,4757,-18,11648,10536,-13583,14810,6861,3066
"57","50","A145RC B   Autos","A145RC0",-754,1452,317,-889,1589,-432,1224,2128,-1166,1725,2166,1879,142,-36,2084,-2600,2266,2911,4482,2273,7128,1167,2653,-2208,303,-303,1815,1124,1570,-1557,2159,2756,2435,4094,-4016,8350,102,-2108
"58","51","B146RC B     New","B146RC0",-540,1260,270,-770,1408,-131,1097,2413,-1414,1595,1853,1950,41,758,1978,-2737,1822,2363,3731,1080,6401,-258,1658,-2058,-244,79,918,519,515,-3666,962,2031,1170,1199,-6541,7851,92,-2900
"59","52","AB71RC B       Domestic","AB71RC0",-371,1072,163,-863,834,-233,1451,1218,-883,722,2121,226,1083,191,2200,-2779,2922,1701,2896,-565,4056,-567,2214,-2667,-683,535,804,1973,1204,-2030,787,1052,-70,683,-7171,6667,219,-1925
"60","53","AB72RC B       Foreign","AB72RC0",-169,188,107,93,574,102,-354,1195,-531,873,-268,1724,-1042,567,-221,42,-1100,662,836,1645,2345,309,-556,608,439,-456,114,-1454,-689,-1636,175,979,1241,516,630,1184,-127,-975
"61","54","B147RC B     Used","B147RC0",-214,192,47,-119,181,-301,127,-285,248,130,313,-71,101,-794,106,137,444,548,751,1193,727,1425,995,-150,547,-382,897,605,1055,2109,1197,725,1265,2895,2525,499,10,792
"62","55","B709RC B   Trucks","B709RC0",-88,305,129,-92,225,161,110,829,-640,244,1173,237,217,-2004,-289,-293,367,2781,458,-33,1919,564,1376,-963,-1868,892,201,4224,3128,1043,2598,-2774,9213,6442,-9567,6460,6759,5174
"63","56","W244RC B     New","W244RC0",NA,NA,NA,NA,NA,NA,110,829,-640,244,1173,237,217,-2004,-289,-293,230,2716,236,398,1631,362,1311,-1194,-1734,678,-491,3245,2971,-646,3269,-2413,8381,4511,-11260,6088,6723,4067
"64","57","AB73RC B       Domestic","AB73RC0",NA,NA,NA,NA,NA,NA,51,873,-604,169,1204,106,271,-2069,-240,-232,434,2530,221,-220,1778,433,1383,-838,-1459,661,25,2964,3245,-770,2742,-2315,7943,3624,-10728,4366,6744,4197
"65","58","AB74RC B       Foreign","AB74RC0",NA,NA,NA,NA,NA,NA,59,-44,-36,75,-31,131,-54,65,-49,-61,-204,186,15,618,-147,-71,-72,-356,-275,17,-515,281,-274,124,527,-98,438,887,-532,1722,-21,-131
"66","59","W245RC B     Used \1\","W245RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,65,222,-431,288,202,65,231,-134,214,692,979,157,1689,-671,-361,832,1930,1693,372,36,1107
"67",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","61","AB75RC B   Final sales of motor vehicles to domestic purchasers","AB75RC0",36339,43920,46755,41208,52116,60110,67414,60851,62606,82658,100675,115095,115891,102497,113314,118885,149139,185955,213180,230137,226634,242293,245337,240072,220785,243192,274062,317516,325730,348057,375701,406747,451337,456143,458651,468901,485270,513274
"69","62","AB76RC B   Private fixed investment in new autos and new light trucks","AB76RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57869,65194,61522,65167,70478,75389,86452,108710,112669,131269,144010,148958,164915,162456,149219,143254,140066,153870
"70","63","B148RC B   Domestic output of new autos \2\","B148RC0",24515,30957,30181,24042,33172,35329,40008,33289,34029,46616,54817,59012,59173,50869,57670,51488,71787,86785,94990,97032,93717,97390,97470,91504,87652,93287,99165,115630,110183,112030,110437,107543,109786,110502,100707,108378,98573,96386
"71","64","B149RC B   Sales of imported new autos \3\","B149RC0",2771,3929,5063,5797,7041,7967,9049,8913,10364,11424,14907,16362,19285,21800,24732,28419,33136,38379,44761,54130,53188,57650,53646,54443,48321,51280,54536,56921,56002,55327,60214,67547,78273,83864,82445,83535,78831,81094
"72","65","GAP89  D     Imports from Canada","GAP890",986,1545,2278,2298,2762,3084,3288,3353,3333,4083,4559,4516,3731,3870,4298,6013,7429,8418,9260,9999,7796,10324,10914,12196,12357,12668,15919,15461,17023,17025,18509,21932,22507,19207,14076,14818,14452,14580
"73","66","GAP108 D       Sales","GAP1080",996,1494,2271,2397,2708,3111,3174,3230,3428,4023,4385,4502,3674,3837,4104,6277,7161,8278,9011,10051,7393,10438,10695,12539,12448,12600,15806,15212,16874,17305,18389,21735,22506,19119,14988,14200,14415,14840
"74","67","GAP110 D       Inventory change","GAP1100",-10,51,7,-99,54,-27,114,123,-95,61,174,13,57,33,195,-264,269,140,249,-52,403,-114,219,-344,-91,69,113,249,150,-279,119,197,1,88,-912,619,37,-260
"75","68","GAP126 D     Imports from Mexico","GAP1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,380,1112,1466,1153,1942,2319,2707,2666,3778,4364,4778,4272,5336,6559,9379,9047,8527,6188,6255
"76","69","GAP129 D       Sales","GAP1290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,378,1111,1479,1141,1983,2336,2692,2664,3716,4338,4871,4238,5316,6560,9316,9637,8114,6173,6371
"77","70","GAP131 D       Inventory change","GAP1310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,-14,12,-41,-17,15,2,62,26,-93,34,20,-1,64,-590,413,15,-116
"78","71","GAP98  D   Exports of used autos","GAP980",13,10,13,15,14,19,35,30,32,40,60,69,78,77,77,53,43,43,49,89,193,399,706,913,1154,1597,1483,1197,1589,1719,1554,1259,941,763,755,787,1007,2035
"79","72","GAP101 D   Imports of used autos","GAP1010",6,14,14,11,6,6,9,8,12,20,25,28,29,42,55,84,182,364,541,229,97,113,144,203,65,45,76,97,105,82,119,354,663,1010,994,1093,568,333
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","B=Annual and quarterly data published in the Survey of Current Business monthly (NIPA table 7.2.5B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","3. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
