"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","  Nonfarm \2\","B358RG3",14.988,15.174,15.876,15.837,16.144,16.358,16.677,16.915,16.772,16.711,16.634,16.593,16.604,16.637,16.842,17.108,17.547,17.742,17.922,18.095,18.136,18.237,18.332,18.467,18.516,18.607,18.7,18.814,18.846,18.86,18.842,18.851,18.951,19.009,19.174,19.353,19.539,19.677,19.92,20.049,20.303,20.433,20.527,20.635,20.722,20.743,20.801,20.864,20.957,20.982,21.036,21.148,21.171,21.226,21.315,21.379,21.403,21.443,21.467,21.472,21.579,21.648,21.68,21.696,21.751,21.764,21.779,21.896,21.947,22.027,22.134,22.218,22.295,22.322,22.412,22.477,22.544,22.788,22.964,23.237,23.356,23.488,23.695,23.925,24.182,24.446,24.608,24.949,25.248,25.533,25.785,26.047,26.328,26.721,26.859,27.246,27.526,27.866,28.135,28.249,28.623,28.727,28.9,29.078,29.242,29.567,29.945,30.637,31.305,32.441,33.444,34.47,35.62,36.164,36.748,37.294,37.718,38.124,38.665,39.364,39.95,40.6,41.146,41.887,42.554,43.197,43.949,44.821,45.592,46.918,47.943,48.894,50.155,51.581,52.39,53.523,55.222,56.348,57.539,58.592,59.361,60.066,60.819,61.47,61.779,62.006,62.649,63.011,63.407,63.953,64.458,64.766,65.465,65.829,66.223,66.429,66.796,66.947,67.178,67.524,68.049,68.345,68.959,69.208,69.787,70.351,71.109,71.691,72.385,73.193,73.631,73.983,74.853,75.707,76.371,77.063,77.885,78.336,79.009,79.333,79.627,80.004,80.355,80.822,81.292,81.632,81.96,82.286,82.573,82.981,83.593,83.908,84.3,84.662,84.909,85.104,85.382,85.696,86.053,86.526,86.999,87.416,87.681,87.963,88.015,88.073,88.319,88.319,88.591,88.9,89.206,89.48,90.157,90.541,91.044,91.396,91.804,92.379,92.412,92.599,92.507,93.036,93.29,93.632,94.028,94.118,94.487,94.729,95.485,96.157,96.955,97.792,98.679,99.391,100.527,101.404,101.959,102.871,103.52,103.759,104.683,105.385,105.657,106.011,106.192,106.549,107.717,107.696,108.399,108.307,108.433,108.387
"12","4","  Farm","B359RG3",101.61,103.49,86.79,113.678,106.897,105.691,105.76,90.165,91.188,86.57,81.487,80.054,75.48,80.081,90.837,96.664,109.662,107.667,99.078,104.176,99.156,95.705,97.329,91.458,87.591,82.033,81.36,77.136,80.453,77.848,76.314,74.225,73.695,73.495,71.865,67.463,68.657,72.075,71.484,70.946,70.532,70.522,75.527,75.741,80.463,81.744,80.118,76.002,72.31,73.137,73.77,71.532,70.747,73.628,71.649,72.976,72.383,70.212,71.779,74.588,74.419,72.713,73.74,74.999,72.658,71.513,73.394,70.517,70.353,69.477,68.919,70.253,70.912,77.063,75.142,78.232,83.813,81.478,83.778,77.139,73.553,72.063,73.357,72.984,74.33,76.157,78.687,79.088,75.586,82.122,84.967,88.857,85.735,82.63,85.278,81.055,83.201,84.4,83.627,89.363,91.871,93.515,100.979,111.607,131.706,153.644,183.453,165.836,173.906,132.083,148.604,159.699,129.576,124.102,135.598,142.534,137.332,132.432,131.053,124.963,131.493,129.215,128.923,115.168,141.451,156.489,152.215,159.115,174.985,168.914,162.356,155.592,141.442,110.542,152.447,179.082,156.918,143.642,135.97,121.94,123.508,124.624,129.45,117.417,133.619,144.844,140.923,144.288,158.995,150.975,141.946,140.96,135.407,121.735,106.975,115.39,104.091,111.524,124.05,129.236,122.086,121.642,117.672,118.347,122.768,124.885,144.808,140.228,145.923,139.943,137.262,141.222,143.669,141.637,136.985,129.367,124.968,128.6,119.676,122.763,123.617,121.035,120.733,120.068,118.147,124.863,122.968,127.552,130.229,122.119,109.969,113.531,116.118,115.898,124.08,134.34,138.392,147.006,150.188,135.966,127.508,123.751,116.715,117.188,115.264,117.16,110.744,113.501,108.648,98.059,93.827,90.835,85.329,92.134,85.156,89.884,94.909,100.596,108.217,88.476,102.114,80.27,85.198,88.719,89.003,92.478,102.09,120.19,120.757,134.286,117.335,110.713,104.605,100.569,97.907,96.919,92.25,84.031,93.907,105.274,116.493,121.403,131.381,138.197,139.334,134.797,128.231,108.504,94.83,95.362,89.179,101.433
"13","5","Households and institutions","B193RG3",8.277,8.729,8.991,9.021,8.972,9.092,9.266,9.235,9.313,9.374,9.325,9.556,9.579,9.568,9.667,9.853,10.048,10.091,10.195,10.356,10.448,10.573,10.768,10.828,10.977,11.149,11.29,11.289,11.344,11.438,11.504,11.694,11.56,11.601,11.708,11.864,11.819,11.855,12.012,12.122,12.174,12.264,12.365,12.388,12.476,12.669,12.645,12.657,12.784,12.872,12.974,13.107,13.156,13.248,13.301,13.392,13.429,13.52,13.573,13.633,13.715,13.799,13.882,13.942,14.023,14.101,14.148,14.255,14.352,14.395,14.439,14.516,14.562,14.681,14.766,14.893,14.958,15.094,15.256,15.424,15.582,15.676,15.753,15.816,15.923,16.035,16.19,16.425,16.597,16.833,17.164,17.537,17.76,18.043,18.285,18.522,18.863,19.105,19.321,19.605,19.712,19.96,20.169,20.452,20.767,21.051,21.299,21.58,21.803,22.153,22.522,22.936,23.303,23.625,24.045,24.498,24.951,25.302,25.71,26.204,26.699,27.228,27.795,28.405,27.934,29.19,30.222,30.825,30.993,31.301,31.937,32.788,33.433,34.211,35.038,36.058,36.859,37.679,38.566,39.413,40.049,40.544,41.337,42.075,42.57,43.194,43.778,44.321,44.865,45.681,46.461,46.975,47.635,48.434,49.179,49.756,50.352,50.963,51.517,52.064,52.747,53.446,53.741,55.662,55.402,56.364,56.836,57.458,57.892,58.478,59.253,59.986,60.563,61.426,62.518,62.71,63.258,63.924,64.315,64.989,65.542,66.338,66.567,67.049,67.356,67.725,68.083,68.625,69.459,69.924,70.371,70.957,71.666,72.192,72.698,73.375,74.074,74.478,74.981,75.507,75.864,76.29,76.757,77.182,77.516,78.394,79.329,80.362,80.802,81.649,81.796,82.548,83.166,83.758,84.426,84.979,86.373,86.998,87.934,89.208,90.324,91.099,92.002,92.907,93.925,94.537,95.291,96.328,96.541,97.221,98.364,98.64,99.035,99.599,100.279,101.087,102.388,103.697,104.755,105.534,106.213,106.441,107.249,108.839,110.619,111.954,113.298,114.5,114.035,114.099,114.512,114.685
"14","6","  Households","B701RG3",10.654,10.962,11.41,11.539,11.528,11.648,11.815,11.823,11.836,11.903,11.929,12.226,12.261,12.215,12.363,12.402,12.728,12.782,13.022,13.027,13.004,13.467,13.846,13.8,13.845,14.168,14.43,14.482,14.484,14.587,14.658,14.832,14.784,14.704,14.847,15.025,15.037,15.039,15.159,15.216,15.278,15.41,15.546,15.579,15.589,15.846,15.879,15.891,15.947,16.055,16.208,16.342,16.395,16.457,16.55,16.609,16.649,16.744,16.793,16.817,16.915,16.953,17.03,17.078,17.152,17.204,17.239,17.309,17.366,17.418,17.477,17.51,17.563,17.652,17.701,17.769,17.884,17.959,18.025,18.172,18.278,18.329,18.402,18.534,18.69,18.85,18.963,19.131,19.294,19.452,19.665,19.876,20.107,20.319,20.542,20.805,21.074,21.333,21.581,21.731,21.938,22.076,22.288,22.477,22.797,23.021,23.232,23.487,23.644,23.849,24.18,24.562,25.073,25.41,25.772,26.242,26.687,27.051,27.508,28.09,28.762,29.362,29.853,30.274,30.645,31.052,31.485,32.083,32.573,33.077,33.844,34.787,35.241,35.816,36.633,37.728,38.577,39.471,40.508,41.619,42.412,42.988,43.887,44.731,45.297,45.998,46.459,46.83,47.392,48.2,48.941,49.44,50.05,51.068,51.821,52.473,53.26,54.078,54.57,55.216,55.769,56.663,57.019,57.894,58.666,59.181,59.832,60.535,61.087,61.731,62.588,63.457,64.141,64.961,66.11,66.333,66.696,66.893,67.022,67.696,68.275,68.61,68.906,69.428,70.205,70.821,71.162,71.652,72.334,72.822,73.152,73.703,74.471,75.197,75.882,76.723,77.396,77.893,78.357,78.817,79.333,79.792,80.41,80.956,81.717,82.563,83.396,84.18,84.415,84.68,84.992,85.447,86.102,86.57,87.267,88.082,89.016,90.085,91.267,92.556,93.376,94.011,94.77,95.621,96.454,96.54,97,97.606,97.727,97.908,98.199,98.57,99.195,99.553,100.195,101.057,101.729,102.614,103.611,103.99,104.678,105.038,106.066,107.797,110.197,112.003,113.668,114.53,114.56,115,115.12,114.748
"15","7","  Nonprofit institutions serving households \3\","B702RG3",5.003,5.654,5.661,5.557,5.461,5.578,5.757,5.679,5.837,5.889,5.745,5.884,5.889,5.924,5.955,6.339,6.355,6.384,6.302,6.68,6.932,6.584,6.523,6.732,7.03,6.99,6.96,6.883,7.014,7.096,7.156,7.372,7.111,7.329,7.387,7.516,7.384,7.471,7.688,7.882,7.92,7.95,8.002,8.011,8.218,8.321,8.211,8.224,8.462,8.521,8.551,8.686,8.731,8.868,8.865,9.005,9.04,9.126,9.186,9.303,9.364,9.518,9.611,9.692,9.784,9.906,9.971,10.137,10.294,10.325,10.35,10.491,10.531,10.696,10.836,11.055,11.047,11.275,11.577,11.777,12.014,12.171,12.256,12.224,12.266,12.313,12.524,12.849,13.035,13.374,13.863,14.456,14.668,15.048,15.316,15.52,15.958,16.178,16.352,16.823,16.794,17.191,17.398,17.81,18.121,18.489,18.787,19.105,19.421,19.972,20.396,20.855,21.029,21.332,21.833,22.266,22.731,23.066,23.411,23.787,24.048,24.485,25.155,26.017,24.379,26.823,28.697,29.316,29.035,29.073,29.534,30.262,31.179,32.256,33.108,34.028,34.768,35.49,36.172,36.648,37.067,37.454,38.105,38.703,39.104,39.628,40.382,41.164,41.686,42.516,43.356,43.893,44.629,45.131,45.869,46.347,46.684,47.019,47.659,48.079,48.936,49.385,49.601,52.891,51.291,52.827,53.07,53.587,53.872,54.386,55.057,55.62,56.066,56.98,58,58.154,58.927,60.166,60.876,61.548,62.069,63.424,63.572,64.004,63.743,63.814,64.191,64.794,65.808,66.243,66.837,67.466,68.101,68.377,68.661,69.134,69.862,70.151,70.703,71.31,71.468,71.852,72.132,72.409,72.217,73.134,74.192,75.527,76.22,77.794,77.733,78.867,79.437,80.189,80.821,81.037,83.024,83.077,83.696,84.951,86.449,87.404,88.49,89.463,90.711,91.98,93.1,94.673,95.002,96.318,98.564,98.721,98.817,99.662,100.394,101.127,103.283,105.179,106.319,107.658,108.325,108.37,108.871,110.265,111.179,111.858,112.758,114.433,113.284,112.832,113.644,114.559
"16","8","General government \4\","B765RG3",5.948,5.998,5.747,5.807,5.873,5.945,6.052,6.127,6.277,6.251,6.222,6.301,6.261,6.177,6.291,6.265,6.584,6.474,6.494,6.575,6.684,6.766,6.851,6.923,6.938,6.993,6.933,6.999,7.036,7.167,7.211,7.271,7.332,7.529,7.584,7.649,7.784,7.908,7.986,8.032,8.154,8.251,8.332,8.414,8.575,8.696,8.796,8.845,8.949,8.987,9.013,9.037,9.138,9.161,9.315,9.373,9.41,9.484,9.537,9.599,9.72,9.746,9.792,9.958,10.073,10.118,10.133,10.333,10.447,10.503,10.605,10.665,10.761,10.808,10.943,11.133,11.277,11.394,11.56,11.642,11.764,11.932,12.081,12.395,12.551,12.71,13.011,13.207,13.316,13.487,13.95,14.146,14.724,15.002,15.231,15.442,16.014,16.324,16.549,16.799,17.451,17.647,17.885,18.314,18.696,19.02,19.339,19.718,19.983,20.365,20.837,21.486,21.94,22.434,22.87,23.459,23.825,24.204,24.487,25.015,25.543,25.977,26.332,27.059,27.385,27.74,28.079,28.62,29.187,29.671,30.407,31.196,31.797,32.509,33.237,34.699,35.483,36.049,36.393,37.475,38.175,38.796,39.367,40.167,40.603,41.166,41.57,41.976,43.697,44.215,44.743,45.215,46.143,46.48,46.683,47.262,47.642,48.101,48.559,49.211,49.778,50.19,50.559,50.846,51.541,52.15,52.547,52.994,53.783,54.219,54.703,55.141,56.029,56.789,57.342,58.185,59.183,59.706,60.316,60.846,61.733,62.376,62.775,63.061,63.789,64.324,64.954,65.421,66.084,66.704,66.981,67.594,68.182,68.388,68.716,69.61,70.512,70.255,70.725,71.189,71.878,72.191,72.46,72.886,73.341,73.681,74.166,74.792,75.904,76.713,77.411,78.065,79.067,79.37,80.327,81.024,81.87,82.532,83.338,84.103,85.488,85.919,86.538,87.827,89.931,90.858,91.525,92.131,93.885,94.905,95.694,96.6,98.709,99.561,100.477,101.253,103.178,104.274,105.027,106.061,108.074,109.006,109.591,110.532,111.779,112.512,113.106,113.603,114.907,115.346,115.482,115.86
"17","9","  Federal","B766RG3",6.401,6.435,5.993,5.984,5.97,5.991,6.024,6.056,6.333,6.344,6.278,6.438,6.359,6.156,6.241,6.108,6.516,6.29,6.236,6.3,6.442,6.517,6.573,6.647,6.625,6.704,6.623,6.686,6.704,6.81,6.807,6.876,6.966,7.255,7.315,7.362,7.471,7.633,7.68,7.69,7.825,7.894,7.978,8.08,8.303,8.452,8.608,8.651,8.75,8.776,8.799,8.801,8.841,8.818,9.037,9.09,9.098,9.115,9.122,9.134,9.205,9.209,9.274,9.506,9.609,9.631,9.629,9.898,10.055,10.092,10.218,10.29,10.339,10.387,10.545,10.832,10.895,10.94,11.068,11.043,11.005,11.137,11.222,11.659,11.783,11.897,12.298,12.437,12.465,12.519,13.145,13.254,14.041,14.26,14.436,14.618,15.41,15.757,15.991,16.416,17.339,17.479,17.579,18.181,18.456,18.685,19.035,19.594,19.754,20.063,20.535,21.465,21.952,22.256,22.608,23.459,23.644,23.916,24.189,25.077,25.684,26.001,26.119,27.216,27.347,27.563,27.83,28.773,29.093,29.472,29.855,31.257,31.688,32.167,32.597,34.996,35.447,35.896,36.135,37.932,38.436,38.916,39.152,40.006,40.136,40.598,40.802,40.938,44.044,44.396,44.788,44.971,46.195,46.206,45.927,46.615,46.746,47.012,47.202,47.457,48.138,48.216,48.222,48.298,49.366,50.064,50.385,50.462,51.774,51.954,52.098,51.866,52.809,53.418,53.498,54.466,55.855,56.196,56.824,57.227,58.74,59.38,59.604,59.233,60.214,60.712,61.493,61.901,62.531,63.321,63.055,63.61,64.832,64.562,64.793,66.799,68.121,67.563,67.917,68.515,69.64,69.722,69.809,70.252,71.012,71.119,71.235,71.453,73.033,73.586,74.024,74.534,76.445,75.874,77.257,77.481,78.033,78.259,79.006,80.093,83.671,83.517,83.154,84.563,88.316,88.631,88.822,89.172,93.297,94.651,94.94,95.254,99.592,99.719,100.366,100.323,104.436,105.305,105.01,105.501,109.392,110.281,109.926,110.213,112.221,112.44,112.15,111.954,114.569,114.501,114.488,115.083
"18","10","  State and local","B767RG3",4.904,4.983,5.077,5.251,5.448,5.596,5.816,5.955,5.898,5.818,5.843,5.812,5.828,5.905,6.057,6.188,6.35,6.443,6.594,6.704,6.749,6.839,6.978,7.041,7.124,7.13,7.11,7.179,7.25,7.419,7.54,7.582,7.59,7.625,7.67,7.761,7.931,7.996,8.117,8.214,8.311,8.444,8.516,8.567,8.639,8.718,8.743,8.798,8.906,8.957,8.987,9.037,9.208,9.286,9.356,9.421,9.491,9.629,9.733,9.852,10.026,10.077,10.1,10.184,10.31,10.381,10.415,10.533,10.598,10.673,10.745,10.791,10.933,10.978,11.086,11.175,11.396,11.582,11.783,11.973,12.256,12.457,12.667,12.848,13.033,13.234,13.428,13.676,13.861,14.141,14.44,14.717,15.095,15.423,15.694,15.925,16.303,16.576,16.792,16.902,17.342,17.578,17.915,18.213,18.668,19.053,19.347,19.601,19.932,20.359,20.827,21.287,21.715,22.327,22.812,23.229,23.705,24.148,24.434,24.731,25.205,25.709,26.207,26.697,27.14,27.577,27.957,28.249,28.959,29.502,30.445,30.858,31.555,32.4,33.301,34.181,35.161,35.791,36.196,36.828,37.642,38.344,39.116,39.874,40.497,41.12,41.647,42.223,43.036,43.657,44.268,44.922,45.649,46.194,46.706,47.209,47.745,48.324,48.949,49.848,50.337,50.959,51.559,51.979,52.428,52.974,53.415,54.091,54.547,55.139,55.829,56.676,57.522,58.369,59.206,59.966,60.714,61.345,61.94,62.543,63.052,63.692,64.189,64.854,65.429,65.981,66.522,67.021,67.7,68.227,68.795,69.434,69.685,70.134,70.509,70.843,71.537,71.429,71.955,72.353,72.832,73.255,73.609,74.027,74.342,74.788,75.441,76.25,77.151,78.073,78.887,79.602,80.205,80.893,81.662,82.564,83.539,84.388,85.219,85.845,86.295,86.975,88.012,89.25,90.64,91.836,92.711,93.429,94.143,95.016,96.026,97.193,98.32,99.491,100.526,101.663,102.63,103.824,105.034,106.304,107.502,108.453,109.443,110.666,111.583,112.539,113.524,114.331,115.04,115.713,115.919,116.192
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009G3",10.854,11.167,11.417,11.614,11.771,11.898,12.005,12.1,12.19,12.278,12.369,12.465,12.569,12.685,12.811,12.949,13.11,13.257,13.404,13.551,13.675,13.835,14.008,14.191,14.409,14.584,14.741,14.877,14.987,15.083,15.161,15.223,15.26,15.312,15.368,15.428,15.502,15.573,15.645,15.719,15.792,15.872,15.957,16.044,16.14,16.22,16.289,16.348,16.391,16.508,16.581,16.685,16.73,16.773,16.86,16.932,16.97,17.066,17.127,17.139,17.229,17.261,17.334,17.364,17.441,17.496,17.531,17.605,17.638,17.672,17.726,17.756,17.798,17.855,17.892,17.951,18.044,18.116,18.161,18.292,18.393,18.456,18.529,18.628,18.737,18.869,18.982,19.127,19.267,19.429,19.64,19.834,20.043,20.243,20.45,20.71,20.973,21.235,21.468,21.623,21.812,21.959,22.164,22.354,22.65,22.868,23.09,23.337,23.491,23.632,23.885,24.279,24.797,25.154,25.513,25.965,26.364,26.7,27.156,27.705,28.371,28.973,29.484,29.932,30.297,30.665,31.056,31.623,32.058,32.553,33.336,34.326,34.849,35.449,36.314,37.423,38.234,39.09,40.123,41.247,42.043,42.668,43.575,44.426,45.04,45.722,46.19,46.554,47.115,47.938,48.678,49.258,49.948,50.986,51.789,52.542,53.294,54.221,54.747,55.385,55.95,56.73,57.16,57.997,58.787,59.261,59.904,60.583,61.149,61.783,62.608,63.476,64.193,65.022,66.098,66.421,66.826,67.099,67.346,68.059,68.768,69.163,69.481,69.971,70.667,71.197,71.506,72.002,72.681,73.142,73.481,74.02,74.686,75.331,75.93,76.675,77.328,77.783,78.254,78.696,79.224,79.683,80.288,80.855,81.52,82.308,83.139,83.93,84.203,84.49,84.837,85.344,86.011,86.471,87.181,88.011,88.94,90.006,91.166,92.447,93.287,93.905,94.645,95.484,96.309,96.445,96.929,97.491,97.646,97.834,98.158,98.55,99.196,99.555,100.192,101.057,101.701,102.551,103.525,103.951,104.655,105.127,106.262,108.111,110.616,112.546,114.331,115.358,115.433,115.88,115.937,115.585
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
