"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","Equals: Gross domestic purchases","A712RX1",995,911.8,854.6,744.5,735.7,813.4,892.9,1006.9,1053.8,1008.1,1089.6,1180.2,1392.7,1669.1,1961.7,2118.3,2080.6,1775.2,1738.9,1858.6,1847.4,2036.3,2177.5,2274.4,2395.5,2370.8,2542.7,2583.6,2629.5,2629.3,2818,2867.6,2933.3,3119,3248.8,3426.3,3659.2,3910.2,4018.2,4225.6,4358.6,4352,4506.9,4755.8,4991.2,4926.2,4872,5189.2,5464.4,5763.2,5903.3,5789.6,5944.7,5865.4,6208.3,6745.4,7045.3,7303.3,7518.4,7758.8,7990.9,8104.6,8034.6,8309.6,8592.9,8976,9189,9542,9992.8,10539.9,11141.1,11681.4,11825.7,12107.7,12449.2,12952.5,13361.1,13705.7,13901.6,13801.2,13336.2
"12","5","Less: Change in private inventories","A014RX1",10.3,-4.6,-10.6,-23.8,-12.2,-5.8,7.6,7.8,13,-3.1,1.6,16.1,26.4,10.3,-3.6,-4.3,-8.1,25.4,-3.6,19.3,-10.2,19.3,26.7,10.8,6.7,-6.4,16,11.9,2.9,-0.7,13.9,11.8,10.6,21.9,20.3,17.3,32.9,47.1,33.9,30.8,30.3,5.6,25,25.7,39,29.1,-12.8,34.3,43.1,45.6,28,-9.3,39,-19.7,-7.7,78.3,25.4,8.5,33.2,21.9,30.6,16.6,-1.4,17.9,22.3,69.3,32.1,31.2,77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,19.5,-25.9,-108.2
"13","6","Equals: Final sales to domestic purchasers","A713RX1",1006,940,886.6,787.2,764,834.4,893.4,1009,1046.4,1021.9,1097.5,1166.7,1364.9,1669.4,1988.7,2147.9,2116.2,1748.2,1766.1,1841,1884.2,2021.1,2148.1,2276.5,2405.2,2402.2,2538.7,2587.4,2647.9,2652.4,2819.8,2873.5,2941.3,3111.5,3244.7,3427.8,3639.4,3870.9,3999,4211.8,4345.7,4370.9,4501.4,4749.2,4962.2,4910.3,4918.9,5167.9,5431.5,5725.2,5889.1,5828.2,5916.7,5916.9,6244.6,6664,7035.3,7315.9,7501.6,7752.8,7972.5,8103.2,8053.8,8306.5,8584.5,8914.5,9168.3,9520.4,9920.9,10473.5,11077,11623.1,11870.8,12098.4,12433.4,12886.8,13311.2,13646.5,13881.9,13829.8,13458.8
"14",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RX1",987.6,920,865.9,767.2,743.9,814.7,865.3,979.7,1020.6,1006.1,1080.5,1153.7,1339,1618.1,1908.7,2063.2,2046.4,1766.2,1803.2,1837.2,1880.9,1990.7,2132.2,2245.7,2356.4,2363,2496.2,2553.3,2618.9,2600,2764,2836.6,2904.6,3064.9,3202.6,3393.7,3590.7,3806.6,3923.3,4119.4,4248.6,4287.9,4407.4,4640.6,4888.2,4874.1,4926.3,5120.2,5344.9,5639.7,5841.2,5878.7,5959.5,5923.3,6172.9,6495.6,6838.9,7098.7,7296.2,7607.8,7867.5,8032.7,8034.8,8284.3,8515.3,8809.2,9073.2,9412.5,9782.6,10217.1,10715.7,11167.5,11391.7,11543.5,11824.8,12198.2,12588.4,12917.1,13234.3,13341.2,13110.7
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
