"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","        Structures","A760RG3",5.464,5.128,4.589,3.688,4.223,4.914,4.753,5.159,5.305,5.294,5.171,5.177,5.643,6.576,7.087,6.873,7.001,7.845,9.259,10.293,10.179,9.774,11.202,11.559,11.522,11.19,11.193,12.256,12.822,12.692,12.727,12.576,12.598,12.849,13.033,13.202,13.543,14.105,14.561,15.26,16.374,17.809,19.264,20.426,22.247,26.35,29.249,29.927,31.168,33.01,36.341,40.866,45.431,48.436,49.016,49.524,50.463,52.022,54.046,55.705,57.32,59.216,60.108,60.523,62.162,64.178,66.938,68.9,70.949,73.09,75.756,79.203,81.948,84.281,86.265,91.28,100,107.97,116.831,123.54,126.698
"12","5","        Equipment and software","A871RG3",29.293,28.53,26.7,26.272,25.381,26.238,28.3,26.884,27.514,26.804,26.691,27.754,31.179,27.601,26.982,25.083,23.001,25.33,28.158,29.834,30.504,31.602,33.828,34.273,33.34,33.993,35.316,38.248,40.01,40.344,41.016,41.127,41.674,42.167,42.604,42.903,42.502,42.928,43.856,45.043,46.848,50.158,52.665,63.314,63.895,66.996,72.339,77.337,81.965,86.954,90.82,96.211,103.791,110.026,112.305,113.303,111.606,108.04,105.175,105.147,106.507,108.245,110.194,110.23,111.731,113.293,114.257,112.832,109.431,106.153,105.002,104.429,102.375,100.368,99.382,99.539,100,100.149,100.265,101.208,101.195
"13","6","Federal","B823RG3",6.924,6.617,6.566,6.253,6.321,6.755,6.834,7.463,7.584,7.713,7.568,7.27,7.651,7.506,7.577,7.444,7.512,9.584,10.168,10.074,10.503,10.442,10.898,11.005,11.08,11.337,11.947,12.562,13.125,13.663,13.564,13.677,13.908,14.202,14.506,14.995,15.379,15.914,16.386,17.287,18.226,19.699,21.383,23.471,25.08,27.315,30.158,32.302,34.742,36.888,39.727,43.9,48.165,51.434,53.218,56.358,57.635,57.938,58.642,59.884,61.504,63.548,66.07,68.101,69.83,71.725,73.717,75.763,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.754,110.938,111.513
"14","7","    Consumption expenditures","B957RG3",5.557,5.315,5.355,5.229,5.195,5.481,5.517,6.142,6.195,6.336,6.205,5.857,6.039,5.855,5.932,6.033,6.348,8.34,8.809,8.662,9.062,8.991,9.294,9.352,9.502,9.772,10.371,10.821,11.276,11.823,11.661,11.783,12.004,12.282,12.582,13.084,13.512,14.038,14.471,15.33,16.169,17.483,19.028,20.671,22.154,24.216,26.818,28.752,30.98,32.913,35.559,39.525,43.465,46.446,48.182,51.471,53.042,53.796,54.902,56.289,57.915,59.996,62.628,64.893,66.586,68.439,70.41,72.708,74.361,75.462,77.545,80.463,82.458,86.106,90.283,94.978,100,104.439,108.458,111.892,112.596
"15","8","    Gross investment","B787RG3",17.675,16.808,15.405,13.243,14.161,15.679,16.025,16.631,17.324,17.282,17.092,17.488,19.087,18.956,19.044,17.78,16.441,18.068,20.306,21.535,22.006,22.131,24.032,24.53,24.038,24.213,24.863,26.957,28.449,28.775,29.265,29.297,29.608,30.048,30.376,30.678,30.548,31.055,31.806,32.807,34.502,37.193,39.579,47.864,49.884,52.874,57.18,60.935,64.821,68.584,72.561,77.579,84.014,89.386,91.264,92.612,91.451,88.414,86.323,86.563,88.149,89.959,91.723,92.113,94.112,96.305,98.429,98.523,96.911,96.091,97.112,97.677,96.936,96.07,96.326,97.848,100,101.874,103.125,104.776,104.614
"16","9","      Structures","B801RG3",4.485,4.259,3.88,3.255,3.544,3.996,3.923,4.229,4.486,4.53,4.455,4.513,4.809,5.581,6.014,5.829,5.992,6.647,8.267,8.903,9.029,8.628,9.718,10.087,10.109,9.858,9.916,10.681,11.265,11.415,11.453,11.416,11.412,11.63,11.743,11.954,12.172,12.65,13.104,13.81,15.007,16.204,17.636,18.957,21.202,23.847,26.973,28.361,30.308,31.993,35.737,39.537,43.195,45.933,46.724,48.405,49.634,50.296,52.05,53.818,56.784,58.701,60.262,61.05,63.101,65.2,67.87,69.757,71.303,73.427,76.174,79.314,82.34,84.25,86.609,91.505,100,107.775,114.052,117.99,118.652
"17","10","      Equipment and software","B872RG3",27.488,26.333,24.912,25.102,23.346,24.35,27.476,25.567,24.972,24.01,24.07,25.202,28.679,25.277,24.709,22.964,21.05,23.165,25.43,26.782,27.476,28.489,30.372,30.787,29.901,30.487,31.535,34.268,36.173,36.558,37.387,37.486,38.033,38.547,38.982,39.269,38.805,39.151,39.976,41.012,42.741,46.053,48.529,63.378,63.285,64.881,68.618,73.609,78.153,82.769,85.654,90.375,97.559,103.839,106.144,107.184,104.963,100.437,96.746,96.338,97.399,99.158,100.974,101.221,103.141,105.286,107.072,106.378,103.521,101.573,101.961,101.758,100.074,98.533,98.258,99.009,100,100.915,101.313,102.563,102.271
"18","11","  National defense","B824RG3",7.046,6.803,6.716,6.577,6.428,6.773,6.974,7.133,7.37,7.4,7.345,6.984,7.457,7.297,7.371,7.251,7.298,9.36,10.037,9.986,10.322,10.313,10.737,10.779,10.825,11.114,11.732,12.397,12.957,13.45,13.34,13.44,13.633,13.897,14.209,14.62,15.024,15.535,15.994,16.834,17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.057,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.286,111.913,112.086
"19","12","    Consumption expenditures","B997RG3",5.885,5.696,5.663,5.585,5.449,5.698,5.867,6.009,6.093,6.127,6.087,5.637,5.888,5.713,5.778,5.903,6.187,8.159,8.706,8.614,8.918,8.877,9.151,9.152,9.279,9.579,10.187,10.681,11.138,11.631,11.462,11.577,11.753,12.004,12.323,12.771,13.193,13.696,14.133,14.942,15.764,16.979,18.535,20.357,21.928,24.113,26.591,28.52,30.696,32.855,35.642,39.812,43.864,46.969,48.694,52.712,54.173,54.706,55.839,57.134,58.713,60.804,63.185,65.704,66.723,68.314,69.956,72.437,73.868,74.848,76.786,79.69,81.716,85.382,89.898,94.474,100,104.779,109.011,112.891,113.126
"20","13","    Gross investment","B788RG3",15.934,14.682,13.316,12.028,11.999,13.373,13.775,13.973,15.392,15.377,15.216,15.544,17.143,16.92,17.044,15.872,14.68,16.4,19.05,20.208,20.686,21.174,23.092,23.463,22.922,23.167,23.858,25.938,27.354,27.72,28.154,28.143,28.471,28.844,29.084,29.067,29.15,29.545,30.056,30.842,32.506,34.86,37.085,49.4,51.249,53.203,56.45,60.768,65.158,69.704,73.283,77.747,84.061,89.758,92.18,93.848,92.067,87.935,85.002,84.75,86.191,87.933,89.786,90.595,93.058,95.841,98.204,98.76,96.927,96.254,97.774,97.832,96.578,95.645,96.098,97.853,100,102.014,103.524,105.63,105.478
"21","14","      Structures","B808RG3",3.563,3.266,2.977,2.503,2.664,2.991,3.019,3.143,3.422,3.392,3.34,3.5,3.792,4.476,4.837,4.685,4.79,5.376,6.804,7.138,7.208,6.883,8.075,8.315,8.282,8.049,8.135,8.761,9.198,9.431,9.466,9.435,9.357,9.549,9.615,9.759,9.791,10.306,10.634,11.333,12.654,13.643,14.987,16.272,19.539,22.016,24.131,25.231,27.683,28.843,34.12,36.888,39.092,40.842,41.431,44.276,45.666,45.773,48.01,49.887,53.631,55.268,56.945,58.116,61.575,63.761,66.525,68.303,70.44,72.403,75.308,78.581,81.753,83.877,86.459,91.537,100,108.136,114.5,117.04,117.499
"22","15","      Equipment and software","B873RG3",21.041,19.576,17.617,17.904,16.367,18.037,19.195,18.581,21.055,21.395,21.339,20.786,23.725,20.229,19.845,18.391,16.878,18.935,21.51,22.868,23.474,24.347,26.055,26.366,25.603,26.173,27.096,29.529,31.179,31.489,32.082,32.09,32.602,32.987,33.27,33.178,33.272,33.563,34.093,34.846,36.449,39.059,41.251,59.229,58.68,59.518,62.677,67.888,72.519,77.916,80.522,85.195,92.371,98.899,101.726,102.97,100.43,95.379,91.265,90.495,91.4,93.148,95.039,95.798,98.098,100.967,103.202,103.479,100.821,99.604,100.856,100.392,98.486,97.136,97.289,98.592,100,101.358,102.321,104.376,104.134
"23","16","  Nondefense","B825RG3",6.975,6.591,6.576,6.089,6.321,6.802,6.834,7.635,7.719,7.883,7.707,7.428,7.654,7.875,7.666,7.185,8.018,9.788,10.052,9.815,10.475,10.262,10.807,11.375,11.671,11.679,12.181,12.421,12.942,13.739,13.775,13.946,14.359,14.783,15.037,15.798,16.104,16.708,17.215,18.327,19.284,21.143,22.746,23.892,25.231,27.245,30.505,32.549,34.993,36.514,39.1,42.906,46.917,49.825,51.501,52.779,54.574,55.915,56.953,58.679,60.497,62.568,65.672,67.034,70.002,72.267,74.83,76.406,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.672,108.935,110.358
"24","17","    Consumption expenditures","B542RG3",5.533,5.209,5.339,5.144,5.214,5.53,5.493,6.353,6.398,6.58,6.415,6.098,6.171,6.234,6.216,5.564,6.667,8.538,8.718,8.36,9.015,8.832,9.239,9.719,10.018,10.077,10.582,10.738,11.147,12.002,11.981,12.133,12.57,12.958,13.164,13.858,14.301,14.9,15.294,16.339,17.217,18.88,20.347,21.396,22.614,24.335,27.231,29.167,31.506,32.921,35.242,38.745,42.416,45.098,46.859,48.208,50.085,51.458,52.493,54.173,55.947,58.009,61.306,62.944,66.195,68.627,71.299,73.207,75.322,76.664,79.036,81.985,83.922,87.54,91.075,96.008,100,103.747,107.333,109.848,111.531
"25","18","    Gross investment","B798RG3",19.607,18.801,17.288,14.661,15.888,17.576,17.948,18.708,19.154,19.096,18.881,19.303,20.744,22.016,20.288,22.063,20.279,20.417,20.922,22.192,22.601,22.028,23.665,24.961,25.175,24.496,24.383,25.71,27.285,27.214,27.962,28.277,28.407,29.092,29.733,31.03,30.372,31.09,32.455,34.034,35.549,38.933,41.454,43.249,45.446,50.089,56.276,58.73,61.435,63.662,68.274,74.17,80.605,85.053,85.435,85.86,86.695,87.584,88.571,90.548,92.592,94.578,96.045,95.352,96.318,97.278,98.913,98.156,96.933,95.888,96.188,97.525,97.628,96.877,96.777,97.837,100,101.587,102.301,102.951,102.746
"26","19","      Structures","B830RG3",6.403,6.122,5.576,4.675,5.105,5.757,5.638,6.11,6.437,6.535,6.426,6.37,6.55,6.377,6.518,6.36,6.951,8.145,9.389,10.244,10.412,9.952,10.824,11.445,11.689,11.516,11.41,12.29,13.093,12.964,12.999,12.958,13.09,13.32,13.486,13.747,14.091,14.564,15.115,15.827,16.884,18.251,19.739,21.069,22.466,25.24,29.097,30.684,32.384,34.383,37.516,41.918,46.404,49.781,50.728,51.411,52.482,53.677,54.919,56.52,58.534,60.67,62.143,62.723,64.047,66.101,68.715,70.67,71.859,74.08,76.748,79.806,82.735,84.511,86.725,91.483,100,107.462,113.664,119.025,119.753
"27","20","      Equipment and software","B880RG3",32.642,32.184,32.616,32.42,30.896,31.181,35.525,32.741,29.842,27.864,28.025,31.061,35.437,40.374,34.056,40.122,34.087,33.712,34.455,35.414,36.297,37.561,38.98,40.857,39.809,37.27,37.564,37.234,38.941,40.393,49.042,54.181,53.219,55.573,58.041,63.141,57.665,58.233,61.235,64.322,65.582,72.911,76.062,76.766,78.779,84.155,90.654,92.949,95.782,95.368,99.431,103.544,109.561,113.201,112.115,111.891,112.005,112.034,112.17,114.131,115.902,117.474,118.713,116.7,117.076,116.521,116.704,113.147,109.823,106.242,104.873,105.198,103.975,101.997,100.699,100.054,100,99.861,98.877,98.06,97.621
"28","21","State and local","B829RG3",4.809,4.675,4.395,3.956,4.096,4.42,4.451,4.432,4.541,4.505,4.441,4.48,4.781,5.284,5.675,5.895,6.09,6.654,7.466,8.346,8.418,8.494,9.365,9.768,9.958,10.123,10.32,10.981,11.456,11.608,11.851,12.066,12.357,12.743,13.028,13.293,13.662,14.334,15.137,15.945,17.013,18.411,19.72,20.896,22.495,24.97,27.41,29.114,31.005,33.042,35.976,40.002,43.975,46.786,48.857,51.034,53.002,54.577,56.849,58.621,60.654,63.474,65.443,66.856,68.494,70.351,72.252,73.806,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,110.615,116.642,115.896
"29","22","  Consumption expenditures","B991RG3",4.13,4.087,3.94,3.699,3.718,3.924,4.005,3.851,3.952,3.917,3.885,3.94,4.143,4.507,4.844,5.061,5.248,5.735,6.376,7.131,7.256,7.445,8.07,8.476,8.735,9.056,9.292,9.751,10.2,10.485,10.812,11.158,11.528,11.952,12.258,12.554,12.915,13.602,14.505,15.321,16.346,17.679,18.909,20.068,21.596,23.565,25.791,27.652,29.617,31.596,34.359,38.137,41.83,44.508,46.786,49.268,51.419,52.951,55.247,57.026,59.15,62.152,64.322,65.975,67.65,69.518,71.333,72.936,74.391,75.516,78.471,82.087,84.786,86.635,90.807,94.343,100,105.047,109.941,116.057,114.498
"30","23","  Gross investment","B799RG3",7.401,6.961,6.238,5.071,5.792,6.742,6.487,7.015,7.167,7.122,6.949,6.938,7.679,8.965,9.578,9.391,9.331,10.207,11.947,13.336,13.122,12.691,14.579,14.967,14.878,14.478,14.555,15.953,16.546,16.27,16.259,16.046,16.084,16.375,16.611,16.795,17.222,17.905,18.462,19.31,20.612,22.345,24.049,25.339,27.31,32.304,35.854,36.705,38.131,40.445,44.265,49.575,55.017,58.508,59.192,59.503,60.423,62.202,64.31,66.018,67.569,69.47,70.464,70.715,72.158,73.945,76.258,77.571,78.783,79.771,81.416,84.124,85.974,87.521,88.819,92.875,100,106.257,113.482,119.132,121.96
"31","24","    Structures","B842RG3",5.842,5.477,4.893,3.905,4.546,5.361,5.147,5.601,5.692,5.657,5.515,5.494,6.1,7.17,7.732,7.547,7.462,8.148,9.511,10.651,10.456,10.054,11.59,11.92,11.841,11.477,11.457,12.605,13.156,12.929,12.962,12.774,12.805,13.064,13.267,13.422,13.791,14.369,14.825,15.525,16.631,18.105,19.567,20.702,22.444,26.817,29.676,30.221,31.323,33.196,36.443,41.104,45.847,48.905,49.438,49.695,50.573,52.315,54.395,56.029,57.424,59.319,60.118,60.481,62.058,64.063,66.837,68.811,70.923,73.066,75.724,79.198,81.922,84.286,86.24,91.264,100,107.984,117.037,123.978,127.368
"32","25","    Equipment and software","B881RG3",22.599,22.074,20.607,20.162,19.754,20.368,20.038,19.916,22.007,21.858,21.542,22.134,23.527,25.377,24.944,25.224,25.882,28.702,34.364,37.355,37.539,38.711,42.753,42.989,43.047,43.874,48.032,50.287,48.616,48.124,46.28,46.437,46.513,46.306,46.421,46.63,46.902,47.672,48.866,50.514,52.054,54.309,56.382,57.455,59.286,65.262,73.959,78.487,82.771,88.241,94.724,101.536,109.327,114.346,116.129,116.773,117.519,118.673,119.948,121.475,123.719,125.169,127.321,126.688,126.862,126.934,126.185,123.351,119.031,113.606,110.07,108.934,106.321,103.57,101.395,100.511,100,98.725,98.321,98.669,99.247
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
