"","Table 3#11#4# Price Indexes for National Defense Consumption Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156"
"12","4","    Value added","W086RG3",17.427,17.575,17.674,18.326,18.548,18.806,19.176,19.703,19.947,20.225,20.755,21.61,22.059,22.31,22.694,23.546,23.744,24.068,24.338,25.129,25.628,25.918,26.003,27.151,27.374,27.651,27.961,28.869,29.195,29.625,30.038,31.426,31.794,32.357,32.768,35.275,35.707,36.169,36.373,38.411,38.897,39.444,39.711,40.608,40.732,41.198,41.466,41.605,45.553,45.965,46.349,46.52,47.845,47.771,47.547,48.381,48.408,48.592,48.673,48.907,49.634,49.687,49.668,49.658,50.695,51.258,51.485,51.51,52.897,53.071,53.203,52.722,53.892,54.322,54.458,55.03,56.275,56.673,57.462,58.143,59.974,60.669,60.794,59.71,60.437,60.888,61.489,61.821,62.345,62.923,62.791,63.209,64.261,64.097,64.408,65.308,66.997,67.243,67.609,68.031,69.014,69.021,68.985,69.216,70.101,70.178,70.341,70.538,72.152,72.529,72.726,72.951,75.195,74.987,75.824,75.743,76.931,77.086,77.87,78.896,82.09,82.247,82.122,84.309,87.603,87.928,88.185,88.595,92.383,93.68,94.092,94.639,99.615,99.757,100.261,100.367,104.975,105.754,105.474,106.1,110.138,111.227,110.993,111.425,113.329,113.856,113.596,113.179,115.819,115.689,115.839,116.737,118.99
"13","5","      Compensation of general government employees","B237RG3",13.909,14.031,14.062,14.659,14.832,15.016,15.316,15.868,16.005,16.165,16.515,17.286,17.709,17.918,18.182,18.946,19.036,19.256,19.414,20.134,20.481,20.699,20.799,21.849,21.87,22.028,22.218,23.16,23.452,23.744,23.994,25.35,25.655,25.978,26.289,28.767,28.995,29.287,29.32,31.366,31.66,32.058,32.195,33.137,33.205,33.637,33.694,33.823,38.018,38.4,38.832,38.923,40.459,40.501,40.209,41.178,41.368,41.504,41.592,41.914,42.692,42.913,42.923,42.96,44.072,44.652,44.864,44.737,46.308,46.469,46.528,45.819,47.097,47.546,47.59,48.061,49.417,49.851,50.641,51.398,53.691,54.449,54.555,52.958,53.554,53.993,54.558,54.835,55.354,55.78,55.422,55.52,56.753,56.484,56.875,57.921,60.128,60.411,60.864,61.403,62.743,62.728,62.721,62.911,64.16,64.141,64.31,64.466,66.509,66.838,66.944,67.074,69.746,69.481,70.492,70.377,71.954,72.054,73.054,74.519,78.77,78.97,78.749,81.424,85.747,86.098,86.354,86.875,91.55,92.845,93.109,93.474,99.654,99.783,100.35,100.213,105.977,106.519,105.791,106.638,111.756,113.026,112.549,112.907,115.31,115.499,114.92,114.521,118.253,118.244,118.378,119.508,122.359
"14","6","        Military","B4080G3",13.669,13.826,13.836,14.448,14.637,14.864,15.196,15.788,16.025,16.138,16.562,17.224,17.579,17.737,17.998,18.768,18.907,19.11,19.219,19.786,19.894,20.058,20.134,21.281,21.344,21.567,21.792,22.794,23.038,23.408,23.686,25.12,25.318,25.666,25.993,28.828,28.902,29.226,29.145,31.902,32.085,32.647,32.726,33.768,33.651,34.079,34.148,34.283,40.309,40.825,41.262,41.289,43.156,43.088,42.889,44.23,44.293,44.245,44.12,44.468,45.274,45.487,45.477,45.383,46.447,46.717,46.743,46.452,48.23,48.388,48.343,47.065,48.858,48.981,48.872,48.683,49.615,50.105,51.178,52.501,55.422,56.256,55.848,53.406,54.02,54.307,54.477,54.604,54.878,54.764,54.606,54.242,55.191,55.135,55.7,56.127,58.403,59.568,60.061,60.279,61.431,61.252,61.014,60.772,62.101,62.395,62.366,62.533,64.84,64.813,64.558,65.301,67.377,67.47,67.939,67.289,69.788,69.669,70.727,72.224,76.066,76.753,76.842,80.579,84.465,84.852,85.189,85.832,90.1,91.28,91.681,92.337,99.675,99.852,100.237,100.236,107.002,107.296,106.449,107.621,113.138,114.72,114.346,114.899,117.159,117.717,117.131,116.43,120.422,120.351,120.736,122.3,125.655
"15","7","        Civilian","W090RG3",14.52,14.567,14.647,15.217,15.355,15.451,15.688,16.164,16.102,16.357,16.569,17.557,18.113,18.423,18.692,19.453,19.452,19.707,19.958,20.972,21.776,22.097,22.243,23.122,23.064,23.106,23.235,24.078,24.461,24.616,24.818,26.052,26.554,26.835,27.122,28.982,29.49,29.731,29.971,30.762,31.259,31.371,31.613,32.389,32.784,33.227,33.267,33.388,34.365,34.518,34.946,35.153,36.118,36.354,35.894,36.222,36.632,37.096,37.563,37.842,38.579,38.821,38.865,39.139,40.353,41.501,42.054,42.225,43.441,43.611,43.858,44.162,44.529,45.574,45.889,47.599,49.804,50.126,50.388,50.12,51.32,51.964,52.978,52.851,53.42,54.123,55.371,55.911,56.863,58.239,57.528,58.43,60.172,59.53,59.624,61.777,63.886,62.606,62.993,64.109,65.8,66.078,66.492,67.486,68.6,68.002,68.544,68.683,70.246,71.25,72.046,70.988,74.831,73.863,75.952,76.934,76.621,77.189,78.083,79.496,84.625,83.785,82.899,83.31,88.559,88.807,88.866,89.109,94.692,96.245,96.213,95.95,99.608,99.633,100.592,100.167,103.815,104.875,104.394,104.564,108.853,109.476,108.786,108.741,111.435,110.857,110.293,110.53,113.71,113.834,113.423,113.629,115.422
"16","8","      Consumption of general government fixed capital \2\","B432RG3",32.028,32.281,32.784,33.463,33.9,34.519,35.165,35.25,36.087,37.023,38.49,39.455,39.838,40.243,41.24,42.232,43.057,43.914,44.801,45.66,46.918,47.537,47.48,48.697,50.157,51.079,52.026,52.257,52.647,53.781,55.058,55.997,56.593,58.448,59.309,60.84,62.385,63.728,64.943,65.966,67.47,68.726,69.707,69.911,70.347,70.821,72.288,72.435,73.327,73.753,73.714,74.284,73.94,73.232,73.467,73.313,72.468,72.858,72.88,72.614,72.916,72.124,71.976,71.747,72.246,72.638,72.905,73.604,73.972,74.177,74.606,75.169,75.725,76.019,76.519,77.437,78.085,78.293,79.004,79.331,79.264,79.678,79.864,80.715,81.866,82.331,83.032,83.55,84.085,85.162,85.803,87.273,87.695,87.871,87.908,88.321,88.357,88.478,88.563,88.619,88.496,88.573,88.448,88.808,88.585,88.951,89.1,89.419,89.759,90.28,90.751,91.262,92.246,92.208,92.529,92.552,92.578,92.9,93.029,92.716,92.659,92.675,92.844,93.496,93.532,93.771,94.028,94.08,95.015,96.322,97.213,98.353,99.484,99.676,99.986,100.854,101.917,103.414,104.481,104.448,105.286,105.848,106.319,106.962,107.436,108.925,109.579,109.114,108.546,108.059,108.257,108.477,109.009
"17","9","    Intermediate goods and services purchased \3\","W087RG3",23.871,24.122,24.298,24.488,25.209,25.893,26.833,27.008,27.855,28.907,30.774,32.087,32.653,32.95,33.717,33.993,34.762,35.073,35.951,36.881,37.555,38.037,38.399,39.514,40.16,40.693,41.677,42.516,43.543,44.302,46.13,48.313,50.167,52.088,53.203,54.314,55.335,56.755,57.816,58.511,59.316,59.835,60.442,61.039,61.548,61.828,62.264,62.699,63.301,64.1,64.566,64.263,64.289,64.541,64.772,65.512,65.218,64.373,64.696,65.181,65.294,65.934,66.776,66.784,66.712,66.976,66.8,67.362,67.8,67.744,68.438,68.979,69.987,70.48,71.753,73.85,73.163,72.554,73.141,74.008,73.609,73.769,75.134,75.133,75.006,75.605,76.081,76.338,76.226,76.912,77.494,77.803,77.798,78.437,78.822,79.14,79.407,79.663,80.058,80.711,80.851,80.786,81.046,81.533,81.209,81.37,81.657,81.954,81.782,82.306,83.111,83.871,84.8,85.156,86.016,86.847,87.112,87.237,87.571,87.439,87.657,88.546,89.336,90.087,91.618,91.879,92.396,92.829,93.773,94.905,95.944,97.133,98.295,99.512,100.753,101.44,102.13,103.859,104.883,104.379,104.875,106.23,107.105,108.706,109.984,112.907,114.584,110.876,108.693,109.154,110.325,110.953,111.689
"18","10","      Durable goods","B998RG3",33.964,33.784,33.653,33.738,34.612,35.497,35.965,35.986,36.657,37.356,39.03,40.485,41.805,42.251,42.986,44.18,44.475,45.394,47.49,48.789,49.532,49.674,49.074,52.231,52.49,53.356,54.47,56.049,57.187,58.163,60.026,61.382,62.101,63.176,63.993,65.291,66.911,68.294,70.477,71.439,74.088,75.363,76.622,78.684,80.794,81.985,83.274,84.43,86.446,88.856,89.413,88.659,88.48,88.682,88.951,89.682,89.546,90.241,90.895,91.748,90.621,90.664,90.61,89.795,87.678,87.339,86.859,86.845,86.597,86.69,86.801,87.431,88.097,88.614,89.019,89.579,90.956,90.917,91.472,91.91,92.391,92.713,93.295,93.594,94.354,94.806,95.461,96.138,96.504,96.368,96.185,96.435,96.37,96.543,96.529,97.004,97.331,96.983,96.28,96.567,96.735,96.796,96.684,96.273,96.275,96.293,95.973,96.202,96.205,96.006,95.861,96.215,96.763,96.575,96.601,96.599,96.563,96.817,96.628,96.575,96.758,96.692,96.651,96.906,97.426,97.595,97.464,97.515,97.873,98.343,98.63,99.062,99.773,100.035,100.115,100.077,100.82,102.129,103.011,103.435,103.057,102.523,102.262,102.338,102.672,103.109,103.728,104.288,104.139,104.031,104.094,104.371,104.569
"19","11","        Aircraft","B999RG3",31.24,31.014,31.078,31.196,32.511,33.368,33.57,33.54,34.038,34.437,35.524,37.211,38.78,40.209,41.512,42.615,45.301,46.001,46.628,50.049,50.346,49.927,49.927,51.646,51.489,51.997,52.583,53.931,55.867,56.845,58.149,59.613,60.548,61.273,61.982,63.014,63.753,65.59,68.57,69.362,71.897,74.309,76.06,78.426,80.796,81.483,83.332,84.498,86.614,90.278,91.541,90.846,90.273,91.435,92.275,93.007,92.399,92.868,93.271,92.834,92.346,92.364,91.36,90.028,88.43,87.394,86.332,85.249,84.519,84.325,84.299,84.944,85.975,86.458,86.979,87.587,88.804,89.195,89.972,90.246,91.182,91.555,91.553,91.694,92.385,92.82,92.806,93.406,94.134,94.208,94.098,94.26,94.741,94.845,95.041,95.246,95.629,95.458,95.224,95.289,95.393,95.015,94.595,94.114,94.331,94.42,94.162,94.322,94.542,94.352,94.272,94.675,94.944,95.193,95.548,95.627,95.991,96.016,95.793,95.826,95.969,95.927,95.94,96.138,97.229,97.591,97.836,97.888,98.378,98.799,99.156,99.538,99.938,99.906,100.234,99.922,101.051,102.855,103.494,104.013,103.234,102.11,101.285,100.958,101.068,101.424,101.858,102.454,102.733,102.221,102.086,102.224,102.46
"20","12","        Missiles","B277RG3",30.363,29.103,28.36,28.389,29.061,30.142,30.394,30.491,30.775,31.542,33.63,34.93,36.016,35.957,37.143,37.075,36.019,35.602,39.929,39.559,41.075,42.64,39.227,47.127,47.592,48.141,49.672,51.064,50.85,52.849,54.965,57.126,55.459,55.914,56.888,57.097,59.103,59.61,60.741,60.678,61.331,61.963,62.582,64.696,69.482,72.562,74.966,77.618,82.616,87.087,87.43,88.932,89.857,89.442,92.466,92.491,90.615,90.099,89.401,90.046,90.2,90.11,90.435,89.465,85.553,85.907,86.329,86.794,86.822,87.626,87.746,87.706,88.669,87.774,87.752,88.53,91.854,91.14,90.997,92.135,91.505,92.054,94.248,94.415,95.388,96.059,100.549,101.258,100.818,98.915,98.442,98.244,95.508,96.277,95.104,97.229,96.93,95.078,92.9,93.677,93.931,94.22,94.894,94.545,93.409,93.728,93.388,94.492,94.504,93.143,93.383,94.557,95.354,94.602,92.799,92.637,92.534,93.624,94.483,94.74,95.29,95.786,96.715,97.038,97.285,97.636,96.22,96.637,97.189,97.54,97.864,98.623,99.542,100.569,100.122,99.767,100.629,102.296,105.868,106.581,105.483,104.733,105.109,105.656,106.215,106.818,107.182,107.993,107.811,108.01,108.128,108.08,108.754
"21","13","        Ships","B278RG3",26.95,34.142,34.959,34.437,33.042,32.506,36.209,39.1,40.892,40.504,44.495,43.176,43.081,43.046,45.035,45.814,44.994,47.962,47.571,47.973,47.499,46.603,46.452,49.539,51.073,52.058,51.531,52.747,53.431,54.538,55.359,54.719,58.689,59.955,62.068,62.88,64.111,67.338,67.293,62.582,74.051,73.003,72.452,70.654,70.32,70.4,68.972,72.197,70.977,71.383,73.828,73.621,77.474,76.679,78.285,78.949,79.801,80.017,79.248,79.253,79.948,79.996,77.692,79.56,80.306,81.045,82.273,85.801,83.892,86.166,86.883,88.883,89.999,90.689,90.549,90.344,90.859,91.657,91.717,91.087,92.817,92.785,92.839,92.918,93.17,94.195,93.003,93.962,94.792,94.199,94.509,94.693,95.202,91.995,94.199,94.44,94.491,94.398,93.338,94.014,94.009,95.251,95.458,94.374,94.885,95.004,94.901,94.543,92.939,92.952,92.165,91.944,93.432,92.953,93.694,93.703,94.047,94.301,94.17,93.409,93.449,93.606,93.982,93.968,94.557,94.693,94.666,94.752,95.684,97.413,98.169,98.73,99.379,99.957,100.07,100.594,101.478,102.671,103.52,104.332,103.919,103.324,104.461,104.438,105.164,106.589,108.909,109.502,108.999,109.035,109.052,110.431,109.676
"22","14","        Vehicles","B288RG3",24.075,23.53,23.551,23.615,23.971,24.174,23.843,23.966,25.041,25.407,27.091,27.239,28.719,27.921,27.139,29.015,28.944,31.472,31.413,31.677,32.635,31.915,32.542,34.114,33.985,33.793,35.709,37.588,39.203,36.629,39.718,40.349,41.941,43.256,43.79,45.139,48.09,50.155,51.951,55.335,57.421,58.008,59.91,62.067,60.511,61.825,61.937,61.613,61.469,60.655,57.15,54.133,51.192,49.943,48.62,49.794,51.923,54.41,57.914,61.766,57.429,57.78,60.391,61.38,53.482,53.581,53.65,54.426,54.874,53.552,52.419,52.902,52.228,55.075,57.133,57.4,57.571,57.839,58.756,59.576,59.47,59.565,61.207,63.31,64.46,64.771,64.225,66.312,66.602,66.759,66.539,68.361,69.02,69.698,69.433,69.919,71.726,71.577,71.303,73.117,75.83,77.548,77.818,77.371,79.283,79.34,78.862,80.791,82.437,84.983,86.002,89.634,95.621,91.835,90.075,90.155,90.781,92.068,91.753,92.377,94.51,95.252,93.104,95.666,95.838,94.846,94.107,96.83,97.561,98.225,97.619,100.693,100.447,100.057,99.03,100.467,100.26,100.632,99.163,101.589,102.236,101.823,101.463,102.905,102.899,103.211,102.98,105.738,105.382,105.508,105.295,105.559,105.533
